t=,1, id=,B00, PRDE,actvstrat=,0.091654, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.515887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.803646, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.249163, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.429232, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.396577, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.103461, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.673774, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.784503, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.215053, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.511880, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.906218, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.910277, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.188071, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.774903, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.810828, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.702584, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.513137, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.377548, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.462996, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.091654, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.511880, 
t=,3600, id=,B00, PRDE,actvstrat=,0.091654, actvprof=,2.326324, id=,B01, PRDE,actvstrat=,0.515887, actvprof=,2.789367, id=,B02, PRDE,actvstrat=,0.803646, actvprof=,2.523263, id=,B03, PRDE,actvstrat=,-0.249163, actvprof=,2.162440, id=,B04, PRDE,actvstrat=,0.429232, actvprof=,2.579928, id=,B05, PRDE,actvstrat=,0.396577, actvprof=,2.554651, id=,B06, PRDE,actvstrat=,-0.103461, actvprof=,2.075498, id=,B07, PRDE,actvstrat=,-0.673774, actvprof=,2.922697, id=,B08, PRDE,actvstrat=,0.784503, actvprof=,2.557707, id=,B09, PRDE,actvstrat=,0.215053, actvprof=,2.439932, id=,S00, PRDE,actvstrat=,0.511880, actvprof=,8.712258, id=,S01, PRDE,actvstrat=,0.906218, actvprof=,10.176384, id=,S02, PRDE,actvstrat=,0.910277, actvprof=,10.518041, id=,S03, PRDE,actvstrat=,0.188071, actvprof=,6.589261, id=,S04, PRDE,actvstrat=,-0.774903, actvprof=,2.119941, id=,S05, PRDE,actvstrat=,-0.810828, actvprof=,1.288575, id=,S06, PRDE,actvstrat=,0.702584, actvprof=,9.658898, id=,S07, PRDE,actvstrat=,0.513137, actvprof=,8.319769, id=,S08, PRDE,actvstrat=,-0.377548, actvprof=,4.022110, id=,S09, PRDE,actvstrat=,-0.462996, actvprof=,3.460459, best_B_id=,B07, best_B_prof=,2.922697, best_B_strat=,-0.673774, best_S_id=,S02, best_S_prof=,10.518041, best_S_strat=,0.910277, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.376907, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.638492, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.752031, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.434763, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.320608, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.657081, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.623362, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.918561, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.256751, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.098916, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.610130, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.806681, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.115542, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.391432, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.747263, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.778290, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.871418, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.138459, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.821948, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.015229, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.376907, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.610130, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.376907, actvprof=,3.027180, id=,B01, PRDE,actvstrat=,0.638492, actvprof=,3.434952, id=,B02, PRDE,actvstrat=,-0.752031, actvprof=,3.790781, id=,B03, PRDE,actvstrat=,0.434763, actvprof=,3.148845, id=,B04, PRDE,actvstrat=,-0.320608, actvprof=,2.818016, id=,B05, PRDE,actvstrat=,-0.657081, actvprof=,3.644672, id=,B06, PRDE,actvstrat=,0.623362, actvprof=,3.226344, id=,B07, PRDE,actvstrat=,0.918561, actvprof=,2.182192, id=,B08, PRDE,actvstrat=,-0.256751, actvprof=,2.731629, id=,B09, PRDE,actvstrat=,0.098916, actvprof=,3.211900, id=,S00, PRDE,actvstrat=,0.610130, actvprof=,8.039055, id=,S01, PRDE,actvstrat=,0.806681, actvprof=,9.253205, id=,S02, PRDE,actvstrat=,0.115542, actvprof=,5.602422, id=,S03, PRDE,actvstrat=,-0.391432, actvprof=,2.925793, id=,S04, PRDE,actvstrat=,0.747263, actvprof=,8.986264, id=,S05, PRDE,actvstrat=,-0.778290, actvprof=,1.658033, id=,S06, PRDE,actvstrat=,0.871418, actvprof=,9.515146, id=,S07, PRDE,actvstrat=,-0.138459, actvprof=,3.423564, id=,S08, PRDE,actvstrat=,0.821948, actvprof=,9.045152, id=,S09, PRDE,actvstrat=,-0.015229, actvprof=,4.911321, best_B_id=,B02, best_B_prof=,3.790781, best_B_strat=,-0.752031, best_S_id=,S06, best_S_prof=,9.515146, best_S_strat=,0.871418, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.376907, actvprof=,2.885278, id=,B01, PRDE,actvstrat=,0.638492, actvprof=,3.338889, id=,B02, PRDE,actvstrat=,-0.752031, actvprof=,3.946111, id=,B03, PRDE,actvstrat=,0.434763, actvprof=,3.158056, id=,B04, PRDE,actvstrat=,-0.320608, actvprof=,2.783750, id=,B05, PRDE,actvstrat=,-0.657081, actvprof=,3.483194, id=,B06, PRDE,actvstrat=,0.623362, actvprof=,3.314028, id=,B07, PRDE,actvstrat=,0.918561, actvprof=,2.228750, id=,B08, PRDE,actvstrat=,-0.256751, actvprof=,2.767778, id=,B09, PRDE,actvstrat=,0.098916, actvprof=,2.983611, id=,S00, PRDE,actvstrat=,0.610130, actvprof=,8.006111, id=,S01, PRDE,actvstrat=,0.806681, actvprof=,9.207222, id=,S02, PRDE,actvstrat=,0.115542, actvprof=,5.415417, id=,S03, PRDE,actvstrat=,-0.391432, actvprof=,2.891944, id=,S04, PRDE,actvstrat=,0.747263, actvprof=,9.043194, id=,S05, PRDE,actvstrat=,-0.778290, actvprof=,1.478333, id=,S06, PRDE,actvstrat=,0.871418, actvprof=,9.376389, id=,S07, PRDE,actvstrat=,-0.138459, actvprof=,3.433194, id=,S08, PRDE,actvstrat=,0.821948, actvprof=,9.105278, id=,S09, PRDE,actvstrat=,-0.015229, actvprof=,4.875694, best_B_id=,B02, best_B_prof=,3.946111, best_B_strat=,-0.752031, best_S_id=,S06, best_S_prof=,9.376389, best_S_strat=,0.871418, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.376907, actvprof=,1.541966, id=,B01, PRDE,actvstrat=,0.013602, actvprof=,1.709746, id=,B02, PRDE,actvstrat=,0.108840, actvprof=,1.622800, id=,B03, PRDE,actvstrat=,-0.143083, actvprof=,1.670301, id=,B04, PRDE,actvstrat=,-0.751210, actvprof=,2.475590, id=,B05, PRDE,actvstrat=,-0.657081, actvprof=,2.207253, id=,B06, PRDE,actvstrat=,-0.359394, actvprof=,1.644745, id=,B07, PRDE,actvstrat=,0.670348, actvprof=,2.298087, id=,B08, PRDE,actvstrat=,-0.256751, actvprof=,1.502521, id=,B09, PRDE,actvstrat=,0.865822, actvprof=,2.145863, id=,S00, PRDE,actvstrat=,0.610130, actvprof=,8.247337, id=,S01, PRDE,actvstrat=,-0.903943, actvprof=,0.425561, id=,S02, PRDE,actvstrat=,0.115542, actvprof=,5.772580, id=,S03, PRDE,actvstrat=,-0.067946, actvprof=,4.406728, id=,S04, PRDE,actvstrat=,0.204588, actvprof=,6.235642, id=,S05, PRDE,actvstrat=,-0.552313, actvprof=,2.736149, id=,S06, PRDE,actvstrat=,0.823899, actvprof=,10.250698, id=,S07, PRDE,actvstrat=,-0.921521, actvprof=,0.715565, id=,S08, PRDE,actvstrat=,-0.174136, actvprof=,3.762830, id=,S09, PRDE,actvstrat=,0.388414, actvprof=,7.073432, best_B_id=,B04, best_B_prof=,2.475590, best_B_strat=,-0.751210, best_S_id=,S06, best_S_prof=,10.250698, best_S_strat=,0.823899, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.376907, actvprof=,1.690984, id=,B01, PRDE,actvstrat=,0.013602, actvprof=,1.810290, id=,B02, PRDE,actvstrat=,0.108840, actvprof=,1.828902, id=,B03, PRDE,actvstrat=,-0.143083, actvprof=,1.628484, id=,B04, PRDE,actvstrat=,-0.751210, actvprof=,2.538629, id=,B05, PRDE,actvstrat=,-0.657081, actvprof=,2.174043, id=,B06, PRDE,actvstrat=,-0.359394, actvprof=,1.746123, id=,B07, PRDE,actvstrat=,0.670348, actvprof=,2.370155, id=,B08, PRDE,actvstrat=,-0.256751, actvprof=,1.559872, id=,B09, PRDE,actvstrat=,0.865822, actvprof=,2.153904, id=,S00, PRDE,actvstrat=,0.610130, actvprof=,8.334225, id=,S01, PRDE,actvstrat=,-0.903943, actvprof=,0.364169, id=,S02, PRDE,actvstrat=,0.115542, actvprof=,5.899208, id=,S03, PRDE,actvstrat=,-0.067946, actvprof=,4.538504, id=,S04, PRDE,actvstrat=,0.204588, actvprof=,6.284071, id=,S05, PRDE,actvstrat=,-0.552313, actvprof=,2.816408, id=,S06, PRDE,actvstrat=,0.823899, actvprof=,9.891458, id=,S07, PRDE,actvstrat=,-0.921521, actvprof=,0.603476, id=,S08, PRDE,actvstrat=,-0.174136, actvprof=,3.676553, id=,S09, PRDE,actvstrat=,0.388414, actvprof=,7.257689, best_B_id=,B04, best_B_prof=,2.538629, best_B_strat=,-0.751210, best_S_id=,S06, best_S_prof=,9.891458, best_S_strat=,0.823899, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.451401, id=,B01, PRDE,actvstrat=,-0.834408, actvprof=,1.746160, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.096697, id=,B03, PRDE,actvstrat=,0.792856, actvprof=,1.316425, id=,B04, PRDE,actvstrat=,-0.096244, actvprof=,1.040307, id=,B05, PRDE,actvstrat=,-0.783218, actvprof=,1.496708, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.454735, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.470013, id=,B08, PRDE,actvstrat=,0.060999, actvprof=,0.829745, id=,B09, PRDE,actvstrat=,0.302869, actvprof=,1.030862, id=,S00, PRDE,actvstrat=,-0.340530, actvprof=,4.577905, id=,S01, PRDE,actvstrat=,-0.060687, actvprof=,7.400761, id=,S02, PRDE,actvstrat=,-0.267417, actvprof=,4.942637, id=,S03, PRDE,actvstrat=,0.645844, actvprof=,11.548654, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.025917, id=,S05, PRDE,actvstrat=,-0.014113, actvprof=,7.596600, id=,S06, PRDE,actvstrat=,-0.816577, actvprof=,1.703103, id=,S07, PRDE,actvstrat=,-0.191772, actvprof=,5.527654, id=,S08, PRDE,actvstrat=,0.971052, actvprof=,12.911470, id=,S09, PRDE,actvstrat=,-0.444669, actvprof=,4.545682, best_B_id=,B01, best_B_prof=,1.746160, best_B_strat=,-0.834408, best_S_id=,S04, best_S_prof=,13.025917, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.402228, id=,B01, PRDE,actvstrat=,-0.834408, actvprof=,1.778914, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.151822, id=,B03, PRDE,actvstrat=,0.792856, actvprof=,1.339046, id=,B04, PRDE,actvstrat=,-0.096244, actvprof=,0.975152, id=,B05, PRDE,actvstrat=,-0.783218, actvprof=,1.441131, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.440423, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.395005, id=,B08, PRDE,actvstrat=,0.060999, actvprof=,0.854456, id=,B09, PRDE,actvstrat=,0.302869, actvprof=,1.090987, id=,S00, PRDE,actvstrat=,-0.340530, actvprof=,4.678121, id=,S01, PRDE,actvstrat=,-0.060687, actvprof=,7.332602, id=,S02, PRDE,actvstrat=,-0.267417, actvprof=,4.771594, id=,S03, PRDE,actvstrat=,0.645844, actvprof=,11.572939, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.017125, id=,S05, PRDE,actvstrat=,-0.014113, actvprof=,7.753997, id=,S06, PRDE,actvstrat=,-0.816577, actvprof=,1.650440, id=,S07, PRDE,actvstrat=,-0.191772, actvprof=,5.284240, id=,S08, PRDE,actvstrat=,0.971052, actvprof=,12.974625, id=,S09, PRDE,actvstrat=,-0.444669, actvprof=,4.496312, best_B_id=,B01, best_B_prof=,1.778914, best_B_strat=,-0.834408, best_S_id=,S04, best_S_prof=,13.017125, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.045368, actvprof=,2.455970, id=,B01, PRDE,actvstrat=,-0.712513, actvprof=,3.284071, id=,B02, PRDE,actvstrat=,0.404275, actvprof=,2.807656, id=,B03, PRDE,actvstrat=,-0.308278, actvprof=,2.404578, id=,B04, PRDE,actvstrat=,-0.751210, actvprof=,3.255736, id=,B05, PRDE,actvstrat=,-0.020421, actvprof=,2.597367, id=,B06, PRDE,actvstrat=,-0.017340, actvprof=,2.487360, id=,B07, PRDE,actvstrat=,-0.580156, actvprof=,2.721262, id=,B08, PRDE,actvstrat=,0.060999, actvprof=,2.553197, id=,B09, PRDE,actvstrat=,0.280600, actvprof=,2.800156, id=,S00, PRDE,actvstrat=,0.042635, actvprof=,4.945830, id=,S01, PRDE,actvstrat=,0.044044, actvprof=,4.909162, id=,S02, PRDE,actvstrat=,0.698780, actvprof=,8.070448, id=,S03, PRDE,actvstrat=,0.593379, actvprof=,7.511806, id=,S04, PRDE,actvstrat=,0.846572, actvprof=,8.938552, id=,S05, PRDE,actvstrat=,0.190839, actvprof=,5.200567, id=,S06, PRDE,actvstrat=,-0.019889, actvprof=,4.878604, id=,S07, PRDE,actvstrat=,-0.310240, actvprof=,2.761820, id=,S08, PRDE,actvstrat=,-0.068062, actvprof=,3.903550, id=,S09, PRDE,actvstrat=,-0.914463, actvprof=,0.561142, best_B_id=,B01, best_B_prof=,3.284071, best_B_strat=,-0.712513, best_S_id=,S04, best_S_prof=,8.938552, best_S_strat=,0.846572, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.045368, actvprof=,2.468158, id=,B01, PRDE,actvstrat=,-0.712513, actvprof=,3.156798, id=,B02, PRDE,actvstrat=,0.404275, actvprof=,2.852063, id=,B03, PRDE,actvstrat=,-0.308278, actvprof=,2.386488, id=,B04, PRDE,actvstrat=,-0.751210, actvprof=,3.269303, id=,B05, PRDE,actvstrat=,-0.020421, actvprof=,2.539134, id=,B06, PRDE,actvstrat=,-0.017340, actvprof=,2.387183, id=,B07, PRDE,actvstrat=,-0.580156, actvprof=,2.834979, id=,B08, PRDE,actvstrat=,0.060999, actvprof=,2.561357, id=,B09, PRDE,actvstrat=,0.280600, actvprof=,2.747753, id=,S00, PRDE,actvstrat=,0.042635, actvprof=,4.959512, id=,S01, PRDE,actvstrat=,0.044044, actvprof=,4.904093, id=,S02, PRDE,actvstrat=,0.698780, actvprof=,8.215620, id=,S03, PRDE,actvstrat=,0.593379, actvprof=,7.354056, id=,S04, PRDE,actvstrat=,0.846572, actvprof=,8.988291, id=,S05, PRDE,actvstrat=,0.190839, actvprof=,5.338139, id=,S06, PRDE,actvstrat=,-0.019889, actvprof=,4.661028, id=,S07, PRDE,actvstrat=,-0.310240, actvprof=,2.611081, id=,S08, PRDE,actvstrat=,-0.068062, actvprof=,3.816826, id=,S09, PRDE,actvstrat=,-0.914463, actvprof=,0.640304, best_B_id=,B04, best_B_prof=,3.269303, best_B_strat=,-0.751210, best_S_id=,S04, best_S_prof=,8.988291, best_S_strat=,0.846572, 
