t=,0, id=,B00, PRDE,actvstrat=,0.737808, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.429147, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.771279, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.683209, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.213886, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.379587, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.658491, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.370178, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.045971, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.046630, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.345209, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.907093, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.366985, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.298257, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.233196, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.248809, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.165963, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.147905, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.704888, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.464355, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.737808, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.345209, 
t=,3600, id=,B00, PRDE,actvstrat=,0.737808, actvprof=,1.827778, id=,B01, PRDE,actvstrat=,0.429147, actvprof=,1.678611, id=,B02, PRDE,actvstrat=,-0.771279, actvprof=,1.665278, id=,B03, PRDE,actvstrat=,0.683209, actvprof=,1.552222, id=,B04, PRDE,actvstrat=,0.213886, actvprof=,1.251944, id=,B05, PRDE,actvstrat=,-0.379587, actvprof=,1.014444, id=,B06, PRDE,actvstrat=,0.658491, actvprof=,1.766111, id=,B07, PRDE,actvstrat=,-0.370178, actvprof=,0.993889, id=,B08, PRDE,actvstrat=,-0.045971, actvprof=,1.211667, id=,B09, PRDE,actvstrat=,-0.046630, actvprof=,1.034722, id=,S00, PRDE,actvstrat=,-0.345209, actvprof=,3.397778, id=,S01, PRDE,actvstrat=,-0.907093, actvprof=,0.447222, id=,S02, PRDE,actvstrat=,0.366985, actvprof=,8.176944, id=,S03, PRDE,actvstrat=,-0.298257, actvprof=,3.811944, id=,S04, PRDE,actvstrat=,0.233196, actvprof=,7.599722, id=,S05, PRDE,actvstrat=,0.248809, actvprof=,7.747778, id=,S06, PRDE,actvstrat=,0.165963, actvprof=,7.064444, id=,S07, PRDE,actvstrat=,-0.147905, actvprof=,4.687222, id=,S08, PRDE,actvstrat=,-0.704888, actvprof=,2.883889, id=,S09, PRDE,actvstrat=,-0.464355, actvprof=,3.675278, best_B_id=,B00, best_B_prof=,1.827778, best_B_strat=,0.737808, best_S_id=,S02, best_S_prof=,8.176944, best_S_strat=,0.366985, 
t=,7200, id=,B00, PRDE,actvstrat=,0.554615, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.919024, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.581385, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.238898, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.832376, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.326139, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.308987, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.266469, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.648878, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.722047, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.610255, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.559248, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.121714, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.982869, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.482686, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.119248, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.402078, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.337189, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.543356, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.375517, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.554615, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.610255, 
t=,10800, id=,B00, PRDE,actvstrat=,0.554615, actvprof=,0.980847, id=,B01, PRDE,actvstrat=,0.919024, actvprof=,1.021403, id=,B02, PRDE,actvstrat=,0.581385, actvprof=,1.157238, id=,B03, PRDE,actvstrat=,0.238898, actvprof=,0.883623, id=,B04, PRDE,actvstrat=,0.832376, actvprof=,1.150849, id=,B05, PRDE,actvstrat=,-0.326139, actvprof=,0.554174, id=,B06, PRDE,actvstrat=,-0.308987, actvprof=,0.599175, id=,B07, PRDE,actvstrat=,0.266469, actvprof=,0.916679, id=,B08, PRDE,actvstrat=,0.648878, actvprof=,1.100849, id=,B09, PRDE,actvstrat=,0.722047, actvprof=,1.197517, id=,S00, PRDE,actvstrat=,0.610255, actvprof=,10.665148, id=,S01, PRDE,actvstrat=,-0.559248, actvprof=,3.889776, id=,S02, PRDE,actvstrat=,0.121714, actvprof=,7.570661, id=,S03, PRDE,actvstrat=,-0.982869, actvprof=,1.223073, id=,S04, PRDE,actvstrat=,-0.482686, actvprof=,4.697843, id=,S05, PRDE,actvstrat=,-0.119248, actvprof=,5.524799, id=,S06, PRDE,actvstrat=,0.402078, actvprof=,9.309852, id=,S07, PRDE,actvstrat=,-0.337189, actvprof=,4.622009, id=,S08, PRDE,actvstrat=,-0.543356, actvprof=,3.838664, id=,S09, PRDE,actvstrat=,-0.375517, actvprof=,4.118946, best_B_id=,B09, best_B_prof=,1.197517, best_B_strat=,0.722047, best_S_id=,S00, best_S_prof=,10.665148, best_S_strat=,0.610255, 
t=,14400, id=,B00, PRDE,actvstrat=,0.554615, actvprof=,1.031250, id=,B01, PRDE,actvstrat=,0.919024, actvprof=,1.024306, id=,B02, PRDE,actvstrat=,0.581385, actvprof=,1.130000, id=,B03, PRDE,actvstrat=,0.238898, actvprof=,0.848194, id=,B04, PRDE,actvstrat=,0.832376, actvprof=,1.251944, id=,B05, PRDE,actvstrat=,-0.326139, actvprof=,0.559028, id=,B06, PRDE,actvstrat=,-0.308987, actvprof=,0.606528, id=,B07, PRDE,actvstrat=,0.266469, actvprof=,0.845000, id=,B08, PRDE,actvstrat=,0.648878, actvprof=,1.155833, id=,B09, PRDE,actvstrat=,0.722047, actvprof=,1.204028, id=,S00, PRDE,actvstrat=,0.610255, actvprof=,10.616944, id=,S01, PRDE,actvstrat=,-0.559248, actvprof=,3.952222, id=,S02, PRDE,actvstrat=,0.121714, actvprof=,7.637639, id=,S03, PRDE,actvstrat=,-0.982869, actvprof=,1.234444, id=,S04, PRDE,actvstrat=,-0.482686, actvprof=,4.516250, id=,S05, PRDE,actvstrat=,-0.119248, actvprof=,5.883333, id=,S06, PRDE,actvstrat=,0.402078, actvprof=,9.235278, id=,S07, PRDE,actvstrat=,-0.337189, actvprof=,4.437222, id=,S08, PRDE,actvstrat=,-0.543356, actvprof=,4.065139, id=,S09, PRDE,actvstrat=,-0.375517, actvprof=,4.376528, best_B_id=,B04, best_B_prof=,1.251944, best_B_strat=,0.832376, best_S_id=,S00, best_S_prof=,10.616944, best_S_strat=,0.610255, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.584703, actvprof=,2.409545, id=,B01, PRDE,actvstrat=,0.560425, actvprof=,2.680667, id=,B02, PRDE,actvstrat=,0.460014, actvprof=,2.543439, id=,B03, PRDE,actvstrat=,0.238898, actvprof=,2.246205, id=,B04, PRDE,actvstrat=,0.349923, actvprof=,2.399822, id=,B05, PRDE,actvstrat=,0.029123, actvprof=,1.995083, id=,B06, PRDE,actvstrat=,0.371248, actvprof=,2.660389, id=,B07, PRDE,actvstrat=,-0.752957, actvprof=,2.845396, id=,B08, PRDE,actvstrat=,-0.472802, actvprof=,1.970915, id=,B09, PRDE,actvstrat=,-0.771341, actvprof=,2.661778, id=,S00, PRDE,actvstrat=,-0.772672, actvprof=,1.512007, id=,S01, PRDE,actvstrat=,-0.559248, actvprof=,3.001792, id=,S02, PRDE,actvstrat=,0.736572, actvprof=,9.118991, id=,S03, PRDE,actvstrat=,0.196526, actvprof=,6.259983, id=,S04, PRDE,actvstrat=,0.860641, actvprof=,9.686793, id=,S05, PRDE,actvstrat=,0.336853, actvprof=,6.955012, id=,S06, PRDE,actvstrat=,0.610232, actvprof=,8.295623, id=,S07, PRDE,actvstrat=,-0.449947, actvprof=,2.757059, id=,S08, PRDE,actvstrat=,-0.543356, actvprof=,2.823729, id=,S09, PRDE,actvstrat=,0.125573, actvprof=,5.645791, best_B_id=,B07, best_B_prof=,2.845396, best_B_strat=,-0.752957, best_S_id=,S04, best_S_prof=,9.686793, best_S_strat=,0.860641, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.584703, actvprof=,2.371422, id=,B01, PRDE,actvstrat=,0.560425, actvprof=,2.728232, id=,B02, PRDE,actvstrat=,0.460014, actvprof=,2.633092, id=,B03, PRDE,actvstrat=,0.238898, actvprof=,2.302949, id=,B04, PRDE,actvstrat=,0.349923, actvprof=,2.485590, id=,B05, PRDE,actvstrat=,0.029123, actvprof=,1.976555, id=,B06, PRDE,actvstrat=,0.371248, actvprof=,2.573647, id=,B07, PRDE,actvstrat=,-0.752957, actvprof=,2.714343, id=,B08, PRDE,actvstrat=,-0.472802, actvprof=,1.972250, id=,B09, PRDE,actvstrat=,-0.771341, actvprof=,2.932680, id=,S00, PRDE,actvstrat=,-0.772672, actvprof=,1.601272, id=,S01, PRDE,actvstrat=,-0.559248, actvprof=,2.704621, id=,S02, PRDE,actvstrat=,0.736572, actvprof=,9.214017, id=,S03, PRDE,actvstrat=,0.196526, actvprof=,6.234948, id=,S04, PRDE,actvstrat=,0.860641, actvprof=,9.636939, id=,S05, PRDE,actvstrat=,0.336853, actvprof=,7.023014, id=,S06, PRDE,actvstrat=,0.610232, actvprof=,8.209142, id=,S07, PRDE,actvstrat=,-0.449947, actvprof=,2.801844, id=,S08, PRDE,actvstrat=,-0.543356, actvprof=,2.820456, id=,S09, PRDE,actvstrat=,0.125573, actvprof=,5.786330, best_B_id=,B09, best_B_prof=,2.932680, best_B_strat=,-0.771341, best_S_id=,S04, best_S_prof=,9.636939, best_S_strat=,0.860641, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.673258, actvprof=,3.185000, id=,B01, PRDE,actvstrat=,-0.472997, actvprof=,2.467222, id=,B02, PRDE,actvstrat=,0.009885, actvprof=,2.232222, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,3.280278, id=,B04, PRDE,actvstrat=,-0.418746, actvprof=,2.246111, id=,B05, PRDE,actvstrat=,-0.023317, actvprof=,2.205278, id=,B06, PRDE,actvstrat=,0.594462, actvprof=,2.881389, id=,B07, PRDE,actvstrat=,0.458356, actvprof=,2.779167, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.982778, id=,B09, PRDE,actvstrat=,-0.188902, actvprof=,2.170000, id=,S00, PRDE,actvstrat=,0.605800, actvprof=,8.498611, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.081389, id=,S02, PRDE,actvstrat=,-0.198097, actvprof=,4.024722, id=,S03, PRDE,actvstrat=,-0.255952, actvprof=,3.183889, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.669167, id=,S05, PRDE,actvstrat=,0.280312, actvprof=,7.020000, id=,S06, PRDE,actvstrat=,-0.913679, actvprof=,0.722500, id=,S07, PRDE,actvstrat=,0.127987, actvprof=,6.194722, id=,S08, PRDE,actvstrat=,-0.124362, actvprof=,4.366667, id=,S09, PRDE,actvstrat=,0.239773, actvprof=,6.942222, best_B_id=,B03, best_B_prof=,3.280278, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,10.081389, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.673258, actvprof=,3.121571, id=,B01, PRDE,actvstrat=,-0.472997, actvprof=,2.363227, id=,B02, PRDE,actvstrat=,0.009885, actvprof=,2.197669, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,3.363797, id=,B04, PRDE,actvstrat=,-0.418746, actvprof=,2.155169, id=,B05, PRDE,actvstrat=,-0.023317, actvprof=,2.239476, id=,B06, PRDE,actvstrat=,0.594462, actvprof=,2.795733, id=,B07, PRDE,actvstrat=,0.458356, actvprof=,2.695176, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.920707, id=,B09, PRDE,actvstrat=,-0.188902, actvprof=,2.149058, id=,S00, PRDE,actvstrat=,0.605800, actvprof=,8.530535, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.083612, id=,S02, PRDE,actvstrat=,-0.198097, actvprof=,3.699496, id=,S03, PRDE,actvstrat=,-0.255952, actvprof=,3.354769, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.841109, id=,S05, PRDE,actvstrat=,0.280312, actvprof=,7.031625, id=,S06, PRDE,actvstrat=,-0.913679, actvprof=,0.647231, id=,S07, PRDE,actvstrat=,0.127987, actvprof=,6.231475, id=,S08, PRDE,actvstrat=,-0.124362, actvprof=,4.244642, id=,S09, PRDE,actvstrat=,0.239773, actvprof=,6.823984, best_B_id=,B03, best_B_prof=,3.363797, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,10.083612, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.656666, actvprof=,2.126844, id=,B01, PRDE,actvstrat=,-0.223383, actvprof=,1.469845, id=,B02, PRDE,actvstrat=,-0.003866, actvprof=,1.629025, id=,B03, PRDE,actvstrat=,0.318377, actvprof=,1.889602, id=,B04, PRDE,actvstrat=,0.565221, actvprof=,2.074062, id=,B05, PRDE,actvstrat=,-0.064510, actvprof=,1.605967, id=,B06, PRDE,actvstrat=,0.141361, actvprof=,1.750146, id=,B07, PRDE,actvstrat=,-0.491043, actvprof=,1.762647, id=,B08, PRDE,actvstrat=,0.304925, actvprof=,1.911826, id=,B09, PRDE,actvstrat=,0.876011, actvprof=,1.828764, id=,S00, PRDE,actvstrat=,0.530908, actvprof=,8.952413, id=,S01, PRDE,actvstrat=,0.187719, actvprof=,6.787788, id=,S02, PRDE,actvstrat=,0.118183, actvprof=,6.771953, id=,S03, PRDE,actvstrat=,-0.696330, actvprof=,2.450204, id=,S04, PRDE,actvstrat=,-0.688564, actvprof=,2.404645, id=,S05, PRDE,actvstrat=,0.704604, actvprof=,9.855821, id=,S06, PRDE,actvstrat=,0.402078, actvprof=,8.185960, id=,S07, PRDE,actvstrat=,-0.668732, actvprof=,2.402700, id=,S08, PRDE,actvstrat=,-0.543746, actvprof=,3.120538, id=,S09, PRDE,actvstrat=,0.239773, actvprof=,7.136706, best_B_id=,B00, best_B_prof=,2.126844, best_B_strat=,0.656666, best_S_id=,S05, best_S_prof=,9.855821, best_S_strat=,0.704604, 
t=,36000, id=,B00, PRDE,actvstrat=,0.656666, actvprof=,2.063558, id=,B01, PRDE,actvstrat=,-0.223383, actvprof=,1.457144, id=,B02, PRDE,actvstrat=,-0.003866, actvprof=,1.633957, id=,B03, PRDE,actvstrat=,0.318377, actvprof=,1.920080, id=,B04, PRDE,actvstrat=,0.565221, actvprof=,2.100365, id=,B05, PRDE,actvstrat=,-0.064510, actvprof=,1.713127, id=,B06, PRDE,actvstrat=,0.141361, actvprof=,1.670903, id=,B07, PRDE,actvstrat=,-0.491043, actvprof=,1.622012, id=,B08, PRDE,actvstrat=,0.304925, actvprof=,2.003556, id=,B09, PRDE,actvstrat=,0.876011, actvprof=,1.911885, id=,S00, PRDE,actvstrat=,0.530908, actvprof=,9.006070, id=,S01, PRDE,actvstrat=,0.187719, actvprof=,6.840424, id=,S02, PRDE,actvstrat=,0.118183, actvprof=,6.447213, id=,S03, PRDE,actvstrat=,-0.696330, actvprof=,2.477048, id=,S04, PRDE,actvstrat=,-0.688564, actvprof=,2.280512, id=,S05, PRDE,actvstrat=,0.704604, actvprof=,9.939442, id=,S06, PRDE,actvstrat=,0.402078, actvprof=,8.154368, id=,S07, PRDE,actvstrat=,-0.668732, actvprof=,2.397739, id=,S08, PRDE,actvstrat=,-0.543746, actvprof=,3.050822, id=,S09, PRDE,actvstrat=,0.239773, actvprof=,7.190716, best_B_id=,B04, best_B_prof=,2.100365, best_B_strat=,0.565221, best_S_id=,S05, best_S_prof=,9.939442, best_S_strat=,0.704604, 
