t=,0, id=,B00, PRDE,actvstrat=,0.803029, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.215232, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.863979, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.838604, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.182700, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.677949, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.437293, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.620096, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.655749, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.339099, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.939480, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.494856, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.647698, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.552015, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.156545, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.255743, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.333326, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.243296, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.687739, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.074513, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.803029, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.939480, 
t=,3600, id=,B00, PRDE,actvstrat=,0.803029, actvprof=,3.150000, id=,B01, PRDE,actvstrat=,-0.215232, actvprof=,2.938333, id=,B02, PRDE,actvstrat=,-0.863979, actvprof=,4.018333, id=,B03, PRDE,actvstrat=,0.838604, actvprof=,3.117778, id=,B04, PRDE,actvstrat=,-0.182700, actvprof=,2.745833, id=,B05, PRDE,actvstrat=,0.677949, actvprof=,3.458889, id=,B06, PRDE,actvstrat=,-0.437293, actvprof=,2.851944, id=,B07, PRDE,actvstrat=,-0.620096, actvprof=,3.098889, id=,B08, PRDE,actvstrat=,-0.655749, actvprof=,3.301111, id=,B09, PRDE,actvstrat=,-0.339099, actvprof=,2.754444, id=,S00, PRDE,actvstrat=,0.939480, actvprof=,8.566667, id=,S01, PRDE,actvstrat=,-0.494856, actvprof=,4.537222, id=,S02, PRDE,actvstrat=,-0.647698, actvprof=,3.495556, id=,S03, PRDE,actvstrat=,0.552015, actvprof=,8.186944, id=,S04, PRDE,actvstrat=,-0.156545, actvprof=,5.351944, id=,S05, PRDE,actvstrat=,-0.255743, actvprof=,4.742778, id=,S06, PRDE,actvstrat=,0.333326, actvprof=,7.294444, id=,S07, PRDE,actvstrat=,0.243296, actvprof=,6.941111, id=,S08, PRDE,actvstrat=,-0.687739, actvprof=,3.446667, id=,S09, PRDE,actvstrat=,0.074513, actvprof=,6.512222, best_B_id=,B02, best_B_prof=,4.018333, best_B_strat=,-0.863979, best_S_id=,S00, best_S_prof=,8.566667, best_S_strat=,0.939480, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.080622, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.765534, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.351406, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.453944, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.570780, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.854979, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.132146, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.636577, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.131472, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.054664, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.257494, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.646820, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.423130, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.727824, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.052381, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.643710, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.498005, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.820720, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.395382, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.773360, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.080622, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.257494, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.080622, actvprof=,2.232469, id=,B01, PRDE,actvstrat=,0.765534, actvprof=,2.580242, id=,B02, PRDE,actvstrat=,-0.351406, actvprof=,2.056916, id=,B03, PRDE,actvstrat=,-0.453944, actvprof=,2.219691, id=,B04, PRDE,actvstrat=,0.570780, actvprof=,2.615797, id=,B05, PRDE,actvstrat=,0.854979, actvprof=,2.372467, id=,B06, PRDE,actvstrat=,-0.132146, actvprof=,2.066360, id=,B07, PRDE,actvstrat=,-0.636577, actvprof=,2.633019, id=,B08, PRDE,actvstrat=,-0.131472, actvprof=,2.235247, id=,B09, PRDE,actvstrat=,0.054664, actvprof=,2.263302, id=,S00, PRDE,actvstrat=,0.257494, actvprof=,6.604908, id=,S01, PRDE,actvstrat=,-0.646820, actvprof=,3.053291, id=,S02, PRDE,actvstrat=,0.423130, actvprof=,7.940167, id=,S03, PRDE,actvstrat=,0.727824, actvprof=,9.691532, id=,S04, PRDE,actvstrat=,-0.052381, actvprof=,5.929640, id=,S05, PRDE,actvstrat=,0.643710, actvprof=,8.860155, id=,S06, PRDE,actvstrat=,-0.498005, actvprof=,3.534395, id=,S07, PRDE,actvstrat=,-0.820720, actvprof=,1.643588, id=,S08, PRDE,actvstrat=,0.395382, actvprof=,7.814614, id=,S09, PRDE,actvstrat=,-0.773360, actvprof=,2.139970, best_B_id=,B07, best_B_prof=,2.633019, best_B_strat=,-0.636577, best_S_id=,S03, best_S_prof=,9.691532, best_S_strat=,0.727824, 
t=,14400, id=,B00, PRDE,actvstrat=,0.002112, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.174018, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.777745, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.409764, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.476731, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.221168, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.267740, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.317749, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.814300, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.221319, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.432714, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.345554, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.615544, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.809423, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.158701, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.776655, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.830476, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.372717, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.040214, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.361326, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.002112, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.432714, 
t=,18000, id=,B00, PRDE,actvstrat=,0.002112, actvprof=,2.143552, id=,B01, PRDE,actvstrat=,-0.174018, actvprof=,2.151051, id=,B02, PRDE,actvstrat=,-0.777745, actvprof=,3.231299, id=,B03, PRDE,actvstrat=,0.409764, actvprof=,2.740479, id=,B04, PRDE,actvstrat=,-0.476731, actvprof=,2.151329, id=,B05, PRDE,actvstrat=,-0.221168, actvprof=,2.136607, id=,B06, PRDE,actvstrat=,0.267740, actvprof=,2.707147, id=,B07, PRDE,actvstrat=,-0.317749, actvprof=,2.038832, id=,B08, PRDE,actvstrat=,0.814300, actvprof=,2.539374, id=,B09, PRDE,actvstrat=,0.221319, actvprof=,2.417155, id=,S00, PRDE,actvstrat=,-0.432714, actvprof=,3.126024, id=,S01, PRDE,actvstrat=,0.345554, actvprof=,6.806755, id=,S02, PRDE,actvstrat=,0.615544, actvprof=,7.768118, id=,S03, PRDE,actvstrat=,0.809423, actvprof=,9.495570, id=,S04, PRDE,actvstrat=,-0.158701, actvprof=,4.321824, id=,S05, PRDE,actvstrat=,-0.776655, actvprof=,1.664398, id=,S06, PRDE,actvstrat=,-0.830476, actvprof=,1.191078, id=,S07, PRDE,actvstrat=,0.372717, actvprof=,6.934530, id=,S08, PRDE,actvstrat=,-0.040214, actvprof=,5.317075, id=,S09, PRDE,actvstrat=,0.361326, actvprof=,7.337852, best_B_id=,B02, best_B_prof=,3.231299, best_B_strat=,-0.777745, best_S_id=,S03, best_S_prof=,9.495570, best_S_strat=,0.809423, 
t=,21600, id=,B00, PRDE,actvstrat=,0.002112, actvprof=,2.160556, id=,B01, PRDE,actvstrat=,-0.174018, actvprof=,2.187639, id=,B02, PRDE,actvstrat=,-0.777745, actvprof=,3.231806, id=,B03, PRDE,actvstrat=,0.409764, actvprof=,2.645000, id=,B04, PRDE,actvstrat=,-0.476731, actvprof=,2.163056, id=,B05, PRDE,actvstrat=,-0.221168, actvprof=,2.080556, id=,B06, PRDE,actvstrat=,0.267740, actvprof=,2.654167, id=,B07, PRDE,actvstrat=,-0.317749, actvprof=,1.974861, id=,B08, PRDE,actvstrat=,0.814300, actvprof=,2.521250, id=,B09, PRDE,actvstrat=,0.221319, actvprof=,2.388194, id=,S00, PRDE,actvstrat=,-0.432714, actvprof=,3.234861, id=,S01, PRDE,actvstrat=,0.345554, actvprof=,6.900833, id=,S02, PRDE,actvstrat=,0.615544, actvprof=,7.957917, id=,S03, PRDE,actvstrat=,0.809423, actvprof=,9.548750, id=,S04, PRDE,actvstrat=,-0.158701, actvprof=,4.290417, id=,S05, PRDE,actvstrat=,-0.776655, actvprof=,1.634306, id=,S06, PRDE,actvstrat=,-0.830476, actvprof=,1.150556, id=,S07, PRDE,actvstrat=,0.372717, actvprof=,7.091389, id=,S08, PRDE,actvstrat=,-0.040214, actvprof=,5.177083, id=,S09, PRDE,actvstrat=,0.361326, actvprof=,7.117917, best_B_id=,B02, best_B_prof=,3.231806, best_B_strat=,-0.777745, best_S_id=,S03, best_S_prof=,9.548750, best_S_strat=,0.809423, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.316454, actvprof=,3.609367, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,3.326574, id=,B02, PRDE,actvstrat=,-0.148995, actvprof=,3.680204, id=,B03, PRDE,actvstrat=,-0.487454, actvprof=,3.862992, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,4.670259, id=,B05, PRDE,actvstrat=,0.596922, actvprof=,4.517473, id=,B06, PRDE,actvstrat=,-0.599538, actvprof=,4.510251, id=,B07, PRDE,actvstrat=,0.150143, actvprof=,3.845769, id=,B08, PRDE,actvstrat=,-0.210331, actvprof=,3.944664, id=,B09, PRDE,actvstrat=,-0.686868, actvprof=,4.366354, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.036280, id=,S01, PRDE,actvstrat=,-0.037583, actvprof=,4.046614, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.826546, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.901050, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,8.346853, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.066615, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.315795, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,3.973554, id=,S08, PRDE,actvstrat=,0.181672, actvprof=,5.099450, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,3.991888, best_B_id=,B04, best_B_prof=,4.670259, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,8.346853, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.316454, actvprof=,3.803413, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,3.357431, id=,B02, PRDE,actvstrat=,-0.148995, actvprof=,3.748967, id=,B03, PRDE,actvstrat=,-0.487454, actvprof=,3.907165, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,4.730515, id=,B05, PRDE,actvstrat=,0.596922, actvprof=,4.567734, id=,B06, PRDE,actvstrat=,-0.599538, actvprof=,4.432592, id=,B07, PRDE,actvstrat=,0.150143, actvprof=,3.951193, id=,B08, PRDE,actvstrat=,-0.210331, actvprof=,3.880359, id=,B09, PRDE,actvstrat=,-0.686868, actvprof=,4.552039, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.026139, id=,S01, PRDE,actvstrat=,-0.037583, actvprof=,3.763412, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,7.869608, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.143281, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,8.084474, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.076752, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.347313, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,4.076890, id=,S08, PRDE,actvstrat=,0.181672, actvprof=,4.946353, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.091891, best_B_id=,B04, best_B_prof=,4.730515, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,8.084474, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.510956, actvprof=,3.344445, id=,B01, PRDE,actvstrat=,0.139275, actvprof=,3.203322, id=,B02, PRDE,actvstrat=,-0.830653, actvprof=,4.585104, id=,B03, PRDE,actvstrat=,0.802304, actvprof=,3.216101, id=,B04, PRDE,actvstrat=,-0.064117, actvprof=,3.098592, id=,B05, PRDE,actvstrat=,0.596922, actvprof=,3.661416, id=,B06, PRDE,actvstrat=,-0.098892, actvprof=,3.056366, id=,B07, PRDE,actvstrat=,0.684359, actvprof=,3.546407, id=,B08, PRDE,actvstrat=,-0.784805, actvprof=,4.278134, id=,B09, PRDE,actvstrat=,-0.668360, actvprof=,4.103120, id=,S00, PRDE,actvstrat=,0.469964, actvprof=,6.942245, id=,S01, PRDE,actvstrat=,-0.056806, actvprof=,4.464261, id=,S02, PRDE,actvstrat=,0.890115, actvprof=,9.246326, id=,S03, PRDE,actvstrat=,-0.023869, actvprof=,4.958747, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,8.681001, id=,S05, PRDE,actvstrat=,0.643710, actvprof=,8.209017, id=,S06, PRDE,actvstrat=,-0.285827, actvprof=,2.327972, id=,S07, PRDE,actvstrat=,-0.140124, actvprof=,3.312498, id=,S08, PRDE,actvstrat=,0.395382, actvprof=,6.277745, id=,S09, PRDE,actvstrat=,0.982477, actvprof=,8.606551, best_B_id=,B02, best_B_prof=,4.585104, best_B_strat=,-0.830653, best_S_id=,S02, best_S_prof=,9.246326, best_S_strat=,0.890115, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.510956, actvprof=,3.466950, id=,B01, PRDE,actvstrat=,0.139275, actvprof=,3.370835, id=,B02, PRDE,actvstrat=,-0.830653, actvprof=,4.606025, id=,B03, PRDE,actvstrat=,0.802304, actvprof=,3.259997, id=,B04, PRDE,actvstrat=,-0.064117, actvprof=,3.179716, id=,B05, PRDE,actvstrat=,0.596922, actvprof=,3.660291, id=,B06, PRDE,actvstrat=,-0.098892, actvprof=,3.101935, id=,B07, PRDE,actvstrat=,0.684359, actvprof=,3.468200, id=,B08, PRDE,actvstrat=,-0.784805, actvprof=,4.389072, id=,B09, PRDE,actvstrat=,-0.668360, actvprof=,4.106560, id=,S00, PRDE,actvstrat=,0.469964, actvprof=,6.908760, id=,S01, PRDE,actvstrat=,-0.056806, actvprof=,4.541578, id=,S02, PRDE,actvstrat=,0.890115, actvprof=,9.080239, id=,S03, PRDE,actvstrat=,-0.023869, actvprof=,4.752837, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,8.685501, id=,S05, PRDE,actvstrat=,0.643710, actvprof=,7.964499, id=,S06, PRDE,actvstrat=,-0.285827, actvprof=,2.608998, id=,S07, PRDE,actvstrat=,-0.140124, actvprof=,3.313332, id=,S08, PRDE,actvstrat=,0.395382, actvprof=,6.246371, id=,S09, PRDE,actvstrat=,0.982477, actvprof=,8.559107, best_B_id=,B02, best_B_prof=,4.606025, best_B_strat=,-0.830653, best_S_id=,S02, best_S_prof=,9.080239, best_S_strat=,0.890115, 
