t=,1, id=,B00, PRDE,actvstrat=,-0.763064, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.740164, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.199617, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.695115, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.537344, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.719895, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.536315, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.607720, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.081677, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.647111, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.554291, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.135084, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.175480, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.052358, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.881140, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.273808, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.418813, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.611758, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.060876, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.051148, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.763064, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.554291, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.763064, actvprof=,2.710796, id=,B01, PRDE,actvstrat=,-0.740164, actvprof=,2.409411, id=,B02, PRDE,actvstrat=,0.199617, actvprof=,1.883585, id=,B03, PRDE,actvstrat=,0.695115, actvprof=,2.564687, id=,B04, PRDE,actvstrat=,-0.537344, actvprof=,2.216080, id=,B05, PRDE,actvstrat=,0.719895, actvprof=,2.488854, id=,B06, PRDE,actvstrat=,0.536315, actvprof=,2.620797, id=,B07, PRDE,actvstrat=,0.607720, actvprof=,2.416633, id=,B08, PRDE,actvstrat=,0.081677, actvprof=,1.979417, id=,B09, PRDE,actvstrat=,-0.647111, actvprof=,2.086082, id=,S00, PRDE,actvstrat=,-0.554291, actvprof=,3.244955, id=,S01, PRDE,actvstrat=,0.135084, actvprof=,6.925737, id=,S02, PRDE,actvstrat=,-0.175480, actvprof=,4.917709, id=,S03, PRDE,actvstrat=,-0.052358, actvprof=,6.152970, id=,S04, PRDE,actvstrat=,0.881140, actvprof=,10.139304, id=,S05, PRDE,actvstrat=,-0.273808, actvprof=,4.060221, id=,S06, PRDE,actvstrat=,-0.418813, actvprof=,3.803281, id=,S07, PRDE,actvstrat=,0.611758, actvprof=,8.775989, id=,S08, PRDE,actvstrat=,-0.060876, actvprof=,5.500757, id=,S09, PRDE,actvstrat=,0.051148, actvprof=,7.012680, best_B_id=,B00, best_B_prof=,2.710796, best_B_strat=,-0.763064, best_S_id=,S04, best_S_prof=,10.139304, best_S_strat=,0.881140, 
t=,7200, id=,B00, PRDE,actvstrat=,0.412023, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.642777, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.522428, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.090658, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.790662, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.043808, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.654966, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.420934, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.331393, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.342207, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.945411, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.785414, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.789340, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.142940, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.713426, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.532386, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.336210, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.660293, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.245952, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.393744, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.412023, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.945411, 
t=,10800, id=,B00, PRDE,actvstrat=,0.412023, actvprof=,1.953584, id=,B01, PRDE,actvstrat=,0.642777, actvprof=,1.953028, id=,B02, PRDE,actvstrat=,-0.522428, actvprof=,1.438036, id=,B03, PRDE,actvstrat=,0.090658, actvprof=,1.439702, id=,B04, PRDE,actvstrat=,-0.790662, actvprof=,2.068860, id=,B05, PRDE,actvstrat=,0.043808, actvprof=,1.569145, id=,B06, PRDE,actvstrat=,-0.654966, actvprof=,1.664699, id=,B07, PRDE,actvstrat=,0.420934, actvprof=,1.857474, id=,B08, PRDE,actvstrat=,0.331393, actvprof=,1.680532, id=,B09, PRDE,actvstrat=,-0.342207, actvprof=,1.214428, id=,S00, PRDE,actvstrat=,-0.945411, actvprof=,0.933876, id=,S01, PRDE,actvstrat=,-0.785414, actvprof=,1.666088, id=,S02, PRDE,actvstrat=,0.789340, actvprof=,10.010694, id=,S03, PRDE,actvstrat=,0.142940, actvprof=,6.205192, id=,S04, PRDE,actvstrat=,-0.713426, actvprof=,2.609130, id=,S05, PRDE,actvstrat=,0.532386, actvprof=,8.398494, id=,S06, PRDE,actvstrat=,-0.336210, actvprof=,3.514118, id=,S07, PRDE,actvstrat=,-0.660293, actvprof=,2.561631, id=,S08, PRDE,actvstrat=,-0.245952, actvprof=,4.132998, id=,S09, PRDE,actvstrat=,0.393744, actvprof=,7.460730, best_B_id=,B04, best_B_prof=,2.068860, best_B_strat=,-0.790662, best_S_id=,S02, best_S_prof=,10.010694, best_S_strat=,0.789340, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.627974, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.071932, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.985840, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.241000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.762376, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.641516, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.810322, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.479278, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.543939, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.821928, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.167555, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.763491, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.774057, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.204998, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.970691, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.532386, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.874000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.611758, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.402234, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.458732, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.627974, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.167555, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.627974, actvprof=,2.074665, id=,B01, PRDE,actvstrat=,0.071932, actvprof=,2.029110, id=,B02, PRDE,actvstrat=,-0.985840, actvprof=,3.337685, id=,B03, PRDE,actvstrat=,-0.241000, actvprof=,1.889948, id=,B04, PRDE,actvstrat=,0.762376, actvprof=,2.538263, id=,B05, PRDE,actvstrat=,-0.641516, actvprof=,2.202161, id=,B06, PRDE,actvstrat=,-0.810322, actvprof=,2.798533, id=,B07, PRDE,actvstrat=,0.479278, actvprof=,2.362157, id=,B08, PRDE,actvstrat=,0.543939, actvprof=,2.750201, id=,B09, PRDE,actvstrat=,-0.821928, actvprof=,2.692147, id=,S00, PRDE,actvstrat=,-0.167555, actvprof=,3.488236, id=,S01, PRDE,actvstrat=,0.763491, actvprof=,9.384184, id=,S02, PRDE,actvstrat=,0.774057, actvprof=,9.491403, id=,S03, PRDE,actvstrat=,0.204998, actvprof=,6.551762, id=,S04, PRDE,actvstrat=,-0.970691, actvprof=,1.673565, id=,S05, PRDE,actvstrat=,0.532386, actvprof=,7.830616, id=,S06, PRDE,actvstrat=,-0.874000, actvprof=,0.539429, id=,S07, PRDE,actvstrat=,0.611758, actvprof=,8.082831, id=,S08, PRDE,actvstrat=,0.402234, actvprof=,6.819255, id=,S09, PRDE,actvstrat=,-0.458732, actvprof=,3.239354, best_B_id=,B02, best_B_prof=,3.337685, best_B_strat=,-0.985840, best_S_id=,S02, best_S_prof=,9.491403, best_S_strat=,0.774057, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.591939, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.762047, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.683129, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.090658, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.646584, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.788457, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.654966, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.241360, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.017870, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.300461, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.670711, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.717575, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.870510, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.392681, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.817845, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.391817, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.050311, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.622187, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.245952, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.752576, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.591939, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.670711, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.591939, actvprof=,0.923333, id=,B01, PRDE,actvstrat=,0.762047, actvprof=,1.646111, id=,B02, PRDE,actvstrat=,0.683129, actvprof=,1.517222, id=,B03, PRDE,actvstrat=,0.090658, actvprof=,0.821111, id=,B04, PRDE,actvstrat=,-0.646584, actvprof=,1.079167, id=,B05, PRDE,actvstrat=,0.788457, actvprof=,1.462500, id=,B06, PRDE,actvstrat=,-0.654966, actvprof=,0.871667, id=,B07, PRDE,actvstrat=,0.241360, actvprof=,0.933056, id=,B08, PRDE,actvstrat=,0.017870, actvprof=,0.786389, id=,B09, PRDE,actvstrat=,-0.300461, actvprof=,0.808889, id=,S00, PRDE,actvstrat=,-0.670711, actvprof=,2.985556, id=,S01, PRDE,actvstrat=,0.717575, actvprof=,10.877778, id=,S02, PRDE,actvstrat=,-0.870510, actvprof=,0.667222, id=,S03, PRDE,actvstrat=,0.392681, actvprof=,8.381667, id=,S04, PRDE,actvstrat=,-0.817845, actvprof=,1.366111, id=,S05, PRDE,actvstrat=,-0.391817, actvprof=,3.900833, id=,S06, PRDE,actvstrat=,-0.050311, actvprof=,6.049722, id=,S07, PRDE,actvstrat=,-0.622187, actvprof=,3.131944, id=,S08, PRDE,actvstrat=,-0.245952, actvprof=,4.336667, id=,S09, PRDE,actvstrat=,-0.752576, actvprof=,2.564167, best_B_id=,B01, best_B_prof=,1.646111, best_B_strat=,0.762047, best_S_id=,S01, best_S_prof=,10.877778, best_S_strat=,0.717575, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.591939, actvprof=,0.943340, id=,B01, PRDE,actvstrat=,0.762047, actvprof=,1.614456, id=,B02, PRDE,actvstrat=,0.683129, actvprof=,1.462093, id=,B03, PRDE,actvstrat=,0.090658, actvprof=,0.850561, id=,B04, PRDE,actvstrat=,-0.646584, actvprof=,1.019035, id=,B05, PRDE,actvstrat=,0.788457, actvprof=,1.509872, id=,B06, PRDE,actvstrat=,-0.654966, actvprof=,0.949312, id=,B07, PRDE,actvstrat=,0.241360, actvprof=,0.942784, id=,B08, PRDE,actvstrat=,0.017870, actvprof=,0.798894, id=,B09, PRDE,actvstrat=,-0.300461, actvprof=,0.714449, id=,S00, PRDE,actvstrat=,-0.670711, actvprof=,3.128633, id=,S01, PRDE,actvstrat=,0.717575, actvprof=,10.518129, id=,S02, PRDE,actvstrat=,-0.870510, actvprof=,0.709588, id=,S03, PRDE,actvstrat=,0.392681, actvprof=,8.590754, id=,S04, PRDE,actvstrat=,-0.817845, actvprof=,1.473482, id=,S05, PRDE,actvstrat=,-0.391817, actvprof=,4.021556, id=,S06, PRDE,actvstrat=,-0.050311, actvprof=,5.895319, id=,S07, PRDE,actvstrat=,-0.622187, actvprof=,3.195717, id=,S08, PRDE,actvstrat=,-0.245952, actvprof=,4.516420, id=,S09, PRDE,actvstrat=,-0.752576, actvprof=,2.534879, best_B_id=,B01, best_B_prof=,1.614456, best_B_strat=,0.762047, best_S_id=,S01, best_S_prof=,10.518129, best_S_strat=,0.717575, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.853016, actvprof=,0.958929, id=,B01, PRDE,actvstrat=,-0.391173, actvprof=,0.317235, id=,B02, PRDE,actvstrat=,0.683129, actvprof=,0.987263, id=,B03, PRDE,actvstrat=,0.335536, actvprof=,0.618359, id=,B04, PRDE,actvstrat=,0.048115, actvprof=,0.398906, id=,B05, PRDE,actvstrat=,0.788457, actvprof=,1.071156, id=,B06, PRDE,actvstrat=,0.818794, actvprof=,1.128380, id=,B07, PRDE,actvstrat=,0.420934, actvprof=,0.728086, id=,B08, PRDE,actvstrat=,-0.551512, actvprof=,0.381127, id=,B09, PRDE,actvstrat=,-0.342207, actvprof=,0.444463, id=,S00, PRDE,actvstrat=,-0.614685, actvprof=,3.685154, id=,S01, PRDE,actvstrat=,-0.977392, actvprof=,0.715030, id=,S02, PRDE,actvstrat=,-0.045891, actvprof=,6.962790, id=,S03, PRDE,actvstrat=,-0.903312, actvprof=,0.388627, id=,S04, PRDE,actvstrat=,0.268143, actvprof=,8.627304, id=,S05, PRDE,actvstrat=,-0.391817, actvprof=,4.385461, id=,S06, PRDE,actvstrat=,-0.832869, actvprof=,1.554509, id=,S07, PRDE,actvstrat=,-0.882869, actvprof=,0.840035, id=,S08, PRDE,actvstrat=,0.165352, actvprof=,8.228121, id=,S09, PRDE,actvstrat=,-0.752576, actvprof=,2.869842, best_B_id=,B06, best_B_prof=,1.128380, best_B_strat=,0.818794, best_S_id=,S04, best_S_prof=,8.627304, best_S_strat=,0.268143, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.853016, actvprof=,0.947381, id=,B01, PRDE,actvstrat=,-0.391173, actvprof=,0.344174, id=,B02, PRDE,actvstrat=,0.683129, actvprof=,0.952937, id=,B03, PRDE,actvstrat=,0.335536, actvprof=,0.592096, id=,B04, PRDE,actvstrat=,0.048115, actvprof=,0.414036, id=,B05, PRDE,actvstrat=,0.788457, actvprof=,1.089606, id=,B06, PRDE,actvstrat=,0.818794, actvprof=,1.097801, id=,B07, PRDE,actvstrat=,0.420934, actvprof=,0.690570, id=,B08, PRDE,actvstrat=,-0.551512, actvprof=,0.397786, id=,B09, PRDE,actvstrat=,-0.342207, actvprof=,0.395564, id=,S00, PRDE,actvstrat=,-0.614685, actvprof=,3.690494, id=,S01, PRDE,actvstrat=,-0.977392, actvprof=,0.784739, id=,S02, PRDE,actvstrat=,-0.045891, actvprof=,6.905838, id=,S03, PRDE,actvstrat=,-0.903312, actvprof=,0.415148, id=,S04, PRDE,actvstrat=,0.268143, actvprof=,8.474482, id=,S05, PRDE,actvstrat=,-0.391817, actvprof=,4.405231, id=,S06, PRDE,actvstrat=,-0.832869, actvprof=,1.480309, id=,S07, PRDE,actvstrat=,-0.882869, actvprof=,0.703626, id=,S08, PRDE,actvstrat=,0.165352, actvprof=,8.204199, id=,S09, PRDE,actvstrat=,-0.752576, actvprof=,2.892699, best_B_id=,B06, best_B_prof=,1.097801, best_B_strat=,0.818794, best_S_id=,S04, best_S_prof=,8.474482, best_S_strat=,0.268143, 
