t=,3600, id=,B00, PRDE,actvstrat=,0.261253, actvprof=,2.616111, id=,B01, PRDE,actvstrat=,-0.576487, actvprof=,2.428333, id=,B02, PRDE,actvstrat=,-0.958532, actvprof=,3.186944, id=,B03, PRDE,actvstrat=,-0.086043, actvprof=,2.205278, id=,B04, PRDE,actvstrat=,-0.013322, actvprof=,2.280278, id=,B05, PRDE,actvstrat=,0.213841, actvprof=,2.374722, id=,B06, PRDE,actvstrat=,0.351221, actvprof=,2.499722, id=,B07, PRDE,actvstrat=,-0.165606, actvprof=,2.128333, id=,B08, PRDE,actvstrat=,0.562868, actvprof=,2.833333, id=,B09, PRDE,actvstrat=,0.684810, actvprof=,2.651389, id=,S00, PRDE,actvstrat=,0.300947, actvprof=,7.317222, id=,S01, PRDE,actvstrat=,-0.668995, actvprof=,3.407500, id=,S02, PRDE,actvstrat=,-0.255769, actvprof=,3.950278, id=,S03, PRDE,actvstrat=,0.288178, actvprof=,7.386944, id=,S04, PRDE,actvstrat=,0.141200, actvprof=,6.289167, id=,S05, PRDE,actvstrat=,0.851319, actvprof=,9.951667, id=,S06, PRDE,actvstrat=,0.143676, actvprof=,6.752222, id=,S07, PRDE,actvstrat=,-0.990098, actvprof=,3.221389, id=,S08, PRDE,actvstrat=,0.362893, actvprof=,7.340000, id=,S09, PRDE,actvstrat=,-0.184822, actvprof=,4.379167, best_B_id=,B02, best_B_prof=,3.186944, best_B_strat=,-0.958532, best_S_id=,S05, best_S_prof=,9.951667, best_S_strat=,0.851319, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.288275, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.209619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.316926, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.639047, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.204934, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.197222, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.584121, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.270885, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.997326, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.135214, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.783144, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.905879, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.423484, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.730800, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.147626, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.353861, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.153327, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.820873, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.629451, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.676528, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.288275, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.783144, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.288275, actvprof=,1.426091, id=,B01, PRDE,actvstrat=,0.209619, actvprof=,1.573589, id=,B02, PRDE,actvstrat=,0.316926, actvprof=,1.861363, id=,B03, PRDE,actvstrat=,-0.639047, actvprof=,1.693588, id=,B04, PRDE,actvstrat=,-0.204934, actvprof=,1.229983, id=,B05, PRDE,actvstrat=,-0.197222, actvprof=,1.180539, id=,B06, PRDE,actvstrat=,-0.584121, actvprof=,1.557201, id=,B07, PRDE,actvstrat=,0.270885, actvprof=,1.776364, id=,B08, PRDE,actvstrat=,-0.997326, actvprof=,2.737740, id=,B09, PRDE,actvstrat=,-0.135214, actvprof=,1.325537, id=,S00, PRDE,actvstrat=,0.783144, actvprof=,9.689032, id=,S01, PRDE,actvstrat=,-0.905879, actvprof=,0.407772, id=,S02, PRDE,actvstrat=,-0.423484, actvprof=,2.670518, id=,S03, PRDE,actvstrat=,-0.730800, actvprof=,2.056083, id=,S04, PRDE,actvstrat=,0.147626, actvprof=,5.856863, id=,S05, PRDE,actvstrat=,-0.353861, actvprof=,2.890238, id=,S06, PRDE,actvstrat=,-0.153327, actvprof=,3.614394, id=,S07, PRDE,actvstrat=,0.820873, actvprof=,9.965417, id=,S08, PRDE,actvstrat=,-0.629451, actvprof=,2.446633, id=,S09, PRDE,actvstrat=,-0.676528, actvprof=,1.951362, best_B_id=,B08, best_B_prof=,2.737740, best_B_strat=,-0.997326, best_S_id=,S07, best_S_prof=,9.965417, best_S_strat=,0.820873, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.706334, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.272033, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.617428, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.639047, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.639325, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.359534, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.280385, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.193422, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.646094, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.628367, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.156779, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.612704, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.905154, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.085408, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.182310, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.076339, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.451170, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.984735, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.914300, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.676528, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.706334, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.156779, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.706334, actvprof=,1.181389, id=,B01, PRDE,actvstrat=,0.272033, actvprof=,1.221389, id=,B02, PRDE,actvstrat=,-0.617428, actvprof=,0.969444, id=,B03, PRDE,actvstrat=,-0.639047, actvprof=,1.172778, id=,B04, PRDE,actvstrat=,0.639325, actvprof=,1.706944, id=,B05, PRDE,actvstrat=,-0.359534, actvprof=,0.803611, id=,B06, PRDE,actvstrat=,0.280385, actvprof=,1.260833, id=,B07, PRDE,actvstrat=,-0.193422, actvprof=,0.989722, id=,B08, PRDE,actvstrat=,0.646094, actvprof=,1.833333, id=,B09, PRDE,actvstrat=,0.628367, actvprof=,1.757500, id=,S00, PRDE,actvstrat=,-0.156779, actvprof=,4.714722, id=,S01, PRDE,actvstrat=,-0.612704, actvprof=,3.219444, id=,S02, PRDE,actvstrat=,0.905154, actvprof=,11.249167, id=,S03, PRDE,actvstrat=,0.085408, actvprof=,6.646944, id=,S04, PRDE,actvstrat=,-0.182310, actvprof=,3.825278, id=,S05, PRDE,actvstrat=,-0.076339, actvprof=,5.284722, id=,S06, PRDE,actvstrat=,-0.451170, actvprof=,3.418611, id=,S07, PRDE,actvstrat=,-0.984735, actvprof=,1.585278, id=,S08, PRDE,actvstrat=,-0.914300, actvprof=,0.476111, id=,S09, PRDE,actvstrat=,-0.676528, actvprof=,2.749444, best_B_id=,B08, best_B_prof=,1.833333, best_B_strat=,0.646094, best_S_id=,S02, best_S_prof=,11.249167, best_S_strat=,0.905154, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.706334, actvprof=,1.152500, id=,B01, PRDE,actvstrat=,0.272033, actvprof=,1.172361, id=,B02, PRDE,actvstrat=,-0.617428, actvprof=,0.989167, id=,B03, PRDE,actvstrat=,-0.639047, actvprof=,1.001944, id=,B04, PRDE,actvstrat=,0.639325, actvprof=,1.645000, id=,B05, PRDE,actvstrat=,-0.359534, actvprof=,0.800278, id=,B06, PRDE,actvstrat=,0.280385, actvprof=,1.258333, id=,B07, PRDE,actvstrat=,-0.193422, actvprof=,0.901250, id=,B08, PRDE,actvstrat=,0.646094, actvprof=,1.664306, id=,B09, PRDE,actvstrat=,0.628367, actvprof=,1.577639, id=,S00, PRDE,actvstrat=,-0.156779, actvprof=,4.496944, id=,S01, PRDE,actvstrat=,-0.612704, actvprof=,3.126944, id=,S02, PRDE,actvstrat=,0.905154, actvprof=,11.292639, id=,S03, PRDE,actvstrat=,0.085408, actvprof=,6.472639, id=,S04, PRDE,actvstrat=,-0.182310, actvprof=,3.791806, id=,S05, PRDE,actvstrat=,-0.076339, actvprof=,5.197083, id=,S06, PRDE,actvstrat=,-0.451170, actvprof=,3.289167, id=,S07, PRDE,actvstrat=,-0.984735, actvprof=,1.530556, id=,S08, PRDE,actvstrat=,-0.914300, actvprof=,0.423194, id=,S09, PRDE,actvstrat=,-0.676528, actvprof=,2.605139, best_B_id=,B08, best_B_prof=,1.664306, best_B_strat=,0.646094, best_S_id=,S02, best_S_prof=,11.292639, best_S_strat=,0.905154, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.209200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.277535, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,2.439512, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.133087, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,2.325620, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.544793, id=,B06, PRDE,actvstrat=,-0.569782, actvprof=,3.055085, id=,B07, PRDE,actvstrat=,0.945268, actvprof=,2.540626, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.319481, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.560071, id=,S00, PRDE,actvstrat=,-0.570191, actvprof=,3.802606, id=,S01, PRDE,actvstrat=,0.656569, actvprof=,10.821967, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.773105, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.585377, id=,S04, PRDE,actvstrat=,0.550814, actvprof=,10.506681, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,11.615600, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,3.490097, id=,S07, PRDE,actvstrat=,0.684616, actvprof=,10.639462, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.680880, id=,S09, PRDE,actvstrat=,0.794849, actvprof=,12.215617, best_B_id=,B06, best_B_prof=,3.055085, best_B_strat=,-0.569782, best_S_id=,S09, best_S_prof=,12.215617, best_S_strat=,0.794849, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.043903, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.057515, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,2.107807, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.979875, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,2.015445, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.122529, id=,B06, PRDE,actvstrat=,-0.569782, actvprof=,2.517813, id=,B07, PRDE,actvstrat=,0.945268, actvprof=,2.216559, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.027653, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.081001, id=,S00, PRDE,actvstrat=,-0.570191, actvprof=,4.083529, id=,S01, PRDE,actvstrat=,0.656569, actvprof=,11.107515, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.329477, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.734080, id=,S04, PRDE,actvstrat=,0.550814, actvprof=,10.531813, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,12.108363, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,3.617411, id=,S07, PRDE,actvstrat=,0.684616, actvprof=,11.091682, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.339060, id=,S09, PRDE,actvstrat=,0.794849, actvprof=,12.177391, best_B_id=,B06, best_B_prof=,2.517813, best_B_strat=,-0.569782, best_S_id=,S08, best_S_prof=,12.339060, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.456800, actvprof=,1.626457, id=,B01, PRDE,actvstrat=,0.080445, actvprof=,1.028098, id=,B02, PRDE,actvstrat=,0.183627, actvprof=,1.215328, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.192314, id=,B04, PRDE,actvstrat=,-0.785400, actvprof=,1.657847, id=,B05, PRDE,actvstrat=,-0.780939, actvprof=,1.468395, id=,B06, PRDE,actvstrat=,-0.946691, actvprof=,2.146201, id=,B07, PRDE,actvstrat=,0.496237, actvprof=,1.686459, id=,B08, PRDE,actvstrat=,0.394524, actvprof=,1.448116, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.680862, id=,S00, PRDE,actvstrat=,-0.399480, actvprof=,3.257636, id=,S01, PRDE,actvstrat=,0.094722, actvprof=,6.806395, id=,S02, PRDE,actvstrat=,0.213257, actvprof=,7.725600, id=,S03, PRDE,actvstrat=,-0.672090, actvprof=,2.649277, id=,S04, PRDE,actvstrat=,0.147626, actvprof=,7.195300, id=,S05, PRDE,actvstrat=,-0.766796, actvprof=,1.703404, id=,S06, PRDE,actvstrat=,-0.431570, actvprof=,3.827937, id=,S07, PRDE,actvstrat=,-0.027717, actvprof=,6.505827, id=,S08, PRDE,actvstrat=,0.907317, actvprof=,11.672431, id=,S09, PRDE,actvstrat=,0.794849, actvprof=,11.376030, best_B_id=,B03, best_B_prof=,2.192314, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,11.672431, best_S_strat=,0.907317, 
t=,36000, id=,B00, PRDE,actvstrat=,0.456800, actvprof=,1.621700, id=,B01, PRDE,actvstrat=,0.080445, actvprof=,1.130996, id=,B02, PRDE,actvstrat=,0.183627, actvprof=,1.254471, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.172545, id=,B04, PRDE,actvstrat=,-0.785400, actvprof=,1.531421, id=,B05, PRDE,actvstrat=,-0.780939, actvprof=,1.574616, id=,B06, PRDE,actvstrat=,-0.946691, actvprof=,2.194490, id=,B07, PRDE,actvstrat=,0.496237, actvprof=,1.609339, id=,B08, PRDE,actvstrat=,0.394524, actvprof=,1.513782, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.619596, id=,S00, PRDE,actvstrat=,-0.399480, actvprof=,3.456878, id=,S01, PRDE,actvstrat=,0.094722, actvprof=,6.883755, id=,S02, PRDE,actvstrat=,0.213257, actvprof=,7.837941, id=,S03, PRDE,actvstrat=,-0.672090, actvprof=,2.672972, id=,S04, PRDE,actvstrat=,0.147626, actvprof=,7.069592, id=,S05, PRDE,actvstrat=,-0.766796, actvprof=,1.785037, id=,S06, PRDE,actvstrat=,-0.431570, actvprof=,3.771329, id=,S07, PRDE,actvstrat=,-0.027717, actvprof=,6.742640, id=,S08, PRDE,actvstrat=,0.907317, actvprof=,11.712883, id=,S09, PRDE,actvstrat=,0.794849, actvprof=,11.278985, best_B_id=,B06, best_B_prof=,2.194490, best_B_strat=,-0.946691, best_S_id=,S08, best_S_prof=,11.712883, best_S_strat=,0.907317, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.240569, id=,B01, PRDE,actvstrat=,0.658229, actvprof=,0.741152, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.505584, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.345853, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.242513, id=,B05, PRDE,actvstrat=,0.907454, actvprof=,0.582810, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.335852, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.290572, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.279182, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.353353, id=,S00, PRDE,actvstrat=,0.384052, actvprof=,9.991944, id=,S01, PRDE,actvstrat=,-0.494637, actvprof=,5.422801, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.912217, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,14.597478, id=,S04, PRDE,actvstrat=,-0.059371, actvprof=,7.528474, id=,S05, PRDE,actvstrat=,0.120102, actvprof=,9.239958, id=,S06, PRDE,actvstrat=,0.957168, actvprof=,14.328574, id=,S07, PRDE,actvstrat=,-0.513058, actvprof=,4.955831, id=,S08, PRDE,actvstrat=,0.704231, actvprof=,13.074893, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.591088, best_B_id=,B01, best_B_prof=,0.741152, best_B_strat=,0.658229, best_S_id=,S03, best_S_prof=,14.597478, best_S_strat=,1.000000, 
