t=,0, id=,B00, PRDE,actvstrat=,0.114495, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.667313, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.380777, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.067656, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.807237, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.531814, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.476138, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.107202, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.981682, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.095028, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.293120, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.913837, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.948503, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.342993, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.671656, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.318762, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.437290, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.674226, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.010269, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.807107, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.114495, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.293120, 
t=,3600, id=,B00, PRDE,actvstrat=,0.114495, actvprof=,2.310000, id=,B01, PRDE,actvstrat=,-0.667313, actvprof=,3.021111, id=,B02, PRDE,actvstrat=,-0.380777, actvprof=,2.368333, id=,B03, PRDE,actvstrat=,-0.067656, actvprof=,2.181667, id=,B04, PRDE,actvstrat=,0.807237, actvprof=,2.683333, id=,B05, PRDE,actvstrat=,0.531814, actvprof=,2.918056, id=,B06, PRDE,actvstrat=,0.476138, actvprof=,2.699444, id=,B07, PRDE,actvstrat=,0.107202, actvprof=,2.174722, id=,B08, PRDE,actvstrat=,0.981682, actvprof=,0.963056, id=,B09, PRDE,actvstrat=,0.095028, actvprof=,2.266667, id=,S00, PRDE,actvstrat=,0.293120, actvprof=,7.293889, id=,S01, PRDE,actvstrat=,0.913837, actvprof=,10.447500, id=,S02, PRDE,actvstrat=,-0.948503, actvprof=,1.060833, id=,S03, PRDE,actvstrat=,0.342993, actvprof=,7.727778, id=,S04, PRDE,actvstrat=,-0.671656, actvprof=,2.675556, id=,S05, PRDE,actvstrat=,-0.318762, actvprof=,3.998056, id=,S06, PRDE,actvstrat=,0.437290, actvprof=,8.117778, id=,S07, PRDE,actvstrat=,0.674226, actvprof=,9.611389, id=,S08, PRDE,actvstrat=,-0.010269, actvprof=,5.939722, id=,S09, PRDE,actvstrat=,0.807107, actvprof=,10.518889, best_B_id=,B01, best_B_prof=,3.021111, best_B_strat=,-0.667313, best_S_id=,S09, best_S_prof=,10.518889, best_S_strat=,0.807107, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.820371, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.653717, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.195049, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.504543, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.098522, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.652960, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.308182, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.643370, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.096267, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.156477, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.881415, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.665088, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.684080, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.931655, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.998664, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.592514, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.714069, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.238673, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.812819, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.699009, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.820371, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.881415, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.820371, actvprof=,3.447222, id=,B01, PRDE,actvstrat=,-0.653717, actvprof=,2.533333, id=,B02, PRDE,actvstrat=,0.195049, actvprof=,2.330000, id=,B03, PRDE,actvstrat=,-0.504543, actvprof=,1.982222, id=,B04, PRDE,actvstrat=,0.098522, actvprof=,2.282222, id=,B05, PRDE,actvstrat=,-0.652960, actvprof=,2.320000, id=,B06, PRDE,actvstrat=,0.308182, actvprof=,2.380000, id=,B07, PRDE,actvstrat=,-0.643370, actvprof=,2.285278, id=,B08, PRDE,actvstrat=,0.096267, actvprof=,2.313889, id=,B09, PRDE,actvstrat=,0.156477, actvprof=,2.388611, id=,S00, PRDE,actvstrat=,-0.881415, actvprof=,0.366389, id=,S01, PRDE,actvstrat=,0.665088, actvprof=,7.848611, id=,S02, PRDE,actvstrat=,-0.684080, actvprof=,1.953611, id=,S03, PRDE,actvstrat=,0.931655, actvprof=,9.231389, id=,S04, PRDE,actvstrat=,-0.998664, actvprof=,4.543333, id=,S05, PRDE,actvstrat=,-0.592514, actvprof=,2.111111, id=,S06, PRDE,actvstrat=,-0.714069, actvprof=,1.850833, id=,S07, PRDE,actvstrat=,-0.238673, actvprof=,2.809722, id=,S08, PRDE,actvstrat=,0.812819, actvprof=,9.016389, id=,S09, PRDE,actvstrat=,0.699009, actvprof=,8.361389, best_B_id=,B00, best_B_prof=,3.447222, best_B_strat=,-0.820371, best_S_id=,S03, best_S_prof=,9.231389, best_S_strat=,0.931655, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.820371, actvprof=,3.233889, id=,B01, PRDE,actvstrat=,-0.653717, actvprof=,2.482361, id=,B02, PRDE,actvstrat=,0.195049, actvprof=,2.379306, id=,B03, PRDE,actvstrat=,-0.504543, actvprof=,2.026389, id=,B04, PRDE,actvstrat=,0.098522, actvprof=,2.282500, id=,B05, PRDE,actvstrat=,-0.652960, actvprof=,2.318056, id=,B06, PRDE,actvstrat=,0.308182, actvprof=,2.406806, id=,B07, PRDE,actvstrat=,-0.643370, actvprof=,2.318889, id=,B08, PRDE,actvstrat=,0.096267, actvprof=,2.291389, id=,B09, PRDE,actvstrat=,0.156477, actvprof=,2.304444, id=,S00, PRDE,actvstrat=,-0.881415, actvprof=,0.431111, id=,S01, PRDE,actvstrat=,0.665088, actvprof=,7.772083, id=,S02, PRDE,actvstrat=,-0.684080, actvprof=,1.838611, id=,S03, PRDE,actvstrat=,0.931655, actvprof=,9.373333, id=,S04, PRDE,actvstrat=,-0.998664, actvprof=,4.301389, id=,S05, PRDE,actvstrat=,-0.592514, actvprof=,2.269028, id=,S06, PRDE,actvstrat=,-0.714069, actvprof=,2.049861, id=,S07, PRDE,actvstrat=,-0.238673, actvprof=,2.813750, id=,S08, PRDE,actvstrat=,0.812819, actvprof=,9.100833, id=,S09, PRDE,actvstrat=,0.699009, actvprof=,8.305972, best_B_id=,B00, best_B_prof=,3.233889, best_B_strat=,-0.820371, best_S_id=,S03, best_S_prof=,9.373333, best_S_strat=,0.931655, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.483123, actvprof=,2.616981, id=,B01, PRDE,actvstrat=,-0.810191, actvprof=,3.911165, id=,B02, PRDE,actvstrat=,-0.178025, actvprof=,2.338366, id=,B03, PRDE,actvstrat=,-0.581682, actvprof=,2.641981, id=,B04, PRDE,actvstrat=,-0.803826, actvprof=,3.318102, id=,B05, PRDE,actvstrat=,0.700631, actvprof=,3.050320, id=,B06, PRDE,actvstrat=,0.471659, actvprof=,2.930041, id=,B07, PRDE,actvstrat=,-0.456605, actvprof=,2.575036, id=,B08, PRDE,actvstrat=,-0.559668, actvprof=,2.646426, id=,B09, PRDE,actvstrat=,0.905851, actvprof=,2.296976, id=,S00, PRDE,actvstrat=,0.116748, actvprof=,5.052570, id=,S01, PRDE,actvstrat=,-0.533503, actvprof=,2.446701, id=,S02, PRDE,actvstrat=,0.387414, actvprof=,7.046765, id=,S03, PRDE,actvstrat=,0.514170, actvprof=,7.218156, id=,S04, PRDE,actvstrat=,0.217326, actvprof=,5.631189, id=,S05, PRDE,actvstrat=,0.648219, actvprof=,7.743996, id=,S06, PRDE,actvstrat=,0.108576, actvprof=,4.850623, id=,S07, PRDE,actvstrat=,0.824924, actvprof=,9.295129, id=,S08, PRDE,actvstrat=,0.225119, actvprof=,5.622300, id=,S09, PRDE,actvstrat=,-0.418073, actvprof=,2.523924, best_B_id=,B01, best_B_prof=,3.911165, best_B_strat=,-0.810191, best_S_id=,S07, best_S_prof=,9.295129, best_S_strat=,0.824924, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.483123, actvprof=,2.630435, id=,B01, PRDE,actvstrat=,-0.810191, actvprof=,3.845999, id=,B02, PRDE,actvstrat=,-0.178025, actvprof=,2.454878, id=,B03, PRDE,actvstrat=,-0.581682, actvprof=,2.732658, id=,B04, PRDE,actvstrat=,-0.803826, actvprof=,3.505858, id=,B05, PRDE,actvstrat=,0.700631, actvprof=,2.967798, id=,B06, PRDE,actvstrat=,0.471659, actvprof=,3.139050, id=,B07, PRDE,actvstrat=,-0.456605, actvprof=,2.565851, id=,B08, PRDE,actvstrat=,-0.559668, actvprof=,2.768630, id=,B09, PRDE,actvstrat=,0.905851, actvprof=,2.329461, id=,S00, PRDE,actvstrat=,0.116748, actvprof=,5.226009, id=,S01, PRDE,actvstrat=,-0.533503, actvprof=,2.449600, id=,S02, PRDE,actvstrat=,0.387414, actvprof=,6.712963, id=,S03, PRDE,actvstrat=,0.514170, actvprof=,7.131577, id=,S04, PRDE,actvstrat=,0.217326, actvprof=,5.739901, id=,S05, PRDE,actvstrat=,0.648219, actvprof=,7.845193, id=,S06, PRDE,actvstrat=,0.108576, actvprof=,4.980035, id=,S07, PRDE,actvstrat=,0.824924, actvprof=,9.326593, id=,S08, PRDE,actvstrat=,0.225119, actvprof=,5.431149, id=,S09, PRDE,actvstrat=,-0.418073, actvprof=,2.439184, best_B_id=,B01, best_B_prof=,3.845999, best_B_strat=,-0.810191, best_S_id=,S07, best_S_prof=,9.326593, best_S_strat=,0.824924, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.820371, actvprof=,0.932526, id=,B01, PRDE,actvstrat=,-0.931248, actvprof=,1.850329, id=,B02, PRDE,actvstrat=,0.778366, actvprof=,1.937554, id=,B03, PRDE,actvstrat=,-0.504543, actvprof=,0.865857, id=,B04, PRDE,actvstrat=,-0.228377, actvprof=,1.138365, id=,B05, PRDE,actvstrat=,0.034873, actvprof=,1.150032, id=,B06, PRDE,actvstrat=,-0.937859, actvprof=,2.084225, id=,B07, PRDE,actvstrat=,-0.989048, actvprof=,2.615906, id=,B08, PRDE,actvstrat=,-0.922005, actvprof=,1.766438, id=,B09, PRDE,actvstrat=,-0.183588, actvprof=,0.987805, id=,S00, PRDE,actvstrat=,-0.097717, actvprof=,4.255952, id=,S01, PRDE,actvstrat=,-0.387608, actvprof=,3.257313, id=,S02, PRDE,actvstrat=,0.500916, actvprof=,7.901886, id=,S03, PRDE,actvstrat=,0.020575, actvprof=,5.516820, id=,S04, PRDE,actvstrat=,-0.300182, actvprof=,2.827023, id=,S05, PRDE,actvstrat=,-0.418921, actvprof=,2.968694, id=,S06, PRDE,actvstrat=,-0.893223, actvprof=,0.257229, id=,S07, PRDE,actvstrat=,-0.489480, actvprof=,2.670352, id=,S08, PRDE,actvstrat=,0.370574, actvprof=,7.338537, id=,S09, PRDE,actvstrat=,0.369256, actvprof=,7.234368, best_B_id=,B07, best_B_prof=,2.615906, best_B_strat=,-0.989048, best_S_id=,S02, best_S_prof=,7.901886, best_S_strat=,0.500916, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.820371, actvprof=,1.031396, id=,B01, PRDE,actvstrat=,-0.931248, actvprof=,1.904319, id=,B02, PRDE,actvstrat=,0.778366, actvprof=,1.904874, id=,B03, PRDE,actvstrat=,-0.504543, actvprof=,0.895562, id=,B04, PRDE,actvstrat=,-0.228377, actvprof=,1.015701, id=,B05, PRDE,actvstrat=,0.034873, actvprof=,1.155564, id=,B06, PRDE,actvstrat=,-0.937859, actvprof=,2.051542, id=,B07, PRDE,actvstrat=,-0.989048, actvprof=,2.540157, id=,B08, PRDE,actvstrat=,-0.922005, actvprof=,1.679456, id=,B09, PRDE,actvstrat=,-0.183588, actvprof=,0.955979, id=,S00, PRDE,actvstrat=,-0.097717, actvprof=,4.353086, id=,S01, PRDE,actvstrat=,-0.387608, actvprof=,2.985715, id=,S02, PRDE,actvstrat=,0.500916, actvprof=,8.214224, id=,S03, PRDE,actvstrat=,0.020575, actvprof=,5.752679, id=,S04, PRDE,actvstrat=,-0.300182, actvprof=,2.851131, id=,S05, PRDE,actvstrat=,-0.418921, actvprof=,2.891826, id=,S06, PRDE,actvstrat=,-0.893223, actvprof=,0.240557, id=,S07, PRDE,actvstrat=,-0.489480, actvprof=,2.493906, id=,S08, PRDE,actvstrat=,0.370574, actvprof=,7.268939, id=,S09, PRDE,actvstrat=,0.369256, actvprof=,7.391579, best_B_id=,B07, best_B_prof=,2.540157, best_B_strat=,-0.989048, best_S_id=,S02, best_S_prof=,8.214224, best_S_strat=,0.500916, 
t=,32400, id=,B00, PRDE,actvstrat=,0.841782, actvprof=,2.218426, id=,B01, PRDE,actvstrat=,-0.889840, actvprof=,2.810117, id=,B02, PRDE,actvstrat=,0.195049, actvprof=,1.860355, id=,B03, PRDE,actvstrat=,-0.119266, actvprof=,1.718683, id=,B04, PRDE,actvstrat=,-0.791061, actvprof=,2.401211, id=,B05, PRDE,actvstrat=,0.199694, actvprof=,1.748962, id=,B06, PRDE,actvstrat=,-0.937859, actvprof=,3.086795, id=,B07, PRDE,actvstrat=,0.756911, actvprof=,2.250372, id=,B08, PRDE,actvstrat=,-0.535722, actvprof=,1.705627, id=,B09, PRDE,actvstrat=,-0.049103, actvprof=,1.546731, id=,S00, PRDE,actvstrat=,0.293120, actvprof=,6.704446, id=,S01, PRDE,actvstrat=,-0.007511, actvprof=,5.742739, id=,S02, PRDE,actvstrat=,0.500916, actvprof=,7.849772, id=,S03, PRDE,actvstrat=,0.020575, actvprof=,6.219426, id=,S04, PRDE,actvstrat=,-0.635072, actvprof=,2.064253, id=,S05, PRDE,actvstrat=,-0.592514, actvprof=,2.620665, id=,S06, PRDE,actvstrat=,0.064812, actvprof=,6.328597, id=,S07, PRDE,actvstrat=,-0.650974, actvprof=,2.736503, id=,S08, PRDE,actvstrat=,0.604191, actvprof=,8.407573, id=,S09, PRDE,actvstrat=,0.804638, actvprof=,10.204314, best_B_id=,B06, best_B_prof=,3.086795, best_B_strat=,-0.937859, best_S_id=,S09, best_S_prof=,10.204314, best_S_strat=,0.804638, 
t=,36000, id=,B00, PRDE,actvstrat=,0.841782, actvprof=,2.269492, id=,B01, PRDE,actvstrat=,-0.889840, actvprof=,2.828114, id=,B02, PRDE,actvstrat=,0.195049, actvprof=,1.900595, id=,B03, PRDE,actvstrat=,-0.119266, actvprof=,1.694202, id=,B04, PRDE,actvstrat=,-0.791061, actvprof=,2.333521, id=,B05, PRDE,actvstrat=,0.199694, actvprof=,1.836983, id=,B06, PRDE,actvstrat=,-0.937859, actvprof=,3.024924, id=,B07, PRDE,actvstrat=,0.756911, actvprof=,2.314215, id=,B08, PRDE,actvstrat=,-0.535722, actvprof=,1.693230, id=,B09, PRDE,actvstrat=,-0.049103, actvprof=,1.667535, id=,S00, PRDE,actvstrat=,0.293120, actvprof=,6.939033, id=,S01, PRDE,actvstrat=,-0.007511, actvprof=,5.527893, id=,S02, PRDE,actvstrat=,0.500916, actvprof=,7.771412, id=,S03, PRDE,actvstrat=,0.020575, actvprof=,6.156934, id=,S04, PRDE,actvstrat=,-0.635072, actvprof=,2.153100, id=,S05, PRDE,actvstrat=,-0.592514, actvprof=,2.682556, id=,S06, PRDE,actvstrat=,0.064812, actvprof=,6.099433, id=,S07, PRDE,actvstrat=,-0.650974, actvprof=,2.542414, id=,S08, PRDE,actvstrat=,0.604191, actvprof=,8.586984, id=,S09, PRDE,actvstrat=,0.804638, actvprof=,10.079099, best_B_id=,B06, best_B_prof=,3.024924, best_B_strat=,-0.937859, best_S_id=,S09, best_S_prof=,10.079099, best_S_strat=,0.804638, 
