t=,0, id=,B00, PRDE,actvstrat=,-0.337067, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.070046, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.293835, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.949517, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.971582, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.944335, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.489410, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.841812, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.306452, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.852732, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.982831, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.602161, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.573626, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.615964, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.251679, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.257050, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.459970, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.044981, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.467175, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.323945, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.337067, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.982831, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.337067, actvprof=,1.155540, id=,B01, PRDE,actvstrat=,0.070046, actvprof=,1.346926, id=,B02, PRDE,actvstrat=,0.293835, actvprof=,1.531645, id=,B03, PRDE,actvstrat=,0.949517, actvprof=,1.470535, id=,B04, PRDE,actvstrat=,-0.971582, actvprof=,2.232747, id=,B05, PRDE,actvstrat=,0.944335, actvprof=,1.361092, id=,B06, PRDE,actvstrat=,-0.489410, actvprof=,1.274982, id=,B07, PRDE,actvstrat=,-0.841812, actvprof=,1.886918, id=,B08, PRDE,actvstrat=,0.306452, actvprof=,1.663866, id=,B09, PRDE,actvstrat=,-0.852732, actvprof=,1.970250, id=,S00, PRDE,actvstrat=,-0.982831, actvprof=,2.344134, id=,S01, PRDE,actvstrat=,-0.602161, actvprof=,4.221052, id=,S02, PRDE,actvstrat=,0.573626, actvprof=,9.673199, id=,S03, PRDE,actvstrat=,-0.615964, actvprof=,3.494396, id=,S04, PRDE,actvstrat=,-0.251679, actvprof=,4.671324, id=,S05, PRDE,actvstrat=,0.257050, actvprof=,8.163498, id=,S06, PRDE,actvstrat=,0.459970, actvprof=,9.347926, id=,S07, PRDE,actvstrat=,0.044981, actvprof=,7.387953, id=,S08, PRDE,actvstrat=,-0.467175, actvprof=,4.471327, id=,S09, PRDE,actvstrat=,-0.323945, actvprof=,4.240774, best_B_id=,B04, best_B_prof=,2.232747, best_B_strat=,-0.971582, best_S_id=,S02, best_S_prof=,9.673199, best_S_strat=,0.573626, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.328519, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.886706, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.931231, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.692650, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.507723, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.351488, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.595977, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.276410, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.297075, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.322724, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.229860, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.529465, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.861489, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.861693, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.789427, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.560134, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.336845, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.459509, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.200070, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.518286, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.328519, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.229860, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.328519, actvprof=,0.914432, id=,B01, PRDE,actvstrat=,-0.886706, actvprof=,2.084693, id=,B02, PRDE,actvstrat=,-0.931231, actvprof=,2.349967, id=,B03, PRDE,actvstrat=,0.692650, actvprof=,1.639144, id=,B04, PRDE,actvstrat=,0.507723, actvprof=,1.569423, id=,B05, PRDE,actvstrat=,0.351488, actvprof=,1.393036, id=,B06, PRDE,actvstrat=,0.595977, actvprof=,1.669143, id=,B07, PRDE,actvstrat=,0.276410, actvprof=,1.223872, id=,B08, PRDE,actvstrat=,0.297075, actvprof=,1.133318, id=,B09, PRDE,actvstrat=,0.322724, actvprof=,1.251094, id=,S00, PRDE,actvstrat=,-0.229860, actvprof=,3.736615, id=,S01, PRDE,actvstrat=,-0.529465, actvprof=,3.141067, id=,S02, PRDE,actvstrat=,-0.861489, actvprof=,0.833322, id=,S03, PRDE,actvstrat=,-0.861693, actvprof=,0.782211, id=,S04, PRDE,actvstrat=,0.789427, actvprof=,10.959014, id=,S05, PRDE,actvstrat=,-0.560134, actvprof=,3.283010, id=,S06, PRDE,actvstrat=,0.336845, actvprof=,8.179886, id=,S07, PRDE,actvstrat=,0.459509, actvprof=,8.919876, id=,S08, PRDE,actvstrat=,0.200070, actvprof=,7.075457, id=,S09, PRDE,actvstrat=,0.518286, actvprof=,9.638199, best_B_id=,B02, best_B_prof=,2.349967, best_B_strat=,-0.931231, best_S_id=,S04, best_S_prof=,10.959014, best_S_strat=,0.789427, 
t=,14400, id=,B00, PRDE,actvstrat=,0.990191, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.043296, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.576445, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.170818, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.393977, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.593263, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.254482, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.438892, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.962343, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.689109, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.525212, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.496306, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.763170, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.461882, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.372385, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.964639, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.336845, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.536759, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.102875, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.518286, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.990191, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.525212, 
t=,18000, id=,B00, PRDE,actvstrat=,0.990191, actvprof=,0.815556, id=,B01, PRDE,actvstrat=,-0.043296, actvprof=,2.160833, id=,B02, PRDE,actvstrat=,0.576445, actvprof=,2.625833, id=,B03, PRDE,actvstrat=,-0.170818, actvprof=,2.156389, id=,B04, PRDE,actvstrat=,-0.393977, actvprof=,1.985278, id=,B05, PRDE,actvstrat=,-0.593263, actvprof=,2.571944, id=,B06, PRDE,actvstrat=,0.254482, actvprof=,2.616667, id=,B07, PRDE,actvstrat=,0.438892, actvprof=,2.505278, id=,B08, PRDE,actvstrat=,0.962343, actvprof=,1.205000, id=,B09, PRDE,actvstrat=,-0.689109, actvprof=,3.082222, id=,S00, PRDE,actvstrat=,0.525212, actvprof=,8.714444, id=,S01, PRDE,actvstrat=,-0.496306, actvprof=,3.393889, id=,S02, PRDE,actvstrat=,-0.763170, actvprof=,1.888889, id=,S03, PRDE,actvstrat=,-0.461882, actvprof=,3.374444, id=,S04, PRDE,actvstrat=,0.372385, actvprof=,7.695556, id=,S05, PRDE,actvstrat=,0.964639, actvprof=,10.572500, id=,S06, PRDE,actvstrat=,0.336845, actvprof=,7.472778, id=,S07, PRDE,actvstrat=,0.536759, actvprof=,8.645556, id=,S08, PRDE,actvstrat=,-0.102875, actvprof=,5.116944, id=,S09, PRDE,actvstrat=,0.518286, actvprof=,8.222222, best_B_id=,B09, best_B_prof=,3.082222, best_B_strat=,-0.689109, best_S_id=,S05, best_S_prof=,10.572500, best_S_strat=,0.964639, 
t=,21600, id=,B00, PRDE,actvstrat=,0.990191, actvprof=,0.861806, id=,B01, PRDE,actvstrat=,-0.043296, actvprof=,2.170556, id=,B02, PRDE,actvstrat=,0.576445, actvprof=,2.595278, id=,B03, PRDE,actvstrat=,-0.170818, actvprof=,2.198750, id=,B04, PRDE,actvstrat=,-0.393977, actvprof=,1.961528, id=,B05, PRDE,actvstrat=,-0.593263, actvprof=,2.652639, id=,B06, PRDE,actvstrat=,0.254482, actvprof=,2.647500, id=,B07, PRDE,actvstrat=,0.438892, actvprof=,2.572222, id=,B08, PRDE,actvstrat=,0.962343, actvprof=,1.207083, id=,B09, PRDE,actvstrat=,-0.689109, actvprof=,3.062361, id=,S00, PRDE,actvstrat=,0.525212, actvprof=,8.664444, id=,S01, PRDE,actvstrat=,-0.496306, actvprof=,3.451250, id=,S02, PRDE,actvstrat=,-0.763170, actvprof=,1.914861, id=,S03, PRDE,actvstrat=,-0.461882, actvprof=,3.317222, id=,S04, PRDE,actvstrat=,0.372385, actvprof=,7.723889, id=,S05, PRDE,actvstrat=,0.964639, actvprof=,10.462639, id=,S06, PRDE,actvstrat=,0.336845, actvprof=,7.594167, id=,S07, PRDE,actvstrat=,0.536759, actvprof=,8.821111, id=,S08, PRDE,actvstrat=,-0.102875, actvprof=,4.903750, id=,S09, PRDE,actvstrat=,0.518286, actvprof=,8.361389, best_B_id=,B09, best_B_prof=,3.062361, best_B_strat=,-0.689109, best_S_id=,S05, best_S_prof=,10.462639, best_S_strat=,0.964639, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.328519, actvprof=,1.369741, id=,B01, PRDE,actvstrat=,-0.793725, actvprof=,2.242253, id=,B02, PRDE,actvstrat=,-0.061368, actvprof=,1.400575, id=,B03, PRDE,actvstrat=,0.446766, actvprof=,1.808914, id=,B04, PRDE,actvstrat=,-0.756294, actvprof=,2.016417, id=,B05, PRDE,actvstrat=,0.108238, actvprof=,1.505854, id=,B06, PRDE,actvstrat=,0.826320, actvprof=,2.148919, id=,B07, PRDE,actvstrat=,0.987848, actvprof=,0.602231, id=,B08, PRDE,actvstrat=,-0.701848, actvprof=,1.648078, id=,B09, PRDE,actvstrat=,0.437404, actvprof=,1.898360, id=,S00, PRDE,actvstrat=,0.369880, actvprof=,8.394561, id=,S01, PRDE,actvstrat=,0.615787, actvprof=,9.514854, id=,S02, PRDE,actvstrat=,-0.247637, actvprof=,4.050890, id=,S03, PRDE,actvstrat=,-0.500380, actvprof=,3.503104, id=,S04, PRDE,actvstrat=,-0.143599, actvprof=,4.347005, id=,S05, PRDE,actvstrat=,-0.381756, actvprof=,3.480048, id=,S06, PRDE,actvstrat=,0.931537, actvprof=,10.936819, id=,S07, PRDE,actvstrat=,-0.689945, actvprof=,2.003639, id=,S08, PRDE,actvstrat=,-0.034278, actvprof=,5.643412, id=,S09, PRDE,actvstrat=,-0.002372, actvprof=,6.352033, best_B_id=,B01, best_B_prof=,2.242253, best_B_strat=,-0.793725, best_S_id=,S06, best_S_prof=,10.936819, best_S_strat=,0.931537, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.328519, actvprof=,1.266259, id=,B01, PRDE,actvstrat=,-0.793725, actvprof=,2.205849, id=,B02, PRDE,actvstrat=,-0.061368, actvprof=,1.351259, id=,B03, PRDE,actvstrat=,0.446766, actvprof=,1.879457, id=,B04, PRDE,actvstrat=,-0.756294, actvprof=,2.057375, id=,B05, PRDE,actvstrat=,0.108238, actvprof=,1.499594, id=,B06, PRDE,actvstrat=,0.826320, actvprof=,2.099876, id=,B07, PRDE,actvstrat=,0.987848, actvprof=,0.621671, id=,B08, PRDE,actvstrat=,-0.701848, actvprof=,1.748345, id=,B09, PRDE,actvstrat=,0.437404, actvprof=,1.972236, id=,S00, PRDE,actvstrat=,0.369880, actvprof=,8.127140, id=,S01, PRDE,actvstrat=,0.615787, actvprof=,9.355621, id=,S02, PRDE,actvstrat=,-0.247637, actvprof=,3.937527, id=,S03, PRDE,actvstrat=,-0.500380, actvprof=,3.266967, id=,S04, PRDE,actvstrat=,-0.143599, actvprof=,4.454753, id=,S05, PRDE,actvstrat=,-0.381756, actvprof=,3.507247, id=,S06, PRDE,actvstrat=,0.931537, actvprof=,10.910631, id=,S07, PRDE,actvstrat=,-0.689945, actvprof=,2.279877, id=,S08, PRDE,actvstrat=,-0.034278, actvprof=,5.813929, id=,S09, PRDE,actvstrat=,-0.002372, actvprof=,6.033792, best_B_id=,B01, best_B_prof=,2.205849, best_B_strat=,-0.793725, best_S_id=,S06, best_S_prof=,10.910631, best_S_strat=,0.931537, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.328519, actvprof=,1.584466, id=,B01, PRDE,actvstrat=,-0.992101, actvprof=,3.495326, id=,B02, PRDE,actvstrat=,-0.213036, actvprof=,1.880859, id=,B03, PRDE,actvstrat=,-0.641315, actvprof=,1.893082, id=,B04, PRDE,actvstrat=,-0.458959, actvprof=,1.590578, id=,B05, PRDE,actvstrat=,-0.808771, actvprof=,2.297532, id=,B06, PRDE,actvstrat=,0.216725, actvprof=,2.259754, id=,B07, PRDE,actvstrat=,-0.719148, actvprof=,2.014472, id=,B08, PRDE,actvstrat=,-0.701848, actvprof=,1.876137, id=,B09, PRDE,actvstrat=,-0.403880, actvprof=,1.700024, id=,S00, PRDE,actvstrat=,-0.001268, actvprof=,4.404783, id=,S01, PRDE,actvstrat=,0.496307, actvprof=,6.519257, id=,S02, PRDE,actvstrat=,-0.813129, actvprof=,1.090293, id=,S03, PRDE,actvstrat=,0.104518, actvprof=,5.153405, id=,S04, PRDE,actvstrat=,-0.143599, actvprof=,2.472812, id=,S05, PRDE,actvstrat=,-0.381756, actvprof=,1.926693, id=,S06, PRDE,actvstrat=,-0.165286, actvprof=,2.708093, id=,S07, PRDE,actvstrat=,-0.054245, actvprof=,4.058112, id=,S08, PRDE,actvstrat=,0.158399, actvprof=,4.993125, id=,S09, PRDE,actvstrat=,0.391681, actvprof=,6.282032, best_B_id=,B01, best_B_prof=,3.495326, best_B_strat=,-0.992101, best_S_id=,S01, best_S_prof=,6.519257, best_S_strat=,0.496307, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.328519, actvprof=,1.714746, id=,B01, PRDE,actvstrat=,-0.992101, actvprof=,3.505188, id=,B02, PRDE,actvstrat=,-0.213036, actvprof=,1.888082, id=,B03, PRDE,actvstrat=,-0.641315, actvprof=,1.814747, id=,B04, PRDE,actvstrat=,-0.458959, actvprof=,1.728774, id=,B05, PRDE,actvstrat=,-0.808771, actvprof=,2.356005, id=,B06, PRDE,actvstrat=,0.216725, actvprof=,2.256142, id=,B07, PRDE,actvstrat=,-0.719148, actvprof=,2.125030, id=,B08, PRDE,actvstrat=,-0.701848, actvprof=,2.022806, id=,B09, PRDE,actvstrat=,-0.403880, actvprof=,1.736274, id=,S00, PRDE,actvstrat=,-0.001268, actvprof=,4.267976, id=,S01, PRDE,actvstrat=,0.496307, actvprof=,6.517591, id=,S02, PRDE,actvstrat=,-0.813129, actvprof=,0.942374, id=,S03, PRDE,actvstrat=,0.104518, actvprof=,5.002153, id=,S04, PRDE,actvstrat=,-0.143599, actvprof=,2.708232, id=,S05, PRDE,actvstrat=,-0.381756, actvprof=,2.058501, id=,S06, PRDE,actvstrat=,-0.165286, actvprof=,2.832817, id=,S07, PRDE,actvstrat=,-0.054245, actvprof=,4.056723, id=,S08, PRDE,actvstrat=,0.158399, actvprof=,4.941458, id=,S09, PRDE,actvstrat=,0.391681, actvprof=,6.280782, best_B_id=,B01, best_B_prof=,3.505188, best_B_strat=,-0.992101, best_S_id=,S01, best_S_prof=,6.517591, best_S_strat=,0.496307, 
