t=,0, id=,B00, PRDE,actvstrat=,-0.734076, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.166756, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.169519, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.641720, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.001175, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.348464, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.613901, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.872626, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.168933, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.997663, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.395959, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.109243, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.564542, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.249122, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.880503, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.147146, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.211098, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.334548, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.672916, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.340033, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.734076, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.395959, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.734076, actvprof=,2.086944, id=,B01, PRDE,actvstrat=,0.166756, actvprof=,1.663333, id=,B02, PRDE,actvstrat=,-0.169519, actvprof=,1.504167, id=,B03, PRDE,actvstrat=,-0.641720, actvprof=,1.697778, id=,B04, PRDE,actvstrat=,-0.001175, actvprof=,1.508889, id=,B05, PRDE,actvstrat=,0.348464, actvprof=,1.912500, id=,B06, PRDE,actvstrat=,0.613901, actvprof=,2.261389, id=,B07, PRDE,actvstrat=,0.872626, actvprof=,1.970556, id=,B08, PRDE,actvstrat=,0.168933, actvprof=,1.813611, id=,B09, PRDE,actvstrat=,-0.997663, actvprof=,2.587500, id=,S00, PRDE,actvstrat=,0.395959, actvprof=,8.040833, id=,S01, PRDE,actvstrat=,0.109243, actvprof=,6.527778, id=,S02, PRDE,actvstrat=,0.564542, actvprof=,9.315556, id=,S03, PRDE,actvstrat=,-0.249122, actvprof=,4.200833, id=,S04, PRDE,actvstrat=,-0.880503, actvprof=,1.109722, id=,S05, PRDE,actvstrat=,0.147146, actvprof=,6.996111, id=,S06, PRDE,actvstrat=,0.211098, actvprof=,6.938056, id=,S07, PRDE,actvstrat=,-0.334548, actvprof=,3.578611, id=,S08, PRDE,actvstrat=,-0.672916, actvprof=,3.335556, id=,S09, PRDE,actvstrat=,0.340033, actvprof=,7.639167, best_B_id=,B09, best_B_prof=,2.587500, best_B_strat=,-0.997663, best_S_id=,S02, best_S_prof=,9.315556, best_S_strat=,0.564542, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.899700, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.850138, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.106308, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.576684, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.083767, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.953666, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.952817, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.789535, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.342795, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.504990, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.698865, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.633052, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.592567, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.832678, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.093292, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.668233, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.032669, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.862492, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.235154, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.705005, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.899700, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.698865, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.899700, actvprof=,2.400211, id=,B01, PRDE,actvstrat=,0.850138, actvprof=,1.834116, id=,B02, PRDE,actvstrat=,-0.106308, actvprof=,0.967473, id=,B03, PRDE,actvstrat=,0.576684, actvprof=,1.707453, id=,B04, PRDE,actvstrat=,-0.083767, actvprof=,1.134691, id=,B05, PRDE,actvstrat=,0.953666, actvprof=,1.062470, id=,B06, PRDE,actvstrat=,0.952817, actvprof=,0.999694, id=,B07, PRDE,actvstrat=,-0.789535, actvprof=,1.805783, id=,B08, PRDE,actvstrat=,0.342795, actvprof=,1.330796, id=,B09, PRDE,actvstrat=,0.504990, actvprof=,1.558012, id=,S00, PRDE,actvstrat=,0.698865, actvprof=,10.945529, id=,S01, PRDE,actvstrat=,-0.633052, actvprof=,3.323241, id=,S02, PRDE,actvstrat=,0.592567, actvprof=,10.171662, id=,S03, PRDE,actvstrat=,0.832678, actvprof=,11.616344, id=,S04, PRDE,actvstrat=,-0.093292, actvprof=,5.895392, id=,S05, PRDE,actvstrat=,-0.668233, actvprof=,3.364351, id=,S06, PRDE,actvstrat=,-0.032669, actvprof=,5.785950, id=,S07, PRDE,actvstrat=,-0.862492, actvprof=,0.828033, id=,S08, PRDE,actvstrat=,-0.235154, actvprof=,4.938474, id=,S09, PRDE,actvstrat=,0.705005, actvprof=,10.705814, best_B_id=,B00, best_B_prof=,2.400211, best_B_strat=,-0.899700, best_S_id=,S03, best_S_prof=,11.616344, best_S_strat=,0.832678, 
t=,14400, id=,B00, PRDE,actvstrat=,0.014154, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.114458, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.761249, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.578378, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.684062, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.330036, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.178885, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.042858, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.697806, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.389042, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.121803, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.909411, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.322308, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.040371, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.872255, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.249567, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.356746, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.234414, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.391944, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.263971, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.014154, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.121803, 
t=,18000, id=,B00, PRDE,actvstrat=,0.014154, actvprof=,0.802767, id=,B01, PRDE,actvstrat=,0.114458, actvprof=,0.789433, id=,B02, PRDE,actvstrat=,0.761249, actvprof=,1.339426, id=,B03, PRDE,actvstrat=,0.578378, actvprof=,1.241094, id=,B04, PRDE,actvstrat=,0.684062, actvprof=,1.340815, id=,B05, PRDE,actvstrat=,0.330036, actvprof=,1.105262, id=,B06, PRDE,actvstrat=,0.178885, actvprof=,1.003597, id=,B07, PRDE,actvstrat=,0.042858, actvprof=,0.763601, id=,B08, PRDE,actvstrat=,0.697806, actvprof=,1.386647, id=,B09, PRDE,actvstrat=,0.389042, actvprof=,0.998597, id=,S00, PRDE,actvstrat=,-0.121803, actvprof=,5.624089, id=,S01, PRDE,actvstrat=,-0.909411, actvprof=,0.309718, id=,S02, PRDE,actvstrat=,-0.322308, actvprof=,4.106887, id=,S03, PRDE,actvstrat=,0.040371, actvprof=,7.492951, id=,S04, PRDE,actvstrat=,-0.872255, actvprof=,0.720823, id=,S05, PRDE,actvstrat=,0.249567, actvprof=,7.881002, id=,S06, PRDE,actvstrat=,0.356746, actvprof=,8.691268, id=,S07, PRDE,actvstrat=,-0.234414, actvprof=,4.262441, id=,S08, PRDE,actvstrat=,0.391944, actvprof=,9.283482, id=,S09, PRDE,actvstrat=,-0.263971, actvprof=,4.677435, best_B_id=,B08, best_B_prof=,1.386647, best_B_strat=,0.697806, best_S_id=,S08, best_S_prof=,9.283482, best_S_strat=,0.391944, 
t=,21600, id=,B00, PRDE,actvstrat=,0.014154, actvprof=,0.743472, id=,B01, PRDE,actvstrat=,0.114458, actvprof=,0.738056, id=,B02, PRDE,actvstrat=,0.761249, actvprof=,1.341250, id=,B03, PRDE,actvstrat=,0.578378, actvprof=,1.183611, id=,B04, PRDE,actvstrat=,0.684062, actvprof=,1.321250, id=,B05, PRDE,actvstrat=,0.330036, actvprof=,1.000139, id=,B06, PRDE,actvstrat=,0.178885, actvprof=,0.956944, id=,B07, PRDE,actvstrat=,0.042858, actvprof=,0.840972, id=,B08, PRDE,actvstrat=,0.697806, actvprof=,1.354167, id=,B09, PRDE,actvstrat=,0.389042, actvprof=,0.965694, id=,S00, PRDE,actvstrat=,-0.121803, actvprof=,5.593611, id=,S01, PRDE,actvstrat=,-0.909411, actvprof=,0.303472, id=,S02, PRDE,actvstrat=,-0.322308, actvprof=,4.113194, id=,S03, PRDE,actvstrat=,0.040371, actvprof=,7.238056, id=,S04, PRDE,actvstrat=,-0.872255, actvprof=,0.590000, id=,S05, PRDE,actvstrat=,0.249567, actvprof=,8.047639, id=,S06, PRDE,actvstrat=,0.356746, actvprof=,8.718611, id=,S07, PRDE,actvstrat=,-0.234414, actvprof=,4.500833, id=,S08, PRDE,actvstrat=,0.391944, actvprof=,9.049583, id=,S09, PRDE,actvstrat=,-0.263971, actvprof=,4.543889, best_B_id=,B08, best_B_prof=,1.354167, best_B_strat=,0.697806, best_S_id=,S08, best_S_prof=,9.049583, best_S_strat=,0.391944, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.029341, actvprof=,1.364741, id=,B01, PRDE,actvstrat=,-0.204181, actvprof=,1.583911, id=,B02, PRDE,actvstrat=,0.301992, actvprof=,1.757802, id=,B03, PRDE,actvstrat=,0.980525, actvprof=,0.670843, id=,B04, PRDE,actvstrat=,0.871308, actvprof=,1.849748, id=,B05, PRDE,actvstrat=,0.699445, actvprof=,2.131696, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.645565, id=,B07, PRDE,actvstrat=,0.237943, actvprof=,1.685023, id=,B08, PRDE,actvstrat=,-0.986082, actvprof=,1.570300, id=,B09, PRDE,actvstrat=,-0.554418, actvprof=,1.577800, id=,S00, PRDE,actvstrat=,0.464187, actvprof=,9.570133, id=,S01, PRDE,actvstrat=,-0.573705, actvprof=,3.265601, id=,S02, PRDE,actvstrat=,0.632027, actvprof=,10.415145, id=,S03, PRDE,actvstrat=,0.601030, actvprof=,10.488201, id=,S04, PRDE,actvstrat=,0.864481, actvprof=,11.711274, id=,S05, PRDE,actvstrat=,-0.651445, actvprof=,3.291435, id=,S06, PRDE,actvstrat=,0.391647, actvprof=,8.948458, id=,S07, PRDE,actvstrat=,0.180876, actvprof=,7.663162, id=,S08, PRDE,actvstrat=,-0.267479, actvprof=,3.981166, id=,S09, PRDE,actvstrat=,-0.328635, actvprof=,4.362561, best_B_id=,B05, best_B_prof=,2.131696, best_B_strat=,0.699445, best_S_id=,S04, best_S_prof=,11.711274, best_S_strat=,0.864481, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.029341, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.243046, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.106308, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.017869, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.085903, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.972224, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.707069, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.391850, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.839836, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.502467, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.698865, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.216786, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.763007, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.458945, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.713709, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.104414, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.814207, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.783851, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.590562, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.665197, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.029341, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.698865, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.029341, actvprof=,3.110043, id=,B01, PRDE,actvstrat=,0.243046, actvprof=,3.321157, id=,B02, PRDE,actvstrat=,-0.106308, actvprof=,3.223100, id=,B03, PRDE,actvstrat=,-0.017869, actvprof=,2.875318, id=,B04, PRDE,actvstrat=,-0.085903, actvprof=,2.905874, id=,B05, PRDE,actvstrat=,0.972224, actvprof=,1.864470, id=,B06, PRDE,actvstrat=,-0.707069, actvprof=,3.636439, id=,B07, PRDE,actvstrat=,-0.391850, actvprof=,3.265323, id=,B08, PRDE,actvstrat=,-0.839836, actvprof=,4.026723, id=,B09, PRDE,actvstrat=,-0.502467, actvprof=,3.154210, id=,S00, PRDE,actvstrat=,0.698865, actvprof=,8.107057, id=,S01, PRDE,actvstrat=,0.216786, actvprof=,5.845915, id=,S02, PRDE,actvstrat=,0.763007, actvprof=,8.203447, id=,S03, PRDE,actvstrat=,0.458945, actvprof=,6.655926, id=,S04, PRDE,actvstrat=,-0.713709, actvprof=,1.829748, id=,S05, PRDE,actvstrat=,0.104414, actvprof=,5.176461, id=,S06, PRDE,actvstrat=,0.814207, actvprof=,8.687621, id=,S07, PRDE,actvstrat=,0.783851, actvprof=,8.594842, id=,S08, PRDE,actvstrat=,-0.590562, actvprof=,2.078084, id=,S09, PRDE,actvstrat=,-0.665197, actvprof=,1.950583, best_B_id=,B08, best_B_prof=,4.026723, best_B_strat=,-0.839836, best_S_id=,S06, best_S_prof=,8.687621, best_S_strat=,0.814207, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.029341, actvprof=,3.011431, id=,B01, PRDE,actvstrat=,0.243046, actvprof=,3.334074, id=,B02, PRDE,actvstrat=,-0.106308, actvprof=,3.236156, id=,B03, PRDE,actvstrat=,-0.017869, actvprof=,2.874901, id=,B04, PRDE,actvstrat=,-0.085903, actvprof=,3.126155, id=,B05, PRDE,actvstrat=,0.972224, actvprof=,1.899332, id=,B06, PRDE,actvstrat=,-0.707069, actvprof=,3.682690, id=,B07, PRDE,actvstrat=,-0.391850, actvprof=,3.183794, id=,B08, PRDE,actvstrat=,-0.839836, actvprof=,4.200058, id=,B09, PRDE,actvstrat=,-0.502467, actvprof=,3.169350, id=,S00, PRDE,actvstrat=,0.698865, actvprof=,8.128168, id=,S01, PRDE,actvstrat=,0.216786, actvprof=,5.726746, id=,S02, PRDE,actvstrat=,0.763007, actvprof=,8.281504, id=,S03, PRDE,actvstrat=,0.458945, actvprof=,6.758288, id=,S04, PRDE,actvstrat=,-0.713709, actvprof=,1.766691, id=,S05, PRDE,actvstrat=,0.104414, actvprof=,5.190072, id=,S06, PRDE,actvstrat=,0.814207, actvprof=,8.838595, id=,S07, PRDE,actvstrat=,0.783851, actvprof=,8.647342, id=,S08, PRDE,actvstrat=,-0.590562, actvprof=,2.113640, id=,S09, PRDE,actvstrat=,-0.665197, actvprof=,1.954472, best_B_id=,B08, best_B_prof=,4.200058, best_B_strat=,-0.839836, best_S_id=,S06, best_S_prof=,8.838595, best_S_strat=,0.814207, 
