t=,0, id=,B00, PRDE,actvstrat=,0.944152, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.788132, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.140979, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.495564, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.100902, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.859975, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.510787, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.685987, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.946765, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.125990, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.846324, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.484434, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.225174, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.692111, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.094193, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.613650, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.140996, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.374272, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.278355, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.735697, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.944152, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.846324, 
t=,3600, id=,B00, PRDE,actvstrat=,0.944152, actvprof=,1.396389, id=,B01, PRDE,actvstrat=,0.788132, actvprof=,1.811944, id=,B02, PRDE,actvstrat=,-0.140979, actvprof=,1.007778, id=,B03, PRDE,actvstrat=,-0.495564, actvprof=,0.969444, id=,B04, PRDE,actvstrat=,0.100902, actvprof=,1.183611, id=,B05, PRDE,actvstrat=,-0.859975, actvprof=,1.800833, id=,B06, PRDE,actvstrat=,-0.510787, actvprof=,0.952500, id=,B07, PRDE,actvstrat=,0.685987, actvprof=,1.784722, id=,B08, PRDE,actvstrat=,-0.946765, actvprof=,2.201389, id=,B09, PRDE,actvstrat=,-0.125990, actvprof=,1.068889, id=,S00, PRDE,actvstrat=,-0.846324, actvprof=,2.295000, id=,S01, PRDE,actvstrat=,-0.484434, actvprof=,5.454444, id=,S02, PRDE,actvstrat=,0.225174, actvprof=,8.603333, id=,S03, PRDE,actvstrat=,-0.692111, actvprof=,4.053889, id=,S04, PRDE,actvstrat=,-0.094193, actvprof=,6.333611, id=,S05, PRDE,actvstrat=,-0.613650, actvprof=,4.720833, id=,S06, PRDE,actvstrat=,0.140996, actvprof=,8.299444, id=,S07, PRDE,actvstrat=,-0.374272, actvprof=,5.411944, id=,S08, PRDE,actvstrat=,-0.278355, actvprof=,5.390000, id=,S09, PRDE,actvstrat=,-0.735697, actvprof=,3.793333, best_B_id=,B08, best_B_prof=,2.201389, best_B_strat=,-0.946765, best_S_id=,S02, best_S_prof=,8.603333, best_S_strat=,0.225174, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.931874, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.023987, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.193973, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.316322, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.835825, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.987246, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.848866, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.621029, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.771359, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.383432, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.881888, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.403494, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.438657, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.519762, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.712095, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.752252, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.810926, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.593160, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.162082, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.943825, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.931874, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.881888, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.931874, actvprof=,1.571645, id=,B01, PRDE,actvstrat=,0.023987, actvprof=,0.881654, id=,B02, PRDE,actvstrat=,-0.193973, actvprof=,0.639158, id=,B03, PRDE,actvstrat=,-0.316322, actvprof=,0.632491, id=,B04, PRDE,actvstrat=,0.835825, actvprof=,1.447480, id=,B05, PRDE,actvstrat=,-0.987246, actvprof=,1.958028, id=,B06, PRDE,actvstrat=,-0.848866, actvprof=,1.190539, id=,B07, PRDE,actvstrat=,0.621029, actvprof=,1.336370, id=,B08, PRDE,actvstrat=,0.771359, actvprof=,1.421647, id=,B09, PRDE,actvstrat=,-0.383432, actvprof=,0.640547, id=,S00, PRDE,actvstrat=,-0.881888, actvprof=,1.327204, id=,S01, PRDE,actvstrat=,0.403494, actvprof=,9.717921, id=,S02, PRDE,actvstrat=,-0.438657, actvprof=,5.257705, id=,S03, PRDE,actvstrat=,-0.519762, actvprof=,5.042152, id=,S04, PRDE,actvstrat=,0.712095, actvprof=,11.211511, id=,S05, PRDE,actvstrat=,-0.752252, actvprof=,3.697171, id=,S06, PRDE,actvstrat=,-0.810926, actvprof=,2.668574, id=,S07, PRDE,actvstrat=,-0.593160, actvprof=,5.127707, id=,S08, PRDE,actvstrat=,-0.162082, actvprof=,6.469355, id=,S09, PRDE,actvstrat=,-0.943825, actvprof=,0.849155, best_B_id=,B05, best_B_prof=,1.958028, best_B_strat=,-0.987246, best_S_id=,S04, best_S_prof=,11.211511, best_S_strat=,0.712095, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.696633, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.062820, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.879039, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.443329, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.482718, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.186486, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.047743, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.794635, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.600196, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.534020, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.881888, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.021206, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.103577, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.499557, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.613546, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.312948, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.257861, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.759941, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.995100, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.375828, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.696633, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.881888, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.696633, actvprof=,1.844722, id=,B01, PRDE,actvstrat=,-0.062820, actvprof=,1.356111, id=,B02, PRDE,actvstrat=,-0.879039, actvprof=,2.376944, id=,B03, PRDE,actvstrat=,0.443329, actvprof=,2.056389, id=,B04, PRDE,actvstrat=,0.482718, actvprof=,2.022500, id=,B05, PRDE,actvstrat=,0.186486, actvprof=,1.795278, id=,B06, PRDE,actvstrat=,0.047743, actvprof=,1.607222, id=,B07, PRDE,actvstrat=,0.794635, actvprof=,2.257222, id=,B08, PRDE,actvstrat=,0.600196, actvprof=,2.107500, id=,B09, PRDE,actvstrat=,-0.534020, actvprof=,1.312778, id=,S00, PRDE,actvstrat=,-0.881888, actvprof=,0.943056, id=,S01, PRDE,actvstrat=,-0.021206, actvprof=,7.110556, id=,S02, PRDE,actvstrat=,0.103577, actvprof=,7.267778, id=,S03, PRDE,actvstrat=,0.499557, actvprof=,9.047222, id=,S04, PRDE,actvstrat=,-0.613546, actvprof=,3.635000, id=,S05, PRDE,actvstrat=,0.312948, actvprof=,7.892222, id=,S06, PRDE,actvstrat=,-0.257861, actvprof=,5.003611, id=,S07, PRDE,actvstrat=,-0.759941, actvprof=,2.921111, id=,S08, PRDE,actvstrat=,-0.995100, actvprof=,4.426389, id=,S09, PRDE,actvstrat=,0.375828, actvprof=,8.060833, best_B_id=,B02, best_B_prof=,2.376944, best_B_strat=,-0.879039, best_S_id=,S03, best_S_prof=,9.047222, best_S_strat=,0.499557, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.696633, actvprof=,1.788889, id=,B01, PRDE,actvstrat=,-0.062820, actvprof=,1.316806, id=,B02, PRDE,actvstrat=,-0.879039, actvprof=,2.435694, id=,B03, PRDE,actvstrat=,0.443329, actvprof=,1.934444, id=,B04, PRDE,actvstrat=,0.482718, actvprof=,1.941250, id=,B05, PRDE,actvstrat=,0.186486, actvprof=,1.667083, id=,B06, PRDE,actvstrat=,0.047743, actvprof=,1.590417, id=,B07, PRDE,actvstrat=,0.794635, actvprof=,2.189583, id=,B08, PRDE,actvstrat=,0.600196, actvprof=,2.169861, id=,B09, PRDE,actvstrat=,-0.534020, actvprof=,1.371528, id=,S00, PRDE,actvstrat=,-0.881888, actvprof=,1.066667, id=,S01, PRDE,actvstrat=,-0.021206, actvprof=,6.766250, id=,S02, PRDE,actvstrat=,0.103577, actvprof=,7.195000, id=,S03, PRDE,actvstrat=,0.499557, actvprof=,8.796528, id=,S04, PRDE,actvstrat=,-0.613546, actvprof=,3.737639, id=,S05, PRDE,actvstrat=,0.312948, actvprof=,7.947083, id=,S06, PRDE,actvstrat=,-0.257861, actvprof=,4.821250, id=,S07, PRDE,actvstrat=,-0.759941, actvprof=,2.857639, id=,S08, PRDE,actvstrat=,-0.995100, actvprof=,4.401528, id=,S09, PRDE,actvstrat=,0.375828, actvprof=,8.260417, best_B_id=,B02, best_B_prof=,2.435694, best_B_strat=,-0.879039, best_S_id=,S03, best_S_prof=,8.796528, best_S_strat=,0.499557, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.118627, id=,B01, PRDE,actvstrat=,0.744778, actvprof=,1.244462, id=,B02, PRDE,actvstrat=,-0.122523, actvprof=,0.724732, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.141405, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.150572, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.158072, id=,B06, PRDE,actvstrat=,0.207801, actvprof=,0.911957, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.119738, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.186683, id=,B09, PRDE,actvstrat=,-0.887987, actvprof=,0.612786, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.578439, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.138988, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.650940, id=,S03, PRDE,actvstrat=,0.648742, actvprof=,11.100432, id=,S04, PRDE,actvstrat=,0.254715, actvprof=,8.463173, id=,S05, PRDE,actvstrat=,-0.205153, actvprof=,4.904790, id=,S06, PRDE,actvstrat=,-0.465775, actvprof=,4.210614, id=,S07, PRDE,actvstrat=,0.429702, actvprof=,9.550410, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.457048, id=,S09, PRDE,actvstrat=,-0.240460, actvprof=,4.821734, best_B_id=,B01, best_B_prof=,1.244462, best_B_strat=,0.744778, best_S_id=,S03, best_S_prof=,11.100432, best_S_strat=,0.648742, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.202222, id=,B01, PRDE,actvstrat=,0.744778, actvprof=,1.273056, id=,B02, PRDE,actvstrat=,-0.122523, actvprof=,0.686250, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.169306, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.123750, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.143194, id=,B06, PRDE,actvstrat=,0.207801, actvprof=,0.934028, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.107500, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.132361, id=,B09, PRDE,actvstrat=,-0.887987, actvprof=,0.577500, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.476111, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.310000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.472222, id=,S03, PRDE,actvstrat=,0.648742, actvprof=,11.035278, id=,S04, PRDE,actvstrat=,0.254715, actvprof=,8.316806, id=,S05, PRDE,actvstrat=,-0.205153, actvprof=,4.829444, id=,S06, PRDE,actvstrat=,-0.465775, actvprof=,4.272083, id=,S07, PRDE,actvstrat=,0.429702, actvprof=,9.496250, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.271528, id=,S09, PRDE,actvstrat=,-0.240460, actvprof=,4.726667, best_B_id=,B01, best_B_prof=,1.273056, best_B_strat=,0.744778, best_S_id=,S03, best_S_prof=,11.035278, best_S_strat=,0.648742, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.207552, actvprof=,1.486111, id=,B01, PRDE,actvstrat=,-0.114189, actvprof=,1.614167, id=,B02, PRDE,actvstrat=,0.540710, actvprof=,1.978056, id=,B03, PRDE,actvstrat=,-0.139197, actvprof=,1.387222, id=,B04, PRDE,actvstrat=,0.889360, actvprof=,1.772222, id=,B05, PRDE,actvstrat=,0.845334, actvprof=,1.729444, id=,B06, PRDE,actvstrat=,0.344998, actvprof=,1.656944, id=,B07, PRDE,actvstrat=,0.977351, actvprof=,0.775278, id=,B08, PRDE,actvstrat=,0.144754, actvprof=,1.620556, id=,B09, PRDE,actvstrat=,0.819570, actvprof=,1.801667, id=,S00, PRDE,actvstrat=,-0.107392, actvprof=,5.858611, id=,S01, PRDE,actvstrat=,0.677199, actvprof=,10.892222, id=,S02, PRDE,actvstrat=,-0.732280, actvprof=,2.488889, id=,S03, PRDE,actvstrat=,0.648742, actvprof=,10.452500, id=,S04, PRDE,actvstrat=,0.032228, actvprof=,7.319444, id=,S05, PRDE,actvstrat=,-0.411230, actvprof=,3.972778, id=,S06, PRDE,actvstrat=,0.860732, actvprof=,11.728333, id=,S07, PRDE,actvstrat=,-0.682137, actvprof=,2.881389, id=,S08, PRDE,actvstrat=,-0.664096, actvprof=,2.845278, id=,S09, PRDE,actvstrat=,0.966752, actvprof=,11.583333, best_B_id=,B02, best_B_prof=,1.978056, best_B_strat=,0.540710, best_S_id=,S06, best_S_prof=,11.728333, best_S_strat=,0.860732, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.207552, actvprof=,1.419772, id=,B01, PRDE,actvstrat=,-0.114189, actvprof=,1.585194, id=,B02, PRDE,actvstrat=,0.540710, actvprof=,1.948957, id=,B03, PRDE,actvstrat=,-0.139197, actvprof=,1.420188, id=,B04, PRDE,actvstrat=,0.889360, actvprof=,1.685614, id=,B05, PRDE,actvstrat=,0.845334, actvprof=,1.767839, id=,B06, PRDE,actvstrat=,0.344998, actvprof=,1.640751, id=,B07, PRDE,actvstrat=,0.977351, actvprof=,0.748915, id=,B08, PRDE,actvstrat=,0.144754, actvprof=,1.575610, id=,B09, PRDE,actvstrat=,0.819570, actvprof=,1.822563, id=,S00, PRDE,actvstrat=,-0.107392, actvprof=,5.838119, id=,S01, PRDE,actvstrat=,0.677199, actvprof=,10.943574, id=,S02, PRDE,actvstrat=,-0.732280, actvprof=,2.265634, id=,S03, PRDE,actvstrat=,0.648742, actvprof=,10.547727, id=,S04, PRDE,actvstrat=,0.032228, actvprof=,7.224001, id=,S05, PRDE,actvstrat=,-0.411230, actvprof=,3.797771, id=,S06, PRDE,actvstrat=,0.860732, actvprof=,11.909025, id=,S07, PRDE,actvstrat=,-0.682137, actvprof=,2.886211, id=,S08, PRDE,actvstrat=,-0.664096, actvprof=,2.717039, id=,S09, PRDE,actvstrat=,0.966752, actvprof=,11.736241, best_B_id=,B02, best_B_prof=,1.948957, best_B_strat=,0.540710, best_S_id=,S06, best_S_prof=,11.909025, best_S_strat=,0.860732, 
