t=,1, id=,B00, PRDE,actvstrat=,0.382440, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.395775, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.109317, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.586260, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.189799, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.978418, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.748342, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.442082, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.070970, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.564715, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.727585, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.877266, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.925112, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.645795, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.935446, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.985699, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.593668, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.592983, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.097513, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.785501, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.382440, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.727585, 
t=,3600, id=,B00, PRDE,actvstrat=,0.382440, actvprof=,4.345278, id=,B01, PRDE,actvstrat=,-0.395775, actvprof=,4.310000, id=,B02, PRDE,actvstrat=,-0.109317, actvprof=,4.100833, id=,B03, PRDE,actvstrat=,0.586260, actvprof=,4.376111, id=,B04, PRDE,actvstrat=,-0.189799, actvprof=,3.933889, id=,B05, PRDE,actvstrat=,-0.978418, actvprof=,4.753056, id=,B06, PRDE,actvstrat=,0.748342, actvprof=,4.186944, id=,B07, PRDE,actvstrat=,-0.442082, actvprof=,4.412222, id=,B08, PRDE,actvstrat=,-0.070970, actvprof=,4.136111, id=,B09, PRDE,actvstrat=,-0.564715, actvprof=,4.496944, id=,S00, PRDE,actvstrat=,0.727585, actvprof=,7.832500, id=,S01, PRDE,actvstrat=,0.877266, actvprof=,8.144167, id=,S02, PRDE,actvstrat=,0.925112, actvprof=,8.350278, id=,S03, PRDE,actvstrat=,0.645795, actvprof=,6.938611, id=,S04, PRDE,actvstrat=,-0.935446, actvprof=,1.471667, id=,S05, PRDE,actvstrat=,0.985699, actvprof=,7.456111, id=,S06, PRDE,actvstrat=,0.593668, actvprof=,6.501944, id=,S07, PRDE,actvstrat=,0.592983, actvprof=,7.285833, id=,S08, PRDE,actvstrat=,0.097513, actvprof=,4.741667, id=,S09, PRDE,actvstrat=,-0.785501, actvprof=,1.403611, best_B_id=,B05, best_B_prof=,4.753056, best_B_strat=,-0.978418, best_S_id=,S02, best_S_prof=,8.350278, best_S_strat=,0.925112, 
t=,7200, id=,B00, PRDE,actvstrat=,0.025894, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.605793, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.830223, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.988455, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.349656, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.523383, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.168760, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.653748, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.216061, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.498979, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.981692, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.015814, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.372030, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.274783, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.872672, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.961024, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.739471, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.510318, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.285397, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.238740, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.025894, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.981692, 
t=,10800, id=,B00, PRDE,actvstrat=,0.025894, actvprof=,1.712643, id=,B01, PRDE,actvstrat=,-0.605793, actvprof=,2.135456, id=,B02, PRDE,actvstrat=,0.830223, actvprof=,2.303803, id=,B03, PRDE,actvstrat=,-0.988455, actvprof=,3.136928, id=,B04, PRDE,actvstrat=,-0.349656, actvprof=,1.739867, id=,B05, PRDE,actvstrat=,-0.523383, actvprof=,1.851543, id=,B06, PRDE,actvstrat=,-0.168760, actvprof=,1.785704, id=,B07, PRDE,actvstrat=,-0.653748, actvprof=,2.342417, id=,B08, PRDE,actvstrat=,-0.216061, actvprof=,1.780982, id=,B09, PRDE,actvstrat=,0.498979, actvprof=,2.402978, id=,S00, PRDE,actvstrat=,-0.981692, actvprof=,1.696252, id=,S01, PRDE,actvstrat=,0.015814, actvprof=,5.072367, id=,S02, PRDE,actvstrat=,0.372030, actvprof=,7.046421, id=,S03, PRDE,actvstrat=,0.274783, actvprof=,6.466094, id=,S04, PRDE,actvstrat=,0.872672, actvprof=,10.003889, id=,S05, PRDE,actvstrat=,-0.961024, actvprof=,1.083979, id=,S06, PRDE,actvstrat=,-0.739471, actvprof=,1.912937, id=,S07, PRDE,actvstrat=,0.510318, actvprof=,7.845098, id=,S08, PRDE,actvstrat=,-0.285397, actvprof=,3.188877, id=,S09, PRDE,actvstrat=,0.238740, actvprof=,6.386643, best_B_id=,B03, best_B_prof=,3.136928, best_B_strat=,-0.988455, best_S_id=,S04, best_S_prof=,10.003889, best_S_strat=,0.872672, 
t=,14400, id=,B00, PRDE,actvstrat=,0.025894, actvprof=,1.908552, id=,B01, PRDE,actvstrat=,-0.605793, actvprof=,2.101893, id=,B02, PRDE,actvstrat=,0.830223, actvprof=,2.374266, id=,B03, PRDE,actvstrat=,-0.988455, actvprof=,3.116658, id=,B04, PRDE,actvstrat=,-0.349656, actvprof=,1.819242, id=,B05, PRDE,actvstrat=,-0.523383, actvprof=,1.938831, id=,B06, PRDE,actvstrat=,-0.168760, actvprof=,1.849660, id=,B07, PRDE,actvstrat=,-0.653748, actvprof=,2.240371, id=,B08, PRDE,actvstrat=,-0.216061, actvprof=,1.848410, id=,B09, PRDE,actvstrat=,0.498979, actvprof=,2.464686, id=,S00, PRDE,actvstrat=,-0.981692, actvprof=,1.782435, id=,S01, PRDE,actvstrat=,0.015814, actvprof=,5.404531, id=,S02, PRDE,actvstrat=,0.372030, actvprof=,6.899037, id=,S03, PRDE,actvstrat=,0.274783, actvprof=,6.397072, id=,S04, PRDE,actvstrat=,0.872672, actvprof=,9.829715, id=,S05, PRDE,actvstrat=,-0.961024, actvprof=,1.116713, id=,S06, PRDE,actvstrat=,-0.739471, actvprof=,1.969943, id=,S07, PRDE,actvstrat=,0.510318, actvprof=,7.629068, id=,S08, PRDE,actvstrat=,-0.285397, actvprof=,3.066656, id=,S09, PRDE,actvstrat=,0.238740, actvprof=,6.300818, best_B_id=,B03, best_B_prof=,3.116658, best_B_strat=,-0.988455, best_S_id=,S04, best_S_prof=,9.829715, best_S_strat=,0.872672, 
t=,18000, id=,B00, PRDE,actvstrat=,0.689892, actvprof=,1.892962, id=,B01, PRDE,actvstrat=,0.449499, actvprof=,1.586265, id=,B02, PRDE,actvstrat=,0.798270, actvprof=,1.872404, id=,B03, PRDE,actvstrat=,-0.512040, actvprof=,1.182615, id=,B04, PRDE,actvstrat=,0.783030, actvprof=,1.965469, id=,B05, PRDE,actvstrat=,-0.459161, actvprof=,1.167336, id=,B06, PRDE,actvstrat=,-0.776415, actvprof=,1.727112, id=,B07, PRDE,actvstrat=,-0.115777, actvprof=,1.255678, id=,B08, PRDE,actvstrat=,-0.630231, actvprof=,1.419305, id=,B09, PRDE,actvstrat=,-0.766963, actvprof=,1.765449, id=,S00, PRDE,actvstrat=,-0.243044, actvprof=,3.643410, id=,S01, PRDE,actvstrat=,-0.298114, actvprof=,3.431445, id=,S02, PRDE,actvstrat=,-0.803922, actvprof=,1.295959, id=,S03, PRDE,actvstrat=,-0.700751, actvprof=,2.661092, id=,S04, PRDE,actvstrat=,0.576471, actvprof=,8.802800, id=,S05, PRDE,actvstrat=,0.620981, actvprof=,9.121442, id=,S06, PRDE,actvstrat=,0.688100, actvprof=,9.531760, id=,S07, PRDE,actvstrat=,-0.413824, actvprof=,3.197255, id=,S08, PRDE,actvstrat=,0.028616, actvprof=,6.202825, id=,S09, PRDE,actvstrat=,-0.326402, actvprof=,3.106135, best_B_id=,B04, best_B_prof=,1.965469, best_B_strat=,0.783030, best_S_id=,S06, best_S_prof=,9.531760, best_S_strat=,0.688100, 
t=,21600, id=,B00, PRDE,actvstrat=,0.689892, actvprof=,1.908982, id=,B01, PRDE,actvstrat=,0.449499, actvprof=,1.670637, id=,B02, PRDE,actvstrat=,0.798270, actvprof=,1.937316, id=,B03, PRDE,actvstrat=,-0.512040, actvprof=,1.170196, id=,B04, PRDE,actvstrat=,0.783030, actvprof=,1.969262, id=,B05, PRDE,actvstrat=,-0.459161, actvprof=,1.192419, id=,B06, PRDE,actvstrat=,-0.776415, actvprof=,1.720639, id=,B07, PRDE,actvstrat=,-0.115777, actvprof=,1.211309, id=,B08, PRDE,actvstrat=,-0.630231, actvprof=,1.430625, id=,B09, PRDE,actvstrat=,-0.766963, actvprof=,1.762447, id=,S00, PRDE,actvstrat=,-0.243044, actvprof=,3.928802, id=,S01, PRDE,actvstrat=,-0.298114, actvprof=,3.513921, id=,S02, PRDE,actvstrat=,-0.803922, actvprof=,1.263811, id=,S03, PRDE,actvstrat=,-0.700751, actvprof=,2.367893, id=,S04, PRDE,actvstrat=,0.576471, actvprof=,8.794316, id=,S05, PRDE,actvstrat=,0.620981, actvprof=,8.994882, id=,S06, PRDE,actvstrat=,0.688100, actvprof=,9.587549, id=,S07, PRDE,actvstrat=,-0.413824, actvprof=,3.097651, id=,S08, PRDE,actvstrat=,0.028616, actvprof=,6.178356, id=,S09, PRDE,actvstrat=,-0.326402, actvprof=,3.346690, best_B_id=,B04, best_B_prof=,1.969262, best_B_strat=,0.783030, best_S_id=,S06, best_S_prof=,9.587549, best_S_strat=,0.688100, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.896955, actvprof=,0.815646, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.252361, id=,B02, PRDE,actvstrat=,0.728988, actvprof=,1.403211, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.960107, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.353206, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.105401, id=,B06, PRDE,actvstrat=,0.889155, actvprof=,1.327925, id=,B07, PRDE,actvstrat=,-0.518210, actvprof=,0.988721, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.377653, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.174297, id=,S00, PRDE,actvstrat=,0.591771, actvprof=,10.494777, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.114568, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.116791, id=,S03, PRDE,actvstrat=,0.136824, actvprof=,8.163407, id=,S04, PRDE,actvstrat=,-0.084849, actvprof=,5.667574, id=,S05, PRDE,actvstrat=,0.336260, actvprof=,8.832370, id=,S06, PRDE,actvstrat=,0.256218, actvprof=,8.775975, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,6.147072, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.620291, id=,S09, PRDE,actvstrat=,0.349687, actvprof=,8.785698, best_B_id=,B02, best_B_prof=,1.403211, best_B_strat=,0.728988, best_S_id=,S08, best_S_prof=,12.620291, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.896955, actvprof=,0.855186, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.312851, id=,B02, PRDE,actvstrat=,0.728988, actvprof=,1.518973, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.053114, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.333546, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.186316, id=,B06, PRDE,actvstrat=,0.889155, actvprof=,1.500222, id=,B07, PRDE,actvstrat=,-0.518210, actvprof=,1.006445, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.440913, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.245208, id=,S00, PRDE,actvstrat=,0.591771, actvprof=,10.340713, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.372437, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.124924, id=,S03, PRDE,actvstrat=,0.136824, actvprof=,7.914329, id=,S04, PRDE,actvstrat=,-0.084849, actvprof=,5.796711, id=,S05, PRDE,actvstrat=,0.336260, actvprof=,8.694372, id=,S06, PRDE,actvstrat=,0.256218, actvprof=,8.717290, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,6.309517, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.498750, id=,S09, PRDE,actvstrat=,0.349687, actvprof=,8.738958, best_B_id=,B02, best_B_prof=,1.518973, best_B_strat=,0.728988, best_S_id=,S08, best_S_prof=,12.498750, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.848714, actvprof=,3.068995, id=,B01, PRDE,actvstrat=,-0.426816, actvprof=,1.824673, id=,B02, PRDE,actvstrat=,0.718729, actvprof=,2.608382, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.986234, id=,B04, PRDE,actvstrat=,-0.933242, actvprof=,3.281243, id=,B05, PRDE,actvstrat=,-0.891265, actvprof=,3.077051, id=,B06, PRDE,actvstrat=,-0.482252, actvprof=,1.764387, id=,B07, PRDE,actvstrat=,0.637772, actvprof=,2.511981, id=,B08, PRDE,actvstrat=,0.062969, actvprof=,1.886069, id=,B09, PRDE,actvstrat=,-0.649259, actvprof=,2.310289, id=,S00, PRDE,actvstrat=,-0.065034, actvprof=,4.905613, id=,S01, PRDE,actvstrat=,0.874031, actvprof=,10.402689, id=,S02, PRDE,actvstrat=,0.006424, actvprof=,6.041033, id=,S03, PRDE,actvstrat=,0.839379, actvprof=,10.254337, id=,S04, PRDE,actvstrat=,-0.572630, actvprof=,2.491145, id=,S05, PRDE,actvstrat=,-0.816051, actvprof=,1.224598, id=,S06, PRDE,actvstrat=,0.239500, actvprof=,6.624161, id=,S07, PRDE,actvstrat=,0.661284, actvprof=,9.040297, id=,S08, PRDE,actvstrat=,0.806884, actvprof=,10.059313, id=,S09, PRDE,actvstrat=,-0.833971, actvprof=,0.937062, best_B_id=,B04, best_B_prof=,3.281243, best_B_strat=,-0.933242, best_S_id=,S01, best_S_prof=,10.402689, best_S_strat=,0.874031, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.848714, actvprof=,2.931711, id=,B01, PRDE,actvstrat=,-0.426816, actvprof=,1.798029, id=,B02, PRDE,actvstrat=,0.718729, actvprof=,2.463765, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.022703, id=,B04, PRDE,actvstrat=,-0.933242, actvprof=,3.321180, id=,B05, PRDE,actvstrat=,-0.891265, actvprof=,3.157420, id=,B06, PRDE,actvstrat=,-0.482252, actvprof=,1.742470, id=,B07, PRDE,actvstrat=,0.637772, actvprof=,2.483627, id=,B08, PRDE,actvstrat=,0.062969, actvprof=,1.914842, id=,B09, PRDE,actvstrat=,-0.649259, actvprof=,2.139717, id=,S00, PRDE,actvstrat=,-0.065034, actvprof=,4.936003, id=,S01, PRDE,actvstrat=,0.874031, actvprof=,10.625386, id=,S02, PRDE,actvstrat=,0.006424, actvprof=,6.023432, id=,S03, PRDE,actvstrat=,0.839379, actvprof=,10.248141, id=,S04, PRDE,actvstrat=,-0.572630, actvprof=,2.491128, id=,S05, PRDE,actvstrat=,-0.816051, actvprof=,1.210631, id=,S06, PRDE,actvstrat=,0.239500, actvprof=,6.685557, id=,S07, PRDE,actvstrat=,0.661284, actvprof=,9.135849, id=,S08, PRDE,actvstrat=,0.806884, actvprof=,10.152996, id=,S09, PRDE,actvstrat=,-0.833971, actvprof=,0.920752, best_B_id=,B04, best_B_prof=,3.321180, best_B_strat=,-0.933242, best_S_id=,S01, best_S_prof=,10.625386, best_S_strat=,0.874031, 
