t=,0, id=,B00, PRDE,actvstrat=,-0.976064, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.360977, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.224646, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.575882, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.255077, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.139515, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.661389, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.693778, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.508356, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.995419, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.462693, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.384508, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.883445, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.459467, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.626182, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.896382, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.057251, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.340063, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.444572, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.001796, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.976064, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.462693, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.976064, actvprof=,2.274413, id=,B01, PRDE,actvstrat=,0.360977, actvprof=,2.378578, id=,B02, PRDE,actvstrat=,-0.224646, actvprof=,1.741920, id=,B03, PRDE,actvstrat=,0.575882, actvprof=,2.407467, id=,B04, PRDE,actvstrat=,0.255077, actvprof=,2.094693, id=,B05, PRDE,actvstrat=,0.139515, actvprof=,1.889418, id=,B06, PRDE,actvstrat=,-0.661389, actvprof=,2.423577, id=,B07, PRDE,actvstrat=,0.693778, actvprof=,2.437466, id=,B08, PRDE,actvstrat=,0.508356, actvprof=,2.403022, id=,B09, PRDE,actvstrat=,0.995419, actvprof=,0.768323, id=,S00, PRDE,actvstrat=,-0.462693, actvprof=,4.416050, id=,S01, PRDE,actvstrat=,0.384508, actvprof=,8.462105, id=,S02, PRDE,actvstrat=,0.883445, actvprof=,11.284843, id=,S03, PRDE,actvstrat=,0.459467, actvprof=,8.859599, id=,S04, PRDE,actvstrat=,0.626182, actvprof=,10.074582, id=,S05, PRDE,actvstrat=,-0.896382, actvprof=,1.129151, id=,S06, PRDE,actvstrat=,-0.057251, actvprof=,5.973528, id=,S07, PRDE,actvstrat=,0.340063, actvprof=,8.353495, id=,S08, PRDE,actvstrat=,-0.444572, actvprof=,4.415216, id=,S09, PRDE,actvstrat=,-0.001796, actvprof=,6.811294, best_B_id=,B07, best_B_prof=,2.437466, best_B_strat=,0.693778, best_S_id=,S02, best_S_prof=,11.284843, best_S_strat=,0.883445, 
t=,7200, id=,B00, PRDE,actvstrat=,0.796007, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.456346, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.637801, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.751811, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.695379, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.826984, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.665680, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.991173, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.652194, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.065049, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.475781, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.143378, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.455054, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.362633, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.804012, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.085973, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.234055, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.553223, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.519505, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.401080, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.796007, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.475781, 
t=,10800, id=,B00, PRDE,actvstrat=,0.796007, actvprof=,2.242191, id=,B01, PRDE,actvstrat=,-0.456346, actvprof=,1.531645, id=,B02, PRDE,actvstrat=,-0.637801, actvprof=,1.612755, id=,B03, PRDE,actvstrat=,-0.751811, actvprof=,2.077471, id=,B04, PRDE,actvstrat=,0.695379, actvprof=,2.279413, id=,B05, PRDE,actvstrat=,0.826984, actvprof=,2.036916, id=,B06, PRDE,actvstrat=,-0.665680, actvprof=,1.769420, id=,B07, PRDE,actvstrat=,0.991173, actvprof=,0.715823, id=,B08, PRDE,actvstrat=,-0.652194, actvprof=,1.664421, id=,B09, PRDE,actvstrat=,-0.065049, actvprof=,1.497757, id=,S00, PRDE,actvstrat=,0.475781, actvprof=,8.755156, id=,S01, PRDE,actvstrat=,-0.143378, actvprof=,4.570770, id=,S02, PRDE,actvstrat=,0.455054, actvprof=,8.845710, id=,S03, PRDE,actvstrat=,-0.362633, actvprof=,3.946334, id=,S04, PRDE,actvstrat=,0.804012, actvprof=,10.674018, id=,S05, PRDE,actvstrat=,0.085973, actvprof=,6.734073, id=,S06, PRDE,actvstrat=,0.234055, actvprof=,7.425730, id=,S07, PRDE,actvstrat=,-0.553223, actvprof=,3.095235, id=,S08, PRDE,actvstrat=,-0.519505, actvprof=,3.059680, id=,S09, PRDE,actvstrat=,-0.401080, actvprof=,3.864391, best_B_id=,B04, best_B_prof=,2.279413, best_B_strat=,0.695379, best_S_id=,S04, best_S_prof=,10.674018, best_S_strat=,0.804012, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.119286, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.821880, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.721566, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.322168, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.315503, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.540849, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.094773, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.097339, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.783679, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.237729, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.093839, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.635642, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.455054, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.911944, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.512064, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.792123, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.545014, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.083119, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.321073, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.904164, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.119286, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.093839, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.119286, actvprof=,1.636366, id=,B01, PRDE,actvstrat=,0.821880, actvprof=,2.226080, id=,B02, PRDE,actvstrat=,0.721566, actvprof=,2.312468, id=,B03, PRDE,actvstrat=,0.322168, actvprof=,2.205247, id=,B04, PRDE,actvstrat=,0.315503, actvprof=,2.129693, id=,B05, PRDE,actvstrat=,0.540849, actvprof=,2.275246, id=,B06, PRDE,actvstrat=,0.094773, actvprof=,1.822752, id=,B07, PRDE,actvstrat=,-0.097339, actvprof=,1.800253, id=,B08, PRDE,actvstrat=,0.783679, actvprof=,2.206636, id=,B09, PRDE,actvstrat=,0.237729, actvprof=,2.142192, id=,S00, PRDE,actvstrat=,-0.093839, actvprof=,4.953542, id=,S01, PRDE,actvstrat=,-0.635642, actvprof=,2.689685, id=,S02, PRDE,actvstrat=,0.455054, actvprof=,8.365995, id=,S03, PRDE,actvstrat=,-0.911944, actvprof=,0.580825, id=,S04, PRDE,actvstrat=,0.512064, actvprof=,8.914043, id=,S05, PRDE,actvstrat=,0.792123, actvprof=,10.572353, id=,S06, PRDE,actvstrat=,0.545014, actvprof=,8.797656, id=,S07, PRDE,actvstrat=,0.083119, actvprof=,6.768795, id=,S08, PRDE,actvstrat=,-0.321073, actvprof=,3.424397, id=,S09, PRDE,actvstrat=,0.904164, actvprof=,11.085679, best_B_id=,B02, best_B_prof=,2.312468, best_B_strat=,0.721566, best_S_id=,S09, best_S_prof=,11.085679, best_S_strat=,0.904164, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.119286, actvprof=,1.769444, id=,B01, PRDE,actvstrat=,0.821880, actvprof=,2.188472, id=,B02, PRDE,actvstrat=,0.721566, actvprof=,2.355139, id=,B03, PRDE,actvstrat=,0.322168, actvprof=,2.174167, id=,B04, PRDE,actvstrat=,0.315503, actvprof=,2.132361, id=,B05, PRDE,actvstrat=,0.540849, actvprof=,2.306806, id=,B06, PRDE,actvstrat=,0.094773, actvprof=,1.789028, id=,B07, PRDE,actvstrat=,-0.097339, actvprof=,1.860417, id=,B08, PRDE,actvstrat=,0.783679, actvprof=,2.255278, id=,B09, PRDE,actvstrat=,0.237729, actvprof=,2.026389, id=,S00, PRDE,actvstrat=,-0.093839, actvprof=,5.038056, id=,S01, PRDE,actvstrat=,-0.635642, actvprof=,2.810556, id=,S02, PRDE,actvstrat=,0.455054, actvprof=,8.279167, id=,S03, PRDE,actvstrat=,-0.911944, actvprof=,0.658889, id=,S04, PRDE,actvstrat=,0.512064, actvprof=,8.813889, id=,S05, PRDE,actvstrat=,0.792123, actvprof=,10.507639, id=,S06, PRDE,actvstrat=,0.545014, actvprof=,8.915972, id=,S07, PRDE,actvstrat=,0.083119, actvprof=,6.583889, id=,S08, PRDE,actvstrat=,-0.321073, actvprof=,3.661250, id=,S09, PRDE,actvstrat=,0.904164, actvprof=,11.095417, best_B_id=,B02, best_B_prof=,2.355139, best_B_strat=,0.721566, best_S_id=,S09, best_S_prof=,11.095417, best_S_strat=,0.904164, 
t=,25200, id=,B00, PRDE,actvstrat=,0.630904, actvprof=,3.179766, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.519466, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.553355, id=,B03, PRDE,actvstrat=,-0.316477, actvprof=,2.975597, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.855304, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.098918, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.283073, id=,B07, PRDE,actvstrat=,0.347845, actvprof=,3.126155, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.643912, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.518910, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,3.023098, id=,S01, PRDE,actvstrat=,-0.001853, actvprof=,7.272323, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.849053, id=,S03, PRDE,actvstrat=,-0.723392, actvprof=,2.790317, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.991708, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,11.839609, id=,S06, PRDE,actvstrat=,0.924294, actvprof=,12.015722, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.109057, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.846553, id=,S09, PRDE,actvstrat=,0.653434, actvprof=,10.976264, best_B_id=,B00, best_B_prof=,3.179766, best_B_strat=,0.630904, best_S_id=,S07, best_S_prof=,12.109057, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.630904, actvprof=,3.355579, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.371537, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.484038, id=,B03, PRDE,actvstrat=,-0.316477, actvprof=,3.018354, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.863346, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,2.000569, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.256537, id=,B07, PRDE,actvstrat=,0.347845, actvprof=,3.151550, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.751957, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.690706, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,3.086549, id=,S01, PRDE,actvstrat=,-0.001853, actvprof=,7.051021, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.885777, id=,S03, PRDE,actvstrat=,-0.723392, actvprof=,2.916826, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.108910, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,11.855082, id=,S06, PRDE,actvstrat=,0.924294, actvprof=,12.265919, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.045639, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.840221, id=,S09, PRDE,actvstrat=,0.653434, actvprof=,10.867298, best_B_id=,B00, best_B_prof=,3.355579, best_B_strat=,0.630904, best_S_id=,S06, best_S_prof=,12.265919, best_S_strat=,0.924294, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.268920, actvprof=,1.449207, id=,B01, PRDE,actvstrat=,0.304007, actvprof=,1.496986, id=,B02, PRDE,actvstrat=,-0.558956, actvprof=,1.647546, id=,B03, PRDE,actvstrat=,-0.438527, actvprof=,1.262813, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.738632, id=,B05, PRDE,actvstrat=,0.432507, actvprof=,1.911442, id=,B06, PRDE,actvstrat=,0.443189, actvprof=,1.803939, id=,B07, PRDE,actvstrat=,0.329008, actvprof=,1.567544, id=,B08, PRDE,actvstrat=,0.925718, actvprof=,1.347537, id=,B09, PRDE,actvstrat=,0.402285, actvprof=,1.605322, id=,S00, PRDE,actvstrat=,-0.015293, actvprof=,6.520181, id=,S01, PRDE,actvstrat=,0.575949, actvprof=,9.739993, id=,S02, PRDE,actvstrat=,-0.942795, actvprof=,0.751688, id=,S03, PRDE,actvstrat=,0.459467, actvprof=,8.948026, id=,S04, PRDE,actvstrat=,0.316207, actvprof=,8.363566, id=,S05, PRDE,actvstrat=,0.617214, actvprof=,9.512209, id=,S06, PRDE,actvstrat=,-0.782574, actvprof=,1.915887, id=,S07, PRDE,actvstrat=,-0.323996, actvprof=,4.229562, id=,S08, PRDE,actvstrat=,-0.641699, actvprof=,3.035918, id=,S09, PRDE,actvstrat=,0.389662, actvprof=,8.309675, best_B_id=,B05, best_B_prof=,1.911442, best_B_strat=,0.432507, best_S_id=,S01, best_S_prof=,9.739993, best_S_strat=,0.575949, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.268920, actvprof=,1.425853, id=,B01, PRDE,actvstrat=,0.304007, actvprof=,1.504743, id=,B02, PRDE,actvstrat=,-0.558956, actvprof=,1.651690, id=,B03, PRDE,actvstrat=,-0.438527, actvprof=,1.351685, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.680148, id=,B05, PRDE,actvstrat=,0.432507, actvprof=,1.887110, id=,B06, PRDE,actvstrat=,0.443189, actvprof=,1.734191, id=,B07, PRDE,actvstrat=,0.329008, actvprof=,1.666273, id=,B08, PRDE,actvstrat=,0.925718, actvprof=,1.331685, id=,B09, PRDE,actvstrat=,0.402285, actvprof=,1.652384, id=,S00, PRDE,actvstrat=,-0.015293, actvprof=,6.597869, id=,S01, PRDE,actvstrat=,0.575949, actvprof=,9.660968, id=,S02, PRDE,actvstrat=,-0.942795, actvprof=,0.754038, id=,S03, PRDE,actvstrat=,0.459467, actvprof=,8.797344, id=,S04, PRDE,actvstrat=,0.316207, actvprof=,8.309560, id=,S05, PRDE,actvstrat=,0.617214, actvprof=,9.536938, id=,S06, PRDE,actvstrat=,-0.782574, actvprof=,2.033639, id=,S07, PRDE,actvstrat=,-0.323996, actvprof=,4.025056, id=,S08, PRDE,actvstrat=,-0.641699, actvprof=,3.058654, id=,S09, PRDE,actvstrat=,0.389662, actvprof=,8.285671, best_B_id=,B05, best_B_prof=,1.887110, best_B_strat=,0.432507, best_S_id=,S01, best_S_prof=,9.660968, best_S_strat=,0.575949, 
