t=,0, id=,B00, PRDE,actvstrat=,-0.092267, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.789643, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.942654, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.161549, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.648487, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.674625, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.773218, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.630438, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.473772, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.153971, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.552326, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.369214, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.978735, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.061868, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.254485, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.385320, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.278260, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.062953, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.854080, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.151203, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.092267, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.552326, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.092267, actvprof=,0.678056, id=,B01, PRDE,actvstrat=,-0.789643, actvprof=,0.922500, id=,B02, PRDE,actvstrat=,-0.942654, actvprof=,1.884167, id=,B03, PRDE,actvstrat=,0.161549, actvprof=,0.805278, id=,B04, PRDE,actvstrat=,0.648487, actvprof=,1.295000, id=,B05, PRDE,actvstrat=,0.674625, actvprof=,1.260278, id=,B06, PRDE,actvstrat=,-0.773218, actvprof=,0.999722, id=,B07, PRDE,actvstrat=,0.630438, actvprof=,1.236944, id=,B08, PRDE,actvstrat=,0.473772, actvprof=,1.110833, id=,B09, PRDE,actvstrat=,0.153971, actvprof=,0.902500, id=,S00, PRDE,actvstrat=,-0.552326, actvprof=,3.895278, id=,S01, PRDE,actvstrat=,0.369214, actvprof=,8.925833, id=,S02, PRDE,actvstrat=,-0.978735, actvprof=,1.281667, id=,S03, PRDE,actvstrat=,-0.061868, actvprof=,6.156389, id=,S04, PRDE,actvstrat=,-0.254485, actvprof=,4.966389, id=,S05, PRDE,actvstrat=,-0.385320, actvprof=,4.100833, id=,S06, PRDE,actvstrat=,-0.278260, actvprof=,4.766944, id=,S07, PRDE,actvstrat=,0.062953, actvprof=,7.183611, id=,S08, PRDE,actvstrat=,-0.854080, actvprof=,1.130000, id=,S09, PRDE,actvstrat=,-0.151203, actvprof=,4.786667, best_B_id=,B02, best_B_prof=,1.884167, best_B_strat=,-0.942654, best_S_id=,S01, best_S_prof=,8.925833, best_S_strat=,0.369214, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.500324, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.617544, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.317759, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.899491, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.273496, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.653206, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.123177, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.697636, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.741840, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.361836, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.779265, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.960686, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.808132, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.905000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.508881, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.178880, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.517836, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.652855, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.281084, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.352614, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.500324, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.779265, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.500324, actvprof=,0.882766, id=,B01, PRDE,actvstrat=,-0.617544, actvprof=,0.819711, id=,B02, PRDE,actvstrat=,0.317759, actvprof=,1.371648, id=,B03, PRDE,actvstrat=,-0.899491, actvprof=,1.871363, id=,B04, PRDE,actvstrat=,-0.273496, actvprof=,0.866655, id=,B05, PRDE,actvstrat=,0.653206, actvprof=,1.540256, id=,B06, PRDE,actvstrat=,0.123177, actvprof=,1.207483, id=,B07, PRDE,actvstrat=,0.697636, actvprof=,1.729420, id=,B08, PRDE,actvstrat=,-0.741840, actvprof=,1.374425, id=,B09, PRDE,actvstrat=,-0.361836, actvprof=,0.804433, id=,S00, PRDE,actvstrat=,-0.779265, actvprof=,2.019416, id=,S01, PRDE,actvstrat=,0.960686, actvprof=,10.975125, id=,S02, PRDE,actvstrat=,-0.808132, actvprof=,1.728865, id=,S03, PRDE,actvstrat=,-0.905000, actvprof=,0.428883, id=,S04, PRDE,actvstrat=,-0.508881, actvprof=,3.598839, id=,S05, PRDE,actvstrat=,0.178880, actvprof=,7.400175, id=,S06, PRDE,actvstrat=,-0.517836, actvprof=,3.453563, id=,S07, PRDE,actvstrat=,-0.652855, actvprof=,3.082735, id=,S08, PRDE,actvstrat=,-0.281084, actvprof=,3.708282, id=,S09, PRDE,actvstrat=,-0.352614, actvprof=,4.024111, best_B_id=,B03, best_B_prof=,1.871363, best_B_strat=,-0.899491, best_S_id=,S01, best_S_prof=,10.975125, best_S_strat=,0.960686, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.415717, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.617544, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.317759, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.775348, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.702495, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.090597, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.631474, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.029431, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.741840, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.361836, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.484268, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.046315, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.808132, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.779316, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.264369, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.178880, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.303148, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.062953, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.723550, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.293842, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.415717, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.484268, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.415717, actvprof=,2.122807, id=,B01, PRDE,actvstrat=,-0.617544, actvprof=,2.406700, id=,B02, PRDE,actvstrat=,0.317759, actvprof=,2.512257, id=,B03, PRDE,actvstrat=,0.775348, actvprof=,2.678648, id=,B04, PRDE,actvstrat=,-0.702495, actvprof=,2.549202, id=,B05, PRDE,actvstrat=,-0.090597, actvprof=,2.272254, id=,B06, PRDE,actvstrat=,0.631474, actvprof=,2.737538, id=,B07, PRDE,actvstrat=,0.029431, actvprof=,2.150308, id=,B08, PRDE,actvstrat=,-0.741840, actvprof=,3.001708, id=,B09, PRDE,actvstrat=,-0.361836, actvprof=,1.945583, id=,S00, PRDE,actvstrat=,-0.484268, actvprof=,2.918096, id=,S01, PRDE,actvstrat=,0.046315, actvprof=,5.655912, id=,S02, PRDE,actvstrat=,-0.808132, actvprof=,1.524466, id=,S03, PRDE,actvstrat=,0.779316, actvprof=,8.913179, id=,S04, PRDE,actvstrat=,0.264369, actvprof=,6.787872, id=,S05, PRDE,actvstrat=,0.178880, actvprof=,6.142863, id=,S06, PRDE,actvstrat=,-0.303148, actvprof=,3.304213, id=,S07, PRDE,actvstrat=,0.062953, actvprof=,5.420909, id=,S08, PRDE,actvstrat=,0.723550, actvprof=,8.816511, id=,S09, PRDE,actvstrat=,-0.293842, actvprof=,3.584494, best_B_id=,B08, best_B_prof=,3.001708, best_B_strat=,-0.741840, best_S_id=,S03, best_S_prof=,8.913179, best_S_strat=,0.779316, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.415717, actvprof=,1.992639, id=,B01, PRDE,actvstrat=,-0.617544, actvprof=,2.364722, id=,B02, PRDE,actvstrat=,0.317759, actvprof=,2.485556, id=,B03, PRDE,actvstrat=,0.775348, actvprof=,2.615000, id=,B04, PRDE,actvstrat=,-0.702495, actvprof=,2.599722, id=,B05, PRDE,actvstrat=,-0.090597, actvprof=,2.209722, id=,B06, PRDE,actvstrat=,0.631474, actvprof=,2.674861, id=,B07, PRDE,actvstrat=,0.029431, actvprof=,2.108194, id=,B08, PRDE,actvstrat=,-0.741840, actvprof=,2.913056, id=,B09, PRDE,actvstrat=,-0.361836, actvprof=,1.865278, id=,S00, PRDE,actvstrat=,-0.484268, actvprof=,2.932361, id=,S01, PRDE,actvstrat=,0.046315, actvprof=,5.747222, id=,S02, PRDE,actvstrat=,-0.808132, actvprof=,1.403750, id=,S03, PRDE,actvstrat=,0.779316, actvprof=,9.120000, id=,S04, PRDE,actvstrat=,0.264369, actvprof=,6.739306, id=,S05, PRDE,actvstrat=,0.178880, actvprof=,6.056389, id=,S06, PRDE,actvstrat=,-0.303148, actvprof=,3.144861, id=,S07, PRDE,actvstrat=,0.062953, actvprof=,5.545694, id=,S08, PRDE,actvstrat=,0.723550, actvprof=,8.919028, id=,S09, PRDE,actvstrat=,-0.293842, actvprof=,3.273750, best_B_id=,B08, best_B_prof=,2.913056, best_B_strat=,-0.741840, best_S_id=,S03, best_S_prof=,9.120000, best_S_strat=,0.779316, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.866362, actvprof=,1.563377, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.515292, id=,B02, PRDE,actvstrat=,0.241593, actvprof=,1.141421, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.291980, id=,B04, PRDE,actvstrat=,0.242500, actvprof=,0.977805, id=,B05, PRDE,actvstrat=,0.901099, actvprof=,1.114753, id=,B06, PRDE,actvstrat=,0.589325, actvprof=,1.252257, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.495847, id=,B08, PRDE,actvstrat=,0.109884, actvprof=,1.048085, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.224478, id=,S00, PRDE,actvstrat=,-0.888051, actvprof=,0.662518, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,12.810078, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.875997, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,13.008695, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.719242, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.840718, id=,S06, PRDE,actvstrat=,-0.024496, actvprof=,7.194644, id=,S07, PRDE,actvstrat=,-0.175473, actvprof=,5.605989, id=,S08, PRDE,actvstrat=,-0.989210, actvprof=,1.036695, id=,S09, PRDE,actvstrat=,0.277311, actvprof=,9.022473, best_B_id=,B00, best_B_prof=,1.563377, best_B_strat=,-0.866362, best_S_id=,S03, best_S_prof=,13.008695, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.866362, actvprof=,1.642106, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.589869, id=,B02, PRDE,actvstrat=,0.241593, actvprof=,1.163349, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.273768, id=,B04, PRDE,actvstrat=,0.242500, actvprof=,1.045987, id=,B05, PRDE,actvstrat=,0.901099, actvprof=,1.086126, id=,B06, PRDE,actvstrat=,0.589325, actvprof=,1.341546, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.544313, id=,B08, PRDE,actvstrat=,0.109884, actvprof=,1.013625, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.210711, id=,S00, PRDE,actvstrat=,-0.888051, actvprof=,0.758483, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,12.722260, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.979666, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,12.725455, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.889068, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.955777, id=,S06, PRDE,actvstrat=,-0.024496, actvprof=,7.460937, id=,S07, PRDE,actvstrat=,-0.175473, actvprof=,5.312157, id=,S08, PRDE,actvstrat=,-0.989210, actvprof=,1.035570, id=,S09, PRDE,actvstrat=,0.277311, actvprof=,9.194850, best_B_id=,B00, best_B_prof=,1.642106, best_B_strat=,-0.866362, best_S_id=,S04, best_S_prof=,12.889068, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.500324, actvprof=,1.381169, id=,B01, PRDE,actvstrat=,-0.617544, actvprof=,1.954526, id=,B02, PRDE,actvstrat=,0.092777, actvprof=,1.593400, id=,B03, PRDE,actvstrat=,0.775348, actvprof=,1.925358, id=,B04, PRDE,actvstrat=,0.691327, actvprof=,1.910080, id=,B05, PRDE,actvstrat=,-0.090597, actvprof=,1.559232, id=,B06, PRDE,actvstrat=,0.589325, actvprof=,2.042863, id=,B07, PRDE,actvstrat=,0.697636, actvprof=,2.020362, id=,B08, PRDE,actvstrat=,0.140969, actvprof=,1.501451, id=,B09, PRDE,actvstrat=,-0.834003, actvprof=,2.642055, id=,S00, PRDE,actvstrat=,-0.552326, actvprof=,2.869564, id=,S01, PRDE,actvstrat=,-0.109714, actvprof=,4.501299, id=,S02, PRDE,actvstrat=,-0.818063, actvprof=,0.960596, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,10.664889, id=,S04, PRDE,actvstrat=,-0.509092, actvprof=,3.304860, id=,S05, PRDE,actvstrat=,0.596719, actvprof=,9.046488, id=,S06, PRDE,actvstrat=,-0.517836, actvprof=,3.270136, id=,S07, PRDE,actvstrat=,0.940963, actvprof=,10.870731, id=,S08, PRDE,actvstrat=,-0.225809, actvprof=,3.760434, id=,S09, PRDE,actvstrat=,0.390932, actvprof=,8.068114, best_B_id=,B09, best_B_prof=,2.642055, best_B_strat=,-0.834003, best_S_id=,S07, best_S_prof=,10.870731, best_S_strat=,0.940963, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.175642, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.975548, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.331474, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.901099, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.360557, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.819993, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.151173, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.945073, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.628846, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.039851, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.459105, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.175642, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.819993, 
