t=,1, id=,B00, PRDE,actvstrat=,-0.434298, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.113880, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.146249, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.443695, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.558340, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.001341, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.113053, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.658845, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.960366, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.368212, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.388147, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.268408, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.784892, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.213611, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.608137, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.519249, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.658393, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.723102, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.280792, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.178675, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.434298, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.388147, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.434298, actvprof=,2.761073, id=,B01, PRDE,actvstrat=,-0.113880, actvprof=,2.825516, id=,B02, PRDE,actvstrat=,-0.146249, actvprof=,3.031347, id=,B03, PRDE,actvstrat=,0.443695, actvprof=,3.776336, id=,B04, PRDE,actvstrat=,0.558340, actvprof=,3.569950, id=,B05, PRDE,actvstrat=,-0.001341, actvprof=,2.867738, id=,B06, PRDE,actvstrat=,0.113053, actvprof=,3.047180, id=,B07, PRDE,actvstrat=,-0.658845, actvprof=,3.628005, id=,B08, PRDE,actvstrat=,-0.960366, actvprof=,3.849947, id=,B09, PRDE,actvstrat=,0.368212, actvprof=,3.247455, id=,S00, PRDE,actvstrat=,0.388147, actvprof=,6.590186, id=,S01, PRDE,actvstrat=,-0.268408, actvprof=,3.879391, id=,S02, PRDE,actvstrat=,0.784892, actvprof=,8.536826, id=,S03, PRDE,actvstrat=,-0.213611, actvprof=,3.894390, id=,S04, PRDE,actvstrat=,0.608137, actvprof=,7.629061, id=,S05, PRDE,actvstrat=,0.519249, actvprof=,7.381564, id=,S06, PRDE,actvstrat=,0.658393, actvprof=,8.331551, id=,S07, PRDE,actvstrat=,-0.723102, actvprof=,2.635797, id=,S08, PRDE,actvstrat=,0.280792, actvprof=,6.244913, id=,S09, PRDE,actvstrat=,-0.178675, actvprof=,3.937168, best_B_id=,B08, best_B_prof=,3.849947, best_B_strat=,-0.960366, best_S_id=,S02, best_S_prof=,8.536826, best_S_strat=,0.784892, 
t=,7200, id=,B00, PRDE,actvstrat=,0.810912, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.185677, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.928317, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.568583, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.481231, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.667172, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.775573, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.765120, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.726009, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.552990, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.166038, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.718163, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.075000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.180980, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.529960, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.165228, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.514340, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.789259, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.343978, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.391350, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.810912, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.166038, 
t=,10800, id=,B00, PRDE,actvstrat=,0.810912, actvprof=,1.991944, id=,B01, PRDE,actvstrat=,0.185677, actvprof=,1.338889, id=,B02, PRDE,actvstrat=,0.928317, actvprof=,1.416111, id=,B03, PRDE,actvstrat=,-0.568583, actvprof=,1.260833, id=,B04, PRDE,actvstrat=,0.481231, actvprof=,1.756667, id=,B05, PRDE,actvstrat=,-0.667172, actvprof=,1.424167, id=,B06, PRDE,actvstrat=,-0.775573, actvprof=,2.015278, id=,B07, PRDE,actvstrat=,0.765120, actvprof=,1.956389, id=,B08, PRDE,actvstrat=,-0.726009, actvprof=,1.481944, id=,B09, PRDE,actvstrat=,-0.552990, actvprof=,1.258056, id=,S00, PRDE,actvstrat=,-0.166038, actvprof=,4.655556, id=,S01, PRDE,actvstrat=,0.718163, actvprof=,10.130278, id=,S02, PRDE,actvstrat=,0.075000, actvprof=,6.743889, id=,S03, PRDE,actvstrat=,-0.180980, actvprof=,4.845000, id=,S04, PRDE,actvstrat=,-0.529960, actvprof=,3.623333, id=,S05, PRDE,actvstrat=,-0.165228, actvprof=,5.144167, id=,S06, PRDE,actvstrat=,-0.514340, actvprof=,3.398056, id=,S07, PRDE,actvstrat=,0.789259, actvprof=,10.518889, id=,S08, PRDE,actvstrat=,-0.343978, actvprof=,3.945000, id=,S09, PRDE,actvstrat=,-0.391350, actvprof=,3.628889, best_B_id=,B06, best_B_prof=,2.015278, best_B_strat=,-0.775573, best_S_id=,S07, best_S_prof=,10.518889, best_S_strat=,0.789259, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.468921, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.386708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.655294, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.577746, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.537072, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.667172, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.678329, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.765120, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.990803, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.009758, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.052721, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.538148, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.632361, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.420661, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.425326, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.541527, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.041673, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.882222, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.266660, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.543658, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.468921, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.052721, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.468921, actvprof=,2.028084, id=,B01, PRDE,actvstrat=,0.386708, actvprof=,2.498924, id=,B02, PRDE,actvstrat=,-0.655294, actvprof=,2.302254, id=,B03, PRDE,actvstrat=,0.577746, actvprof=,2.516979, id=,B04, PRDE,actvstrat=,-0.537072, actvprof=,1.823359, id=,B05, PRDE,actvstrat=,-0.667172, actvprof=,2.426978, id=,B06, PRDE,actvstrat=,-0.678329, actvprof=,2.263365, id=,B07, PRDE,actvstrat=,0.765120, actvprof=,2.593925, id=,B08, PRDE,actvstrat=,-0.990803, actvprof=,2.931707, id=,B09, PRDE,actvstrat=,-0.009758, actvprof=,2.019750, id=,S00, PRDE,actvstrat=,0.052721, actvprof=,6.260643, id=,S01, PRDE,actvstrat=,0.538148, actvprof=,7.845665, id=,S02, PRDE,actvstrat=,0.632361, actvprof=,8.756511, id=,S03, PRDE,actvstrat=,-0.420661, actvprof=,2.876984, id=,S04, PRDE,actvstrat=,-0.425326, actvprof=,3.087265, id=,S05, PRDE,actvstrat=,-0.541527, actvprof=,2.759205, id=,S06, PRDE,actvstrat=,-0.041673, actvprof=,5.189794, id=,S07, PRDE,actvstrat=,0.882222, actvprof=,9.655690, id=,S08, PRDE,actvstrat=,0.266660, actvprof=,6.911485, id=,S09, PRDE,actvstrat=,-0.543658, actvprof=,2.652537, best_B_id=,B08, best_B_prof=,2.931707, best_B_strat=,-0.990803, best_S_id=,S07, best_S_prof=,9.655690, best_S_strat=,0.882222, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.468921, actvprof=,1.932083, id=,B01, PRDE,actvstrat=,0.386708, actvprof=,2.362083, id=,B02, PRDE,actvstrat=,-0.655294, actvprof=,2.217778, id=,B03, PRDE,actvstrat=,0.577746, actvprof=,2.558889, id=,B04, PRDE,actvstrat=,-0.537072, actvprof=,1.875972, id=,B05, PRDE,actvstrat=,-0.667172, actvprof=,2.331389, id=,B06, PRDE,actvstrat=,-0.678329, actvprof=,2.366389, id=,B07, PRDE,actvstrat=,0.765120, actvprof=,2.580139, id=,B08, PRDE,actvstrat=,-0.990803, actvprof=,2.955417, id=,B09, PRDE,actvstrat=,-0.009758, actvprof=,1.953750, id=,S00, PRDE,actvstrat=,0.052721, actvprof=,5.853889, id=,S01, PRDE,actvstrat=,0.538148, actvprof=,7.865694, id=,S02, PRDE,actvstrat=,0.632361, actvprof=,8.653750, id=,S03, PRDE,actvstrat=,-0.420661, actvprof=,2.820139, id=,S04, PRDE,actvstrat=,-0.425326, actvprof=,2.916806, id=,S05, PRDE,actvstrat=,-0.541527, actvprof=,2.921806, id=,S06, PRDE,actvstrat=,-0.041673, actvprof=,5.260972, id=,S07, PRDE,actvstrat=,0.882222, actvprof=,9.792083, id=,S08, PRDE,actvstrat=,0.266660, actvprof=,6.733194, id=,S09, PRDE,actvstrat=,-0.543658, actvprof=,2.558889, best_B_id=,B08, best_B_prof=,2.955417, best_B_strat=,-0.990803, best_S_id=,S07, best_S_prof=,9.792083, best_S_strat=,0.882222, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.377516, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.462241, id=,B02, PRDE,actvstrat=,-0.070931, actvprof=,0.555579, id=,B03, PRDE,actvstrat=,-0.266881, actvprof=,0.501965, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.346403, id=,B05, PRDE,actvstrat=,0.772077, actvprof=,1.151159, id=,B06, PRDE,actvstrat=,0.323349, actvprof=,0.849758, id=,B07, PRDE,actvstrat=,-0.415822, actvprof=,0.600303, id=,B08, PRDE,actvstrat=,-0.729827, actvprof=,0.822812, id=,B09, PRDE,actvstrat=,0.788826, actvprof=,1.124491, id=,S00, PRDE,actvstrat=,-0.187468, actvprof=,5.414948, id=,S01, PRDE,actvstrat=,-0.560898, actvprof=,5.032710, id=,S02, PRDE,actvstrat=,-0.931143, actvprof=,0.543912, id=,S03, PRDE,actvstrat=,0.660389, actvprof=,11.738545, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.975721, id=,S05, PRDE,actvstrat=,-0.513571, actvprof=,4.967429, id=,S06, PRDE,actvstrat=,-0.120604, actvprof=,6.157201, id=,S07, PRDE,actvstrat=,0.369827, actvprof=,10.255427, id=,S08, PRDE,actvstrat=,0.122505, actvprof=,8.242566, id=,S09, PRDE,actvstrat=,-0.502778, actvprof=,4.882148, best_B_id=,B05, best_B_prof=,1.151159, best_B_strat=,0.772077, best_S_id=,S03, best_S_prof=,11.738545, best_S_strat=,0.660389, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.372508, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.424037, id=,B02, PRDE,actvstrat=,-0.070931, actvprof=,0.622652, id=,B03, PRDE,actvstrat=,-0.266881, actvprof=,0.556400, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.368341, id=,B05, PRDE,actvstrat=,0.772077, actvprof=,1.154052, id=,B06, PRDE,actvstrat=,0.323349, actvprof=,0.819045, id=,B07, PRDE,actvstrat=,-0.415822, actvprof=,0.562790, id=,B08, PRDE,actvstrat=,-0.729827, actvprof=,0.879185, id=,B09, PRDE,actvstrat=,0.788826, actvprof=,1.156552, id=,S00, PRDE,actvstrat=,-0.187468, actvprof=,5.566088, id=,S01, PRDE,actvstrat=,-0.560898, actvprof=,4.720793, id=,S02, PRDE,actvstrat=,-0.931143, actvprof=,0.548345, id=,S03, PRDE,actvstrat=,0.660389, actvprof=,11.756217, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.989666, id=,S05, PRDE,actvstrat=,-0.513571, actvprof=,5.174136, id=,S06, PRDE,actvstrat=,-0.120604, actvprof=,6.246380, id=,S07, PRDE,actvstrat=,0.369827, actvprof=,10.151878, id=,S08, PRDE,actvstrat=,0.122505, actvprof=,8.443509, id=,S09, PRDE,actvstrat=,-0.502778, actvprof=,4.633291, best_B_id=,B09, best_B_prof=,1.156552, best_B_strat=,0.788826, best_S_id=,S03, best_S_prof=,11.756217, best_S_strat=,0.660389, 
t=,32400, id=,B00, PRDE,actvstrat=,0.810912, actvprof=,1.402300, id=,B01, PRDE,actvstrat=,0.982436, actvprof=,0.565309, id=,B02, PRDE,actvstrat=,-0.655294, actvprof=,0.773099, id=,B03, PRDE,actvstrat=,-0.570999, actvprof=,0.681705, id=,B04, PRDE,actvstrat=,-0.971667, actvprof=,1.403689, id=,B05, PRDE,actvstrat=,-0.425988, actvprof=,0.656425, id=,B06, PRDE,actvstrat=,-0.316308, actvprof=,0.705317, id=,B07, PRDE,actvstrat=,-0.309003, actvprof=,0.557531, id=,B08, PRDE,actvstrat=,-0.990803, actvprof=,1.426190, id=,B09, PRDE,actvstrat=,0.368212, actvprof=,1.082282, id=,S00, PRDE,actvstrat=,-0.859382, actvprof=,1.026446, id=,S01, PRDE,actvstrat=,-0.560898, actvprof=,3.686316, id=,S02, PRDE,actvstrat=,0.075000, actvprof=,7.341797, id=,S03, PRDE,actvstrat=,0.530981, actvprof=,10.291961, id=,S04, PRDE,actvstrat=,-0.792954, actvprof=,2.166787, id=,S05, PRDE,actvstrat=,-0.513571, actvprof=,3.973832, id=,S06, PRDE,actvstrat=,-0.886385, actvprof=,0.576421, id=,S07, PRDE,actvstrat=,0.789259, actvprof=,11.756764, id=,S08, PRDE,actvstrat=,-0.086211, actvprof=,5.608089, id=,S09, PRDE,actvstrat=,-0.391350, actvprof=,4.098839, best_B_id=,B08, best_B_prof=,1.426190, best_B_strat=,-0.990803, best_S_id=,S07, best_S_prof=,11.756764, best_S_strat=,0.789259, 
t=,36000, id=,B00, PRDE,actvstrat=,0.810912, actvprof=,1.392390, id=,B01, PRDE,actvstrat=,0.982436, actvprof=,0.565012, id=,B02, PRDE,actvstrat=,-0.655294, actvprof=,0.731265, id=,B03, PRDE,actvstrat=,-0.570999, actvprof=,0.664875, id=,B04, PRDE,actvstrat=,-0.971667, actvprof=,1.465169, id=,B05, PRDE,actvstrat=,-0.425988, actvprof=,0.724321, id=,B06, PRDE,actvstrat=,-0.316308, actvprof=,0.723765, id=,B07, PRDE,actvstrat=,-0.309003, actvprof=,0.624319, id=,B08, PRDE,actvstrat=,-0.990803, actvprof=,1.423224, id=,B09, PRDE,actvstrat=,0.368212, actvprof=,1.049466, id=,S00, PRDE,actvstrat=,-0.859382, actvprof=,1.039883, id=,S01, PRDE,actvstrat=,-0.560898, actvprof=,3.893692, id=,S02, PRDE,actvstrat=,0.075000, actvprof=,6.986257, id=,S03, PRDE,actvstrat=,0.530981, actvprof=,10.172990, id=,S04, PRDE,actvstrat=,-0.792954, actvprof=,2.139211, id=,S05, PRDE,actvstrat=,-0.513571, actvprof=,3.982305, id=,S06, PRDE,actvstrat=,-0.886385, actvprof=,0.618902, id=,S07, PRDE,actvstrat=,0.789259, actvprof=,11.754550, id=,S08, PRDE,actvstrat=,-0.086211, actvprof=,5.881234, id=,S09, PRDE,actvstrat=,-0.391350, actvprof=,4.157309, best_B_id=,B04, best_B_prof=,1.465169, best_B_strat=,-0.971667, best_S_id=,S07, best_S_prof=,11.754550, best_S_strat=,0.789259, 
