t=,1, id=,B00, PRDE,actvstrat=,-0.752883, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.364212, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.624645, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.501237, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.469544, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.797023, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.596270, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.918444, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.710972, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.102613, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.604135, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.942186, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.083203, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.834225, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.714804, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.185479, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.565143, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.961491, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.268792, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.740972, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.752883, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.604135, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.752883, actvprof=,2.274722, id=,B01, PRDE,actvstrat=,0.364212, actvprof=,2.009444, id=,B02, PRDE,actvstrat=,-0.624645, actvprof=,1.760000, id=,B03, PRDE,actvstrat=,-0.501237, actvprof=,1.759167, id=,B04, PRDE,actvstrat=,0.469544, actvprof=,2.245000, id=,B05, PRDE,actvstrat=,-0.797023, actvprof=,2.553333, id=,B06, PRDE,actvstrat=,0.596270, actvprof=,2.344167, id=,B07, PRDE,actvstrat=,-0.918444, actvprof=,3.020278, id=,B08, PRDE,actvstrat=,0.710972, actvprof=,2.312778, id=,B09, PRDE,actvstrat=,0.102613, actvprof=,1.605833, id=,S00, PRDE,actvstrat=,0.604135, actvprof=,8.598056, id=,S01, PRDE,actvstrat=,-0.942186, actvprof=,0.779444, id=,S02, PRDE,actvstrat=,-0.083203, actvprof=,4.632500, id=,S03, PRDE,actvstrat=,-0.834225, actvprof=,1.064444, id=,S04, PRDE,actvstrat=,0.714804, actvprof=,9.437778, id=,S05, PRDE,actvstrat=,0.185479, actvprof=,6.376389, id=,S06, PRDE,actvstrat=,0.565143, actvprof=,8.620278, id=,S07, PRDE,actvstrat=,0.961491, actvprof=,10.538611, id=,S08, PRDE,actvstrat=,-0.268792, actvprof=,3.587222, id=,S09, PRDE,actvstrat=,-0.740972, actvprof=,1.947222, best_B_id=,B07, best_B_prof=,3.020278, best_B_strat=,-0.918444, best_S_id=,S07, best_S_prof=,10.538611, best_S_strat=,0.961491, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.145365, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.609963, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.177252, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.893512, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.613436, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.015180, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.659429, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.461478, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.374560, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.017192, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.686174, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.070149, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.975398, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.327016, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.232031, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.779296, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.433142, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.624628, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.819683, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.524627, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.145365, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.686174, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.145365, actvprof=,2.103275, id=,B01, PRDE,actvstrat=,0.609963, actvprof=,2.667426, id=,B02, PRDE,actvstrat=,0.177252, actvprof=,2.337713, id=,B03, PRDE,actvstrat=,-0.893512, actvprof=,3.814616, id=,B04, PRDE,actvstrat=,-0.613436, actvprof=,2.565484, id=,B05, PRDE,actvstrat=,-0.015180, actvprof=,2.280214, id=,B06, PRDE,actvstrat=,0.659429, actvprof=,2.847143, id=,B07, PRDE,actvstrat=,-0.461478, actvprof=,2.115497, id=,B08, PRDE,actvstrat=,0.374560, actvprof=,2.705480, id=,B09, PRDE,actvstrat=,0.017192, actvprof=,2.141885, id=,S00, PRDE,actvstrat=,0.686174, actvprof=,9.275576, id=,S01, PRDE,actvstrat=,0.070149, actvprof=,6.321213, id=,S02, PRDE,actvstrat=,0.975398, actvprof=,9.716119, id=,S03, PRDE,actvstrat=,0.327016, actvprof=,6.949251, id=,S04, PRDE,actvstrat=,0.232031, actvprof=,6.468709, id=,S05, PRDE,actvstrat=,-0.779296, actvprof=,1.529124, id=,S06, PRDE,actvstrat=,-0.433142, actvprof=,2.597150, id=,S07, PRDE,actvstrat=,-0.624628, actvprof=,2.555762, id=,S08, PRDE,actvstrat=,0.819683, actvprof=,9.509736, id=,S09, PRDE,actvstrat=,-0.524627, actvprof=,2.607428, best_B_id=,B03, best_B_prof=,3.814616, best_B_strat=,-0.893512, best_S_id=,S02, best_S_prof=,9.716119, best_S_strat=,0.975398, 
t=,14400, id=,B00, PRDE,actvstrat=,0.884246, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.917648, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.829178, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.893512, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.613436, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.340793, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.437112, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.869075, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.683544, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.506589, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.321610, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.620113, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.155421, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.931870, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.819583, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.447256, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.565143, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.665290, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.807722, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.672948, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.884246, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.321610, 
t=,18000, id=,B00, PRDE,actvstrat=,0.884246, actvprof=,0.901389, id=,B01, PRDE,actvstrat=,0.917648, actvprof=,0.726944, id=,B02, PRDE,actvstrat=,0.829178, actvprof=,0.824444, id=,B03, PRDE,actvstrat=,-0.893512, actvprof=,0.853333, id=,B04, PRDE,actvstrat=,-0.613436, actvprof=,0.338889, id=,B05, PRDE,actvstrat=,0.340793, actvprof=,0.537778, id=,B06, PRDE,actvstrat=,-0.437112, actvprof=,0.253611, id=,B07, PRDE,actvstrat=,0.869075, actvprof=,0.909167, id=,B08, PRDE,actvstrat=,0.683544, actvprof=,0.730278, id=,B09, PRDE,actvstrat=,0.506589, actvprof=,0.598889, id=,S00, PRDE,actvstrat=,-0.321610, actvprof=,4.993611, id=,S01, PRDE,actvstrat=,-0.620113, actvprof=,4.402500, id=,S02, PRDE,actvstrat=,-0.155421, actvprof=,5.645556, id=,S03, PRDE,actvstrat=,-0.931870, actvprof=,0.225278, id=,S04, PRDE,actvstrat=,-0.819583, actvprof=,1.632500, id=,S05, PRDE,actvstrat=,0.447256, actvprof=,10.100556, id=,S06, PRDE,actvstrat=,0.565143, actvprof=,11.124167, id=,S07, PRDE,actvstrat=,-0.665290, actvprof=,3.963333, id=,S08, PRDE,actvstrat=,-0.807722, actvprof=,1.855278, id=,S09, PRDE,actvstrat=,0.672948, actvprof=,11.671389, best_B_id=,B07, best_B_prof=,0.909167, best_B_strat=,0.869075, best_S_id=,S09, best_S_prof=,11.671389, best_S_strat=,0.672948, 
t=,21600, id=,B00, PRDE,actvstrat=,0.884246, actvprof=,0.880694, id=,B01, PRDE,actvstrat=,0.917648, actvprof=,0.781944, id=,B02, PRDE,actvstrat=,0.829178, actvprof=,0.855972, id=,B03, PRDE,actvstrat=,-0.893512, actvprof=,0.918333, id=,B04, PRDE,actvstrat=,-0.613436, actvprof=,0.327639, id=,B05, PRDE,actvstrat=,0.340793, actvprof=,0.494167, id=,B06, PRDE,actvstrat=,-0.437112, actvprof=,0.287222, id=,B07, PRDE,actvstrat=,0.869075, actvprof=,0.850833, id=,B08, PRDE,actvstrat=,0.683544, actvprof=,0.728194, id=,B09, PRDE,actvstrat=,0.506589, actvprof=,0.576111, id=,S00, PRDE,actvstrat=,-0.321610, actvprof=,4.837639, id=,S01, PRDE,actvstrat=,-0.620113, actvprof=,4.472778, id=,S02, PRDE,actvstrat=,-0.155421, actvprof=,5.806250, id=,S03, PRDE,actvstrat=,-0.931870, actvprof=,0.191944, id=,S04, PRDE,actvstrat=,-0.819583, actvprof=,1.645278, id=,S05, PRDE,actvstrat=,0.447256, actvprof=,10.176111, id=,S06, PRDE,actvstrat=,0.565143, actvprof=,11.038750, id=,S07, PRDE,actvstrat=,-0.665290, actvprof=,4.037917, id=,S08, PRDE,actvstrat=,-0.807722, actvprof=,1.957361, id=,S09, PRDE,actvstrat=,0.672948, actvprof=,11.757083, best_B_id=,B03, best_B_prof=,0.918333, best_B_strat=,-0.893512, best_S_id=,S09, best_S_prof=,11.757083, best_S_strat=,0.672948, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.155585, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.878901, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,2.087529, id=,B03, PRDE,actvstrat=,-0.602350, actvprof=,1.744191, id=,B04, PRDE,actvstrat=,-0.629783, actvprof=,1.648634, id=,B05, PRDE,actvstrat=,0.155815, actvprof=,1.586133, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.139196, id=,B07, PRDE,actvstrat=,-0.777958, actvprof=,2.026417, id=,B08, PRDE,actvstrat=,-0.383707, actvprof=,1.386686, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.850845, id=,S00, PRDE,actvstrat=,-0.514631, actvprof=,3.761997, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.881998, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.974889, id=,S03, PRDE,actvstrat=,0.093899, actvprof=,6.996764, id=,S04, PRDE,actvstrat=,-0.979235, actvprof=,1.075293, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,11.778775, id=,S06, PRDE,actvstrat=,0.659869, actvprof=,10.486535, id=,S07, PRDE,actvstrat=,-0.182928, actvprof=,4.892012, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.724330, id=,S09, PRDE,actvstrat=,-0.776289, actvprof=,2.146696, best_B_id=,B00, best_B_prof=,2.155585, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,11.974889, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.141265, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.892090, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,2.022653, id=,B03, PRDE,actvstrat=,-0.602350, actvprof=,1.609317, id=,B04, PRDE,actvstrat=,-0.629783, actvprof=,1.693762, id=,B05, PRDE,actvstrat=,0.155815, actvprof=,1.504872, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.072514, id=,B07, PRDE,actvstrat=,-0.777958, actvprof=,1.960153, id=,B08, PRDE,actvstrat=,-0.383707, actvprof=,1.348898, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.828756, id=,S00, PRDE,actvstrat=,-0.514631, actvprof=,3.810165, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.787387, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.010361, id=,S03, PRDE,actvstrat=,0.093899, actvprof=,6.845325, id=,S04, PRDE,actvstrat=,-0.979235, actvprof=,0.955146, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,11.820360, id=,S06, PRDE,actvstrat=,0.659869, actvprof=,10.488545, id=,S07, PRDE,actvstrat=,-0.182928, actvprof=,4.791700, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.725915, id=,S09, PRDE,actvstrat=,-0.776289, actvprof=,2.135848, best_B_id=,B00, best_B_prof=,2.141265, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,12.010361, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.556111, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.561111, id=,B02, PRDE,actvstrat=,-0.889297, actvprof=,1.817778, id=,B03, PRDE,actvstrat=,0.408856, actvprof=,0.990833, id=,B04, PRDE,actvstrat=,-0.629783, actvprof=,0.921667, id=,B05, PRDE,actvstrat=,-0.015180, actvprof=,0.848611, id=,B06, PRDE,actvstrat=,0.659429, actvprof=,1.414167, id=,B07, PRDE,actvstrat=,0.931160, actvprof=,1.069167, id=,B08, PRDE,actvstrat=,-0.230169, actvprof=,0.752222, id=,B09, PRDE,actvstrat=,0.017192, actvprof=,0.925556, id=,S00, PRDE,actvstrat=,-0.021441, actvprof=,7.323333, id=,S01, PRDE,actvstrat=,0.403244, actvprof=,9.128333, id=,S02, PRDE,actvstrat=,-0.611392, actvprof=,4.041389, id=,S03, PRDE,actvstrat=,-0.380425, actvprof=,4.028611, id=,S04, PRDE,actvstrat=,-0.979235, actvprof=,1.311667, id=,S05, PRDE,actvstrat=,0.775984, actvprof=,11.397222, id=,S06, PRDE,actvstrat=,-0.415950, actvprof=,4.298056, id=,S07, PRDE,actvstrat=,0.121149, actvprof=,7.711111, id=,S08, PRDE,actvstrat=,-0.544705, actvprof=,3.826389, id=,S09, PRDE,actvstrat=,0.051330, actvprof=,7.432222, best_B_id=,B02, best_B_prof=,1.817778, best_B_strat=,-0.889297, best_S_id=,S05, best_S_prof=,11.397222, best_S_strat=,0.775984, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.558761, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.511670, id=,B02, PRDE,actvstrat=,-0.889297, actvprof=,1.767651, id=,B03, PRDE,actvstrat=,0.408856, actvprof=,1.053896, id=,B04, PRDE,actvstrat=,-0.629783, actvprof=,0.930006, id=,B05, PRDE,actvstrat=,-0.015180, actvprof=,0.773478, id=,B06, PRDE,actvstrat=,0.659429, actvprof=,1.335704, id=,B07, PRDE,actvstrat=,0.931160, actvprof=,1.029035, id=,B08, PRDE,actvstrat=,-0.230169, actvprof=,0.777367, id=,B09, PRDE,actvstrat=,0.017192, actvprof=,0.863617, id=,S00, PRDE,actvstrat=,-0.021441, actvprof=,6.940604, id=,S01, PRDE,actvstrat=,0.403244, actvprof=,9.248259, id=,S02, PRDE,actvstrat=,-0.611392, actvprof=,3.813776, id=,S03, PRDE,actvstrat=,-0.380425, actvprof=,4.109890, id=,S04, PRDE,actvstrat=,-0.979235, actvprof=,1.187508, id=,S05, PRDE,actvstrat=,0.775984, actvprof=,11.730220, id=,S06, PRDE,actvstrat=,-0.415950, actvprof=,4.220168, id=,S07, PRDE,actvstrat=,0.121149, actvprof=,7.890055, id=,S08, PRDE,actvstrat=,-0.544705, actvprof=,3.862249, id=,S09, PRDE,actvstrat=,0.051330, actvprof=,7.496580, best_B_id=,B02, best_B_prof=,1.767651, best_B_strat=,-0.889297, best_S_id=,S05, best_S_prof=,11.730220, best_S_strat=,0.775984, 
