t=,0, id=,B00, PRDE,actvstrat=,0.789623, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.101784, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.402109, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.211561, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.537336, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.300810, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.958417, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.862792, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.635938, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.683264, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.720213, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.719540, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.296274, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.978475, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.261632, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.961690, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.820500, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.149106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.738812, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.701745, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.789623, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.720213, 
t=,3600, id=,B00, PRDE,actvstrat=,0.789623, actvprof=,1.889696, id=,B01, PRDE,actvstrat=,-0.101784, actvprof=,1.109707, id=,B02, PRDE,actvstrat=,-0.402109, actvprof=,1.137484, id=,B03, PRDE,actvstrat=,0.211561, actvprof=,1.363037, id=,B04, PRDE,actvstrat=,0.537336, actvprof=,1.781642, id=,B05, PRDE,actvstrat=,0.300810, actvprof=,1.426647, id=,B06, PRDE,actvstrat=,-0.958417, actvprof=,2.460521, id=,B07, PRDE,actvstrat=,-0.862792, actvprof=,2.129693, id=,B08, PRDE,actvstrat=,0.635938, actvprof=,1.855530, id=,B09, PRDE,actvstrat=,-0.683264, actvprof=,1.328037, id=,S00, PRDE,actvstrat=,-0.720213, actvprof=,2.969403, id=,S01, PRDE,actvstrat=,-0.719540, actvprof=,3.313287, id=,S02, PRDE,actvstrat=,0.296274, actvprof=,8.175998, id=,S03, PRDE,actvstrat=,-0.978475, actvprof=,1.896363, id=,S04, PRDE,actvstrat=,-0.261632, actvprof=,4.750767, id=,S05, PRDE,actvstrat=,0.961690, actvprof=,11.037069, id=,S06, PRDE,actvstrat=,-0.820500, actvprof=,2.115526, id=,S07, PRDE,actvstrat=,-0.149106, actvprof=,5.168262, id=,S08, PRDE,actvstrat=,-0.738812, actvprof=,2.918293, id=,S09, PRDE,actvstrat=,0.701745, actvprof=,10.305412, best_B_id=,B06, best_B_prof=,2.460521, best_B_strat=,-0.958417, best_S_id=,S05, best_S_prof=,11.037069, best_S_strat=,0.961690, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.506284, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.092472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.028904, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.061847, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.006120, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.190364, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.088053, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.019381, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.647327, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.632094, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.593717, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.451057, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.033496, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.179196, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.722699, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.756589, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.320193, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.968907, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.253750, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.983124, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.506284, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.593717, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.506284, actvprof=,3.122500, id=,B01, PRDE,actvstrat=,-0.092472, actvprof=,2.704722, id=,B02, PRDE,actvstrat=,0.028904, actvprof=,2.460000, id=,B03, PRDE,actvstrat=,-0.061847, actvprof=,2.574722, id=,B04, PRDE,actvstrat=,-0.006120, actvprof=,2.408056, id=,B05, PRDE,actvstrat=,0.190364, actvprof=,2.725000, id=,B06, PRDE,actvstrat=,-0.088053, actvprof=,2.621389, id=,B07, PRDE,actvstrat=,0.019381, actvprof=,2.425556, id=,B08, PRDE,actvstrat=,0.647327, actvprof=,3.238611, id=,B09, PRDE,actvstrat=,-0.632094, actvprof=,3.341944, id=,S00, PRDE,actvstrat=,0.593717, actvprof=,7.783056, id=,S01, PRDE,actvstrat=,-0.451057, actvprof=,2.610833, id=,S02, PRDE,actvstrat=,-0.033496, actvprof=,4.720000, id=,S03, PRDE,actvstrat=,-0.179196, actvprof=,3.355833, id=,S04, PRDE,actvstrat=,-0.722699, actvprof=,1.747500, id=,S05, PRDE,actvstrat=,-0.756589, actvprof=,1.448611, id=,S06, PRDE,actvstrat=,0.320193, actvprof=,6.040000, id=,S07, PRDE,actvstrat=,0.968907, actvprof=,8.935556, id=,S08, PRDE,actvstrat=,0.253750, actvprof=,6.373056, id=,S09, PRDE,actvstrat=,0.983124, actvprof=,9.051944, best_B_id=,B09, best_B_prof=,3.341944, best_B_strat=,-0.632094, best_S_id=,S09, best_S_prof=,9.051944, best_S_strat=,0.983124, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.345754, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.830614, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.562285, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.794059, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.533619, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.190364, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.107309, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.595771, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.412408, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.506167, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.655762, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.596437, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.711336, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.919525, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.555011, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.493925, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.441851, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.900772, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.672348, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.150069, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.345754, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.655762, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.345754, actvprof=,1.257500, id=,B01, PRDE,actvstrat=,-0.830614, actvprof=,2.308333, id=,B02, PRDE,actvstrat=,-0.562285, actvprof=,1.246111, id=,B03, PRDE,actvstrat=,0.794059, actvprof=,1.820833, id=,B04, PRDE,actvstrat=,0.533619, actvprof=,2.013611, id=,B05, PRDE,actvstrat=,0.190364, actvprof=,1.528333, id=,B06, PRDE,actvstrat=,-0.107309, actvprof=,1.388611, id=,B07, PRDE,actvstrat=,0.595771, actvprof=,1.900000, id=,B08, PRDE,actvstrat=,-0.412408, actvprof=,1.207500, id=,B09, PRDE,actvstrat=,0.506167, actvprof=,1.793056, id=,S00, PRDE,actvstrat=,0.655762, actvprof=,9.371389, id=,S01, PRDE,actvstrat=,-0.596437, actvprof=,3.198056, id=,S02, PRDE,actvstrat=,-0.711336, actvprof=,2.187500, id=,S03, PRDE,actvstrat=,0.919525, actvprof=,11.021111, id=,S04, PRDE,actvstrat=,0.555011, actvprof=,8.820278, id=,S05, PRDE,actvstrat=,-0.493925, actvprof=,3.214167, id=,S06, PRDE,actvstrat=,-0.441851, actvprof=,3.316111, id=,S07, PRDE,actvstrat=,-0.900772, actvprof=,0.343056, id=,S08, PRDE,actvstrat=,-0.672348, actvprof=,2.808889, id=,S09, PRDE,actvstrat=,0.150069, actvprof=,7.011111, best_B_id=,B01, best_B_prof=,2.308333, best_B_strat=,-0.830614, best_S_id=,S03, best_S_prof=,11.021111, best_S_strat=,0.919525, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.345754, actvprof=,1.142230, id=,B01, PRDE,actvstrat=,-0.830614, actvprof=,2.333350, id=,B02, PRDE,actvstrat=,-0.562285, actvprof=,1.385982, id=,B03, PRDE,actvstrat=,0.794059, actvprof=,1.851818, id=,B04, PRDE,actvstrat=,0.533619, actvprof=,1.890013, id=,B05, PRDE,actvstrat=,0.190364, actvprof=,1.467371, id=,B06, PRDE,actvstrat=,-0.107309, actvprof=,1.322648, id=,B07, PRDE,actvstrat=,0.595771, actvprof=,1.948208, id=,B08, PRDE,actvstrat=,-0.412408, actvprof=,1.296120, id=,B09, PRDE,actvstrat=,0.506167, actvprof=,1.813068, id=,S00, PRDE,actvstrat=,0.655762, actvprof=,9.511316, id=,S01, PRDE,actvstrat=,-0.596437, actvprof=,3.086688, id=,S02, PRDE,actvstrat=,-0.711336, actvprof=,2.176821, id=,S03, PRDE,actvstrat=,0.919525, actvprof=,10.885492, id=,S04, PRDE,actvstrat=,0.555011, actvprof=,8.810895, id=,S05, PRDE,actvstrat=,-0.493925, actvprof=,3.238356, id=,S06, PRDE,actvstrat=,-0.441851, actvprof=,3.253356, id=,S07, PRDE,actvstrat=,-0.900772, actvprof=,0.381947, id=,S08, PRDE,actvstrat=,-0.672348, actvprof=,2.826825, id=,S09, PRDE,actvstrat=,0.150069, actvprof=,6.744630, best_B_id=,B01, best_B_prof=,2.333350, best_B_strat=,-0.830614, best_S_id=,S03, best_S_prof=,10.885492, best_S_strat=,0.919525, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.445751, actvprof=,1.224184, id=,B01, PRDE,actvstrat=,0.762929, actvprof=,1.932805, id=,B02, PRDE,actvstrat=,0.843011, actvprof=,1.843637, id=,B03, PRDE,actvstrat=,-0.558916, actvprof=,1.446131, id=,B04, PRDE,actvstrat=,0.756275, actvprof=,1.917527, id=,B05, PRDE,actvstrat=,-0.481764, actvprof=,1.277518, id=,B06, PRDE,actvstrat=,0.156649, actvprof=,1.436409, id=,B07, PRDE,actvstrat=,0.019381, actvprof=,1.304463, id=,B08, PRDE,actvstrat=,0.647327, actvprof=,1.920860, id=,B09, PRDE,actvstrat=,-0.632094, actvprof=,1.802525, id=,S00, PRDE,actvstrat=,-0.356727, actvprof=,3.459215, id=,S01, PRDE,actvstrat=,0.798695, actvprof=,10.963208, id=,S02, PRDE,actvstrat=,-0.736913, actvprof=,2.437534, id=,S03, PRDE,actvstrat=,0.008832, actvprof=,7.218711, id=,S04, PRDE,actvstrat=,-0.261632, actvprof=,3.726996, id=,S05, PRDE,actvstrat=,-0.170028, actvprof=,4.505063, id=,S06, PRDE,actvstrat=,-0.561539, actvprof=,2.957541, id=,S07, PRDE,actvstrat=,-0.221208, actvprof=,4.190336, id=,S08, PRDE,actvstrat=,0.033936, actvprof=,6.674259, id=,S09, PRDE,actvstrat=,0.933858, actvprof=,11.206545, best_B_id=,B01, best_B_prof=,1.932805, best_B_strat=,0.762929, best_S_id=,S09, best_S_prof=,11.206545, best_S_strat=,0.933858, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.445751, actvprof=,1.173194, id=,B01, PRDE,actvstrat=,0.762929, actvprof=,1.978194, id=,B02, PRDE,actvstrat=,0.843011, actvprof=,1.797639, id=,B03, PRDE,actvstrat=,-0.558916, actvprof=,1.510278, id=,B04, PRDE,actvstrat=,0.756275, actvprof=,1.901667, id=,B05, PRDE,actvstrat=,-0.481764, actvprof=,1.203889, id=,B06, PRDE,actvstrat=,0.156649, actvprof=,1.474583, id=,B07, PRDE,actvstrat=,0.019381, actvprof=,1.370556, id=,B08, PRDE,actvstrat=,0.647327, actvprof=,1.954722, id=,B09, PRDE,actvstrat=,-0.632094, actvprof=,1.601528, id=,S00, PRDE,actvstrat=,-0.356727, actvprof=,3.648611, id=,S01, PRDE,actvstrat=,0.798695, actvprof=,10.897500, id=,S02, PRDE,actvstrat=,-0.736913, actvprof=,2.396389, id=,S03, PRDE,actvstrat=,0.008832, actvprof=,6.736667, id=,S04, PRDE,actvstrat=,-0.261632, actvprof=,3.795278, id=,S05, PRDE,actvstrat=,-0.170028, actvprof=,4.367083, id=,S06, PRDE,actvstrat=,-0.561539, actvprof=,2.945556, id=,S07, PRDE,actvstrat=,-0.221208, actvprof=,4.101944, id=,S08, PRDE,actvstrat=,0.033936, actvprof=,6.703472, id=,S09, PRDE,actvstrat=,0.933858, actvprof=,11.196806, best_B_id=,B01, best_B_prof=,1.978194, best_B_strat=,0.762929, best_S_id=,S09, best_S_prof=,11.196806, best_S_strat=,0.933858, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.484093, actvprof=,1.502542, id=,B01, PRDE,actvstrat=,-0.803629, actvprof=,2.417845, id=,B02, PRDE,actvstrat=,0.843011, actvprof=,2.119226, id=,B03, PRDE,actvstrat=,-0.878743, actvprof=,2.985638, id=,B04, PRDE,actvstrat=,-0.983150, actvprof=,2.849524, id=,B05, PRDE,actvstrat=,0.439088, actvprof=,2.102836, id=,B06, PRDE,actvstrat=,0.156649, actvprof=,1.711436, id=,B07, PRDE,actvstrat=,-0.845976, actvprof=,2.471735, id=,B08, PRDE,actvstrat=,0.069830, actvprof=,1.830606, id=,B09, PRDE,actvstrat=,0.434925, actvprof=,2.048112, id=,S00, PRDE,actvstrat=,-0.570056, actvprof=,2.564516, id=,S01, PRDE,actvstrat=,0.899940, actvprof=,10.393900, id=,S02, PRDE,actvstrat=,0.873803, actvprof=,10.488902, id=,S03, PRDE,actvstrat=,0.008832, actvprof=,5.967388, id=,S04, PRDE,actvstrat=,0.555011, actvprof=,8.494403, id=,S05, PRDE,actvstrat=,-0.170028, actvprof=,3.908720, id=,S06, PRDE,actvstrat=,0.320193, actvprof=,6.833245, id=,S07, PRDE,actvstrat=,-0.893653, actvprof=,0.295286, id=,S08, PRDE,actvstrat=,-0.803975, actvprof=,1.148921, id=,S09, PRDE,actvstrat=,0.668323, actvprof=,9.311925, best_B_id=,B03, best_B_prof=,2.985638, best_B_strat=,-0.878743, best_S_id=,S02, best_S_prof=,10.488902, best_S_strat=,0.873803, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.484093, actvprof=,1.569338, id=,B01, PRDE,actvstrat=,-0.803629, actvprof=,2.361021, id=,B02, PRDE,actvstrat=,0.843011, actvprof=,2.146989, id=,B03, PRDE,actvstrat=,-0.878743, actvprof=,2.929505, id=,B04, PRDE,actvstrat=,-0.983150, actvprof=,2.857560, id=,B05, PRDE,actvstrat=,0.439088, actvprof=,2.150739, id=,B06, PRDE,actvstrat=,0.156649, actvprof=,1.827677, id=,B07, PRDE,actvstrat=,-0.845976, actvprof=,2.458940, id=,B08, PRDE,actvstrat=,0.069830, actvprof=,1.780176, id=,B09, PRDE,actvstrat=,0.434925, actvprof=,1.982680, id=,S00, PRDE,actvstrat=,-0.570056, actvprof=,2.540886, id=,S01, PRDE,actvstrat=,0.899940, actvprof=,10.483413, id=,S02, PRDE,actvstrat=,0.873803, actvprof=,10.510358, id=,S03, PRDE,actvstrat=,0.008832, actvprof=,5.843316, id=,S04, PRDE,actvstrat=,0.555011, actvprof=,8.541428, id=,S05, PRDE,actvstrat=,-0.170028, actvprof=,3.872442, id=,S06, PRDE,actvstrat=,0.320193, actvprof=,7.056397, id=,S07, PRDE,actvstrat=,-0.893653, actvprof=,0.329729, id=,S08, PRDE,actvstrat=,-0.803975, actvprof=,1.158357, id=,S09, PRDE,actvstrat=,0.668323, actvprof=,9.300749, best_B_id=,B03, best_B_prof=,2.929505, best_B_strat=,-0.878743, best_S_id=,S02, best_S_prof=,10.510358, best_S_strat=,0.873803, 
