t=,0, id=,B00, PRDE,actvstrat=,0.884108, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.138119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.472033, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.946679, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.083351, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.279949, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.902471, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.194530, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.467092, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.294914, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.050323, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.886087, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.170492, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.836835, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.670978, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.830129, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.003705, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.138648, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.647685, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.709424, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.884108, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.050323, 
t=,3600, id=,B00, PRDE,actvstrat=,0.884108, actvprof=,1.755809, id=,B01, PRDE,actvstrat=,0.138119, actvprof=,1.495535, id=,B02, PRDE,actvstrat=,-0.472033, actvprof=,1.296093, id=,B03, PRDE,actvstrat=,0.946679, actvprof=,1.388592, id=,B04, PRDE,actvstrat=,-0.083351, actvprof=,1.121929, id=,B05, PRDE,actvstrat=,0.279949, actvprof=,1.539701, id=,B06, PRDE,actvstrat=,-0.902471, actvprof=,2.352190, id=,B07, PRDE,actvstrat=,-0.194530, actvprof=,1.285260, id=,B08, PRDE,actvstrat=,0.467092, actvprof=,1.570812, id=,B09, PRDE,actvstrat=,-0.294914, actvprof=,1.265816, id=,S00, PRDE,actvstrat=,0.050323, actvprof=,7.539340, id=,S01, PRDE,actvstrat=,-0.886087, actvprof=,1.390536, id=,S02, PRDE,actvstrat=,0.170492, actvprof=,7.834336, id=,S03, PRDE,actvstrat=,-0.836835, actvprof=,1.598311, id=,S04, PRDE,actvstrat=,-0.670978, actvprof=,4.109110, id=,S05, PRDE,actvstrat=,-0.830129, actvprof=,1.925251, id=,S06, PRDE,actvstrat=,0.003705, actvprof=,7.352120, id=,S07, PRDE,actvstrat=,0.138648, actvprof=,7.741004, id=,S08, PRDE,actvstrat=,-0.647685, actvprof=,4.282996, id=,S09, PRDE,actvstrat=,0.709424, actvprof=,10.643186, best_B_id=,B06, best_B_prof=,2.352190, best_B_strat=,-0.902471, best_S_id=,S09, best_S_prof=,10.643186, best_S_strat=,0.709424, 
t=,7200, id=,B00, PRDE,actvstrat=,0.212041, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.316564, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.410961, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.756978, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.557576, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.134311, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.322476, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.346483, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.722259, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.067266, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.054339, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.761559, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.941593, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.693210, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.387588, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.707557, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.025971, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.708227, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.825817, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.345491, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.212041, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.054339, 
t=,10800, id=,B00, PRDE,actvstrat=,0.212041, actvprof=,2.796906, id=,B01, PRDE,actvstrat=,-0.316564, actvprof=,2.182470, id=,B02, PRDE,actvstrat=,-0.410961, actvprof=,2.664963, id=,B03, PRDE,actvstrat=,-0.756978, actvprof=,3.362731, id=,B04, PRDE,actvstrat=,-0.557576, actvprof=,2.599964, id=,B05, PRDE,actvstrat=,0.134311, actvprof=,2.555520, id=,B06, PRDE,actvstrat=,-0.322476, actvprof=,2.366912, id=,B07, PRDE,actvstrat=,0.346483, actvprof=,2.913571, id=,B08, PRDE,actvstrat=,-0.722259, actvprof=,2.967181, id=,B09, PRDE,actvstrat=,0.067266, actvprof=,2.441911, id=,S00, PRDE,actvstrat=,0.054339, actvprof=,5.076596, id=,S01, PRDE,actvstrat=,0.761559, actvprof=,8.419328, id=,S02, PRDE,actvstrat=,0.941593, actvprof=,9.119040, id=,S03, PRDE,actvstrat=,-0.693210, actvprof=,1.954417, id=,S04, PRDE,actvstrat=,-0.387588, actvprof=,2.735518, id=,S05, PRDE,actvstrat=,-0.707557, actvprof=,2.447188, id=,S06, PRDE,actvstrat=,-0.025971, actvprof=,4.983820, id=,S07, PRDE,actvstrat=,-0.708227, actvprof=,2.084693, id=,S08, PRDE,actvstrat=,0.825817, actvprof=,9.000153, id=,S09, PRDE,actvstrat=,-0.345491, actvprof=,2.814961, best_B_id=,B03, best_B_prof=,3.362731, best_B_strat=,-0.756978, best_S_id=,S02, best_S_prof=,9.119040, best_S_strat=,0.941593, 
t=,14400, id=,B00, PRDE,actvstrat=,0.848792, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.401716, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.792950, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.225820, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.356765, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.232517, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.882746, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.377007, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.948986, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.067266, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.154491, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.474161, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.281484, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.763782, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.148851, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.839221, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.362388, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.514106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.352511, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.230460, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.848792, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.154491, 
t=,18000, id=,B00, PRDE,actvstrat=,0.848792, actvprof=,1.734444, id=,B01, PRDE,actvstrat=,-0.401716, actvprof=,0.863889, id=,B02, PRDE,actvstrat=,-0.792950, actvprof=,1.473333, id=,B03, PRDE,actvstrat=,-0.225820, actvprof=,1.050000, id=,B04, PRDE,actvstrat=,0.356765, actvprof=,1.351667, id=,B05, PRDE,actvstrat=,-0.232517, actvprof=,0.931944, id=,B06, PRDE,actvstrat=,-0.882746, actvprof=,1.910000, id=,B07, PRDE,actvstrat=,-0.377007, actvprof=,0.994167, id=,B08, PRDE,actvstrat=,0.948986, actvprof=,1.061389, id=,B09, PRDE,actvstrat=,0.067266, actvprof=,1.093889, id=,S00, PRDE,actvstrat=,-0.154491, actvprof=,4.098056, id=,S01, PRDE,actvstrat=,-0.474161, actvprof=,3.295833, id=,S02, PRDE,actvstrat=,-0.281484, actvprof=,3.785278, id=,S03, PRDE,actvstrat=,-0.763782, actvprof=,1.822222, id=,S04, PRDE,actvstrat=,-0.148851, actvprof=,4.673889, id=,S05, PRDE,actvstrat=,0.839221, actvprof=,11.033889, id=,S06, PRDE,actvstrat=,-0.362388, actvprof=,3.811667, id=,S07, PRDE,actvstrat=,-0.514106, actvprof=,3.610278, id=,S08, PRDE,actvstrat=,-0.352511, actvprof=,3.939167, id=,S09, PRDE,actvstrat=,0.230460, actvprof=,7.309444, best_B_id=,B06, best_B_prof=,1.910000, best_B_strat=,-0.882746, best_S_id=,S05, best_S_prof=,11.033889, best_S_strat=,0.839221, 
t=,21600, id=,B00, PRDE,actvstrat=,0.848792, actvprof=,1.704722, id=,B01, PRDE,actvstrat=,-0.401716, actvprof=,0.861667, id=,B02, PRDE,actvstrat=,-0.792950, actvprof=,1.538194, id=,B03, PRDE,actvstrat=,-0.225820, actvprof=,1.039583, id=,B04, PRDE,actvstrat=,0.356765, actvprof=,1.408750, id=,B05, PRDE,actvstrat=,-0.232517, actvprof=,0.974861, id=,B06, PRDE,actvstrat=,-0.882746, actvprof=,1.927500, id=,B07, PRDE,actvstrat=,-0.377007, actvprof=,1.019861, id=,B08, PRDE,actvstrat=,0.948986, actvprof=,1.084583, id=,B09, PRDE,actvstrat=,0.067266, actvprof=,1.145972, id=,S00, PRDE,actvstrat=,-0.154491, actvprof=,4.224167, id=,S01, PRDE,actvstrat=,-0.474161, actvprof=,3.428472, id=,S02, PRDE,actvstrat=,-0.281484, actvprof=,3.865972, id=,S03, PRDE,actvstrat=,-0.763782, actvprof=,1.888750, id=,S04, PRDE,actvstrat=,-0.148851, actvprof=,4.807361, id=,S05, PRDE,actvstrat=,0.839221, actvprof=,11.038194, id=,S06, PRDE,actvstrat=,-0.362388, actvprof=,3.675000, id=,S07, PRDE,actvstrat=,-0.514106, actvprof=,3.536806, id=,S08, PRDE,actvstrat=,-0.352511, actvprof=,3.963333, id=,S09, PRDE,actvstrat=,0.230460, actvprof=,7.610694, best_B_id=,B06, best_B_prof=,1.927500, best_B_strat=,-0.882746, best_S_id=,S05, best_S_prof=,11.038194, best_S_strat=,0.839221, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.176667, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.304722, id=,B02, PRDE,actvstrat=,0.437532, actvprof=,2.108333, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.186944, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.149722, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.171944, id=,B06, PRDE,actvstrat=,0.110875, actvprof=,1.675833, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.426389, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.518333, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.913056, id=,S00, PRDE,actvstrat=,0.408063, actvprof=,9.542778, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,12.605278, id=,S02, PRDE,actvstrat=,0.350161, actvprof=,9.773056, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.917778, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.549722, id=,S05, PRDE,actvstrat=,-0.693867, actvprof=,3.447500, id=,S06, PRDE,actvstrat=,-0.655975, actvprof=,4.072500, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,3.580833, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.394722, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,12.661667, best_B_id=,B02, best_B_prof=,2.108333, best_B_strat=,0.437532, best_S_id=,S09, best_S_prof=,12.661667, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.010285, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.084174, id=,B02, PRDE,actvstrat=,0.437532, actvprof=,1.899041, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.101397, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.023896, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.022229, id=,B06, PRDE,actvstrat=,0.110875, actvprof=,1.557233, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.285009, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.310704, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.957368, id=,S00, PRDE,actvstrat=,0.408063, actvprof=,9.924791, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,12.896201, id=,S02, PRDE,actvstrat=,0.350161, actvprof=,9.908680, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.555441, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.683005, id=,S05, PRDE,actvstrat=,-0.693867, actvprof=,3.547247, id=,S06, PRDE,actvstrat=,-0.655975, actvprof=,3.971416, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,3.605303, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.695366, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,12.861895, best_B_id=,B02, best_B_prof=,1.899041, best_B_strat=,0.437532, best_S_id=,S01, best_S_prof=,12.896201, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.964723, actvprof=,3.401808, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,4.110727, id=,B02, PRDE,actvstrat=,0.171194, actvprof=,2.340098, id=,B03, PRDE,actvstrat=,-0.756978, actvprof=,2.760948, id=,B04, PRDE,actvstrat=,-0.557576, actvprof=,2.311485, id=,B05, PRDE,actvstrat=,-0.194478, actvprof=,1.887301, id=,B06, PRDE,actvstrat=,0.110875, actvprof=,2.203147, id=,B07, PRDE,actvstrat=,-0.691745, actvprof=,2.593997, id=,B08, PRDE,actvstrat=,-0.129661, actvprof=,1.958415, id=,B09, PRDE,actvstrat=,-0.727699, actvprof=,2.714558, id=,S00, PRDE,actvstrat=,0.087694, actvprof=,4.967707, id=,S01, PRDE,actvstrat=,-0.155537, actvprof=,2.894843, id=,S02, PRDE,actvstrat=,0.350161, actvprof=,6.020806, id=,S03, PRDE,actvstrat=,0.958725, actvprof=,9.271497, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.095379, id=,S05, PRDE,actvstrat=,0.604359, actvprof=,7.992833, id=,S06, PRDE,actvstrat=,-0.412853, actvprof=,1.981194, id=,S07, PRDE,actvstrat=,-0.827621, actvprof=,0.618637, id=,S08, PRDE,actvstrat=,-0.200058, actvprof=,3.180410, id=,S09, PRDE,actvstrat=,-0.585365, actvprof=,2.319541, best_B_id=,B01, best_B_prof=,4.110727, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,9.271497, best_S_strat=,0.958725, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.964723, actvprof=,3.506879, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,4.234255, id=,B02, PRDE,actvstrat=,0.171194, actvprof=,2.248936, id=,B03, PRDE,actvstrat=,-0.756978, actvprof=,2.620749, id=,B04, PRDE,actvstrat=,-0.557576, actvprof=,2.200879, id=,B05, PRDE,actvstrat=,-0.194478, actvprof=,1.875039, id=,B06, PRDE,actvstrat=,0.110875, actvprof=,2.147267, id=,B07, PRDE,actvstrat=,-0.691745, actvprof=,2.589498, id=,B08, PRDE,actvstrat=,-0.129661, actvprof=,1.996153, id=,B09, PRDE,actvstrat=,-0.727699, actvprof=,2.626999, id=,S00, PRDE,actvstrat=,0.087694, actvprof=,4.996771, id=,S01, PRDE,actvstrat=,-0.155537, actvprof=,2.934506, id=,S02, PRDE,actvstrat=,0.350161, actvprof=,6.077349, id=,S03, PRDE,actvstrat=,0.958725, actvprof=,9.361862, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.241720, id=,S05, PRDE,actvstrat=,0.604359, actvprof=,7.539463, id=,S06, PRDE,actvstrat=,-0.412853, actvprof=,2.208240, id=,S07, PRDE,actvstrat=,-0.827621, actvprof=,0.701265, id=,S08, PRDE,actvstrat=,-0.200058, actvprof=,2.930478, id=,S09, PRDE,actvstrat=,-0.585365, actvprof=,2.229908, best_B_id=,B01, best_B_prof=,4.234255, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,9.361862, best_S_strat=,0.958725, 
