t=,3600, id=,B00, PRDE,actvstrat=,0.952578, actvprof=,1.367759, id=,B01, PRDE,actvstrat=,-0.399662, actvprof=,1.544145, id=,B02, PRDE,actvstrat=,-0.284381, actvprof=,1.436647, id=,B03, PRDE,actvstrat=,-0.605221, actvprof=,1.825808, id=,B04, PRDE,actvstrat=,-0.956179, actvprof=,2.306079, id=,B05, PRDE,actvstrat=,0.966787, actvprof=,1.161373, id=,B06, PRDE,actvstrat=,0.455162, actvprof=,1.951917, id=,B07, PRDE,actvstrat=,-0.968295, actvprof=,2.122471, id=,B08, PRDE,actvstrat=,-0.918561, actvprof=,2.337190, id=,B09, PRDE,actvstrat=,0.972946, actvprof=,1.001375, id=,S00, PRDE,actvstrat=,0.861288, actvprof=,11.576784, id=,S01, PRDE,actvstrat=,-0.427619, actvprof=,3.878557, id=,S02, PRDE,actvstrat=,0.202818, actvprof=,8.050999, id=,S03, PRDE,actvstrat=,-0.988448, actvprof=,1.988028, id=,S04, PRDE,actvstrat=,0.479730, actvprof=,9.776809, id=,S05, PRDE,actvstrat=,0.063172, actvprof=,7.435730, id=,S06, PRDE,actvstrat=,-0.873003, actvprof=,0.790545, id=,S07, PRDE,actvstrat=,0.987725, actvprof=,11.438730, id=,S08, PRDE,actvstrat=,0.547700, actvprof=,9.212094, id=,S09, PRDE,actvstrat=,0.305220, actvprof=,8.129054, best_B_id=,B08, best_B_prof=,2.337190, best_B_strat=,-0.918561, best_S_id=,S00, best_S_prof=,11.576784, best_S_strat=,0.861288, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.216814, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.030427, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.819390, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.857027, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.514185, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.934558, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.458069, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.074754, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.372204, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.290779, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.170314, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.521662, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.448279, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.140972, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.053890, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.496575, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.331155, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.109627, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.591955, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.243452, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.216814, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.170314, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.216814, actvprof=,1.723056, id=,B01, PRDE,actvstrat=,0.030427, actvprof=,1.897222, id=,B02, PRDE,actvstrat=,-0.819390, actvprof=,2.509444, id=,B03, PRDE,actvstrat=,-0.857027, actvprof=,2.585833, id=,B04, PRDE,actvstrat=,-0.514185, actvprof=,1.756111, id=,B05, PRDE,actvstrat=,-0.934558, actvprof=,3.116389, id=,B06, PRDE,actvstrat=,-0.458069, actvprof=,1.746111, id=,B07, PRDE,actvstrat=,0.074754, actvprof=,1.923889, id=,B08, PRDE,actvstrat=,0.372204, actvprof=,2.303611, id=,B09, PRDE,actvstrat=,-0.290779, actvprof=,1.707778, id=,S00, PRDE,actvstrat=,0.170314, actvprof=,5.403889, id=,S01, PRDE,actvstrat=,-0.521662, actvprof=,1.934167, id=,S02, PRDE,actvstrat=,-0.448279, actvprof=,2.455833, id=,S03, PRDE,actvstrat=,-0.140972, actvprof=,3.683889, id=,S04, PRDE,actvstrat=,0.053890, actvprof=,5.056944, id=,S05, PRDE,actvstrat=,0.496575, actvprof=,7.073611, id=,S06, PRDE,actvstrat=,0.331155, actvprof=,6.223056, id=,S07, PRDE,actvstrat=,-0.109627, actvprof=,3.673611, id=,S08, PRDE,actvstrat=,-0.591955, actvprof=,2.390833, id=,S09, PRDE,actvstrat=,0.243452, actvprof=,5.723611, best_B_id=,B05, best_B_prof=,3.116389, best_B_strat=,-0.934558, best_S_id=,S05, best_S_prof=,7.073611, best_S_strat=,0.496575, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.216814, actvprof=,1.740151, id=,B01, PRDE,actvstrat=,0.030427, actvprof=,1.875569, id=,B02, PRDE,actvstrat=,-0.819390, actvprof=,2.357377, id=,B03, PRDE,actvstrat=,-0.857027, actvprof=,2.583768, id=,B04, PRDE,actvstrat=,-0.514185, actvprof=,1.756679, id=,B05, PRDE,actvstrat=,-0.934558, actvprof=,3.125855, id=,B06, PRDE,actvstrat=,-0.458069, actvprof=,1.773901, id=,B07, PRDE,actvstrat=,0.074754, actvprof=,1.831402, id=,B08, PRDE,actvstrat=,0.372204, actvprof=,2.294738, id=,B09, PRDE,actvstrat=,-0.290779, actvprof=,1.691123, id=,S00, PRDE,actvstrat=,0.170314, actvprof=,5.504066, id=,S01, PRDE,actvstrat=,-0.521662, actvprof=,1.993069, id=,S02, PRDE,actvstrat=,-0.448279, actvprof=,2.489462, id=,S03, PRDE,actvstrat=,-0.140972, actvprof=,3.494330, id=,S04, PRDE,actvstrat=,0.053890, actvprof=,5.198369, id=,S05, PRDE,actvstrat=,0.496575, actvprof=,7.081994, id=,S06, PRDE,actvstrat=,0.331155, actvprof=,6.356572, id=,S07, PRDE,actvstrat=,-0.109627, actvprof=,3.667664, id=,S08, PRDE,actvstrat=,-0.591955, actvprof=,2.282238, id=,S09, PRDE,actvstrat=,0.243452, actvprof=,5.891013, best_B_id=,B05, best_B_prof=,3.125855, best_B_strat=,-0.934558, best_S_id=,S05, best_S_prof=,7.081994, best_S_strat=,0.496575, 
t=,18000, id=,B00, PRDE,actvstrat=,0.883899, actvprof=,2.114503, id=,B01, PRDE,actvstrat=,0.030427, actvprof=,2.053668, id=,B02, PRDE,actvstrat=,-0.297676, actvprof=,1.906442, id=,B03, PRDE,actvstrat=,-0.051019, actvprof=,1.902553, id=,B04, PRDE,actvstrat=,-0.462220, actvprof=,1.966999, id=,B05, PRDE,actvstrat=,-0.525972, actvprof=,2.102558, id=,B06, PRDE,actvstrat=,0.675708, actvprof=,2.460346, id=,B07, PRDE,actvstrat=,-0.344470, actvprof=,1.844218, id=,B08, PRDE,actvstrat=,-0.480003, actvprof=,1.893664, id=,B09, PRDE,actvstrat=,0.177827, actvprof=,2.116725, id=,S00, PRDE,actvstrat=,-0.222454, actvprof=,3.165921, id=,S01, PRDE,actvstrat=,-0.104033, actvprof=,4.107336, id=,S02, PRDE,actvstrat=,0.049820, actvprof=,5.966832, id=,S03, PRDE,actvstrat=,-0.140972, actvprof=,3.838718, id=,S04, PRDE,actvstrat=,0.053890, actvprof=,5.410984, id=,S05, PRDE,actvstrat=,-0.823897, actvprof=,0.950304, id=,S06, PRDE,actvstrat=,0.331155, actvprof=,6.897692, id=,S07, PRDE,actvstrat=,-0.390113, actvprof=,2.525070, id=,S08, PRDE,actvstrat=,0.547700, actvprof=,8.050779, id=,S09, PRDE,actvstrat=,0.833676, actvprof=,9.615545, best_B_id=,B06, best_B_prof=,2.460346, best_B_strat=,0.675708, best_S_id=,S09, best_S_prof=,9.615545, best_S_strat=,0.833676, 
t=,21600, id=,B00, PRDE,actvstrat=,0.883899, actvprof=,2.116126, id=,B01, PRDE,actvstrat=,0.030427, actvprof=,1.952652, id=,B02, PRDE,actvstrat=,-0.297676, actvprof=,1.893208, id=,B03, PRDE,actvstrat=,-0.051019, actvprof=,1.893346, id=,B04, PRDE,actvstrat=,-0.462220, actvprof=,2.014597, id=,B05, PRDE,actvstrat=,-0.525972, actvprof=,2.037236, id=,B06, PRDE,actvstrat=,0.675708, actvprof=,2.595851, id=,B07, PRDE,actvstrat=,-0.344470, actvprof=,1.862791, id=,B08, PRDE,actvstrat=,-0.480003, actvprof=,1.855152, id=,B09, PRDE,actvstrat=,0.177827, actvprof=,2.135848, id=,S00, PRDE,actvstrat=,-0.222454, actvprof=,3.390996, id=,S01, PRDE,actvstrat=,-0.104033, actvprof=,4.249891, id=,S02, PRDE,actvstrat=,0.049820, actvprof=,5.844068, id=,S03, PRDE,actvstrat=,-0.140972, actvprof=,3.753637, id=,S04, PRDE,actvstrat=,0.053890, actvprof=,5.530038, id=,S05, PRDE,actvstrat=,-0.823897, actvprof=,0.990146, id=,S06, PRDE,actvstrat=,0.331155, actvprof=,6.797964, id=,S07, PRDE,actvstrat=,-0.390113, actvprof=,2.640296, id=,S08, PRDE,actvstrat=,0.547700, actvprof=,8.002000, id=,S09, PRDE,actvstrat=,0.833676, actvprof=,9.755762, best_B_id=,B06, best_B_prof=,2.595851, best_B_strat=,0.675708, best_S_id=,S09, best_S_prof=,9.755762, best_S_strat=,0.833676, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.509105, actvprof=,2.371733, id=,B01, PRDE,actvstrat=,0.897192, actvprof=,2.013945, id=,B02, PRDE,actvstrat=,-0.121982, actvprof=,2.109781, id=,B03, PRDE,actvstrat=,0.495099, actvprof=,2.823690, id=,B04, PRDE,actvstrat=,0.040555, actvprof=,2.272008, id=,B05, PRDE,actvstrat=,-0.497384, actvprof=,2.269230, id=,B06, PRDE,actvstrat=,0.566727, actvprof=,2.785911, id=,B07, PRDE,actvstrat=,0.986536, actvprof=,1.076697, id=,B08, PRDE,actvstrat=,0.690843, actvprof=,2.797300, id=,B09, PRDE,actvstrat=,-0.673348, actvprof=,2.709520, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.053890, id=,S01, PRDE,actvstrat=,0.320129, actvprof=,7.550765, id=,S02, PRDE,actvstrat=,0.579271, actvprof=,8.521903, id=,S03, PRDE,actvstrat=,0.460579, actvprof=,7.873830, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.406539, id=,S05, PRDE,actvstrat=,0.715052, actvprof=,9.786383, id=,S06, PRDE,actvstrat=,0.180400, actvprof=,6.632406, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.547932, id=,S08, PRDE,actvstrat=,-0.832366, actvprof=,1.390594, id=,S09, PRDE,actvstrat=,-0.539295, actvprof=,3.008417, best_B_id=,B03, best_B_prof=,2.823690, best_B_strat=,0.495099, best_S_id=,S00, best_S_prof=,10.053890, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.509105, actvprof=,2.324493, id=,B01, PRDE,actvstrat=,0.897192, actvprof=,2.019487, id=,B02, PRDE,actvstrat=,-0.121982, actvprof=,2.091016, id=,B03, PRDE,actvstrat=,0.495099, actvprof=,2.648111, id=,B04, PRDE,actvstrat=,0.040555, actvprof=,2.028237, id=,B05, PRDE,actvstrat=,-0.497384, actvprof=,2.260464, id=,B06, PRDE,actvstrat=,0.566727, actvprof=,2.692417, id=,B07, PRDE,actvstrat=,0.986536, actvprof=,1.083495, id=,B08, PRDE,actvstrat=,0.690843, actvprof=,2.653528, id=,B09, PRDE,actvstrat=,-0.673348, actvprof=,2.607554, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.059793, id=,S01, PRDE,actvstrat=,0.320129, actvprof=,7.479322, id=,S02, PRDE,actvstrat=,0.579271, actvprof=,8.752543, id=,S03, PRDE,actvstrat=,0.460579, actvprof=,8.018500, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.479003, id=,S05, PRDE,actvstrat=,0.715052, actvprof=,9.803676, id=,S06, PRDE,actvstrat=,0.180400, actvprof=,6.687639, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.563727, id=,S08, PRDE,actvstrat=,-0.832366, actvprof=,1.247804, id=,S09, PRDE,actvstrat=,-0.539295, actvprof=,3.001035, best_B_id=,B06, best_B_prof=,2.692417, best_B_strat=,0.566727, best_S_id=,S00, best_S_prof=,10.059793, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.979451, actvprof=,0.758910, id=,B01, PRDE,actvstrat=,0.584875, actvprof=,2.032001, id=,B02, PRDE,actvstrat=,-0.819390, actvprof=,2.046168, id=,B03, PRDE,actvstrat=,0.836635, actvprof=,1.879774, id=,B04, PRDE,actvstrat=,0.272010, actvprof=,1.616989, id=,B05, PRDE,actvstrat=,-0.934558, actvprof=,2.540071, id=,B06, PRDE,actvstrat=,-0.414484, actvprof=,1.165310, id=,B07, PRDE,actvstrat=,-0.685829, actvprof=,1.762549, id=,B08, PRDE,actvstrat=,-0.442997, actvprof=,1.164755, id=,B09, PRDE,actvstrat=,0.634376, actvprof=,1.962832, id=,S00, PRDE,actvstrat=,-0.302451, actvprof=,3.746215, id=,S01, PRDE,actvstrat=,-0.521662, actvprof=,3.136198, id=,S02, PRDE,actvstrat=,0.282550, actvprof=,7.596322, id=,S03, PRDE,actvstrat=,0.539941, actvprof=,9.174977, id=,S04, PRDE,actvstrat=,-0.931243, actvprof=,0.711131, id=,S05, PRDE,actvstrat=,0.757140, actvprof=,10.477513, id=,S06, PRDE,actvstrat=,0.360416, actvprof=,8.150226, id=,S07, PRDE,actvstrat=,0.279737, actvprof=,7.443540, id=,S08, PRDE,actvstrat=,-0.266030, actvprof=,3.577322, id=,S09, PRDE,actvstrat=,0.247216, actvprof=,7.681602, best_B_id=,B05, best_B_prof=,2.540071, best_B_strat=,-0.934558, best_S_id=,S05, best_S_prof=,10.477513, best_S_strat=,0.757140, 
t=,36000, id=,B00, PRDE,actvstrat=,0.979451, actvprof=,0.803633, id=,B01, PRDE,actvstrat=,0.584875, actvprof=,1.973527, id=,B02, PRDE,actvstrat=,-0.819390, actvprof=,2.073530, id=,B03, PRDE,actvstrat=,0.836635, actvprof=,1.888386, id=,B04, PRDE,actvstrat=,0.272010, actvprof=,1.603378, id=,B05, PRDE,actvstrat=,-0.934558, actvprof=,2.573405, id=,B06, PRDE,actvstrat=,-0.414484, actvprof=,1.210173, id=,B07, PRDE,actvstrat=,-0.685829, actvprof=,1.638379, id=,B08, PRDE,actvstrat=,-0.442997, actvprof=,1.138782, id=,B09, PRDE,actvstrat=,0.634376, actvprof=,1.913525, id=,S00, PRDE,actvstrat=,-0.302451, actvprof=,3.748021, id=,S01, PRDE,actvstrat=,-0.521662, actvprof=,3.272313, id=,S02, PRDE,actvstrat=,0.282550, actvprof=,7.766744, id=,S03, PRDE,actvstrat=,0.539941, actvprof=,9.387761, id=,S04, PRDE,actvstrat=,-0.931243, actvprof=,0.668907, id=,S05, PRDE,actvstrat=,0.757140, actvprof=,10.565016, id=,S06, PRDE,actvstrat=,0.360416, actvprof=,8.121337, id=,S07, PRDE,actvstrat=,0.279737, actvprof=,7.551876, id=,S08, PRDE,actvstrat=,-0.266030, actvprof=,3.775660, id=,S09, PRDE,actvstrat=,0.247216, actvprof=,7.683408, best_B_id=,B05, best_B_prof=,2.573405, best_B_strat=,-0.934558, best_S_id=,S05, best_S_prof=,10.565016, best_S_strat=,0.757140, 
t=,39600, id=,B00, PRDE,actvstrat=,0.409178, actvprof=,2.895479, id=,B01, PRDE,actvstrat=,-0.041158, actvprof=,2.349608, id=,B02, PRDE,actvstrat=,-0.581999, actvprof=,3.098826, id=,B03, PRDE,actvstrat=,0.895280, actvprof=,2.289048, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.716022, id=,B05, PRDE,actvstrat=,0.663745, actvprof=,2.988819, id=,B06, PRDE,actvstrat=,-0.499401, actvprof=,2.667407, id=,B07, PRDE,actvstrat=,0.973116, actvprof=,1.422599, id=,B08, PRDE,actvstrat=,0.298288, actvprof=,2.754358, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.295090, id=,S00, PRDE,actvstrat=,0.666259, actvprof=,9.904299, id=,S01, PRDE,actvstrat=,0.824312, actvprof=,10.644906, id=,S02, PRDE,actvstrat=,0.741597, actvprof=,10.335162, id=,S03, PRDE,actvstrat=,0.545242, actvprof=,8.606709, id=,S04, PRDE,actvstrat=,-0.580583, actvprof=,3.231613, id=,S05, PRDE,actvstrat=,0.405092, actvprof=,8.466977, id=,S06, PRDE,actvstrat=,0.030525, actvprof=,6.814918, id=,S07, PRDE,actvstrat=,0.677876, actvprof=,9.502882, id=,S08, PRDE,actvstrat=,-0.479226, actvprof=,3.029377, id=,S09, PRDE,actvstrat=,0.648692, actvprof=,9.837628, best_B_id=,B02, best_B_prof=,3.098826, best_B_strat=,-0.581999, best_S_id=,S01, best_S_prof=,10.644906, best_S_strat=,0.824312, 
