t=,1, id=,B00, PRDE,actvstrat=,0.347238, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.061508, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.331929, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.499420, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.757552, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.405320, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.293625, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.509613, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.196759, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.182571, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.192694, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.106749, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.098896, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.616503, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.327279, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.963004, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.355044, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.614140, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.417108, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.112702, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.347238, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.192694, 
t=,3600, id=,B00, PRDE,actvstrat=,0.347238, actvprof=,3.422778, id=,B01, PRDE,actvstrat=,-0.061508, actvprof=,2.949167, id=,B02, PRDE,actvstrat=,-0.331929, actvprof=,3.175278, id=,B03, PRDE,actvstrat=,0.499420, actvprof=,3.762222, id=,B04, PRDE,actvstrat=,0.757552, actvprof=,3.491111, id=,B05, PRDE,actvstrat=,-0.405320, actvprof=,3.277222, id=,B06, PRDE,actvstrat=,-0.293625, actvprof=,3.009444, id=,B07, PRDE,actvstrat=,-0.509613, actvprof=,3.462222, id=,B08, PRDE,actvstrat=,-0.196759, actvprof=,3.193333, id=,B09, PRDE,actvstrat=,-0.182571, actvprof=,2.811389, id=,S00, PRDE,actvstrat=,0.192694, actvprof=,6.327778, id=,S01, PRDE,actvstrat=,-0.106749, actvprof=,4.289722, id=,S02, PRDE,actvstrat=,0.098896, actvprof=,5.803611, id=,S03, PRDE,actvstrat=,0.616503, actvprof=,7.662222, id=,S04, PRDE,actvstrat=,-0.327279, actvprof=,3.666944, id=,S05, PRDE,actvstrat=,0.963004, actvprof=,8.191944, id=,S06, PRDE,actvstrat=,0.355044, actvprof=,6.785833, id=,S07, PRDE,actvstrat=,-0.614140, actvprof=,3.104444, id=,S08, PRDE,actvstrat=,-0.417108, actvprof=,3.305833, id=,S09, PRDE,actvstrat=,0.112702, actvprof=,5.974167, best_B_id=,B03, best_B_prof=,3.762222, best_B_strat=,0.499420, best_S_id=,S05, best_S_prof=,8.191944, best_S_strat=,0.963004, 
t=,7200, id=,B00, PRDE,actvstrat=,0.264318, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.852119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.626783, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.508052, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.335639, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.058781, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.076247, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.910677, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.763412, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.301021, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.531314, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.746233, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.158726, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.086415, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.205627, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.641629, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.976938, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.688547, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.151589, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.431715, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.264318, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.531314, 
t=,10800, id=,B00, PRDE,actvstrat=,0.264318, actvprof=,3.978445, id=,B01, PRDE,actvstrat=,0.852119, actvprof=,3.414858, id=,B02, PRDE,actvstrat=,-0.626783, actvprof=,4.295654, id=,B03, PRDE,actvstrat=,-0.508052, actvprof=,4.017888, id=,B04, PRDE,actvstrat=,-0.335639, actvprof=,3.557352, id=,B05, PRDE,actvstrat=,-0.058781, actvprof=,3.600683, id=,B06, PRDE,actvstrat=,0.076247, actvprof=,3.692624, id=,B07, PRDE,actvstrat=,-0.910677, actvprof=,5.041734, id=,B08, PRDE,actvstrat=,-0.763412, actvprof=,4.799244, id=,B09, PRDE,actvstrat=,-0.301021, actvprof=,3.953446, id=,S00, PRDE,actvstrat=,-0.531314, actvprof=,2.397678, id=,S01, PRDE,actvstrat=,0.746233, actvprof=,7.970501, id=,S02, PRDE,actvstrat=,-0.158726, actvprof=,3.050428, id=,S03, PRDE,actvstrat=,0.086415, actvprof=,4.800911, id=,S04, PRDE,actvstrat=,0.205627, actvprof=,5.387831, id=,S05, PRDE,actvstrat=,0.641629, actvprof=,7.370248, id=,S06, PRDE,actvstrat=,0.976938, actvprof=,7.652181, id=,S07, PRDE,actvstrat=,0.688547, actvprof=,7.191089, id=,S08, PRDE,actvstrat=,0.151589, actvprof=,5.027013, id=,S09, PRDE,actvstrat=,0.431715, actvprof=,6.351680, best_B_id=,B07, best_B_prof=,5.041734, best_B_strat=,-0.910677, best_S_id=,S01, best_S_prof=,7.970501, best_S_strat=,0.746233, 
t=,14400, id=,B00, PRDE,actvstrat=,0.296254, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.380605, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.399710, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.247957, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.860484, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.058781, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.826642, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.316743, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.881009, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.229829, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.850315, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.974639, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.447909, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.579266, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.403043, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.101292, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.976938, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.630085, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.710577, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.999479, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.296254, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.850315, 
t=,18000, id=,B00, PRDE,actvstrat=,0.296254, actvprof=,5.009375, id=,B01, PRDE,actvstrat=,0.380605, actvprof=,5.118262, id=,B02, PRDE,actvstrat=,-0.399710, actvprof=,4.695490, id=,B03, PRDE,actvstrat=,-0.247957, actvprof=,4.602714, id=,B04, PRDE,actvstrat=,0.860484, actvprof=,3.565506, id=,B05, PRDE,actvstrat=,-0.058781, actvprof=,4.785767, id=,B06, PRDE,actvstrat=,-0.826642, actvprof=,5.513257, id=,B07, PRDE,actvstrat=,0.316743, actvprof=,4.763545, id=,B08, PRDE,actvstrat=,0.881009, actvprof=,3.743281, id=,B09, PRDE,actvstrat=,0.229829, actvprof=,5.110485, id=,S00, PRDE,actvstrat=,0.850315, actvprof=,8.188220, id=,S01, PRDE,actvstrat=,0.974639, actvprof=,7.909335, id=,S02, PRDE,actvstrat=,0.447909, actvprof=,5.972695, id=,S03, PRDE,actvstrat=,0.579266, actvprof=,7.010736, id=,S04, PRDE,actvstrat=,0.403043, actvprof=,6.067971, id=,S05, PRDE,actvstrat=,0.101292, actvprof=,4.952987, id=,S06, PRDE,actvstrat=,0.976938, actvprof=,7.568506, id=,S07, PRDE,actvstrat=,0.630085, actvprof=,7.068791, id=,S08, PRDE,actvstrat=,0.710577, actvprof=,7.654060, id=,S09, PRDE,actvstrat=,-0.999479, actvprof=,4.697435, best_B_id=,B06, best_B_prof=,5.513257, best_B_strat=,-0.826642, best_S_id=,S00, best_S_prof=,8.188220, best_S_strat=,0.850315, 
t=,21600, id=,B00, PRDE,actvstrat=,0.296254, actvprof=,4.800833, id=,B01, PRDE,actvstrat=,0.380605, actvprof=,4.940972, id=,B02, PRDE,actvstrat=,-0.399710, actvprof=,4.670139, id=,B03, PRDE,actvstrat=,-0.247957, actvprof=,4.595556, id=,B04, PRDE,actvstrat=,0.860484, actvprof=,3.564861, id=,B05, PRDE,actvstrat=,-0.058781, actvprof=,4.626806, id=,B06, PRDE,actvstrat=,-0.826642, actvprof=,5.554444, id=,B07, PRDE,actvstrat=,0.316743, actvprof=,4.679167, id=,B08, PRDE,actvstrat=,0.881009, actvprof=,3.736389, id=,B09, PRDE,actvstrat=,0.229829, actvprof=,4.996944, id=,S00, PRDE,actvstrat=,0.850315, actvprof=,8.232778, id=,S01, PRDE,actvstrat=,0.974639, actvprof=,7.868333, id=,S02, PRDE,actvstrat=,0.447909, actvprof=,6.101111, id=,S03, PRDE,actvstrat=,0.579266, actvprof=,7.019583, id=,S04, PRDE,actvstrat=,0.403043, actvprof=,6.135972, id=,S05, PRDE,actvstrat=,0.101292, actvprof=,4.765139, id=,S06, PRDE,actvstrat=,0.976938, actvprof=,7.771389, id=,S07, PRDE,actvstrat=,0.630085, actvprof=,6.958056, id=,S08, PRDE,actvstrat=,0.710577, actvprof=,7.695139, id=,S09, PRDE,actvstrat=,-0.999479, actvprof=,4.786389, best_B_id=,B06, best_B_prof=,5.554444, best_B_strat=,-0.826642, best_S_id=,S00, best_S_prof=,8.232778, best_S_strat=,0.850315, 
t=,25200, id=,B00, PRDE,actvstrat=,0.057921, actvprof=,2.901151, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.786441, id=,B02, PRDE,actvstrat=,-0.156011, actvprof=,3.096432, id=,B03, PRDE,actvstrat=,-0.719400, actvprof=,4.307282, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.528632, id=,B05, PRDE,actvstrat=,0.664818, actvprof=,3.332546, id=,B06, PRDE,actvstrat=,0.693766, actvprof=,3.560605, id=,B07, PRDE,actvstrat=,-0.580324, actvprof=,3.388936, id=,B08, PRDE,actvstrat=,0.253382, actvprof=,3.151155, id=,B09, PRDE,actvstrat=,0.000646, actvprof=,2.916985, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.209017, id=,S01, PRDE,actvstrat=,0.658966, actvprof=,8.710399, id=,S02, PRDE,actvstrat=,0.454316, actvprof=,7.781775, id=,S03, PRDE,actvstrat=,0.221703, actvprof=,6.043417, id=,S04, PRDE,actvstrat=,0.258764, actvprof=,6.005639, id=,S05, PRDE,actvstrat=,0.011731, actvprof=,5.915638, id=,S06, PRDE,actvstrat=,-0.553188, actvprof=,2.549758, id=,S07, PRDE,actvstrat=,0.898652, actvprof=,9.884026, id=,S08, PRDE,actvstrat=,0.351166, actvprof=,7.595939, id=,S09, PRDE,actvstrat=,0.291000, actvprof=,6.602314, best_B_id=,B03, best_B_prof=,4.307282, best_B_strat=,-0.719400, best_S_id=,S07, best_S_prof=,9.884026, best_S_strat=,0.898652, 
t=,28800, id=,B00, PRDE,actvstrat=,0.057921, actvprof=,2.892937, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,3.728359, id=,B02, PRDE,actvstrat=,-0.156011, actvprof=,2.959743, id=,B03, PRDE,actvstrat=,-0.719400, actvprof=,4.079056, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.444732, id=,B05, PRDE,actvstrat=,0.664818, actvprof=,3.278495, id=,B06, PRDE,actvstrat=,0.693766, actvprof=,3.375162, id=,B07, PRDE,actvstrat=,-0.580324, actvprof=,3.278634, id=,B08, PRDE,actvstrat=,0.253382, actvprof=,3.127661, id=,B09, PRDE,actvstrat=,0.000646, actvprof=,2.823353, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.295342, id=,S01, PRDE,actvstrat=,0.658966, actvprof=,8.454364, id=,S02, PRDE,actvstrat=,0.454316, actvprof=,7.713804, id=,S03, PRDE,actvstrat=,0.221703, actvprof=,6.043792, id=,S04, PRDE,actvstrat=,0.258764, actvprof=,6.284349, id=,S05, PRDE,actvstrat=,0.011731, actvprof=,5.581567, id=,S06, PRDE,actvstrat=,-0.553188, actvprof=,2.672935, id=,S07, PRDE,actvstrat=,0.898652, actvprof=,9.979792, id=,S08, PRDE,actvstrat=,0.351166, actvprof=,7.209495, id=,S09, PRDE,actvstrat=,0.291000, actvprof=,6.621574, best_B_id=,B03, best_B_prof=,4.079056, best_B_strat=,-0.719400, best_S_id=,S07, best_S_prof=,9.979792, best_S_strat=,0.898652, 
t=,32400, id=,B00, PRDE,actvstrat=,0.057921, actvprof=,2.568369, id=,B01, PRDE,actvstrat=,-0.788285, actvprof=,4.262837, id=,B02, PRDE,actvstrat=,-0.156011, actvprof=,2.897540, id=,B03, PRDE,actvstrat=,0.863342, actvprof=,2.736149, id=,B04, PRDE,actvstrat=,0.429564, actvprof=,3.233100, id=,B05, PRDE,actvstrat=,-0.196256, actvprof=,2.800317, id=,B06, PRDE,actvstrat=,0.288982, actvprof=,3.174766, id=,B07, PRDE,actvstrat=,-0.580324, actvprof=,3.153377, id=,B08, PRDE,actvstrat=,0.616611, actvprof=,3.375325, id=,B09, PRDE,actvstrat=,-0.552685, actvprof=,3.092543, id=,S00, PRDE,actvstrat=,0.994894, actvprof=,9.048737, id=,S01, PRDE,actvstrat=,0.000211, actvprof=,5.315074, id=,S02, PRDE,actvstrat=,-0.158726, actvprof=,3.124766, id=,S03, PRDE,actvstrat=,-0.269333, actvprof=,2.878651, id=,S04, PRDE,actvstrat=,-0.023136, actvprof=,5.195628, id=,S05, PRDE,actvstrat=,0.879114, actvprof=,8.922346, id=,S06, PRDE,actvstrat=,0.616804, actvprof=,7.898443, id=,S07, PRDE,actvstrat=,0.152808, actvprof=,5.409797, id=,S08, PRDE,actvstrat=,0.444465, actvprof=,6.755927, id=,S09, PRDE,actvstrat=,0.291000, actvprof=,6.268698, best_B_id=,B01, best_B_prof=,4.262837, best_B_strat=,-0.788285, best_S_id=,S00, best_S_prof=,9.048737, best_S_strat=,0.994894, 
t=,36000, id=,B00, PRDE,actvstrat=,0.057921, actvprof=,2.772241, id=,B01, PRDE,actvstrat=,-0.788285, actvprof=,4.042528, id=,B02, PRDE,actvstrat=,-0.156011, actvprof=,2.869881, id=,B03, PRDE,actvstrat=,0.863342, actvprof=,2.760714, id=,B04, PRDE,actvstrat=,0.429564, actvprof=,3.148772, id=,B05, PRDE,actvstrat=,-0.196256, actvprof=,2.808770, id=,B06, PRDE,actvstrat=,0.288982, actvprof=,2.988771, id=,B07, PRDE,actvstrat=,-0.580324, actvprof=,3.276967, id=,B08, PRDE,actvstrat=,0.616611, actvprof=,3.320162, id=,B09, PRDE,actvstrat=,-0.552685, actvprof=,3.160300, id=,S00, PRDE,actvstrat=,0.994894, actvprof=,9.032702, id=,S01, PRDE,actvstrat=,0.000211, actvprof=,5.189064, id=,S02, PRDE,actvstrat=,-0.158726, actvprof=,3.232800, id=,S03, PRDE,actvstrat=,-0.269333, actvprof=,2.795436, id=,S04, PRDE,actvstrat=,-0.023136, actvprof=,5.124341, id=,S05, PRDE,actvstrat=,0.879114, actvprof=,9.058813, id=,S06, PRDE,actvstrat=,0.616804, actvprof=,7.785054, id=,S07, PRDE,actvstrat=,0.152808, actvprof=,5.508510, id=,S08, PRDE,actvstrat=,0.444465, actvprof=,7.019493, id=,S09, PRDE,actvstrat=,0.291000, actvprof=,6.249766, best_B_id=,B01, best_B_prof=,4.042528, best_B_strat=,-0.788285, best_S_id=,S05, best_S_prof=,9.058813, best_S_strat=,0.879114, 
