t=,1, id=,B00, PRDE,actvstrat=,-0.813196, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.721962, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.070991, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.169377, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.553758, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.663680, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.635277, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.598443, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.935335, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.693425, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.762849, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.224099, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.590462, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.230461, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.596397, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.214707, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.528118, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.133881, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.331453, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.775551, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.813196, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.762849, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.813196, actvprof=,2.771667, id=,B01, PRDE,actvstrat=,0.721962, actvprof=,2.153056, id=,B02, PRDE,actvstrat=,0.070991, actvprof=,1.745833, id=,B03, PRDE,actvstrat=,0.169377, actvprof=,1.921667, id=,B04, PRDE,actvstrat=,-0.553758, actvprof=,2.082500, id=,B05, PRDE,actvstrat=,0.663680, actvprof=,2.359444, id=,B06, PRDE,actvstrat=,0.635277, actvprof=,2.516389, id=,B07, PRDE,actvstrat=,0.598443, actvprof=,2.174444, id=,B08, PRDE,actvstrat=,0.935335, actvprof=,1.440833, id=,B09, PRDE,actvstrat=,0.693425, actvprof=,2.295833, id=,S00, PRDE,actvstrat=,-0.762849, actvprof=,2.570000, id=,S01, PRDE,actvstrat=,0.224099, actvprof=,7.731111, id=,S02, PRDE,actvstrat=,0.590462, actvprof=,9.575278, id=,S03, PRDE,actvstrat=,0.230461, actvprof=,7.754444, id=,S04, PRDE,actvstrat=,0.596397, actvprof=,9.441111, id=,S05, PRDE,actvstrat=,0.214707, actvprof=,7.547222, id=,S06, PRDE,actvstrat=,0.528118, actvprof=,9.611389, id=,S07, PRDE,actvstrat=,0.133881, actvprof=,7.502778, id=,S08, PRDE,actvstrat=,0.331453, actvprof=,8.422222, id=,S09, PRDE,actvstrat=,-0.775551, actvprof=,2.649444, best_B_id=,B00, best_B_prof=,2.771667, best_B_strat=,-0.813196, best_S_id=,S06, best_S_prof=,9.611389, best_S_strat=,0.528118, 
t=,7200, id=,B00, PRDE,actvstrat=,0.749016, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.468513, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.068215, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.072341, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.009020, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.218674, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.298447, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.199465, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.127025, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.795893, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.698062, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.365198, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.568760, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.100853, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.539354, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.411241, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.244064, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.973246, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.183447, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.850690, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.749016, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.698062, 
t=,10800, id=,B00, PRDE,actvstrat=,0.749016, actvprof=,2.652500, id=,B01, PRDE,actvstrat=,-0.468513, actvprof=,1.781667, id=,B02, PRDE,actvstrat=,-0.068215, actvprof=,2.086667, id=,B03, PRDE,actvstrat=,0.072341, actvprof=,1.924444, id=,B04, PRDE,actvstrat=,0.009020, actvprof=,1.997778, id=,B05, PRDE,actvstrat=,-0.218674, actvprof=,1.940833, id=,B06, PRDE,actvstrat=,0.298447, actvprof=,2.503056, id=,B07, PRDE,actvstrat=,-0.199465, actvprof=,1.816944, id=,B08, PRDE,actvstrat=,-0.127025, actvprof=,2.182778, id=,B09, PRDE,actvstrat=,-0.795893, actvprof=,2.786111, id=,S00, PRDE,actvstrat=,-0.698062, actvprof=,2.187222, id=,S01, PRDE,actvstrat=,-0.365198, actvprof=,3.071667, id=,S02, PRDE,actvstrat=,0.568760, actvprof=,7.610833, id=,S03, PRDE,actvstrat=,0.100853, actvprof=,5.523333, id=,S04, PRDE,actvstrat=,-0.539354, actvprof=,2.706944, id=,S05, PRDE,actvstrat=,0.411241, actvprof=,7.194444, id=,S06, PRDE,actvstrat=,-0.244064, actvprof=,3.114167, id=,S07, PRDE,actvstrat=,-0.973246, actvprof=,1.748611, id=,S08, PRDE,actvstrat=,0.183447, actvprof=,5.883611, id=,S09, PRDE,actvstrat=,0.850690, actvprof=,9.575278, best_B_id=,B09, best_B_prof=,2.786111, best_B_strat=,-0.795893, best_S_id=,S09, best_S_prof=,9.575278, best_S_strat=,0.850690, 
t=,14400, id=,B00, PRDE,actvstrat=,0.749016, actvprof=,2.512083, id=,B01, PRDE,actvstrat=,-0.468513, actvprof=,1.846806, id=,B02, PRDE,actvstrat=,-0.068215, actvprof=,1.967361, id=,B03, PRDE,actvstrat=,0.072341, actvprof=,1.926944, id=,B04, PRDE,actvstrat=,0.009020, actvprof=,1.977361, id=,B05, PRDE,actvstrat=,-0.218674, actvprof=,1.893194, id=,B06, PRDE,actvstrat=,0.298447, actvprof=,2.359306, id=,B07, PRDE,actvstrat=,-0.199465, actvprof=,1.980556, id=,B08, PRDE,actvstrat=,-0.127025, actvprof=,2.026667, id=,B09, PRDE,actvstrat=,-0.795893, actvprof=,2.893472, id=,S00, PRDE,actvstrat=,-0.698062, actvprof=,2.104167, id=,S01, PRDE,actvstrat=,-0.365198, actvprof=,3.050000, id=,S02, PRDE,actvstrat=,0.568760, actvprof=,7.811250, id=,S03, PRDE,actvstrat=,0.100853, actvprof=,5.593194, id=,S04, PRDE,actvstrat=,-0.539354, actvprof=,2.636806, id=,S05, PRDE,actvstrat=,0.411241, actvprof=,7.043194, id=,S06, PRDE,actvstrat=,-0.244064, actvprof=,3.050139, id=,S07, PRDE,actvstrat=,-0.973246, actvprof=,1.636806, id=,S08, PRDE,actvstrat=,0.183447, actvprof=,5.805972, id=,S09, PRDE,actvstrat=,0.850690, actvprof=,9.606944, best_B_id=,B09, best_B_prof=,2.893472, best_B_strat=,-0.795893, best_S_id=,S09, best_S_prof=,9.606944, best_S_strat=,0.850690, 
t=,18000, id=,B00, PRDE,actvstrat=,0.937186, actvprof=,0.753344, id=,B01, PRDE,actvstrat=,0.927043, actvprof=,0.790567, id=,B02, PRDE,actvstrat=,-0.391989, actvprof=,0.506951, id=,B03, PRDE,actvstrat=,0.207792, actvprof=,0.653898, id=,B04, PRDE,actvstrat=,0.994781, actvprof=,0.376672, id=,B05, PRDE,actvstrat=,0.643488, actvprof=,0.916679, id=,B06, PRDE,actvstrat=,0.298447, actvprof=,0.788344, id=,B07, PRDE,actvstrat=,-0.985531, actvprof=,0.877790, id=,B08, PRDE,actvstrat=,0.257406, actvprof=,0.708343, id=,B09, PRDE,actvstrat=,-0.052892, actvprof=,0.471673, id=,S00, PRDE,actvstrat=,-0.650787, actvprof=,4.037278, id=,S01, PRDE,actvstrat=,-0.573339, actvprof=,4.132557, id=,S02, PRDE,actvstrat=,-0.064242, actvprof=,6.993430, id=,S03, PRDE,actvstrat=,-0.514083, actvprof=,3.894776, id=,S04, PRDE,actvstrat=,0.603177, actvprof=,11.097932, id=,S05, PRDE,actvstrat=,-0.422426, actvprof=,4.260059, id=,S06, PRDE,actvstrat=,-0.063529, actvprof=,7.083154, id=,S07, PRDE,actvstrat=,-0.085124, actvprof=,6.317310, id=,S08, PRDE,actvstrat=,0.183447, actvprof=,9.040959, id=,S09, PRDE,actvstrat=,-0.508228, actvprof=,4.388117, best_B_id=,B05, best_B_prof=,0.916679, best_B_strat=,0.643488, best_S_id=,S04, best_S_prof=,11.097932, best_S_strat=,0.603177, 
t=,21600, id=,B00, PRDE,actvstrat=,0.031083, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.241951, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.007186, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.801977, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.404767, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.541524, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.216250, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.248429, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.285244, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.729040, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.149943, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.486724, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.031083, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.541524, 
t=,25200, id=,B00, PRDE,actvstrat=,0.031083, actvprof=,0.733631, id=,B01, PRDE,actvstrat=,0.241951, actvprof=,0.811967, id=,B02, PRDE,actvstrat=,0.007186, actvprof=,0.750854, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.430568, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.113364, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.033084, id=,B06, PRDE,actvstrat=,-0.801977, actvprof=,1.272258, id=,B07, PRDE,actvstrat=,-0.404767, actvprof=,0.592794, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.025028, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.384177, id=,S00, PRDE,actvstrat=,-0.541524, actvprof=,4.406511, id=,S01, PRDE,actvstrat=,-0.216250, actvprof=,5.518209, id=,S02, PRDE,actvstrat=,0.248429, actvprof=,9.228034, id=,S03, PRDE,actvstrat=,-0.285244, actvprof=,5.027362, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.122031, id=,S05, PRDE,actvstrat=,-0.729040, actvprof=,3.000639, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.845912, id=,S07, PRDE,actvstrat=,-0.149943, actvprof=,5.701547, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.995083, id=,S09, PRDE,actvstrat=,-0.486724, actvprof=,4.209006, best_B_id=,B06, best_B_prof=,1.272258, best_B_strat=,-0.801977, best_S_id=,S08, best_S_prof=,12.995083, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.031083, actvprof=,0.685421, id=,B01, PRDE,actvstrat=,0.241951, actvprof=,0.807644, id=,B02, PRDE,actvstrat=,0.007186, actvprof=,0.751116, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.417364, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.988340, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.956534, id=,B06, PRDE,actvstrat=,-0.801977, actvprof=,1.195425, id=,B07, PRDE,actvstrat=,-0.404767, actvprof=,0.604449, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.949451, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.330280, id=,S00, PRDE,actvstrat=,-0.541524, actvprof=,4.383642, id=,S01, PRDE,actvstrat=,-0.216250, actvprof=,5.378093, id=,S02, PRDE,actvstrat=,0.248429, actvprof=,9.350898, id=,S03, PRDE,actvstrat=,-0.285244, actvprof=,5.010868, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.202661, id=,S05, PRDE,actvstrat=,-0.729040, actvprof=,3.048632, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,13.054813, id=,S07, PRDE,actvstrat=,-0.149943, actvprof=,5.654761, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,13.084258, id=,S09, PRDE,actvstrat=,-0.486724, actvprof=,4.256974, best_B_id=,B06, best_B_prof=,1.195425, best_B_strat=,-0.801977, best_S_id=,S08, best_S_prof=,13.084258, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.199944, actvprof=,1.017806, id=,B01, PRDE,actvstrat=,0.778384, actvprof=,1.876441, id=,B02, PRDE,actvstrat=,0.007186, actvprof=,0.965027, id=,B03, PRDE,actvstrat=,0.789638, actvprof=,1.752271, id=,B04, PRDE,actvstrat=,-0.301297, actvprof=,0.871969, id=,B05, PRDE,actvstrat=,0.930120, actvprof=,1.323926, id=,B06, PRDE,actvstrat=,-0.582405, actvprof=,1.159754, id=,B07, PRDE,actvstrat=,0.207096, actvprof=,1.266702, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.827273, id=,B09, PRDE,actvstrat=,-0.758668, actvprof=,1.587266, id=,S00, PRDE,actvstrat=,0.942298, actvprof=,11.718381, id=,S01, PRDE,actvstrat=,-0.562071, actvprof=,3.453151, id=,S02, PRDE,actvstrat=,-0.154722, actvprof=,4.904581, id=,S03, PRDE,actvstrat=,-0.285244, actvprof=,4.011778, id=,S04, PRDE,actvstrat=,-0.895920, actvprof=,0.399456, id=,S05, PRDE,actvstrat=,0.698294, actvprof=,10.491680, id=,S06, PRDE,actvstrat=,-0.991638, actvprof=,1.657268, id=,S07, PRDE,actvstrat=,-0.018843, actvprof=,6.962693, id=,S08, PRDE,actvstrat=,0.705749, actvprof=,10.530015, id=,S09, PRDE,actvstrat=,-0.609404, actvprof=,3.157865, best_B_id=,B01, best_B_prof=,1.876441, best_B_strat=,0.778384, best_S_id=,S00, best_S_prof=,11.718381, best_S_strat=,0.942298, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.199944, actvprof=,1.083773, id=,B01, PRDE,actvstrat=,0.778384, actvprof=,1.850039, id=,B02, PRDE,actvstrat=,0.007186, actvprof=,1.027244, id=,B03, PRDE,actvstrat=,0.789638, actvprof=,1.788509, id=,B04, PRDE,actvstrat=,-0.301297, actvprof=,0.967242, id=,B05, PRDE,actvstrat=,0.930120, actvprof=,1.323361, id=,B06, PRDE,actvstrat=,-0.582405, actvprof=,1.157107, id=,B07, PRDE,actvstrat=,0.207096, actvprof=,1.245582, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.967541, id=,B09, PRDE,actvstrat=,-0.758668, actvprof=,1.612672, id=,S00, PRDE,actvstrat=,0.942298, actvprof=,11.686632, id=,S01, PRDE,actvstrat=,-0.562071, actvprof=,3.407154, id=,S02, PRDE,actvstrat=,-0.154722, actvprof=,4.862879, id=,S03, PRDE,actvstrat=,-0.285244, actvprof=,3.930915, id=,S04, PRDE,actvstrat=,-0.895920, actvprof=,0.523761, id=,S05, PRDE,actvstrat=,0.698294, actvprof=,10.469107, id=,S06, PRDE,actvstrat=,-0.991638, actvprof=,1.811843, id=,S07, PRDE,actvstrat=,-0.018843, actvprof=,6.550414, id=,S08, PRDE,actvstrat=,0.705749, actvprof=,10.601888, id=,S09, PRDE,actvstrat=,-0.609404, actvprof=,3.578269, best_B_id=,B08, best_B_prof=,1.967541, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.686632, best_S_strat=,0.942298, 
