t=,1, id=,B00, PRDE,actvstrat=,0.245308, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.244520, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.073873, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.660934, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.896664, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.279595, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.364020, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.728858, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.768124, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.015459, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.851236, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.749450, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.935377, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.264897, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.760651, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.620660, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.081340, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.130371, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.535827, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.284873, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.245308, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.851236, 
t=,3600, id=,B00, PRDE,actvstrat=,0.245308, actvprof=,4.197661, id=,B01, PRDE,actvstrat=,-0.244520, actvprof=,4.129330, id=,B02, PRDE,actvstrat=,0.073873, actvprof=,4.130441, id=,B03, PRDE,actvstrat=,0.660934, actvprof=,4.327658, id=,B04, PRDE,actvstrat=,0.896664, actvprof=,3.395739, id=,B05, PRDE,actvstrat=,0.279595, actvprof=,4.311547, id=,B06, PRDE,actvstrat=,0.364020, actvprof=,4.612927, id=,B07, PRDE,actvstrat=,0.728858, actvprof=,4.257104, id=,B08, PRDE,actvstrat=,-0.768124, actvprof=,5.087359, id=,B09, PRDE,actvstrat=,0.015459, actvprof=,3.984334, id=,S00, PRDE,actvstrat=,0.851236, actvprof=,8.751979, id=,S01, PRDE,actvstrat=,0.749450, actvprof=,8.456432, id=,S02, PRDE,actvstrat=,0.935377, actvprof=,8.321713, id=,S03, PRDE,actvstrat=,0.264897, actvprof=,7.167579, id=,S04, PRDE,actvstrat=,0.760651, actvprof=,8.571706, id=,S05, PRDE,actvstrat=,0.620660, actvprof=,8.053387, id=,S06, PRDE,actvstrat=,0.081340, actvprof=,5.814838, id=,S07, PRDE,actvstrat=,-0.130371, actvprof=,4.698203, id=,S08, PRDE,actvstrat=,0.535827, actvprof=,7.866448, id=,S09, PRDE,actvstrat=,-0.284873, actvprof=,4.215994, best_B_id=,B08, best_B_prof=,5.087359, best_B_strat=,-0.768124, best_S_id=,S00, best_S_prof=,8.751979, best_S_strat=,0.851236, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.955646, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.434108, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.999616, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.929363, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.942620, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.641004, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.575560, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.941062, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.033083, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.421291, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.698475, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.282809, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.237226, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.141670, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.160500, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.325006, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.675491, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.536451, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.495211, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.492464, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.955646, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.698475, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.955646, actvprof=,1.930529, id=,B01, PRDE,actvstrat=,-0.434108, actvprof=,1.080818, id=,B02, PRDE,actvstrat=,-0.999616, actvprof=,2.322190, id=,B03, PRDE,actvstrat=,0.929363, actvprof=,1.469424, id=,B04, PRDE,actvstrat=,0.942620, actvprof=,1.284427, id=,B05, PRDE,actvstrat=,-0.641004, actvprof=,1.439980, id=,B06, PRDE,actvstrat=,-0.575560, actvprof=,1.363314, id=,B07, PRDE,actvstrat=,-0.941062, actvprof=,2.163303, id=,B08, PRDE,actvstrat=,0.033083, actvprof=,1.201650, id=,B09, PRDE,actvstrat=,0.421291, actvprof=,1.692199, id=,S00, PRDE,actvstrat=,0.698475, actvprof=,10.593186, id=,S01, PRDE,actvstrat=,-0.282809, actvprof=,4.555492, id=,S02, PRDE,actvstrat=,-0.237226, actvprof=,4.695213, id=,S03, PRDE,actvstrat=,-0.141670, actvprof=,5.226316, id=,S04, PRDE,actvstrat=,0.160500, actvprof=,7.677949, id=,S05, PRDE,actvstrat=,-0.325006, actvprof=,4.206886, id=,S06, PRDE,actvstrat=,0.675491, actvprof=,10.550687, id=,S07, PRDE,actvstrat=,-0.536451, actvprof=,3.878279, id=,S08, PRDE,actvstrat=,0.495211, actvprof=,9.409869, id=,S09, PRDE,actvstrat=,-0.492464, actvprof=,4.301607, best_B_id=,B02, best_B_prof=,2.322190, best_B_strat=,-0.999616, best_S_id=,S00, best_S_prof=,10.593186, best_S_strat=,0.698475, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.122451, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.838991, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.060231, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.946915, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.518495, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.283776, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.136255, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.023948, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.499434, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.207510, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.077608, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.299829, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.923409, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.592445, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.842148, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.406687, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.792178, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.330865, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.577031, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.664105, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.122451, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.077608, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.122451, actvprof=,2.270309, id=,B01, PRDE,actvstrat=,0.838991, actvprof=,2.397256, id=,B02, PRDE,actvstrat=,-0.060231, actvprof=,1.988083, id=,B03, PRDE,actvstrat=,-0.946915, actvprof=,3.391714, id=,B04, PRDE,actvstrat=,0.518495, actvprof=,2.768927, id=,B05, PRDE,actvstrat=,-0.283776, actvprof=,2.325588, id=,B06, PRDE,actvstrat=,-0.136255, actvprof=,2.282809, id=,B07, PRDE,actvstrat=,0.023948, actvprof=,2.141696, id=,B08, PRDE,actvstrat=,-0.499434, actvprof=,2.289198, id=,B09, PRDE,actvstrat=,-0.207510, actvprof=,2.096974, id=,S00, PRDE,actvstrat=,-0.077608, actvprof=,4.832289, id=,S01, PRDE,actvstrat=,-0.299829, actvprof=,3.028098, id=,S02, PRDE,actvstrat=,-0.923409, actvprof=,0.615286, id=,S03, PRDE,actvstrat=,0.592445, actvprof=,8.096224, id=,S04, PRDE,actvstrat=,0.842148, actvprof=,9.621523, id=,S05, PRDE,actvstrat=,0.406687, actvprof=,6.851762, id=,S06, PRDE,actvstrat=,0.792178, actvprof=,9.517910, id=,S07, PRDE,actvstrat=,0.330865, actvprof=,6.672870, id=,S08, PRDE,actvstrat=,-0.577031, actvprof=,2.792539, id=,S09, PRDE,actvstrat=,-0.664105, actvprof=,2.175586, best_B_id=,B03, best_B_prof=,3.391714, best_B_strat=,-0.946915, best_S_id=,S04, best_S_prof=,9.621523, best_S_strat=,0.842148, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.111530, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.124286, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.502676, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.297768, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.530726, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.101876, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.400765, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.958968, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.911787, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.512449, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.741587, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.429533, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.781306, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.015442, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.837425, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.322743, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.182256, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.359079, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.111530, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.741587, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.111530, actvprof=,0.776977, id=,B01, PRDE,actvstrat=,-0.124286, actvprof=,0.839479, id=,B02, PRDE,actvstrat=,-0.502676, actvprof=,0.683084, id=,B03, PRDE,actvstrat=,0.297768, actvprof=,1.229218, id=,B04, PRDE,actvstrat=,-0.530726, actvprof=,0.709474, id=,B05, PRDE,actvstrat=,-0.101876, actvprof=,0.880592, id=,B06, PRDE,actvstrat=,-0.400765, actvprof=,0.785866, id=,B07, PRDE,actvstrat=,0.958968, actvprof=,1.413392, id=,B08, PRDE,actvstrat=,-0.911787, actvprof=,1.357834, id=,B09, PRDE,actvstrat=,-0.512449, actvprof=,0.842813, id=,S00, PRDE,actvstrat=,-0.741587, actvprof=,2.043141, id=,S01, PRDE,actvstrat=,-0.429533, actvprof=,3.251247, id=,S02, PRDE,actvstrat=,-0.781306, actvprof=,1.502563, id=,S03, PRDE,actvstrat=,0.015442, actvprof=,5.679681, id=,S04, PRDE,actvstrat=,-0.837425, actvprof=,1.116158, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.430782, id=,S06, PRDE,actvstrat=,-0.322743, actvprof=,3.582927, id=,S07, PRDE,actvstrat=,-0.182256, actvprof=,3.606817, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.992708, id=,S09, PRDE,actvstrat=,-0.359079, actvprof=,3.299304, best_B_id=,B07, best_B_prof=,1.413392, best_B_strat=,0.958968, best_S_id=,S03, best_S_prof=,5.679681, best_S_strat=,0.015442, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.111530, actvprof=,0.799739, id=,B01, PRDE,actvstrat=,-0.124286, actvprof=,0.839323, id=,B02, PRDE,actvstrat=,-0.502676, actvprof=,0.733904, id=,B03, PRDE,actvstrat=,0.297768, actvprof=,1.218914, id=,B04, PRDE,actvstrat=,-0.530726, actvprof=,0.732654, id=,B05, PRDE,actvstrat=,-0.101876, actvprof=,0.863907, id=,B06, PRDE,actvstrat=,-0.400765, actvprof=,0.779044, id=,B07, PRDE,actvstrat=,0.958968, actvprof=,1.433780, id=,B08, PRDE,actvstrat=,-0.911787, actvprof=,1.400585, id=,B09, PRDE,actvstrat=,-0.512449, actvprof=,0.803211, id=,S00, PRDE,actvstrat=,-0.741587, actvprof=,2.080877, id=,S01, PRDE,actvstrat=,-0.429533, actvprof=,3.192150, id=,S02, PRDE,actvstrat=,-0.781306, actvprof=,1.592672, id=,S03, PRDE,actvstrat=,0.015442, actvprof=,5.604978, id=,S04, PRDE,actvstrat=,-0.837425, actvprof=,1.243637, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.273582, id=,S06, PRDE,actvstrat=,-0.322743, actvprof=,3.408127, id=,S07, PRDE,actvstrat=,-0.182256, actvprof=,3.607575, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.016632, id=,S09, PRDE,actvstrat=,-0.359079, actvprof=,3.275624, best_B_id=,B07, best_B_prof=,1.433780, best_B_strat=,0.958968, best_S_id=,S03, best_S_prof=,5.604978, best_S_strat=,0.015442, 
t=,32400, id=,B00, PRDE,actvstrat=,0.605202, actvprof=,0.592525, id=,B01, PRDE,actvstrat=,-0.687065, actvprof=,0.268900, id=,B02, PRDE,actvstrat=,0.782104, actvprof=,0.666139, id=,B03, PRDE,actvstrat=,0.401225, actvprof=,0.390572, id=,B04, PRDE,actvstrat=,0.518495, actvprof=,0.541134, id=,B05, PRDE,actvstrat=,0.842359, actvprof=,0.796700, id=,B06, PRDE,actvstrat=,0.554750, actvprof=,0.517244, id=,B07, PRDE,actvstrat=,-0.821599, actvprof=,0.449463, id=,B08, PRDE,actvstrat=,-0.927143, actvprof=,1.035876, id=,B09, PRDE,actvstrat=,0.844802, actvprof=,0.699751, id=,S00, PRDE,actvstrat=,-0.748708, actvprof=,2.460936, id=,S01, PRDE,actvstrat=,0.397430, actvprof=,10.009028, id=,S02, PRDE,actvstrat=,-0.781306, actvprof=,2.402600, id=,S03, PRDE,actvstrat=,-0.317995, actvprof=,4.893537, id=,S04, PRDE,actvstrat=,-0.913325, actvprof=,0.215287, id=,S05, PRDE,actvstrat=,0.994200, actvprof=,13.028321, id=,S06, PRDE,actvstrat=,-0.813128, actvprof=,1.608956, id=,S07, PRDE,actvstrat=,-0.182256, actvprof=,5.264108, id=,S08, PRDE,actvstrat=,-0.836553, actvprof=,1.518952, id=,S09, PRDE,actvstrat=,-0.596359, actvprof=,4.219898, best_B_id=,B08, best_B_prof=,1.035876, best_B_strat=,-0.927143, best_S_id=,S05, best_S_prof=,13.028321, best_S_strat=,0.994200, 
t=,36000, id=,B00, PRDE,actvstrat=,0.605202, actvprof=,0.558627, id=,B01, PRDE,actvstrat=,-0.687065, actvprof=,0.214034, id=,B02, PRDE,actvstrat=,0.782104, actvprof=,0.724048, id=,B03, PRDE,actvstrat=,0.401225, actvprof=,0.385011, id=,B04, PRDE,actvstrat=,0.518495, actvprof=,0.499319, id=,B05, PRDE,actvstrat=,0.842359, actvprof=,0.788077, id=,B06, PRDE,actvstrat=,0.554750, actvprof=,0.547932, id=,B07, PRDE,actvstrat=,-0.821599, actvprof=,0.395011, id=,B08, PRDE,actvstrat=,-0.927143, actvprof=,1.006834, id=,B09, PRDE,actvstrat=,0.844802, actvprof=,0.745993, id=,S00, PRDE,actvstrat=,-0.748708, actvprof=,2.403400, id=,S01, PRDE,actvstrat=,0.397430, actvprof=,9.699853, id=,S02, PRDE,actvstrat=,-0.781306, actvprof=,2.317981, id=,S03, PRDE,actvstrat=,-0.317995, actvprof=,4.686102, id=,S04, PRDE,actvstrat=,-0.913325, actvprof=,0.269313, id=,S05, PRDE,actvstrat=,0.994200, actvprof=,13.248424, id=,S06, PRDE,actvstrat=,-0.813128, actvprof=,1.842551, id=,S07, PRDE,actvstrat=,-0.182256, actvprof=,5.314314, id=,S08, PRDE,actvstrat=,-0.836553, actvprof=,1.456290, id=,S09, PRDE,actvstrat=,-0.596359, actvprof=,3.964971, best_B_id=,B08, best_B_prof=,1.006834, best_B_strat=,-0.927143, best_S_id=,S05, best_S_prof=,13.248424, best_S_strat=,0.994200, 
