t=,3600, id=,B00, PRDE,actvstrat=,-0.456255, actvprof=,2.862222, id=,B01, PRDE,actvstrat=,-0.059603, actvprof=,2.683611, id=,B02, PRDE,actvstrat=,0.582797, actvprof=,3.155000, id=,B03, PRDE,actvstrat=,0.213674, actvprof=,2.582778, id=,B04, PRDE,actvstrat=,0.793446, actvprof=,3.046944, id=,B05, PRDE,actvstrat=,0.102213, actvprof=,2.997778, id=,B06, PRDE,actvstrat=,0.907646, actvprof=,2.386667, id=,B07, PRDE,actvstrat=,-0.731266, actvprof=,3.866389, id=,B08, PRDE,actvstrat=,-0.473485, actvprof=,2.786389, id=,B09, PRDE,actvstrat=,-0.056364, actvprof=,2.690278, id=,S00, PRDE,actvstrat=,0.814039, actvprof=,9.527778, id=,S01, PRDE,actvstrat=,-0.381583, actvprof=,4.475278, id=,S02, PRDE,actvstrat=,0.922753, actvprof=,9.446944, id=,S03, PRDE,actvstrat=,-0.033816, actvprof=,6.341667, id=,S04, PRDE,actvstrat=,-0.188837, actvprof=,5.648056, id=,S05, PRDE,actvstrat=,-0.286017, actvprof=,5.056944, id=,S06, PRDE,actvstrat=,-0.740709, actvprof=,3.420278, id=,S07, PRDE,actvstrat=,-0.447714, actvprof=,4.400833, id=,S08, PRDE,actvstrat=,0.097663, actvprof=,6.933333, id=,S09, PRDE,actvstrat=,0.623783, actvprof=,9.024167, best_B_id=,B07, best_B_prof=,3.866389, best_B_strat=,-0.731266, best_S_id=,S00, best_S_prof=,9.527778, best_S_strat=,0.814039, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.831955, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.305729, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.408160, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.217853, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560226, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.534598, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.117635, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.923713, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.009795, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.477326, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.071063, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.411367, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.069491, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.656865, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.851961, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.831125, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.161387, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.726208, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.431501, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.488284, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.831955, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.071063, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.831955, actvprof=,2.728573, id=,B01, PRDE,actvstrat=,-0.305729, actvprof=,1.530534, id=,B02, PRDE,actvstrat=,-0.408160, actvprof=,1.776086, id=,B03, PRDE,actvstrat=,-0.217853, actvprof=,1.605533, id=,B04, PRDE,actvstrat=,0.560226, actvprof=,2.359412, id=,B05, PRDE,actvstrat=,-0.534598, actvprof=,1.667755, id=,B06, PRDE,actvstrat=,0.117635, actvprof=,1.806364, id=,B07, PRDE,actvstrat=,0.923713, actvprof=,1.578867, id=,B08, PRDE,actvstrat=,0.009795, actvprof=,1.697476, id=,B09, PRDE,actvstrat=,-0.477326, actvprof=,1.615533, id=,S00, PRDE,actvstrat=,-0.071063, actvprof=,4.927432, id=,S01, PRDE,actvstrat=,0.411367, actvprof=,7.589895, id=,S02, PRDE,actvstrat=,0.069491, actvprof=,6.126304, id=,S03, PRDE,actvstrat=,-0.656865, actvprof=,2.951070, id=,S04, PRDE,actvstrat=,-0.851961, actvprof=,1.157484, id=,S05, PRDE,actvstrat=,-0.831125, actvprof=,1.299426, id=,S06, PRDE,actvstrat=,0.161387, actvprof=,6.531576, id=,S07, PRDE,actvstrat=,-0.726208, actvprof=,2.534965, id=,S08, PRDE,actvstrat=,0.431501, actvprof=,7.881835, id=,S09, PRDE,actvstrat=,0.488284, actvprof=,8.366273, best_B_id=,B00, best_B_prof=,2.728573, best_B_strat=,-0.831955, best_S_id=,S09, best_S_prof=,8.366273, best_S_strat=,0.488284, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.270947, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.085801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.434311, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.416832, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.721957, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.976599, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.117635, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.215670, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.009795, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.061160, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.128548, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.918838, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.639160, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.725454, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.087369, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.962493, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.944613, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.934539, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.026323, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.254609, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.270947, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.128548, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.270947, actvprof=,3.622627, id=,B01, PRDE,actvstrat=,0.085801, actvprof=,3.583184, id=,B02, PRDE,actvstrat=,0.434311, actvprof=,4.170660, id=,B03, PRDE,actvstrat=,0.416832, actvprof=,3.919559, id=,B04, PRDE,actvstrat=,0.721957, actvprof=,3.750677, id=,B05, PRDE,actvstrat=,-0.976599, actvprof=,4.017055, id=,B06, PRDE,actvstrat=,0.117635, actvprof=,3.797342, id=,B07, PRDE,actvstrat=,-0.215670, actvprof=,3.807341, id=,B08, PRDE,actvstrat=,0.009795, actvprof=,3.515687, id=,B09, PRDE,actvstrat=,-0.061160, actvprof=,3.445968, id=,S00, PRDE,actvstrat=,0.128548, actvprof=,5.317278, id=,S01, PRDE,actvstrat=,0.918838, actvprof=,8.578531, id=,S02, PRDE,actvstrat=,0.639160, actvprof=,7.879116, id=,S03, PRDE,actvstrat=,0.725454, actvprof=,7.962446, id=,S04, PRDE,actvstrat=,-0.087369, actvprof=,3.624016, id=,S05, PRDE,actvstrat=,-0.962493, actvprof=,2.282405, id=,S06, PRDE,actvstrat=,0.944613, actvprof=,9.004903, id=,S07, PRDE,actvstrat=,0.934539, actvprof=,8.918795, id=,S08, PRDE,actvstrat=,-0.026323, actvprof=,4.364263, id=,S09, PRDE,actvstrat=,0.254609, actvprof=,6.122800, best_B_id=,B02, best_B_prof=,4.170660, best_B_strat=,0.434311, best_S_id=,S06, best_S_prof=,9.004903, best_S_strat=,0.944613, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.824639, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.198963, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.709535, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.481771, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.982433, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.212881, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.716075, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.025884, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.825552, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.675590, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.429158, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.616179, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.716075, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.656573, id=,B01, PRDE,actvstrat=,-0.824639, actvprof=,1.977915, id=,B02, PRDE,actvstrat=,0.198963, actvprof=,1.923467, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.487673, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.452601, id=,B05, PRDE,actvstrat=,-0.709535, actvprof=,1.889020, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.408153, id=,B07, PRDE,actvstrat=,0.481771, actvprof=,2.164317, id=,B08, PRDE,actvstrat=,-0.982433, actvprof=,1.923189, id=,B09, PRDE,actvstrat=,-0.212881, actvprof=,1.597333, id=,S00, PRDE,actvstrat=,-0.716075, actvprof=,2.800194, id=,S01, PRDE,actvstrat=,0.025884, actvprof=,6.342663, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.080214, id=,S03, PRDE,actvstrat=,0.825552, actvprof=,10.761303, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.853184, id=,S05, PRDE,actvstrat=,0.675590, actvprof=,9.692895, id=,S06, PRDE,actvstrat=,-0.429158, actvprof=,3.414959, id=,S07, PRDE,actvstrat=,0.616179, actvprof=,9.172026, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.863185, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.967637, best_B_id=,B00, best_B_prof=,2.656573, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,11.080214, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.825931, id=,B01, PRDE,actvstrat=,-0.824639, actvprof=,2.168548, id=,B02, PRDE,actvstrat=,0.198963, actvprof=,1.988402, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.546200, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.505747, id=,B05, PRDE,actvstrat=,-0.709535, actvprof=,1.943123, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.555887, id=,B07, PRDE,actvstrat=,0.481771, actvprof=,2.343137, id=,B08, PRDE,actvstrat=,-0.982433, actvprof=,2.080350, id=,B09, PRDE,actvstrat=,-0.212881, actvprof=,1.666447, id=,S00, PRDE,actvstrat=,-0.716075, actvprof=,2.698844, id=,S01, PRDE,actvstrat=,0.025884, actvprof=,5.997014, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.902879, id=,S03, PRDE,actvstrat=,0.825552, actvprof=,10.602313, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.165909, id=,S05, PRDE,actvstrat=,0.675590, actvprof=,9.695337, id=,S06, PRDE,actvstrat=,-0.429158, actvprof=,3.351644, id=,S07, PRDE,actvstrat=,0.616179, actvprof=,9.007118, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.871454, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.886871, best_B_id=,B00, best_B_prof=,2.825931, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,10.902879, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.514068, actvprof=,3.917271, id=,B01, PRDE,actvstrat=,0.341149, actvprof=,3.940051, id=,B02, PRDE,actvstrat=,0.147738, actvprof=,3.973942, id=,B03, PRDE,actvstrat=,-0.742995, actvprof=,4.977359, id=,B04, PRDE,actvstrat=,-0.653296, actvprof=,4.715115, id=,B05, PRDE,actvstrat=,0.805957, actvprof=,3.313609, id=,B06, PRDE,actvstrat=,0.662492, actvprof=,4.373420, id=,B07, PRDE,actvstrat=,-0.090946, actvprof=,3.731144, id=,B08, PRDE,actvstrat=,0.202020, actvprof=,3.872267, id=,B09, PRDE,actvstrat=,-0.454379, actvprof=,3.891158, id=,S00, PRDE,actvstrat=,0.301611, actvprof=,5.648248, id=,S01, PRDE,actvstrat=,-0.823845, actvprof=,1.117315, id=,S02, PRDE,actvstrat=,0.739268, actvprof=,8.427647, id=,S03, PRDE,actvstrat=,0.756311, actvprof=,8.355419, id=,S04, PRDE,actvstrat=,0.630539, actvprof=,7.777870, id=,S05, PRDE,actvstrat=,0.240714, actvprof=,5.670750, id=,S06, PRDE,actvstrat=,0.944613, actvprof=,8.458205, id=,S07, PRDE,actvstrat=,0.506495, actvprof=,6.798344, id=,S08, PRDE,actvstrat=,0.057678, actvprof=,5.268217, id=,S09, PRDE,actvstrat=,0.993461, actvprof=,8.070395, best_B_id=,B03, best_B_prof=,4.977359, best_B_strat=,-0.742995, best_S_id=,S06, best_S_prof=,8.458205, best_S_strat=,0.944613, 
t=,36000, id=,B00, PRDE,actvstrat=,0.514068, actvprof=,4.003528, id=,B01, PRDE,actvstrat=,0.341149, actvprof=,3.906718, id=,B02, PRDE,actvstrat=,0.147738, actvprof=,3.749349, id=,B03, PRDE,actvstrat=,-0.742995, actvprof=,4.786483, id=,B04, PRDE,actvstrat=,-0.653296, actvprof=,4.673005, id=,B05, PRDE,actvstrat=,0.805957, actvprof=,3.342940, id=,B06, PRDE,actvstrat=,0.662492, actvprof=,4.170064, id=,B07, PRDE,actvstrat=,-0.090946, actvprof=,3.659900, id=,B08, PRDE,actvstrat=,0.202020, actvprof=,3.868105, id=,B09, PRDE,actvstrat=,-0.454379, actvprof=,3.892411, id=,S00, PRDE,actvstrat=,0.301611, actvprof=,6.029738, id=,S01, PRDE,actvstrat=,-0.823845, actvprof=,0.979492, id=,S02, PRDE,actvstrat=,0.739268, actvprof=,8.567083, id=,S03, PRDE,actvstrat=,0.756311, actvprof=,8.354712, id=,S04, PRDE,actvstrat=,0.630539, actvprof=,7.739265, id=,S05, PRDE,actvstrat=,0.240714, actvprof=,5.632218, id=,S06, PRDE,actvstrat=,0.944613, actvprof=,8.586112, id=,S07, PRDE,actvstrat=,0.506495, actvprof=,6.793802, id=,S08, PRDE,actvstrat=,0.057678, actvprof=,5.135666, id=,S09, PRDE,actvstrat=,0.993461, actvprof=,8.267902, best_B_id=,B03, best_B_prof=,4.786483, best_B_strat=,-0.742995, best_S_id=,S06, best_S_prof=,8.586112, best_S_strat=,0.944613, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.204186, actvprof=,2.048312, id=,B01, PRDE,actvstrat=,-0.883404, actvprof=,3.401536, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,3.594894, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.307386, id=,B04, PRDE,actvstrat=,0.406978, actvprof=,2.507813, id=,B05, PRDE,actvstrat=,-0.554371, actvprof=,2.173327, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.521023, id=,B07, PRDE,actvstrat=,-0.210965, actvprof=,2.171105, id=,B08, PRDE,actvstrat=,-0.304562, actvprof=,2.026087, id=,B09, PRDE,actvstrat=,-0.818434, actvprof=,3.123724, id=,S00, PRDE,actvstrat=,-0.516113, actvprof=,2.629773, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.969024, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.220444, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,10.327402, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.985470, id=,S05, PRDE,actvstrat=,-0.945762, actvprof=,0.795655, id=,S06, PRDE,actvstrat=,0.293141, actvprof=,6.576933, id=,S07, PRDE,actvstrat=,-0.280473, actvprof=,3.221792, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.987137, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.555139, best_B_id=,B02, best_B_prof=,3.594894, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,10.327402, best_S_strat=,1.000000, 
