t=,1, id=,B00, PRDE,actvstrat=,0.980075, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.300949, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.206529, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.850658, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.904987, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.089107, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.224861, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.381957, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.171448, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.201771, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.352530, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.735233, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.197569, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.793989, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.271952, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.038718, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.728131, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.400345, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.055862, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.330194, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.980075, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.352530, 
t=,3600, id=,B00, PRDE,actvstrat=,0.980075, actvprof=,0.854710, id=,B01, PRDE,actvstrat=,-0.300949, actvprof=,1.280538, id=,B02, PRDE,actvstrat=,0.206529, actvprof=,1.425814, id=,B03, PRDE,actvstrat=,0.850658, actvprof=,1.613866, id=,B04, PRDE,actvstrat=,0.904987, actvprof=,1.520534, id=,B05, PRDE,actvstrat=,0.089107, actvprof=,1.356648, id=,B06, PRDE,actvstrat=,-0.224861, actvprof=,1.156651, id=,B07, PRDE,actvstrat=,0.381957, actvprof=,1.809419, id=,B08, PRDE,actvstrat=,0.171448, actvprof=,1.690810, id=,B09, PRDE,actvstrat=,0.201771, actvprof=,1.560256, id=,S00, PRDE,actvstrat=,0.352530, actvprof=,8.787378, id=,S01, PRDE,actvstrat=,-0.735233, actvprof=,3.475507, id=,S02, PRDE,actvstrat=,0.197569, actvprof=,8.027389, id=,S03, PRDE,actvstrat=,-0.793989, actvprof=,2.155803, id=,S04, PRDE,actvstrat=,0.271952, actvprof=,9.012930, id=,S05, PRDE,actvstrat=,0.038718, actvprof=,6.787406, id=,S06, PRDE,actvstrat=,-0.728131, actvprof=,3.285232, id=,S07, PRDE,actvstrat=,0.400345, actvprof=,9.542367, id=,S08, PRDE,actvstrat=,0.055862, actvprof=,7.655449, id=,S09, PRDE,actvstrat=,-0.330194, actvprof=,4.466882, best_B_id=,B07, best_B_prof=,1.809419, best_B_strat=,0.381957, best_S_id=,S07, best_S_prof=,9.542367, best_S_strat=,0.400345, 
t=,7200, id=,B00, PRDE,actvstrat=,0.079697, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.580138, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.492274, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.725726, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.694612, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.937705, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.970379, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.613049, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.361762, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.113501, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.471822, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.814106, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.565599, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.071800, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.579298, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.777715, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.362647, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.292664, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.891543, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.226952, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.079697, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.471822, 
t=,10800, id=,B00, PRDE,actvstrat=,0.079697, actvprof=,2.169414, id=,B01, PRDE,actvstrat=,-0.580138, actvprof=,2.084415, id=,B02, PRDE,actvstrat=,0.492274, actvprof=,2.453855, id=,B03, PRDE,actvstrat=,0.725726, actvprof=,2.515243, id=,B04, PRDE,actvstrat=,-0.694612, actvprof=,2.724129, id=,B05, PRDE,actvstrat=,-0.937705, actvprof=,3.028847, id=,B06, PRDE,actvstrat=,0.970379, actvprof=,1.273593, id=,B07, PRDE,actvstrat=,-0.613049, actvprof=,2.117748, id=,B08, PRDE,actvstrat=,-0.361762, actvprof=,1.803864, id=,B09, PRDE,actvstrat=,-0.113501, actvprof=,1.876085, id=,S00, PRDE,actvstrat=,0.471822, actvprof=,8.294329, id=,S01, PRDE,actvstrat=,-0.814106, actvprof=,1.290538, id=,S02, PRDE,actvstrat=,0.565599, actvprof=,8.699879, id=,S03, PRDE,actvstrat=,-0.071800, actvprof=,4.864932, id=,S04, PRDE,actvstrat=,-0.579298, actvprof=,2.899960, id=,S05, PRDE,actvstrat=,0.777715, actvprof=,9.689310, id=,S06, PRDE,actvstrat=,-0.362647, actvprof=,3.173289, id=,S07, PRDE,actvstrat=,-0.292664, actvprof=,3.681060, id=,S08, PRDE,actvstrat=,0.891543, actvprof=,10.097638, id=,S09, PRDE,actvstrat=,0.226952, actvprof=,6.794072, best_B_id=,B05, best_B_prof=,3.028847, best_B_strat=,-0.937705, best_S_id=,S08, best_S_prof=,10.097638, best_S_strat=,0.891543, 
t=,14400, id=,B00, PRDE,actvstrat=,0.428326, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.272915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.821747, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.243885, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.843944, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.460302, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.042229, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.964991, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.704898, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.761926, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.471822, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.702304, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.319874, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.511581, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.466253, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.460841, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.109780, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.391622, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.180088, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.129416, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.428326, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.471822, 
t=,18000, id=,B00, PRDE,actvstrat=,0.428326, actvprof=,1.715000, id=,B01, PRDE,actvstrat=,0.272915, actvprof=,1.731389, id=,B02, PRDE,actvstrat=,-0.821747, actvprof=,2.322778, id=,B03, PRDE,actvstrat=,0.243885, actvprof=,1.663056, id=,B04, PRDE,actvstrat=,-0.843944, actvprof=,2.277500, id=,B05, PRDE,actvstrat=,0.460302, actvprof=,1.631667, id=,B06, PRDE,actvstrat=,-0.042229, actvprof=,1.250833, id=,B07, PRDE,actvstrat=,0.964991, actvprof=,0.884722, id=,B08, PRDE,actvstrat=,0.704898, actvprof=,2.028611, id=,B09, PRDE,actvstrat=,-0.761926, actvprof=,1.807500, id=,S00, PRDE,actvstrat=,0.471822, actvprof=,8.630556, id=,S01, PRDE,actvstrat=,0.702304, actvprof=,10.090278, id=,S02, PRDE,actvstrat=,-0.319874, actvprof=,3.557222, id=,S03, PRDE,actvstrat=,-0.511581, actvprof=,3.570556, id=,S04, PRDE,actvstrat=,-0.466253, actvprof=,3.428611, id=,S05, PRDE,actvstrat=,0.460841, actvprof=,8.809444, id=,S06, PRDE,actvstrat=,0.109780, actvprof=,6.948611, id=,S07, PRDE,actvstrat=,-0.391622, actvprof=,3.955833, id=,S08, PRDE,actvstrat=,0.180088, actvprof=,7.113056, id=,S09, PRDE,actvstrat=,-0.129416, actvprof=,4.716111, best_B_id=,B02, best_B_prof=,2.322778, best_B_strat=,-0.821747, best_S_id=,S01, best_S_prof=,10.090278, best_S_strat=,0.702304, 
t=,21600, id=,B00, PRDE,actvstrat=,0.428326, actvprof=,1.673472, id=,B01, PRDE,actvstrat=,0.272915, actvprof=,1.521944, id=,B02, PRDE,actvstrat=,-0.821747, actvprof=,2.303611, id=,B03, PRDE,actvstrat=,0.243885, actvprof=,1.586806, id=,B04, PRDE,actvstrat=,-0.843944, actvprof=,2.251111, id=,B05, PRDE,actvstrat=,0.460302, actvprof=,1.727361, id=,B06, PRDE,actvstrat=,-0.042229, actvprof=,1.323611, id=,B07, PRDE,actvstrat=,0.964991, actvprof=,0.919306, id=,B08, PRDE,actvstrat=,0.704898, actvprof=,1.943889, id=,B09, PRDE,actvstrat=,-0.761926, actvprof=,1.783194, id=,S00, PRDE,actvstrat=,0.471822, actvprof=,8.621667, id=,S01, PRDE,actvstrat=,0.702304, actvprof=,10.119028, id=,S02, PRDE,actvstrat=,-0.319874, actvprof=,3.433750, id=,S03, PRDE,actvstrat=,-0.511581, actvprof=,3.362917, id=,S04, PRDE,actvstrat=,-0.466253, actvprof=,3.449306, id=,S05, PRDE,actvstrat=,0.460841, actvprof=,8.629722, id=,S06, PRDE,actvstrat=,0.109780, actvprof=,6.879861, id=,S07, PRDE,actvstrat=,-0.391622, actvprof=,3.805278, id=,S08, PRDE,actvstrat=,0.180088, actvprof=,7.036528, id=,S09, PRDE,actvstrat=,-0.129416, actvprof=,4.694306, best_B_id=,B02, best_B_prof=,2.303611, best_B_strat=,-0.821747, best_S_id=,S01, best_S_prof=,10.119028, best_S_strat=,0.702304, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.492799, id=,B01, PRDE,actvstrat=,-0.112562, actvprof=,1.771691, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.682523, id=,B03, PRDE,actvstrat=,-0.765963, actvprof=,2.100307, id=,B04, PRDE,actvstrat=,0.741611, actvprof=,2.091418, id=,B05, PRDE,actvstrat=,0.581766, actvprof=,2.239198, id=,B06, PRDE,actvstrat=,0.985388, actvprof=,1.528077, id=,B07, PRDE,actvstrat=,0.945002, actvprof=,1.849748, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.611411, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.638634, id=,S00, PRDE,actvstrat=,0.119193, actvprof=,6.750927, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.897596, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.504326, id=,S03, PRDE,actvstrat=,0.063323, actvprof=,7.142044, id=,S04, PRDE,actvstrat=,0.306154, actvprof=,8.188725, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,6.810372, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.969263, id=,S07, PRDE,actvstrat=,0.830377, actvprof=,11.392380, id=,S08, PRDE,actvstrat=,0.643822, actvprof=,10.265420, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,6.385644, best_B_id=,B05, best_B_prof=,2.239198, best_B_strat=,0.581766, best_S_id=,S02, best_S_prof=,11.504326, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.348620, id=,B01, PRDE,actvstrat=,-0.112562, actvprof=,1.612789, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,1.749179, id=,B03, PRDE,actvstrat=,-0.765963, actvprof=,1.918486, id=,B04, PRDE,actvstrat=,0.741611, actvprof=,2.055570, id=,B05, PRDE,actvstrat=,0.581766, actvprof=,2.210432, id=,B06, PRDE,actvstrat=,0.985388, actvprof=,1.400288, id=,B07, PRDE,actvstrat=,0.945002, actvprof=,1.813763, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.603067, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.598344, id=,S00, PRDE,actvstrat=,0.119193, actvprof=,7.051160, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.622129, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.752026, id=,S03, PRDE,actvstrat=,0.063323, actvprof=,7.092966, id=,S04, PRDE,actvstrat=,0.306154, actvprof=,8.063112, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,6.687824, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.697269, id=,S07, PRDE,actvstrat=,0.830377, actvprof=,11.554108, id=,S08, PRDE,actvstrat=,0.643822, actvprof=,10.103265, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,6.332961, best_B_id=,B05, best_B_prof=,2.210432, best_B_strat=,0.581766, best_S_id=,S02, best_S_prof=,11.752026, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.261824, actvprof=,2.358922, id=,B01, PRDE,actvstrat=,-0.705874, actvprof=,2.481979, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,3.865609, id=,B03, PRDE,actvstrat=,0.372724, actvprof=,2.367533, id=,B04, PRDE,actvstrat=,0.025839, actvprof=,2.025306, id=,B05, PRDE,actvstrat=,-0.439935, actvprof=,1.895860, id=,B06, PRDE,actvstrat=,-0.194967, actvprof=,1.695301, id=,B07, PRDE,actvstrat=,-0.609405, actvprof=,2.052806, id=,B08, PRDE,actvstrat=,-0.963829, actvprof=,3.040598, id=,B09, PRDE,actvstrat=,-0.553678, actvprof=,1.903638, id=,S00, PRDE,actvstrat=,0.751036, actvprof=,8.565119, id=,S01, PRDE,actvstrat=,0.137829, actvprof=,5.045626, id=,S02, PRDE,actvstrat=,-0.844023, actvprof=,0.885846, id=,S03, PRDE,actvstrat=,0.563998, actvprof=,7.701496, id=,S04, PRDE,actvstrat=,-0.757850, actvprof=,1.638912, id=,S05, PRDE,actvstrat=,-0.045486, actvprof=,4.107557, id=,S06, PRDE,actvstrat=,-0.990758, actvprof=,2.544480, id=,S07, PRDE,actvstrat=,-0.270581, actvprof=,2.443089, id=,S08, PRDE,actvstrat=,0.891543, actvprof=,9.671801, id=,S09, PRDE,actvstrat=,0.450196, actvprof=,7.065098, best_B_id=,B02, best_B_prof=,3.865609, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.671801, best_S_strat=,0.891543, 
t=,36000, id=,B00, PRDE,actvstrat=,0.261824, actvprof=,2.358366, id=,B01, PRDE,actvstrat=,-0.705874, actvprof=,2.428784, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,3.889360, id=,B03, PRDE,actvstrat=,0.372724, actvprof=,2.492257, id=,B04, PRDE,actvstrat=,0.025839, actvprof=,2.004333, id=,B05, PRDE,actvstrat=,-0.439935, actvprof=,1.953222, id=,B06, PRDE,actvstrat=,-0.194967, actvprof=,1.803219, id=,B07, PRDE,actvstrat=,-0.609405, actvprof=,2.215447, id=,B08, PRDE,actvstrat=,-0.963829, actvprof=,3.166711, id=,B09, PRDE,actvstrat=,-0.553678, actvprof=,1.971138, id=,S00, PRDE,actvstrat=,0.751036, actvprof=,8.687760, id=,S01, PRDE,actvstrat=,0.137829, actvprof=,5.011597, id=,S02, PRDE,actvstrat=,-0.844023, actvprof=,0.738482, id=,S03, PRDE,actvstrat=,0.563998, actvprof=,7.670384, id=,S04, PRDE,actvstrat=,-0.757850, actvprof=,1.558355, id=,S05, PRDE,actvstrat=,-0.045486, actvprof=,4.125057, id=,S06, PRDE,actvstrat=,-0.990758, actvprof=,2.678787, id=,S07, PRDE,actvstrat=,-0.270581, actvprof=,2.596286, id=,S08, PRDE,actvstrat=,0.891543, actvprof=,9.409020, id=,S09, PRDE,actvstrat=,0.450196, actvprof=,6.975791, best_B_id=,B02, best_B_prof=,3.889360, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.409020, best_S_strat=,0.891543, 
