t=,0, id=,B00, PRDE,actvstrat=,0.540429, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.052946, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.670719, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.367412, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.794479, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.125888, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.556016, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.812797, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.415081, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.020214, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.595043, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.516178, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.445577, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.535979, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.747587, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.161600, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.983418, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.081557, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.396139, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.214488, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.540429, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.595043, 
t=,3600, id=,B00, PRDE,actvstrat=,0.540429, actvprof=,1.584145, id=,B01, PRDE,actvstrat=,-0.052946, actvprof=,1.279982, id=,B02, PRDE,actvstrat=,0.670719, actvprof=,1.801364, id=,B03, PRDE,actvstrat=,-0.367412, actvprof=,0.983597, id=,B04, PRDE,actvstrat=,0.794479, actvprof=,1.897751, id=,B05, PRDE,actvstrat=,-0.125888, actvprof=,1.082763, id=,B06, PRDE,actvstrat=,0.556016, actvprof=,1.708032, id=,B07, PRDE,actvstrat=,-0.812797, actvprof=,1.773309, id=,B08, PRDE,actvstrat=,-0.415081, actvprof=,1.129984, id=,B09, PRDE,actvstrat=,0.020214, actvprof=,1.218594, id=,S00, PRDE,actvstrat=,-0.595043, actvprof=,4.153831, id=,S01, PRDE,actvstrat=,-0.516178, actvprof=,3.991611, id=,S02, PRDE,actvstrat=,0.445577, actvprof=,8.855155, id=,S03, PRDE,actvstrat=,-0.535979, actvprof=,3.951612, id=,S04, PRDE,actvstrat=,-0.747587, actvprof=,3.133290, id=,S05, PRDE,actvstrat=,-0.161600, actvprof=,4.936876, id=,S06, PRDE,actvstrat=,-0.983418, actvprof=,2.283302, id=,S07, PRDE,actvstrat=,0.081557, actvprof=,7.192400, id=,S08, PRDE,actvstrat=,-0.396139, actvprof=,4.456327, id=,S09, PRDE,actvstrat=,0.214488, actvprof=,7.851835, best_B_id=,B04, best_B_prof=,1.897751, best_B_strat=,0.794479, best_S_id=,S02, best_S_prof=,8.855155, best_S_strat=,0.445577, 
t=,7200, id=,B00, PRDE,actvstrat=,0.734840, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.130970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.968661, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.105587, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.900383, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.416270, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.388405, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.093395, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.439338, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.031895, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.390665, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.920105, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.232322, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.646104, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.291904, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.546787, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.740958, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.888913, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.710078, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.940484, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.734840, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.390665, 
t=,10800, id=,B00, PRDE,actvstrat=,0.734840, actvprof=,1.870252, id=,B01, PRDE,actvstrat=,0.130970, actvprof=,1.285538, id=,B02, PRDE,actvstrat=,-0.968661, actvprof=,2.299690, id=,B03, PRDE,actvstrat=,0.105587, actvprof=,1.322482, id=,B04, PRDE,actvstrat=,-0.900383, actvprof=,2.105249, id=,B05, PRDE,actvstrat=,-0.416270, actvprof=,1.185261, id=,B06, PRDE,actvstrat=,-0.388405, actvprof=,1.097207, id=,B07, PRDE,actvstrat=,0.093395, actvprof=,1.204705, id=,B08, PRDE,actvstrat=,0.439338, actvprof=,1.621366, id=,B09, PRDE,actvstrat=,-0.031895, actvprof=,1.090540, id=,S00, PRDE,actvstrat=,-0.390665, actvprof=,3.533006, id=,S01, PRDE,actvstrat=,-0.920105, actvprof=,0.286663, id=,S02, PRDE,actvstrat=,0.232322, actvprof=,7.154901, id=,S03, PRDE,actvstrat=,-0.646104, actvprof=,3.169400, id=,S04, PRDE,actvstrat=,0.291904, actvprof=,7.781003, id=,S05, PRDE,actvstrat=,-0.546787, actvprof=,3.216066, id=,S06, PRDE,actvstrat=,-0.740958, actvprof=,2.650519, id=,S07, PRDE,actvstrat=,0.888913, actvprof=,11.116512, id=,S08, PRDE,actvstrat=,0.710078, actvprof=,9.937362, id=,S09, PRDE,actvstrat=,-0.940484, actvprof=,0.471382, best_B_id=,B02, best_B_prof=,2.299690, best_B_strat=,-0.968661, best_S_id=,S07, best_S_prof=,11.116512, best_S_strat=,0.888913, 
t=,14400, id=,B00, PRDE,actvstrat=,0.123015, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.996519, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.684394, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.954562, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.289303, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.317970, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.343335, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.619848, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.439338, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.668100, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.576814, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.119318, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.354079, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.177760, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.570220, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.155533, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.573222, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.292189, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.257276, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.958926, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.123015, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.576814, 
t=,18000, id=,B00, PRDE,actvstrat=,0.123015, actvprof=,0.773622, id=,B01, PRDE,actvstrat=,-0.996519, actvprof=,1.457798, id=,B02, PRDE,actvstrat=,0.684394, actvprof=,1.231128, id=,B03, PRDE,actvstrat=,-0.954562, actvprof=,1.448909, id=,B04, PRDE,actvstrat=,0.289303, actvprof=,0.830012, id=,B05, PRDE,actvstrat=,0.317970, actvprof=,0.804178, id=,B06, PRDE,actvstrat=,0.343335, actvprof=,0.936124, id=,B07, PRDE,actvstrat=,0.619848, actvprof=,1.200017, id=,B08, PRDE,actvstrat=,0.439338, actvprof=,0.953624, id=,B09, PRDE,actvstrat=,0.668100, actvprof=,1.236684, id=,S00, PRDE,actvstrat=,-0.576814, actvprof=,3.334769, id=,S01, PRDE,actvstrat=,-0.119318, actvprof=,5.378408, id=,S02, PRDE,actvstrat=,-0.354079, actvprof=,4.280059, id=,S03, PRDE,actvstrat=,0.177760, actvprof=,7.637884, id=,S04, PRDE,actvstrat=,-0.570220, actvprof=,3.827831, id=,S05, PRDE,actvstrat=,-0.155533, actvprof=,4.829512, id=,S06, PRDE,actvstrat=,-0.573222, actvprof=,3.786441, id=,S07, PRDE,actvstrat=,-0.292189, actvprof=,4.052279, id=,S08, PRDE,actvstrat=,0.257276, actvprof=,8.350949, id=,S09, PRDE,actvstrat=,0.958926, actvprof=,12.361838, best_B_id=,B01, best_B_prof=,1.457798, best_B_strat=,-0.996519, best_S_id=,S09, best_S_prof=,12.361838, best_S_strat=,0.958926, 
t=,21600, id=,B00, PRDE,actvstrat=,0.123015, actvprof=,0.769033, id=,B01, PRDE,actvstrat=,-0.996519, actvprof=,1.484594, id=,B02, PRDE,actvstrat=,0.684394, actvprof=,1.224314, id=,B03, PRDE,actvstrat=,-0.954562, actvprof=,1.457232, id=,B04, PRDE,actvstrat=,0.289303, actvprof=,0.902645, id=,B05, PRDE,actvstrat=,0.317970, actvprof=,0.864173, id=,B06, PRDE,actvstrat=,0.343335, actvprof=,0.916117, id=,B07, PRDE,actvstrat=,0.619848, actvprof=,1.147508, id=,B08, PRDE,actvstrat=,0.439338, actvprof=,0.952646, id=,B09, PRDE,actvstrat=,0.668100, actvprof=,1.137786, id=,S00, PRDE,actvstrat=,-0.576814, actvprof=,3.339468, id=,S01, PRDE,actvstrat=,-0.119318, actvprof=,5.564066, id=,S02, PRDE,actvstrat=,-0.354079, actvprof=,4.338086, id=,S03, PRDE,actvstrat=,0.177760, actvprof=,7.720193, id=,S04, PRDE,actvstrat=,-0.570220, actvprof=,3.712526, id=,S05, PRDE,actvstrat=,-0.155533, actvprof=,5.111285, id=,S06, PRDE,actvstrat=,-0.573222, actvprof=,3.822943, id=,S07, PRDE,actvstrat=,-0.292189, actvprof=,4.073501, id=,S08, PRDE,actvstrat=,0.257276, actvprof=,8.116862, id=,S09, PRDE,actvstrat=,0.958926, actvprof=,12.234391, best_B_id=,B01, best_B_prof=,1.484594, best_B_strat=,-0.996519, best_S_id=,S09, best_S_prof=,12.234391, best_S_strat=,0.958926, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.106173, id=,B01, PRDE,actvstrat=,0.412144, actvprof=,2.244847, id=,B02, PRDE,actvstrat=,-0.027911, actvprof=,1.888994, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.027835, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.045614, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.140063, id=,B06, PRDE,actvstrat=,0.273771, actvprof=,2.286238, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.022001, id=,B08, PRDE,actvstrat=,0.274016, actvprof=,2.172343, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.836158, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.308350, id=,S01, PRDE,actvstrat=,-0.423510, actvprof=,4.434691, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.262348, id=,S03, PRDE,actvstrat=,0.258448, actvprof=,8.209623, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.669315, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.306128, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.559864, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.180288, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.978888, id=,S09, PRDE,actvstrat=,0.948186, actvprof=,12.925718, best_B_id=,B06, best_B_prof=,2.286238, best_B_strat=,0.273771, best_S_id=,S09, best_S_prof=,12.925718, best_S_strat=,0.948186, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,1.149893, id=,B01, PRDE,actvstrat=,0.412144, actvprof=,2.587850, id=,B02, PRDE,actvstrat=,-0.027911, actvprof=,1.926304, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.988361, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.097392, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.103086, id=,B06, PRDE,actvstrat=,0.273771, actvprof=,2.382844, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.056557, id=,B08, PRDE,actvstrat=,0.274016, actvprof=,2.319926, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.937665, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.333620, id=,S01, PRDE,actvstrat=,-0.423510, actvprof=,4.297203, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.357427, id=,S03, PRDE,actvstrat=,0.258448, actvprof=,8.573710, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.385205, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.385844, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.426595, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.256535, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.147365, id=,S09, PRDE,actvstrat=,0.948186, actvprof=,12.711603, best_B_id=,B01, best_B_prof=,2.587850, best_B_strat=,0.412144, best_S_id=,S09, best_S_prof=,12.711603, best_S_strat=,0.948186, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.985605, actvprof=,2.202128, id=,B01, PRDE,actvstrat=,-0.086792, actvprof=,1.521238, id=,B02, PRDE,actvstrat=,0.411095, actvprof=,2.044059, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.810068, id=,B04, PRDE,actvstrat=,0.227680, actvprof=,1.921827, id=,B05, PRDE,actvstrat=,-0.416270, actvprof=,1.737089, id=,B06, PRDE,actvstrat=,0.366946, actvprof=,1.938495, id=,B07, PRDE,actvstrat=,0.516915, actvprof=,2.132400, id=,B08, PRDE,actvstrat=,0.806023, actvprof=,2.068784, id=,B09, PRDE,actvstrat=,-0.196334, actvprof=,1.619857, id=,S00, PRDE,actvstrat=,-0.249805, actvprof=,4.282301, id=,S01, PRDE,actvstrat=,-0.479367, actvprof=,3.606412, id=,S02, PRDE,actvstrat=,0.595287, actvprof=,9.529127, id=,S03, PRDE,actvstrat=,0.786106, actvprof=,10.795066, id=,S04, PRDE,actvstrat=,-0.731577, actvprof=,2.632442, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.813179, id=,S06, PRDE,actvstrat=,0.373609, actvprof=,8.672667, id=,S07, PRDE,actvstrat=,0.986810, actvprof=,11.177320, id=,S08, PRDE,actvstrat=,-0.290734, actvprof=,3.790594, id=,S09, PRDE,actvstrat=,0.192719, actvprof=,6.778620, best_B_id=,B00, best_B_prof=,2.202128, best_B_strat=,-0.985605, best_S_id=,S07, best_S_prof=,11.177320, best_S_strat=,0.986810, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.985605, actvprof=,1.990486, id=,B01, PRDE,actvstrat=,-0.086792, actvprof=,1.664919, id=,B02, PRDE,actvstrat=,0.411095, actvprof=,2.064655, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.760721, id=,B04, PRDE,actvstrat=,0.227680, actvprof=,1.815757, id=,B05, PRDE,actvstrat=,-0.416270, actvprof=,1.692559, id=,B06, PRDE,actvstrat=,0.366946, actvprof=,1.906455, id=,B07, PRDE,actvstrat=,0.516915, actvprof=,2.059099, id=,B08, PRDE,actvstrat=,0.806023, actvprof=,2.132157, id=,B09, PRDE,actvstrat=,-0.196334, actvprof=,1.594361, id=,S00, PRDE,actvstrat=,-0.249805, actvprof=,4.169728, id=,S01, PRDE,actvstrat=,-0.479367, actvprof=,3.672072, id=,S02, PRDE,actvstrat=,0.595287, actvprof=,9.468662, id=,S03, PRDE,actvstrat=,0.786106, actvprof=,10.876211, id=,S04, PRDE,actvstrat=,-0.731577, actvprof=,2.550089, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.531963, id=,S06, PRDE,actvstrat=,0.373609, actvprof=,8.366402, id=,S07, PRDE,actvstrat=,0.986810, actvprof=,11.169971, id=,S08, PRDE,actvstrat=,-0.290734, actvprof=,3.723602, id=,S09, PRDE,actvstrat=,0.192719, actvprof=,6.959686, best_B_id=,B08, best_B_prof=,2.132157, best_B_strat=,0.806023, best_S_id=,S07, best_S_prof=,11.169971, best_S_strat=,0.986810, 
