t=,0, id=,B00, PRDE,actvstrat=,0.498856, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.865891, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.835121, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.762403, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.685322, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.069798, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.477236, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.571278, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.982561, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.140470, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.767277, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.263164, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.373034, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.949063, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.807555, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.687998, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.186098, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.995596, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.775464, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.442394, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.498856, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.767277, 
t=,3600, id=,B00, PRDE,actvstrat=,0.498856, actvprof=,1.191667, id=,B01, PRDE,actvstrat=,-0.865891, actvprof=,1.443333, id=,B02, PRDE,actvstrat=,0.835121, actvprof=,1.456389, id=,B03, PRDE,actvstrat=,-0.762403, actvprof=,1.024167, id=,B04, PRDE,actvstrat=,0.685322, actvprof=,1.325278, id=,B05, PRDE,actvstrat=,-0.069798, actvprof=,0.622500, id=,B06, PRDE,actvstrat=,0.477236, actvprof=,1.155278, id=,B07, PRDE,actvstrat=,-0.571278, actvprof=,0.699444, id=,B08, PRDE,actvstrat=,-0.982561, actvprof=,1.611111, id=,B09, PRDE,actvstrat=,-0.140470, actvprof=,0.646111, id=,S00, PRDE,actvstrat=,-0.767277, actvprof=,2.064167, id=,S01, PRDE,actvstrat=,-0.263164, actvprof=,3.950833, id=,S02, PRDE,actvstrat=,-0.373034, actvprof=,4.011944, id=,S03, PRDE,actvstrat=,0.949063, actvprof=,12.210278, id=,S04, PRDE,actvstrat=,0.807555, actvprof=,11.100556, id=,S05, PRDE,actvstrat=,-0.687998, actvprof=,2.809167, id=,S06, PRDE,actvstrat=,-0.186098, actvprof=,4.759722, id=,S07, PRDE,actvstrat=,-0.995596, actvprof=,1.786944, id=,S08, PRDE,actvstrat=,-0.775464, actvprof=,1.882500, id=,S09, PRDE,actvstrat=,-0.442394, actvprof=,3.626389, best_B_id=,B08, best_B_prof=,1.611111, best_B_strat=,-0.982561, best_S_id=,S03, best_S_prof=,12.210278, best_S_strat=,0.949063, 
t=,7200, id=,B00, PRDE,actvstrat=,0.436751, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.800227, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.849239, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.026518, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.466959, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.069108, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.484239, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.172330, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.204474, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.280436, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.164281, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.566276, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.836626, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.305715, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.211989, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.245103, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.437218, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.849887, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.136299, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.600699, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.436751, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.164281, 
t=,10800, id=,B00, PRDE,actvstrat=,0.436751, actvprof=,2.200803, id=,B01, PRDE,actvstrat=,0.800227, actvprof=,2.290246, id=,B02, PRDE,actvstrat=,-0.849239, actvprof=,2.980514, id=,B03, PRDE,actvstrat=,-0.026518, actvprof=,1.786086, id=,B04, PRDE,actvstrat=,0.466959, actvprof=,2.331357, id=,B05, PRDE,actvstrat=,-0.069108, actvprof=,1.691365, id=,B06, PRDE,actvstrat=,0.484239, actvprof=,2.443299, id=,B07, PRDE,actvstrat=,-0.172330, actvprof=,1.786642, id=,B08, PRDE,actvstrat=,0.204474, actvprof=,1.989417, id=,B09, PRDE,actvstrat=,0.280436, actvprof=,2.024416, id=,S00, PRDE,actvstrat=,-0.164281, actvprof=,4.028833, id=,S01, PRDE,actvstrat=,0.566276, actvprof=,8.496271, id=,S02, PRDE,actvstrat=,0.836626, actvprof=,10.293468, id=,S03, PRDE,actvstrat=,-0.305715, actvprof=,3.338287, id=,S04, PRDE,actvstrat=,-0.211989, actvprof=,3.739115, id=,S05, PRDE,actvstrat=,-0.245103, actvprof=,3.476618, id=,S06, PRDE,actvstrat=,0.437218, actvprof=,7.927668, id=,S07, PRDE,actvstrat=,0.849887, actvprof=,10.481243, id=,S08, PRDE,actvstrat=,0.136299, actvprof=,6.532131, id=,S09, PRDE,actvstrat=,-0.600699, actvprof=,2.672185, best_B_id=,B02, best_B_prof=,2.980514, best_B_strat=,-0.849239, best_S_id=,S07, best_S_prof=,10.481243, best_S_strat=,0.849887, 
t=,14400, id=,B00, PRDE,actvstrat=,0.458594, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.637625, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.301872, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.132497, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.546101, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.069108, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.920449, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.272603, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.676956, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.869719, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.579689, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.139769, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.476411, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.563674, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.778559, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.234943, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.774318, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.627058, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.773427, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.600699, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.458594, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.579689, 
t=,18000, id=,B00, PRDE,actvstrat=,0.458594, actvprof=,2.254167, id=,B01, PRDE,actvstrat=,-0.637625, actvprof=,1.754444, id=,B02, PRDE,actvstrat=,-0.301872, actvprof=,1.592778, id=,B03, PRDE,actvstrat=,0.132497, actvprof=,1.724722, id=,B04, PRDE,actvstrat=,0.546101, actvprof=,2.418333, id=,B05, PRDE,actvstrat=,-0.069108, actvprof=,1.583889, id=,B06, PRDE,actvstrat=,-0.920449, actvprof=,3.053056, id=,B07, PRDE,actvstrat=,-0.272603, actvprof=,1.644722, id=,B08, PRDE,actvstrat=,-0.676956, actvprof=,1.933889, id=,B09, PRDE,actvstrat=,-0.869719, actvprof=,2.506944, id=,S00, PRDE,actvstrat=,0.579689, actvprof=,7.996944, id=,S01, PRDE,actvstrat=,0.139769, actvprof=,5.966111, id=,S02, PRDE,actvstrat=,-0.476411, actvprof=,2.265556, id=,S03, PRDE,actvstrat=,0.563674, actvprof=,7.640556, id=,S04, PRDE,actvstrat=,-0.778559, actvprof=,1.493611, id=,S05, PRDE,actvstrat=,0.234943, actvprof=,6.381111, id=,S06, PRDE,actvstrat=,-0.774318, actvprof=,1.315556, id=,S07, PRDE,actvstrat=,-0.627058, actvprof=,2.048611, id=,S08, PRDE,actvstrat=,0.773427, actvprof=,9.400278, id=,S09, PRDE,actvstrat=,-0.600699, actvprof=,2.402500, best_B_id=,B06, best_B_prof=,3.053056, best_B_strat=,-0.920449, best_S_id=,S08, best_S_prof=,9.400278, best_S_strat=,0.773427, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.381864, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.156279, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.219985, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.424772, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.740436, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.268070, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.277806, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.804761, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,2.770872, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,2.436978, id=,B03, PRDE,actvstrat=,0.381864, actvprof=,3.547549, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.992264, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,3.036431, id=,B06, PRDE,actvstrat=,-0.156279, actvprof=,3.049487, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.824484, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.863929, id=,B09, PRDE,actvstrat=,0.219985, actvprof=,3.418936, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.169863, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.958402, id=,S02, PRDE,actvstrat=,0.424772, actvprof=,7.168433, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.982639, id=,S04, PRDE,actvstrat=,0.740436, actvprof=,9.519577, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.892012, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.885415, id=,S07, PRDE,actvstrat=,0.268070, actvprof=,6.755927, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.663398, id=,S09, PRDE,actvstrat=,-0.277806, actvprof=,3.237823, best_B_id=,B03, best_B_prof=,3.547549, best_B_strat=,0.381864, best_S_id=,S00, best_S_prof=,10.169863, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.762797, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,2.715019, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,2.568073, id=,B03, PRDE,actvstrat=,0.381864, actvprof=,3.400024, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.857798, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.798492, id=,B06, PRDE,actvstrat=,-0.156279, actvprof=,2.914881, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.699741, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.731269, id=,B09, PRDE,actvstrat=,0.219985, actvprof=,3.346690, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.170071, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.757255, id=,S02, PRDE,actvstrat=,0.424772, actvprof=,7.500191, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,10.245210, id=,S04, PRDE,actvstrat=,0.740436, actvprof=,9.577844, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.707116, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.128265, id=,S07, PRDE,actvstrat=,0.268070, actvprof=,6.884214, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.808367, id=,S09, PRDE,actvstrat=,-0.277806, actvprof=,3.371829, best_B_id=,B03, best_B_prof=,3.400024, best_B_strat=,0.381864, best_S_id=,S03, best_S_prof=,10.245210, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.796528, actvprof=,0.625851, id=,B01, PRDE,actvstrat=,0.800227, actvprof=,1.011417, id=,B02, PRDE,actvstrat=,0.383035, actvprof=,0.768355, id=,B03, PRDE,actvstrat=,-0.868852, actvprof=,0.850024, id=,B04, PRDE,actvstrat=,0.301229, actvprof=,0.678908, id=,B05, PRDE,actvstrat=,-0.942101, actvprof=,1.328092, id=,B06, PRDE,actvstrat=,0.374761, actvprof=,0.634462, id=,B07, PRDE,actvstrat=,0.916099, actvprof=,0.978361, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.471708, id=,B09, PRDE,actvstrat=,-0.099137, actvprof=,0.535015, id=,S00, PRDE,actvstrat=,-0.164281, actvprof=,5.110698, id=,S01, PRDE,actvstrat=,0.025026, actvprof=,7.350482, id=,S02, PRDE,actvstrat=,-0.598405, actvprof=,3.205367, id=,S03, PRDE,actvstrat=,-0.863253, actvprof=,0.590016, id=,S04, PRDE,actvstrat=,0.770809, actvprof=,11.808661, id=,S05, PRDE,actvstrat=,-0.807831, actvprof=,1.601989, id=,S06, PRDE,actvstrat=,0.408714, actvprof=,9.340537, id=,S07, PRDE,actvstrat=,-0.887948, actvprof=,0.341398, id=,S08, PRDE,actvstrat=,-0.233154, actvprof=,4.330676, id=,S09, PRDE,actvstrat=,0.497636, actvprof=,10.039723, best_B_id=,B08, best_B_prof=,1.471708, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,11.808661, best_S_strat=,0.770809, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.796528, actvprof=,0.660148, id=,B01, PRDE,actvstrat=,0.800227, actvprof=,1.092237, id=,B02, PRDE,actvstrat=,0.383035, actvprof=,0.743483, id=,B03, PRDE,actvstrat=,-0.868852, actvprof=,0.943069, id=,B04, PRDE,actvstrat=,0.301229, actvprof=,0.680148, id=,B05, PRDE,actvstrat=,-0.942101, actvprof=,1.318352, id=,B06, PRDE,actvstrat=,0.374761, actvprof=,0.631120, id=,B07, PRDE,actvstrat=,0.916099, actvprof=,0.987097, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.520716, id=,B09, PRDE,actvstrat=,-0.099137, actvprof=,0.477229, id=,S00, PRDE,actvstrat=,-0.164281, actvprof=,5.045626, id=,S01, PRDE,actvstrat=,0.025026, actvprof=,7.138432, id=,S02, PRDE,actvstrat=,-0.598405, actvprof=,3.258517, id=,S03, PRDE,actvstrat=,-0.863253, actvprof=,0.656259, id=,S04, PRDE,actvstrat=,0.770809, actvprof=,11.676968, id=,S05, PRDE,actvstrat=,-0.807831, actvprof=,1.574744, id=,S06, PRDE,actvstrat=,0.408714, actvprof=,9.286518, id=,S07, PRDE,actvstrat=,-0.887948, actvprof=,0.402367, id=,S08, PRDE,actvstrat=,-0.233154, actvprof=,4.329505, id=,S09, PRDE,actvstrat=,0.497636, actvprof=,9.856109, best_B_id=,B08, best_B_prof=,1.520716, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,11.676968, best_S_strat=,0.770809, 
