t=,0, id=,B00, PRDE,actvstrat=,0.978676, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.846877, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.129790, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.966646, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.293526, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.997802, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.282163, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.863033, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.191979, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.030802, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.335063, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.947478, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.862381, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.348058, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.043192, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.454832, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.977468, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.688167, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.670641, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.695557, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.978676, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.335063, 
t=,3600, id=,B00, PRDE,actvstrat=,0.978676, actvprof=,1.828611, id=,B01, PRDE,actvstrat=,0.846877, actvprof=,3.053056, id=,B02, PRDE,actvstrat=,0.129790, actvprof=,3.453333, id=,B03, PRDE,actvstrat=,-0.966646, actvprof=,2.885000, id=,B04, PRDE,actvstrat=,-0.293526, actvprof=,3.298611, id=,B05, PRDE,actvstrat=,0.997802, actvprof=,1.673889, id=,B06, PRDE,actvstrat=,-0.282163, actvprof=,3.427500, id=,B07, PRDE,actvstrat=,0.863033, actvprof=,3.049444, id=,B08, PRDE,actvstrat=,-0.191979, actvprof=,3.556389, id=,B09, PRDE,actvstrat=,-0.030802, actvprof=,3.012778, id=,S00, PRDE,actvstrat=,-0.335063, actvprof=,3.523611, id=,S01, PRDE,actvstrat=,-0.947478, actvprof=,1.799444, id=,S02, PRDE,actvstrat=,0.862381, actvprof=,10.085833, id=,S03, PRDE,actvstrat=,0.348058, actvprof=,7.938056, id=,S04, PRDE,actvstrat=,0.043192, actvprof=,6.170833, id=,S05, PRDE,actvstrat=,0.454832, actvprof=,7.709167, id=,S06, PRDE,actvstrat=,0.977468, actvprof=,9.730833, id=,S07, PRDE,actvstrat=,0.688167, actvprof=,9.518333, id=,S08, PRDE,actvstrat=,0.670641, actvprof=,9.593889, id=,S09, PRDE,actvstrat=,0.695557, actvprof=,9.402500, best_B_id=,B08, best_B_prof=,3.556389, best_B_strat=,-0.191979, best_S_id=,S02, best_S_prof=,10.085833, best_S_strat=,0.862381, 
t=,7200, id=,B00, PRDE,actvstrat=,0.096220, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.276098, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.535215, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.909365, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.780680, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.465419, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.317898, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.374618, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.292123, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.828641, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.266915, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.751296, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.055567, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.456387, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.064424, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.574232, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.971752, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.933816, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.050233, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.863838, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.096220, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.266915, 
t=,10800, id=,B00, PRDE,actvstrat=,0.096220, actvprof=,0.869432, id=,B01, PRDE,actvstrat=,-0.276098, actvprof=,0.738601, id=,B02, PRDE,actvstrat=,0.535215, actvprof=,1.381647, id=,B03, PRDE,actvstrat=,0.909365, actvprof=,1.208039, id=,B04, PRDE,actvstrat=,0.780680, actvprof=,1.497479, id=,B05, PRDE,actvstrat=,0.465419, actvprof=,1.352759, id=,B06, PRDE,actvstrat=,0.317898, actvprof=,1.089985, id=,B07, PRDE,actvstrat=,-0.374618, actvprof=,0.798600, id=,B08, PRDE,actvstrat=,0.292123, actvprof=,1.038319, id=,B09, PRDE,actvstrat=,-0.828641, actvprof=,1.535256, id=,S00, PRDE,actvstrat=,-0.266915, actvprof=,4.137998, id=,S01, PRDE,actvstrat=,-0.751296, actvprof=,2.469132, id=,S02, PRDE,actvstrat=,-0.055567, actvprof=,5.879363, id=,S03, PRDE,actvstrat=,-0.456387, actvprof=,3.709948, id=,S04, PRDE,actvstrat=,-0.064424, actvprof=,5.887974, id=,S05, PRDE,actvstrat=,0.574232, actvprof=,9.908473, id=,S06, PRDE,actvstrat=,-0.971752, actvprof=,0.733879, id=,S07, PRDE,actvstrat=,-0.933816, actvprof=,0.364162, id=,S08, PRDE,actvstrat=,-0.050233, actvprof=,6.490465, id=,S09, PRDE,actvstrat=,0.863838, actvprof=,11.685393, best_B_id=,B09, best_B_prof=,1.535256, best_B_strat=,-0.828641, best_S_id=,S09, best_S_prof=,11.685393, best_S_strat=,0.863838, 
t=,14400, id=,B00, PRDE,actvstrat=,0.273356, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.630417, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.085850, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.677995, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.207338, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.925165, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.109372, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.920586, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.191979, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.990607, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.004670, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.100960, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.102298, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.762319, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.453495, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.464221, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.813558, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.508425, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.998811, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.891216, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.273356, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.004670, 
t=,18000, id=,B00, PRDE,actvstrat=,0.273356, actvprof=,1.894444, id=,B01, PRDE,actvstrat=,0.630417, actvprof=,2.240278, id=,B02, PRDE,actvstrat=,-0.085850, actvprof=,1.678611, id=,B03, PRDE,actvstrat=,-0.677995, actvprof=,1.881944, id=,B04, PRDE,actvstrat=,-0.207338, actvprof=,1.689167, id=,B05, PRDE,actvstrat=,0.925165, actvprof=,1.807778, id=,B06, PRDE,actvstrat=,-0.109372, actvprof=,1.534722, id=,B07, PRDE,actvstrat=,-0.920586, actvprof=,2.797500, id=,B08, PRDE,actvstrat=,-0.191979, actvprof=,1.593333, id=,B09, PRDE,actvstrat=,-0.990607, actvprof=,2.690278, id=,S00, PRDE,actvstrat=,0.004670, actvprof=,6.121389, id=,S01, PRDE,actvstrat=,-0.100960, actvprof=,4.563333, id=,S02, PRDE,actvstrat=,0.102298, actvprof=,6.080000, id=,S03, PRDE,actvstrat=,0.762319, actvprof=,9.755278, id=,S04, PRDE,actvstrat=,-0.453495, actvprof=,2.768611, id=,S05, PRDE,actvstrat=,-0.464221, actvprof=,3.204722, id=,S06, PRDE,actvstrat=,-0.813558, actvprof=,1.289167, id=,S07, PRDE,actvstrat=,0.508425, actvprof=,8.391667, id=,S08, PRDE,actvstrat=,-0.998811, actvprof=,4.502222, id=,S09, PRDE,actvstrat=,0.891216, actvprof=,10.493333, best_B_id=,B07, best_B_prof=,2.797500, best_B_strat=,-0.920586, best_S_id=,S09, best_S_prof=,10.493333, best_S_strat=,0.891216, 
t=,21600, id=,B00, PRDE,actvstrat=,0.273356, actvprof=,1.832791, id=,B01, PRDE,actvstrat=,0.630417, actvprof=,2.211682, id=,B02, PRDE,actvstrat=,-0.085850, actvprof=,1.666539, id=,B03, PRDE,actvstrat=,-0.677995, actvprof=,1.931125, id=,B04, PRDE,actvstrat=,-0.207338, actvprof=,1.561816, id=,B05, PRDE,actvstrat=,0.925165, actvprof=,1.737651, id=,B06, PRDE,actvstrat=,-0.109372, actvprof=,1.617789, id=,B07, PRDE,actvstrat=,-0.920586, actvprof=,2.815297, id=,B08, PRDE,actvstrat=,-0.191979, actvprof=,1.483066, id=,B09, PRDE,actvstrat=,-0.990607, actvprof=,2.658491, id=,S00, PRDE,actvstrat=,0.004670, actvprof=,6.035042, id=,S01, PRDE,actvstrat=,-0.100960, actvprof=,4.522809, id=,S02, PRDE,actvstrat=,0.102298, actvprof=,6.030320, id=,S03, PRDE,actvstrat=,0.762319, actvprof=,9.879930, id=,S04, PRDE,actvstrat=,-0.453495, actvprof=,2.910437, id=,S05, PRDE,actvstrat=,-0.464221, actvprof=,2.854464, id=,S06, PRDE,actvstrat=,-0.813558, actvprof=,1.144452, id=,S07, PRDE,actvstrat=,0.508425, actvprof=,8.372280, id=,S08, PRDE,actvstrat=,-0.998811, actvprof=,4.638366, id=,S09, PRDE,actvstrat=,0.891216, actvprof=,10.640629, best_B_id=,B07, best_B_prof=,2.815297, best_B_strat=,-0.920586, best_S_id=,S09, best_S_prof=,10.640629, best_S_strat=,0.891216, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.516883, actvprof=,1.041140, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.612545, id=,B02, PRDE,actvstrat=,-0.447912, actvprof=,0.971138, id=,B03, PRDE,actvstrat=,-0.064085, actvprof=,0.729465, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.484458, id=,B05, PRDE,actvstrat=,0.702217, actvprof=,1.550599, id=,B06, PRDE,actvstrat=,-0.185642, actvprof=,0.766132, id=,B07, PRDE,actvstrat=,0.662695, actvprof=,1.420873, id=,B08, PRDE,actvstrat=,0.435279, actvprof=,1.232812, id=,B09, PRDE,actvstrat=,0.332939, actvprof=,1.117531, id=,S00, PRDE,actvstrat=,-0.274231, actvprof=,4.042612, id=,S01, PRDE,actvstrat=,-0.626827, actvprof=,3.473430, id=,S02, PRDE,actvstrat=,0.271666, actvprof=,7.874663, id=,S03, PRDE,actvstrat=,-0.250505, actvprof=,3.901775, id=,S04, PRDE,actvstrat=,-0.365589, actvprof=,3.586766, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,11.781438, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,3.939554, id=,S07, PRDE,actvstrat=,-0.267767, actvprof=,3.800383, id=,S08, PRDE,actvstrat=,0.083530, actvprof=,6.935748, id=,S09, PRDE,actvstrat=,-0.109889, actvprof=,5.049862, best_B_id=,B01, best_B_prof=,1.612545, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,11.781438, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.516883, actvprof=,1.039320, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.624050, id=,B02, PRDE,actvstrat=,-0.447912, actvprof=,0.977514, id=,B03, PRDE,actvstrat=,-0.064085, actvprof=,0.850567, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.545702, id=,B05, PRDE,actvstrat=,0.702217, actvprof=,1.562522, id=,B06, PRDE,actvstrat=,-0.185642, actvprof=,0.825567, id=,B07, PRDE,actvstrat=,0.662695, actvprof=,1.447937, id=,B08, PRDE,actvstrat=,0.435279, actvprof=,1.253073, id=,B09, PRDE,actvstrat=,0.332939, actvprof=,1.182516, id=,S00, PRDE,actvstrat=,-0.274231, actvprof=,4.138946, id=,S01, PRDE,actvstrat=,-0.626827, actvprof=,3.403381, id=,S02, PRDE,actvstrat=,0.271666, actvprof=,7.798303, id=,S03, PRDE,actvstrat=,-0.250505, actvprof=,3.980472, id=,S04, PRDE,actvstrat=,-0.365589, actvprof=,3.488382, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,11.731968, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.037417, id=,S07, PRDE,actvstrat=,-0.267767, actvprof=,4.156030, id=,S08, PRDE,actvstrat=,0.083530, actvprof=,6.840234, id=,S09, PRDE,actvstrat=,-0.109889, actvprof=,5.283684, best_B_id=,B01, best_B_prof=,1.624050, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,11.731968, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.243496, actvprof=,2.954568, id=,B01, PRDE,actvstrat=,0.975027, actvprof=,1.385058, id=,B02, PRDE,actvstrat=,0.066454, actvprof=,2.442324, id=,B03, PRDE,actvstrat=,0.458325, actvprof=,3.207911, id=,B04, PRDE,actvstrat=,0.139476, actvprof=,2.790116, id=,B05, PRDE,actvstrat=,0.484438, actvprof=,3.029571, id=,B06, PRDE,actvstrat=,0.363335, actvprof=,2.962901, id=,B07, PRDE,actvstrat=,0.790854, actvprof=,2.780949, id=,B08, PRDE,actvstrat=,-0.053230, actvprof=,2.500660, id=,B09, PRDE,actvstrat=,-0.594332, actvprof=,2.880953, id=,S00, PRDE,actvstrat=,0.438949, actvprof=,7.676153, id=,S01, PRDE,actvstrat=,0.038898, actvprof=,5.809131, id=,S02, PRDE,actvstrat=,-0.630692, actvprof=,2.992347, id=,S03, PRDE,actvstrat=,0.532519, actvprof=,8.051447, id=,S04, PRDE,actvstrat=,0.681339, actvprof=,9.399836, id=,S05, PRDE,actvstrat=,0.606946, actvprof=,8.362293, id=,S06, PRDE,actvstrat=,0.736245, actvprof=,9.386780, id=,S07, PRDE,actvstrat=,0.842425, actvprof=,10.206259, id=,S08, PRDE,actvstrat=,-0.050233, actvprof=,5.028821, id=,S09, PRDE,actvstrat=,-0.286071, actvprof=,3.511535, best_B_id=,B03, best_B_prof=,3.207911, best_B_strat=,0.458325, best_S_id=,S07, best_S_prof=,10.206259, best_S_strat=,0.842425, 
t=,36000, id=,B00, PRDE,actvstrat=,0.243496, actvprof=,2.870476, id=,B01, PRDE,actvstrat=,0.975027, actvprof=,1.282805, id=,B02, PRDE,actvstrat=,0.066454, actvprof=,2.443662, id=,B03, PRDE,actvstrat=,0.458325, actvprof=,3.026591, id=,B04, PRDE,actvstrat=,0.139476, actvprof=,2.697001, id=,B05, PRDE,actvstrat=,0.484438, actvprof=,2.963534, id=,B06, PRDE,actvstrat=,0.363335, actvprof=,2.898255, id=,B07, PRDE,actvstrat=,0.790854, actvprof=,2.777558, id=,B08, PRDE,actvstrat=,-0.053230, actvprof=,2.487413, id=,B09, PRDE,actvstrat=,-0.594332, actvprof=,3.107565, id=,S00, PRDE,actvstrat=,0.438949, actvprof=,7.814052, id=,S01, PRDE,actvstrat=,0.038898, actvprof=,5.791232, id=,S02, PRDE,actvstrat=,-0.630692, actvprof=,2.921172, id=,S03, PRDE,actvstrat=,0.532519, actvprof=,8.370174, id=,S04, PRDE,actvstrat=,0.681339, actvprof=,9.367417, id=,S05, PRDE,actvstrat=,0.606946, actvprof=,8.741571, id=,S06, PRDE,actvstrat=,0.736245, actvprof=,9.489642, id=,S07, PRDE,actvstrat=,0.842425, actvprof=,10.256186, id=,S08, PRDE,actvstrat=,-0.050233, actvprof=,5.048716, id=,S09, PRDE,actvstrat=,-0.286071, actvprof=,3.724800, best_B_id=,B09, best_B_prof=,3.107565, best_B_strat=,-0.594332, best_S_id=,S07, best_S_prof=,10.256186, best_S_strat=,0.842425, 
