t=,0, id=,B00, PRDE,actvstrat=,0.171986, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.511390, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.374854, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.614712, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.300016, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.373955, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.047133, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.034758, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.816604, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.332870, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.942890, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.889730, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.894400, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.064319, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.906577, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.756590, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.770447, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.191387, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.694851, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.715802, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.171986, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.942890, 
t=,3600, id=,B00, PRDE,actvstrat=,0.171986, actvprof=,3.199122, id=,B01, PRDE,actvstrat=,-0.511390, actvprof=,3.259121, id=,B02, PRDE,actvstrat=,0.374854, actvprof=,3.343009, id=,B03, PRDE,actvstrat=,-0.614712, actvprof=,3.410786, id=,B04, PRDE,actvstrat=,0.300016, actvprof=,3.245233, id=,B05, PRDE,actvstrat=,-0.373955, actvprof=,2.976625, id=,B06, PRDE,actvstrat=,0.047133, actvprof=,2.881627, id=,B07, PRDE,actvstrat=,-0.034758, actvprof=,2.935515, id=,B08, PRDE,actvstrat=,-0.816604, actvprof=,4.266330, id=,B09, PRDE,actvstrat=,0.332870, actvprof=,3.358842, id=,S00, PRDE,actvstrat=,-0.942890, actvprof=,1.205817, id=,S01, PRDE,actvstrat=,0.889730, actvprof=,8.925154, id=,S02, PRDE,actvstrat=,0.894400, actvprof=,9.006819, id=,S03, PRDE,actvstrat=,0.064319, actvprof=,5.312982, id=,S04, PRDE,actvstrat=,-0.906577, actvprof=,0.847488, id=,S05, PRDE,actvstrat=,0.756590, actvprof=,8.591547, id=,S06, PRDE,actvstrat=,0.770447, actvprof=,8.835155, id=,S07, PRDE,actvstrat=,-0.191387, actvprof=,3.357453, id=,S08, PRDE,actvstrat=,-0.694851, actvprof=,2.503576, id=,S09, PRDE,actvstrat=,0.715802, actvprof=,8.047666, best_B_id=,B08, best_B_prof=,4.266330, best_B_strat=,-0.816604, best_S_id=,S02, best_S_prof=,9.006819, best_S_strat=,0.894400, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.827153, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.818170, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.165464, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.685697, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.487511, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.629040, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.275527, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.076289, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.524414, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.400517, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.171162, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.692287, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.702357, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.907424, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.894084, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.204049, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.659035, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.480909, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.891364, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.854631, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.827153, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.171162, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.827153, actvprof=,3.740781, id=,B01, PRDE,actvstrat=,0.818170, actvprof=,2.737462, id=,B02, PRDE,actvstrat=,-0.165464, actvprof=,2.454966, id=,B03, PRDE,actvstrat=,-0.685697, actvprof=,2.863016, id=,B04, PRDE,actvstrat=,-0.487511, actvprof=,2.534131, id=,B05, PRDE,actvstrat=,-0.629040, actvprof=,2.927459, id=,B06, PRDE,actvstrat=,0.275527, actvprof=,2.809683, id=,B07, PRDE,actvstrat=,0.076289, actvprof=,2.337468, id=,B08, PRDE,actvstrat=,0.524414, actvprof=,2.996625, id=,B09, PRDE,actvstrat=,0.400517, actvprof=,2.763017, id=,S00, PRDE,actvstrat=,-0.171162, actvprof=,3.443008, id=,S01, PRDE,actvstrat=,0.692287, actvprof=,8.722934, id=,S02, PRDE,actvstrat=,0.702357, actvprof=,8.585436, id=,S03, PRDE,actvstrat=,-0.907424, actvprof=,0.591658, id=,S04, PRDE,actvstrat=,0.894084, actvprof=,9.760698, id=,S05, PRDE,actvstrat=,-0.204049, actvprof=,3.252455, id=,S06, PRDE,actvstrat=,-0.659035, actvprof=,2.510521, id=,S07, PRDE,actvstrat=,-0.480909, actvprof=,2.736906, id=,S08, PRDE,actvstrat=,0.891364, actvprof=,9.946251, id=,S09, PRDE,actvstrat=,0.854631, actvprof=,9.395425, best_B_id=,B00, best_B_prof=,3.740781, best_B_strat=,-0.827153, best_S_id=,S08, best_S_prof=,9.946251, best_S_strat=,0.891364, 
t=,14400, id=,B00, PRDE,actvstrat=,0.023228, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.098318, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.163619, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.084038, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.910354, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.759579, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.434604, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.771257, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.923011, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.560396, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.477446, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.645692, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.898278, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.269925, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.777499, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.068295, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.917945, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.329621, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.724766, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.977814, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.023228, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.477446, 
t=,18000, id=,B00, PRDE,actvstrat=,0.023228, actvprof=,1.451091, id=,B01, PRDE,actvstrat=,0.098318, actvprof=,1.548867, id=,B02, PRDE,actvstrat=,0.163619, actvprof=,1.611922, id=,B03, PRDE,actvstrat=,0.084038, actvprof=,1.626089, id=,B04, PRDE,actvstrat=,0.910354, actvprof=,1.510257, id=,B05, PRDE,actvstrat=,-0.759579, actvprof=,2.140248, id=,B06, PRDE,actvstrat=,-0.434604, actvprof=,1.437480, id=,B07, PRDE,actvstrat=,-0.771257, actvprof=,2.104137, id=,B08, PRDE,actvstrat=,0.923011, actvprof=,1.558867, id=,B09, PRDE,actvstrat=,-0.560396, actvprof=,1.722476, id=,S00, PRDE,actvstrat=,0.477446, actvprof=,8.653769, id=,S01, PRDE,actvstrat=,-0.645692, actvprof=,2.951903, id=,S02, PRDE,actvstrat=,0.898278, actvprof=,10.715129, id=,S03, PRDE,actvstrat=,0.269925, actvprof=,7.290454, id=,S04, PRDE,actvstrat=,0.777499, actvprof=,10.702074, id=,S05, PRDE,actvstrat=,-0.068295, actvprof=,5.135762, id=,S06, PRDE,actvstrat=,-0.917945, actvprof=,0.642491, id=,S07, PRDE,actvstrat=,-0.329621, actvprof=,3.498007, id=,S08, PRDE,actvstrat=,-0.724766, actvprof=,2.619130, id=,S09, PRDE,actvstrat=,-0.977814, actvprof=,1.701087, best_B_id=,B05, best_B_prof=,2.140248, best_B_strat=,-0.759579, best_S_id=,S02, best_S_prof=,10.715129, best_S_strat=,0.898278, 
t=,21600, id=,B00, PRDE,actvstrat=,0.023228, actvprof=,1.481250, id=,B01, PRDE,actvstrat=,0.098318, actvprof=,1.581806, id=,B02, PRDE,actvstrat=,0.163619, actvprof=,1.667639, id=,B03, PRDE,actvstrat=,0.084038, actvprof=,1.580556, id=,B04, PRDE,actvstrat=,0.910354, actvprof=,1.562083, id=,B05, PRDE,actvstrat=,-0.759579, actvprof=,2.184583, id=,B06, PRDE,actvstrat=,-0.434604, actvprof=,1.487917, id=,B07, PRDE,actvstrat=,-0.771257, actvprof=,2.070278, id=,B08, PRDE,actvstrat=,0.923011, actvprof=,1.557778, id=,B09, PRDE,actvstrat=,-0.560396, actvprof=,1.550139, id=,S00, PRDE,actvstrat=,0.477446, actvprof=,8.600417, id=,S01, PRDE,actvstrat=,-0.645692, actvprof=,3.014167, id=,S02, PRDE,actvstrat=,0.898278, actvprof=,10.798194, id=,S03, PRDE,actvstrat=,0.269925, actvprof=,7.431250, id=,S04, PRDE,actvstrat=,0.777499, actvprof=,10.692639, id=,S05, PRDE,actvstrat=,-0.068295, actvprof=,5.213056, id=,S06, PRDE,actvstrat=,-0.917945, actvprof=,0.637778, id=,S07, PRDE,actvstrat=,-0.329621, actvprof=,3.689444, id=,S08, PRDE,actvstrat=,-0.724766, actvprof=,2.664306, id=,S09, PRDE,actvstrat=,-0.977814, actvprof=,1.801389, best_B_id=,B05, best_B_prof=,2.184583, best_B_strat=,-0.759579, best_S_id=,S02, best_S_prof=,10.798194, best_S_strat=,0.898278, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.175306, actvprof=,0.602508, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.623356, id=,B02, PRDE,actvstrat=,0.178299, actvprof=,0.834178, id=,B03, PRDE,actvstrat=,-0.592141, actvprof=,0.459451, id=,B04, PRDE,actvstrat=,-0.926395, actvprof=,1.167516, id=,B05, PRDE,actvstrat=,0.700880, actvprof=,1.307796, id=,B06, PRDE,actvstrat=,0.519112, actvprof=,1.145016, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.842512, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.498354, id=,B09, PRDE,actvstrat=,0.561375, actvprof=,1.055570, id=,S00, PRDE,actvstrat=,0.686138, actvprof=,10.962097, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.693440, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.318991, id=,S03, PRDE,actvstrat=,-0.728496, actvprof=,2.968930, id=,S04, PRDE,actvstrat=,-0.479307, actvprof=,4.120891, id=,S05, PRDE,actvstrat=,-0.977884, actvprof=,1.220850, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,7.265379, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.229337, id=,S08, PRDE,actvstrat=,-0.590664, actvprof=,3.515882, id=,S09, PRDE,actvstrat=,-0.240028, actvprof=,4.346727, best_B_id=,B01, best_B_prof=,1.623356, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,12.229337, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.175306, actvprof=,0.653477, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.564455, id=,B02, PRDE,actvstrat=,0.178299, actvprof=,0.892645, id=,B03, PRDE,actvstrat=,-0.592141, actvprof=,0.490698, id=,B04, PRDE,actvstrat=,-0.926395, actvprof=,1.128202, id=,B05, PRDE,actvstrat=,0.700880, actvprof=,1.317787, id=,B06, PRDE,actvstrat=,0.519112, actvprof=,1.163897, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.920284, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.515983, id=,B09, PRDE,actvstrat=,0.561375, actvprof=,1.037368, id=,S00, PRDE,actvstrat=,0.686138, actvprof=,10.961465, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.388801, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.414635, id=,S03, PRDE,actvstrat=,-0.728496, actvprof=,3.006549, id=,S04, PRDE,actvstrat=,-0.479307, actvprof=,3.787110, id=,S05, PRDE,actvstrat=,-0.977884, actvprof=,1.301676, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,7.474219, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.277724, id=,S08, PRDE,actvstrat=,-0.590664, actvprof=,3.315856, id=,S09, PRDE,actvstrat=,-0.240028, actvprof=,4.321002, best_B_id=,B01, best_B_prof=,1.564455, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,12.277724, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.223566, actvprof=,1.298925, id=,B01, PRDE,actvstrat=,0.466851, actvprof=,1.635601, id=,B02, PRDE,actvstrat=,0.393388, actvprof=,1.637268, id=,B03, PRDE,actvstrat=,0.974115, actvprof=,0.645018, id=,B04, PRDE,actvstrat=,-0.102343, actvprof=,1.084752, id=,B05, PRDE,actvstrat=,-0.069678, actvprof=,1.263646, id=,B06, PRDE,actvstrat=,0.351722, actvprof=,1.307259, id=,B07, PRDE,actvstrat=,0.499997, actvprof=,1.824495, id=,B08, PRDE,actvstrat=,0.721116, actvprof=,1.856718, id=,B09, PRDE,actvstrat=,0.073593, actvprof=,1.129754, id=,S00, PRDE,actvstrat=,-0.287127, actvprof=,4.024001, id=,S01, PRDE,actvstrat=,-0.737463, actvprof=,2.655352, id=,S02, PRDE,actvstrat=,0.925205, actvprof=,12.018112, id=,S03, PRDE,actvstrat=,-0.893294, actvprof=,0.579461, id=,S04, PRDE,actvstrat=,0.238455, actvprof=,7.962999, id=,S05, PRDE,actvstrat=,0.082582, actvprof=,6.866857, id=,S06, PRDE,actvstrat=,-0.332577, actvprof=,4.148449, id=,S07, PRDE,actvstrat=,0.847097, actvprof=,11.750882, id=,S08, PRDE,actvstrat=,0.118958, actvprof=,7.451318, id=,S09, PRDE,actvstrat=,-0.811284, actvprof=,1.772271, best_B_id=,B08, best_B_prof=,1.856718, best_B_strat=,0.721116, best_S_id=,S02, best_S_prof=,12.018112, best_S_strat=,0.925205, 
t=,36000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.262861, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.319688, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.362648, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.367352, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.443323, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.173760, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.787559, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.575797, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.032458, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.661181, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.431413, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.578332, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.549792, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.605606, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.406548, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.946764, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.256210, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.032458, 
