t=,0, id=,B00, PRDE,actvstrat=,-0.650295, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.528051, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.252287, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.949077, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.118281, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.087772, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.619096, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.375046, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.955363, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.766189, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.492277, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.126093, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.119381, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.541888, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.392623, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.050836, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.599838, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.970557, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.371481, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.152885, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.650295, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.492277, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.650295, actvprof=,2.424167, id=,B01, PRDE,actvstrat=,-0.528051, actvprof=,2.256389, id=,B02, PRDE,actvstrat=,-0.252287, actvprof=,1.929444, id=,B03, PRDE,actvstrat=,-0.949077, actvprof=,3.528889, id=,B04, PRDE,actvstrat=,0.118281, actvprof=,2.238611, id=,B05, PRDE,actvstrat=,0.087772, actvprof=,2.183889, id=,B06, PRDE,actvstrat=,0.619096, actvprof=,2.924722, id=,B07, PRDE,actvstrat=,-0.375046, actvprof=,1.959167, id=,B08, PRDE,actvstrat=,-0.955363, actvprof=,3.496389, id=,B09, PRDE,actvstrat=,-0.766189, actvprof=,2.454167, id=,S00, PRDE,actvstrat=,0.492277, actvprof=,7.179722, id=,S01, PRDE,actvstrat=,-0.126093, actvprof=,3.477778, id=,S02, PRDE,actvstrat=,0.119381, actvprof=,5.266944, id=,S03, PRDE,actvstrat=,0.541888, actvprof=,7.286389, id=,S04, PRDE,actvstrat=,-0.392623, actvprof=,2.454444, id=,S05, PRDE,actvstrat=,-0.050836, actvprof=,4.298889, id=,S06, PRDE,actvstrat=,0.599838, actvprof=,7.588056, id=,S07, PRDE,actvstrat=,-0.970557, actvprof=,1.552500, id=,S08, PRDE,actvstrat=,0.371481, actvprof=,6.198889, id=,S09, PRDE,actvstrat=,0.152885, actvprof=,5.567222, best_B_id=,B03, best_B_prof=,3.528889, best_B_strat=,-0.949077, best_S_id=,S06, best_S_prof=,7.588056, best_S_strat=,0.599838, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.116512, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.586116, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.034993, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.762556, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.623882, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.717681, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.946199, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.861599, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.785435, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.172443, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.747631, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.872394, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.014059, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.820506, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.304412, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.863691, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.450522, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.652748, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.342624, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.291581, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.116512, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.747631, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.116512, actvprof=,1.889366, id=,B01, PRDE,actvstrat=,0.586116, actvprof=,2.461009, id=,B02, PRDE,actvstrat=,0.034993, actvprof=,1.935197, id=,B03, PRDE,actvstrat=,0.762556, actvprof=,2.431843, id=,B04, PRDE,actvstrat=,-0.623882, actvprof=,2.196020, id=,B05, PRDE,actvstrat=,-0.717681, actvprof=,2.480174, id=,B06, PRDE,actvstrat=,0.946199, actvprof=,1.323000, id=,B07, PRDE,actvstrat=,-0.861599, actvprof=,3.312918, id=,B08, PRDE,actvstrat=,0.785435, actvprof=,2.377956, id=,B09, PRDE,actvstrat=,0.172443, actvprof=,2.120745, id=,S00, PRDE,actvstrat=,-0.747631, actvprof=,1.960196, id=,S01, PRDE,actvstrat=,-0.872394, actvprof=,0.806355, id=,S02, PRDE,actvstrat=,-0.014059, actvprof=,5.695596, id=,S03, PRDE,actvstrat=,0.820506, actvprof=,10.316792, id=,S04, PRDE,actvstrat=,-0.304412, actvprof=,3.441246, id=,S05, PRDE,actvstrat=,0.863691, actvprof=,10.619280, id=,S06, PRDE,actvstrat=,0.450522, actvprof=,8.284933, id=,S07, PRDE,actvstrat=,0.652748, actvprof=,9.779593, id=,S08, PRDE,actvstrat=,0.342624, actvprof=,7.564685, id=,S09, PRDE,actvstrat=,0.291581, actvprof=,7.710512, best_B_id=,B07, best_B_prof=,3.312918, best_B_strat=,-0.861599, best_S_id=,S05, best_S_prof=,10.619280, best_S_strat=,0.863691, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.116512, actvprof=,1.782917, id=,B01, PRDE,actvstrat=,0.586116, actvprof=,2.343194, id=,B02, PRDE,actvstrat=,0.034993, actvprof=,1.819028, id=,B03, PRDE,actvstrat=,0.762556, actvprof=,2.395972, id=,B04, PRDE,actvstrat=,-0.623882, actvprof=,2.156250, id=,B05, PRDE,actvstrat=,-0.717681, actvprof=,2.520833, id=,B06, PRDE,actvstrat=,0.946199, actvprof=,1.375972, id=,B07, PRDE,actvstrat=,-0.861599, actvprof=,3.138333, id=,B08, PRDE,actvstrat=,0.785435, actvprof=,2.313750, id=,B09, PRDE,actvstrat=,0.172443, actvprof=,2.050000, id=,S00, PRDE,actvstrat=,-0.747631, actvprof=,1.938889, id=,S01, PRDE,actvstrat=,-0.872394, actvprof=,0.660278, id=,S02, PRDE,actvstrat=,-0.014059, actvprof=,5.769722, id=,S03, PRDE,actvstrat=,0.820506, actvprof=,10.376389, id=,S04, PRDE,actvstrat=,-0.304412, actvprof=,3.722778, id=,S05, PRDE,actvstrat=,0.863691, actvprof=,10.636528, id=,S06, PRDE,actvstrat=,0.450522, actvprof=,8.204722, id=,S07, PRDE,actvstrat=,0.652748, actvprof=,9.740417, id=,S08, PRDE,actvstrat=,0.342624, actvprof=,7.732500, id=,S09, PRDE,actvstrat=,0.291581, actvprof=,7.788194, best_B_id=,B07, best_B_prof=,3.138333, best_B_strat=,-0.861599, best_S_id=,S05, best_S_prof=,10.636528, best_S_strat=,0.863691, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.547472, actvprof=,0.959471, id=,B01, PRDE,actvstrat=,-0.539585, actvprof=,1.046974, id=,B02, PRDE,actvstrat=,-0.482182, actvprof=,0.980861, id=,B03, PRDE,actvstrat=,-0.771416, actvprof=,1.344204, id=,B04, PRDE,actvstrat=,-0.972951, actvprof=,2.152004, id=,B05, PRDE,actvstrat=,-0.649693, actvprof=,1.063641, id=,B06, PRDE,actvstrat=,0.834507, actvprof=,1.973666, id=,B07, PRDE,actvstrat=,0.638683, actvprof=,1.874219, id=,B08, PRDE,actvstrat=,-0.580805, actvprof=,1.141143, id=,B09, PRDE,actvstrat=,-0.118152, actvprof=,1.087808, id=,S00, PRDE,actvstrat=,-0.463045, actvprof=,3.130365, id=,S01, PRDE,actvstrat=,-0.149437, actvprof=,3.991778, id=,S02, PRDE,actvstrat=,-0.057722, actvprof=,4.870691, id=,S03, PRDE,actvstrat=,0.047971, actvprof=,5.538765, id=,S04, PRDE,actvstrat=,-0.278161, actvprof=,3.308147, id=,S05, PRDE,actvstrat=,-0.983554, actvprof=,1.880608, id=,S06, PRDE,actvstrat=,0.290172, actvprof=,7.409650, id=,S07, PRDE,actvstrat=,-0.970091, actvprof=,0.799189, id=,S08, PRDE,actvstrat=,0.342624, actvprof=,7.572433, id=,S09, PRDE,actvstrat=,-0.541832, actvprof=,2.587016, best_B_id=,B04, best_B_prof=,2.152004, best_B_strat=,-0.972951, best_S_id=,S08, best_S_prof=,7.572433, best_S_strat=,0.342624, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.547472, actvprof=,1.033209, id=,B01, PRDE,actvstrat=,-0.539585, actvprof=,1.084182, id=,B02, PRDE,actvstrat=,-0.482182, actvprof=,0.950708, id=,B03, PRDE,actvstrat=,-0.771416, actvprof=,1.373908, id=,B04, PRDE,actvstrat=,-0.972951, actvprof=,2.213503, id=,B05, PRDE,actvstrat=,-0.649693, actvprof=,1.093765, id=,B06, PRDE,actvstrat=,0.834507, actvprof=,1.957527, id=,B07, PRDE,actvstrat=,0.638683, actvprof=,1.809331, id=,B08, PRDE,actvstrat=,-0.580805, actvprof=,1.106126, id=,B09, PRDE,actvstrat=,-0.118152, actvprof=,1.082376, id=,S00, PRDE,actvstrat=,-0.463045, actvprof=,3.075459, id=,S01, PRDE,actvstrat=,-0.149437, actvprof=,4.074640, id=,S02, PRDE,actvstrat=,-0.057722, actvprof=,4.787705, id=,S03, PRDE,actvstrat=,0.047971, actvprof=,5.770775, id=,S04, PRDE,actvstrat=,-0.278161, actvprof=,3.434214, id=,S05, PRDE,actvstrat=,-0.983554, actvprof=,1.733357, id=,S06, PRDE,actvstrat=,0.290172, actvprof=,7.265934, id=,S07, PRDE,actvstrat=,-0.970091, actvprof=,0.869040, id=,S08, PRDE,actvstrat=,0.342624, actvprof=,7.396214, id=,S09, PRDE,actvstrat=,-0.541832, actvprof=,2.799900, best_B_id=,B04, best_B_prof=,2.213503, best_B_strat=,-0.972951, best_S_id=,S08, best_S_prof=,7.396214, best_S_strat=,0.342624, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.196119, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.534189, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.150840, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.461964, id=,B04, PRDE,actvstrat=,-0.998299, actvprof=,0.193064, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.478631, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.395294, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.455852, id=,B08, PRDE,actvstrat=,0.430968, actvprof=,0.893371, id=,B09, PRDE,actvstrat=,0.985910, actvprof=,0.537522, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,14.173924, id=,S01, PRDE,actvstrat=,-0.783194, actvprof=,2.805117, id=,S02, PRDE,actvstrat=,0.863652, actvprof=,14.104199, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,14.328097, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.918858, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,14.381988, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.656625, id=,S07, PRDE,actvstrat=,0.040682, actvprof=,8.746753, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.569440, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.955526, best_B_id=,B08, best_B_prof=,0.893371, best_B_strat=,0.430968, best_S_id=,S05, best_S_prof=,14.381988, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.291857, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.539585, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.962159, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.762556, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.876126, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.415738, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.662031, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.553546, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.241496, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.646431, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.697952, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.524985, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.097295, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.919773, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.084381, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.829758, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.660870, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.138184, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.830964, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.607462, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.291857, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.697952, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.291857, actvprof=,0.901451, id=,B01, PRDE,actvstrat=,-0.539585, actvprof=,1.018960, id=,B02, PRDE,actvstrat=,0.962159, actvprof=,1.057018, id=,B03, PRDE,actvstrat=,0.762556, actvprof=,1.808737, id=,B04, PRDE,actvstrat=,-0.876126, actvprof=,1.890687, id=,B05, PRDE,actvstrat=,-0.415738, actvprof=,0.826446, id=,B06, PRDE,actvstrat=,-0.662031, actvprof=,1.033961, id=,B07, PRDE,actvstrat=,-0.553546, actvprof=,0.922564, id=,B08, PRDE,actvstrat=,0.241496, actvprof=,1.323703, id=,B09, PRDE,actvstrat=,-0.646431, actvprof=,0.910341, id=,S00, PRDE,actvstrat=,-0.697952, actvprof=,2.950760, id=,S01, PRDE,actvstrat=,-0.524985, actvprof=,3.256337, id=,S02, PRDE,actvstrat=,-0.097295, actvprof=,5.320647, id=,S03, PRDE,actvstrat=,-0.919773, actvprof=,0.421140, id=,S04, PRDE,actvstrat=,-0.084381, actvprof=,5.109799, id=,S05, PRDE,actvstrat=,-0.829758, actvprof=,1.141190, id=,S06, PRDE,actvstrat=,0.660870, actvprof=,9.630669, id=,S07, PRDE,actvstrat=,-0.138184, actvprof=,4.146955, id=,S08, PRDE,actvstrat=,-0.830964, actvprof=,1.197861, id=,S09, PRDE,actvstrat=,0.607462, actvprof=,9.423432, best_B_id=,B04, best_B_prof=,1.890687, best_B_strat=,-0.876126, best_S_id=,S06, best_S_prof=,9.630669, best_S_strat=,0.660870, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.291857, actvprof=,0.845035, id=,B01, PRDE,actvstrat=,-0.539585, actvprof=,0.967679, id=,B02, PRDE,actvstrat=,0.962159, actvprof=,1.048099, id=,B03, PRDE,actvstrat=,0.762556, actvprof=,1.831882, id=,B04, PRDE,actvstrat=,-0.876126, actvprof=,1.822020, id=,B05, PRDE,actvstrat=,-0.415738, actvprof=,0.836979, id=,B06, PRDE,actvstrat=,-0.662031, actvprof=,1.020320, id=,B07, PRDE,actvstrat=,-0.553546, actvprof=,0.906843, id=,B08, PRDE,actvstrat=,0.241496, actvprof=,1.276859, id=,B09, PRDE,actvstrat=,-0.646431, actvprof=,0.976985, id=,S00, PRDE,actvstrat=,-0.697952, actvprof=,2.769282, id=,S01, PRDE,actvstrat=,-0.524985, actvprof=,3.312777, id=,S02, PRDE,actvstrat=,-0.097295, actvprof=,4.862564, id=,S03, PRDE,actvstrat=,-0.919773, actvprof=,0.435018, id=,S04, PRDE,actvstrat=,-0.084381, actvprof=,4.940484, id=,S05, PRDE,actvstrat=,-0.829758, actvprof=,1.190466, id=,S06, PRDE,actvstrat=,0.660870, actvprof=,9.820131, id=,S07, PRDE,actvstrat=,-0.138184, actvprof=,4.290595, id=,S08, PRDE,actvstrat=,-0.830964, actvprof=,1.053794, id=,S09, PRDE,actvstrat=,0.607462, actvprof=,9.594428, best_B_id=,B03, best_B_prof=,1.831882, best_B_strat=,0.762556, best_S_id=,S06, best_S_prof=,9.820131, best_S_strat=,0.660870, 
