t=,0, id=,B00, PRDE,actvstrat=,0.038554, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.699218, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.647300, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.031398, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.562435, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.435656, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.695914, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.795211, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.290138, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.453612, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.055547, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.024557, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.858933, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.956959, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.310368, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.966999, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.730834, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.674402, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.818367, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.079674, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.038554, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.055547, 
t=,3600, id=,B00, PRDE,actvstrat=,0.038554, actvprof=,1.118889, id=,B01, PRDE,actvstrat=,-0.699218, actvprof=,1.422222, id=,B02, PRDE,actvstrat=,0.647300, actvprof=,1.744722, id=,B03, PRDE,actvstrat=,-0.031398, actvprof=,1.190556, id=,B04, PRDE,actvstrat=,0.562435, actvprof=,1.639722, id=,B05, PRDE,actvstrat=,-0.435656, actvprof=,1.080833, id=,B06, PRDE,actvstrat=,0.695914, actvprof=,1.740556, id=,B07, PRDE,actvstrat=,0.795211, actvprof=,1.613611, id=,B08, PRDE,actvstrat=,0.290138, actvprof=,1.316389, id=,B09, PRDE,actvstrat=,0.453612, actvprof=,1.547778, id=,S00, PRDE,actvstrat=,-0.055547, actvprof=,5.941389, id=,S01, PRDE,actvstrat=,-0.024557, actvprof=,6.415833, id=,S02, PRDE,actvstrat=,-0.858933, actvprof=,0.843056, id=,S03, PRDE,actvstrat=,0.956959, actvprof=,11.721111, id=,S04, PRDE,actvstrat=,0.310368, actvprof=,8.268333, id=,S05, PRDE,actvstrat=,-0.966999, actvprof=,0.753056, id=,S06, PRDE,actvstrat=,-0.730834, actvprof=,2.823611, id=,S07, PRDE,actvstrat=,0.674402, actvprof=,10.044722, id=,S08, PRDE,actvstrat=,-0.818367, actvprof=,1.553333, id=,S09, PRDE,actvstrat=,0.079674, actvprof=,6.931389, best_B_id=,B02, best_B_prof=,1.744722, best_B_strat=,0.647300, best_S_id=,S03, best_S_prof=,11.721111, best_S_strat=,0.956959, 
t=,7200, id=,B00, PRDE,actvstrat=,0.560450, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.838728, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.323145, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.111814, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.350761, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.890193, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.930760, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.211728, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.205830, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.379674, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.007523, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.498213, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.006808, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.851692, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.859901, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.288972, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.004929, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.682497, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.381444, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.243449, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.560450, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.007523, 
t=,10800, id=,B00, PRDE,actvstrat=,0.560450, actvprof=,3.176768, id=,B01, PRDE,actvstrat=,-0.838728, actvprof=,3.485362, id=,B02, PRDE,actvstrat=,-0.323145, actvprof=,2.424310, id=,B03, PRDE,actvstrat=,0.111814, actvprof=,2.294317, id=,B04, PRDE,actvstrat=,-0.350761, actvprof=,2.484862, id=,B05, PRDE,actvstrat=,0.890193, actvprof=,2.249875, id=,B06, PRDE,actvstrat=,0.930760, actvprof=,1.888784, id=,B07, PRDE,actvstrat=,0.211728, actvprof=,2.605411, id=,B08, PRDE,actvstrat=,-0.205830, actvprof=,2.394867, id=,B09, PRDE,actvstrat=,-0.379674, actvprof=,2.247653, id=,S00, PRDE,actvstrat=,-0.007523, actvprof=,5.733570, id=,S01, PRDE,actvstrat=,0.498213, actvprof=,8.117049, id=,S02, PRDE,actvstrat=,-0.006808, actvprof=,5.128326, id=,S03, PRDE,actvstrat=,0.851692, actvprof=,9.795567, id=,S04, PRDE,actvstrat=,0.859901, actvprof=,10.022499, id=,S05, PRDE,actvstrat=,0.288972, actvprof=,6.621299, id=,S06, PRDE,actvstrat=,0.004929, actvprof=,5.639964, id=,S07, PRDE,actvstrat=,-0.682497, actvprof=,2.480973, id=,S08, PRDE,actvstrat=,-0.381444, actvprof=,3.028443, id=,S09, PRDE,actvstrat=,0.243449, actvprof=,6.352980, best_B_id=,B01, best_B_prof=,3.485362, best_B_strat=,-0.838728, best_S_id=,S04, best_S_prof=,10.022499, best_S_strat=,0.859901, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.639658, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.116527, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.686767, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.109567, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.215218, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.802832, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.466489, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.069659, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.278766, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.673935, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.146720, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.880435, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.952581, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.843507, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.493887, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.288972, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.072397, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.890373, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.726059, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.513605, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.639658, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.146720, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.639658, actvprof=,1.705301, id=,B01, PRDE,actvstrat=,0.116527, actvprof=,1.397242, id=,B02, PRDE,actvstrat=,0.686767, actvprof=,1.960305, id=,B03, PRDE,actvstrat=,-0.109567, actvprof=,1.270851, id=,B04, PRDE,actvstrat=,0.215218, actvprof=,1.486687, id=,B05, PRDE,actvstrat=,-0.802832, actvprof=,2.235031, id=,B06, PRDE,actvstrat=,0.466489, actvprof=,1.889193, id=,B07, PRDE,actvstrat=,-0.069659, actvprof=,1.235017, id=,B08, PRDE,actvstrat=,-0.278766, actvprof=,1.170016, id=,B09, PRDE,actvstrat=,0.673935, actvprof=,2.011139, id=,S00, PRDE,actvstrat=,0.146720, actvprof=,6.723427, id=,S01, PRDE,actvstrat=,-0.880435, actvprof=,0.710010, id=,S02, PRDE,actvstrat=,-0.952581, actvprof=,0.800289, id=,S03, PRDE,actvstrat=,-0.843507, actvprof=,1.128071, id=,S04, PRDE,actvstrat=,0.493887, actvprof=,8.563730, id=,S05, PRDE,actvstrat=,0.288972, actvprof=,7.538160, id=,S06, PRDE,actvstrat=,-0.072397, actvprof=,4.819511, id=,S07, PRDE,actvstrat=,-0.890373, actvprof=,0.414450, id=,S08, PRDE,actvstrat=,0.726059, actvprof=,10.095974, id=,S09, PRDE,actvstrat=,0.513605, actvprof=,8.846512, best_B_id=,B05, best_B_prof=,2.235031, best_B_strat=,-0.802832, best_S_id=,S08, best_S_prof=,10.095974, best_S_strat=,0.726059, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.639658, actvprof=,1.601806, id=,B01, PRDE,actvstrat=,0.116527, actvprof=,1.461944, id=,B02, PRDE,actvstrat=,0.686767, actvprof=,1.954167, id=,B03, PRDE,actvstrat=,-0.109567, actvprof=,1.284861, id=,B04, PRDE,actvstrat=,0.215218, actvprof=,1.563750, id=,B05, PRDE,actvstrat=,-0.802832, actvprof=,2.204306, id=,B06, PRDE,actvstrat=,0.466489, actvprof=,1.841806, id=,B07, PRDE,actvstrat=,-0.069659, actvprof=,1.323056, id=,B08, PRDE,actvstrat=,-0.278766, actvprof=,1.169861, id=,B09, PRDE,actvstrat=,0.673935, actvprof=,2.002222, id=,S00, PRDE,actvstrat=,0.146720, actvprof=,6.611667, id=,S01, PRDE,actvstrat=,-0.880435, actvprof=,0.609722, id=,S02, PRDE,actvstrat=,-0.952581, actvprof=,0.778750, id=,S03, PRDE,actvstrat=,-0.843507, actvprof=,1.059028, id=,S04, PRDE,actvstrat=,0.493887, actvprof=,8.741667, id=,S05, PRDE,actvstrat=,0.288972, actvprof=,7.573472, id=,S06, PRDE,actvstrat=,-0.072397, actvprof=,5.055139, id=,S07, PRDE,actvstrat=,-0.890373, actvprof=,0.407778, id=,S08, PRDE,actvstrat=,0.726059, actvprof=,9.900278, id=,S09, PRDE,actvstrat=,0.513605, actvprof=,8.621389, best_B_id=,B05, best_B_prof=,2.204306, best_B_strat=,-0.802832, best_S_id=,S08, best_S_prof=,9.900278, best_S_strat=,0.726059, 
t=,25200, id=,B00, PRDE,actvstrat=,0.215805, actvprof=,1.439207, id=,B01, PRDE,actvstrat=,-0.249917, actvprof=,1.330593, id=,B02, PRDE,actvstrat=,-0.686667, actvprof=,1.636157, id=,B03, PRDE,actvstrat=,0.404599, actvprof=,1.766160, id=,B04, PRDE,actvstrat=,0.515456, actvprof=,1.712270, id=,B05, PRDE,actvstrat=,0.890193, actvprof=,1.664491, id=,B06, PRDE,actvstrat=,0.203694, actvprof=,1.476985, id=,B07, PRDE,actvstrat=,-0.632878, actvprof=,1.672824, id=,B08, PRDE,actvstrat=,-0.100186, actvprof=,1.187255, id=,B09, PRDE,actvstrat=,-0.379674, actvprof=,0.959193, id=,S00, PRDE,actvstrat=,0.531325, actvprof=,8.501625, id=,S01, PRDE,actvstrat=,-0.493931, actvprof=,3.320092, id=,S02, PRDE,actvstrat=,0.069430, actvprof=,6.475180, id=,S03, PRDE,actvstrat=,-0.345723, actvprof=,3.690658, id=,S04, PRDE,actvstrat=,-0.675941, actvprof=,2.993416, id=,S05, PRDE,actvstrat=,-0.397566, actvprof=,3.328426, id=,S06, PRDE,actvstrat=,-0.909621, actvprof=,0.300842, id=,S07, PRDE,actvstrat=,0.674402, actvprof=,9.588322, id=,S08, PRDE,actvstrat=,-0.381444, actvprof=,3.298703, id=,S09, PRDE,actvstrat=,0.243449, actvprof=,6.970471, best_B_id=,B03, best_B_prof=,1.766160, best_B_strat=,0.404599, best_S_id=,S07, best_S_prof=,9.588322, best_S_strat=,0.674402, 
t=,28800, id=,B00, PRDE,actvstrat=,0.215805, actvprof=,1.462510, id=,B01, PRDE,actvstrat=,-0.249917, actvprof=,1.342093, id=,B02, PRDE,actvstrat=,-0.686667, actvprof=,1.662928, id=,B03, PRDE,actvstrat=,0.404599, actvprof=,1.776957, id=,B04, PRDE,actvstrat=,0.515456, actvprof=,1.750290, id=,B05, PRDE,actvstrat=,0.890193, actvprof=,1.693623, id=,B06, PRDE,actvstrat=,0.203694, actvprof=,1.542233, id=,B07, PRDE,actvstrat=,-0.632878, actvprof=,1.655706, id=,B08, PRDE,actvstrat=,-0.100186, actvprof=,1.230009, id=,B09, PRDE,actvstrat=,-0.379674, actvprof=,1.123758, id=,S00, PRDE,actvstrat=,0.531325, actvprof=,8.714505, id=,S01, PRDE,actvstrat=,-0.493931, actvprof=,3.191272, id=,S02, PRDE,actvstrat=,0.069430, actvprof=,6.611296, id=,S03, PRDE,actvstrat=,-0.345723, actvprof=,3.696415, id=,S04, PRDE,actvstrat=,-0.675941, actvprof=,2.947520, id=,S05, PRDE,actvstrat=,-0.397566, actvprof=,3.545997, id=,S06, PRDE,actvstrat=,-0.909621, actvprof=,0.428753, id=,S07, PRDE,actvstrat=,0.674402, actvprof=,9.672706, id=,S08, PRDE,actvstrat=,-0.381444, actvprof=,3.513913, id=,S09, PRDE,actvstrat=,0.243449, actvprof=,6.904631, best_B_id=,B03, best_B_prof=,1.776957, best_B_strat=,0.404599, best_S_id=,S07, best_S_prof=,9.672706, best_S_strat=,0.674402, 
t=,32400, id=,B00, PRDE,actvstrat=,0.364675, actvprof=,2.151508, id=,B01, PRDE,actvstrat=,-0.172944, actvprof=,1.665926, id=,B02, PRDE,actvstrat=,0.205035, actvprof=,1.977888, id=,B03, PRDE,actvstrat=,0.404599, actvprof=,2.109562, id=,B04, PRDE,actvstrat=,0.515456, actvprof=,2.245958, id=,B05, PRDE,actvstrat=,0.890193, actvprof=,1.964831, id=,B06, PRDE,actvstrat=,0.777859, actvprof=,2.282071, id=,B07, PRDE,actvstrat=,-0.632878, actvprof=,1.968998, id=,B08, PRDE,actvstrat=,-0.205830, actvprof=,1.456470, id=,B09, PRDE,actvstrat=,-0.681135, actvprof=,2.213456, id=,S00, PRDE,actvstrat=,0.531325, actvprof=,8.489916, id=,S01, PRDE,actvstrat=,-0.493931, actvprof=,3.426301, id=,S02, PRDE,actvstrat=,-0.006808, actvprof=,5.850325, id=,S03, PRDE,actvstrat=,0.453649, actvprof=,8.394911, id=,S04, PRDE,actvstrat=,0.859901, actvprof=,10.562809, id=,S05, PRDE,actvstrat=,-0.674382, actvprof=,2.549864, id=,S06, PRDE,actvstrat=,-0.909621, actvprof=,0.500028, id=,S07, PRDE,actvstrat=,0.599143, actvprof=,8.826879, id=,S08, PRDE,actvstrat=,-0.381444, actvprof=,3.136563, id=,S09, PRDE,actvstrat=,0.243449, actvprof=,7.119007, best_B_id=,B06, best_B_prof=,2.282071, best_B_strat=,0.777859, best_S_id=,S04, best_S_prof=,10.562809, best_S_strat=,0.859901, 
t=,36000, id=,B00, PRDE,actvstrat=,0.364675, actvprof=,2.005333, id=,B01, PRDE,actvstrat=,-0.172944, actvprof=,1.585877, id=,B02, PRDE,actvstrat=,0.205035, actvprof=,1.937554, id=,B03, PRDE,actvstrat=,0.404599, actvprof=,2.108531, id=,B04, PRDE,actvstrat=,0.515456, actvprof=,2.229367, id=,B05, PRDE,actvstrat=,0.890193, actvprof=,1.950471, id=,B06, PRDE,actvstrat=,0.777859, actvprof=,2.268813, id=,B07, PRDE,actvstrat=,-0.632878, actvprof=,1.993944, id=,B08, PRDE,actvstrat=,-0.205830, actvprof=,1.551571, id=,B09, PRDE,actvstrat=,-0.681135, actvprof=,2.277008, id=,S00, PRDE,actvstrat=,0.531325, actvprof=,8.685936, id=,S01, PRDE,actvstrat=,-0.493931, actvprof=,3.372871, id=,S02, PRDE,actvstrat=,-0.006808, actvprof=,5.911692, id=,S03, PRDE,actvstrat=,0.453649, actvprof=,8.339398, id=,S04, PRDE,actvstrat=,0.859901, actvprof=,10.739604, id=,S05, PRDE,actvstrat=,-0.674382, actvprof=,2.525765, id=,S06, PRDE,actvstrat=,-0.909621, actvprof=,0.520570, id=,S07, PRDE,actvstrat=,0.599143, actvprof=,9.074141, id=,S08, PRDE,actvstrat=,-0.381444, actvprof=,3.437873, id=,S09, PRDE,actvstrat=,0.243449, actvprof=,6.985888, best_B_id=,B09, best_B_prof=,2.277008, best_B_strat=,-0.681135, best_S_id=,S04, best_S_prof=,10.739604, best_S_strat=,0.859901, 
