t=,0, id=,B00, PRDE,actvstrat=,-0.596792, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.735316, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.198961, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.825643, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.605264, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.545743, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.900387, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.903216, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.458612, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.647062, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.744985, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.277179, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.232952, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.268582, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.786357, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.355001, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.482657, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.935293, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.939792, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.043328, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.596792, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.744985, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.596792, actvprof=,2.910556, id=,B01, PRDE,actvstrat=,0.735316, actvprof=,3.495556, id=,B02, PRDE,actvstrat=,0.198961, actvprof=,3.051667, id=,B03, PRDE,actvstrat=,0.825643, actvprof=,3.017222, id=,B04, PRDE,actvstrat=,-0.605264, actvprof=,3.118056, id=,B05, PRDE,actvstrat=,-0.545743, actvprof=,3.031667, id=,B06, PRDE,actvstrat=,-0.900387, actvprof=,4.414444, id=,B07, PRDE,actvstrat=,-0.903216, actvprof=,4.527222, id=,B08, PRDE,actvstrat=,-0.458612, actvprof=,2.891389, id=,B09, PRDE,actvstrat=,-0.647062, actvprof=,3.155000, id=,S00, PRDE,actvstrat=,0.744985, actvprof=,8.297778, id=,S01, PRDE,actvstrat=,0.277179, actvprof=,5.735278, id=,S02, PRDE,actvstrat=,0.232952, actvprof=,5.345556, id=,S03, PRDE,actvstrat=,0.268582, actvprof=,5.982778, id=,S04, PRDE,actvstrat=,0.786357, actvprof=,8.840833, id=,S05, PRDE,actvstrat=,-0.355001, actvprof=,2.371389, id=,S06, PRDE,actvstrat=,0.482657, actvprof=,6.926389, id=,S07, PRDE,actvstrat=,-0.935293, actvprof=,1.187222, id=,S08, PRDE,actvstrat=,0.939792, actvprof=,8.946667, id=,S09, PRDE,actvstrat=,0.043328, actvprof=,4.908889, best_B_id=,B07, best_B_prof=,4.527222, best_B_strat=,-0.903216, best_S_id=,S08, best_S_prof=,8.946667, best_S_strat=,0.939792, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.210917, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.305121, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.205666, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.442298, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.844501, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.582757, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.179091, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.875879, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.279634, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.311770, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.572013, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.532996, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.035274, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.874924, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.818840, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.388072, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.795648, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.855396, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.822013, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.093135, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.210917, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.572013, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.210917, actvprof=,0.962764, id=,B01, PRDE,actvstrat=,0.305121, actvprof=,1.319982, id=,B02, PRDE,actvstrat=,0.205666, actvprof=,1.224427, id=,B03, PRDE,actvstrat=,0.442298, actvprof=,1.553867, id=,B04, PRDE,actvstrat=,0.844501, actvprof=,1.584145, id=,B05, PRDE,actvstrat=,-0.582757, actvprof=,1.160817, id=,B06, PRDE,actvstrat=,-0.179091, actvprof=,0.863321, id=,B07, PRDE,actvstrat=,0.875879, actvprof=,1.414425, id=,B08, PRDE,actvstrat=,-0.279634, actvprof=,0.946931, id=,B09, PRDE,actvstrat=,-0.311770, actvprof=,0.928876, id=,S00, PRDE,actvstrat=,0.572013, actvprof=,9.482646, id=,S01, PRDE,actvstrat=,-0.532996, actvprof=,3.219400, id=,S02, PRDE,actvstrat=,-0.035274, actvprof=,5.946029, id=,S03, PRDE,actvstrat=,-0.874924, actvprof=,0.552770, id=,S04, PRDE,actvstrat=,-0.818840, actvprof=,1.476368, id=,S05, PRDE,actvstrat=,0.388072, actvprof=,8.672380, id=,S06, PRDE,actvstrat=,0.795648, actvprof=,10.992903, id=,S07, PRDE,actvstrat=,-0.855396, actvprof=,0.713046, id=,S08, PRDE,actvstrat=,-0.822013, actvprof=,1.274149, id=,S09, PRDE,actvstrat=,-0.093135, actvprof=,4.932154, best_B_id=,B04, best_B_prof=,1.584145, best_B_strat=,0.844501, best_S_id=,S06, best_S_prof=,10.992903, best_S_strat=,0.795648, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.292948, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.141284, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.532862, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.825643, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.844501, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.640249, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.060785, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.572626, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.211166, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.300268, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.385231, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.508836, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.035274, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.668213, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.866318, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.479635, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.795648, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.738459, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.076992, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.093135, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.292948, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.385231, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.292948, actvprof=,1.536667, id=,B01, PRDE,actvstrat=,-0.141284, actvprof=,1.567500, id=,B02, PRDE,actvstrat=,-0.532862, actvprof=,1.810556, id=,B03, PRDE,actvstrat=,0.825643, actvprof=,2.250278, id=,B04, PRDE,actvstrat=,0.844501, actvprof=,1.998611, id=,B05, PRDE,actvstrat=,0.640249, actvprof=,2.126111, id=,B06, PRDE,actvstrat=,-0.060785, actvprof=,1.558056, id=,B07, PRDE,actvstrat=,0.572626, actvprof=,2.337222, id=,B08, PRDE,actvstrat=,-0.211166, actvprof=,1.526111, id=,B09, PRDE,actvstrat=,0.300268, actvprof=,1.940000, id=,S00, PRDE,actvstrat=,-0.385231, actvprof=,3.658611, id=,S01, PRDE,actvstrat=,0.508836, actvprof=,8.913056, id=,S02, PRDE,actvstrat=,-0.035274, actvprof=,5.621111, id=,S03, PRDE,actvstrat=,0.668213, actvprof=,9.811111, id=,S04, PRDE,actvstrat=,-0.866318, actvprof=,0.800833, id=,S05, PRDE,actvstrat=,0.479635, actvprof=,8.090556, id=,S06, PRDE,actvstrat=,0.795648, actvprof=,10.321111, id=,S07, PRDE,actvstrat=,-0.738459, actvprof=,2.261111, id=,S08, PRDE,actvstrat=,-0.076992, actvprof=,5.100000, id=,S09, PRDE,actvstrat=,-0.093135, actvprof=,4.971389, best_B_id=,B07, best_B_prof=,2.337222, best_B_strat=,0.572626, best_S_id=,S06, best_S_prof=,10.321111, best_S_strat=,0.795648, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.859769, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.069907, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.361898, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.145891, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.753957, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.415331, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.443102, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.912941, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.458879, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.929816, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.161961, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.357645, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.972646, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.241830, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.295765, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.859769, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.859769, actvprof=,1.065015, id=,B01, PRDE,actvstrat=,0.069907, actvprof=,0.575008, id=,B02, PRDE,actvstrat=,-0.361898, actvprof=,0.440284, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.582230, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.502521, id=,B05, PRDE,actvstrat=,0.145891, actvprof=,0.721677, id=,B06, PRDE,actvstrat=,-0.753957, actvprof=,0.671120, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.377797, id=,B08, PRDE,actvstrat=,-0.415331, actvprof=,0.575008, id=,B09, PRDE,actvstrat=,-0.443102, actvprof=,0.538896, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.105057, id=,S01, PRDE,actvstrat=,-0.912941, actvprof=,0.483062, id=,S02, PRDE,actvstrat=,-0.458879, actvprof=,4.294226, id=,S03, PRDE,actvstrat=,-0.929816, actvprof=,0.441951, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.280726, id=,S05, PRDE,actvstrat=,-0.161961, actvprof=,4.898679, id=,S06, PRDE,actvstrat=,-0.357645, actvprof=,4.617009, id=,S07, PRDE,actvstrat=,-0.972646, actvprof=,0.578064, id=,S08, PRDE,actvstrat=,0.241830, actvprof=,8.012056, id=,S09, PRDE,actvstrat=,-0.295765, actvprof=,4.773677, best_B_id=,B04, best_B_prof=,1.502521, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,12.280726, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.859769, actvprof=,1.026674, id=,B01, PRDE,actvstrat=,0.069907, actvprof=,0.582643, id=,B02, PRDE,actvstrat=,-0.361898, actvprof=,0.429031, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.539309, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.549455, id=,B05, PRDE,actvstrat=,0.145891, actvprof=,0.686533, id=,B06, PRDE,actvstrat=,-0.753957, actvprof=,0.689033, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.333343, id=,B08, PRDE,actvstrat=,-0.415331, actvprof=,0.579171, id=,B09, PRDE,actvstrat=,-0.443102, actvprof=,0.498615, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.113501, id=,S01, PRDE,actvstrat=,-0.912941, actvprof=,0.440003, id=,S02, PRDE,actvstrat=,-0.458879, actvprof=,4.194890, id=,S03, PRDE,actvstrat=,-0.929816, actvprof=,0.353475, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.271196, id=,S05, PRDE,actvstrat=,-0.161961, actvprof=,5.073507, id=,S06, PRDE,actvstrat=,-0.357645, actvprof=,4.307808, id=,S07, PRDE,actvstrat=,-0.972646, actvprof=,0.571393, id=,S08, PRDE,actvstrat=,0.241830, actvprof=,8.081167, id=,S09, PRDE,actvstrat=,-0.295765, actvprof=,4.657393, best_B_id=,B04, best_B_prof=,1.549455, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,12.271196, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.859769, actvprof=,2.440068, id=,B01, PRDE,actvstrat=,0.735316, actvprof=,2.351732, id=,B02, PRDE,actvstrat=,0.976045, actvprof=,0.907247, id=,B03, PRDE,actvstrat=,0.295566, actvprof=,1.867830, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.144782, id=,B05, PRDE,actvstrat=,-0.545743, actvprof=,1.815884, id=,B06, PRDE,actvstrat=,-0.060785, actvprof=,1.581711, id=,B07, PRDE,actvstrat=,0.959212, actvprof=,1.109753, id=,B08, PRDE,actvstrat=,-0.073366, actvprof=,1.398094, id=,B09, PRDE,actvstrat=,0.300268, actvprof=,1.835884, id=,S00, PRDE,actvstrat=,0.572013, actvprof=,9.411928, id=,S01, PRDE,actvstrat=,-0.532996, actvprof=,3.497875, id=,S02, PRDE,actvstrat=,0.996670, actvprof=,11.376705, id=,S03, PRDE,actvstrat=,0.268582, actvprof=,7.640490, id=,S04, PRDE,actvstrat=,-0.333611, actvprof=,4.041223, id=,S05, PRDE,actvstrat=,-0.196842, actvprof=,4.407622, id=,S06, PRDE,actvstrat=,0.151428, actvprof=,6.946860, id=,S07, PRDE,actvstrat=,-0.683077, actvprof=,2.965638, id=,S08, PRDE,actvstrat=,0.241830, actvprof=,8.027445, id=,S09, PRDE,actvstrat=,0.792082, actvprof=,10.966971, best_B_id=,B00, best_B_prof=,2.440068, best_B_strat=,-0.859769, best_S_id=,S02, best_S_prof=,11.376705, best_S_strat=,0.996670, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.859769, actvprof=,2.548924, id=,B01, PRDE,actvstrat=,0.735316, actvprof=,2.331005, id=,B02, PRDE,actvstrat=,0.976045, actvprof=,0.951541, id=,B03, PRDE,actvstrat=,0.295566, actvprof=,1.850859, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,2.121974, id=,B05, PRDE,actvstrat=,-0.545743, actvprof=,1.773914, id=,B06, PRDE,actvstrat=,-0.060785, actvprof=,1.661968, id=,B07, PRDE,actvstrat=,0.959212, actvprof=,1.130432, id=,B08, PRDE,actvstrat=,-0.073366, actvprof=,1.512382, id=,B09, PRDE,actvstrat=,0.300268, actvprof=,1.865581, id=,S00, PRDE,actvstrat=,0.572013, actvprof=,9.666245, id=,S01, PRDE,actvstrat=,-0.532996, actvprof=,3.456437, id=,S02, PRDE,actvstrat=,0.996670, actvprof=,11.476687, id=,S03, PRDE,actvstrat=,0.268582, actvprof=,7.811914, id=,S04, PRDE,actvstrat=,-0.333611, actvprof=,3.921304, id=,S05, PRDE,actvstrat=,-0.196842, actvprof=,4.498535, id=,S06, PRDE,actvstrat=,0.151428, actvprof=,6.899540, id=,S07, PRDE,actvstrat=,-0.683077, actvprof=,3.009070, id=,S08, PRDE,actvstrat=,0.241830, actvprof=,7.664551, id=,S09, PRDE,actvstrat=,0.792082, actvprof=,11.059459, best_B_id=,B00, best_B_prof=,2.548924, best_B_strat=,-0.859769, best_S_id=,S02, best_S_prof=,11.476687, best_S_strat=,0.996670, 
