t=,0, id=,B00, PRDE,actvstrat=,0.397426, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.006459, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.433766, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.873996, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.306775, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.932762, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.048920, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.953385, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.964420, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.247568, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.864275, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.141383, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.251683, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.008387, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.754390, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.932597, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.504655, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.894887, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.343984, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.447842, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.397426, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.864275, 
t=,3600, id=,B00, PRDE,actvstrat=,0.397426, actvprof=,1.652755, id=,B01, PRDE,actvstrat=,-0.006459, actvprof=,1.317204, id=,B02, PRDE,actvstrat=,0.433766, actvprof=,1.656921, id=,B03, PRDE,actvstrat=,-0.873996, actvprof=,1.911640, id=,B04, PRDE,actvstrat=,-0.306775, actvprof=,1.087763, id=,B05, PRDE,actvstrat=,-0.932762, actvprof=,2.145248, id=,B06, PRDE,actvstrat=,-0.048920, actvprof=,1.287204, id=,B07, PRDE,actvstrat=,0.953385, actvprof=,1.221094, id=,B08, PRDE,actvstrat=,0.964420, actvprof=,1.021097, id=,B09, PRDE,actvstrat=,0.247568, actvprof=,1.689421, id=,S00, PRDE,actvstrat=,-0.864275, actvprof=,1.800808, id=,S01, PRDE,actvstrat=,0.141383, actvprof=,8.217664, id=,S02, PRDE,actvstrat=,-0.251683, actvprof=,5.967417, id=,S03, PRDE,actvstrat=,0.008387, actvprof=,7.784892, id=,S04, PRDE,actvstrat=,0.754390, actvprof=,11.265677, id=,S05, PRDE,actvstrat=,-0.932597, actvprof=,1.324704, id=,S06, PRDE,actvstrat=,0.504655, actvprof=,10.329301, id=,S07, PRDE,actvstrat=,-0.894887, actvprof=,1.457480, id=,S08, PRDE,actvstrat=,-0.343984, actvprof=,5.492146, id=,S09, PRDE,actvstrat=,-0.447842, actvprof=,5.479646, best_B_id=,B05, best_B_prof=,2.145248, best_B_strat=,-0.932762, best_S_id=,S04, best_S_prof=,11.265677, best_S_strat=,0.754390, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.355584, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.698334, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.824043, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.522273, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.165689, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.842148, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.191543, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.004551, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.985694, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.175023, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.915970, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.832412, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.605506, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.952629, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.600987, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.382135, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.006379, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.788565, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.089950, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.390471, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.355584, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.915970, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.355584, actvprof=,1.944140, id=,B01, PRDE,actvstrat=,-0.698334, actvprof=,2.786906, id=,B02, PRDE,actvstrat=,0.824043, actvprof=,2.463021, id=,B03, PRDE,actvstrat=,-0.522273, actvprof=,2.124693, id=,B04, PRDE,actvstrat=,0.165689, actvprof=,2.213025, id=,B05, PRDE,actvstrat=,-0.842148, actvprof=,3.148845, id=,B06, PRDE,actvstrat=,0.191543, actvprof=,2.214136, id=,B07, PRDE,actvstrat=,-0.004551, actvprof=,2.095526, id=,B08, PRDE,actvstrat=,0.985694, actvprof=,1.113596, id=,B09, PRDE,actvstrat=,-0.175023, actvprof=,1.895529, id=,S00, PRDE,actvstrat=,-0.915970, actvprof=,0.979709, id=,S01, PRDE,actvstrat=,-0.832412, actvprof=,1.369703, id=,S02, PRDE,actvstrat=,0.605506, actvprof=,8.742656, id=,S03, PRDE,actvstrat=,-0.952629, actvprof=,1.626366, id=,S04, PRDE,actvstrat=,0.600987, actvprof=,8.928765, id=,S05, PRDE,actvstrat=,0.382135, actvprof=,7.742115, id=,S06, PRDE,actvstrat=,0.006379, actvprof=,5.815475, id=,S07, PRDE,actvstrat=,0.788565, actvprof=,9.946529, id=,S08, PRDE,actvstrat=,-0.089950, actvprof=,5.311037, id=,S09, PRDE,actvstrat=,0.390471, actvprof=,8.181553, best_B_id=,B05, best_B_prof=,3.148845, best_B_strat=,-0.842148, best_S_id=,S07, best_S_prof=,9.946529, best_S_strat=,0.788565, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.598118, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.174585, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.824043, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.845530, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.165689, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.500562, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.989546, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.004551, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.612495, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.549948, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.695650, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.780943, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.605506, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.458960, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.791941, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.170050, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.052374, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.578509, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.089950, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.734939, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.598118, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.695650, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.598118, actvprof=,2.111667, id=,B01, PRDE,actvstrat=,0.174585, actvprof=,1.810556, id=,B02, PRDE,actvstrat=,0.824043, actvprof=,2.170556, id=,B03, PRDE,actvstrat=,-0.845530, actvprof=,2.916944, id=,B04, PRDE,actvstrat=,0.165689, actvprof=,1.906111, id=,B05, PRDE,actvstrat=,-0.500562, actvprof=,1.850833, id=,B06, PRDE,actvstrat=,0.989546, actvprof=,0.726111, id=,B07, PRDE,actvstrat=,-0.004551, actvprof=,1.632778, id=,B08, PRDE,actvstrat=,0.612495, actvprof=,2.417222, id=,B09, PRDE,actvstrat=,0.549948, actvprof=,2.231667, id=,S00, PRDE,actvstrat=,0.695650, actvprof=,10.105000, id=,S01, PRDE,actvstrat=,-0.780943, actvprof=,1.589722, id=,S02, PRDE,actvstrat=,0.605506, actvprof=,9.468611, id=,S03, PRDE,actvstrat=,-0.458960, actvprof=,3.351667, id=,S04, PRDE,actvstrat=,0.791941, actvprof=,10.575278, id=,S05, PRDE,actvstrat=,0.170050, actvprof=,7.029167, id=,S06, PRDE,actvstrat=,-0.052374, actvprof=,5.499722, id=,S07, PRDE,actvstrat=,-0.578509, actvprof=,3.026944, id=,S08, PRDE,actvstrat=,-0.089950, actvprof=,4.976944, id=,S09, PRDE,actvstrat=,0.734939, actvprof=,10.158056, best_B_id=,B03, best_B_prof=,2.916944, best_B_strat=,-0.845530, best_S_id=,S04, best_S_prof=,10.575278, best_S_strat=,0.791941, 
t=,21600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.267842, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.671326, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.560608, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.087303, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.486802, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.266556, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.184695, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.757944, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.153286, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.228333, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.207222, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.388889, id=,B03, PRDE,actvstrat=,-0.267842, actvprof=,0.630556, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.415000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.246667, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.191944, id=,B07, PRDE,actvstrat=,-0.671326, actvprof=,0.772222, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.205000, id=,B09, PRDE,actvstrat=,0.560608, actvprof=,0.641111, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,14.080833, id=,S01, PRDE,actvstrat=,-0.087303, actvprof=,6.992500, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.258889, id=,S03, PRDE,actvstrat=,-0.486802, actvprof=,4.914167, id=,S04, PRDE,actvstrat=,-0.266556, actvprof=,5.426111, id=,S05, PRDE,actvstrat=,0.184695, actvprof=,9.399722, id=,S06, PRDE,actvstrat=,-0.757944, actvprof=,3.101111, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,14.345833, id=,S08, PRDE,actvstrat=,0.153286, actvprof=,9.966667, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,14.387222, best_B_id=,B07, best_B_prof=,0.772222, best_B_strat=,-0.671326, best_S_id=,S09, best_S_prof=,14.387222, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.244167, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.227500, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.400278, id=,B03, PRDE,actvstrat=,-0.267842, actvprof=,0.604444, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.423472, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.254722, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.243333, id=,B07, PRDE,actvstrat=,-0.671326, actvprof=,0.846250, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.202778, id=,B09, PRDE,actvstrat=,0.560608, actvprof=,0.764306, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,14.141389, id=,S01, PRDE,actvstrat=,-0.087303, actvprof=,7.139167, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.266806, id=,S03, PRDE,actvstrat=,-0.486802, actvprof=,5.064028, id=,S04, PRDE,actvstrat=,-0.266556, actvprof=,5.419861, id=,S05, PRDE,actvstrat=,0.184695, actvprof=,9.461111, id=,S06, PRDE,actvstrat=,-0.757944, actvprof=,3.075833, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,14.343889, id=,S08, PRDE,actvstrat=,0.153286, actvprof=,9.513056, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,14.352500, best_B_id=,B07, best_B_prof=,0.846250, best_B_strat=,-0.671326, best_S_id=,S09, best_S_prof=,14.352500, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.355584, actvprof=,2.239816, id=,B01, PRDE,actvstrat=,0.475028, actvprof=,2.799006, id=,B02, PRDE,actvstrat=,0.824043, actvprof=,2.767893, id=,B03, PRDE,actvstrat=,-0.522273, actvprof=,2.356209, id=,B04, PRDE,actvstrat=,-0.295140, actvprof=,2.283151, id=,B05, PRDE,actvstrat=,-0.842148, actvprof=,3.791269, id=,B06, PRDE,actvstrat=,0.191543, actvprof=,2.812895, id=,B07, PRDE,actvstrat=,-0.099242, actvprof=,2.560662, id=,B08, PRDE,actvstrat=,-0.288636, actvprof=,2.521494, id=,B09, PRDE,actvstrat=,0.259034, actvprof=,2.625109, id=,S00, PRDE,actvstrat=,-0.045562, actvprof=,4.449074, id=,S01, PRDE,actvstrat=,0.141383, actvprof=,5.650235, id=,S02, PRDE,actvstrat=,0.512381, actvprof=,7.043071, id=,S03, PRDE,actvstrat=,-0.714839, actvprof=,1.757295, id=,S04, PRDE,actvstrat=,0.600987, actvprof=,7.829215, id=,S05, PRDE,actvstrat=,0.184695, actvprof=,5.987472, id=,S06, PRDE,actvstrat=,0.592245, actvprof=,7.986999, id=,S07, PRDE,actvstrat=,0.113789, actvprof=,5.239385, id=,S08, PRDE,actvstrat=,-0.041206, actvprof=,4.669083, id=,S09, PRDE,actvstrat=,0.221250, actvprof=,6.078587, best_B_id=,B05, best_B_prof=,3.791269, best_B_strat=,-0.842148, best_S_id=,S06, best_S_prof=,7.986999, best_S_strat=,0.592245, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.355584, actvprof=,2.292826, id=,B01, PRDE,actvstrat=,0.475028, actvprof=,2.992285, id=,B02, PRDE,actvstrat=,0.824043, actvprof=,2.794086, id=,B03, PRDE,actvstrat=,-0.522273, actvprof=,2.569776, id=,B04, PRDE,actvstrat=,-0.295140, actvprof=,2.304631, id=,B05, PRDE,actvstrat=,-0.842148, actvprof=,3.650632, id=,B06, PRDE,actvstrat=,0.191543, actvprof=,2.680473, id=,B07, PRDE,actvstrat=,-0.099242, actvprof=,2.445884, id=,B08, PRDE,actvstrat=,-0.288636, actvprof=,2.397272, id=,B09, PRDE,actvstrat=,0.259034, actvprof=,2.657000, id=,S00, PRDE,actvstrat=,-0.045562, actvprof=,4.397592, id=,S01, PRDE,actvstrat=,0.141383, actvprof=,5.515532, id=,S02, PRDE,actvstrat=,0.512381, actvprof=,7.032230, id=,S03, PRDE,actvstrat=,-0.714839, actvprof=,1.742120, id=,S04, PRDE,actvstrat=,0.600987, actvprof=,7.843497, id=,S05, PRDE,actvstrat=,0.184695, actvprof=,5.783732, id=,S06, PRDE,actvstrat=,0.592245, actvprof=,7.745022, id=,S07, PRDE,actvstrat=,0.113789, actvprof=,5.148857, id=,S08, PRDE,actvstrat=,-0.041206, actvprof=,4.537872, id=,S09, PRDE,actvstrat=,0.221250, actvprof=,6.203740, best_B_id=,B05, best_B_prof=,3.650632, best_B_strat=,-0.842148, best_S_id=,S04, best_S_prof=,7.843497, best_S_strat=,0.600987, 
