t=,0, id=,B00, PRDE,actvstrat=,-0.406913, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.260164, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.424552, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.278323, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.849446, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.400147, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.517620, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.832610, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.223224, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.929052, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.356155, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.544066, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.623067, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.015435, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.257580, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.844647, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.080017, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.774441, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.276943, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.627235, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.406913, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.356155, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.406913, actvprof=,2.819644, id=,B01, PRDE,actvstrat=,-0.260164, actvprof=,2.811589, id=,B02, PRDE,actvstrat=,0.424552, actvprof=,3.165190, id=,B03, PRDE,actvstrat=,-0.278323, actvprof=,2.697981, id=,B04, PRDE,actvstrat=,0.849446, actvprof=,2.802978, id=,B05, PRDE,actvstrat=,0.400147, actvprof=,3.010750, id=,B06, PRDE,actvstrat=,0.517620, actvprof=,3.513236, id=,B07, PRDE,actvstrat=,-0.832610, actvprof=,3.817672, id=,B08, PRDE,actvstrat=,0.223224, actvprof=,2.987417, id=,B09, PRDE,actvstrat=,-0.929052, actvprof=,3.855448, id=,S00, PRDE,actvstrat=,0.356155, actvprof=,7.153135, id=,S01, PRDE,actvstrat=,0.544066, actvprof=,7.731174, id=,S02, PRDE,actvstrat=,0.623067, actvprof=,8.060887, id=,S03, PRDE,actvstrat=,-0.015435, actvprof=,5.575956, id=,S04, PRDE,actvstrat=,0.257580, actvprof=,6.392600, id=,S05, PRDE,actvstrat=,0.844647, actvprof=,9.547790, id=,S06, PRDE,actvstrat=,-0.080017, actvprof=,4.365990, id=,S07, PRDE,actvstrat=,0.774441, actvprof=,8.953362, id=,S08, PRDE,actvstrat=,-0.276943, actvprof=,3.479903, id=,S09, PRDE,actvstrat=,-0.627235, actvprof=,2.987973, best_B_id=,B09, best_B_prof=,3.855448, best_B_strat=,-0.929052, best_S_id=,S05, best_S_prof=,9.547790, best_S_strat=,0.844647, 
t=,7200, id=,B00, PRDE,actvstrat=,0.419929, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.551386, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.477864, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.090274, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.711148, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.505283, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.379128, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.585531, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.359662, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.901144, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.641916, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.409934, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.551014, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.609918, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.512069, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.128947, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.123310, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.245242, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.837749, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.397093, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.419929, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.641916, 
t=,10800, id=,B00, PRDE,actvstrat=,0.419929, actvprof=,2.576389, id=,B01, PRDE,actvstrat=,-0.551386, actvprof=,2.218333, id=,B02, PRDE,actvstrat=,-0.477864, actvprof=,2.313889, id=,B03, PRDE,actvstrat=,0.090274, actvprof=,2.297778, id=,B04, PRDE,actvstrat=,-0.711148, actvprof=,2.898611, id=,B05, PRDE,actvstrat=,-0.505283, actvprof=,2.156389, id=,B06, PRDE,actvstrat=,0.379128, actvprof=,2.829444, id=,B07, PRDE,actvstrat=,0.585531, actvprof=,2.875278, id=,B08, PRDE,actvstrat=,0.359662, actvprof=,2.929167, id=,B09, PRDE,actvstrat=,-0.901144, actvprof=,3.310000, id=,S00, PRDE,actvstrat=,0.641916, actvprof=,8.766111, id=,S01, PRDE,actvstrat=,-0.409934, actvprof=,2.619444, id=,S02, PRDE,actvstrat=,0.551014, actvprof=,7.855833, id=,S03, PRDE,actvstrat=,0.609918, actvprof=,8.058889, id=,S04, PRDE,actvstrat=,0.512069, actvprof=,7.592778, id=,S05, PRDE,actvstrat=,-0.128947, actvprof=,4.102222, id=,S06, PRDE,actvstrat=,-0.123310, actvprof=,3.761389, id=,S07, PRDE,actvstrat=,0.245242, actvprof=,6.352778, id=,S08, PRDE,actvstrat=,-0.837749, actvprof=,1.057500, id=,S09, PRDE,actvstrat=,0.397093, actvprof=,6.827778, best_B_id=,B09, best_B_prof=,3.310000, best_B_strat=,-0.901144, best_S_id=,S00, best_S_prof=,8.766111, best_S_strat=,0.641916, 
t=,14400, id=,B00, PRDE,actvstrat=,0.419929, actvprof=,2.494028, id=,B01, PRDE,actvstrat=,-0.551386, actvprof=,2.250694, id=,B02, PRDE,actvstrat=,-0.477864, actvprof=,2.279861, id=,B03, PRDE,actvstrat=,0.090274, actvprof=,2.237778, id=,B04, PRDE,actvstrat=,-0.711148, actvprof=,2.795694, id=,B05, PRDE,actvstrat=,-0.505283, actvprof=,2.225139, id=,B06, PRDE,actvstrat=,0.379128, actvprof=,2.703889, id=,B07, PRDE,actvstrat=,0.585531, actvprof=,2.913056, id=,B08, PRDE,actvstrat=,0.359662, actvprof=,2.754028, id=,B09, PRDE,actvstrat=,-0.901144, actvprof=,3.400833, id=,S00, PRDE,actvstrat=,0.641916, actvprof=,8.405417, id=,S01, PRDE,actvstrat=,-0.409934, actvprof=,2.804167, id=,S02, PRDE,actvstrat=,0.551014, actvprof=,7.856667, id=,S03, PRDE,actvstrat=,0.609918, actvprof=,7.882500, id=,S04, PRDE,actvstrat=,0.512069, actvprof=,7.491944, id=,S05, PRDE,actvstrat=,-0.128947, actvprof=,3.881667, id=,S06, PRDE,actvstrat=,-0.123310, actvprof=,3.681528, id=,S07, PRDE,actvstrat=,0.245242, actvprof=,6.221389, id=,S08, PRDE,actvstrat=,-0.837749, actvprof=,1.069306, id=,S09, PRDE,actvstrat=,0.397093, actvprof=,7.039306, best_B_id=,B09, best_B_prof=,3.400833, best_B_strat=,-0.901144, best_S_id=,S00, best_S_prof=,8.405417, best_S_strat=,0.641916, 
t=,18000, id=,B00, PRDE,actvstrat=,0.419929, actvprof=,2.965041, id=,B01, PRDE,actvstrat=,-0.002505, actvprof=,2.688648, id=,B02, PRDE,actvstrat=,-0.477864, actvprof=,2.866706, id=,B03, PRDE,actvstrat=,0.864564, actvprof=,2.800872, id=,B04, PRDE,actvstrat=,-0.174816, actvprof=,2.660037, id=,B05, PRDE,actvstrat=,0.320242, actvprof=,2.857817, id=,B06, PRDE,actvstrat=,0.186762, actvprof=,2.969208, id=,B07, PRDE,actvstrat=,-0.364025, actvprof=,2.531146, id=,B08, PRDE,actvstrat=,0.401685, actvprof=,3.044765, id=,B09, PRDE,actvstrat=,-0.901144, actvprof=,3.547827, id=,S00, PRDE,actvstrat=,-0.977867, actvprof=,2.388922, id=,S01, PRDE,actvstrat=,0.705192, actvprof=,8.666509, id=,S02, PRDE,actvstrat=,0.551014, actvprof=,7.568438, id=,S03, PRDE,actvstrat=,0.609918, actvprof=,7.994555, id=,S04, PRDE,actvstrat=,0.479116, actvprof=,7.349547, id=,S05, PRDE,actvstrat=,-0.551514, actvprof=,2.775316, id=,S06, PRDE,actvstrat=,0.257103, actvprof=,5.951194, id=,S07, PRDE,actvstrat=,0.596156, actvprof=,7.981500, id=,S08, PRDE,actvstrat=,0.009120, actvprof=,5.578966, id=,S09, PRDE,actvstrat=,0.077716, actvprof=,5.392019, best_B_id=,B09, best_B_prof=,3.547827, best_B_strat=,-0.901144, best_S_id=,S01, best_S_prof=,8.666509, best_S_strat=,0.705192, 
t=,21600, id=,B00, PRDE,actvstrat=,0.419929, actvprof=,3.044327, id=,B01, PRDE,actvstrat=,-0.002505, actvprof=,2.608074, id=,B02, PRDE,actvstrat=,-0.477864, actvprof=,2.847103, id=,B03, PRDE,actvstrat=,0.864564, actvprof=,2.774186, id=,B04, PRDE,actvstrat=,-0.174816, actvprof=,2.556407, id=,B05, PRDE,actvstrat=,0.320242, actvprof=,2.929187, id=,B06, PRDE,actvstrat=,0.186762, actvprof=,2.877520, id=,B07, PRDE,actvstrat=,-0.364025, actvprof=,2.550018, id=,B08, PRDE,actvstrat=,0.401685, actvprof=,3.078077, id=,B09, PRDE,actvstrat=,-0.901144, actvprof=,3.625442, id=,S00, PRDE,actvstrat=,-0.977867, actvprof=,2.391822, id=,S01, PRDE,actvstrat=,0.705192, actvprof=,8.594226, id=,S02, PRDE,actvstrat=,0.551014, actvprof=,7.683248, id=,S03, PRDE,actvstrat=,0.609918, actvprof=,7.910194, id=,S04, PRDE,actvstrat=,0.479116, actvprof=,7.260884, id=,S05, PRDE,actvstrat=,-0.551514, actvprof=,2.682380, id=,S06, PRDE,actvstrat=,0.257103, actvprof=,6.034070, id=,S07, PRDE,actvstrat=,0.596156, actvprof=,7.915333, id=,S08, PRDE,actvstrat=,0.009120, actvprof=,5.635178, id=,S09, PRDE,actvstrat=,0.077716, actvprof=,5.380732, best_B_id=,B09, best_B_prof=,3.625442, best_B_strat=,-0.901144, best_S_id=,S01, best_S_prof=,8.594226, best_S_strat=,0.705192, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.488619, actvprof=,3.099210, id=,B01, PRDE,actvstrat=,-0.731650, actvprof=,3.866720, id=,B02, PRDE,actvstrat=,-0.837993, actvprof=,4.160613, id=,B03, PRDE,actvstrat=,0.464760, actvprof=,3.158099, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.516966, id=,B05, PRDE,actvstrat=,-0.432626, actvprof=,2.719760, id=,B06, PRDE,actvstrat=,-0.834622, actvprof=,4.233392, id=,B07, PRDE,actvstrat=,0.316376, actvprof=,3.164766, id=,B08, PRDE,actvstrat=,0.046741, actvprof=,2.754483, id=,B09, PRDE,actvstrat=,-0.026453, actvprof=,2.708371, id=,S00, PRDE,actvstrat=,0.203391, actvprof=,5.773969, id=,S01, PRDE,actvstrat=,-0.954535, actvprof=,1.423353, id=,S02, PRDE,actvstrat=,0.790574, actvprof=,8.827067, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.139849, id=,S04, PRDE,actvstrat=,-0.148583, actvprof=,3.656717, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.144849, id=,S06, PRDE,actvstrat=,0.599335, actvprof=,8.122335, id=,S07, PRDE,actvstrat=,-0.990807, actvprof=,3.436714, id=,S08, PRDE,actvstrat=,-0.009405, actvprof=,4.943958, id=,S09, PRDE,actvstrat=,0.047957, actvprof=,5.105626, best_B_id=,B06, best_B_prof=,4.233392, best_B_strat=,-0.834622, best_S_id=,S05, best_S_prof=,9.144849, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.488619, actvprof=,2.961152, id=,B01, PRDE,actvstrat=,-0.731650, actvprof=,3.736996, id=,B02, PRDE,actvstrat=,-0.837993, actvprof=,3.995194, id=,B03, PRDE,actvstrat=,0.464760, actvprof=,3.147683, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.368213, id=,B05, PRDE,actvstrat=,-0.432626, actvprof=,2.689760, id=,B06, PRDE,actvstrat=,-0.834622, actvprof=,4.213670, id=,B07, PRDE,actvstrat=,0.316376, actvprof=,3.058098, id=,B08, PRDE,actvstrat=,0.046741, actvprof=,2.722538, id=,B09, PRDE,actvstrat=,-0.026453, actvprof=,2.728093, id=,S00, PRDE,actvstrat=,0.203391, actvprof=,5.796886, id=,S01, PRDE,actvstrat=,-0.954535, actvprof=,1.275157, id=,S02, PRDE,actvstrat=,0.790574, actvprof=,8.875818, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.314018, id=,S04, PRDE,actvstrat=,-0.148583, actvprof=,3.563244, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.108043, id=,S06, PRDE,actvstrat=,0.599335, actvprof=,8.158724, id=,S07, PRDE,actvstrat=,-0.990807, actvprof=,3.098654, id=,S08, PRDE,actvstrat=,-0.009405, actvprof=,5.058542, id=,S09, PRDE,actvstrat=,0.047957, actvprof=,5.097432, best_B_id=,B06, best_B_prof=,4.213670, best_B_strat=,-0.834622, best_S_id=,S03, best_S_prof=,9.314018, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.045139, actvprof=,2.284230, id=,B01, PRDE,actvstrat=,0.777850, actvprof=,2.818689, id=,B02, PRDE,actvstrat=,-0.405109, actvprof=,2.384511, id=,B03, PRDE,actvstrat=,-0.861019, actvprof=,3.515375, id=,B04, PRDE,actvstrat=,0.971850, actvprof=,1.543376, id=,B05, PRDE,actvstrat=,-0.155410, actvprof=,2.241173, id=,B06, PRDE,actvstrat=,-0.050281, actvprof=,2.071724, id=,B07, PRDE,actvstrat=,0.585531, actvprof=,2.637295, id=,B08, PRDE,actvstrat=,0.046741, actvprof=,2.189505, id=,B09, PRDE,actvstrat=,-0.026453, actvprof=,2.119503, id=,S00, PRDE,actvstrat=,-0.966199, actvprof=,1.755327, id=,S01, PRDE,actvstrat=,0.544066, actvprof=,8.435790, id=,S02, PRDE,actvstrat=,0.314574, actvprof=,6.944637, id=,S03, PRDE,actvstrat=,0.392122, actvprof=,7.604656, id=,S04, PRDE,actvstrat=,0.079642, actvprof=,5.684047, id=,S05, PRDE,actvstrat=,0.844647, actvprof=,10.338065, id=,S06, PRDE,actvstrat=,0.599335, actvprof=,8.743576, id=,S07, PRDE,actvstrat=,0.596156, actvprof=,8.359954, id=,S08, PRDE,actvstrat=,-0.826927, actvprof=,1.187255, id=,S09, PRDE,actvstrat=,-0.388432, actvprof=,3.188144, best_B_id=,B03, best_B_prof=,3.515375, best_B_strat=,-0.861019, best_S_id=,S05, best_S_prof=,10.338065, best_S_strat=,0.844647, 
t=,36000, id=,B00, PRDE,actvstrat=,0.045139, actvprof=,2.216852, id=,B01, PRDE,actvstrat=,0.777850, actvprof=,2.776169, id=,B02, PRDE,actvstrat=,-0.405109, actvprof=,2.259353, id=,B03, PRDE,actvstrat=,-0.861019, actvprof=,3.552713, id=,B04, PRDE,actvstrat=,0.971850, actvprof=,1.377529, id=,B05, PRDE,actvstrat=,-0.155410, actvprof=,2.215463, id=,B06, PRDE,actvstrat=,-0.050281, actvprof=,2.145739, id=,B07, PRDE,actvstrat=,0.585531, actvprof=,2.750474, id=,B08, PRDE,actvstrat=,0.046741, actvprof=,2.179768, id=,B09, PRDE,actvstrat=,-0.026453, actvprof=,2.132267, id=,S00, PRDE,actvstrat=,-0.966199, actvprof=,1.761148, id=,S01, PRDE,actvstrat=,0.544066, actvprof=,8.436009, id=,S02, PRDE,actvstrat=,0.314574, actvprof=,6.997646, id=,S03, PRDE,actvstrat=,0.392122, actvprof=,7.508073, id=,S04, PRDE,actvstrat=,0.079642, actvprof=,5.794565, id=,S05, PRDE,actvstrat=,0.844647, actvprof=,10.245075, id=,S06, PRDE,actvstrat=,0.599335, actvprof=,8.906991, id=,S07, PRDE,actvstrat=,0.596156, actvprof=,8.550039, id=,S08, PRDE,actvstrat=,-0.826927, actvprof=,1.160580, id=,S09, PRDE,actvstrat=,-0.388432, actvprof=,3.457572, best_B_id=,B03, best_B_prof=,3.552713, best_B_strat=,-0.861019, best_S_id=,S05, best_S_prof=,10.245075, best_S_strat=,0.844647, 
