t=,0, id=,B00, PRDE,actvstrat=,0.479116, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.292441, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.257166, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.405141, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.802323, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.607159, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.522644, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.022105, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.663312, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.539934, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.348231, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.471252, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.524945, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.767643, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.144650, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.912524, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.699533, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.921260, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.785534, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.328870, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.479116, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.348231, 
t=,3600, id=,B00, PRDE,actvstrat=,0.479116, actvprof=,1.503333, id=,B01, PRDE,actvstrat=,0.292441, actvprof=,1.217778, id=,B02, PRDE,actvstrat=,0.257166, actvprof=,1.208333, id=,B03, PRDE,actvstrat=,-0.405141, actvprof=,0.703611, id=,B04, PRDE,actvstrat=,0.802323, actvprof=,1.682778, id=,B05, PRDE,actvstrat=,-0.607159, actvprof=,1.082222, id=,B06, PRDE,actvstrat=,-0.522644, actvprof=,0.985000, id=,B07, PRDE,actvstrat=,0.022105, actvprof=,0.982778, id=,B08, PRDE,actvstrat=,-0.663312, actvprof=,1.040000, id=,B09, PRDE,actvstrat=,-0.539934, actvprof=,1.094444, id=,S00, PRDE,actvstrat=,-0.348231, actvprof=,3.571389, id=,S01, PRDE,actvstrat=,-0.471252, actvprof=,3.472500, id=,S02, PRDE,actvstrat=,-0.524945, actvprof=,3.140000, id=,S03, PRDE,actvstrat=,-0.767643, actvprof=,1.884444, id=,S04, PRDE,actvstrat=,0.144650, actvprof=,6.856389, id=,S05, PRDE,actvstrat=,0.912524, actvprof=,11.241111, id=,S06, PRDE,actvstrat=,-0.699533, actvprof=,2.703056, id=,S07, PRDE,actvstrat=,-0.921260, actvprof=,0.355000, id=,S08, PRDE,actvstrat=,-0.785534, actvprof=,1.416667, id=,S09, PRDE,actvstrat=,-0.328870, actvprof=,3.814722, best_B_id=,B04, best_B_prof=,1.682778, best_B_strat=,0.802323, best_S_id=,S05, best_S_prof=,11.241111, best_S_strat=,0.912524, 
t=,7200, id=,B00, PRDE,actvstrat=,0.936353, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.024676, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.273124, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.250957, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.926934, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.497104, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.211479, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.624807, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.762218, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.413723, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.549326, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.336050, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.316100, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.728863, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.754048, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.081120, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.531571, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.928527, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.126786, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.786840, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.936353, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.549326, 
t=,10800, id=,B00, PRDE,actvstrat=,0.936353, actvprof=,1.367146, id=,B01, PRDE,actvstrat=,0.024676, actvprof=,1.533526, id=,B02, PRDE,actvstrat=,0.273124, actvprof=,1.794623, id=,B03, PRDE,actvstrat=,-0.250957, actvprof=,1.283262, id=,B04, PRDE,actvstrat=,-0.926934, actvprof=,2.682629, id=,B05, PRDE,actvstrat=,0.497104, actvprof=,1.915727, id=,B06, PRDE,actvstrat=,-0.211479, actvprof=,1.409088, id=,B07, PRDE,actvstrat=,0.624807, actvprof=,2.161269, id=,B08, PRDE,actvstrat=,-0.762218, actvprof=,2.075996, id=,B09, PRDE,actvstrat=,0.413723, actvprof=,1.848508, id=,S00, PRDE,actvstrat=,-0.549326, actvprof=,3.559802, id=,S01, PRDE,actvstrat=,-0.336050, actvprof=,3.544525, id=,S02, PRDE,actvstrat=,-0.316100, actvprof=,3.548414, id=,S03, PRDE,actvstrat=,-0.728863, actvprof=,2.211266, id=,S04, PRDE,actvstrat=,0.754048, actvprof=,10.213044, id=,S05, PRDE,actvstrat=,-0.081120, actvprof=,5.078885, id=,S06, PRDE,actvstrat=,-0.531571, actvprof=,2.977335, id=,S07, PRDE,actvstrat=,0.928527, actvprof=,10.711627, id=,S08, PRDE,actvstrat=,0.126786, actvprof=,6.497972, id=,S09, PRDE,actvstrat=,0.786840, actvprof=,10.781068, best_B_id=,B04, best_B_prof=,2.682629, best_B_strat=,-0.926934, best_S_id=,S09, best_S_prof=,10.781068, best_S_strat=,0.786840, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.065037, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.024676, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.273124, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.250957, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.483348, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.267646, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.476239, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.330629, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.712762, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.413723, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.279934, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.175641, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.316100, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.974239, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.754048, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.734954, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.359693, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.352065, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.126786, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.786840, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.065037, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.279934, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.065037, actvprof=,3.711337, id=,B01, PRDE,actvstrat=,0.024676, actvprof=,2.870793, id=,B02, PRDE,actvstrat=,0.273124, actvprof=,3.703837, id=,B03, PRDE,actvstrat=,-0.250957, actvprof=,3.596339, id=,B04, PRDE,actvstrat=,0.483348, actvprof=,3.511896, id=,B05, PRDE,actvstrat=,-0.267646, actvprof=,3.078846, id=,B06, PRDE,actvstrat=,0.476239, actvprof=,3.706893, id=,B07, PRDE,actvstrat=,-0.330629, actvprof=,3.454674, id=,B08, PRDE,actvstrat=,0.712762, actvprof=,3.294676, id=,B09, PRDE,actvstrat=,0.413723, actvprof=,3.519673, id=,S00, PRDE,actvstrat=,-0.279934, actvprof=,2.548853, id=,S01, PRDE,actvstrat=,0.175641, actvprof=,5.668532, id=,S02, PRDE,actvstrat=,-0.316100, actvprof=,2.682463, id=,S03, PRDE,actvstrat=,0.974239, actvprof=,8.831544, id=,S04, PRDE,actvstrat=,0.754048, actvprof=,8.516826, id=,S05, PRDE,actvstrat=,0.734954, actvprof=,8.306274, id=,S06, PRDE,actvstrat=,0.359693, actvprof=,6.277691, id=,S07, PRDE,actvstrat=,0.352065, actvprof=,6.565464, id=,S08, PRDE,actvstrat=,0.126786, actvprof=,5.734365, id=,S09, PRDE,actvstrat=,0.786840, actvprof=,8.573214, best_B_id=,B00, best_B_prof=,3.711337, best_B_strat=,-0.065037, best_S_id=,S03, best_S_prof=,8.831544, best_S_strat=,0.974239, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.065037, actvprof=,3.443194, id=,B01, PRDE,actvstrat=,0.024676, actvprof=,3.061667, id=,B02, PRDE,actvstrat=,0.273124, actvprof=,3.469167, id=,B03, PRDE,actvstrat=,-0.250957, actvprof=,3.479722, id=,B04, PRDE,actvstrat=,0.483348, actvprof=,3.575694, id=,B05, PRDE,actvstrat=,-0.267646, actvprof=,3.348472, id=,B06, PRDE,actvstrat=,0.476239, actvprof=,3.702083, id=,B07, PRDE,actvstrat=,-0.330629, actvprof=,3.290000, id=,B08, PRDE,actvstrat=,0.712762, actvprof=,3.488333, id=,B09, PRDE,actvstrat=,0.413723, actvprof=,3.522639, id=,S00, PRDE,actvstrat=,-0.279934, actvprof=,2.795833, id=,S01, PRDE,actvstrat=,0.175641, actvprof=,5.522222, id=,S02, PRDE,actvstrat=,-0.316100, actvprof=,2.772083, id=,S03, PRDE,actvstrat=,0.974239, actvprof=,8.697361, id=,S04, PRDE,actvstrat=,0.754048, actvprof=,8.635000, id=,S05, PRDE,actvstrat=,0.734954, actvprof=,8.185000, id=,S06, PRDE,actvstrat=,0.359693, actvprof=,6.349167, id=,S07, PRDE,actvstrat=,0.352065, actvprof=,6.522361, id=,S08, PRDE,actvstrat=,0.126786, actvprof=,5.642361, id=,S09, PRDE,actvstrat=,0.786840, actvprof=,8.564306, best_B_id=,B06, best_B_prof=,3.702083, best_B_strat=,0.476239, best_S_id=,S03, best_S_prof=,8.697361, best_S_strat=,0.974239, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.306965, actvprof=,1.651111, id=,B01, PRDE,actvstrat=,-0.153977, actvprof=,1.762778, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.249444, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.269722, id=,B04, PRDE,actvstrat=,0.431777, actvprof=,1.894444, id=,B05, PRDE,actvstrat=,-0.998320, actvprof=,1.575000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.368889, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.348889, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.320556, id=,B09, PRDE,actvstrat=,-0.449346, actvprof=,1.835278, id=,S00, PRDE,actvstrat=,-0.021004, actvprof=,6.680556, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.486667, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.610556, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.167222, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.691944, id=,S05, PRDE,actvstrat=,-0.432326, actvprof=,4.389167, id=,S06, PRDE,actvstrat=,0.871340, actvprof=,11.638611, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,6.619167, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.053611, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,6.653056, best_B_id=,B04, best_B_prof=,1.894444, best_B_strat=,0.431777, best_S_id=,S06, best_S_prof=,11.638611, best_S_strat=,0.871340, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.306965, actvprof=,1.697790, id=,B01, PRDE,actvstrat=,-0.153977, actvprof=,1.660706, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.192647, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.259592, id=,B04, PRDE,actvstrat=,0.431777, actvprof=,1.997097, id=,B05, PRDE,actvstrat=,-0.998320, actvprof=,1.585011, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.285287, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.318759, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.297926, id=,B09, PRDE,actvstrat=,-0.449346, actvprof=,1.760568, id=,S00, PRDE,actvstrat=,-0.021004, actvprof=,6.673657, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.143383, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.607025, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.132411, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.779908, id=,S05, PRDE,actvstrat=,-0.432326, actvprof=,4.344336, id=,S06, PRDE,actvstrat=,0.871340, actvprof=,11.628970, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,6.916854, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.274356, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,6.822131, best_B_id=,B04, best_B_prof=,1.997097, best_B_strat=,0.431777, best_S_id=,S06, best_S_prof=,11.628970, best_S_strat=,0.871340, 
t=,32400, id=,B00, PRDE,actvstrat=,0.375981, actvprof=,1.819217, id=,B01, PRDE,actvstrat=,-0.349763, actvprof=,1.581711, id=,B02, PRDE,actvstrat=,0.853370, actvprof=,1.945610, id=,B03, PRDE,actvstrat=,0.145834, actvprof=,1.581988, id=,B04, PRDE,actvstrat=,0.116402, actvprof=,1.514764, id=,B05, PRDE,actvstrat=,0.587744, actvprof=,1.898664, id=,B06, PRDE,actvstrat=,0.476239, actvprof=,2.047557, id=,B07, PRDE,actvstrat=,-0.330629, actvprof=,1.247257, id=,B08, PRDE,actvstrat=,-0.762218, actvprof=,2.550904, id=,B09, PRDE,actvstrat=,-0.646726, actvprof=,1.948665, id=,S00, PRDE,actvstrat=,-0.417999, actvprof=,3.205645, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.523987, id=,S02, PRDE,actvstrat=,0.962754, actvprof=,10.779188, id=,S03, PRDE,actvstrat=,-0.728863, actvprof=,2.115614, id=,S04, PRDE,actvstrat=,0.941203, actvprof=,10.765855, id=,S05, PRDE,actvstrat=,-0.155550, actvprof=,3.714548, id=,S06, PRDE,actvstrat=,0.975783, actvprof=,10.536682, id=,S07, PRDE,actvstrat=,-0.701563, actvprof=,2.386455, id=,S08, PRDE,actvstrat=,-0.265490, actvprof=,3.606211, id=,S09, PRDE,actvstrat=,-0.739385, actvprof=,2.120337, best_B_id=,B08, best_B_prof=,2.550904, best_B_strat=,-0.762218, best_S_id=,S02, best_S_prof=,10.779188, best_S_strat=,0.962754, 
t=,36000, id=,B00, PRDE,actvstrat=,0.375981, actvprof=,1.825581, id=,B01, PRDE,actvstrat=,-0.349763, actvprof=,1.515715, id=,B02, PRDE,actvstrat=,0.853370, actvprof=,1.932944, id=,B03, PRDE,actvstrat=,0.145834, actvprof=,1.630300, id=,B04, PRDE,actvstrat=,0.116402, actvprof=,1.670579, id=,B05, PRDE,actvstrat=,0.587744, actvprof=,2.055862, id=,B06, PRDE,actvstrat=,0.476239, actvprof=,2.017250, id=,B07, PRDE,actvstrat=,-0.330629, actvprof=,1.368630, id=,B08, PRDE,actvstrat=,-0.762218, actvprof=,2.451562, id=,B09, PRDE,actvstrat=,-0.646726, actvprof=,1.910999, id=,S00, PRDE,actvstrat=,-0.417999, actvprof=,3.248934, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.568522, id=,S02, PRDE,actvstrat=,0.962754, actvprof=,10.940291, id=,S03, PRDE,actvstrat=,-0.728863, actvprof=,2.112113, id=,S04, PRDE,actvstrat=,0.941203, actvprof=,10.786400, id=,S05, PRDE,actvstrat=,-0.155550, actvprof=,4.033112, id=,S06, PRDE,actvstrat=,0.975783, actvprof=,10.572369, id=,S07, PRDE,actvstrat=,-0.701563, actvprof=,2.449062, id=,S08, PRDE,actvstrat=,-0.265490, actvprof=,3.634773, id=,S09, PRDE,actvstrat=,-0.739385, actvprof=,2.042667, best_B_id=,B08, best_B_prof=,2.451562, best_B_strat=,-0.762218, best_S_id=,S02, best_S_prof=,10.940291, best_S_strat=,0.962754, 
