t=,0, id=,B00, PRDE,actvstrat=,0.739090, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.410737, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.400414, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.225320, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.172069, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.452598, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.963473, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.751368, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.476727, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.777527, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.691400, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.628571, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.841829, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.428411, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.354343, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.713440, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.235705, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.003899, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.215044, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.030189, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.739090, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.691400, 
t=,3600, id=,B00, PRDE,actvstrat=,0.739090, actvprof=,2.599686, id=,B01, PRDE,actvstrat=,0.410737, actvprof=,2.450522, id=,B02, PRDE,actvstrat=,0.400414, actvprof=,2.306912, id=,B03, PRDE,actvstrat=,-0.225320, actvprof=,1.676366, id=,B04, PRDE,actvstrat=,-0.172069, actvprof=,1.772475, id=,B05, PRDE,actvstrat=,0.452598, actvprof=,2.406355, id=,B06, PRDE,actvstrat=,-0.963473, actvprof=,3.156067, id=,B07, PRDE,actvstrat=,-0.751368, actvprof=,2.340245, id=,B08, PRDE,actvstrat=,-0.476727, actvprof=,1.883307, id=,B09, PRDE,actvstrat=,-0.777527, actvprof=,2.451355, id=,S00, PRDE,actvstrat=,-0.691400, actvprof=,3.129679, id=,S01, PRDE,actvstrat=,-0.628571, actvprof=,3.299676, id=,S02, PRDE,actvstrat=,0.841829, actvprof=,9.987361, id=,S03, PRDE,actvstrat=,-0.428411, actvprof=,3.847169, id=,S04, PRDE,actvstrat=,-0.354343, actvprof=,3.957167, id=,S05, PRDE,actvstrat=,0.713440, actvprof=,9.415147, id=,S06, PRDE,actvstrat=,-0.235705, actvprof=,4.484382, id=,S07, PRDE,actvstrat=,0.003899, actvprof=,6.486577, id=,S08, PRDE,actvstrat=,-0.215044, actvprof=,4.814655, id=,S09, PRDE,actvstrat=,-0.030189, actvprof=,6.311579, best_B_id=,B06, best_B_prof=,3.156067, best_B_strat=,-0.963473, best_S_id=,S02, best_S_prof=,9.987361, best_S_strat=,0.841829, 
t=,7200, id=,B00, PRDE,actvstrat=,0.483582, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.859671, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.308976, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.033690, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.572409, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.293340, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.083769, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.240898, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.619976, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.485562, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.351215, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.952261, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.146705, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.490591, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.950590, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.537452, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.022864, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.955862, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.596432, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.464948, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.483582, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.351215, 
t=,10800, id=,B00, PRDE,actvstrat=,0.483582, actvprof=,1.683588, id=,B01, PRDE,actvstrat=,-0.859671, actvprof=,2.302190, id=,B02, PRDE,actvstrat=,0.308976, actvprof=,1.453869, id=,B03, PRDE,actvstrat=,-0.033690, actvprof=,1.316648, id=,B04, PRDE,actvstrat=,0.572409, actvprof=,1.698310, id=,B05, PRDE,actvstrat=,0.293340, actvprof=,1.479702, id=,B06, PRDE,actvstrat=,-0.083769, actvprof=,1.195261, id=,B07, PRDE,actvstrat=,0.240898, actvprof=,1.462480, id=,B08, PRDE,actvstrat=,0.619976, actvprof=,1.820530, id=,B09, PRDE,actvstrat=,0.485562, actvprof=,1.655810, id=,S00, PRDE,actvstrat=,-0.351215, actvprof=,4.416050, id=,S01, PRDE,actvstrat=,-0.952261, actvprof=,0.920543, id=,S02, PRDE,actvstrat=,-0.146705, actvprof=,5.092151, id=,S03, PRDE,actvstrat=,0.490591, actvprof=,9.044041, id=,S04, PRDE,actvstrat=,0.950590, actvprof=,11.196233, id=,S05, PRDE,actvstrat=,-0.537452, actvprof=,4.006889, id=,S06, PRDE,actvstrat=,-0.022864, actvprof=,6.366023, id=,S07, PRDE,actvstrat=,-0.955862, actvprof=,0.858877, id=,S08, PRDE,actvstrat=,-0.596432, actvprof=,3.743837, id=,S09, PRDE,actvstrat=,0.464948, actvprof=,9.174873, best_B_id=,B01, best_B_prof=,2.302190, best_B_strat=,-0.859671, best_S_id=,S04, best_S_prof=,11.196233, best_S_strat=,0.950590, 
t=,14400, id=,B00, PRDE,actvstrat=,0.012026, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.388288, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.938765, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.953482, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.942399, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.293340, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.127692, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.240898, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.213075, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.485562, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.999533, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.394100, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.698566, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.986664, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.840289, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.614245, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.903604, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.098482, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.543603, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.304082, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.012026, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.999533, 
t=,18000, id=,B00, PRDE,actvstrat=,0.012026, actvprof=,1.189167, id=,B01, PRDE,actvstrat=,0.388288, actvprof=,1.461111, id=,B02, PRDE,actvstrat=,0.938765, actvprof=,1.133056, id=,B03, PRDE,actvstrat=,0.953482, actvprof=,0.860556, id=,B04, PRDE,actvstrat=,-0.942399, actvprof=,2.119444, id=,B05, PRDE,actvstrat=,0.293340, actvprof=,1.357778, id=,B06, PRDE,actvstrat=,-0.127692, actvprof=,1.145000, id=,B07, PRDE,actvstrat=,0.240898, actvprof=,1.498056, id=,B08, PRDE,actvstrat=,-0.213075, actvprof=,1.038611, id=,B09, PRDE,actvstrat=,0.485562, actvprof=,1.588889, id=,S00, PRDE,actvstrat=,0.999533, actvprof=,11.904167, id=,S01, PRDE,actvstrat=,-0.394100, actvprof=,4.370000, id=,S02, PRDE,actvstrat=,0.698566, actvprof=,11.044722, id=,S03, PRDE,actvstrat=,0.986664, actvprof=,11.998611, id=,S04, PRDE,actvstrat=,-0.840289, actvprof=,1.344444, id=,S05, PRDE,actvstrat=,-0.614245, actvprof=,3.514167, id=,S06, PRDE,actvstrat=,-0.903604, actvprof=,0.490278, id=,S07, PRDE,actvstrat=,0.098482, actvprof=,7.688333, id=,S08, PRDE,actvstrat=,-0.543603, actvprof=,3.938611, id=,S09, PRDE,actvstrat=,-0.304082, actvprof=,4.626111, best_B_id=,B04, best_B_prof=,2.119444, best_B_strat=,-0.942399, best_S_id=,S03, best_S_prof=,11.998611, best_S_strat=,0.986664, 
t=,21600, id=,B00, PRDE,actvstrat=,0.012026, actvprof=,1.179861, id=,B01, PRDE,actvstrat=,0.388288, actvprof=,1.526389, id=,B02, PRDE,actvstrat=,0.938765, actvprof=,1.079167, id=,B03, PRDE,actvstrat=,0.953482, actvprof=,0.881250, id=,B04, PRDE,actvstrat=,-0.942399, actvprof=,2.170417, id=,B05, PRDE,actvstrat=,0.293340, actvprof=,1.312917, id=,B06, PRDE,actvstrat=,-0.127692, actvprof=,1.131806, id=,B07, PRDE,actvstrat=,0.240898, actvprof=,1.400694, id=,B08, PRDE,actvstrat=,-0.213075, actvprof=,1.091806, id=,B09, PRDE,actvstrat=,0.485562, actvprof=,1.540972, id=,S00, PRDE,actvstrat=,0.999533, actvprof=,11.906111, id=,S01, PRDE,actvstrat=,-0.394100, actvprof=,4.148889, id=,S02, PRDE,actvstrat=,0.698566, actvprof=,11.077639, id=,S03, PRDE,actvstrat=,0.986664, actvprof=,11.916111, id=,S04, PRDE,actvstrat=,-0.840289, actvprof=,1.226944, id=,S05, PRDE,actvstrat=,-0.614245, actvprof=,3.437778, id=,S06, PRDE,actvstrat=,-0.903604, actvprof=,0.463472, id=,S07, PRDE,actvstrat=,0.098482, actvprof=,7.789444, id=,S08, PRDE,actvstrat=,-0.543603, actvprof=,3.919028, id=,S09, PRDE,actvstrat=,-0.304082, actvprof=,4.399306, best_B_id=,B04, best_B_prof=,2.170417, best_B_strat=,-0.942399, best_S_id=,S03, best_S_prof=,11.916111, best_S_strat=,0.986664, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.659454, id=,B01, PRDE,actvstrat=,-0.413604, actvprof=,1.029737, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.499451, id=,B03, PRDE,actvstrat=,0.139896, actvprof=,0.967513, id=,B04, PRDE,actvstrat=,0.416845, actvprof=,1.121404, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.447506, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.852512, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.443339, id=,B08, PRDE,actvstrat=,-0.351942, actvprof=,1.050292, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.453617, id=,S00, PRDE,actvstrat=,-0.096841, actvprof=,5.958972, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,13.569355, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.946458, id=,S03, PRDE,actvstrat=,-0.446711, actvprof=,4.685065, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.266462, id=,S05, PRDE,actvstrat=,0.457332, actvprof=,10.253198, id=,S06, PRDE,actvstrat=,-0.767104, actvprof=,3.228934, id=,S07, PRDE,actvstrat=,-0.492477, actvprof=,4.847012, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,13.537410, id=,S09, PRDE,actvstrat=,0.663746, actvprof=,12.161280, best_B_id=,B04, best_B_prof=,1.121404, best_B_strat=,0.416845, best_S_id=,S01, best_S_prof=,13.569355, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.413604, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.189807, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.618162, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.784590, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.892563, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.651111, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.240898, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.863948, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.895218, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.804073, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.628571, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.783165, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.986664, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.482709, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.325089, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.003899, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.965007, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.757564, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.804073, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.187839, id=,B01, PRDE,actvstrat=,-0.413604, actvprof=,1.110309, id=,B02, PRDE,actvstrat=,0.189807, actvprof=,1.539765, id=,B03, PRDE,actvstrat=,-0.618162, actvprof=,1.681991, id=,B04, PRDE,actvstrat=,0.784590, actvprof=,1.748382, id=,B05, PRDE,actvstrat=,0.892563, actvprof=,1.463930, id=,B06, PRDE,actvstrat=,0.651111, actvprof=,1.810328, id=,B07, PRDE,actvstrat=,0.240898, actvprof=,1.246979, id=,B08, PRDE,actvstrat=,0.863948, actvprof=,1.676435, id=,B09, PRDE,actvstrat=,-0.895218, actvprof=,2.386177, id=,S00, PRDE,actvstrat=,0.804073, actvprof=,11.325315, id=,S01, PRDE,actvstrat=,-0.628571, actvprof=,3.187589, id=,S02, PRDE,actvstrat=,0.783165, actvprof=,11.193366, id=,S03, PRDE,actvstrat=,0.986664, actvprof=,11.570321, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.459263, id=,S05, PRDE,actvstrat=,-0.482709, actvprof=,3.423706, id=,S06, PRDE,actvstrat=,-0.325089, actvprof=,3.480097, id=,S07, PRDE,actvstrat=,0.003899, actvprof=,6.609628, id=,S08, PRDE,actvstrat=,0.965007, actvprof=,11.797828, id=,S09, PRDE,actvstrat=,-0.757564, actvprof=,1.769771, best_B_id=,B09, best_B_prof=,2.386177, best_B_strat=,-0.895218, best_S_id=,S08, best_S_prof=,11.797828, best_S_strat=,0.965007, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.087514, id=,B01, PRDE,actvstrat=,-0.413604, actvprof=,1.160980, id=,B02, PRDE,actvstrat=,0.189807, actvprof=,1.433204, id=,B03, PRDE,actvstrat=,-0.618162, actvprof=,1.614872, id=,B04, PRDE,actvstrat=,0.784590, actvprof=,1.812374, id=,B05, PRDE,actvstrat=,0.892563, actvprof=,1.454455, id=,B06, PRDE,actvstrat=,0.651111, actvprof=,1.864457, id=,B07, PRDE,actvstrat=,0.240898, actvprof=,1.325981, id=,B08, PRDE,actvstrat=,0.863948, actvprof=,1.665428, id=,B09, PRDE,actvstrat=,-0.895218, actvprof=,2.362516, id=,S00, PRDE,actvstrat=,0.804073, actvprof=,11.401329, id=,S01, PRDE,actvstrat=,-0.628571, actvprof=,3.047521, id=,S02, PRDE,actvstrat=,0.783165, actvprof=,11.197300, id=,S03, PRDE,actvstrat=,0.986664, actvprof=,11.566469, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.538636, id=,S05, PRDE,actvstrat=,-0.482709, actvprof=,3.453774, id=,S06, PRDE,actvstrat=,-0.325089, actvprof=,3.802665, id=,S07, PRDE,actvstrat=,0.003899, actvprof=,6.475739, id=,S08, PRDE,actvstrat=,0.965007, actvprof=,11.833138, id=,S09, PRDE,actvstrat=,-0.757564, actvprof=,1.868902, best_B_id=,B09, best_B_prof=,2.362516, best_B_strat=,-0.895218, best_S_id=,S08, best_S_prof=,11.833138, best_S_strat=,0.965007, 
