t=,1, id=,B00, PRDE,actvstrat=,-0.081537, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.794822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.221572, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.543791, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.979623, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.593175, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.750551, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.943483, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.508081, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.403276, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.654059, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.746450, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.294915, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.724236, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.206510, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.192772, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.168198, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.251144, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.634199, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.265785, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.081537, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.654059, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.081537, actvprof=,2.521944, id=,B01, PRDE,actvstrat=,0.794822, actvprof=,2.759722, id=,B02, PRDE,actvstrat=,0.221572, actvprof=,2.515278, id=,B03, PRDE,actvstrat=,0.543791, actvprof=,2.972500, id=,B04, PRDE,actvstrat=,-0.979623, actvprof=,3.422778, id=,B05, PRDE,actvstrat=,0.593175, actvprof=,3.206667, id=,B06, PRDE,actvstrat=,-0.750551, actvprof=,2.945278, id=,B07, PRDE,actvstrat=,-0.943483, actvprof=,3.229444, id=,B08, PRDE,actvstrat=,-0.508081, actvprof=,2.307222, id=,B09, PRDE,actvstrat=,-0.403276, actvprof=,2.405833, id=,S00, PRDE,actvstrat=,-0.654059, actvprof=,2.553611, id=,S01, PRDE,actvstrat=,0.746450, actvprof=,9.165556, id=,S02, PRDE,actvstrat=,-0.294915, actvprof=,3.377778, id=,S03, PRDE,actvstrat=,0.724236, actvprof=,9.000833, id=,S04, PRDE,actvstrat=,0.206510, actvprof=,6.668889, id=,S05, PRDE,actvstrat=,0.192772, actvprof=,6.923611, id=,S06, PRDE,actvstrat=,0.168198, actvprof=,6.425278, id=,S07, PRDE,actvstrat=,0.251144, actvprof=,6.458056, id=,S08, PRDE,actvstrat=,0.634199, actvprof=,8.686944, id=,S09, PRDE,actvstrat=,-0.265785, actvprof=,3.519444, best_B_id=,B04, best_B_prof=,3.422778, best_B_strat=,-0.979623, best_S_id=,S01, best_S_prof=,9.165556, best_S_strat=,0.746450, 
t=,7200, id=,B00, PRDE,actvstrat=,0.781757, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.315023, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.229192, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.478835, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.381478, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.787171, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.648200, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.713855, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.529933, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.989918, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.034887, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.134026, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.219640, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.792892, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.691315, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.001156, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.522772, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.401432, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.103799, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.929293, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.781757, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.034887, 
t=,10800, id=,B00, PRDE,actvstrat=,0.781757, actvprof=,1.871137, id=,B01, PRDE,actvstrat=,-0.315023, actvprof=,1.305296, id=,B02, PRDE,actvstrat=,-0.229192, actvprof=,1.232517, id=,B03, PRDE,actvstrat=,0.478835, actvprof=,1.677246, id=,B04, PRDE,actvstrat=,-0.381478, actvprof=,1.160016, id=,B05, PRDE,actvstrat=,0.787171, actvprof=,2.029750, id=,B06, PRDE,actvstrat=,0.648200, actvprof=,1.778080, id=,B07, PRDE,actvstrat=,-0.713855, actvprof=,1.733635, id=,B08, PRDE,actvstrat=,-0.529933, actvprof=,1.354185, id=,B09, PRDE,actvstrat=,-0.989918, actvprof=,2.163919, id=,S00, PRDE,actvstrat=,0.034887, actvprof=,6.315088, id=,S01, PRDE,actvstrat=,0.134026, actvprof=,6.844262, id=,S02, PRDE,actvstrat=,-0.219640, actvprof=,3.998667, id=,S03, PRDE,actvstrat=,-0.792892, actvprof=,1.664745, id=,S04, PRDE,actvstrat=,-0.691315, actvprof=,2.560036, id=,S05, PRDE,actvstrat=,-0.001156, actvprof=,6.100363, id=,S06, PRDE,actvstrat=,0.522772, actvprof=,9.155405, id=,S07, PRDE,actvstrat=,-0.401432, actvprof=,3.747274, id=,S08, PRDE,actvstrat=,-0.103799, actvprof=,5.055070, id=,S09, PRDE,actvstrat=,0.929293, actvprof=,11.165433, best_B_id=,B09, best_B_prof=,2.163919, best_B_strat=,-0.989918, best_S_id=,S09, best_S_prof=,11.165433, best_S_strat=,0.929293, 
t=,14400, id=,B00, PRDE,actvstrat=,0.781757, actvprof=,1.886402, id=,B01, PRDE,actvstrat=,-0.315023, actvprof=,1.270703, id=,B02, PRDE,actvstrat=,-0.229192, actvprof=,1.195564, id=,B03, PRDE,actvstrat=,0.478835, actvprof=,1.713067, id=,B04, PRDE,actvstrat=,-0.381478, actvprof=,1.194869, id=,B05, PRDE,actvstrat=,0.787171, actvprof=,1.977514, id=,B06, PRDE,actvstrat=,0.648200, actvprof=,1.934180, id=,B07, PRDE,actvstrat=,-0.713855, actvprof=,1.770846, id=,B08, PRDE,actvstrat=,-0.529933, actvprof=,1.368204, id=,B09, PRDE,actvstrat=,-0.989918, actvprof=,2.143348, id=,S00, PRDE,actvstrat=,0.034887, actvprof=,6.424628, id=,S01, PRDE,actvstrat=,0.134026, actvprof=,6.676713, id=,S02, PRDE,actvstrat=,-0.219640, actvprof=,4.197390, id=,S03, PRDE,actvstrat=,-0.792892, actvprof=,1.667928, id=,S04, PRDE,actvstrat=,-0.691315, actvprof=,2.708352, id=,S05, PRDE,actvstrat=,-0.001156, actvprof=,6.201849, id=,S06, PRDE,actvstrat=,0.522772, actvprof=,9.090619, id=,S07, PRDE,actvstrat=,-0.401432, actvprof=,3.502108, id=,S08, PRDE,actvstrat=,-0.103799, actvprof=,4.940729, id=,S09, PRDE,actvstrat=,0.929293, actvprof=,11.046604, best_B_id=,B09, best_B_prof=,2.143348, best_B_strat=,-0.989918, best_S_id=,S09, best_S_prof=,11.046604, best_S_strat=,0.929293, 
t=,18000, id=,B00, PRDE,actvstrat=,0.350638, actvprof=,1.888716, id=,B01, PRDE,actvstrat=,0.794822, actvprof=,2.013167, id=,B02, PRDE,actvstrat=,-0.759177, actvprof=,2.132896, id=,B03, PRDE,actvstrat=,0.636640, actvprof=,2.003722, id=,B04, PRDE,actvstrat=,0.598133, actvprof=,2.038447, id=,B05, PRDE,actvstrat=,0.510748, actvprof=,1.934552, id=,B06, PRDE,actvstrat=,-0.236067, actvprof=,1.340908, id=,B07, PRDE,actvstrat=,-0.369009, actvprof=,1.157287, id=,B08, PRDE,actvstrat=,-0.285033, actvprof=,1.564531, id=,B09, PRDE,actvstrat=,0.016346, actvprof=,1.339797, id=,S00, PRDE,actvstrat=,-0.524261, actvprof=,3.506584, id=,S01, PRDE,actvstrat=,-0.655399, actvprof=,2.635702, id=,S02, PRDE,actvstrat=,0.110452, actvprof=,6.693705, id=,S03, PRDE,actvstrat=,0.863795, actvprof=,10.776988, id=,S04, PRDE,actvstrat=,0.182076, actvprof=,6.802045, id=,S05, PRDE,actvstrat=,0.734060, actvprof=,9.997778, id=,S06, PRDE,actvstrat=,0.503461, actvprof=,8.397689, id=,S07, PRDE,actvstrat=,-0.778085, actvprof=,1.487583, id=,S08, PRDE,actvstrat=,-0.734972, actvprof=,2.136508, id=,S09, PRDE,actvstrat=,-0.795016, actvprof=,1.710928, best_B_id=,B02, best_B_prof=,2.132896, best_B_strat=,-0.759177, best_S_id=,S03, best_S_prof=,10.776988, best_S_strat=,0.863795, 
t=,21600, id=,B00, PRDE,actvstrat=,0.350638, actvprof=,1.792133, id=,B01, PRDE,actvstrat=,0.794822, actvprof=,2.081724, id=,B02, PRDE,actvstrat=,-0.759177, actvprof=,2.180061, id=,B03, PRDE,actvstrat=,0.636640, actvprof=,2.040057, id=,B04, PRDE,actvstrat=,0.598133, actvprof=,2.055335, id=,B05, PRDE,actvstrat=,0.510748, actvprof=,1.991722, id=,B06, PRDE,actvstrat=,-0.236067, actvprof=,1.442957, id=,B07, PRDE,actvstrat=,-0.369009, actvprof=,1.216423, id=,B08, PRDE,actvstrat=,-0.285033, actvprof=,1.430040, id=,B09, PRDE,actvstrat=,0.016346, actvprof=,1.426567, id=,S00, PRDE,actvstrat=,-0.524261, actvprof=,3.458985, id=,S01, PRDE,actvstrat=,-0.655399, actvprof=,2.672574, id=,S02, PRDE,actvstrat=,0.110452, actvprof=,6.871163, id=,S03, PRDE,actvstrat=,0.863795, actvprof=,10.639601, id=,S04, PRDE,actvstrat=,0.182076, actvprof=,6.798244, id=,S05, PRDE,actvstrat=,0.734060, actvprof=,9.867219, id=,S06, PRDE,actvstrat=,0.503461, actvprof=,8.594683, id=,S07, PRDE,actvstrat=,-0.778085, actvprof=,1.730048, id=,S08, PRDE,actvstrat=,-0.734972, actvprof=,2.280758, id=,S09, PRDE,actvstrat=,-0.795016, actvprof=,1.731715, best_B_id=,B02, best_B_prof=,2.180061, best_B_strat=,-0.759177, best_S_id=,S03, best_S_prof=,10.639601, best_S_strat=,0.863795, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.459030, actvprof=,1.422321, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.855962, id=,B02, PRDE,actvstrat=,0.791447, actvprof=,1.722897, id=,B03, PRDE,actvstrat=,0.524523, actvprof=,1.507882, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.566984, id=,B05, PRDE,actvstrat=,0.772622, actvprof=,1.627891, id=,B06, PRDE,actvstrat=,0.016433, actvprof=,1.079242, id=,B07, PRDE,actvstrat=,0.381243, actvprof=,1.368428, id=,B08, PRDE,actvstrat=,-0.750421, actvprof=,1.911244, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.560594, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,12.227238, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.585041, id=,S02, PRDE,actvstrat=,-0.852019, actvprof=,1.222585, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.651434, id=,S04, PRDE,actvstrat=,-0.251693, actvprof=,4.731162, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,12.363914, id=,S06, PRDE,actvstrat=,0.777768, actvprof=,11.806098, id=,S07, PRDE,actvstrat=,-0.201120, actvprof=,5.171192, id=,S08, PRDE,actvstrat=,0.966874, actvprof=,11.960275, id=,S09, PRDE,actvstrat=,-0.707454, actvprof=,3.130217, best_B_id=,B08, best_B_prof=,1.911244, best_B_strat=,-0.750421, best_S_id=,S05, best_S_prof=,12.363914, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.459030, actvprof=,1.374075, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.666586, id=,B02, PRDE,actvstrat=,0.791447, actvprof=,1.673669, id=,B03, PRDE,actvstrat=,0.524523, actvprof=,1.496024, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.552103, id=,B05, PRDE,actvstrat=,0.772622, actvprof=,1.578388, id=,B06, PRDE,actvstrat=,0.016433, actvprof=,0.995729, id=,B07, PRDE,actvstrat=,0.381243, actvprof=,1.344630, id=,B08, PRDE,actvstrat=,-0.750421, actvprof=,1.921594, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.514185, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,12.251259, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.470155, id=,S02, PRDE,actvstrat=,-0.852019, actvprof=,1.240043, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.607799, id=,S04, PRDE,actvstrat=,-0.251693, actvprof=,4.599882, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,12.402375, id=,S06, PRDE,actvstrat=,0.777768, actvprof=,11.903747, id=,S07, PRDE,actvstrat=,-0.201120, actvprof=,4.967811, id=,S08, PRDE,actvstrat=,0.966874, actvprof=,12.176812, id=,S09, PRDE,actvstrat=,-0.707454, actvprof=,3.054967, best_B_id=,B08, best_B_prof=,1.921594, best_B_strat=,-0.750421, best_S_id=,S05, best_S_prof=,12.402375, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.517243, actvprof=,2.955606, id=,B01, PRDE,actvstrat=,-0.842686, actvprof=,3.659018, id=,B02, PRDE,actvstrat=,0.221572, actvprof=,2.569730, id=,B03, PRDE,actvstrat=,-0.586358, actvprof=,2.341093, id=,B04, PRDE,actvstrat=,-0.426392, actvprof=,2.198300, id=,B05, PRDE,actvstrat=,0.323531, actvprof=,2.534170, id=,B06, PRDE,actvstrat=,-0.799861, actvprof=,3.343705, id=,B07, PRDE,actvstrat=,-0.713855, actvprof=,2.754751, id=,B08, PRDE,actvstrat=,0.432338, actvprof=,2.777531, id=,B09, PRDE,actvstrat=,-0.597904, actvprof=,2.298867, id=,S00, PRDE,actvstrat=,-0.144774, actvprof=,3.245083, id=,S01, PRDE,actvstrat=,-0.686944, actvprof=,1.817980, id=,S02, PRDE,actvstrat=,0.750301, actvprof=,8.475942, id=,S03, PRDE,actvstrat=,-0.634002, actvprof=,2.190521, id=,S04, PRDE,actvstrat=,0.427511, actvprof=,6.705467, id=,S05, PRDE,actvstrat=,-0.001156, actvprof=,4.470219, id=,S06, PRDE,actvstrat=,0.806335, actvprof=,8.945438, id=,S07, PRDE,actvstrat=,-0.247004, actvprof=,2.316924, id=,S08, PRDE,actvstrat=,0.879714, actvprof=,9.073230, id=,S09, PRDE,actvstrat=,0.281158, actvprof=,5.779809, best_B_id=,B01, best_B_prof=,3.659018, best_B_strat=,-0.842686, best_S_id=,S08, best_S_prof=,9.073230, best_S_strat=,0.879714, 
t=,36000, id=,B00, PRDE,actvstrat=,0.517243, actvprof=,2.968971, id=,B01, PRDE,actvstrat=,-0.842686, actvprof=,3.723159, id=,B02, PRDE,actvstrat=,0.221572, actvprof=,2.569238, id=,B03, PRDE,actvstrat=,-0.586358, actvprof=,2.422706, id=,B04, PRDE,actvstrat=,-0.426392, actvprof=,2.291314, id=,B05, PRDE,actvstrat=,0.323531, actvprof=,2.662713, id=,B06, PRDE,actvstrat=,-0.799861, actvprof=,3.359954, id=,B07, PRDE,actvstrat=,-0.713855, actvprof=,2.772160, id=,B08, PRDE,actvstrat=,0.432338, actvprof=,2.820356, id=,B09, PRDE,actvstrat=,-0.597904, actvprof=,2.456179, id=,S00, PRDE,actvstrat=,-0.144774, actvprof=,3.249118, id=,S01, PRDE,actvstrat=,-0.686944, actvprof=,1.863524, id=,S02, PRDE,actvstrat=,0.750301, actvprof=,8.582461, id=,S03, PRDE,actvstrat=,-0.634002, actvprof=,2.215200, id=,S04, PRDE,actvstrat=,0.427511, actvprof=,6.650740, id=,S05, PRDE,actvstrat=,-0.001156, actvprof=,4.415539, id=,S06, PRDE,actvstrat=,0.806335, actvprof=,8.725103, id=,S07, PRDE,actvstrat=,-0.247004, actvprof=,2.651740, id=,S08, PRDE,actvstrat=,0.879714, actvprof=,9.184422, id=,S09, PRDE,actvstrat=,0.281158, actvprof=,5.950999, best_B_id=,B01, best_B_prof=,3.723159, best_B_strat=,-0.842686, best_S_id=,S08, best_S_prof=,9.184422, best_S_strat=,0.879714, 
