t=,1, id=,B00, PRDE,actvstrat=,0.877360, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.529822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.981956, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.947264, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.858701, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.311263, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.321026, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.239307, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.742464, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.523030, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.415939, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.180170, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.220471, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.274017, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.865016, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.893139, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.437386, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.611891, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.102523, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.249318, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.877360, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.415939, 
t=,3600, id=,B00, PRDE,actvstrat=,0.877360, actvprof=,2.542465, id=,B01, PRDE,actvstrat=,-0.529822, actvprof=,2.614408, id=,B02, PRDE,actvstrat=,-0.981956, actvprof=,2.774684, id=,B03, PRDE,actvstrat=,0.947264, actvprof=,1.893029, id=,B04, PRDE,actvstrat=,0.858701, actvprof=,2.514687, id=,B05, PRDE,actvstrat=,0.311263, actvprof=,2.859405, id=,B06, PRDE,actvstrat=,0.321026, actvprof=,3.049680, id=,B07, PRDE,actvstrat=,-0.239307, actvprof=,2.605519, id=,B08, PRDE,actvstrat=,-0.742464, actvprof=,3.244955, id=,B09, PRDE,actvstrat=,0.523030, actvprof=,2.975236, id=,S00, PRDE,actvstrat=,0.415939, actvprof=,8.533215, id=,S01, PRDE,actvstrat=,0.180170, actvprof=,7.573228, id=,S02, PRDE,actvstrat=,-0.220471, actvprof=,4.885765, id=,S03, PRDE,actvstrat=,0.274017, actvprof=,8.126554, id=,S04, PRDE,actvstrat=,0.865016, actvprof=,10.420966, id=,S05, PRDE,actvstrat=,0.893139, actvprof=,10.514576, id=,S06, PRDE,actvstrat=,-0.437386, actvprof=,4.922709, id=,S07, PRDE,actvstrat=,0.611891, actvprof=,9.698199, id=,S08, PRDE,actvstrat=,-0.102523, actvprof=,5.948806, id=,S09, PRDE,actvstrat=,-0.249318, actvprof=,5.078263, best_B_id=,B08, best_B_prof=,3.244955, best_B_strat=,-0.742464, best_S_id=,S05, best_S_prof=,10.514576, best_S_strat=,0.893139, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.181031, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.088699, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.050498, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.441580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.504904, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.775684, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.848242, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.578898, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.687417, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.896322, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.520662, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.548210, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.428509, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.230624, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.991724, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.862020, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.202182, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.413818, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.740502, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.150353, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.181031, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.520662, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.181031, actvprof=,2.253858, id=,B01, PRDE,actvstrat=,0.088699, actvprof=,2.401078, id=,B02, PRDE,actvstrat=,-0.050498, actvprof=,2.591353, id=,B03, PRDE,actvstrat=,0.441580, actvprof=,2.616353, id=,B04, PRDE,actvstrat=,-0.504904, actvprof=,2.443022, id=,B05, PRDE,actvstrat=,0.775684, actvprof=,2.950792, id=,B06, PRDE,actvstrat=,-0.848242, actvprof=,3.398008, id=,B07, PRDE,actvstrat=,-0.578898, actvprof=,2.554687, id=,B08, PRDE,actvstrat=,-0.687417, actvprof=,2.673852, id=,B09, PRDE,actvstrat=,-0.896322, actvprof=,3.655227, id=,S00, PRDE,actvstrat=,0.520662, actvprof=,7.512951, id=,S01, PRDE,actvstrat=,0.548210, actvprof=,7.528507, id=,S02, PRDE,actvstrat=,-0.428509, actvprof=,2.648297, id=,S03, PRDE,actvstrat=,-0.230624, actvprof=,3.264121, id=,S04, PRDE,actvstrat=,0.991724, actvprof=,9.098485, id=,S05, PRDE,actvstrat=,-0.862020, actvprof=,0.789711, id=,S06, PRDE,actvstrat=,0.202182, actvprof=,6.157970, id=,S07, PRDE,actvstrat=,-0.413818, actvprof=,2.941904, id=,S08, PRDE,actvstrat=,0.740502, actvprof=,8.509048, id=,S09, PRDE,actvstrat=,0.150353, actvprof=,5.387425, best_B_id=,B09, best_B_prof=,3.655227, best_B_strat=,-0.896322, best_S_id=,S04, best_S_prof=,9.098485, best_S_strat=,0.991724, 
t=,14400, id=,B00, PRDE,actvstrat=,0.595257, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.928411, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.440832, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.441580, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.790591, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.832295, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.700093, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.578898, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.359499, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.237738, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.435200, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.504423, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.663166, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.528909, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.125500, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.293105, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.801495, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.575250, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.740502, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.399530, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.595257, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.435200, 
t=,18000, id=,B00, PRDE,actvstrat=,0.595257, actvprof=,2.968056, id=,B01, PRDE,actvstrat=,0.928411, actvprof=,1.873611, id=,B02, PRDE,actvstrat=,0.440832, actvprof=,2.947222, id=,B03, PRDE,actvstrat=,0.441580, actvprof=,2.899167, id=,B04, PRDE,actvstrat=,0.790591, actvprof=,2.728611, id=,B05, PRDE,actvstrat=,-0.832295, actvprof=,3.495556, id=,B06, PRDE,actvstrat=,0.700093, actvprof=,2.992500, id=,B07, PRDE,actvstrat=,-0.578898, actvprof=,2.992778, id=,B08, PRDE,actvstrat=,-0.359499, actvprof=,2.474444, id=,B09, PRDE,actvstrat=,-0.237738, actvprof=,2.334444, id=,S00, PRDE,actvstrat=,-0.435200, actvprof=,2.956667, id=,S01, PRDE,actvstrat=,0.504423, actvprof=,7.675278, id=,S02, PRDE,actvstrat=,-0.663166, actvprof=,2.739722, id=,S03, PRDE,actvstrat=,0.528909, actvprof=,8.078611, id=,S04, PRDE,actvstrat=,0.125500, actvprof=,6.043333, id=,S05, PRDE,actvstrat=,0.293105, actvprof=,7.156667, id=,S06, PRDE,actvstrat=,0.801495, actvprof=,9.642778, id=,S07, PRDE,actvstrat=,0.575250, actvprof=,8.797222, id=,S08, PRDE,actvstrat=,0.740502, actvprof=,9.678056, id=,S09, PRDE,actvstrat=,0.399530, actvprof=,7.680833, best_B_id=,B05, best_B_prof=,3.495556, best_B_strat=,-0.832295, best_S_id=,S08, best_S_prof=,9.678056, best_S_strat=,0.740502, 
t=,21600, id=,B00, PRDE,actvstrat=,0.595257, actvprof=,2.849306, id=,B01, PRDE,actvstrat=,0.928411, actvprof=,1.875972, id=,B02, PRDE,actvstrat=,0.440832, actvprof=,2.900278, id=,B03, PRDE,actvstrat=,0.441580, actvprof=,2.847778, id=,B04, PRDE,actvstrat=,0.790591, actvprof=,2.747361, id=,B05, PRDE,actvstrat=,-0.832295, actvprof=,3.549722, id=,B06, PRDE,actvstrat=,0.700093, actvprof=,2.873472, id=,B07, PRDE,actvstrat=,-0.578898, actvprof=,2.955417, id=,B08, PRDE,actvstrat=,-0.359499, actvprof=,2.436389, id=,B09, PRDE,actvstrat=,-0.237738, actvprof=,2.333750, id=,S00, PRDE,actvstrat=,-0.435200, actvprof=,3.185417, id=,S01, PRDE,actvstrat=,0.504423, actvprof=,7.816389, id=,S02, PRDE,actvstrat=,-0.663166, actvprof=,2.671528, id=,S03, PRDE,actvstrat=,0.528909, actvprof=,8.054583, id=,S04, PRDE,actvstrat=,0.125500, actvprof=,6.081389, id=,S05, PRDE,actvstrat=,0.293105, actvprof=,7.318611, id=,S06, PRDE,actvstrat=,0.801495, actvprof=,9.726944, id=,S07, PRDE,actvstrat=,0.575250, actvprof=,8.821944, id=,S08, PRDE,actvstrat=,0.740502, actvprof=,9.646944, id=,S09, PRDE,actvstrat=,0.399530, actvprof=,7.551250, best_B_id=,B05, best_B_prof=,3.549722, best_B_strat=,-0.832295, best_S_id=,S06, best_S_prof=,9.726944, best_S_strat=,0.801495, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.357458, actvprof=,1.794444, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.419444, id=,B02, PRDE,actvstrat=,-0.245819, actvprof=,1.941389, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.440833, id=,B04, PRDE,actvstrat=,0.782484, actvprof=,2.380278, id=,B05, PRDE,actvstrat=,-0.499258, actvprof=,2.088333, id=,B06, PRDE,actvstrat=,-0.739059, actvprof=,2.540278, id=,B07, PRDE,actvstrat=,0.956394, actvprof=,1.649444, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.964722, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.164167, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.578333, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.795278, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.133056, id=,S03, PRDE,actvstrat=,-0.535433, actvprof=,3.470000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.182500, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.716111, id=,S06, PRDE,actvstrat=,0.418677, actvprof=,8.639444, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,11.149722, id=,S08, PRDE,actvstrat=,-0.601986, actvprof=,3.204722, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.814167, best_B_id=,B06, best_B_prof=,2.540278, best_B_strat=,-0.739059, best_S_id=,S00, best_S_prof=,11.578333, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.357458, actvprof=,1.856806, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.421944, id=,B02, PRDE,actvstrat=,-0.245819, actvprof=,1.973194, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.338056, id=,B04, PRDE,actvstrat=,0.782484, actvprof=,2.346250, id=,B05, PRDE,actvstrat=,-0.499258, actvprof=,2.091111, id=,B06, PRDE,actvstrat=,-0.739059, actvprof=,2.545000, id=,B07, PRDE,actvstrat=,0.956394, actvprof=,1.597083, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.086944, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.139444, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.364444, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.875417, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.106944, id=,S03, PRDE,actvstrat=,-0.535433, actvprof=,3.514444, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,6.128750, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.862500, id=,S06, PRDE,actvstrat=,0.418677, actvprof=,8.546111, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,11.335278, id=,S08, PRDE,actvstrat=,-0.601986, actvprof=,3.309444, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.871944, best_B_id=,B06, best_B_prof=,2.545000, best_B_strat=,-0.739059, best_S_id=,S00, best_S_prof=,11.364444, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.892439, actvprof=,2.113114, id=,B01, PRDE,actvstrat=,0.099042, actvprof=,2.237562, id=,B02, PRDE,actvstrat=,-0.050498, actvprof=,2.145060, id=,B03, PRDE,actvstrat=,0.294993, actvprof=,2.503125, id=,B04, PRDE,actvstrat=,0.662698, actvprof=,2.850079, id=,B05, PRDE,actvstrat=,-0.088195, actvprof=,2.125059, id=,B06, PRDE,actvstrat=,-0.987557, actvprof=,2.787855, id=,B07, PRDE,actvstrat=,0.025387, actvprof=,2.243951, id=,B08, PRDE,actvstrat=,-0.257222, actvprof=,2.171727, id=,B09, PRDE,actvstrat=,-0.761596, actvprof=,3.095364, id=,S00, PRDE,actvstrat=,-0.006286, actvprof=,5.427929, id=,S01, PRDE,actvstrat=,0.957055, actvprof=,10.437512, id=,S02, PRDE,actvstrat=,0.066313, actvprof=,6.293508, id=,S03, PRDE,actvstrat=,0.143877, actvprof=,6.310731, id=,S04, PRDE,actvstrat=,0.991724, actvprof=,10.111114, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.527598, id=,S06, PRDE,actvstrat=,-0.114618, actvprof=,4.053724, id=,S07, PRDE,actvstrat=,0.831974, actvprof=,10.117503, id=,S08, PRDE,actvstrat=,-0.448260, actvprof=,3.121753, id=,S09, PRDE,actvstrat=,-0.758846, actvprof=,1.572544, best_B_id=,B09, best_B_prof=,3.095364, best_B_strat=,-0.761596, best_S_id=,S01, best_S_prof=,10.437512, best_S_strat=,0.957055, 
t=,36000, id=,B00, PRDE,actvstrat=,0.892439, actvprof=,2.032667, id=,B01, PRDE,actvstrat=,0.099042, actvprof=,2.112252, id=,B02, PRDE,actvstrat=,-0.050498, actvprof=,2.127530, id=,B03, PRDE,actvstrat=,0.294993, actvprof=,2.452117, id=,B04, PRDE,actvstrat=,0.662698, actvprof=,2.730732, id=,B05, PRDE,actvstrat=,-0.088195, actvprof=,2.097668, id=,B06, PRDE,actvstrat=,-0.987557, actvprof=,2.886429, id=,B07, PRDE,actvstrat=,0.025387, actvprof=,2.251837, id=,B08, PRDE,actvstrat=,-0.257222, actvprof=,2.198225, id=,B09, PRDE,actvstrat=,-0.761596, actvprof=,3.067681, id=,S00, PRDE,actvstrat=,-0.006286, actvprof=,5.463965, id=,S01, PRDE,actvstrat=,0.957055, actvprof=,10.449034, id=,S02, PRDE,actvstrat=,0.066313, actvprof=,6.098974, id=,S03, PRDE,actvstrat=,0.143877, actvprof=,6.099390, id=,S04, PRDE,actvstrat=,0.991724, actvprof=,10.228614, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.743524, id=,S06, PRDE,actvstrat=,-0.114618, actvprof=,4.275337, id=,S07, PRDE,actvstrat=,0.831974, actvprof=,10.195003, id=,S08, PRDE,actvstrat=,-0.448260, actvprof=,2.898929, id=,S09, PRDE,actvstrat=,-0.758846, actvprof=,1.746830, best_B_id=,B09, best_B_prof=,3.067681, best_B_strat=,-0.761596, best_S_id=,S01, best_S_prof=,10.449034, best_S_strat=,0.957055, 
