t=,0, id=,B00, PRDE,actvstrat=,0.725779, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.534618, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.854323, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.554641, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.079439, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.443718, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.892899, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.265769, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.432968, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.904032, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.284414, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.742132, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.436279, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.827738, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.147363, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.865639, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.201512, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.967544, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.710503, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.051667, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.725779, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.284414, 
t=,3600, id=,B00, PRDE,actvstrat=,0.725779, actvprof=,1.758864, id=,B01, PRDE,actvstrat=,-0.534618, actvprof=,0.911654, id=,B02, PRDE,actvstrat=,-0.854323, actvprof=,1.653588, id=,B03, PRDE,actvstrat=,-0.554641, actvprof=,0.774711, id=,B04, PRDE,actvstrat=,-0.079439, actvprof=,0.914154, id=,B05, PRDE,actvstrat=,-0.443718, actvprof=,0.794989, id=,B06, PRDE,actvstrat=,-0.892899, actvprof=,1.857752, id=,B07, PRDE,actvstrat=,0.265769, actvprof=,1.229983, id=,B08, PRDE,actvstrat=,0.432968, actvprof=,1.445535, id=,B09, PRDE,actvstrat=,0.904032, actvprof=,1.395536, id=,S00, PRDE,actvstrat=,0.284414, actvprof=,7.797392, id=,S01, PRDE,actvstrat=,-0.742132, actvprof=,2.407467, id=,S02, PRDE,actvstrat=,-0.436279, actvprof=,3.944390, id=,S03, PRDE,actvstrat=,-0.827738, actvprof=,1.423314, id=,S04, PRDE,actvstrat=,-0.147363, actvprof=,4.383828, id=,S05, PRDE,actvstrat=,-0.865639, actvprof=,0.800544, id=,S06, PRDE,actvstrat=,0.201512, actvprof=,7.275455, id=,S07, PRDE,actvstrat=,-0.967544, actvprof=,0.793045, id=,S08, PRDE,actvstrat=,0.710503, actvprof=,10.572909, id=,S09, PRDE,actvstrat=,0.051667, actvprof=,6.375189, best_B_id=,B06, best_B_prof=,1.857752, best_B_strat=,-0.892899, best_S_id=,S08, best_S_prof=,10.572909, best_S_strat=,0.710503, 
t=,7200, id=,B00, PRDE,actvstrat=,0.921359, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.033758, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.281619, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.931923, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.322388, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.582841, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.605212, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.502113, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.505061, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.158794, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.249641, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.913517, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.828771, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.827994, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.204469, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.866943, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.931624, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.175137, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.178243, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.663236, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.921359, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.249641, 
t=,10800, id=,B00, PRDE,actvstrat=,0.921359, actvprof=,1.181928, id=,B01, PRDE,actvstrat=,-0.033758, actvprof=,0.817489, id=,B02, PRDE,actvstrat=,-0.281619, actvprof=,0.799989, id=,B03, PRDE,actvstrat=,-0.931923, actvprof=,1.994139, id=,B04, PRDE,actvstrat=,0.322388, actvprof=,1.289704, id=,B05, PRDE,actvstrat=,-0.582841, actvprof=,1.214428, id=,B06, PRDE,actvstrat=,0.605212, actvprof=,1.501368, id=,B07, PRDE,actvstrat=,0.502113, actvprof=,1.319148, id=,B08, PRDE,actvstrat=,0.505061, actvprof=,1.427758, id=,B09, PRDE,actvstrat=,0.158794, actvprof=,1.088040, id=,S00, PRDE,actvstrat=,0.249641, actvprof=,7.572673, id=,S01, PRDE,actvstrat=,-0.913517, actvprof=,0.375828, id=,S02, PRDE,actvstrat=,0.828771, actvprof=,11.462063, id=,S03, PRDE,actvstrat=,0.827994, actvprof=,11.520118, id=,S04, PRDE,actvstrat=,0.204469, actvprof=,7.598506, id=,S05, PRDE,actvstrat=,-0.866943, actvprof=,0.788600, id=,S06, PRDE,actvstrat=,-0.931624, actvprof=,0.418050, id=,S07, PRDE,actvstrat=,-0.175137, actvprof=,4.755490, id=,S08, PRDE,actvstrat=,-0.178243, actvprof=,5.077429, id=,S09, PRDE,actvstrat=,-0.663236, actvprof=,3.529673, best_B_id=,B03, best_B_prof=,1.994139, best_B_strat=,-0.931923, best_S_id=,S03, best_S_prof=,11.520118, best_S_strat=,0.827994, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.849538, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.059860, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.220439, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.209537, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.914423, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.362767, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.506764, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.355278, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.478615, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.426986, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.629599, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.191392, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.828771, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.390825, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.820162, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.594046, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.201512, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.175137, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.088089, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.851186, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.849538, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.629599, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.849538, actvprof=,4.424167, id=,B01, PRDE,actvstrat=,0.059860, actvprof=,2.959444, id=,B02, PRDE,actvstrat=,-0.220439, actvprof=,3.038056, id=,B03, PRDE,actvstrat=,0.209537, actvprof=,3.331667, id=,B04, PRDE,actvstrat=,-0.914423, actvprof=,4.285000, id=,B05, PRDE,actvstrat=,0.362767, actvprof=,3.324444, id=,B06, PRDE,actvstrat=,0.506764, actvprof=,3.580278, id=,B07, PRDE,actvstrat=,0.355278, actvprof=,3.565833, id=,B08, PRDE,actvstrat=,-0.478615, actvprof=,3.181389, id=,B09, PRDE,actvstrat=,-0.426986, actvprof=,3.367778, id=,S00, PRDE,actvstrat=,-0.629599, actvprof=,2.135833, id=,S01, PRDE,actvstrat=,0.191392, actvprof=,5.092500, id=,S02, PRDE,actvstrat=,0.828771, actvprof=,8.455556, id=,S03, PRDE,actvstrat=,0.390825, actvprof=,6.315556, id=,S04, PRDE,actvstrat=,0.820162, actvprof=,8.388889, id=,S05, PRDE,actvstrat=,0.594046, actvprof=,7.388333, id=,S06, PRDE,actvstrat=,0.201512, actvprof=,5.425833, id=,S07, PRDE,actvstrat=,-0.175137, actvprof=,2.934167, id=,S08, PRDE,actvstrat=,-0.088089, actvprof=,4.281667, id=,S09, PRDE,actvstrat=,0.851186, actvprof=,8.412500, best_B_id=,B00, best_B_prof=,4.424167, best_B_strat=,-0.849538, best_S_id=,S02, best_S_prof=,8.455556, best_S_strat=,0.828771, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.259894, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.048899, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.177485, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.460565, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.288513, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.170586, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.970493, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.314473, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.015352, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.192982, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.698938, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.145582, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.017604, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.347146, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.270171, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.872619, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.259894, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.015352, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.259894, actvprof=,2.766705, id=,B01, PRDE,actvstrat=,0.048899, actvprof=,2.665037, id=,B02, PRDE,actvstrat=,-0.177485, actvprof=,2.521146, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.778622, id=,B04, PRDE,actvstrat=,0.460565, actvprof=,3.002542, id=,B05, PRDE,actvstrat=,0.288513, actvprof=,2.619203, id=,B06, PRDE,actvstrat=,0.170586, actvprof=,2.670037, id=,B07, PRDE,actvstrat=,0.970493, actvprof=,1.214739, id=,B08, PRDE,actvstrat=,0.314473, actvprof=,2.725038, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.756677, id=,S00, PRDE,actvstrat=,-0.015352, actvprof=,6.434256, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.824873, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.021542, id=,S03, PRDE,actvstrat=,0.192982, actvprof=,7.437048, id=,S04, PRDE,actvstrat=,0.698938, actvprof=,10.177364, id=,S05, PRDE,actvstrat=,-0.145582, actvprof=,4.589508, id=,S06, PRDE,actvstrat=,0.017604, actvprof=,6.766761, id=,S07, PRDE,actvstrat=,0.347146, actvprof=,8.530952, id=,S08, PRDE,actvstrat=,0.270171, actvprof=,7.996778, id=,S09, PRDE,actvstrat=,-0.872619, actvprof=,0.813622, best_B_id=,B04, best_B_prof=,3.002542, best_B_strat=,0.460565, best_S_id=,S02, best_S_prof=,11.021542, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.259894, actvprof=,2.756667, id=,B01, PRDE,actvstrat=,0.048899, actvprof=,2.642917, id=,B02, PRDE,actvstrat=,-0.177485, actvprof=,2.660972, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.825556, id=,B04, PRDE,actvstrat=,0.460565, actvprof=,3.010139, id=,B05, PRDE,actvstrat=,0.288513, actvprof=,2.717222, id=,B06, PRDE,actvstrat=,0.170586, actvprof=,2.781389, id=,B07, PRDE,actvstrat=,0.970493, actvprof=,1.226528, id=,B08, PRDE,actvstrat=,0.314473, actvprof=,2.811111, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.896111, id=,S00, PRDE,actvstrat=,-0.015352, actvprof=,6.190417, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.599722, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.758194, id=,S03, PRDE,actvstrat=,0.192982, actvprof=,7.524722, id=,S04, PRDE,actvstrat=,0.698938, actvprof=,10.311806, id=,S05, PRDE,actvstrat=,-0.145582, actvprof=,5.033333, id=,S06, PRDE,actvstrat=,0.017604, actvprof=,6.753750, id=,S07, PRDE,actvstrat=,0.347146, actvprof=,8.518194, id=,S08, PRDE,actvstrat=,0.270171, actvprof=,7.668333, id=,S09, PRDE,actvstrat=,-0.872619, actvprof=,0.979583, best_B_id=,B04, best_B_prof=,3.010139, best_B_strat=,0.460565, best_S_id=,S02, best_S_prof=,10.758194, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.172381, actvprof=,2.635373, id=,B01, PRDE,actvstrat=,0.297476, actvprof=,2.853691, id=,B02, PRDE,actvstrat=,0.152345, actvprof=,2.478717, id=,B03, PRDE,actvstrat=,0.518684, actvprof=,3.162558, id=,B04, PRDE,actvstrat=,0.287006, actvprof=,2.844247, id=,B05, PRDE,actvstrat=,0.900281, actvprof=,2.104298, id=,B06, PRDE,actvstrat=,0.605212, actvprof=,3.075898, id=,B07, PRDE,actvstrat=,0.324074, actvprof=,2.833692, id=,B08, PRDE,actvstrat=,-0.010933, actvprof=,2.642317, id=,B09, PRDE,actvstrat=,-0.093806, actvprof=,2.493438, id=,S00, PRDE,actvstrat=,0.413619, actvprof=,7.965558, id=,S01, PRDE,actvstrat=,0.626740, actvprof=,9.192973, id=,S02, PRDE,actvstrat=,0.444034, actvprof=,7.749184, id=,S03, PRDE,actvstrat=,0.840927, actvprof=,9.841539, id=,S04, PRDE,actvstrat=,0.539805, actvprof=,8.550795, id=,S05, PRDE,actvstrat=,0.890294, actvprof=,10.456496, id=,S06, PRDE,actvstrat=,-0.869783, actvprof=,0.788556, id=,S07, PRDE,actvstrat=,0.860240, actvprof=,10.206513, id=,S08, PRDE,actvstrat=,-0.956459, actvprof=,1.353795, id=,S09, PRDE,actvstrat=,-0.455605, actvprof=,3.185890, best_B_id=,B03, best_B_prof=,3.162558, best_B_strat=,0.518684, best_S_id=,S05, best_S_prof=,10.456496, best_S_strat=,0.890294, 
t=,36000, id=,B00, PRDE,actvstrat=,0.172381, actvprof=,2.807817, id=,B01, PRDE,actvstrat=,0.297476, actvprof=,2.997958, id=,B02, PRDE,actvstrat=,0.152345, actvprof=,2.676843, id=,B03, PRDE,actvstrat=,0.518684, actvprof=,3.171711, id=,B04, PRDE,actvstrat=,0.287006, actvprof=,2.912124, id=,B05, PRDE,actvstrat=,0.900281, actvprof=,2.151974, id=,B06, PRDE,actvstrat=,0.605212, actvprof=,2.982680, id=,B07, PRDE,actvstrat=,0.324074, actvprof=,2.932541, id=,B08, PRDE,actvstrat=,-0.010933, actvprof=,2.673370, id=,B09, PRDE,actvstrat=,-0.093806, actvprof=,2.436978, id=,S00, PRDE,actvstrat=,0.413619, actvprof=,7.780525, id=,S01, PRDE,actvstrat=,0.626740, actvprof=,9.063181, id=,S02, PRDE,actvstrat=,0.444034, actvprof=,7.771775, id=,S03, PRDE,actvstrat=,0.840927, actvprof=,9.885971, id=,S04, PRDE,actvstrat=,0.539805, actvprof=,8.359283, id=,S05, PRDE,actvstrat=,0.890294, actvprof=,10.285282, id=,S06, PRDE,actvstrat=,-0.869783, actvprof=,0.863068, id=,S07, PRDE,actvstrat=,0.860240, actvprof=,10.148474, id=,S08, PRDE,actvstrat=,-0.956459, actvprof=,1.570300, id=,S09, PRDE,actvstrat=,-0.455605, actvprof=,3.140599, best_B_id=,B03, best_B_prof=,3.171711, best_B_strat=,0.518684, best_S_id=,S05, best_S_prof=,10.285282, best_S_strat=,0.890294, 
