t=,1, id=,B00, PRDE,actvstrat=,0.257321, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.200573, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.560073, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.453031, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.284904, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.321965, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.909428, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.560184, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.525816, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.822420, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.222588, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.787037, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.193373, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.651478, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.514478, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.888912, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.727622, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.521588, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.264539, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.918321, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.257321, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.222588, 
t=,3600, id=,B00, PRDE,actvstrat=,0.257321, actvprof=,2.061082, id=,B01, PRDE,actvstrat=,0.200573, actvprof=,2.080804, id=,B02, PRDE,actvstrat=,0.560073, actvprof=,2.354134, id=,B03, PRDE,actvstrat=,-0.453031, actvprof=,1.948862, id=,B04, PRDE,actvstrat=,-0.284904, actvprof=,1.691365, id=,B05, PRDE,actvstrat=,0.321965, actvprof=,2.061360, id=,B06, PRDE,actvstrat=,-0.909428, actvprof=,3.299676, id=,B07, PRDE,actvstrat=,-0.560184, actvprof=,2.021639, id=,B08, PRDE,actvstrat=,0.525816, actvprof=,2.341912, id=,B09, PRDE,actvstrat=,0.822420, actvprof=,2.338023, id=,S00, PRDE,actvstrat=,-0.222588, actvprof=,3.875224, id=,S01, PRDE,actvstrat=,0.787037, actvprof=,9.991250, id=,S02, PRDE,actvstrat=,-0.193373, actvprof=,3.771059, id=,S03, PRDE,actvstrat=,0.651478, actvprof=,8.979042, id=,S04, PRDE,actvstrat=,0.514478, actvprof=,7.938223, id=,S05, PRDE,actvstrat=,0.888912, actvprof=,10.572075, id=,S06, PRDE,actvstrat=,-0.727622, actvprof=,2.135248, id=,S07, PRDE,actvstrat=,0.521588, actvprof=,8.421550, id=,S08, PRDE,actvstrat=,-0.264539, actvprof=,3.678560, id=,S09, PRDE,actvstrat=,-0.918321, actvprof=,0.659991, best_B_id=,B06, best_B_prof=,3.299676, best_B_strat=,-0.909428, best_S_id=,S05, best_S_prof=,10.572075, best_S_strat=,0.888912, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.335857, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.950447, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.199870, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.118003, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.619373, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.363720, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.072123, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.542539, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.443361, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.613913, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.012256, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.226025, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.739944, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.295150, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.045836, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.519031, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.630392, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.779145, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.219363, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.736662, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.335857, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.012256, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.335857, actvprof=,2.184414, id=,B01, PRDE,actvstrat=,-0.950447, actvprof=,3.693838, id=,B02, PRDE,actvstrat=,-0.199870, actvprof=,2.204136, id=,B03, PRDE,actvstrat=,-0.118003, actvprof=,2.196914, id=,B04, PRDE,actvstrat=,0.619373, actvprof=,2.885793, id=,B05, PRDE,actvstrat=,-0.363720, actvprof=,2.001083, id=,B06, PRDE,actvstrat=,-0.072123, actvprof=,2.234413, id=,B07, PRDE,actvstrat=,-0.542539, actvprof=,2.128859, id=,B08, PRDE,actvstrat=,-0.443361, actvprof=,2.323301, id=,B09, PRDE,actvstrat=,-0.613913, actvprof=,2.462744, id=,S00, PRDE,actvstrat=,-0.012256, actvprof=,5.053263, id=,S01, PRDE,actvstrat=,-0.226025, actvprof=,2.969959, id=,S02, PRDE,actvstrat=,-0.739944, actvprof=,1.327204, id=,S03, PRDE,actvstrat=,0.295150, actvprof=,5.739087, id=,S04, PRDE,actvstrat=,-0.045836, actvprof=,3.989945, id=,S05, PRDE,actvstrat=,0.519031, actvprof=,7.020458, id=,S06, PRDE,actvstrat=,0.630392, actvprof=,7.865446, id=,S07, PRDE,actvstrat=,-0.779145, actvprof=,0.919709, id=,S08, PRDE,actvstrat=,-0.219363, actvprof=,2.744129, id=,S09, PRDE,actvstrat=,0.736662, actvprof=,8.476549, best_B_id=,B01, best_B_prof=,3.693838, best_B_strat=,-0.950447, best_S_id=,S09, best_S_prof=,8.476549, best_S_strat=,0.736662, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.848429, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.950076, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.834537, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.935189, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.284968, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.553414, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.719133, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.185537, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.477998, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.789914, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.933883, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.195723, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.433961, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.132625, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.454125, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.519031, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.942487, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.292661, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.023248, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.107611, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.848429, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.933883, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.848429, actvprof=,1.762222, id=,B01, PRDE,actvstrat=,-0.950076, actvprof=,2.520556, id=,B02, PRDE,actvstrat=,-0.834537, actvprof=,1.784167, id=,B03, PRDE,actvstrat=,-0.935189, actvprof=,2.321944, id=,B04, PRDE,actvstrat=,0.284968, actvprof=,1.382500, id=,B05, PRDE,actvstrat=,0.553414, actvprof=,1.529722, id=,B06, PRDE,actvstrat=,0.719133, actvprof=,1.870556, id=,B07, PRDE,actvstrat=,-0.185537, actvprof=,0.908611, id=,B08, PRDE,actvstrat=,0.477998, actvprof=,1.492778, id=,B09, PRDE,actvstrat=,0.789914, actvprof=,1.673333, id=,S00, PRDE,actvstrat=,-0.933883, actvprof=,0.286944, id=,S01, PRDE,actvstrat=,-0.195723, actvprof=,4.092222, id=,S02, PRDE,actvstrat=,0.433961, actvprof=,8.231389, id=,S03, PRDE,actvstrat=,-0.132625, actvprof=,4.366389, id=,S04, PRDE,actvstrat=,-0.454125, actvprof=,3.235000, id=,S05, PRDE,actvstrat=,0.519031, actvprof=,9.051944, id=,S06, PRDE,actvstrat=,0.942487, actvprof=,11.443611, id=,S07, PRDE,actvstrat=,0.292661, actvprof=,7.617778, id=,S08, PRDE,actvstrat=,-0.023248, actvprof=,5.701389, id=,S09, PRDE,actvstrat=,-0.107611, actvprof=,5.282500, best_B_id=,B01, best_B_prof=,2.520556, best_B_strat=,-0.950076, best_S_id=,S06, best_S_prof=,11.443611, best_S_strat=,0.942487, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.848429, actvprof=,1.700139, id=,B01, PRDE,actvstrat=,-0.950076, actvprof=,2.453611, id=,B02, PRDE,actvstrat=,-0.834537, actvprof=,1.753472, id=,B03, PRDE,actvstrat=,-0.935189, actvprof=,2.290278, id=,B04, PRDE,actvstrat=,0.284968, actvprof=,1.338333, id=,B05, PRDE,actvstrat=,0.553414, actvprof=,1.571944, id=,B06, PRDE,actvstrat=,0.719133, actvprof=,1.870694, id=,B07, PRDE,actvstrat=,-0.185537, actvprof=,0.907778, id=,B08, PRDE,actvstrat=,0.477998, actvprof=,1.552222, id=,B09, PRDE,actvstrat=,0.789914, actvprof=,1.758333, id=,S00, PRDE,actvstrat=,-0.933883, actvprof=,0.229444, id=,S01, PRDE,actvstrat=,-0.195723, actvprof=,4.036806, id=,S02, PRDE,actvstrat=,0.433961, actvprof=,8.233611, id=,S03, PRDE,actvstrat=,-0.132625, actvprof=,4.551389, id=,S04, PRDE,actvstrat=,-0.454125, actvprof=,3.414028, id=,S05, PRDE,actvstrat=,0.519031, actvprof=,8.885833, id=,S06, PRDE,actvstrat=,0.942487, actvprof=,11.313611, id=,S07, PRDE,actvstrat=,0.292661, actvprof=,7.510139, id=,S08, PRDE,actvstrat=,-0.023248, actvprof=,5.647639, id=,S09, PRDE,actvstrat=,-0.107611, actvprof=,5.180694, best_B_id=,B01, best_B_prof=,2.453611, best_B_strat=,-0.950076, best_S_id=,S06, best_S_prof=,11.313611, best_S_strat=,0.942487, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.493625, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.114475, id=,B02, PRDE,actvstrat=,-0.252734, actvprof=,0.824467, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.450013, id=,B04, PRDE,actvstrat=,0.346831, actvprof=,1.103642, id=,B05, PRDE,actvstrat=,-0.972052, actvprof=,1.021973, id=,B06, PRDE,actvstrat=,0.905750, actvprof=,1.046696, id=,B07, PRDE,actvstrat=,-0.367260, actvprof=,0.706409, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.062530, id=,B09, PRDE,actvstrat=,0.250570, actvprof=,0.913636, id=,S00, PRDE,actvstrat=,-0.238071, actvprof=,5.176810, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.397594, id=,S02, PRDE,actvstrat=,0.881912, actvprof=,12.907581, id=,S03, PRDE,actvstrat=,0.321607, actvprof=,9.399983, id=,S04, PRDE,actvstrat=,-0.762473, actvprof=,3.017028, id=,S05, PRDE,actvstrat=,0.129372, actvprof=,7.648268, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.896192, id=,S07, PRDE,actvstrat=,-0.855209, actvprof=,1.437818, id=,S08, PRDE,actvstrat=,0.169803, actvprof=,8.976083, id=,S09, PRDE,actvstrat=,0.006071, actvprof=,7.851885, best_B_id=,B01, best_B_prof=,1.114475, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,12.907581, best_S_strat=,0.881912, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.468895, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.056542, id=,B02, PRDE,actvstrat=,-0.252734, actvprof=,0.753899, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.434728, id=,B04, PRDE,actvstrat=,0.346831, actvprof=,1.090015, id=,B05, PRDE,actvstrat=,-0.972052, actvprof=,0.969458, id=,B06, PRDE,actvstrat=,0.905750, actvprof=,1.046681, id=,B07, PRDE,actvstrat=,-0.367260, actvprof=,0.765566, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.075709, id=,B09, PRDE,actvstrat=,0.250570, actvprof=,0.914596, id=,S00, PRDE,actvstrat=,-0.238071, actvprof=,5.148266, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.212822, id=,S02, PRDE,actvstrat=,0.881912, actvprof=,12.940041, id=,S03, PRDE,actvstrat=,0.321607, actvprof=,9.392492, id=,S04, PRDE,actvstrat=,-0.762473, actvprof=,2.813372, id=,S05, PRDE,actvstrat=,0.129372, actvprof=,8.146641, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,12.993097, id=,S07, PRDE,actvstrat=,-0.855209, actvprof=,1.318352, id=,S08, PRDE,actvstrat=,0.169803, actvprof=,8.867345, id=,S09, PRDE,actvstrat=,0.006071, actvprof=,7.748163, best_B_id=,B04, best_B_prof=,1.090015, best_B_strat=,0.346831, best_S_id=,S06, best_S_prof=,12.993097, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.650023, actvprof=,1.489784, id=,B01, PRDE,actvstrat=,-0.959112, actvprof=,1.790352, id=,B02, PRDE,actvstrat=,0.505966, actvprof=,1.366724, id=,B03, PRDE,actvstrat=,-0.935189, actvprof=,1.768129, id=,B04, PRDE,actvstrat=,0.346831, actvprof=,1.143103, id=,B05, PRDE,actvstrat=,-0.048573, actvprof=,1.007820, id=,B06, PRDE,actvstrat=,-0.487124, actvprof=,0.772532, id=,B07, PRDE,actvstrat=,0.168254, actvprof=,0.963651, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.084531, id=,B09, PRDE,actvstrat=,-0.983645, actvprof=,1.890912, id=,S00, PRDE,actvstrat=,-0.238071, actvprof=,4.256844, id=,S01, PRDE,actvstrat=,0.333238, actvprof=,7.973666, id=,S02, PRDE,actvstrat=,-0.029525, actvprof=,6.728336, id=,S03, PRDE,actvstrat=,-0.208467, actvprof=,4.303790, id=,S04, PRDE,actvstrat=,-0.762739, actvprof=,1.852855, id=,S05, PRDE,actvstrat=,-0.083884, actvprof=,5.003264, id=,S06, PRDE,actvstrat=,-0.049413, actvprof=,5.511063, id=,S07, PRDE,actvstrat=,0.468251, actvprof=,9.286776, id=,S08, PRDE,actvstrat=,0.583532, actvprof=,9.594011, id=,S09, PRDE,actvstrat=,-0.312781, actvprof=,3.770435, best_B_id=,B08, best_B_prof=,2.084531, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.594011, best_S_strat=,0.583532, 
t=,36000, id=,B00, PRDE,actvstrat=,0.650023, actvprof=,1.499753, id=,B01, PRDE,actvstrat=,-0.959112, actvprof=,1.726286, id=,B02, PRDE,actvstrat=,0.505966, actvprof=,1.324333, id=,B03, PRDE,actvstrat=,-0.935189, actvprof=,1.636701, id=,B04, PRDE,actvstrat=,0.346831, actvprof=,1.181969, id=,B05, PRDE,actvstrat=,-0.048573, actvprof=,0.935436, id=,B06, PRDE,actvstrat=,-0.487124, actvprof=,0.845018, id=,B07, PRDE,actvstrat=,0.168254, actvprof=,1.038633, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.191018, id=,B09, PRDE,actvstrat=,-0.983645, actvprof=,1.889206, id=,S00, PRDE,actvstrat=,-0.238071, actvprof=,3.989666, id=,S01, PRDE,actvstrat=,0.333238, actvprof=,7.915026, id=,S02, PRDE,actvstrat=,-0.029525, actvprof=,6.371244, id=,S03, PRDE,actvstrat=,-0.208467, actvprof=,4.195643, id=,S04, PRDE,actvstrat=,-0.762739, actvprof=,1.917123, id=,S05, PRDE,actvstrat=,-0.083884, actvprof=,4.960381, id=,S06, PRDE,actvstrat=,-0.049413, actvprof=,5.773176, id=,S07, PRDE,actvstrat=,0.468251, actvprof=,9.231720, id=,S08, PRDE,actvstrat=,0.583532, actvprof=,9.507420, id=,S09, PRDE,actvstrat=,-0.312781, actvprof=,3.782857, best_B_id=,B08, best_B_prof=,2.191018, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.507420, best_S_strat=,0.583532, 
