t=,0, id=,B00, PRDE,actvstrat=,0.222590, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.938410, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.449287, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.528044, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.486606, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.041492, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.089171, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.206279, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.992593, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.871891, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.946353, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.996055, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.835975, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.956061, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.960146, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.202375, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.579443, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.687232, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.628690, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.917112, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.222590, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.946353, 
t=,3600, id=,B00, PRDE,actvstrat=,0.222590, actvprof=,1.749045, id=,B01, PRDE,actvstrat=,0.938410, actvprof=,1.835984, id=,B02, PRDE,actvstrat=,0.449287, actvprof=,2.018749, id=,B03, PRDE,actvstrat=,-0.528044, actvprof=,1.495174, id=,B04, PRDE,actvstrat=,-0.486606, actvprof=,1.331296, id=,B05, PRDE,actvstrat=,-0.041492, actvprof=,1.479897, id=,B06, PRDE,actvstrat=,0.089171, actvprof=,1.537949, id=,B07, PRDE,actvstrat=,0.206279, actvprof=,1.715992, id=,B08, PRDE,actvstrat=,-0.992593, actvprof=,2.659538, id=,B09, PRDE,actvstrat=,-0.871891, actvprof=,2.115686, id=,S00, PRDE,actvstrat=,-0.946353, actvprof=,2.803972, id=,S01, PRDE,actvstrat=,-0.996055, actvprof=,6.443441, id=,S02, PRDE,actvstrat=,-0.835975, actvprof=,3.771683, id=,S03, PRDE,actvstrat=,-0.956061, actvprof=,2.985348, id=,S04, PRDE,actvstrat=,-0.960146, actvprof=,3.419763, id=,S05, PRDE,actvstrat=,0.202375, actvprof=,8.647455, id=,S06, PRDE,actvstrat=,-0.579443, actvprof=,6.275398, id=,S07, PRDE,actvstrat=,-0.687232, actvprof=,5.631553, id=,S08, PRDE,actvstrat=,-0.628690, actvprof=,6.378446, id=,S09, PRDE,actvstrat=,0.917112, actvprof=,10.342893, best_B_id=,B08, best_B_prof=,2.659538, best_B_strat=,-0.992593, best_S_id=,S09, best_S_prof=,10.342893, best_S_strat=,0.917112, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.352539, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.183790, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.893772, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.246335, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.202490, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.744255, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.564012, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.810877, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.226963, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.313535, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.215513, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.544026, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.182650, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.201345, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.912758, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.578901, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.370338, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.009351, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.045889, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.060884, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.352539, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.215513, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.352539, actvprof=,2.169414, id=,B01, PRDE,actvstrat=,0.183790, actvprof=,2.460244, id=,B02, PRDE,actvstrat=,-0.893772, actvprof=,3.728837, id=,B03, PRDE,actvstrat=,-0.246335, actvprof=,2.219969, id=,B04, PRDE,actvstrat=,0.202490, actvprof=,2.368023, id=,B05, PRDE,actvstrat=,-0.744255, actvprof=,2.860794, id=,B06, PRDE,actvstrat=,-0.564012, actvprof=,2.307746, id=,B07, PRDE,actvstrat=,0.810877, actvprof=,2.513854, id=,B08, PRDE,actvstrat=,0.226963, actvprof=,2.556353, id=,B09, PRDE,actvstrat=,0.313535, actvprof=,2.556631, id=,S00, PRDE,actvstrat=,-0.215513, actvprof=,4.326051, id=,S01, PRDE,actvstrat=,-0.544026, actvprof=,3.740504, id=,S02, PRDE,actvstrat=,0.182650, actvprof=,6.598519, id=,S03, PRDE,actvstrat=,0.201345, actvprof=,6.972403, id=,S04, PRDE,actvstrat=,0.912758, actvprof=,9.286815, id=,S05, PRDE,actvstrat=,-0.578901, actvprof=,3.534118, id=,S06, PRDE,actvstrat=,-0.370338, actvprof=,4.237163, id=,S07, PRDE,actvstrat=,-0.009351, actvprof=,6.156303, id=,S08, PRDE,actvstrat=,-0.045889, actvprof=,5.661032, id=,S09, PRDE,actvstrat=,0.060884, actvprof=,6.210747, best_B_id=,B02, best_B_prof=,3.728837, best_B_strat=,-0.893772, best_S_id=,S04, best_S_prof=,9.286815, best_S_strat=,0.912758, 
t=,14400, id=,B00, PRDE,actvstrat=,0.522018, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.195627, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.893772, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.709708, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.471711, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.744255, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.713641, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.004503, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.028556, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.978442, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.957703, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.360288, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.182650, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.699945, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.270747, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.818579, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.667637, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.284176, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.597658, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.849177, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.522018, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.957703, 
t=,18000, id=,B00, PRDE,actvstrat=,0.522018, actvprof=,2.414133, id=,B01, PRDE,actvstrat=,-0.195627, actvprof=,1.807197, id=,B02, PRDE,actvstrat=,-0.893772, actvprof=,2.938293, id=,B03, PRDE,actvstrat=,-0.709708, actvprof=,2.271080, id=,B04, PRDE,actvstrat=,-0.471711, actvprof=,1.764698, id=,B05, PRDE,actvstrat=,-0.744255, actvprof=,2.339968, id=,B06, PRDE,actvstrat=,0.713641, actvprof=,2.448855, id=,B07, PRDE,actvstrat=,0.004503, actvprof=,1.858585, id=,B08, PRDE,actvstrat=,-0.028556, actvprof=,1.876918, id=,B09, PRDE,actvstrat=,0.978442, actvprof=,1.112762, id=,S00, PRDE,actvstrat=,-0.957703, actvprof=,1.921640, id=,S01, PRDE,actvstrat=,0.360288, actvprof=,7.932668, id=,S02, PRDE,actvstrat=,0.182650, actvprof=,7.075457, id=,S03, PRDE,actvstrat=,-0.699945, actvprof=,3.476618, id=,S04, PRDE,actvstrat=,-0.270747, actvprof=,5.000208, id=,S05, PRDE,actvstrat=,-0.818579, actvprof=,1.803031, id=,S06, PRDE,actvstrat=,0.667637, actvprof=,9.666255, id=,S07, PRDE,actvstrat=,0.284176, actvprof=,8.001278, id=,S08, PRDE,actvstrat=,-0.597658, actvprof=,3.491063, id=,S09, PRDE,actvstrat=,0.849177, actvprof=,10.642630, best_B_id=,B02, best_B_prof=,2.938293, best_B_strat=,-0.893772, best_S_id=,S09, best_S_prof=,10.642630, best_S_strat=,0.849177, 
t=,21600, id=,B00, PRDE,actvstrat=,0.522018, actvprof=,2.347361, id=,B01, PRDE,actvstrat=,-0.195627, actvprof=,1.751250, id=,B02, PRDE,actvstrat=,-0.893772, actvprof=,2.999306, id=,B03, PRDE,actvstrat=,-0.709708, actvprof=,2.267361, id=,B04, PRDE,actvstrat=,-0.471711, actvprof=,1.722361, id=,B05, PRDE,actvstrat=,-0.744255, actvprof=,2.434028, id=,B06, PRDE,actvstrat=,0.713641, actvprof=,2.378889, id=,B07, PRDE,actvstrat=,0.004503, actvprof=,1.791667, id=,B08, PRDE,actvstrat=,-0.028556, actvprof=,1.779583, id=,B09, PRDE,actvstrat=,0.978442, actvprof=,1.126944, id=,S00, PRDE,actvstrat=,-0.957703, actvprof=,1.781944, id=,S01, PRDE,actvstrat=,0.360288, actvprof=,8.007639, id=,S02, PRDE,actvstrat=,0.182650, actvprof=,7.116944, id=,S03, PRDE,actvstrat=,-0.699945, actvprof=,3.479444, id=,S04, PRDE,actvstrat=,-0.270747, actvprof=,4.662778, id=,S05, PRDE,actvstrat=,-0.818579, actvprof=,1.794583, id=,S06, PRDE,actvstrat=,0.667637, actvprof=,9.457222, id=,S07, PRDE,actvstrat=,0.284176, actvprof=,7.846250, id=,S08, PRDE,actvstrat=,-0.597658, actvprof=,3.709444, id=,S09, PRDE,actvstrat=,0.849177, actvprof=,10.345000, best_B_id=,B02, best_B_prof=,2.999306, best_B_strat=,-0.893772, best_S_id=,S09, best_S_prof=,10.345000, best_S_strat=,0.849177, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.284254, actvprof=,1.986139, id=,B01, PRDE,actvstrat=,-0.674231, actvprof=,2.725871, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.229462, id=,B03, PRDE,actvstrat=,0.196968, actvprof=,2.410311, id=,B04, PRDE,actvstrat=,0.289277, actvprof=,2.587536, id=,B05, PRDE,actvstrat=,-0.895688, actvprof=,3.651995, id=,B06, PRDE,actvstrat=,-0.739929, actvprof=,2.750038, id=,B07, PRDE,actvstrat=,-0.426145, actvprof=,1.976972, id=,B08, PRDE,actvstrat=,-0.457970, actvprof=,2.137530, id=,B09, PRDE,actvstrat=,0.050538, actvprof=,1.877526, id=,S00, PRDE,actvstrat=,-0.073742, actvprof=,4.700899, id=,S01, PRDE,actvstrat=,-0.914383, actvprof=,0.770844, id=,S02, PRDE,actvstrat=,0.307202, actvprof=,6.569536, id=,S03, PRDE,actvstrat=,0.118020, actvprof=,6.065362, id=,S04, PRDE,actvstrat=,0.147976, actvprof=,6.042028, id=,S05, PRDE,actvstrat=,0.630926, actvprof=,8.240392, id=,S06, PRDE,actvstrat=,-0.504548, actvprof=,2.400589, id=,S07, PRDE,actvstrat=,0.103527, actvprof=,5.998417, id=,S08, PRDE,actvstrat=,0.914082, actvprof=,9.526243, id=,S09, PRDE,actvstrat=,-0.489322, actvprof=,3.264490, best_B_id=,B05, best_B_prof=,3.651995, best_B_strat=,-0.895688, best_S_id=,S08, best_S_prof=,9.526243, best_S_strat=,0.914082, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.284254, actvprof=,1.917083, id=,B01, PRDE,actvstrat=,-0.674231, actvprof=,2.606806, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.174306, id=,B03, PRDE,actvstrat=,0.196968, actvprof=,2.321806, id=,B04, PRDE,actvstrat=,0.289277, actvprof=,2.570972, id=,B05, PRDE,actvstrat=,-0.895688, actvprof=,3.515556, id=,B06, PRDE,actvstrat=,-0.739929, actvprof=,2.722917, id=,B07, PRDE,actvstrat=,-0.426145, actvprof=,1.927222, id=,B08, PRDE,actvstrat=,-0.457970, actvprof=,2.076389, id=,B09, PRDE,actvstrat=,0.050538, actvprof=,2.122222, id=,S00, PRDE,actvstrat=,-0.073742, actvprof=,4.584861, id=,S01, PRDE,actvstrat=,-0.914383, actvprof=,0.805139, id=,S02, PRDE,actvstrat=,0.307202, actvprof=,7.065000, id=,S03, PRDE,actvstrat=,0.118020, actvprof=,6.163056, id=,S04, PRDE,actvstrat=,0.147976, actvprof=,6.013056, id=,S05, PRDE,actvstrat=,0.630926, actvprof=,8.375000, id=,S06, PRDE,actvstrat=,-0.504548, actvprof=,2.658472, id=,S07, PRDE,actvstrat=,0.103527, actvprof=,5.848750, id=,S08, PRDE,actvstrat=,0.914082, actvprof=,9.620000, id=,S09, PRDE,actvstrat=,-0.489322, actvprof=,2.978056, best_B_id=,B05, best_B_prof=,3.515556, best_B_strat=,-0.895688, best_S_id=,S08, best_S_prof=,9.620000, best_S_strat=,0.914082, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.168224, actvprof=,1.187811, id=,B01, PRDE,actvstrat=,0.731077, actvprof=,1.945332, id=,B02, PRDE,actvstrat=,0.982089, actvprof=,0.679741, id=,B03, PRDE,actvstrat=,-0.889013, actvprof=,2.111725, id=,B04, PRDE,actvstrat=,-0.311376, actvprof=,1.283369, id=,B05, PRDE,actvstrat=,0.139713, actvprof=,1.377538, id=,B06, PRDE,actvstrat=,0.203779, actvprof=,1.301981, id=,B07, PRDE,actvstrat=,0.024951, actvprof=,1.276702, id=,B08, PRDE,actvstrat=,-0.494489, actvprof=,1.276702, id=,B09, PRDE,actvstrat=,0.291946, actvprof=,1.367538, id=,S00, PRDE,actvstrat=,0.669851, actvprof=,10.249729, id=,S01, PRDE,actvstrat=,-0.954512, actvprof=,1.096419, id=,S02, PRDE,actvstrat=,0.006709, actvprof=,6.328231, id=,S03, PRDE,actvstrat=,-0.711815, actvprof=,2.927026, id=,S04, PRDE,actvstrat=,0.552172, actvprof=,9.210534, id=,S05, PRDE,actvstrat=,-0.651279, actvprof=,3.278424, id=,S06, PRDE,actvstrat=,-0.483135, actvprof=,3.739271, id=,S07, PRDE,actvstrat=,0.136495, actvprof=,6.732409, id=,S08, PRDE,actvstrat=,-0.725585, actvprof=,2.503403, id=,S09, PRDE,actvstrat=,0.060884, actvprof=,6.594628, best_B_id=,B03, best_B_prof=,2.111725, best_B_strat=,-0.889013, best_S_id=,S00, best_S_prof=,10.249729, best_S_strat=,0.669851, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.168224, actvprof=,1.210564, id=,B01, PRDE,actvstrat=,0.731077, actvprof=,2.001542, id=,B02, PRDE,actvstrat=,0.982089, actvprof=,0.740838, id=,B03, PRDE,actvstrat=,-0.889013, actvprof=,2.224877, id=,B04, PRDE,actvstrat=,-0.311376, actvprof=,1.232786, id=,B05, PRDE,actvstrat=,0.139713, actvprof=,1.399037, id=,B06, PRDE,actvstrat=,0.203779, actvprof=,1.376121, id=,B07, PRDE,actvstrat=,0.024951, actvprof=,1.303065, id=,B08, PRDE,actvstrat=,-0.494489, actvprof=,1.273898, id=,B09, PRDE,actvstrat=,0.291946, actvprof=,1.500844, id=,S00, PRDE,actvstrat=,0.669851, actvprof=,10.090487, id=,S01, PRDE,actvstrat=,-0.954512, actvprof=,1.048341, id=,S02, PRDE,actvstrat=,0.006709, actvprof=,6.649213, id=,S03, PRDE,actvstrat=,-0.711815, actvprof=,2.796547, id=,S04, PRDE,actvstrat=,0.552172, actvprof=,9.203258, id=,S05, PRDE,actvstrat=,-0.651279, actvprof=,3.184605, id=,S06, PRDE,actvstrat=,-0.483135, actvprof=,3.714470, id=,S07, PRDE,actvstrat=,0.136495, actvprof=,6.880187, id=,S08, PRDE,actvstrat=,-0.725585, actvprof=,2.520990, id=,S09, PRDE,actvstrat=,0.060884, actvprof=,6.815464, best_B_id=,B03, best_B_prof=,2.224877, best_B_strat=,-0.889013, best_S_id=,S00, best_S_prof=,10.090487, best_S_strat=,0.669851, 
