t=,3600, id=,B00, PRDE,actvstrat=,0.709515, actvprof=,2.284103, id=,B01, PRDE,actvstrat=,-0.711005, actvprof=,1.897725, id=,B02, PRDE,actvstrat=,0.957984, actvprof=,1.389128, id=,B03, PRDE,actvstrat=,-0.926394, actvprof=,3.125191, id=,B04, PRDE,actvstrat=,-0.827928, actvprof=,2.266326, id=,B05, PRDE,actvstrat=,0.170900, actvprof=,1.635232, id=,B06, PRDE,actvstrat=,-0.907645, actvprof=,2.879364, id=,B07, PRDE,actvstrat=,-0.342527, actvprof=,1.273298, id=,B08, PRDE,actvstrat=,-0.577972, actvprof=,1.699397, id=,B09, PRDE,actvstrat=,0.439461, actvprof=,2.087998, id=,S00, PRDE,actvstrat=,0.796280, actvprof=,10.141663, id=,S01, PRDE,actvstrat=,-0.315734, actvprof=,3.709064, id=,S02, PRDE,actvstrat=,-0.998868, actvprof=,4.680703, id=,S03, PRDE,actvstrat=,0.996298, actvprof=,10.579984, id=,S04, PRDE,actvstrat=,-0.823995, actvprof=,1.390239, id=,S05, PRDE,actvstrat=,-0.928425, actvprof=,0.821922, id=,S06, PRDE,actvstrat=,0.696131, actvprof=,9.780562, id=,S07, PRDE,actvstrat=,-0.615680, actvprof=,3.052137, id=,S08, PRDE,actvstrat=,-0.600455, actvprof=,3.240466, id=,S09, PRDE,actvstrat=,0.594782, actvprof=,8.818922, best_B_id=,B03, best_B_prof=,3.125191, best_B_strat=,-0.926394, best_S_id=,S03, best_S_prof=,10.579984, best_S_strat=,0.996298, 
t=,7200, id=,B00, PRDE,actvstrat=,0.545773, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.972556, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.198087, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.348749, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.899167, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.904310, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.245247, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.179974, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.102229, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.199561, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.191864, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.940700, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.204130, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.741075, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.320320, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.749572, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.887600, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.682116, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.143469, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.231323, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.545773, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.191864, 
t=,10800, id=,B00, PRDE,actvstrat=,0.545773, actvprof=,2.809683, id=,B01, PRDE,actvstrat=,-0.972556, actvprof=,3.379953, id=,B02, PRDE,actvstrat=,0.198087, actvprof=,2.295246, id=,B03, PRDE,actvstrat=,0.348749, actvprof=,2.491077, id=,B04, PRDE,actvstrat=,-0.899167, actvprof=,3.114401, id=,B05, PRDE,actvstrat=,-0.904310, actvprof=,3.207178, id=,B06, PRDE,actvstrat=,-0.245247, actvprof=,2.093582, id=,B07, PRDE,actvstrat=,0.179974, actvprof=,2.432188, id=,B08, PRDE,actvstrat=,0.102229, actvprof=,2.232469, id=,B09, PRDE,actvstrat=,0.199561, actvprof=,2.379411, id=,S00, PRDE,actvstrat=,-0.191864, actvprof=,3.373009, id=,S01, PRDE,actvstrat=,0.940700, actvprof=,10.026250, id=,S02, PRDE,actvstrat=,-0.204130, actvprof=,3.412175, id=,S03, PRDE,actvstrat=,0.741075, actvprof=,9.340704, id=,S04, PRDE,actvstrat=,0.320320, actvprof=,6.582964, id=,S05, PRDE,actvstrat=,0.749572, actvprof=,9.215428, id=,S06, PRDE,actvstrat=,0.887600, actvprof=,9.940417, id=,S07, PRDE,actvstrat=,-0.682116, actvprof=,2.035250, id=,S08, PRDE,actvstrat=,-0.143469, actvprof=,3.755781, id=,S09, PRDE,actvstrat=,-0.231323, actvprof=,3.614950, best_B_id=,B01, best_B_prof=,3.379953, best_B_strat=,-0.972556, best_S_id=,S01, best_S_prof=,10.026250, best_S_strat=,0.940700, 
t=,14400, id=,B00, PRDE,actvstrat=,0.435630, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.411924, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.343700, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.231513, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.782885, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.261035, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.691837, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.283984, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.797731, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.047299, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.051549, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.781286, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.378312, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.733560, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.466627, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.823182, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.887600, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.362844, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.548032, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.260138, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.435630, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.051549, 
t=,18000, id=,B00, PRDE,actvstrat=,0.435630, actvprof=,2.664167, id=,B01, PRDE,actvstrat=,-0.411924, actvprof=,2.184444, id=,B02, PRDE,actvstrat=,-0.343700, actvprof=,2.103333, id=,B03, PRDE,actvstrat=,0.231513, actvprof=,2.245000, id=,B04, PRDE,actvstrat=,0.782885, actvprof=,2.554167, id=,B05, PRDE,actvstrat=,0.261035, actvprof=,2.530556, id=,B06, PRDE,actvstrat=,-0.691837, actvprof=,2.773333, id=,B07, PRDE,actvstrat=,0.283984, actvprof=,2.359444, id=,B08, PRDE,actvstrat=,-0.797731, actvprof=,3.229167, id=,B09, PRDE,actvstrat=,0.047299, actvprof=,2.163889, id=,S00, PRDE,actvstrat=,-0.051549, actvprof=,4.545556, id=,S01, PRDE,actvstrat=,0.781286, actvprof=,9.490833, id=,S02, PRDE,actvstrat=,0.378312, actvprof=,6.884722, id=,S03, PRDE,actvstrat=,0.733560, actvprof=,9.009444, id=,S04, PRDE,actvstrat=,-0.466627, actvprof=,2.458611, id=,S05, PRDE,actvstrat=,-0.823182, actvprof=,0.986111, id=,S06, PRDE,actvstrat=,0.887600, actvprof=,9.774167, id=,S07, PRDE,actvstrat=,-0.362844, actvprof=,3.011111, id=,S08, PRDE,actvstrat=,0.548032, actvprof=,7.568056, id=,S09, PRDE,actvstrat=,-0.260138, actvprof=,3.308333, best_B_id=,B08, best_B_prof=,3.229167, best_B_strat=,-0.797731, best_S_id=,S06, best_S_prof=,9.774167, best_S_strat=,0.887600, 
t=,21600, id=,B00, PRDE,actvstrat=,0.435630, actvprof=,2.616268, id=,B01, PRDE,actvstrat=,-0.411924, actvprof=,2.176404, id=,B02, PRDE,actvstrat=,-0.343700, actvprof=,2.048625, id=,B03, PRDE,actvstrat=,0.231513, actvprof=,2.405433, id=,B04, PRDE,actvstrat=,0.782885, actvprof=,2.648768, id=,B05, PRDE,actvstrat=,0.261035, actvprof=,2.430572, id=,B06, PRDE,actvstrat=,-0.691837, actvprof=,2.711130, id=,B07, PRDE,actvstrat=,0.283984, actvprof=,2.375572, id=,B08, PRDE,actvstrat=,-0.797731, actvprof=,3.322523, id=,B09, PRDE,actvstrat=,0.047299, actvprof=,2.167654, id=,S00, PRDE,actvstrat=,-0.051549, actvprof=,4.660449, id=,S01, PRDE,actvstrat=,0.781286, actvprof=,9.625345, id=,S02, PRDE,actvstrat=,0.378312, actvprof=,6.930187, id=,S03, PRDE,actvstrat=,0.733560, actvprof=,8.991868, id=,S04, PRDE,actvstrat=,-0.466627, actvprof=,2.451406, id=,S05, PRDE,actvstrat=,-0.823182, actvprof=,0.893062, id=,S06, PRDE,actvstrat=,0.887600, actvprof=,9.792290, id=,S07, PRDE,actvstrat=,-0.362844, actvprof=,2.823492, id=,S08, PRDE,actvstrat=,0.548032, actvprof=,7.736582, id=,S09, PRDE,actvstrat=,-0.260138, actvprof=,3.137383, best_B_id=,B08, best_B_prof=,3.322523, best_B_strat=,-0.797731, best_S_id=,S06, best_S_prof=,9.792290, best_S_strat=,0.887600, 
t=,25200, id=,B00, PRDE,actvstrat=,0.715481, actvprof=,3.192033, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.307536, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.110586, id=,B03, PRDE,actvstrat=,-0.730194, actvprof=,4.354288, id=,B04, PRDE,actvstrat=,0.186244, actvprof=,2.934526, id=,B05, PRDE,actvstrat=,0.013770, actvprof=,3.008972, id=,B06, PRDE,actvstrat=,-0.224123, actvprof=,3.060085, id=,B07, PRDE,actvstrat=,-0.644292, actvprof=,3.766216, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.203089, id=,B09, PRDE,actvstrat=,-0.822193, actvprof=,4.020667, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.527792, id=,S01, PRDE,actvstrat=,-0.770495, actvprof=,1.865052, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.443346, id=,S03, PRDE,actvstrat=,-0.088870, actvprof=,5.334315, id=,S04, PRDE,actvstrat=,0.214648, actvprof=,6.867691, id=,S05, PRDE,actvstrat=,0.666205, actvprof=,9.923331, id=,S06, PRDE,actvstrat=,0.600395, actvprof=,8.875802, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.062224, id=,S08, PRDE,actvstrat=,0.120037, actvprof=,6.876302, id=,S09, PRDE,actvstrat=,0.111196, actvprof=,6.557960, best_B_id=,B03, best_B_prof=,4.354288, best_B_strat=,-0.730194, best_S_id=,S00, best_S_prof=,10.527792, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.715481, actvprof=,3.207083, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.209722, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.135833, id=,B03, PRDE,actvstrat=,-0.730194, actvprof=,4.333056, id=,B04, PRDE,actvstrat=,0.186244, actvprof=,3.073056, id=,B05, PRDE,actvstrat=,0.013770, actvprof=,2.927500, id=,B06, PRDE,actvstrat=,-0.224123, actvprof=,3.121944, id=,B07, PRDE,actvstrat=,-0.644292, actvprof=,3.745556, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.214861, id=,B09, PRDE,actvstrat=,-0.822193, actvprof=,4.183056, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.417083, id=,S01, PRDE,actvstrat=,-0.770495, actvprof=,2.004444, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.369583, id=,S03, PRDE,actvstrat=,-0.088870, actvprof=,5.105694, id=,S04, PRDE,actvstrat=,0.214648, actvprof=,6.957222, id=,S05, PRDE,actvstrat=,0.666205, actvprof=,9.922639, id=,S06, PRDE,actvstrat=,0.600395, actvprof=,8.952083, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.046667, id=,S08, PRDE,actvstrat=,0.120037, actvprof=,6.787083, id=,S09, PRDE,actvstrat=,0.111196, actvprof=,6.574722, best_B_id=,B03, best_B_prof=,4.333056, best_B_strat=,-0.730194, best_S_id=,S00, best_S_prof=,10.417083, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.980820, actvprof=,0.747542, id=,B01, PRDE,actvstrat=,-0.972556, actvprof=,1.784544, id=,B02, PRDE,actvstrat=,-0.538202, actvprof=,1.469526, id=,B03, PRDE,actvstrat=,0.453918, actvprof=,1.724262, id=,B04, PRDE,actvstrat=,0.982681, actvprof=,0.600867, id=,B05, PRDE,actvstrat=,-0.325466, actvprof=,1.196455, id=,B06, PRDE,actvstrat=,0.948941, actvprof=,1.095894, id=,B07, PRDE,actvstrat=,0.637207, actvprof=,1.829268, id=,B08, PRDE,actvstrat=,0.570767, actvprof=,1.750097, id=,B09, PRDE,actvstrat=,-0.822193, actvprof=,2.082338, id=,S00, PRDE,actvstrat=,0.565162, actvprof=,10.253625, id=,S01, PRDE,actvstrat=,-0.820518, actvprof=,1.332574, id=,S02, PRDE,actvstrat=,0.910594, actvprof=,12.151231, id=,S03, PRDE,actvstrat=,-0.539348, actvprof=,3.646036, id=,S04, PRDE,actvstrat=,0.320320, actvprof=,8.896605, id=,S05, PRDE,actvstrat=,0.749572, actvprof=,11.480360, id=,S06, PRDE,actvstrat=,0.342861, actvprof=,8.707150, id=,S07, PRDE,actvstrat=,-0.618896, actvprof=,3.862437, id=,S08, PRDE,actvstrat=,0.120037, actvprof=,7.657370, id=,S09, PRDE,actvstrat=,0.111196, actvprof=,7.559031, best_B_id=,B09, best_B_prof=,2.082338, best_B_strat=,-0.822193, best_S_id=,S02, best_S_prof=,12.151231, best_S_strat=,0.910594, 
t=,36000, id=,B00, PRDE,actvstrat=,0.980820, actvprof=,0.676408, id=,B01, PRDE,actvstrat=,-0.972556, actvprof=,1.795050, id=,B02, PRDE,actvstrat=,-0.538202, actvprof=,1.423234, id=,B03, PRDE,actvstrat=,0.453918, actvprof=,1.711020, id=,B04, PRDE,actvstrat=,0.982681, actvprof=,0.629879, id=,B05, PRDE,actvstrat=,-0.325466, actvprof=,1.190728, id=,B06, PRDE,actvstrat=,0.948941, actvprof=,1.045029, id=,B07, PRDE,actvstrat=,0.637207, actvprof=,1.805050, id=,B08, PRDE,actvstrat=,0.570767, actvprof=,1.693241, id=,B09, PRDE,actvstrat=,-0.822193, actvprof=,2.172838, id=,S00, PRDE,actvstrat=,0.565162, actvprof=,10.256674, id=,S01, PRDE,actvstrat=,-0.820518, actvprof=,1.305870, id=,S02, PRDE,actvstrat=,0.910594, actvprof=,12.210061, id=,S03, PRDE,actvstrat=,-0.539348, actvprof=,3.532876, id=,S04, PRDE,actvstrat=,0.320320, actvprof=,8.914970, id=,S05, PRDE,actvstrat=,0.749572, actvprof=,11.570877, id=,S06, PRDE,actvstrat=,0.342861, actvprof=,8.758716, id=,S07, PRDE,actvstrat=,-0.618896, actvprof=,3.656490, id=,S08, PRDE,actvstrat=,0.120037, actvprof=,7.491736, id=,S09, PRDE,actvstrat=,0.111196, actvprof=,7.928415, best_B_id=,B09, best_B_prof=,2.172838, best_B_strat=,-0.822193, best_S_id=,S02, best_S_prof=,12.210061, best_S_strat=,0.910594, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.010115, actvprof=,2.255372, id=,B01, PRDE,actvstrat=,-0.485222, actvprof=,1.921747, id=,B02, PRDE,actvstrat=,0.013739, actvprof=,2.171202, id=,B03, PRDE,actvstrat=,-0.497278, actvprof=,2.417601, id=,B04, PRDE,actvstrat=,0.206466, actvprof=,2.356487, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,3.560982, id=,B06, PRDE,actvstrat=,0.338711, actvprof=,2.568163, id=,B07, PRDE,actvstrat=,-0.174138, actvprof=,2.228426, id=,B08, PRDE,actvstrat=,-0.560290, actvprof=,2.300651, id=,B09, PRDE,actvstrat=,0.998703, actvprof=,1.518952, id=,S00, PRDE,actvstrat=,0.236676, actvprof=,6.106643, id=,S01, PRDE,actvstrat=,-0.929582, actvprof=,0.689751, id=,S02, PRDE,actvstrat=,0.418118, actvprof=,7.259469, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.593011, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.654569, id=,S05, PRDE,actvstrat=,0.145479, actvprof=,6.223593, id=,S06, PRDE,actvstrat=,-0.457815, actvprof=,2.814840, id=,S07, PRDE,actvstrat=,0.658311, actvprof=,8.840924, id=,S08, PRDE,actvstrat=,0.089845, actvprof=,6.054697, id=,S09, PRDE,actvstrat=,-0.982145, actvprof=,1.999528, best_B_id=,B05, best_B_prof=,3.560982, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,9.654569, best_S_strat=,1.000000, 
