t=,0, id=,B00, PRDE,actvstrat=,-0.997993, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.992400, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.953821, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.404903, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.936238, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.169404, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.972155, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.311636, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.264717, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.271555, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.842072, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.199592, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.622480, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.547246, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.485422, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.788998, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.150914, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.169312, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.717486, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.387475, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.997993, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.842072, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.997993, actvprof=,3.125000, id=,B01, PRDE,actvstrat=,0.992400, actvprof=,1.616111, id=,B02, PRDE,actvstrat=,-0.953821, actvprof=,2.535278, id=,B03, PRDE,actvstrat=,-0.404903, actvprof=,2.558056, id=,B04, PRDE,actvstrat=,0.936238, actvprof=,1.990278, id=,B05, PRDE,actvstrat=,0.169404, actvprof=,2.674167, id=,B06, PRDE,actvstrat=,-0.972155, actvprof=,2.519722, id=,B07, PRDE,actvstrat=,0.311636, actvprof=,2.951667, id=,B08, PRDE,actvstrat=,0.264717, actvprof=,2.648333, id=,B09, PRDE,actvstrat=,0.271555, actvprof=,2.731389, id=,S00, PRDE,actvstrat=,0.842072, actvprof=,9.871667, id=,S01, PRDE,actvstrat=,-0.199592, actvprof=,4.751944, id=,S02, PRDE,actvstrat=,0.622480, actvprof=,9.602500, id=,S03, PRDE,actvstrat=,-0.547246, actvprof=,3.992778, id=,S04, PRDE,actvstrat=,-0.485422, actvprof=,4.216111, id=,S05, PRDE,actvstrat=,0.788998, actvprof=,10.356944, id=,S06, PRDE,actvstrat=,0.150914, actvprof=,7.498889, id=,S07, PRDE,actvstrat=,0.169312, actvprof=,7.288611, id=,S08, PRDE,actvstrat=,0.717486, actvprof=,10.071667, id=,S09, PRDE,actvstrat=,0.387475, actvprof=,8.132222, best_B_id=,B00, best_B_prof=,3.125000, best_B_strat=,-0.997993, best_S_id=,S05, best_S_prof=,10.356944, best_S_strat=,0.788998, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.920713, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.018577, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.340289, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.125287, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.809360, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.730471, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.353149, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.681493, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.910820, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.425721, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.720462, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.194969, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.250972, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.985472, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.822595, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.181171, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.567889, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.202269, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.258917, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.621217, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.920713, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.720462, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.920713, actvprof=,2.630278, id=,B01, PRDE,actvstrat=,0.018577, actvprof=,1.573611, id=,B02, PRDE,actvstrat=,0.340289, actvprof=,1.886111, id=,B03, PRDE,actvstrat=,-0.125287, actvprof=,1.435278, id=,B04, PRDE,actvstrat=,0.809360, actvprof=,2.214722, id=,B05, PRDE,actvstrat=,-0.730471, actvprof=,1.685000, id=,B06, PRDE,actvstrat=,-0.353149, actvprof=,1.198611, id=,B07, PRDE,actvstrat=,-0.681493, actvprof=,1.424444, id=,B08, PRDE,actvstrat=,-0.910820, actvprof=,2.582778, id=,B09, PRDE,actvstrat=,-0.425721, actvprof=,1.215556, id=,S00, PRDE,actvstrat=,-0.720462, actvprof=,1.989444, id=,S01, PRDE,actvstrat=,0.194969, actvprof=,6.701389, id=,S02, PRDE,actvstrat=,0.250972, actvprof=,6.564167, id=,S03, PRDE,actvstrat=,-0.985472, actvprof=,2.117222, id=,S04, PRDE,actvstrat=,0.822595, actvprof=,9.914444, id=,S05, PRDE,actvstrat=,0.181171, actvprof=,5.998889, id=,S06, PRDE,actvstrat=,-0.567889, actvprof=,2.816944, id=,S07, PRDE,actvstrat=,-0.202269, actvprof=,3.450833, id=,S08, PRDE,actvstrat=,-0.258917, actvprof=,3.575556, id=,S09, PRDE,actvstrat=,-0.621217, actvprof=,2.735833, best_B_id=,B00, best_B_prof=,2.630278, best_B_strat=,-0.920713, best_S_id=,S04, best_S_prof=,9.914444, best_S_strat=,0.822595, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.541972, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.742236, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.892298, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.912351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.972572, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.704433, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.504656, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.697404, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.624573, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.513174, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.532545, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.231907, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.180119, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.985472, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.020380, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.006117, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.199596, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.423753, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.283569, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.010607, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.541972, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.532545, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.541972, actvprof=,0.550563, id=,B01, PRDE,actvstrat=,-0.742236, actvprof=,0.735844, id=,B02, PRDE,actvstrat=,-0.892298, actvprof=,1.445853, id=,B03, PRDE,actvstrat=,0.912351, actvprof=,1.031125, id=,B04, PRDE,actvstrat=,0.972572, actvprof=,0.608620, id=,B05, PRDE,actvstrat=,0.704433, actvprof=,1.095571, id=,B06, PRDE,actvstrat=,0.504656, actvprof=,0.907235, id=,B07, PRDE,actvstrat=,0.697404, actvprof=,1.172516, id=,B08, PRDE,actvstrat=,0.624573, actvprof=,0.986125, id=,B09, PRDE,actvstrat=,-0.513174, actvprof=,0.545563, id=,S00, PRDE,actvstrat=,-0.532545, actvprof=,4.108113, id=,S01, PRDE,actvstrat=,0.231907, actvprof=,8.958458, id=,S02, PRDE,actvstrat=,-0.180119, actvprof=,5.154794, id=,S03, PRDE,actvstrat=,-0.985472, actvprof=,1.540855, id=,S04, PRDE,actvstrat=,0.020380, actvprof=,7.563994, id=,S05, PRDE,actvstrat=,0.006117, actvprof=,7.418436, id=,S06, PRDE,actvstrat=,-0.199596, actvprof=,4.790344, id=,S07, PRDE,actvstrat=,-0.423753, actvprof=,4.177002, id=,S08, PRDE,actvstrat=,-0.283569, actvprof=,5.211461, id=,S09, PRDE,actvstrat=,-0.010607, actvprof=,7.265101, best_B_id=,B02, best_B_prof=,1.445853, best_B_strat=,-0.892298, best_S_id=,S01, best_S_prof=,8.958458, best_S_strat=,0.231907, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.541972, actvprof=,0.507090, id=,B01, PRDE,actvstrat=,-0.742236, actvprof=,0.666120, id=,B02, PRDE,actvstrat=,-0.892298, actvprof=,1.398214, id=,B03, PRDE,actvstrat=,0.912351, actvprof=,0.982791, id=,B04, PRDE,actvstrat=,0.972572, actvprof=,0.604036, id=,B05, PRDE,actvstrat=,0.704433, actvprof=,1.021264, id=,B06, PRDE,actvstrat=,0.504656, actvprof=,0.843484, id=,B07, PRDE,actvstrat=,0.697404, actvprof=,1.115849, id=,B08, PRDE,actvstrat=,0.624573, actvprof=,0.960986, id=,B09, PRDE,actvstrat=,-0.513174, actvprof=,0.500563, id=,S00, PRDE,actvstrat=,-0.532545, actvprof=,4.222975, id=,S01, PRDE,actvstrat=,0.231907, actvprof=,8.811511, id=,S02, PRDE,actvstrat=,-0.180119, actvprof=,5.133960, id=,S03, PRDE,actvstrat=,-0.985472, actvprof=,1.355991, id=,S04, PRDE,actvstrat=,0.020380, actvprof=,7.444270, id=,S05, PRDE,actvstrat=,0.006117, actvprof=,7.433714, id=,S06, PRDE,actvstrat=,-0.199596, actvprof=,4.930207, id=,S07, PRDE,actvstrat=,-0.423753, actvprof=,4.298671, id=,S08, PRDE,actvstrat=,-0.283569, actvprof=,4.819650, id=,S09, PRDE,actvstrat=,-0.010607, actvprof=,7.349547, best_B_id=,B02, best_B_prof=,1.398214, best_B_strat=,-0.892298, best_S_id=,S01, best_S_prof=,8.811511, best_S_strat=,0.231907, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,4.968125, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,6.032306, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,4.870068, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,5.234795, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,4.550897, id=,B05, PRDE,actvstrat=,0.479132, actvprof=,6.560647, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,4.962013, id=,B07, PRDE,actvstrat=,-0.300038, actvprof=,6.457034, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.830900, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.828400, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,2.480868, id=,S01, PRDE,actvstrat=,0.071719, actvprof=,4.528952, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.338366, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,7.187322, id=,S04, PRDE,actvstrat=,0.977429, actvprof=,7.056487, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,7.071487, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.493090, id=,S07, PRDE,actvstrat=,0.959352, actvprof=,7.478715, id=,S08, PRDE,actvstrat=,0.749506, actvprof=,7.080932, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,7.412325, best_B_id=,B05, best_B_prof=,6.560647, best_B_strat=,0.479132, best_S_id=,S07, best_S_prof=,7.478715, best_S_strat=,0.959352, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,5.021632, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,5.970124, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,5.011493, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,5.101217, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,4.861907, id=,B05, PRDE,actvstrat=,0.479132, actvprof=,6.767085, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,5.052189, id=,B07, PRDE,actvstrat=,-0.300038, actvprof=,6.445273, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.956214, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.879129, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,2.502969, id=,S01, PRDE,actvstrat=,0.071719, actvprof=,4.300645, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.365605, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,7.147927, id=,S04, PRDE,actvstrat=,0.977429, actvprof=,7.117093, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,6.944172, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.560053, id=,S07, PRDE,actvstrat=,0.959352, actvprof=,7.331403, id=,S08, PRDE,actvstrat=,0.749506, actvprof=,6.945284, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,7.220845, best_B_id=,B05, best_B_prof=,6.767085, best_B_strat=,0.479132, best_S_id=,S07, best_S_prof=,7.331403, best_S_strat=,0.959352, 
t=,32400, id=,B00, PRDE,actvstrat=,0.620842, actvprof=,2.882382, id=,B01, PRDE,actvstrat=,-0.828235, actvprof=,3.004611, id=,B02, PRDE,actvstrat=,-0.868024, actvprof=,3.356853, id=,B03, PRDE,actvstrat=,-0.933879, actvprof=,3.799933, id=,B04, PRDE,actvstrat=,0.646708, actvprof=,2.675704, id=,B05, PRDE,actvstrat=,-0.806271, actvprof=,3.263515, id=,B06, PRDE,actvstrat=,-0.521837, actvprof=,2.245125, id=,B07, PRDE,actvstrat=,0.608153, actvprof=,2.819323, id=,B08, PRDE,actvstrat=,0.123562, actvprof=,2.083449, id=,B09, PRDE,actvstrat=,0.173634, actvprof=,2.475971, id=,S00, PRDE,actvstrat=,0.842072, actvprof=,9.635535, id=,S01, PRDE,actvstrat=,0.814060, actvprof=,9.336630, id=,S02, PRDE,actvstrat=,-0.180119, actvprof=,3.442136, id=,S03, PRDE,actvstrat=,-0.276073, actvprof=,2.981277, id=,S04, PRDE,actvstrat=,0.454108, actvprof=,7.135952, id=,S05, PRDE,actvstrat=,0.976598, actvprof=,9.558864, id=,S06, PRDE,actvstrat=,0.302938, actvprof=,6.647869, id=,S07, PRDE,actvstrat=,-0.284973, actvprof=,3.086005, id=,S08, PRDE,actvstrat=,0.749506, actvprof=,9.134119, id=,S09, PRDE,actvstrat=,-0.772547, actvprof=,1.306461, best_B_id=,B03, best_B_prof=,3.799933, best_B_strat=,-0.933879, best_S_id=,S00, best_S_prof=,9.635535, best_S_strat=,0.842072, 
t=,36000, id=,B00, PRDE,actvstrat=,0.620842, actvprof=,2.825773, id=,B01, PRDE,actvstrat=,-0.828235, actvprof=,3.210923, id=,B02, PRDE,actvstrat=,-0.868024, actvprof=,3.359816, id=,B03, PRDE,actvstrat=,-0.933879, actvprof=,3.823995, id=,B04, PRDE,actvstrat=,0.646708, actvprof=,2.739937, id=,B05, PRDE,actvstrat=,-0.806271, actvprof=,3.126337, id=,B06, PRDE,actvstrat=,-0.521837, actvprof=,2.368538, id=,B07, PRDE,actvstrat=,0.608153, actvprof=,2.881469, id=,B08, PRDE,actvstrat=,0.123562, actvprof=,2.220062, id=,B09, PRDE,actvstrat=,0.173634, actvprof=,2.473402, id=,S00, PRDE,actvstrat=,0.842072, actvprof=,9.547765, id=,S01, PRDE,actvstrat=,0.814060, actvprof=,9.331093, id=,S02, PRDE,actvstrat=,-0.180119, actvprof=,3.355649, id=,S03, PRDE,actvstrat=,-0.276073, actvprof=,2.920914, id=,S04, PRDE,actvstrat=,0.454108, actvprof=,7.119087, id=,S05, PRDE,actvstrat=,0.976598, actvprof=,9.553738, id=,S06, PRDE,actvstrat=,0.302938, actvprof=,6.548515, id=,S07, PRDE,actvstrat=,-0.284973, actvprof=,2.995917, id=,S08, PRDE,actvstrat=,0.749506, actvprof=,9.143865, id=,S09, PRDE,actvstrat=,-0.772547, actvprof=,1.133504, best_B_id=,B03, best_B_prof=,3.823995, best_B_strat=,-0.933879, best_S_id=,S05, best_S_prof=,9.553738, best_S_strat=,0.976598, 
