t=,1, id=,B00, PRDE,actvstrat=,-0.737013, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.047939, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.229902, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.127353, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.614514, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.641491, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.481074, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.409826, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.800409, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.271956, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.158027, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.642899, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.039104, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.434449, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.137800, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.563895, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.494183, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.783945, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.039323, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.368580, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.737013, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.158027, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.737013, actvprof=,4.151111, id=,B01, PRDE,actvstrat=,0.047939, actvprof=,2.976389, id=,B02, PRDE,actvstrat=,-0.229902, actvprof=,2.965000, id=,B03, PRDE,actvstrat=,-0.127353, actvprof=,2.925278, id=,B04, PRDE,actvstrat=,-0.614514, actvprof=,3.360278, id=,B05, PRDE,actvstrat=,0.641491, actvprof=,3.552222, id=,B06, PRDE,actvstrat=,-0.481074, actvprof=,3.108611, id=,B07, PRDE,actvstrat=,0.409826, actvprof=,3.457222, id=,B08, PRDE,actvstrat=,0.800409, actvprof=,3.190833, id=,B09, PRDE,actvstrat=,-0.271956, actvprof=,2.826389, id=,S00, PRDE,actvstrat=,-0.158027, actvprof=,3.899722, id=,S01, PRDE,actvstrat=,0.642899, actvprof=,8.195278, id=,S02, PRDE,actvstrat=,0.039104, actvprof=,5.703889, id=,S03, PRDE,actvstrat=,0.434449, actvprof=,7.468333, id=,S04, PRDE,actvstrat=,-0.137800, actvprof=,4.236944, id=,S05, PRDE,actvstrat=,0.563895, actvprof=,7.629722, id=,S06, PRDE,actvstrat=,0.494183, actvprof=,7.546944, id=,S07, PRDE,actvstrat=,-0.783945, actvprof=,2.154167, id=,S08, PRDE,actvstrat=,-0.039323, actvprof=,5.219444, id=,S09, PRDE,actvstrat=,0.368580, actvprof=,7.121111, best_B_id=,B00, best_B_prof=,4.151111, best_B_strat=,-0.737013, best_S_id=,S01, best_S_prof=,8.195278, best_S_strat=,0.642899, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.581608, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.284617, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.155242, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.045007, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.244413, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.619638, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.121072, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.457057, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.950103, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.366499, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.180992, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.129784, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.288535, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.972373, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.756793, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.191607, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.263526, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.750789, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.817061, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.903293, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.581608, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.180992, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.581608, actvprof=,2.857659, id=,B01, PRDE,actvstrat=,0.284617, actvprof=,2.837382, id=,B02, PRDE,actvstrat=,-0.155242, actvprof=,2.474341, id=,B03, PRDE,actvstrat=,-0.045007, actvprof=,2.716831, id=,B04, PRDE,actvstrat=,0.244413, actvprof=,2.724886, id=,B05, PRDE,actvstrat=,0.619638, actvprof=,3.108204, id=,B06, PRDE,actvstrat=,0.121072, actvprof=,2.676555, id=,B07, PRDE,actvstrat=,0.457057, actvprof=,2.859325, id=,B08, PRDE,actvstrat=,-0.950103, actvprof=,3.455412, id=,B09, PRDE,actvstrat=,-0.366499, actvprof=,2.795439, id=,S00, PRDE,actvstrat=,-0.180992, actvprof=,3.767343, id=,S01, PRDE,actvstrat=,-0.129784, actvprof=,4.116495, id=,S02, PRDE,actvstrat=,0.288535, actvprof=,6.737497, id=,S03, PRDE,actvstrat=,0.972373, actvprof=,9.334611, id=,S04, PRDE,actvstrat=,0.756793, actvprof=,9.322389, id=,S05, PRDE,actvstrat=,-0.191607, actvprof=,3.172923, id=,S06, PRDE,actvstrat=,-0.263526, actvprof=,3.104037, id=,S07, PRDE,actvstrat=,0.750789, actvprof=,8.849909, id=,S08, PRDE,actvstrat=,0.817061, actvprof=,9.066567, id=,S09, PRDE,actvstrat=,-0.903293, actvprof=,0.729692, best_B_id=,B08, best_B_prof=,3.455412, best_B_strat=,-0.950103, best_S_id=,S03, best_S_prof=,9.334611, best_S_strat=,0.972373, 
t=,14400, id=,B00, PRDE,actvstrat=,0.496573, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.463958, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.938135, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.200951, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.602594, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.619638, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.348766, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.379325, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.367490, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.776632, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.906795, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.919864, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.288535, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.614584, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.119469, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.093000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.887621, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.222808, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.823634, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.398919, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.496573, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.906795, 
t=,18000, id=,B00, PRDE,actvstrat=,0.496573, actvprof=,2.093362, id=,B01, PRDE,actvstrat=,-0.463958, actvprof=,1.881415, id=,B02, PRDE,actvstrat=,0.938135, actvprof=,1.360574, id=,B03, PRDE,actvstrat=,-0.200951, actvprof=,1.803358, id=,B04, PRDE,actvstrat=,0.602594, actvprof=,2.509202, id=,B05, PRDE,actvstrat=,0.619638, actvprof=,2.325588, id=,B06, PRDE,actvstrat=,0.348766, actvprof=,2.193642, id=,B07, PRDE,actvstrat=,-0.379325, actvprof=,1.946971, id=,B08, PRDE,actvstrat=,0.367490, actvprof=,2.225031, id=,B09, PRDE,actvstrat=,-0.776632, actvprof=,2.866984, id=,S00, PRDE,actvstrat=,0.906795, actvprof=,10.879873, id=,S01, PRDE,actvstrat=,-0.919864, actvprof=,0.508618, id=,S02, PRDE,actvstrat=,0.288535, actvprof=,7.523438, id=,S03, PRDE,actvstrat=,0.614584, actvprof=,9.084293, id=,S04, PRDE,actvstrat=,-0.119469, actvprof=,4.665620, id=,S05, PRDE,actvstrat=,0.093000, actvprof=,6.528146, id=,S06, PRDE,actvstrat=,0.887621, actvprof=,10.872373, id=,S07, PRDE,actvstrat=,-0.222808, actvprof=,3.867276, id=,S08, PRDE,actvstrat=,-0.823634, actvprof=,1.138627, id=,S09, PRDE,actvstrat=,0.398919, actvprof=,7.637884, best_B_id=,B09, best_B_prof=,2.866984, best_B_strat=,-0.776632, best_S_id=,S00, best_S_prof=,10.879873, best_S_strat=,0.906795, 
t=,21600, id=,B00, PRDE,actvstrat=,0.901516, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.301659, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.677389, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.508047, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.075534, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.773987, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.158242, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.577727, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.156571, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.138403, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.689889, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.645829, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.590366, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.382343, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.240196, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.901516, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.156571, 
t=,25200, id=,B00, PRDE,actvstrat=,0.901516, actvprof=,1.640205, id=,B01, PRDE,actvstrat=,-0.301659, actvprof=,1.620203, id=,B02, PRDE,actvstrat=,0.677389, actvprof=,2.133878, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.304177, id=,B04, PRDE,actvstrat=,0.508047, actvprof=,2.287508, id=,B05, PRDE,actvstrat=,0.075534, actvprof=,1.718548, id=,B06, PRDE,actvstrat=,0.773987, actvprof=,2.163048, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.939840, id=,B08, PRDE,actvstrat=,0.158242, actvprof=,1.744663, id=,B09, PRDE,actvstrat=,-0.577727, actvprof=,1.967190, id=,S00, PRDE,actvstrat=,0.156571, actvprof=,7.131725, id=,S01, PRDE,actvstrat=,-0.138403, actvprof=,4.476115, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.071662, id=,S03, PRDE,actvstrat=,0.689889, actvprof=,10.138767, id=,S04, PRDE,actvstrat=,0.645829, actvprof=,10.280452, id=,S05, PRDE,actvstrat=,-0.590366, actvprof=,3.225125, id=,S06, PRDE,actvstrat=,0.382343, actvprof=,8.438833, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.515689, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.232043, id=,S09, PRDE,actvstrat=,0.240196, actvprof=,7.515106, best_B_id=,B03, best_B_prof=,2.304177, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,11.071662, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.901516, actvprof=,1.702884, id=,B01, PRDE,actvstrat=,-0.301659, actvprof=,1.635936, id=,B02, PRDE,actvstrat=,0.677389, actvprof=,2.292921, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.268058, id=,B04, PRDE,actvstrat=,0.508047, actvprof=,2.197637, id=,B05, PRDE,actvstrat=,0.075534, actvprof=,1.719135, id=,B06, PRDE,actvstrat=,0.773987, actvprof=,2.114854, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.969088, id=,B08, PRDE,actvstrat=,0.158242, actvprof=,1.809280, id=,B09, PRDE,actvstrat=,-0.577727, actvprof=,2.010820, id=,S00, PRDE,actvstrat=,0.156571, actvprof=,7.100166, id=,S01, PRDE,actvstrat=,-0.138403, actvprof=,4.670014, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,11.084304, id=,S03, PRDE,actvstrat=,0.689889, actvprof=,10.293004, id=,S04, PRDE,actvstrat=,0.645829, actvprof=,10.247307, id=,S05, PRDE,actvstrat=,-0.590366, actvprof=,3.452994, id=,S06, PRDE,actvstrat=,0.382343, actvprof=,8.372607, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.289497, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.052955, id=,S09, PRDE,actvstrat=,0.240196, actvprof=,7.500052, best_B_id=,B02, best_B_prof=,2.292921, best_B_strat=,0.677389, best_S_id=,S02, best_S_prof=,11.084304, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.601191, actvprof=,1.679678, id=,B01, PRDE,actvstrat=,0.765033, actvprof=,1.822198, id=,B02, PRDE,actvstrat=,-0.801573, actvprof=,1.928879, id=,B03, PRDE,actvstrat=,-0.300340, actvprof=,0.934019, id=,B04, PRDE,actvstrat=,0.508047, actvprof=,1.708015, id=,B05, PRDE,actvstrat=,0.712958, actvprof=,1.992221, id=,B06, PRDE,actvstrat=,0.121072, actvprof=,1.313794, id=,B07, PRDE,actvstrat=,0.410271, actvprof=,1.696902, id=,B08, PRDE,actvstrat=,-0.545453, actvprof=,1.206001, id=,B09, PRDE,actvstrat=,-0.548080, actvprof=,1.130990, id=,S00, PRDE,actvstrat=,-0.180992, actvprof=,4.231699, id=,S01, PRDE,actvstrat=,-0.635296, actvprof=,3.158494, id=,S02, PRDE,actvstrat=,0.726846, actvprof=,10.143075, id=,S03, PRDE,actvstrat=,-0.566236, actvprof=,3.041256, id=,S04, PRDE,actvstrat=,0.803456, actvprof=,10.461731, id=,S05, PRDE,actvstrat=,-0.990569, actvprof=,2.304487, id=,S06, PRDE,actvstrat=,0.816982, actvprof=,10.658147, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.711071, id=,S08, PRDE,actvstrat=,-0.703609, actvprof=,2.607307, id=,S09, PRDE,actvstrat=,-0.860257, actvprof=,0.857341, best_B_id=,B05, best_B_prof=,1.992221, best_B_strat=,0.712958, best_S_id=,S06, best_S_prof=,10.658147, best_S_strat=,0.816982, 
t=,36000, id=,B00, PRDE,actvstrat=,0.601191, actvprof=,1.694411, id=,B01, PRDE,actvstrat=,0.765033, actvprof=,1.856783, id=,B02, PRDE,actvstrat=,-0.801573, actvprof=,2.007209, id=,B03, PRDE,actvstrat=,-0.300340, actvprof=,1.042843, id=,B04, PRDE,actvstrat=,0.508047, actvprof=,1.691634, id=,B05, PRDE,actvstrat=,0.712958, actvprof=,1.937621, id=,B06, PRDE,actvstrat=,0.121072, actvprof=,1.344806, id=,B07, PRDE,actvstrat=,0.410271, actvprof=,1.710385, id=,B08, PRDE,actvstrat=,-0.545453, actvprof=,1.152016, id=,B09, PRDE,actvstrat=,-0.548080, actvprof=,1.201047, id=,S00, PRDE,actvstrat=,-0.180992, actvprof=,4.120952, id=,S01, PRDE,actvstrat=,-0.635296, actvprof=,3.190477, id=,S02, PRDE,actvstrat=,0.726846, actvprof=,10.123549, id=,S03, PRDE,actvstrat=,-0.566236, actvprof=,3.205478, id=,S04, PRDE,actvstrat=,0.803456, actvprof=,10.513990, id=,S05, PRDE,actvstrat=,-0.990569, actvprof=,2.357647, id=,S06, PRDE,actvstrat=,0.816982, actvprof=,10.695530, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.678549, id=,S08, PRDE,actvstrat=,-0.703609, actvprof=,2.583356, id=,S09, PRDE,actvstrat=,-0.860257, actvprof=,0.962699, best_B_id=,B02, best_B_prof=,2.007209, best_B_strat=,-0.801573, best_S_id=,S06, best_S_prof=,10.695530, best_S_strat=,0.816982, 
