t=,1, id=,B00, PRDE,actvstrat=,-0.190116, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.313165, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.035053, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.570162, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.924806, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.430992, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.509289, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.296716, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.455802, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.306183, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.057837, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.711476, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.698976, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.590298, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.064401, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.318003, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.640902, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.741967, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.979599, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.025982, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.190116, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.057837, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.190116, actvprof=,3.502778, id=,B01, PRDE,actvstrat=,-0.313165, actvprof=,3.420278, id=,B02, PRDE,actvstrat=,-0.035053, actvprof=,3.715556, id=,B03, PRDE,actvstrat=,-0.570162, actvprof=,4.017778, id=,B04, PRDE,actvstrat=,-0.924806, actvprof=,4.451667, id=,B05, PRDE,actvstrat=,0.430992, actvprof=,3.761667, id=,B06, PRDE,actvstrat=,-0.509289, actvprof=,3.802500, id=,B07, PRDE,actvstrat=,-0.296716, actvprof=,3.545833, id=,B08, PRDE,actvstrat=,0.455802, actvprof=,4.141944, id=,B09, PRDE,actvstrat=,0.306183, actvprof=,3.767222, id=,S00, PRDE,actvstrat=,-0.057837, actvprof=,4.692778, id=,S01, PRDE,actvstrat=,0.711476, actvprof=,7.948333, id=,S02, PRDE,actvstrat=,-0.698976, actvprof=,2.269722, id=,S03, PRDE,actvstrat=,0.590298, actvprof=,7.326944, id=,S04, PRDE,actvstrat=,-0.064401, actvprof=,4.640833, id=,S05, PRDE,actvstrat=,0.318003, actvprof=,5.983056, id=,S06, PRDE,actvstrat=,-0.640902, actvprof=,2.666111, id=,S07, PRDE,actvstrat=,0.741967, actvprof=,8.034167, id=,S08, PRDE,actvstrat=,0.979599, actvprof=,7.999444, id=,S09, PRDE,actvstrat=,-0.025982, actvprof=,5.200278, best_B_id=,B04, best_B_prof=,4.451667, best_B_strat=,-0.924806, best_S_id=,S07, best_S_prof=,8.034167, best_S_strat=,0.741967, 
t=,7200, id=,B00, PRDE,actvstrat=,0.603390, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.895566, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.190781, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.049902, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.864086, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.659234, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.912753, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.315525, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.377860, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.514964, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.364081, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.693279, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.671517, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.519646, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.469997, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.813419, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.420488, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.845876, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.580766, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.127342, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.603390, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.364081, 
t=,10800, id=,B00, PRDE,actvstrat=,0.603390, actvprof=,1.934113, id=,B01, PRDE,actvstrat=,-0.895566, actvprof=,2.481042, id=,B02, PRDE,actvstrat=,-0.190781, actvprof=,1.229688, id=,B03, PRDE,actvstrat=,0.049902, actvprof=,1.532735, id=,B04, PRDE,actvstrat=,0.864086, actvprof=,1.805228, id=,B05, PRDE,actvstrat=,0.659234, actvprof=,2.194939, id=,B06, PRDE,actvstrat=,0.912753, actvprof=,1.619955, id=,B07, PRDE,actvstrat=,0.315525, actvprof=,1.628566, id=,B08, PRDE,actvstrat=,0.377860, actvprof=,1.747451, id=,B09, PRDE,actvstrat=,-0.514964, actvprof=,1.473570, id=,S00, PRDE,actvstrat=,0.364081, actvprof=,8.505875, id=,S01, PRDE,actvstrat=,0.693279, actvprof=,10.297492, id=,S02, PRDE,actvstrat=,0.671517, actvprof=,10.361101, id=,S03, PRDE,actvstrat=,-0.519646, actvprof=,4.136552, id=,S04, PRDE,actvstrat=,-0.469997, actvprof=,3.791284, id=,S05, PRDE,actvstrat=,-0.813419, actvprof=,1.751896, id=,S06, PRDE,actvstrat=,0.420488, actvprof=,8.811700, id=,S07, PRDE,actvstrat=,-0.845876, actvprof=,1.277465, id=,S08, PRDE,actvstrat=,0.580766, actvprof=,9.918891, id=,S09, PRDE,actvstrat=,0.127342, actvprof=,7.364795, best_B_id=,B01, best_B_prof=,2.481042, best_B_strat=,-0.895566, best_S_id=,S02, best_S_prof=,10.361101, best_S_strat=,0.671517, 
t=,14400, id=,B00, PRDE,actvstrat=,0.603390, actvprof=,1.907361, id=,B01, PRDE,actvstrat=,-0.895566, actvprof=,2.556111, id=,B02, PRDE,actvstrat=,-0.190781, actvprof=,1.288333, id=,B03, PRDE,actvstrat=,0.049902, actvprof=,1.432222, id=,B04, PRDE,actvstrat=,0.864086, actvprof=,1.807361, id=,B05, PRDE,actvstrat=,0.659234, actvprof=,2.074028, id=,B06, PRDE,actvstrat=,0.912753, actvprof=,1.556528, id=,B07, PRDE,actvstrat=,0.315525, actvprof=,1.699722, id=,B08, PRDE,actvstrat=,0.377860, actvprof=,1.680833, id=,B09, PRDE,actvstrat=,-0.514964, actvprof=,1.507500, id=,S00, PRDE,actvstrat=,0.364081, actvprof=,8.561528, id=,S01, PRDE,actvstrat=,0.693279, actvprof=,10.417778, id=,S02, PRDE,actvstrat=,0.671517, actvprof=,10.183056, id=,S03, PRDE,actvstrat=,-0.519646, actvprof=,4.078194, id=,S04, PRDE,actvstrat=,-0.469997, actvprof=,4.018056, id=,S05, PRDE,actvstrat=,-0.813419, actvprof=,1.814306, id=,S06, PRDE,actvstrat=,0.420488, actvprof=,8.705556, id=,S07, PRDE,actvstrat=,-0.845876, actvprof=,1.240833, id=,S08, PRDE,actvstrat=,0.580766, actvprof=,9.846667, id=,S09, PRDE,actvstrat=,0.127342, actvprof=,7.301806, best_B_id=,B01, best_B_prof=,2.556111, best_B_strat=,-0.895566, best_S_id=,S01, best_S_prof=,10.417778, best_S_strat=,0.693279, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.492740, actvprof=,3.015126, id=,B01, PRDE,actvstrat=,-0.895566, actvprof=,4.137950, id=,B02, PRDE,actvstrat=,-0.137751, actvprof=,2.949012, id=,B03, PRDE,actvstrat=,-0.936982, actvprof=,4.388238, id=,B04, PRDE,actvstrat=,-0.929507, actvprof=,4.089059, id=,B05, PRDE,actvstrat=,-0.121306, actvprof=,3.104018, id=,B06, PRDE,actvstrat=,0.605787, actvprof=,3.525425, id=,B07, PRDE,actvstrat=,-0.429902, actvprof=,2.971790, id=,B08, PRDE,actvstrat=,-0.700129, actvprof=,3.587649, id=,B09, PRDE,actvstrat=,0.691620, actvprof=,3.536536, id=,S00, PRDE,actvstrat=,-0.278827, actvprof=,2.605386, id=,S01, PRDE,actvstrat=,0.091453, actvprof=,4.920483, id=,S02, PRDE,actvstrat=,0.596957, actvprof=,7.046405, id=,S03, PRDE,actvstrat=,0.499351, actvprof=,6.792505, id=,S04, PRDE,actvstrat=,0.879980, actvprof=,8.456463, id=,S05, PRDE,actvstrat=,0.365312, actvprof=,5.846077, id=,S06, PRDE,actvstrat=,0.733404, actvprof=,7.970054, id=,S07, PRDE,actvstrat=,0.741967, actvprof=,8.129505, id=,S08, PRDE,actvstrat=,-0.377269, actvprof=,2.704557, id=,S09, PRDE,actvstrat=,-0.474165, actvprof=,2.205370, best_B_id=,B03, best_B_prof=,4.388238, best_B_strat=,-0.936982, best_S_id=,S04, best_S_prof=,8.456463, best_S_strat=,0.879980, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.492740, actvprof=,2.974923, id=,B01, PRDE,actvstrat=,-0.895566, actvprof=,3.924943, id=,B02, PRDE,actvstrat=,-0.137751, actvprof=,2.943256, id=,B03, PRDE,actvstrat=,-0.936982, actvprof=,4.368702, id=,B04, PRDE,actvstrat=,-0.929507, actvprof=,4.087724, id=,B05, PRDE,actvstrat=,-0.121306, actvprof=,2.997979, id=,B06, PRDE,actvstrat=,0.605787, actvprof=,3.474100, id=,B07, PRDE,actvstrat=,-0.429902, actvprof=,2.904366, id=,B08, PRDE,actvstrat=,-0.700129, actvprof=,3.614520, id=,B09, PRDE,actvstrat=,0.691620, actvprof=,3.544796, id=,S00, PRDE,actvstrat=,-0.278827, actvprof=,2.444356, id=,S01, PRDE,actvstrat=,0.091453, actvprof=,4.886630, id=,S02, PRDE,actvstrat=,0.596957, actvprof=,7.160288, id=,S03, PRDE,actvstrat=,0.499351, actvprof=,6.779169, id=,S04, PRDE,actvstrat=,0.879980, actvprof=,8.462815, id=,S05, PRDE,actvstrat=,0.365312, actvprof=,5.976375, id=,S06, PRDE,actvstrat=,0.733404, actvprof=,7.877525, id=,S07, PRDE,actvstrat=,0.741967, actvprof=,8.127808, id=,S08, PRDE,actvstrat=,-0.377269, actvprof=,2.468107, id=,S09, PRDE,actvstrat=,-0.474165, actvprof=,2.339077, best_B_id=,B03, best_B_prof=,4.368702, best_B_strat=,-0.936982, best_S_id=,S04, best_S_prof=,8.462815, best_S_strat=,0.879980, 
t=,25200, id=,B00, PRDE,actvstrat=,0.965185, actvprof=,0.338357, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.562261, id=,B02, PRDE,actvstrat=,-0.736001, actvprof=,0.818390, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.174734, id=,B04, PRDE,actvstrat=,-0.147311, actvprof=,0.439753, id=,B05, PRDE,actvstrat=,-0.983637, actvprof=,0.693659, id=,B06, PRDE,actvstrat=,0.868249, actvprof=,0.633655, id=,B07, PRDE,actvstrat=,0.933541, actvprof=,0.518369, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.293632, id=,B09, PRDE,actvstrat=,0.101629, actvprof=,0.468921, id=,S00, PRDE,actvstrat=,-0.810561, actvprof=,2.467116, id=,S01, PRDE,actvstrat=,-0.924876, actvprof=,0.370859, id=,S02, PRDE,actvstrat=,-0.312208, actvprof=,5.118967, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.405584, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.853462, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,3.998333, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,14.313494, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,13.979582, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,13.942913, id=,S09, PRDE,actvstrat=,-0.250392, actvprof=,5.458157, best_B_id=,B02, best_B_prof=,0.818390, best_B_strat=,-0.736001, best_S_id=,S06, best_S_prof=,14.313494, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.965185, actvprof=,0.333757, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.489177, id=,B02, PRDE,actvstrat=,-0.736001, actvprof=,0.825573, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.246811, id=,B04, PRDE,actvstrat=,-0.147311, actvprof=,0.491677, id=,B05, PRDE,actvstrat=,-0.983637, actvprof=,0.623207, id=,B06, PRDE,actvstrat=,0.868249, actvprof=,0.707515, id=,B07, PRDE,actvstrat=,0.933541, actvprof=,0.524872, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.292367, id=,B09, PRDE,actvstrat=,0.101629, actvprof=,0.552234, id=,S00, PRDE,actvstrat=,-0.810561, actvprof=,2.547831, id=,S01, PRDE,actvstrat=,-0.924876, actvprof=,0.333896, id=,S02, PRDE,actvstrat=,-0.312208, actvprof=,5.279277, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.288284, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.772787, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.024945, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,14.253769, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,13.950013, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,14.054043, id=,S09, PRDE,actvstrat=,-0.250392, actvprof=,5.609700, best_B_id=,B02, best_B_prof=,0.825573, best_B_strat=,-0.736001, best_S_id=,S06, best_S_prof=,14.253769, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.492740, actvprof=,1.598656, id=,B01, PRDE,actvstrat=,0.857017, actvprof=,1.808384, id=,B02, PRDE,actvstrat=,0.066976, actvprof=,1.386150, id=,B03, PRDE,actvstrat=,0.520545, actvprof=,1.825884, id=,B04, PRDE,actvstrat=,-0.129180, actvprof=,1.483652, id=,B05, PRDE,actvstrat=,-0.062646, actvprof=,1.393650, id=,B06, PRDE,actvstrat=,0.934389, actvprof=,1.378927, id=,B07, PRDE,actvstrat=,0.338932, actvprof=,1.693658, id=,B08, PRDE,actvstrat=,0.339040, actvprof=,1.624767, id=,B09, PRDE,actvstrat=,0.206632, actvprof=,1.517820, id=,S00, PRDE,actvstrat=,0.428595, actvprof=,8.607461, id=,S01, PRDE,actvstrat=,0.078346, actvprof=,6.812411, id=,S02, PRDE,actvstrat=,-0.269229, actvprof=,3.709825, id=,S03, PRDE,actvstrat=,0.229556, actvprof=,7.424373, id=,S04, PRDE,actvstrat=,-0.569758, actvprof=,3.238423, id=,S05, PRDE,actvstrat=,0.009767, actvprof=,6.513792, id=,S06, PRDE,actvstrat=,-0.941280, actvprof=,0.736965, id=,S07, PRDE,actvstrat=,0.589245, actvprof=,9.531376, id=,S08, PRDE,actvstrat=,-0.013001, actvprof=,5.964055, id=,S09, PRDE,actvstrat=,0.005137, actvprof=,6.951860, best_B_id=,B03, best_B_prof=,1.825884, best_B_strat=,0.520545, best_S_id=,S07, best_S_prof=,9.531376, best_S_strat=,0.589245, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.492740, actvprof=,1.616873, id=,B01, PRDE,actvstrat=,0.857017, actvprof=,1.809520, id=,B02, PRDE,actvstrat=,0.066976, actvprof=,1.407836, id=,B03, PRDE,actvstrat=,0.520545, actvprof=,1.789936, id=,B04, PRDE,actvstrat=,-0.129180, actvprof=,1.361446, id=,B05, PRDE,actvstrat=,-0.062646, actvprof=,1.385058, id=,B06, PRDE,actvstrat=,0.934389, actvprof=,1.322138, id=,B07, PRDE,actvstrat=,0.338932, actvprof=,1.740350, id=,B08, PRDE,actvstrat=,0.339040, actvprof=,1.666597, id=,B09, PRDE,actvstrat=,0.206632, actvprof=,1.484645, id=,S00, PRDE,actvstrat=,0.428595, actvprof=,8.698696, id=,S01, PRDE,actvstrat=,0.078346, actvprof=,6.916260, id=,S02, PRDE,actvstrat=,-0.269229, actvprof=,3.888912, id=,S03, PRDE,actvstrat=,0.229556, actvprof=,7.319194, id=,S04, PRDE,actvstrat=,-0.569758, actvprof=,3.307638, id=,S05, PRDE,actvstrat=,0.009767, actvprof=,6.414573, id=,S06, PRDE,actvstrat=,-0.941280, actvprof=,0.656416, id=,S07, PRDE,actvstrat=,0.589245, actvprof=,9.694015, id=,S08, PRDE,actvstrat=,-0.013001, actvprof=,6.207342, id=,S09, PRDE,actvstrat=,0.005137, actvprof=,6.504577, best_B_id=,B01, best_B_prof=,1.809520, best_B_strat=,0.857017, best_S_id=,S07, best_S_prof=,9.694015, best_S_strat=,0.589245, 
