t=,1, id=,B00, PRDE,actvstrat=,-0.785215, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.237354, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.216068, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.500748, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.277807, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.966450, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.329062, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.519330, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.611977, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.161350, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.916412, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.290047, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.116199, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.714574, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.902954, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.382873, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.223144, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.285742, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.074054, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.666327, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.785215, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.916412, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.785215, actvprof=,2.068247, id=,B01, PRDE,actvstrat=,-0.237354, actvprof=,1.544380, id=,B02, PRDE,actvstrat=,0.216068, actvprof=,1.859923, id=,B03, PRDE,actvstrat=,0.500748, actvprof=,2.410177, id=,B04, PRDE,actvstrat=,0.277807, actvprof=,2.166854, id=,B05, PRDE,actvstrat=,-0.966450, actvprof=,2.804883, id=,B06, PRDE,actvstrat=,-0.329062, actvprof=,1.527992, id=,B07, PRDE,actvstrat=,0.519330, actvprof=,2.212686, id=,B08, PRDE,actvstrat=,-0.611977, actvprof=,1.759093, id=,B09, PRDE,actvstrat=,-0.161350, actvprof=,1.850756, id=,S00, PRDE,actvstrat=,-0.916412, actvprof=,1.585212, id=,S01, PRDE,actvstrat=,0.290047, actvprof=,7.538853, id=,S02, PRDE,actvstrat=,0.116199, actvprof=,7.299696, id=,S03, PRDE,actvstrat=,-0.714574, actvprof=,3.874839, id=,S04, PRDE,actvstrat=,-0.902954, actvprof=,1.671875, id=,S05, PRDE,actvstrat=,-0.382873, actvprof=,5.001458, id=,S06, PRDE,actvstrat=,-0.223144, actvprof=,5.050623, id=,S07, PRDE,actvstrat=,0.285742, actvprof=,7.738289, id=,S08, PRDE,actvstrat=,-0.074054, actvprof=,6.207241, id=,S09, PRDE,actvstrat=,-0.666327, actvprof=,3.935114, best_B_id=,B05, best_B_prof=,2.804883, best_B_strat=,-0.966450, best_S_id=,S07, best_S_prof=,7.738289, best_S_strat=,0.285742, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.310523, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.846258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.544766, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.082189, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.720074, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.744720, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.272447, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.914709, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.908901, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.599734, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.381099, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.994733, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.954064, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.156015, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.689160, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.927513, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.548203, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.051816, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.800130, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.588788, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.310523, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.381099, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.310523, actvprof=,1.962805, id=,B01, PRDE,actvstrat=,-0.846258, actvprof=,3.001708, id=,B02, PRDE,actvstrat=,-0.544766, actvprof=,1.835581, id=,B03, PRDE,actvstrat=,0.082189, actvprof=,2.025584, id=,B04, PRDE,actvstrat=,0.720074, actvprof=,2.443367, id=,B05, PRDE,actvstrat=,-0.744720, actvprof=,2.277532, id=,B06, PRDE,actvstrat=,-0.272447, actvprof=,1.720024, id=,B07, PRDE,actvstrat=,0.914709, actvprof=,1.783080, id=,B08, PRDE,actvstrat=,-0.908901, actvprof=,3.347824, id=,B09, PRDE,actvstrat=,0.599734, actvprof=,2.613092, id=,S00, PRDE,actvstrat=,0.381099, actvprof=,7.280379, id=,S01, PRDE,actvstrat=,0.994733, actvprof=,10.294587, id=,S02, PRDE,actvstrat=,-0.954064, actvprof=,1.013070, id=,S03, PRDE,actvstrat=,-0.156015, actvprof=,3.951722, id=,S04, PRDE,actvstrat=,0.689160, actvprof=,9.277073, id=,S05, PRDE,actvstrat=,-0.927513, actvprof=,0.439728, id=,S06, PRDE,actvstrat=,-0.548203, actvprof=,2.512257, id=,S07, PRDE,actvstrat=,-0.051816, actvprof=,4.904513, id=,S08, PRDE,actvstrat=,0.800130, actvprof=,10.083751, id=,S09, PRDE,actvstrat=,0.588788, actvprof=,8.522341, best_B_id=,B08, best_B_prof=,3.347824, best_B_strat=,-0.908901, best_S_id=,S01, best_S_prof=,10.294587, best_S_strat=,0.994733, 
t=,14400, id=,B00, PRDE,actvstrat=,0.828348, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.550409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.544766, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.679984, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.078120, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.846658, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.272447, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.914709, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.908901, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.429142, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.024545, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.873678, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.946722, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.626739, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.689160, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.370385, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.251597, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.939409, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.707031, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.918017, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.828348, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.024545, 
t=,18000, id=,B00, PRDE,actvstrat=,0.828348, actvprof=,1.437818, id=,B01, PRDE,actvstrat=,0.550409, actvprof=,1.273924, id=,B02, PRDE,actvstrat=,-0.544766, actvprof=,0.873913, id=,B03, PRDE,actvstrat=,-0.679984, actvprof=,1.078919, id=,B04, PRDE,actvstrat=,0.078120, actvprof=,0.954749, id=,B05, PRDE,actvstrat=,0.846658, actvprof=,1.465596, id=,B06, PRDE,actvstrat=,-0.272447, actvprof=,0.650574, id=,B07, PRDE,actvstrat=,0.914709, actvprof=,1.160866, id=,B08, PRDE,actvstrat=,-0.908901, actvprof=,2.051446, id=,B09, PRDE,actvstrat=,-0.429142, actvprof=,0.799467, id=,S00, PRDE,actvstrat=,0.024545, actvprof=,7.010750, id=,S01, PRDE,actvstrat=,-0.873678, actvprof=,0.528904, id=,S02, PRDE,actvstrat=,-0.946722, actvprof=,0.482236, id=,S03, PRDE,actvstrat=,-0.626739, actvprof=,3.232590, id=,S04, PRDE,actvstrat=,0.689160, actvprof=,10.623628, id=,S05, PRDE,actvstrat=,0.370385, actvprof=,8.686352, id=,S06, PRDE,actvstrat=,0.251597, actvprof=,7.767438, id=,S07, PRDE,actvstrat=,-0.939409, actvprof=,0.402789, id=,S08, PRDE,actvstrat=,-0.707031, actvprof=,3.015362, id=,S09, PRDE,actvstrat=,0.918017, actvprof=,11.993389, best_B_id=,B08, best_B_prof=,2.051446, best_B_strat=,-0.908901, best_S_id=,S09, best_S_prof=,11.993389, best_S_strat=,0.918017, 
t=,21600, id=,B00, PRDE,actvstrat=,0.828348, actvprof=,1.421954, id=,B01, PRDE,actvstrat=,0.550409, actvprof=,1.300426, id=,B02, PRDE,actvstrat=,-0.544766, actvprof=,0.871673, id=,B03, PRDE,actvstrat=,-0.679984, actvprof=,0.995840, id=,B04, PRDE,actvstrat=,0.078120, actvprof=,0.954034, id=,B05, PRDE,actvstrat=,0.846658, actvprof=,1.499733, id=,B06, PRDE,actvstrat=,-0.272447, actvprof=,0.699588, id=,B07, PRDE,actvstrat=,0.914709, actvprof=,1.174453, id=,B08, PRDE,actvstrat=,-0.908901, actvprof=,1.958902, id=,B09, PRDE,actvstrat=,-0.429142, actvprof=,0.813895, id=,S00, PRDE,actvstrat=,0.024545, actvprof=,6.988382, id=,S01, PRDE,actvstrat=,-0.873678, actvprof=,0.592504, id=,S02, PRDE,actvstrat=,-0.946722, actvprof=,0.426114, id=,S03, PRDE,actvstrat=,-0.626739, actvprof=,3.235439, id=,S04, PRDE,actvstrat=,0.689160, actvprof=,10.813964, id=,S05, PRDE,actvstrat=,0.370385, actvprof=,8.742144, id=,S06, PRDE,actvstrat=,0.251597, actvprof=,7.753248, id=,S07, PRDE,actvstrat=,-0.939409, actvprof=,0.328752, id=,S08, PRDE,actvstrat=,-0.707031, actvprof=,2.827936, id=,S09, PRDE,actvstrat=,0.918017, actvprof=,12.045917, best_B_id=,B08, best_B_prof=,1.958902, best_B_strat=,-0.908901, best_S_id=,S09, best_S_prof=,12.045917, best_S_strat=,0.918017, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.013890, actvprof=,0.770588, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.303943, id=,B02, PRDE,actvstrat=,0.274947, actvprof=,0.978374, id=,B03, PRDE,actvstrat=,-0.306998, actvprof=,0.643082, id=,B04, PRDE,actvstrat=,0.594236, actvprof=,1.189494, id=,B05, PRDE,actvstrat=,0.141200, actvprof=,0.972818, id=,B06, PRDE,actvstrat=,0.837864, actvprof=,1.231718, id=,B07, PRDE,actvstrat=,-0.153553, actvprof=,0.665305, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.683084, id=,B09, PRDE,actvstrat=,0.808164, actvprof=,1.231718, id=,S00, PRDE,actvstrat=,-0.382173, actvprof=,3.659041, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.828937, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.885606, id=,S03, PRDE,actvstrat=,-0.456360, actvprof=,3.910996, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,8.015334, id=,S05, PRDE,actvstrat=,0.394929, actvprof=,8.839813, id=,S06, PRDE,actvstrat=,-0.976798, actvprof=,0.997542, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.365237, id=,S08, PRDE,actvstrat=,-0.938258, actvprof=,0.398072, id=,S09, PRDE,actvstrat=,-0.067918, actvprof=,5.721072, best_B_id=,B01, best_B_prof=,1.303943, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,12.365237, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.013890, actvprof=,0.764466, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.438512, id=,B02, PRDE,actvstrat=,0.274947, actvprof=,0.930443, id=,B03, PRDE,actvstrat=,-0.306998, actvprof=,0.617378, id=,B04, PRDE,actvstrat=,0.594236, actvprof=,1.195728, id=,B05, PRDE,actvstrat=,0.141200, actvprof=,0.912942, id=,B06, PRDE,actvstrat=,0.837864, actvprof=,1.286425, id=,B07, PRDE,actvstrat=,-0.153553, actvprof=,0.652796, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.722937, id=,B09, PRDE,actvstrat=,0.808164, actvprof=,1.275174, id=,S00, PRDE,actvstrat=,-0.382173, actvprof=,3.873302, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.781605, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.845912, id=,S03, PRDE,actvstrat=,-0.456360, actvprof=,3.815662, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,7.984666, id=,S05, PRDE,actvstrat=,0.394929, actvprof=,8.752188, id=,S06, PRDE,actvstrat=,-0.976798, actvprof=,1.010861, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,12.185061, id=,S08, PRDE,actvstrat=,-0.938258, actvprof=,0.461818, id=,S09, PRDE,actvstrat=,-0.067918, actvprof=,5.782938, best_B_id=,B01, best_B_prof=,1.438512, best_B_strat=,-1.000000, best_S_id=,S07, best_S_prof=,12.185061, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.013890, actvprof=,2.476283, id=,B01, PRDE,actvstrat=,-0.053018, actvprof=,2.447114, id=,B02, PRDE,actvstrat=,-0.537306, actvprof=,2.640461, id=,B03, PRDE,actvstrat=,-0.306998, actvprof=,2.414890, id=,B04, PRDE,actvstrat=,0.594236, actvprof=,3.048267, id=,B05, PRDE,actvstrat=,-0.929007, actvprof=,3.950830, id=,B06, PRDE,actvstrat=,0.314996, actvprof=,2.921036, id=,B07, PRDE,actvstrat=,-0.141843, actvprof=,2.643795, id=,B08, PRDE,actvstrat=,-0.138075, actvprof=,2.547677, id=,B09, PRDE,actvstrat=,0.599734, actvprof=,3.039656, id=,S00, PRDE,actvstrat=,0.381099, actvprof=,6.618237, id=,S01, PRDE,actvstrat=,0.493474, actvprof=,7.044378, id=,S02, PRDE,actvstrat=,0.662922, actvprof=,7.949163, id=,S03, PRDE,actvstrat=,-0.323095, actvprof=,2.548510, id=,S04, PRDE,actvstrat=,0.767622, actvprof=,8.874227, id=,S05, PRDE,actvstrat=,-0.007329, actvprof=,4.873672, id=,S06, PRDE,actvstrat=,-0.548203, actvprof=,2.365998, id=,S07, PRDE,actvstrat=,-0.051816, actvprof=,4.266130, id=,S08, PRDE,actvstrat=,0.280323, actvprof=,5.982915, id=,S09, PRDE,actvstrat=,0.326589, actvprof=,6.486006, best_B_id=,B05, best_B_prof=,3.950830, best_B_strat=,-0.929007, best_S_id=,S04, best_S_prof=,8.874227, best_S_strat=,0.767622, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.013890, actvprof=,2.542189, id=,B01, PRDE,actvstrat=,-0.053018, actvprof=,2.578996, id=,B02, PRDE,actvstrat=,-0.537306, actvprof=,2.651360, id=,B03, PRDE,actvstrat=,-0.306998, actvprof=,2.464686, id=,B04, PRDE,actvstrat=,0.594236, actvprof=,3.054433, id=,B05, PRDE,actvstrat=,-0.929007, actvprof=,3.852105, id=,B06, PRDE,actvstrat=,0.314996, actvprof=,2.841507, id=,B07, PRDE,actvstrat=,-0.141843, actvprof=,2.629971, id=,B08, PRDE,actvstrat=,-0.138075, actvprof=,2.558023, id=,B09, PRDE,actvstrat=,0.599734, actvprof=,3.168326, id=,S00, PRDE,actvstrat=,0.381099, actvprof=,6.590691, id=,S01, PRDE,actvstrat=,0.493474, actvprof=,7.211550, id=,S02, PRDE,actvstrat=,0.662922, actvprof=,8.044641, id=,S03, PRDE,actvstrat=,-0.323095, actvprof=,2.626082, id=,S04, PRDE,actvstrat=,0.767622, actvprof=,8.903010, id=,S05, PRDE,actvstrat=,-0.007329, actvprof=,4.966179, id=,S06, PRDE,actvstrat=,-0.548203, actvprof=,2.298568, id=,S07, PRDE,actvstrat=,-0.051816, actvprof=,4.200731, id=,S08, PRDE,actvstrat=,0.280323, actvprof=,5.794408, id=,S09, PRDE,actvstrat=,0.326589, actvprof=,6.459436, best_B_id=,B05, best_B_prof=,3.852105, best_B_strat=,-0.929007, best_S_id=,S04, best_S_prof=,8.903010, best_S_strat=,0.767622, 
