t=,0, id=,B00, PRDE,actvstrat=,-0.596383, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.913148, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.091297, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.546916, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.296163, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.750237, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.015037, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.296449, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.802600, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.499032, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.630491, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.328205, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.095573, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.506040, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.420028, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.310153, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.487979, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.181747, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.533936, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.987303, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.596383, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.630491, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.596383, actvprof=,1.116667, id=,B01, PRDE,actvstrat=,0.913148, actvprof=,1.234167, id=,B02, PRDE,actvstrat=,0.091297, actvprof=,1.203611, id=,B03, PRDE,actvstrat=,0.546916, actvprof=,1.660000, id=,B04, PRDE,actvstrat=,0.296163, actvprof=,1.280833, id=,B05, PRDE,actvstrat=,0.750237, actvprof=,1.773333, id=,B06, PRDE,actvstrat=,-0.015037, actvprof=,1.321389, id=,B07, PRDE,actvstrat=,-0.296449, actvprof=,1.082500, id=,B08, PRDE,actvstrat=,0.802600, actvprof=,1.730833, id=,B09, PRDE,actvstrat=,0.499032, actvprof=,1.584167, id=,S00, PRDE,actvstrat=,0.630491, actvprof=,10.007222, id=,S01, PRDE,actvstrat=,-0.328205, actvprof=,4.303611, id=,S02, PRDE,actvstrat=,0.095573, actvprof=,7.710000, id=,S03, PRDE,actvstrat=,-0.506040, actvprof=,4.285278, id=,S04, PRDE,actvstrat=,0.420028, actvprof=,8.950000, id=,S05, PRDE,actvstrat=,0.310153, actvprof=,8.500556, id=,S06, PRDE,actvstrat=,-0.487979, actvprof=,4.336111, id=,S07, PRDE,actvstrat=,-0.181747, actvprof=,5.367222, id=,S08, PRDE,actvstrat=,-0.533936, actvprof=,4.363056, id=,S09, PRDE,actvstrat=,-0.987303, actvprof=,1.922778, best_B_id=,B05, best_B_prof=,1.773333, best_B_strat=,0.750237, best_S_id=,S00, best_S_prof=,10.007222, best_S_strat=,0.630491, 
t=,7200, id=,B00, PRDE,actvstrat=,0.241693, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.852478, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.044552, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.223415, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.103251, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.738007, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.224959, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.099355, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.070251, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.802910, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.820333, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.628604, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.244660, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.545351, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.355588, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.843208, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.646031, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.370991, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.027093, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.991880, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.241693, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.820333, 
t=,10800, id=,B00, PRDE,actvstrat=,0.241693, actvprof=,2.394722, id=,B01, PRDE,actvstrat=,-0.852478, actvprof=,3.610278, id=,B02, PRDE,actvstrat=,-0.044552, actvprof=,2.110278, id=,B03, PRDE,actvstrat=,-0.223415, actvprof=,1.898889, id=,B04, PRDE,actvstrat=,0.103251, actvprof=,2.253056, id=,B05, PRDE,actvstrat=,-0.738007, actvprof=,2.867778, id=,B06, PRDE,actvstrat=,-0.224959, actvprof=,2.165278, id=,B07, PRDE,actvstrat=,0.099355, actvprof=,2.142778, id=,B08, PRDE,actvstrat=,-0.070251, actvprof=,2.199722, id=,B09, PRDE,actvstrat=,0.802910, actvprof=,2.425833, id=,S00, PRDE,actvstrat=,-0.820333, actvprof=,0.706111, id=,S01, PRDE,actvstrat=,-0.628604, actvprof=,2.354167, id=,S02, PRDE,actvstrat=,0.244660, actvprof=,6.261389, id=,S03, PRDE,actvstrat=,-0.545351, actvprof=,2.493889, id=,S04, PRDE,actvstrat=,0.355588, actvprof=,6.703056, id=,S05, PRDE,actvstrat=,0.843208, actvprof=,9.686667, id=,S06, PRDE,actvstrat=,-0.646031, actvprof=,2.233333, id=,S07, PRDE,actvstrat=,0.370991, actvprof=,7.187222, id=,S08, PRDE,actvstrat=,0.027093, actvprof=,5.254722, id=,S09, PRDE,actvstrat=,0.991880, actvprof=,9.628611, best_B_id=,B01, best_B_prof=,3.610278, best_B_strat=,-0.852478, best_S_id=,S05, best_S_prof=,9.686667, best_S_strat=,0.843208, 
t=,14400, id=,B00, PRDE,actvstrat=,0.241693, actvprof=,2.440711, id=,B01, PRDE,actvstrat=,-0.852478, actvprof=,3.542525, id=,B02, PRDE,actvstrat=,-0.044552, actvprof=,2.124043, id=,B03, PRDE,actvstrat=,-0.223415, actvprof=,2.077792, id=,B04, PRDE,actvstrat=,0.103251, actvprof=,2.353211, id=,B05, PRDE,actvstrat=,-0.738007, actvprof=,2.943493, id=,B06, PRDE,actvstrat=,-0.224959, actvprof=,2.259043, id=,B07, PRDE,actvstrat=,0.099355, actvprof=,2.058487, id=,B08, PRDE,actvstrat=,-0.070251, actvprof=,2.070431, id=,B09, PRDE,actvstrat=,0.802910, actvprof=,2.548768, id=,S00, PRDE,actvstrat=,-0.820333, actvprof=,0.796672, id=,S01, PRDE,actvstrat=,-0.628604, actvprof=,2.370433, id=,S02, PRDE,actvstrat=,0.244660, actvprof=,6.243238, id=,S03, PRDE,actvstrat=,-0.545351, actvprof=,2.428767, id=,S04, PRDE,actvstrat=,0.355588, actvprof=,6.609907, id=,S05, PRDE,actvstrat=,0.843208, actvprof=,9.442288, id=,S06, PRDE,actvstrat=,-0.646031, actvprof=,2.186265, id=,S07, PRDE,actvstrat=,0.370991, actvprof=,7.039216, id=,S08, PRDE,actvstrat=,0.027093, actvprof=,5.343648, id=,S09, PRDE,actvstrat=,0.991880, actvprof=,9.588261, best_B_id=,B01, best_B_prof=,3.542525, best_B_strat=,-0.852478, best_S_id=,S09, best_S_prof=,9.588261, best_S_strat=,0.991880, 
t=,18000, id=,B00, PRDE,actvstrat=,0.333529, actvprof=,2.194875, id=,B01, PRDE,actvstrat=,-0.786787, actvprof=,3.054101, id=,B02, PRDE,actvstrat=,0.829796, actvprof=,2.616015, id=,B03, PRDE,actvstrat=,-0.423670, actvprof=,1.865685, id=,B04, PRDE,actvstrat=,0.820969, actvprof=,2.550177, id=,B05, PRDE,actvstrat=,-0.738007, actvprof=,2.556289, id=,B06, PRDE,actvstrat=,-0.409635, actvprof=,2.114869, id=,B07, PRDE,actvstrat=,0.099355, actvprof=,1.997361, id=,B08, PRDE,actvstrat=,-0.605847, actvprof=,2.299326, id=,B09, PRDE,actvstrat=,-0.276414, actvprof=,2.059032, id=,S00, PRDE,actvstrat=,0.583829, actvprof=,8.060560, id=,S01, PRDE,actvstrat=,0.227138, actvprof=,6.196819, id=,S02, PRDE,actvstrat=,-0.591394, actvprof=,2.488228, id=,S03, PRDE,actvstrat=,-0.545351, actvprof=,2.714911, id=,S04, PRDE,actvstrat=,0.355588, actvprof=,6.821029, id=,S05, PRDE,actvstrat=,-0.627528, actvprof=,2.314327, id=,S06, PRDE,actvstrat=,-0.646031, actvprof=,2.179874, id=,S07, PRDE,actvstrat=,0.678208, actvprof=,8.712272, id=,S08, PRDE,actvstrat=,0.027093, actvprof=,4.941176, id=,S09, PRDE,actvstrat=,0.782517, actvprof=,9.512883, best_B_id=,B01, best_B_prof=,3.054101, best_B_strat=,-0.786787, best_S_id=,S09, best_S_prof=,9.512883, best_S_strat=,0.782517, 
t=,21600, id=,B00, PRDE,actvstrat=,0.333529, actvprof=,2.326609, id=,B01, PRDE,actvstrat=,-0.786787, actvprof=,2.965103, id=,B02, PRDE,actvstrat=,0.829796, actvprof=,2.573839, id=,B03, PRDE,actvstrat=,-0.423670, actvprof=,1.915900, id=,B04, PRDE,actvstrat=,0.820969, actvprof=,2.504670, id=,B05, PRDE,actvstrat=,-0.738007, actvprof=,2.573700, id=,B06, PRDE,actvstrat=,-0.409635, actvprof=,2.177715, id=,B07, PRDE,actvstrat=,0.099355, actvprof=,2.008820, id=,B08, PRDE,actvstrat=,-0.605847, actvprof=,2.142574, id=,B09, PRDE,actvstrat=,-0.276414, actvprof=,1.984236, id=,S00, PRDE,actvstrat=,0.583829, actvprof=,8.056252, id=,S01, PRDE,actvstrat=,0.227138, actvprof=,6.172714, id=,S02, PRDE,actvstrat=,-0.591394, actvprof=,2.656342, id=,S03, PRDE,actvstrat=,-0.545351, actvprof=,2.650648, id=,S04, PRDE,actvstrat=,0.355588, actvprof=,6.737039, id=,S05, PRDE,actvstrat=,-0.627528, actvprof=,2.334664, id=,S06, PRDE,actvstrat=,-0.646031, actvprof=,2.247300, id=,S07, PRDE,actvstrat=,0.678208, actvprof=,8.580020, id=,S08, PRDE,actvstrat=,0.027093, actvprof=,5.209625, id=,S09, PRDE,actvstrat=,0.782517, actvprof=,9.518247, best_B_id=,B01, best_B_prof=,2.965103, best_B_strat=,-0.786787, best_S_id=,S09, best_S_prof=,9.518247, best_S_strat=,0.782517, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.766421, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.653638, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.645305, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.550023, id=,B04, PRDE,actvstrat=,0.980774, actvprof=,0.618637, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.174452, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.197508, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.732531, id=,B08, PRDE,actvstrat=,-0.785862, actvprof=,0.699474, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.612248, id=,S00, PRDE,actvstrat=,-0.667831, actvprof=,4.312402, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.124144, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.645513, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.368599, id=,S04, PRDE,actvstrat=,0.055719, actvprof=,8.907316, id=,S05, PRDE,actvstrat=,0.830655, actvprof=,13.783908, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.586066, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,14.235038, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,14.188091, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,14.113921, best_B_id=,B00, best_B_prof=,0.766421, best_B_strat=,1.000000, best_S_id=,S07, best_S_prof=,14.235038, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.534467, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.543634, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.460158, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.455297, id=,B04, PRDE,actvstrat=,0.980774, actvprof=,0.500021, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.153479, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.146256, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.537384, id=,B08, PRDE,actvstrat=,-0.785862, actvprof=,0.606275, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.476964, id=,S00, PRDE,actvstrat=,-0.667831, actvprof=,4.394072, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.096782, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.827604, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.994694, id=,S04, PRDE,actvstrat=,0.055719, actvprof=,8.975235, id=,S05, PRDE,actvstrat=,0.830655, actvprof=,13.859883, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.827465, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,14.445046, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,14.390461, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,14.301151, best_B_id=,B08, best_B_prof=,0.606275, best_B_strat=,-0.785862, best_S_id=,S07, best_S_prof=,14.445046, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.241693, actvprof=,3.610073, id=,B01, PRDE,actvstrat=,-0.786787, actvprof=,4.707402, id=,B02, PRDE,actvstrat=,-0.030153, actvprof=,3.347548, id=,B03, PRDE,actvstrat=,-0.559983, actvprof=,4.073174, id=,B04, PRDE,actvstrat=,0.735643, actvprof=,3.604795, id=,B05, PRDE,actvstrat=,-0.380968, actvprof=,3.101135, id=,B06, PRDE,actvstrat=,-0.193455, actvprof=,3.562291, id=,B07, PRDE,actvstrat=,-0.656142, actvprof=,4.050394, id=,B08, PRDE,actvstrat=,-0.833135, actvprof=,4.749073, id=,B09, PRDE,actvstrat=,0.802910, actvprof=,3.515064, id=,S00, PRDE,actvstrat=,0.685189, actvprof=,7.537399, id=,S01, PRDE,actvstrat=,-0.628604, actvprof=,2.062145, id=,S02, PRDE,actvstrat=,0.244660, actvprof=,5.446363, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.593502, id=,S04, PRDE,actvstrat=,0.042832, actvprof=,4.506271, id=,S05, PRDE,actvstrat=,0.843208, actvprof=,8.358868, id=,S06, PRDE,actvstrat=,-0.104983, actvprof=,3.320045, id=,S07, PRDE,actvstrat=,0.370991, actvprof=,5.886683, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,8.108566, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,8.179684, best_B_id=,B08, best_B_prof=,4.749073, best_B_strat=,-0.833135, best_S_id=,S05, best_S_prof=,8.358868, best_S_strat=,0.843208, 
t=,36000, id=,B00, PRDE,actvstrat=,0.241693, actvprof=,3.468641, id=,B01, PRDE,actvstrat=,-0.786787, actvprof=,4.588140, id=,B02, PRDE,actvstrat=,-0.030153, actvprof=,3.161404, id=,B03, PRDE,actvstrat=,-0.559983, actvprof=,3.886161, id=,B04, PRDE,actvstrat=,0.735643, actvprof=,3.526699, id=,B05, PRDE,actvstrat=,-0.380968, actvprof=,3.336273, id=,B06, PRDE,actvstrat=,-0.193455, actvprof=,3.557534, id=,B07, PRDE,actvstrat=,-0.656142, actvprof=,4.093671, id=,B08, PRDE,actvstrat=,-0.833135, actvprof=,4.740647, id=,B09, PRDE,actvstrat=,0.802910, actvprof=,3.448918, id=,S00, PRDE,actvstrat=,0.685189, actvprof=,7.493837, id=,S01, PRDE,actvstrat=,-0.628604, actvprof=,1.954262, id=,S02, PRDE,actvstrat=,0.244660, actvprof=,5.546659, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.503691, id=,S04, PRDE,actvstrat=,0.042832, actvprof=,4.635642, id=,S05, PRDE,actvstrat=,0.843208, actvprof=,8.512914, id=,S06, PRDE,actvstrat=,-0.104983, actvprof=,3.360997, id=,S07, PRDE,actvstrat=,0.370991, actvprof=,5.937372, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,8.252346, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,8.243317, best_B_id=,B08, best_B_prof=,4.740647, best_B_strat=,-0.833135, best_S_id=,S05, best_S_prof=,8.512914, best_S_strat=,0.843208, 
