t=,1, id=,B00, PRDE,actvstrat=,-0.174106, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.180101, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.755062, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.275169, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.313309, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.489545, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.785641, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.821702, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.495366, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.643919, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.803049, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.071999, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.695313, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.903842, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.812055, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.749576, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.076351, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.844750, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.389525, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.483448, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.174106, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.803049, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.174106, actvprof=,1.816944, id=,B01, PRDE,actvstrat=,-0.180101, actvprof=,1.915556, id=,B02, PRDE,actvstrat=,0.755062, actvprof=,2.629167, id=,B03, PRDE,actvstrat=,-0.275169, actvprof=,1.910278, id=,B04, PRDE,actvstrat=,0.313309, actvprof=,2.172500, id=,B05, PRDE,actvstrat=,-0.489545, actvprof=,1.813889, id=,B06, PRDE,actvstrat=,-0.785641, actvprof=,2.586111, id=,B07, PRDE,actvstrat=,0.821702, actvprof=,2.468889, id=,B08, PRDE,actvstrat=,0.495366, actvprof=,2.359444, id=,B09, PRDE,actvstrat=,-0.643919, actvprof=,2.401667, id=,S00, PRDE,actvstrat=,-0.803049, actvprof=,1.419444, id=,S01, PRDE,actvstrat=,-0.071999, actvprof=,5.164722, id=,S02, PRDE,actvstrat=,0.695313, actvprof=,8.933056, id=,S03, PRDE,actvstrat=,0.903842, actvprof=,10.536111, id=,S04, PRDE,actvstrat=,0.812055, actvprof=,9.896667, id=,S05, PRDE,actvstrat=,-0.749576, actvprof=,2.018056, id=,S06, PRDE,actvstrat=,0.076351, actvprof=,5.730833, id=,S07, PRDE,actvstrat=,-0.844750, actvprof=,0.968889, id=,S08, PRDE,actvstrat=,0.389525, actvprof=,7.540556, id=,S09, PRDE,actvstrat=,-0.483448, actvprof=,3.072778, best_B_id=,B02, best_B_prof=,2.629167, best_B_strat=,0.755062, best_S_id=,S03, best_S_prof=,10.536111, best_S_strat=,0.903842, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.430074, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.139877, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.869950, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.002681, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.595471, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.623852, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.671660, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.091189, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.656699, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.393046, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.666304, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.813700, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.740897, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.769618, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.463440, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.573569, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.054477, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.673158, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.872955, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.791099, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.430074, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.666304, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.430074, actvprof=,0.961653, id=,B01, PRDE,actvstrat=,0.139877, actvprof=,1.153317, id=,B02, PRDE,actvstrat=,-0.869950, actvprof=,1.859696, id=,B03, PRDE,actvstrat=,-0.002681, actvprof=,1.191650, id=,B04, PRDE,actvstrat=,-0.595471, actvprof=,1.148317, id=,B05, PRDE,actvstrat=,-0.623852, actvprof=,1.313593, id=,B06, PRDE,actvstrat=,-0.671660, actvprof=,1.099707, id=,B07, PRDE,actvstrat=,-0.091189, actvprof=,1.105262, id=,B08, PRDE,actvstrat=,0.656699, actvprof=,1.676643, id=,B09, PRDE,actvstrat=,-0.393046, actvprof=,1.016930, id=,S00, PRDE,actvstrat=,0.666304, actvprof=,9.080429, id=,S01, PRDE,actvstrat=,-0.813700, actvprof=,1.099429, id=,S02, PRDE,actvstrat=,-0.740897, actvprof=,1.983861, id=,S03, PRDE,actvstrat=,-0.769618, actvprof=,1.663588, id=,S04, PRDE,actvstrat=,0.463440, actvprof=,7.955167, id=,S05, PRDE,actvstrat=,-0.573569, actvprof=,2.615797, id=,S06, PRDE,actvstrat=,0.054477, actvprof=,5.564367, id=,S07, PRDE,actvstrat=,-0.673158, actvprof=,2.539687, id=,S08, PRDE,actvstrat=,-0.872955, actvprof=,0.414439, id=,S09, PRDE,actvstrat=,-0.791099, actvprof=,1.178039, best_B_id=,B02, best_B_prof=,1.859696, best_B_strat=,-0.869950, best_S_id=,S00, best_S_prof=,9.080429, best_S_strat=,0.666304, 
t=,14400, id=,B00, PRDE,actvstrat=,0.409519, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.551179, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.051443, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.385856, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.241884, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.341564, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.816317, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.821702, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.656699, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.670223, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.802102, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.326562, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.335353, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.903842, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.094233, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.573569, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.054477, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.181892, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.157956, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.428450, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.409519, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.802102, 
t=,18000, id=,B00, PRDE,actvstrat=,0.409519, actvprof=,1.521667, id=,B01, PRDE,actvstrat=,0.551179, actvprof=,1.770000, id=,B02, PRDE,actvstrat=,0.051443, actvprof=,1.369167, id=,B03, PRDE,actvstrat=,0.385856, actvprof=,1.567500, id=,B04, PRDE,actvstrat=,-0.241884, actvprof=,1.035278, id=,B05, PRDE,actvstrat=,-0.341564, actvprof=,1.299444, id=,B06, PRDE,actvstrat=,0.816317, actvprof=,1.776667, id=,B07, PRDE,actvstrat=,0.821702, actvprof=,1.849444, id=,B08, PRDE,actvstrat=,0.656699, actvprof=,1.913889, id=,B09, PRDE,actvstrat=,-0.670223, actvprof=,1.516667, id=,S00, PRDE,actvstrat=,-0.802102, actvprof=,1.565278, id=,S01, PRDE,actvstrat=,-0.326562, actvprof=,3.715833, id=,S02, PRDE,actvstrat=,0.335353, actvprof=,8.010000, id=,S03, PRDE,actvstrat=,0.903842, actvprof=,11.478611, id=,S04, PRDE,actvstrat=,-0.094233, actvprof=,5.665556, id=,S05, PRDE,actvstrat=,-0.573569, actvprof=,3.390833, id=,S06, PRDE,actvstrat=,0.054477, actvprof=,6.764722, id=,S07, PRDE,actvstrat=,-0.181892, actvprof=,4.568056, id=,S08, PRDE,actvstrat=,0.157956, actvprof=,6.988056, id=,S09, PRDE,actvstrat=,0.428450, actvprof=,8.611111, best_B_id=,B08, best_B_prof=,1.913889, best_B_strat=,0.656699, best_S_id=,S03, best_S_prof=,11.478611, best_S_strat=,0.903842, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.434467, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.679618, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.173723, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.912187, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.468792, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.560711, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.262045, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.152401, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.330188, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.543033, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.276786, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.081474, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.896132, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.662278, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.403401, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.492604, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.218182, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.434467, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.543033, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.434467, actvprof=,2.072807, id=,B01, PRDE,actvstrat=,-0.679618, actvprof=,2.483646, id=,B02, PRDE,actvstrat=,-0.173723, actvprof=,2.055584, id=,B03, PRDE,actvstrat=,0.912187, actvprof=,2.054751, id=,B04, PRDE,actvstrat=,-0.468792, actvprof=,2.066973, id=,B05, PRDE,actvstrat=,-0.560711, actvprof=,2.306976, id=,B06, PRDE,actvstrat=,-0.262045, actvprof=,1.973083, id=,B07, PRDE,actvstrat=,-0.152401, actvprof=,2.216697, id=,B08, PRDE,actvstrat=,0.330188, actvprof=,2.469201, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.436714, id=,S00, PRDE,actvstrat=,-0.543033, actvprof=,2.282254, id=,S01, PRDE,actvstrat=,0.276786, actvprof=,6.092029, id=,S02, PRDE,actvstrat=,0.081474, actvprof=,5.309240, id=,S03, PRDE,actvstrat=,-0.896132, actvprof=,0.703343, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.531730, id=,S05, PRDE,actvstrat=,0.662278, actvprof=,8.506229, id=,S06, PRDE,actvstrat=,0.403401, actvprof=,6.618981, id=,S07, PRDE,actvstrat=,-0.492604, actvprof=,2.849762, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.755413, id=,S09, PRDE,actvstrat=,-0.218182, actvprof=,3.437826, best_B_id=,B09, best_B_prof=,3.436714, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.755413, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.434467, actvprof=,2.072668, id=,B01, PRDE,actvstrat=,-0.679618, actvprof=,2.501563, id=,B02, PRDE,actvstrat=,-0.173723, actvprof=,1.909471, id=,B03, PRDE,actvstrat=,0.912187, actvprof=,2.032667, id=,B04, PRDE,actvstrat=,-0.468792, actvprof=,2.070445, id=,B05, PRDE,actvstrat=,-0.560711, actvprof=,2.182253, id=,B06, PRDE,actvstrat=,-0.262045, actvprof=,1.851970, id=,B07, PRDE,actvstrat=,-0.152401, actvprof=,2.064890, id=,B08, PRDE,actvstrat=,0.330188, actvprof=,2.390311, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.474354, id=,S00, PRDE,actvstrat=,-0.543033, actvprof=,2.282809, id=,S01, PRDE,actvstrat=,0.276786, actvprof=,6.206753, id=,S02, PRDE,actvstrat=,0.081474, actvprof=,5.325352, id=,S03, PRDE,actvstrat=,-0.896132, actvprof=,0.570147, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.422423, id=,S05, PRDE,actvstrat=,0.662278, actvprof=,8.482896, id=,S06, PRDE,actvstrat=,0.403401, actvprof=,6.785511, id=,S07, PRDE,actvstrat=,-0.492604, actvprof=,2.798511, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,9.663051, id=,S09, PRDE,actvstrat=,-0.218182, actvprof=,3.346296, best_B_id=,B09, best_B_prof=,3.474354, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.663051, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.548687, actvprof=,2.289754, id=,B01, PRDE,actvstrat=,-0.546359, actvprof=,2.460312, id=,B02, PRDE,actvstrat=,-0.869950, actvprof=,3.746441, id=,B03, PRDE,actvstrat=,-0.411092, actvprof=,2.231698, id=,B04, PRDE,actvstrat=,0.313309, actvprof=,2.838928, id=,B05, PRDE,actvstrat=,-0.567508, actvprof=,2.436701, id=,B06, PRDE,actvstrat=,-0.262045, actvprof=,2.466979, id=,B07, PRDE,actvstrat=,-0.701295, actvprof=,2.925318, id=,B08, PRDE,actvstrat=,0.330188, actvprof=,2.676982, id=,B09, PRDE,actvstrat=,-0.643919, actvprof=,2.751983, id=,S00, PRDE,actvstrat=,0.910777, actvprof=,8.569286, id=,S01, PRDE,actvstrat=,-0.106896, actvprof=,2.901151, id=,S02, PRDE,actvstrat=,-0.155706, actvprof=,2.819484, id=,S03, PRDE,actvstrat=,0.913420, actvprof=,8.819845, id=,S04, PRDE,actvstrat=,-0.461007, actvprof=,2.120585, id=,S05, PRDE,actvstrat=,0.410772, actvprof=,6.072862, id=,S06, PRDE,actvstrat=,0.365561, actvprof=,5.790358, id=,S07, PRDE,actvstrat=,-0.673158, actvprof=,1.595578, id=,S08, PRDE,actvstrat=,-0.145104, actvprof=,3.039764, id=,S09, PRDE,actvstrat=,-0.150064, actvprof=,2.869207, best_B_id=,B02, best_B_prof=,3.746441, best_B_strat=,-0.869950, best_S_id=,S03, best_S_prof=,8.819845, best_S_strat=,0.913420, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.548687, actvprof=,2.378505, id=,B01, PRDE,actvstrat=,-0.546359, actvprof=,2.398922, id=,B02, PRDE,actvstrat=,-0.869950, actvprof=,3.794358, id=,B03, PRDE,actvstrat=,-0.411092, actvprof=,2.278365, id=,B04, PRDE,actvstrat=,0.313309, actvprof=,2.850734, id=,B05, PRDE,actvstrat=,-0.567508, actvprof=,2.418089, id=,B06, PRDE,actvstrat=,-0.262045, actvprof=,2.326421, id=,B07, PRDE,actvstrat=,-0.701295, actvprof=,2.793233, id=,B08, PRDE,actvstrat=,0.330188, actvprof=,2.580730, id=,B09, PRDE,actvstrat=,-0.643919, actvprof=,2.699621, id=,S00, PRDE,actvstrat=,0.910777, actvprof=,8.821650, id=,S01, PRDE,actvstrat=,-0.106896, actvprof=,3.152405, id=,S02, PRDE,actvstrat=,-0.155706, actvprof=,2.851151, id=,S03, PRDE,actvstrat=,0.913420, actvprof=,8.882623, id=,S04, PRDE,actvstrat=,-0.461007, actvprof=,1.844331, id=,S05, PRDE,actvstrat=,0.410772, actvprof=,6.089112, id=,S06, PRDE,actvstrat=,0.365561, actvprof=,5.799247, id=,S07, PRDE,actvstrat=,-0.673158, actvprof=,1.478354, id=,S08, PRDE,actvstrat=,-0.145104, actvprof=,3.035875, id=,S09, PRDE,actvstrat=,-0.150064, actvprof=,2.760594, best_B_id=,B02, best_B_prof=,3.794358, best_B_strat=,-0.869950, best_S_id=,S03, best_S_prof=,8.882623, best_S_strat=,0.913420, 
