t=,3600, id=,B00, PRDE,actvstrat=,-0.891064, actvprof=,2.473056, id=,B01, PRDE,actvstrat=,-0.096951, actvprof=,1.356667, id=,B02, PRDE,actvstrat=,0.438819, actvprof=,1.888611, id=,B03, PRDE,actvstrat=,-0.707483, actvprof=,1.812778, id=,B04, PRDE,actvstrat=,0.964049, actvprof=,1.383889, id=,B05, PRDE,actvstrat=,-0.227379, actvprof=,1.241111, id=,B06, PRDE,actvstrat=,0.224354, actvprof=,1.611389, id=,B07, PRDE,actvstrat=,0.297566, actvprof=,1.660278, id=,B08, PRDE,actvstrat=,0.323830, actvprof=,1.711944, id=,B09, PRDE,actvstrat=,0.573363, actvprof=,2.096111, id=,S00, PRDE,actvstrat=,0.518940, actvprof=,9.283333, id=,S01, PRDE,actvstrat=,-0.762105, actvprof=,3.351667, id=,S02, PRDE,actvstrat=,-0.399557, actvprof=,4.561389, id=,S03, PRDE,actvstrat=,0.301700, actvprof=,8.244444, id=,S04, PRDE,actvstrat=,-0.983739, actvprof=,2.772778, id=,S05, PRDE,actvstrat=,-0.399665, actvprof=,4.738056, id=,S06, PRDE,actvstrat=,-0.253642, actvprof=,5.088889, id=,S07, PRDE,actvstrat=,-0.148840, actvprof=,5.629722, id=,S08, PRDE,actvstrat=,-0.850429, actvprof=,1.758611, id=,S09, PRDE,actvstrat=,0.637451, actvprof=,9.979722, best_B_id=,B00, best_B_prof=,2.473056, best_B_strat=,-0.891064, best_S_id=,S09, best_S_prof=,9.979722, best_S_strat=,0.637451, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.136331, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.840885, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.171408, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.140024, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.586291, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.780037, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.971385, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.517256, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.667882, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.638720, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.800107, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.776601, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.982599, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.434945, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.686061, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.686750, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.043317, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.601498, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.626098, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.675431, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.136331, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.800107, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.136331, actvprof=,1.924338, id=,B01, PRDE,actvstrat=,0.840885, actvprof=,2.029887, id=,B02, PRDE,actvstrat=,0.171408, actvprof=,1.796289, id=,B03, PRDE,actvstrat=,0.140024, actvprof=,1.785734, id=,B04, PRDE,actvstrat=,-0.586291, actvprof=,1.922949, id=,B05, PRDE,actvstrat=,0.780037, actvprof=,2.198767, id=,B06, PRDE,actvstrat=,-0.971385, actvprof=,2.819566, id=,B07, PRDE,actvstrat=,0.517256, actvprof=,2.052386, id=,B08, PRDE,actvstrat=,-0.667882, actvprof=,2.495417, id=,B09, PRDE,actvstrat=,-0.638720, actvprof=,2.212655, id=,S00, PRDE,actvstrat=,-0.800107, actvprof=,1.437976, id=,S01, PRDE,actvstrat=,-0.776601, actvprof=,1.759069, id=,S02, PRDE,actvstrat=,0.982599, actvprof=,10.608855, id=,S03, PRDE,actvstrat=,0.434945, actvprof=,7.713738, id=,S04, PRDE,actvstrat=,0.686061, actvprof=,9.764458, id=,S05, PRDE,actvstrat=,-0.686750, actvprof=,2.212655, id=,S06, PRDE,actvstrat=,0.043317, actvprof=,5.889673, id=,S07, PRDE,actvstrat=,0.601498, actvprof=,8.862008, id=,S08, PRDE,actvstrat=,-0.626098, actvprof=,2.607355, id=,S09, PRDE,actvstrat=,0.675431, actvprof=,9.457252, best_B_id=,B06, best_B_prof=,2.819566, best_B_strat=,-0.971385, best_S_id=,S02, best_S_prof=,10.608855, best_S_strat=,0.982599, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.115430, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.654024, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.171408, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.715388, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.551273, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.816267, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.703376, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.046799, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.061999, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.369191, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.578811, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.434366, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.820313, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.570739, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.642251, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.576970, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.313188, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.889755, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.364068, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.675431, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.115430, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.578811, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.115430, actvprof=,1.230833, id=,B01, PRDE,actvstrat=,0.654024, actvprof=,1.740278, id=,B02, PRDE,actvstrat=,0.171408, actvprof=,1.374167, id=,B03, PRDE,actvstrat=,0.715388, actvprof=,2.031111, id=,B04, PRDE,actvstrat=,-0.551273, actvprof=,1.288889, id=,B05, PRDE,actvstrat=,0.816267, actvprof=,1.824722, id=,B06, PRDE,actvstrat=,-0.703376, actvprof=,1.591667, id=,B07, PRDE,actvstrat=,0.046799, actvprof=,1.217500, id=,B08, PRDE,actvstrat=,0.061999, actvprof=,1.384167, id=,B09, PRDE,actvstrat=,-0.369191, actvprof=,1.006944, id=,S00, PRDE,actvstrat=,-0.578811, actvprof=,3.036389, id=,S01, PRDE,actvstrat=,-0.434366, actvprof=,3.239444, id=,S02, PRDE,actvstrat=,-0.820313, actvprof=,1.126111, id=,S03, PRDE,actvstrat=,-0.570739, actvprof=,2.778333, id=,S04, PRDE,actvstrat=,-0.642251, actvprof=,2.803611, id=,S05, PRDE,actvstrat=,0.576970, actvprof=,9.047778, id=,S06, PRDE,actvstrat=,-0.313188, actvprof=,3.764444, id=,S07, PRDE,actvstrat=,0.889755, actvprof=,11.166111, id=,S08, PRDE,actvstrat=,-0.364068, actvprof=,3.156389, id=,S09, PRDE,actvstrat=,0.675431, actvprof=,9.768889, best_B_id=,B03, best_B_prof=,2.031111, best_B_strat=,0.715388, best_S_id=,S07, best_S_prof=,11.166111, best_S_strat=,0.889755, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.115430, actvprof=,1.253194, id=,B01, PRDE,actvstrat=,0.654024, actvprof=,1.831528, id=,B02, PRDE,actvstrat=,0.171408, actvprof=,1.452778, id=,B03, PRDE,actvstrat=,0.715388, actvprof=,1.882083, id=,B04, PRDE,actvstrat=,-0.551273, actvprof=,1.269861, id=,B05, PRDE,actvstrat=,0.816267, actvprof=,1.848333, id=,B06, PRDE,actvstrat=,-0.703376, actvprof=,1.632778, id=,B07, PRDE,actvstrat=,0.046799, actvprof=,1.307500, id=,B08, PRDE,actvstrat=,0.061999, actvprof=,1.260000, id=,B09, PRDE,actvstrat=,-0.369191, actvprof=,0.985972, id=,S00, PRDE,actvstrat=,-0.578811, actvprof=,3.214861, id=,S01, PRDE,actvstrat=,-0.434366, actvprof=,3.271806, id=,S02, PRDE,actvstrat=,-0.820313, actvprof=,1.272361, id=,S03, PRDE,actvstrat=,-0.570739, actvprof=,2.896944, id=,S04, PRDE,actvstrat=,-0.642251, actvprof=,2.805417, id=,S05, PRDE,actvstrat=,0.576970, actvprof=,9.167778, id=,S06, PRDE,actvstrat=,-0.313188, actvprof=,3.799583, id=,S07, PRDE,actvstrat=,0.889755, actvprof=,11.111250, id=,S08, PRDE,actvstrat=,-0.364068, actvprof=,3.347500, id=,S09, PRDE,actvstrat=,0.675431, actvprof=,9.777361, best_B_id=,B03, best_B_prof=,1.882083, best_B_strat=,0.715388, best_S_id=,S07, best_S_prof=,11.111250, best_S_strat=,0.889755, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.571147, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,4.165058, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,4.093668, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.545591, id=,B04, PRDE,actvstrat=,0.024489, actvprof=,4.272559, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.509479, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.273087, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.303088, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.151724, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.522813, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.442089, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,2.956986, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.429034, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.033653, id=,S04, PRDE,actvstrat=,0.993787, actvprof=,10.297643, id=,S05, PRDE,actvstrat=,-0.002627, actvprof=,6.347310, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,3.030598, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.639037, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,10.562924, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,3.098376, best_B_id=,B04, best_B_prof=,4.272559, best_B_strat=,0.024489, best_S_id=,S07, best_S_prof=,10.639037, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.353211, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,3.916833, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,3.880999, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.317794, id=,B04, PRDE,actvstrat=,0.024489, actvprof=,4.087112, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.269044, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.182793, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.374044, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,3.919333, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.360155, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.656463, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.186411, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.774241, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.176411, id=,S04, PRDE,actvstrat=,0.993787, actvprof=,10.691602, id=,S05, PRDE,actvstrat=,-0.002627, actvprof=,6.301294, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,3.256134, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,10.890631, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,10.672852, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,3.222245, best_B_id=,B04, best_B_prof=,4.087112, best_B_strat=,0.024489, best_S_id=,S07, best_S_prof=,10.890631, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.472284, id=,B01, PRDE,actvstrat=,0.182192, actvprof=,0.550856, id=,B02, PRDE,actvstrat=,0.778398, actvprof=,1.076989, id=,B03, PRDE,actvstrat=,-0.971439, actvprof=,1.201161, id=,B04, PRDE,actvstrat=,-0.586291, actvprof=,0.445852, id=,B05, PRDE,actvstrat=,0.853779, actvprof=,1.024765, id=,B06, PRDE,actvstrat=,-0.971385, actvprof=,0.996708, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.264497, id=,B08, PRDE,actvstrat=,-0.667882, actvprof=,0.766976, id=,B09, PRDE,actvstrat=,0.679633, actvprof=,0.874481, id=,S00, PRDE,actvstrat=,-0.785716, actvprof=,2.361209, id=,S01, PRDE,actvstrat=,-0.336855, actvprof=,4.124339, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.830257, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.350417, id=,S04, PRDE,actvstrat=,0.686061, actvprof=,11.200467, id=,S05, PRDE,actvstrat=,-0.311301, actvprof=,4.316847, id=,S06, PRDE,actvstrat=,-0.269621, actvprof=,4.901038, id=,S07, PRDE,actvstrat=,-0.084227, actvprof=,6.235260, id=,S08, PRDE,actvstrat=,-0.672143, actvprof=,3.447088, id=,S09, PRDE,actvstrat=,0.576889, actvprof=,10.294873, best_B_id=,B00, best_B_prof=,1.472284, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,12.830257, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.476697, id=,B01, PRDE,actvstrat=,0.182192, actvprof=,0.534317, id=,B02, PRDE,actvstrat=,0.778398, actvprof=,1.016688, id=,B03, PRDE,actvstrat=,-0.971439, actvprof=,1.185441, id=,B04, PRDE,actvstrat=,-0.586291, actvprof=,0.455148, id=,B05, PRDE,actvstrat=,0.853779, actvprof=,1.026132, id=,B06, PRDE,actvstrat=,-0.971385, actvprof=,1.116412, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.360028, id=,B08, PRDE,actvstrat=,-0.667882, actvprof=,0.698487, id=,B09, PRDE,actvstrat=,0.679633, actvprof=,0.865851, id=,S00, PRDE,actvstrat=,-0.785716, actvprof=,2.261436, id=,S01, PRDE,actvstrat=,-0.336855, actvprof=,4.249394, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.773599, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.342570, id=,S04, PRDE,actvstrat=,0.686061, actvprof=,11.171066, id=,S05, PRDE,actvstrat=,-0.311301, actvprof=,4.404397, id=,S06, PRDE,actvstrat=,-0.269621, actvprof=,4.947186, id=,S07, PRDE,actvstrat=,-0.084227, actvprof=,6.074710, id=,S08, PRDE,actvstrat=,-0.672143, actvprof=,3.558130, id=,S09, PRDE,actvstrat=,0.576889, actvprof=,10.528275, best_B_id=,B00, best_B_prof=,1.476697, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,12.773599, best_S_strat=,1.000000, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,2.463539, id=,B01, PRDE,actvstrat=,-0.369716, actvprof=,2.805512, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.545962, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.654305, id=,B04, PRDE,actvstrat=,-0.672801, actvprof=,3.355557, id=,B05, PRDE,actvstrat=,-0.977773, actvprof=,2.311026, id=,B06, PRDE,actvstrat=,0.315470, actvprof=,2.941912, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.562075, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.459649, id=,B09, PRDE,actvstrat=,-0.775861, actvprof=,3.136095, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.440953, id=,S01, PRDE,actvstrat=,-0.884415, actvprof=,0.770898, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.518988, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,11.511237, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,11.153152, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.268411, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.604273, id=,S07, PRDE,actvstrat=,-0.303615, actvprof=,4.370920, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.200100, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,11.178154, best_B_id=,B04, best_B_prof=,3.355557, best_B_strat=,-0.672801, best_S_id=,S03, best_S_prof=,11.511237, best_S_strat=,1.000000, 
