t=,0, id=,B00, PRDE,actvstrat=,-0.406102, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.416633, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.266187, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.893298, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.491116, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.727453, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.357175, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.936345, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.208825, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.253453, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.671559, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.528738, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.369975, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.199984, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.730708, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.445405, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.159669, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.557122, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.492886, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.143033, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.406102, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.671559, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.406102, actvprof=,2.508333, id=,B01, PRDE,actvstrat=,-0.416633, actvprof=,2.499167, id=,B02, PRDE,actvstrat=,-0.266187, actvprof=,2.320556, id=,B03, PRDE,actvstrat=,-0.893298, actvprof=,3.875000, id=,B04, PRDE,actvstrat=,0.491116, actvprof=,3.207778, id=,B05, PRDE,actvstrat=,-0.727453, actvprof=,3.555278, id=,B06, PRDE,actvstrat=,-0.357175, actvprof=,2.536389, id=,B07, PRDE,actvstrat=,0.936345, actvprof=,2.280556, id=,B08, PRDE,actvstrat=,-0.208825, actvprof=,2.504167, id=,B09, PRDE,actvstrat=,0.253453, actvprof=,3.099722, id=,S00, PRDE,actvstrat=,0.671559, actvprof=,8.203611, id=,S01, PRDE,actvstrat=,0.528738, actvprof=,7.715833, id=,S02, PRDE,actvstrat=,0.369975, actvprof=,6.719722, id=,S03, PRDE,actvstrat=,-0.199984, actvprof=,3.429167, id=,S04, PRDE,actvstrat=,0.730708, actvprof=,8.420278, id=,S05, PRDE,actvstrat=,-0.445405, actvprof=,3.251111, id=,S06, PRDE,actvstrat=,-0.159669, actvprof=,4.440000, id=,S07, PRDE,actvstrat=,-0.557122, actvprof=,2.955278, id=,S08, PRDE,actvstrat=,-0.492886, actvprof=,3.100556, id=,S09, PRDE,actvstrat=,0.143033, actvprof=,5.999722, best_B_id=,B03, best_B_prof=,3.875000, best_B_strat=,-0.893298, best_S_id=,S04, best_S_prof=,8.420278, best_S_strat=,0.730708, 
t=,7200, id=,B00, PRDE,actvstrat=,0.691359, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.710148, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.121483, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.665760, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.159978, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.548009, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.025707, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.293384, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.872442, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.251236, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.891112, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.324312, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.187577, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.121053, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.709591, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.684463, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.959320, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.374690, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.235278, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.879625, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.691359, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.891112, 
t=,10800, id=,B00, PRDE,actvstrat=,0.691359, actvprof=,2.326847, id=,B01, PRDE,actvstrat=,0.710148, actvprof=,2.256017, id=,B02, PRDE,actvstrat=,-0.121483, actvprof=,1.701874, id=,B03, PRDE,actvstrat=,0.665760, actvprof=,2.343791, id=,B04, PRDE,actvstrat=,-0.159978, actvprof=,1.692985, id=,B05, PRDE,actvstrat=,0.548009, actvprof=,2.116301, id=,B06, PRDE,actvstrat=,-0.025707, actvprof=,1.754094, id=,B07, PRDE,actvstrat=,0.293384, actvprof=,2.071580, id=,B08, PRDE,actvstrat=,-0.872442, actvprof=,2.782940, id=,B09, PRDE,actvstrat=,-0.251236, actvprof=,1.664931, id=,S00, PRDE,actvstrat=,-0.891112, actvprof=,0.494702, id=,S01, PRDE,actvstrat=,-0.324312, actvprof=,3.658736, id=,S02, PRDE,actvstrat=,-0.187577, actvprof=,4.258711, id=,S03, PRDE,actvstrat=,0.121053, actvprof=,6.461953, id=,S04, PRDE,actvstrat=,0.709591, actvprof=,9.425163, id=,S05, PRDE,actvstrat=,-0.684463, actvprof=,2.746274, id=,S06, PRDE,actvstrat=,0.959320, actvprof=,10.359013, id=,S07, PRDE,actvstrat=,-0.374690, actvprof=,3.364582, id=,S08, PRDE,actvstrat=,0.235278, actvprof=,7.242476, id=,S09, PRDE,actvstrat=,0.879625, actvprof=,10.718165, best_B_id=,B08, best_B_prof=,2.782940, best_B_strat=,-0.872442, best_S_id=,S09, best_S_prof=,10.718165, best_S_strat=,0.879625, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.262916, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.630145, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.163127, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.582034, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.900537, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.126971, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.559543, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.429914, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.504348, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.914326, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.048989, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.651820, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.022193, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.296415, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.816050, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.367139, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.072846, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.364693, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.238125, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.298101, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.262916, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.048989, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.262916, actvprof=,1.333889, id=,B01, PRDE,actvstrat=,-0.630145, actvprof=,1.494444, id=,B02, PRDE,actvstrat=,-0.163127, actvprof=,1.181667, id=,B03, PRDE,actvstrat=,0.582034, actvprof=,1.960833, id=,B04, PRDE,actvstrat=,-0.900537, actvprof=,2.560833, id=,B05, PRDE,actvstrat=,0.126971, actvprof=,1.526944, id=,B06, PRDE,actvstrat=,-0.559543, actvprof=,1.385833, id=,B07, PRDE,actvstrat=,0.429914, actvprof=,1.720000, id=,B08, PRDE,actvstrat=,-0.504348, actvprof=,1.512778, id=,B09, PRDE,actvstrat=,0.914326, actvprof=,1.516111, id=,S00, PRDE,actvstrat=,0.048989, actvprof=,6.477222, id=,S01, PRDE,actvstrat=,0.651820, actvprof=,9.508333, id=,S02, PRDE,actvstrat=,-0.022193, actvprof=,6.035833, id=,S03, PRDE,actvstrat=,-0.296415, actvprof=,3.518611, id=,S04, PRDE,actvstrat=,-0.816050, actvprof=,1.295833, id=,S05, PRDE,actvstrat=,-0.367139, actvprof=,3.573333, id=,S06, PRDE,actvstrat=,0.072846, actvprof=,5.816389, id=,S07, PRDE,actvstrat=,-0.364693, actvprof=,3.513611, id=,S08, PRDE,actvstrat=,0.238125, actvprof=,7.209722, id=,S09, PRDE,actvstrat=,-0.298101, actvprof=,3.391111, best_B_id=,B04, best_B_prof=,2.560833, best_B_strat=,-0.900537, best_S_id=,S01, best_S_prof=,9.508333, best_S_strat=,0.651820, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.262916, actvprof=,1.247917, id=,B01, PRDE,actvstrat=,-0.630145, actvprof=,1.479028, id=,B02, PRDE,actvstrat=,-0.163127, actvprof=,1.258611, id=,B03, PRDE,actvstrat=,0.582034, actvprof=,1.865000, id=,B04, PRDE,actvstrat=,-0.900537, actvprof=,2.504861, id=,B05, PRDE,actvstrat=,0.126971, actvprof=,1.512361, id=,B06, PRDE,actvstrat=,-0.559543, actvprof=,1.406389, id=,B07, PRDE,actvstrat=,0.429914, actvprof=,1.735972, id=,B08, PRDE,actvstrat=,-0.504348, actvprof=,1.434583, id=,B09, PRDE,actvstrat=,0.914326, actvprof=,1.520278, id=,S00, PRDE,actvstrat=,0.048989, actvprof=,6.352917, id=,S01, PRDE,actvstrat=,0.651820, actvprof=,9.455972, id=,S02, PRDE,actvstrat=,-0.022193, actvprof=,5.945556, id=,S03, PRDE,actvstrat=,-0.296415, actvprof=,3.500972, id=,S04, PRDE,actvstrat=,-0.816050, actvprof=,1.270000, id=,S05, PRDE,actvstrat=,-0.367139, actvprof=,3.423889, id=,S06, PRDE,actvstrat=,0.072846, actvprof=,5.779861, id=,S07, PRDE,actvstrat=,-0.364693, actvprof=,3.604861, id=,S08, PRDE,actvstrat=,0.238125, actvprof=,7.034583, id=,S09, PRDE,actvstrat=,-0.298101, actvprof=,3.444167, best_B_id=,B04, best_B_prof=,2.504861, best_B_strat=,-0.900537, best_S_id=,S01, best_S_prof=,9.455972, best_S_strat=,0.651820, 
t=,25200, id=,B00, PRDE,actvstrat=,0.117867, actvprof=,1.425575, id=,B01, PRDE,actvstrat=,-0.409678, actvprof=,0.990847, id=,B02, PRDE,actvstrat=,0.440943, actvprof=,1.702524, id=,B03, PRDE,actvstrat=,-0.336244, actvprof=,1.079182, id=,B04, PRDE,actvstrat=,0.948753, actvprof=,1.228906, id=,B05, PRDE,actvstrat=,0.341631, actvprof=,1.484743, id=,B06, PRDE,actvstrat=,0.458465, actvprof=,1.631412, id=,B07, PRDE,actvstrat=,-0.162882, actvprof=,1.055015, id=,B08, PRDE,actvstrat=,-0.883807, actvprof=,2.094196, id=,B09, PRDE,actvstrat=,-0.457757, actvprof=,1.151683, id=,S00, PRDE,actvstrat=,-0.406678, actvprof=,3.026709, id=,S01, PRDE,actvstrat=,-0.567756, actvprof=,3.199767, id=,S02, PRDE,actvstrat=,-0.294081, actvprof=,3.568105, id=,S03, PRDE,actvstrat=,0.175087, actvprof=,7.244545, id=,S04, PRDE,actvstrat=,-0.702689, actvprof=,2.576147, id=,S05, PRDE,actvstrat=,0.191156, actvprof=,6.936763, id=,S06, PRDE,actvstrat=,-0.686821, actvprof=,2.632814, id=,S07, PRDE,actvstrat=,-0.350711, actvprof=,3.741719, id=,S08, PRDE,actvstrat=,0.235278, actvprof=,7.122321, id=,S09, PRDE,actvstrat=,0.542982, actvprof=,8.863456, best_B_id=,B08, best_B_prof=,2.094196, best_B_strat=,-0.883807, best_S_id=,S09, best_S_prof=,8.863456, best_S_strat=,0.542982, 
t=,28800, id=,B00, PRDE,actvstrat=,0.117867, actvprof=,1.366259, id=,B01, PRDE,actvstrat=,-0.409678, actvprof=,0.929312, id=,B02, PRDE,actvstrat=,0.440943, actvprof=,1.652650, id=,B03, PRDE,actvstrat=,-0.336244, actvprof=,1.075841, id=,B04, PRDE,actvstrat=,0.948753, actvprof=,1.230009, id=,B05, PRDE,actvstrat=,0.341631, actvprof=,1.510010, id=,B06, PRDE,actvstrat=,0.458465, actvprof=,1.703901, id=,B07, PRDE,actvstrat=,-0.162882, actvprof=,1.077646, id=,B08, PRDE,actvstrat=,-0.883807, actvprof=,2.166959, id=,B09, PRDE,actvstrat=,-0.457757, actvprof=,1.136813, id=,S00, PRDE,actvstrat=,-0.406678, actvprof=,3.090160, id=,S01, PRDE,actvstrat=,-0.567756, actvprof=,2.846964, id=,S02, PRDE,actvstrat=,-0.294081, actvprof=,3.550025, id=,S03, PRDE,actvstrat=,0.175087, actvprof=,7.147272, id=,S04, PRDE,actvstrat=,-0.702689, actvprof=,2.610018, id=,S05, PRDE,actvstrat=,0.191156, actvprof=,6.902687, id=,S06, PRDE,actvstrat=,-0.686821, actvprof=,2.571546, id=,S07, PRDE,actvstrat=,-0.350711, actvprof=,3.703081, id=,S08, PRDE,actvstrat=,0.235278, actvprof=,7.190744, id=,S09, PRDE,actvstrat=,0.542982, actvprof=,8.894090, best_B_id=,B08, best_B_prof=,2.166959, best_B_strat=,-0.883807, best_S_id=,S09, best_S_prof=,8.894090, best_S_strat=,0.542982, 
t=,32400, id=,B00, PRDE,actvstrat=,0.562242, actvprof=,2.928970, id=,B01, PRDE,actvstrat=,-0.409678, actvprof=,2.586461, id=,B02, PRDE,actvstrat=,0.440943, actvprof=,2.907025, id=,B03, PRDE,actvstrat=,-0.769311, actvprof=,3.346204, id=,B04, PRDE,actvstrat=,-0.900537, actvprof=,3.472319, id=,B05, PRDE,actvstrat=,0.967003, actvprof=,1.518931, id=,B06, PRDE,actvstrat=,-0.025707, actvprof=,2.434790, id=,B07, PRDE,actvstrat=,-0.966870, actvprof=,3.330648, id=,B08, PRDE,actvstrat=,0.150651, actvprof=,2.701186, id=,B09, PRDE,actvstrat=,-0.457757, actvprof=,2.391733, id=,S00, PRDE,actvstrat=,0.671559, actvprof=,8.279397, id=,S01, PRDE,actvstrat=,0.440063, actvprof=,7.150199, id=,S02, PRDE,actvstrat=,-0.013854, actvprof=,5.217367, id=,S03, PRDE,actvstrat=,-0.860754, actvprof=,0.853079, id=,S04, PRDE,actvstrat=,0.877614, actvprof=,10.119448, id=,S05, PRDE,actvstrat=,0.191156, actvprof=,5.817384, id=,S06, PRDE,actvstrat=,0.057231, actvprof=,5.897664, id=,S07, PRDE,actvstrat=,0.807560, actvprof=,9.412761, id=,S08, PRDE,actvstrat=,-0.543332, actvprof=,2.508681, id=,S09, PRDE,actvstrat=,0.491171, actvprof=,7.861607, best_B_id=,B04, best_B_prof=,3.472319, best_B_strat=,-0.900537, best_S_id=,S04, best_S_prof=,10.119448, best_S_strat=,0.877614, 
t=,36000, id=,B00, PRDE,actvstrat=,0.562242, actvprof=,2.915992, id=,B01, PRDE,actvstrat=,-0.409678, actvprof=,2.451961, id=,B02, PRDE,actvstrat=,0.440943, actvprof=,2.966965, id=,B03, PRDE,actvstrat=,-0.769311, actvprof=,3.173911, id=,B04, PRDE,actvstrat=,-0.900537, actvprof=,3.543497, id=,B05, PRDE,actvstrat=,0.967003, actvprof=,1.578900, id=,B06, PRDE,actvstrat=,-0.025707, actvprof=,2.373211, id=,B07, PRDE,actvstrat=,-0.966870, actvprof=,3.398079, id=,B08, PRDE,actvstrat=,0.150651, actvprof=,2.644324, id=,B09, PRDE,actvstrat=,-0.457757, actvprof=,2.280710, id=,S00, PRDE,actvstrat=,0.671559, actvprof=,8.414642, id=,S01, PRDE,actvstrat=,0.440063, actvprof=,7.263106, id=,S02, PRDE,actvstrat=,-0.013854, actvprof=,5.211703, id=,S03, PRDE,actvstrat=,-0.860754, actvprof=,0.809172, id=,S04, PRDE,actvstrat=,0.877614, actvprof=,10.074792, id=,S05, PRDE,actvstrat=,0.191156, actvprof=,6.015736, id=,S06, PRDE,actvstrat=,0.057231, actvprof=,5.626845, id=,S07, PRDE,actvstrat=,0.807560, actvprof=,9.599928, id=,S08, PRDE,actvstrat=,-0.543332, actvprof=,2.615435, id=,S09, PRDE,actvstrat=,0.491171, actvprof=,7.763943, best_B_id=,B04, best_B_prof=,3.543497, best_B_strat=,-0.900537, best_S_id=,S04, best_S_prof=,10.074792, best_S_strat=,0.877614, 
