t=,0, id=,B00, PRDE,actvstrat=,-0.596295, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.489675, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.259466, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.665623, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.285942, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.503191, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.389706, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.995857, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.052441, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.736104, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.199398, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.137751, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.394382, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.145428, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.064482, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.250745, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.774946, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.664615, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.237205, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.544615, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.596295, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.199398, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.596295, actvprof=,1.767198, id=,B01, PRDE,actvstrat=,0.489675, actvprof=,1.893863, id=,B02, PRDE,actvstrat=,0.259466, actvprof=,1.703032, id=,B03, PRDE,actvstrat=,-0.665623, actvprof=,1.842474, id=,B04, PRDE,actvstrat=,0.285942, actvprof=,1.894140, id=,B05, PRDE,actvstrat=,0.503191, actvprof=,2.059694, id=,B06, PRDE,actvstrat=,0.389706, actvprof=,1.941640, id=,B07, PRDE,actvstrat=,0.995857, actvprof=,0.720268, id=,B08, PRDE,actvstrat=,0.052441, actvprof=,1.529145, id=,B09, PRDE,actvstrat=,0.736104, actvprof=,2.108582, id=,S00, PRDE,actvstrat=,0.199398, actvprof=,8.014889, id=,S01, PRDE,actvstrat=,-0.137751, actvprof=,6.173525, id=,S02, PRDE,actvstrat=,0.394382, actvprof=,9.322371, id=,S03, PRDE,actvstrat=,0.145428, actvprof=,8.018222, id=,S04, PRDE,actvstrat=,-0.064482, actvprof=,7.076846, id=,S05, PRDE,actvstrat=,-0.250745, actvprof=,5.740198, id=,S06, PRDE,actvstrat=,-0.774946, actvprof=,2.883293, id=,S07, PRDE,actvstrat=,-0.664615, actvprof=,4.509104, id=,S08, PRDE,actvstrat=,0.237205, actvprof=,8.414050, id=,S09, PRDE,actvstrat=,-0.544615, actvprof=,4.875210, best_B_id=,B09, best_B_prof=,2.108582, best_B_strat=,0.736104, best_S_id=,S02, best_S_prof=,9.322371, best_S_strat=,0.394382, 
t=,7200, id=,B00, PRDE,actvstrat=,0.740115, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.657366, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.149180, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.468375, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.677550, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.601486, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.907406, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.396179, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.875837, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.930765, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.607918, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.536015, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.013710, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.777995, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.176510, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.943754, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.034463, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.795970, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.146747, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.986639, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.740115, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.607918, 
t=,10800, id=,B00, PRDE,actvstrat=,0.740115, actvprof=,2.261635, id=,B01, PRDE,actvstrat=,-0.657366, actvprof=,2.024416, id=,B02, PRDE,actvstrat=,0.149180, actvprof=,1.725532, id=,B03, PRDE,actvstrat=,0.468375, actvprof=,2.174136, id=,B04, PRDE,actvstrat=,-0.677550, actvprof=,2.038027, id=,B05, PRDE,actvstrat=,0.601486, actvprof=,2.310801, id=,B06, PRDE,actvstrat=,-0.907406, actvprof=,2.824683, id=,B07, PRDE,actvstrat=,-0.396179, actvprof=,1.680254, id=,B08, PRDE,actvstrat=,-0.875837, actvprof=,2.606353, id=,B09, PRDE,actvstrat=,-0.930765, actvprof=,3.314676, id=,S00, PRDE,actvstrat=,0.607918, actvprof=,8.642380, id=,S01, PRDE,actvstrat=,-0.536015, actvprof=,2.791350, id=,S02, PRDE,actvstrat=,0.013710, actvprof=,5.580478, id=,S03, PRDE,actvstrat=,-0.777995, actvprof=,1.626922, id=,S04, PRDE,actvstrat=,0.176510, actvprof=,6.552687, id=,S05, PRDE,actvstrat=,-0.943754, actvprof=,0.727212, id=,S06, PRDE,actvstrat=,0.034463, actvprof=,5.975195, id=,S07, PRDE,actvstrat=,0.795970, actvprof=,10.089582, id=,S08, PRDE,actvstrat=,-0.146747, actvprof=,3.927445, id=,S09, PRDE,actvstrat=,0.986639, actvprof=,10.258469, best_B_id=,B09, best_B_prof=,3.314676, best_B_strat=,-0.930765, best_S_id=,S09, best_S_prof=,10.258469, best_S_strat=,0.986639, 
t=,14400, id=,B00, PRDE,actvstrat=,0.740115, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.767987, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.899158, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.349937, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.909537, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.193906, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.907406, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.234089, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.360294, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.111144, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.567001, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.062236, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.077813, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.195170, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.176510, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.250745, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.237696, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.697064, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.237205, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.142451, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.740115, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.567001, 
t=,18000, id=,B00, PRDE,actvstrat=,0.740115, actvprof=,2.573333, id=,B01, PRDE,actvstrat=,-0.767987, actvprof=,2.053889, id=,B02, PRDE,actvstrat=,-0.899158, actvprof=,2.777500, id=,B03, PRDE,actvstrat=,0.349937, actvprof=,2.288056, id=,B04, PRDE,actvstrat=,-0.909537, actvprof=,2.984722, id=,B05, PRDE,actvstrat=,-0.193906, actvprof=,1.707222, id=,B06, PRDE,actvstrat=,-0.907406, actvprof=,3.090278, id=,B07, PRDE,actvstrat=,-0.234089, actvprof=,1.727778, id=,B08, PRDE,actvstrat=,-0.360294, actvprof=,1.683889, id=,B09, PRDE,actvstrat=,0.111144, actvprof=,1.953056, id=,S00, PRDE,actvstrat=,0.567001, actvprof=,8.000000, id=,S01, PRDE,actvstrat=,-0.062236, actvprof=,4.385833, id=,S02, PRDE,actvstrat=,-0.077813, actvprof=,3.898056, id=,S03, PRDE,actvstrat=,-0.195170, actvprof=,3.020000, id=,S04, PRDE,actvstrat=,0.176510, actvprof=,5.857500, id=,S05, PRDE,actvstrat=,-0.250745, actvprof=,3.125556, id=,S06, PRDE,actvstrat=,-0.237696, actvprof=,3.238333, id=,S07, PRDE,actvstrat=,0.697064, actvprof=,8.695278, id=,S08, PRDE,actvstrat=,0.237205, actvprof=,5.743611, id=,S09, PRDE,actvstrat=,0.142451, actvprof=,5.462778, best_B_id=,B06, best_B_prof=,3.090278, best_B_strat=,-0.907406, best_S_id=,S07, best_S_prof=,8.695278, best_S_strat=,0.697064, 
t=,21600, id=,B00, PRDE,actvstrat=,0.740115, actvprof=,2.559028, id=,B01, PRDE,actvstrat=,-0.767987, actvprof=,2.051111, id=,B02, PRDE,actvstrat=,-0.899158, actvprof=,2.835556, id=,B03, PRDE,actvstrat=,0.349937, actvprof=,2.225278, id=,B04, PRDE,actvstrat=,-0.909537, actvprof=,3.028194, id=,B05, PRDE,actvstrat=,-0.193906, actvprof=,1.755139, id=,B06, PRDE,actvstrat=,-0.907406, actvprof=,3.055278, id=,B07, PRDE,actvstrat=,-0.234089, actvprof=,1.745000, id=,B08, PRDE,actvstrat=,-0.360294, actvprof=,1.729583, id=,B09, PRDE,actvstrat=,0.111144, actvprof=,1.977500, id=,S00, PRDE,actvstrat=,0.567001, actvprof=,8.059306, id=,S01, PRDE,actvstrat=,-0.062236, actvprof=,4.191806, id=,S02, PRDE,actvstrat=,-0.077813, actvprof=,4.237083, id=,S03, PRDE,actvstrat=,-0.195170, actvprof=,2.970972, id=,S04, PRDE,actvstrat=,0.176510, actvprof=,5.802778, id=,S05, PRDE,actvstrat=,-0.250745, actvprof=,2.988056, id=,S06, PRDE,actvstrat=,-0.237696, actvprof=,3.039028, id=,S07, PRDE,actvstrat=,0.697064, actvprof=,8.543750, id=,S08, PRDE,actvstrat=,0.237205, actvprof=,5.781250, id=,S09, PRDE,actvstrat=,0.142451, actvprof=,5.679861, best_B_id=,B06, best_B_prof=,3.055278, best_B_strat=,-0.907406, best_S_id=,S07, best_S_prof=,8.543750, best_S_strat=,0.697064, 
t=,25200, id=,B00, PRDE,actvstrat=,0.728046, actvprof=,2.301175, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.195311, id=,B02, PRDE,actvstrat=,-0.939489, actvprof=,2.047557, id=,B03, PRDE,actvstrat=,-0.925178, actvprof=,2.100058, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.483930, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.185588, id=,B06, PRDE,actvstrat=,-0.353449, actvprof=,2.379788, id=,B07, PRDE,actvstrat=,-0.324534, actvprof=,2.304508, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.313648, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.436429, id=,S00, PRDE,actvstrat=,0.830895, actvprof=,11.988944, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.646546, id=,S02, PRDE,actvstrat=,0.615719, actvprof=,10.119448, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.566266, id=,S04, PRDE,actvstrat=,-0.885897, actvprof=,1.306147, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,6.160727, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.900053, id=,S07, PRDE,actvstrat=,0.481094, actvprof=,9.652490, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.842551, id=,S09, PRDE,actvstrat=,0.694610, actvprof=,11.427262, best_B_id=,B06, best_B_prof=,2.379788, best_B_strat=,-0.353449, best_S_id=,S00, best_S_prof=,11.988944, best_S_strat=,0.830895, 
t=,28800, id=,B00, PRDE,actvstrat=,0.728046, actvprof=,2.429756, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,1.231128, id=,B02, PRDE,actvstrat=,-0.939489, actvprof=,2.104751, id=,B03, PRDE,actvstrat=,-0.925178, actvprof=,2.251837, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.290990, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.123627, id=,B06, PRDE,actvstrat=,-0.353449, actvprof=,2.309615, id=,B07, PRDE,actvstrat=,-0.324534, actvprof=,2.208642, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.215989, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.315852, id=,S00, PRDE,actvstrat=,0.830895, actvprof=,12.025306, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.993833, id=,S02, PRDE,actvstrat=,0.615719, actvprof=,10.429450, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.780497, id=,S04, PRDE,actvstrat=,-0.885897, actvprof=,1.103765, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,6.179669, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.902943, id=,S07, PRDE,actvstrat=,0.481094, actvprof=,9.622634, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,11.811692, id=,S09, PRDE,actvstrat=,0.694610, actvprof=,11.080571, best_B_id=,B00, best_B_prof=,2.429756, best_B_strat=,0.728046, best_S_id=,S00, best_S_prof=,12.025306, best_S_strat=,0.830895, 
t=,32400, id=,B00, PRDE,actvstrat=,0.332597, actvprof=,0.383072, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.176674, id=,B02, PRDE,actvstrat=,-0.939489, actvprof=,0.751420, id=,B03, PRDE,actvstrat=,0.940178, actvprof=,0.533633, id=,B04, PRDE,actvstrat=,0.991037, actvprof=,0.197230, id=,B05, PRDE,actvstrat=,0.601486, actvprof=,0.432240, id=,B06, PRDE,actvstrat=,-0.353449, actvprof=,0.155562, id=,B07, PRDE,actvstrat=,0.334987, actvprof=,0.288901, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.218620, id=,B09, PRDE,actvstrat=,0.172803, actvprof=,0.311957, id=,S00, PRDE,actvstrat=,0.830895, actvprof=,13.785852, id=,S01, PRDE,actvstrat=,0.685804, actvprof=,12.845535, id=,S02, PRDE,actvstrat=,-0.248964, actvprof=,5.646069, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.912344, id=,S04, PRDE,actvstrat=,0.318120, actvprof=,10.155979, id=,S05, PRDE,actvstrat=,-0.300410, actvprof=,5.343556, id=,S06, PRDE,actvstrat=,-0.898268, actvprof=,0.680028, id=,S07, PRDE,actvstrat=,-0.943972, actvprof=,0.293068, id=,S08, PRDE,actvstrat=,-0.763632, actvprof=,3.091518, id=,S09, PRDE,actvstrat=,-0.519330, actvprof=,4.666028, best_B_id=,B02, best_B_prof=,0.751420, best_B_strat=,-0.939489, best_S_id=,S00, best_S_prof=,13.785852, best_S_strat=,0.830895, 
t=,36000, id=,B00, PRDE,actvstrat=,0.332597, actvprof=,0.384728, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.170836, id=,B02, PRDE,actvstrat=,-0.939489, actvprof=,0.711121, id=,B03, PRDE,actvstrat=,0.940178, actvprof=,0.510702, id=,B04, PRDE,actvstrat=,0.991037, actvprof=,0.204586, id=,B05, PRDE,actvstrat=,0.601486, actvprof=,0.435562, id=,B06, PRDE,actvstrat=,-0.353449, actvprof=,0.203614, id=,B07, PRDE,actvstrat=,0.334987, actvprof=,0.290837, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.231114, id=,B09, PRDE,actvstrat=,0.172803, actvprof=,0.302226, id=,S00, PRDE,actvstrat=,0.830895, actvprof=,13.809220, id=,S01, PRDE,actvstrat=,0.685804, actvprof=,12.829206, id=,S02, PRDE,actvstrat=,-0.248964, actvprof=,5.642301, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.078376, id=,S04, PRDE,actvstrat=,0.318120, actvprof=,10.098057, id=,S05, PRDE,actvstrat=,-0.300410, actvprof=,5.391742, id=,S06, PRDE,actvstrat=,-0.898268, actvprof=,0.555702, id=,S07, PRDE,actvstrat=,-0.943972, actvprof=,0.297782, id=,S08, PRDE,actvstrat=,-0.763632, actvprof=,3.112127, id=,S09, PRDE,actvstrat=,-0.519330, actvprof=,4.752149, best_B_id=,B02, best_B_prof=,0.711121, best_B_strat=,-0.939489, best_S_id=,S00, best_S_prof=,13.809220, best_S_strat=,0.830895, 
