t=,0, id=,B00, PRDE,actvstrat=,0.304230, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.127961, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.752290, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.811162, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.682551, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.117660, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.763479, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.515698, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.946002, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.759717, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.182436, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.381955, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.903441, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.482067, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.821497, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.615155, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.607222, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.263499, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.606401, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.978563, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.304230, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.182436, 
t=,3600, id=,B00, PRDE,actvstrat=,0.304230, actvprof=,4.080556, id=,B01, PRDE,actvstrat=,-0.127961, actvprof=,4.007500, id=,B02, PRDE,actvstrat=,-0.752290, actvprof=,4.666667, id=,B03, PRDE,actvstrat=,-0.811162, actvprof=,4.837778, id=,B04, PRDE,actvstrat=,-0.682551, actvprof=,4.709444, id=,B05, PRDE,actvstrat=,0.117660, actvprof=,4.064167, id=,B06, PRDE,actvstrat=,0.763479, actvprof=,3.921111, id=,B07, PRDE,actvstrat=,-0.515698, actvprof=,3.925278, id=,B08, PRDE,actvstrat=,0.946002, actvprof=,2.577778, id=,B09, PRDE,actvstrat=,0.759717, actvprof=,4.125833, id=,S00, PRDE,actvstrat=,0.182436, actvprof=,6.170278, id=,S01, PRDE,actvstrat=,0.381955, actvprof=,7.277500, id=,S02, PRDE,actvstrat=,0.903441, actvprof=,8.528889, id=,S03, PRDE,actvstrat=,0.482067, actvprof=,6.974167, id=,S04, PRDE,actvstrat=,0.821497, actvprof=,8.749722, id=,S05, PRDE,actvstrat=,-0.615155, actvprof=,2.834444, id=,S06, PRDE,actvstrat=,0.607222, actvprof=,7.945278, id=,S07, PRDE,actvstrat=,-0.263499, actvprof=,3.227500, id=,S08, PRDE,actvstrat=,0.606401, actvprof=,7.611111, id=,S09, PRDE,actvstrat=,0.978563, actvprof=,8.165000, best_B_id=,B03, best_B_prof=,4.837778, best_B_strat=,-0.811162, best_S_id=,S04, best_S_prof=,8.749722, best_S_strat=,0.821497, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.797402, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.177178, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.882501, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.252888, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.252168, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.588017, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.662362, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.869345, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.741709, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.473803, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.932316, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.042576, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.160579, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.119739, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.951218, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.598400, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.456291, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.260134, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.194628, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.254093, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.797402, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.932316, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.797402, actvprof=,0.981958, id=,B01, PRDE,actvstrat=,0.177178, actvprof=,0.796122, id=,B02, PRDE,actvstrat=,-0.882501, actvprof=,1.457798, id=,B03, PRDE,actvstrat=,0.252888, actvprof=,0.972791, id=,B04, PRDE,actvstrat=,0.252168, actvprof=,0.834456, id=,B05, PRDE,actvstrat=,0.588017, actvprof=,1.088904, id=,B06, PRDE,actvstrat=,0.662362, actvprof=,1.384464, id=,B07, PRDE,actvstrat=,-0.869345, actvprof=,1.252795, id=,B08, PRDE,actvstrat=,-0.741709, actvprof=,0.755288, id=,B09, PRDE,actvstrat=,0.473803, actvprof=,1.114460, id=,S00, PRDE,actvstrat=,-0.932316, actvprof=,0.293337, id=,S01, PRDE,actvstrat=,0.042576, actvprof=,6.456201, id=,S02, PRDE,actvstrat=,0.160579, actvprof=,7.119543, id=,S03, PRDE,actvstrat=,-0.119739, actvprof=,5.022292, id=,S04, PRDE,actvstrat=,-0.951218, actvprof=,0.368616, id=,S05, PRDE,actvstrat=,-0.598400, actvprof=,3.236989, id=,S06, PRDE,actvstrat=,-0.456291, actvprof=,3.881721, id=,S07, PRDE,actvstrat=,-0.260134, actvprof=,4.352005, id=,S08, PRDE,actvstrat=,0.194628, actvprof=,7.080098, id=,S09, PRDE,actvstrat=,-0.254093, actvprof=,4.017556, best_B_id=,B02, best_B_prof=,1.457798, best_B_strat=,-0.882501, best_S_id=,S02, best_S_prof=,7.119543, best_S_strat=,0.160579, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.797402, actvprof=,0.973889, id=,B01, PRDE,actvstrat=,0.177178, actvprof=,0.864028, id=,B02, PRDE,actvstrat=,-0.882501, actvprof=,1.443472, id=,B03, PRDE,actvstrat=,0.252888, actvprof=,1.001667, id=,B04, PRDE,actvstrat=,0.252168, actvprof=,0.881250, id=,B05, PRDE,actvstrat=,0.588017, actvprof=,1.186667, id=,B06, PRDE,actvstrat=,0.662362, actvprof=,1.344306, id=,B07, PRDE,actvstrat=,-0.869345, actvprof=,1.271528, id=,B08, PRDE,actvstrat=,-0.741709, actvprof=,0.728472, id=,B09, PRDE,actvstrat=,0.473803, actvprof=,1.151250, id=,S00, PRDE,actvstrat=,-0.932316, actvprof=,0.303889, id=,S01, PRDE,actvstrat=,0.042576, actvprof=,6.518472, id=,S02, PRDE,actvstrat=,0.160579, actvprof=,7.055139, id=,S03, PRDE,actvstrat=,-0.119739, actvprof=,4.944861, id=,S04, PRDE,actvstrat=,-0.951218, actvprof=,0.534306, id=,S05, PRDE,actvstrat=,-0.598400, actvprof=,3.370000, id=,S06, PRDE,actvstrat=,-0.456291, actvprof=,3.804167, id=,S07, PRDE,actvstrat=,-0.260134, actvprof=,4.447083, id=,S08, PRDE,actvstrat=,0.194628, actvprof=,7.229861, id=,S09, PRDE,actvstrat=,-0.254093, actvprof=,4.190139, best_B_id=,B02, best_B_prof=,1.443472, best_B_strat=,-0.882501, best_S_id=,S08, best_S_prof=,7.229861, best_S_strat=,0.194628, 
t=,18000, id=,B00, PRDE,actvstrat=,0.831500, actvprof=,2.006167, id=,B01, PRDE,actvstrat=,0.656470, actvprof=,2.565071, id=,B02, PRDE,actvstrat=,-0.025354, actvprof=,1.950610, id=,B03, PRDE,actvstrat=,-0.041541, actvprof=,1.786439, id=,B04, PRDE,actvstrat=,0.286208, actvprof=,2.157560, id=,B05, PRDE,actvstrat=,-0.281882, actvprof=,1.886164, id=,B06, PRDE,actvstrat=,0.195668, actvprof=,1.969221, id=,B07, PRDE,actvstrat=,0.456789, actvprof=,2.401178, id=,B08, PRDE,actvstrat=,0.768902, actvprof=,2.319509, id=,B09, PRDE,actvstrat=,0.759717, actvprof=,2.367844, id=,S00, PRDE,actvstrat=,-0.205483, actvprof=,4.559849, id=,S01, PRDE,actvstrat=,0.072431, actvprof=,7.054085, id=,S02, PRDE,actvstrat=,0.384292, actvprof=,8.161893, id=,S03, PRDE,actvstrat=,0.379109, actvprof=,7.836051, id=,S04, PRDE,actvstrat=,0.363886, actvprof=,8.474402, id=,S05, PRDE,actvstrat=,0.375610, actvprof=,7.766882, id=,S06, PRDE,actvstrat=,0.475620, actvprof=,8.704408, id=,S07, PRDE,actvstrat=,-0.639372, actvprof=,3.089808, id=,S08, PRDE,actvstrat=,-0.781400, actvprof=,1.599489, id=,S09, PRDE,actvstrat=,0.878182, actvprof=,10.856968, best_B_id=,B01, best_B_prof=,2.565071, best_B_strat=,0.656470, best_S_id=,S09, best_S_prof=,10.856968, best_S_strat=,0.878182, 
t=,21600, id=,B00, PRDE,actvstrat=,0.831500, actvprof=,2.058779, id=,B01, PRDE,actvstrat=,0.656470, actvprof=,2.541424, id=,B02, PRDE,actvstrat=,-0.025354, actvprof=,1.925027, id=,B03, PRDE,actvstrat=,-0.041541, actvprof=,1.829609, id=,B04, PRDE,actvstrat=,0.286208, actvprof=,2.143363, id=,B05, PRDE,actvstrat=,-0.281882, actvprof=,1.720857, id=,B06, PRDE,actvstrat=,0.195668, actvprof=,2.015167, id=,B07, PRDE,actvstrat=,0.456789, actvprof=,2.318088, id=,B08, PRDE,actvstrat=,0.768902, actvprof=,2.308782, id=,B09, PRDE,actvstrat=,0.759717, actvprof=,2.292532, id=,S00, PRDE,actvstrat=,-0.205483, actvprof=,4.449090, id=,S01, PRDE,actvstrat=,0.072431, actvprof=,6.812872, id=,S02, PRDE,actvstrat=,0.384292, actvprof=,8.207614, id=,S03, PRDE,actvstrat=,0.379109, actvprof=,7.971777, id=,S04, PRDE,actvstrat=,0.363886, actvprof=,8.363588, id=,S05, PRDE,actvstrat=,0.375610, actvprof=,7.706774, id=,S06, PRDE,actvstrat=,0.475620, actvprof=,8.771788, id=,S07, PRDE,actvstrat=,-0.639372, actvprof=,3.055042, id=,S08, PRDE,actvstrat=,-0.781400, actvprof=,1.692107, id=,S09, PRDE,actvstrat=,0.878182, actvprof=,10.883623, best_B_id=,B01, best_B_prof=,2.541424, best_B_strat=,0.656470, best_S_id=,S09, best_S_prof=,10.883623, best_S_strat=,0.878182, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.389059, actvprof=,1.139214, id=,B01, PRDE,actvstrat=,0.267584, actvprof=,1.653124, id=,B02, PRDE,actvstrat=,-0.752290, actvprof=,1.545620, id=,B03, PRDE,actvstrat=,0.181400, actvprof=,1.530897, id=,B04, PRDE,actvstrat=,-0.689394, actvprof=,1.387002, id=,B05, PRDE,actvstrat=,0.470049, actvprof=,1.670625, id=,B06, PRDE,actvstrat=,0.536232, actvprof=,1.712571, id=,B07, PRDE,actvstrat=,-0.808641, actvprof=,2.207036, id=,B08, PRDE,actvstrat=,0.658716, actvprof=,1.926191, id=,B09, PRDE,actvstrat=,0.100383, actvprof=,1.450894, id=,S00, PRDE,actvstrat=,-0.839845, actvprof=,0.947539, id=,S01, PRDE,actvstrat=,0.005180, actvprof=,5.831354, id=,S02, PRDE,actvstrat=,0.088858, actvprof=,6.159979, id=,S03, PRDE,actvstrat=,0.197264, actvprof=,7.034738, id=,S04, PRDE,actvstrat=,-0.220479, actvprof=,3.888495, id=,S05, PRDE,actvstrat=,-0.598400, actvprof=,3.229023, id=,S06, PRDE,actvstrat=,0.557312, actvprof=,8.822868, id=,S07, PRDE,actvstrat=,0.527623, actvprof=,8.620081, id=,S08, PRDE,actvstrat=,-0.527973, actvprof=,3.461255, id=,S09, PRDE,actvstrat=,-0.980357, actvprof=,1.539786, best_B_id=,B07, best_B_prof=,2.207036, best_B_strat=,-0.808641, best_S_id=,S06, best_S_prof=,8.822868, best_S_strat=,0.557312, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.389059, actvprof=,1.152524, id=,B01, PRDE,actvstrat=,0.267584, actvprof=,1.571838, id=,B02, PRDE,actvstrat=,-0.752290, actvprof=,1.560588, id=,B03, PRDE,actvstrat=,0.181400, actvprof=,1.482670, id=,B04, PRDE,actvstrat=,-0.689394, actvprof=,1.375445, id=,B05, PRDE,actvstrat=,0.470049, actvprof=,1.718230, id=,B06, PRDE,actvstrat=,0.536232, actvprof=,1.712397, id=,B07, PRDE,actvstrat=,-0.808641, actvprof=,2.025320, id=,B08, PRDE,actvstrat=,0.658716, actvprof=,1.960319, id=,B09, PRDE,actvstrat=,0.100383, actvprof=,1.405029, id=,S00, PRDE,actvstrat=,-0.839845, actvprof=,0.975020, id=,S01, PRDE,actvstrat=,0.005180, actvprof=,5.729286, id=,S02, PRDE,actvstrat=,0.088858, actvprof=,6.101516, id=,S03, PRDE,actvstrat=,0.197264, actvprof=,6.732362, id=,S04, PRDE,actvstrat=,-0.220479, actvprof=,3.783690, id=,S05, PRDE,actvstrat=,-0.598400, actvprof=,3.117982, id=,S06, PRDE,actvstrat=,0.557312, actvprof=,8.801433, id=,S07, PRDE,actvstrat=,0.527623, actvprof=,8.207393, id=,S08, PRDE,actvstrat=,-0.527973, actvprof=,3.260901, id=,S09, PRDE,actvstrat=,-0.980357, actvprof=,1.616284, best_B_id=,B07, best_B_prof=,2.025320, best_B_strat=,-0.808641, best_S_id=,S06, best_S_prof=,8.801433, best_S_strat=,0.557312, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.823035, actvprof=,2.624554, id=,B01, PRDE,actvstrat=,-0.127961, actvprof=,1.827576, id=,B02, PRDE,actvstrat=,-0.084842, actvprof=,1.721183, id=,B03, PRDE,actvstrat=,-0.819120, actvprof=,2.423157, id=,B04, PRDE,actvstrat=,-0.801112, actvprof=,2.411489, id=,B05, PRDE,actvstrat=,-0.589670, actvprof=,1.760073, id=,B06, PRDE,actvstrat=,0.763479, actvprof=,2.422601, id=,B07, PRDE,actvstrat=,-0.515698, actvprof=,1.563676, id=,B08, PRDE,actvstrat=,0.658716, actvprof=,2.543162, id=,B09, PRDE,actvstrat=,-0.447892, actvprof=,1.499785, id=,S00, PRDE,actvstrat=,-0.205483, actvprof=,3.224857, id=,S01, PRDE,actvstrat=,-0.081323, actvprof=,4.020445, id=,S02, PRDE,actvstrat=,0.369222, actvprof=,6.775282, id=,S03, PRDE,actvstrat=,-0.478326, actvprof=,2.635943, id=,S04, PRDE,actvstrat=,0.932123, actvprof=,9.667069, id=,S05, PRDE,actvstrat=,-0.598400, actvprof=,2.206481, id=,S06, PRDE,actvstrat=,0.557312, actvprof=,7.337806, id=,S07, PRDE,actvstrat=,-0.997805, actvprof=,3.554315, id=,S08, PRDE,actvstrat=,-0.402383, actvprof=,2.721502, id=,S09, PRDE,actvstrat=,-0.129874, actvprof=,3.750712, best_B_id=,B00, best_B_prof=,2.624554, best_B_strat=,-0.823035, best_S_id=,S04, best_S_prof=,9.667069, best_S_strat=,0.932123, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.823035, actvprof=,2.539775, id=,B01, PRDE,actvstrat=,-0.127961, actvprof=,1.803510, id=,B02, PRDE,actvstrat=,-0.084842, actvprof=,1.751148, id=,B03, PRDE,actvstrat=,-0.819120, actvprof=,2.511025, id=,B04, PRDE,actvstrat=,-0.801112, actvprof=,2.313104, id=,B05, PRDE,actvstrat=,-0.589670, actvprof=,1.846288, id=,B06, PRDE,actvstrat=,0.763479, actvprof=,2.383522, id=,B07, PRDE,actvstrat=,-0.515698, actvprof=,1.606006, id=,B08, PRDE,actvstrat=,0.658716, actvprof=,2.520469, id=,B09, PRDE,actvstrat=,-0.447892, actvprof=,1.573922, id=,S00, PRDE,actvstrat=,-0.205483, actvprof=,3.234651, id=,S01, PRDE,actvstrat=,-0.081323, actvprof=,4.174531, id=,S02, PRDE,actvstrat=,0.369222, actvprof=,6.609443, id=,S03, PRDE,actvstrat=,-0.478326, actvprof=,2.480746, id=,S04, PRDE,actvstrat=,0.932123, actvprof=,9.759648, id=,S05, PRDE,actvstrat=,-0.598400, actvprof=,2.388800, id=,S06, PRDE,actvstrat=,0.557312, actvprof=,7.396821, id=,S07, PRDE,actvstrat=,-0.997805, actvprof=,3.690216, id=,S08, PRDE,actvstrat=,-0.402383, actvprof=,2.812420, id=,S09, PRDE,actvstrat=,-0.129874, actvprof=,3.649798, best_B_id=,B00, best_B_prof=,2.539775, best_B_strat=,-0.823035, best_S_id=,S04, best_S_prof=,9.759648, best_S_strat=,0.932123, 
