t=,1, id=,B00, PRDE,actvstrat=,-0.043197, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.299129, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.615073, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.953055, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.459966, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.814506, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.649076, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.834225, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.335246, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.200228, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.646691, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.963445, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.469186, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.436335, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.043649, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.352924, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.837160, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.764350, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.751816, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.140680, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.043197, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.646691, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.043197, actvprof=,1.106389, id=,B01, PRDE,actvstrat=,-0.299129, actvprof=,0.999722, id=,B02, PRDE,actvstrat=,-0.615073, actvprof=,1.517500, id=,B03, PRDE,actvstrat=,0.953055, actvprof=,1.035000, id=,B04, PRDE,actvstrat=,0.459966, actvprof=,1.665000, id=,B05, PRDE,actvstrat=,-0.814506, actvprof=,2.199167, id=,B06, PRDE,actvstrat=,0.649076, actvprof=,1.858611, id=,B07, PRDE,actvstrat=,0.834225, actvprof=,1.747778, id=,B08, PRDE,actvstrat=,0.335246, actvprof=,1.598889, id=,B09, PRDE,actvstrat=,0.200228, actvprof=,1.530833, id=,S00, PRDE,actvstrat=,-0.646691, actvprof=,4.230556, id=,S01, PRDE,actvstrat=,0.963445, actvprof=,11.322222, id=,S02, PRDE,actvstrat=,0.469186, actvprof=,9.668056, id=,S03, PRDE,actvstrat=,-0.436335, actvprof=,4.487222, id=,S04, PRDE,actvstrat=,0.043649, actvprof=,7.589722, id=,S05, PRDE,actvstrat=,-0.352924, actvprof=,5.056389, id=,S06, PRDE,actvstrat=,-0.837160, actvprof=,1.973056, id=,S07, PRDE,actvstrat=,-0.764350, actvprof=,3.190556, id=,S08, PRDE,actvstrat=,-0.751816, actvprof=,3.514444, id=,S09, PRDE,actvstrat=,0.140680, actvprof=,8.597778, best_B_id=,B05, best_B_prof=,2.199167, best_B_strat=,-0.814506, best_S_id=,S01, best_S_prof=,11.322222, best_S_strat=,0.963445, 
t=,7200, id=,B00, PRDE,actvstrat=,0.640883, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.834833, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.158129, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.987521, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.476674, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.710113, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.803952, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.229944, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.689086, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.764022, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.170342, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.160859, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.276008, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.989945, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.190034, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.944826, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.725061, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.365483, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.452265, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.692046, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.640883, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.170342, 
t=,10800, id=,B00, PRDE,actvstrat=,0.640883, actvprof=,1.337222, id=,B01, PRDE,actvstrat=,0.834833, actvprof=,1.291389, id=,B02, PRDE,actvstrat=,-0.158129, actvprof=,0.914722, id=,B03, PRDE,actvstrat=,-0.987521, actvprof=,1.503056, id=,B04, PRDE,actvstrat=,0.476674, actvprof=,1.210278, id=,B05, PRDE,actvstrat=,0.710113, actvprof=,1.505278, id=,B06, PRDE,actvstrat=,0.803952, actvprof=,1.459444, id=,B07, PRDE,actvstrat=,0.229944, actvprof=,1.198333, id=,B08, PRDE,actvstrat=,0.689086, actvprof=,1.562500, id=,B09, PRDE,actvstrat=,0.764022, actvprof=,1.335000, id=,S00, PRDE,actvstrat=,-0.170342, actvprof=,6.248333, id=,S01, PRDE,actvstrat=,0.160859, actvprof=,8.613333, id=,S02, PRDE,actvstrat=,-0.276008, actvprof=,5.329722, id=,S03, PRDE,actvstrat=,0.989945, actvprof=,12.630556, id=,S04, PRDE,actvstrat=,-0.190034, actvprof=,5.990278, id=,S05, PRDE,actvstrat=,0.944826, actvprof=,12.421667, id=,S06, PRDE,actvstrat=,-0.725061, actvprof=,3.473056, id=,S07, PRDE,actvstrat=,0.365483, actvprof=,9.493611, id=,S08, PRDE,actvstrat=,-0.452265, actvprof=,5.248056, id=,S09, PRDE,actvstrat=,-0.692046, actvprof=,3.856389, best_B_id=,B08, best_B_prof=,1.562500, best_B_strat=,0.689086, best_S_id=,S03, best_S_prof=,12.630556, best_S_strat=,0.989945, 
t=,14400, id=,B00, PRDE,actvstrat=,0.640883, actvprof=,1.269167, id=,B01, PRDE,actvstrat=,0.834833, actvprof=,1.286111, id=,B02, PRDE,actvstrat=,-0.158129, actvprof=,0.878889, id=,B03, PRDE,actvstrat=,-0.987521, actvprof=,1.438750, id=,B04, PRDE,actvstrat=,0.476674, actvprof=,1.226250, id=,B05, PRDE,actvstrat=,0.710113, actvprof=,1.401389, id=,B06, PRDE,actvstrat=,0.803952, actvprof=,1.452639, id=,B07, PRDE,actvstrat=,0.229944, actvprof=,1.048750, id=,B08, PRDE,actvstrat=,0.689086, actvprof=,1.480278, id=,B09, PRDE,actvstrat=,0.764022, actvprof=,1.333611, id=,S00, PRDE,actvstrat=,-0.170342, actvprof=,5.918611, id=,S01, PRDE,actvstrat=,0.160859, actvprof=,8.580694, id=,S02, PRDE,actvstrat=,-0.276008, actvprof=,5.163611, id=,S03, PRDE,actvstrat=,0.989945, actvprof=,12.544306, id=,S04, PRDE,actvstrat=,-0.190034, actvprof=,5.821667, id=,S05, PRDE,actvstrat=,0.944826, actvprof=,12.480972, id=,S06, PRDE,actvstrat=,-0.725061, actvprof=,3.143889, id=,S07, PRDE,actvstrat=,0.365483, actvprof=,9.711528, id=,S08, PRDE,actvstrat=,-0.452265, actvprof=,4.942778, id=,S09, PRDE,actvstrat=,-0.692046, actvprof=,3.520556, best_B_id=,B08, best_B_prof=,1.480278, best_B_strat=,0.689086, best_S_id=,S03, best_S_prof=,12.544306, best_S_strat=,0.989945, 
t=,18000, id=,B00, PRDE,actvstrat=,0.640883, actvprof=,1.015570, id=,B01, PRDE,actvstrat=,-0.990442, actvprof=,1.348630, id=,B02, PRDE,actvstrat=,0.036046, actvprof=,0.557508, id=,B03, PRDE,actvstrat=,-0.987521, actvprof=,1.303351, id=,B04, PRDE,actvstrat=,-0.885177, actvprof=,1.233906, id=,B05, PRDE,actvstrat=,0.571663, actvprof=,0.842789, id=,B06, PRDE,actvstrat=,0.803952, actvprof=,1.158627, id=,B07, PRDE,actvstrat=,0.370089, actvprof=,0.801122, id=,B08, PRDE,actvstrat=,0.620726, actvprof=,0.908068, id=,B09, PRDE,actvstrat=,-0.657523, actvprof=,0.672509, id=,S00, PRDE,actvstrat=,-0.371526, actvprof=,4.427839, id=,S01, PRDE,actvstrat=,-0.749621, actvprof=,2.261698, id=,S02, PRDE,actvstrat=,0.312375, actvprof=,8.792344, id=,S03, PRDE,actvstrat=,0.944110, actvprof=,12.690732, id=,S04, PRDE,actvstrat=,-0.862500, actvprof=,0.698621, id=,S05, PRDE,actvstrat=,-0.352276, actvprof=,4.803956, id=,S06, PRDE,actvstrat=,-0.731699, actvprof=,2.522813, id=,S07, PRDE,actvstrat=,0.063805, actvprof=,7.565383, id=,S08, PRDE,actvstrat=,0.811150, actvprof=,12.128780, id=,S09, PRDE,actvstrat=,-0.774790, actvprof=,2.200031, best_B_id=,B01, best_B_prof=,1.348630, best_B_strat=,-0.990442, best_S_id=,S03, best_S_prof=,12.690732, best_S_strat=,0.944110, 
t=,21600, id=,B00, PRDE,actvstrat=,0.640883, actvprof=,0.954451, id=,B01, PRDE,actvstrat=,-0.990442, actvprof=,1.291815, id=,B02, PRDE,actvstrat=,0.036046, actvprof=,0.577643, id=,B03, PRDE,actvstrat=,-0.987521, actvprof=,1.330009, id=,B04, PRDE,actvstrat=,-0.885177, actvprof=,1.268759, id=,B05, PRDE,actvstrat=,0.571663, actvprof=,0.823200, id=,B06, PRDE,actvstrat=,0.803952, actvprof=,1.095563, id=,B07, PRDE,actvstrat=,0.370089, actvprof=,0.782922, id=,B08, PRDE,actvstrat=,0.620726, actvprof=,0.911951, id=,B09, PRDE,actvstrat=,-0.657523, actvprof=,0.594310, id=,S00, PRDE,actvstrat=,-0.371526, actvprof=,4.275863, id=,S01, PRDE,actvstrat=,-0.749621, actvprof=,2.336127, id=,S02, PRDE,actvstrat=,0.312375, actvprof=,8.740061, id=,S03, PRDE,actvstrat=,0.944110, actvprof=,12.810645, id=,S04, PRDE,actvstrat=,-0.862500, actvprof=,0.647921, id=,S05, PRDE,actvstrat=,-0.352276, actvprof=,4.446281, id=,S06, PRDE,actvstrat=,-0.731699, actvprof=,2.621129, id=,S07, PRDE,actvstrat=,0.063805, actvprof=,7.642692, id=,S08, PRDE,actvstrat=,0.811150, actvprof=,12.097584, id=,S09, PRDE,actvstrat=,-0.774790, actvprof=,2.084876, best_B_id=,B03, best_B_prof=,1.330009, best_B_strat=,-0.987521, best_S_id=,S03, best_S_prof=,12.810645, best_S_strat=,0.944110, 
t=,25200, id=,B00, PRDE,actvstrat=,0.827557, actvprof=,2.307660, id=,B01, PRDE,actvstrat=,0.414358, actvprof=,2.225710, id=,B02, PRDE,actvstrat=,0.313505, actvprof=,2.216265, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.440378, id=,B04, PRDE,actvstrat=,0.655022, actvprof=,2.410445, id=,B05, PRDE,actvstrat=,-0.367517, actvprof=,1.517050, id=,B06, PRDE,actvstrat=,-0.353076, actvprof=,1.617057, id=,B07, PRDE,actvstrat=,0.009598, actvprof=,1.832905, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.226544, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.306271, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.099035, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.516772, id=,S02, PRDE,actvstrat=,0.907054, actvprof=,11.065213, id=,S03, PRDE,actvstrat=,0.745798, actvprof=,10.541288, id=,S04, PRDE,actvstrat=,-0.133864, actvprof=,4.621154, id=,S05, PRDE,actvstrat=,0.941161, actvprof=,10.896868, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.530731, id=,S07, PRDE,actvstrat=,-0.256157, actvprof=,3.596083, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.216821, id=,S09, PRDE,actvstrat=,-0.467270, actvprof=,3.355233, best_B_id=,B04, best_B_prof=,2.410445, best_B_strat=,0.655022, best_S_id=,S02, best_S_prof=,11.065213, best_S_strat=,0.907054, 
t=,28800, id=,B00, PRDE,actvstrat=,0.827557, actvprof=,2.244738, id=,B01, PRDE,actvstrat=,0.414358, actvprof=,2.269738, id=,B02, PRDE,actvstrat=,0.313505, actvprof=,2.083070, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.480705, id=,B04, PRDE,actvstrat=,0.655022, actvprof=,2.279738, id=,B05, PRDE,actvstrat=,-0.367517, actvprof=,1.655984, id=,B06, PRDE,actvstrat=,-0.353076, actvprof=,1.577511, id=,B07, PRDE,actvstrat=,0.009598, actvprof=,1.789735, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.234460, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.229182, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.075876, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.790596, id=,S02, PRDE,actvstrat=,0.907054, actvprof=,11.070494, id=,S03, PRDE,actvstrat=,0.745798, actvprof=,10.422017, id=,S04, PRDE,actvstrat=,-0.133864, actvprof=,4.413503, id=,S05, PRDE,actvstrat=,0.941161, actvprof=,10.925493, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.315599, id=,S07, PRDE,actvstrat=,-0.256157, actvprof=,3.697109, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.121015, id=,S09, PRDE,actvstrat=,-0.467270, actvprof=,3.324051, best_B_id=,B04, best_B_prof=,2.279738, best_B_strat=,0.655022, best_S_id=,S02, best_S_prof=,11.070494, best_S_strat=,0.907054, 
t=,32400, id=,B00, PRDE,actvstrat=,0.410302, actvprof=,2.039087, id=,B01, PRDE,actvstrat=,0.522908, actvprof=,2.162155, id=,B02, PRDE,actvstrat=,0.313505, actvprof=,1.861292, id=,B03, PRDE,actvstrat=,0.617492, actvprof=,2.017696, id=,B04, PRDE,actvstrat=,0.274660, actvprof=,1.828511, id=,B05, PRDE,actvstrat=,-0.551500, actvprof=,1.362632, id=,B06, PRDE,actvstrat=,-0.774629, actvprof=,2.026030, id=,B07, PRDE,actvstrat=,-0.256237, actvprof=,1.463753, id=,B08, PRDE,actvstrat=,-0.917760, actvprof=,2.796661, id=,B09, PRDE,actvstrat=,-0.802176, actvprof=,2.342172, id=,S00, PRDE,actvstrat=,-0.173521, actvprof=,4.226522, id=,S01, PRDE,actvstrat=,-0.973074, actvprof=,1.248455, id=,S02, PRDE,actvstrat=,0.627414, actvprof=,8.681677, id=,S03, PRDE,actvstrat=,0.918496, actvprof=,10.682427, id=,S04, PRDE,actvstrat=,-0.606881, actvprof=,2.738322, id=,S05, PRDE,actvstrat=,0.941161, actvprof=,10.687150, id=,S06, PRDE,actvstrat=,-0.421433, actvprof=,2.983901, id=,S07, PRDE,actvstrat=,-0.079362, actvprof=,4.786299, id=,S08, PRDE,actvstrat=,-0.452265, actvprof=,2.655814, id=,S09, PRDE,actvstrat=,-0.070238, actvprof=,4.794355, best_B_id=,B08, best_B_prof=,2.796661, best_B_strat=,-0.917760, best_S_id=,S05, best_S_prof=,10.687150, best_S_strat=,0.941161, 
t=,36000, id=,B00, PRDE,actvstrat=,0.410302, actvprof=,1.931066, id=,B01, PRDE,actvstrat=,0.522908, actvprof=,2.102047, id=,B02, PRDE,actvstrat=,0.313505, actvprof=,1.851757, id=,B03, PRDE,actvstrat=,0.617492, actvprof=,2.136909, id=,B04, PRDE,actvstrat=,0.274660, actvprof=,1.742168, id=,B05, PRDE,actvstrat=,-0.551500, actvprof=,1.450348, id=,B06, PRDE,actvstrat=,-0.774629, actvprof=,2.011209, id=,B07, PRDE,actvstrat=,-0.256237, actvprof=,1.418541, id=,B08, PRDE,actvstrat=,-0.917760, actvprof=,2.902641, id=,B09, PRDE,actvstrat=,-0.802176, actvprof=,2.291639, id=,S00, PRDE,actvstrat=,-0.173521, actvprof=,3.840187, id=,S01, PRDE,actvstrat=,-0.973074, actvprof=,1.096442, id=,S02, PRDE,actvstrat=,0.627414, actvprof=,8.797233, id=,S03, PRDE,actvstrat=,0.918496, actvprof=,10.608293, id=,S04, PRDE,actvstrat=,-0.606881, actvprof=,2.606654, id=,S05, PRDE,actvstrat=,0.941161, actvprof=,10.759829, id=,S06, PRDE,actvstrat=,-0.421433, actvprof=,3.003063, id=,S07, PRDE,actvstrat=,-0.079362, actvprof=,4.544943, id=,S08, PRDE,actvstrat=,-0.452265, actvprof=,2.919031, id=,S09, PRDE,actvstrat=,-0.070238, actvprof=,4.711757, best_B_id=,B08, best_B_prof=,2.902641, best_B_strat=,-0.917760, best_S_id=,S05, best_S_prof=,10.759829, best_S_strat=,0.941161, 
