t=,1, id=,B00, PRDE,actvstrat=,-0.857308, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.289436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.327554, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.598676, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.170773, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.167335, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.034802, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.441432, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.288055, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.306731, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.614151, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.323456, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.571248, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.915711, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.515009, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.126500, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.172598, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.215522, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.184756, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.880245, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.857308, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.614151, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.857308, actvprof=,2.791111, id=,B01, PRDE,actvstrat=,-0.289436, actvprof=,1.786111, id=,B02, PRDE,actvstrat=,-0.327554, actvprof=,1.441111, id=,B03, PRDE,actvstrat=,-0.598676, actvprof=,1.797500, id=,B04, PRDE,actvstrat=,-0.170773, actvprof=,1.762500, id=,B05, PRDE,actvstrat=,0.167335, actvprof=,2.179722, id=,B06, PRDE,actvstrat=,-0.034802, actvprof=,1.827500, id=,B07, PRDE,actvstrat=,0.441432, actvprof=,2.200278, id=,B08, PRDE,actvstrat=,0.288055, actvprof=,2.146389, id=,B09, PRDE,actvstrat=,-0.306731, actvprof=,1.623333, id=,S00, PRDE,actvstrat=,-0.614151, actvprof=,2.862222, id=,S01, PRDE,actvstrat=,0.323456, actvprof=,6.985000, id=,S02, PRDE,actvstrat=,0.571248, actvprof=,8.313611, id=,S03, PRDE,actvstrat=,-0.915711, actvprof=,0.639167, id=,S04, PRDE,actvstrat=,-0.515009, actvprof=,2.895833, id=,S05, PRDE,actvstrat=,0.126500, actvprof=,5.993333, id=,S06, PRDE,actvstrat=,-0.172598, actvprof=,4.085833, id=,S07, PRDE,actvstrat=,0.215522, actvprof=,6.170556, id=,S08, PRDE,actvstrat=,-0.184756, actvprof=,4.040000, id=,S09, PRDE,actvstrat=,-0.880245, actvprof=,0.570000, best_B_id=,B00, best_B_prof=,2.791111, best_B_strat=,-0.857308, best_S_id=,S02, best_S_prof=,8.313611, best_S_strat=,0.571248, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.570333, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.700845, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.631284, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.264626, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.669479, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.922443, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.747546, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.322973, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.123302, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.291427, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.874054, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.966477, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.657708, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.790158, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.199186, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.284146, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.353560, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.117513, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.545566, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.007015, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.570333, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.874054, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.570333, actvprof=,2.567393, id=,B01, PRDE,actvstrat=,-0.700845, actvprof=,2.983209, id=,B02, PRDE,actvstrat=,-0.631284, actvprof=,2.751274, id=,B03, PRDE,actvstrat=,-0.264626, actvprof=,2.330181, id=,B04, PRDE,actvstrat=,-0.669479, actvprof=,3.024318, id=,B05, PRDE,actvstrat=,-0.922443, actvprof=,4.175937, id=,B06, PRDE,actvstrat=,0.747546, actvprof=,2.909601, id=,B07, PRDE,actvstrat=,0.322973, actvprof=,2.996264, id=,B08, PRDE,actvstrat=,0.123302, actvprof=,2.333236, id=,B09, PRDE,actvstrat=,0.291427, actvprof=,3.062095, id=,S00, PRDE,actvstrat=,-0.874054, actvprof=,0.701082, id=,S01, PRDE,actvstrat=,0.966477, actvprof=,9.133786, id=,S02, PRDE,actvstrat=,-0.657708, actvprof=,2.131856, id=,S03, PRDE,actvstrat=,0.790158, actvprof=,8.838243, id=,S04, PRDE,actvstrat=,-0.199186, actvprof=,3.453189, id=,S05, PRDE,actvstrat=,0.284146, actvprof=,6.612502, id=,S06, PRDE,actvstrat=,0.353560, actvprof=,6.461675, id=,S07, PRDE,actvstrat=,0.117513, actvprof=,5.529770, id=,S08, PRDE,actvstrat=,0.545566, actvprof=,7.838840, id=,S09, PRDE,actvstrat=,-0.007015, actvprof=,4.695360, best_B_id=,B05, best_B_prof=,4.175937, best_B_strat=,-0.922443, best_S_id=,S01, best_S_prof=,9.133786, best_S_strat=,0.966477, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.956484, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.501826, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.138184, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.038836, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.000972, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.908201, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.079623, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.985256, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.550709, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.938025, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.108388, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.223127, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.304273, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.043495, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.151742, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.523679, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.353560, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.525658, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.009018, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.934417, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.956484, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.108388, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.956484, actvprof=,1.857500, id=,B01, PRDE,actvstrat=,0.501826, actvprof=,1.397500, id=,B02, PRDE,actvstrat=,0.138184, actvprof=,1.115000, id=,B03, PRDE,actvstrat=,0.038836, actvprof=,0.965278, id=,B04, PRDE,actvstrat=,-0.000972, actvprof=,0.910833, id=,B05, PRDE,actvstrat=,0.908201, actvprof=,1.289722, id=,B06, PRDE,actvstrat=,0.079623, actvprof=,1.013611, id=,B07, PRDE,actvstrat=,-0.985256, actvprof=,1.965278, id=,B08, PRDE,actvstrat=,-0.550709, actvprof=,0.964444, id=,B09, PRDE,actvstrat=,-0.938025, actvprof=,1.673056, id=,S00, PRDE,actvstrat=,0.108388, actvprof=,7.037500, id=,S01, PRDE,actvstrat=,-0.223127, actvprof=,4.409167, id=,S02, PRDE,actvstrat=,-0.304273, actvprof=,3.656111, id=,S03, PRDE,actvstrat=,-0.043495, actvprof=,6.294167, id=,S04, PRDE,actvstrat=,-0.151742, actvprof=,5.120833, id=,S05, PRDE,actvstrat=,-0.523679, actvprof=,4.047778, id=,S06, PRDE,actvstrat=,0.353560, actvprof=,8.197222, id=,S07, PRDE,actvstrat=,0.525658, actvprof=,9.574722, id=,S08, PRDE,actvstrat=,0.009018, actvprof=,6.962500, id=,S09, PRDE,actvstrat=,-0.934417, actvprof=,0.592222, best_B_id=,B07, best_B_prof=,1.965278, best_B_strat=,-0.985256, best_S_id=,S07, best_S_prof=,9.574722, best_S_strat=,0.525658, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.956484, actvprof=,1.863194, id=,B01, PRDE,actvstrat=,0.501826, actvprof=,1.374306, id=,B02, PRDE,actvstrat=,0.138184, actvprof=,1.094444, id=,B03, PRDE,actvstrat=,0.038836, actvprof=,1.011250, id=,B04, PRDE,actvstrat=,-0.000972, actvprof=,0.936389, id=,B05, PRDE,actvstrat=,0.908201, actvprof=,1.274861, id=,B06, PRDE,actvstrat=,0.079623, actvprof=,1.056250, id=,B07, PRDE,actvstrat=,-0.985256, actvprof=,1.952222, id=,B08, PRDE,actvstrat=,-0.550709, actvprof=,0.946389, id=,B09, PRDE,actvstrat=,-0.938025, actvprof=,1.702500, id=,S00, PRDE,actvstrat=,0.108388, actvprof=,7.095833, id=,S01, PRDE,actvstrat=,-0.223127, actvprof=,4.414861, id=,S02, PRDE,actvstrat=,-0.304273, actvprof=,4.049306, id=,S03, PRDE,actvstrat=,-0.043495, actvprof=,6.376944, id=,S04, PRDE,actvstrat=,-0.151742, actvprof=,4.950694, id=,S05, PRDE,actvstrat=,-0.523679, actvprof=,3.784444, id=,S06, PRDE,actvstrat=,0.353560, actvprof=,8.321528, id=,S07, PRDE,actvstrat=,0.525658, actvprof=,9.605000, id=,S08, PRDE,actvstrat=,0.009018, actvprof=,6.822500, id=,S09, PRDE,actvstrat=,-0.934417, actvprof=,0.555972, best_B_id=,B07, best_B_prof=,1.952222, best_B_strat=,-0.985256, best_S_id=,S07, best_S_prof=,9.605000, best_S_strat=,0.525658, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.169580, actvprof=,1.150310, id=,B01, PRDE,actvstrat=,0.384029, actvprof=,1.590600, id=,B02, PRDE,actvstrat=,0.549780, actvprof=,1.735048, id=,B03, PRDE,actvstrat=,-0.168650, actvprof=,1.184477, id=,B04, PRDE,actvstrat=,-0.019153, actvprof=,1.198922, id=,B05, PRDE,actvstrat=,-0.922443, actvprof=,2.483402, id=,B06, PRDE,actvstrat=,0.747546, actvprof=,1.911442, id=,B07, PRDE,actvstrat=,-0.443608, actvprof=,1.088364, id=,B08, PRDE,actvstrat=,-0.166452, actvprof=,1.150032, id=,B09, PRDE,actvstrat=,-0.723236, actvprof=,1.471430, id=,S00, PRDE,actvstrat=,-0.463277, actvprof=,2.858968, id=,S01, PRDE,actvstrat=,0.357920, actvprof=,7.452429, id=,S02, PRDE,actvstrat=,-0.138264, actvprof=,4.262063, id=,S03, PRDE,actvstrat=,-0.500759, actvprof=,3.038140, id=,S04, PRDE,actvstrat=,0.442472, actvprof=,8.273563, id=,S05, PRDE,actvstrat=,-0.075015, actvprof=,4.456790, id=,S06, PRDE,actvstrat=,-0.050871, actvprof=,5.085697, id=,S07, PRDE,actvstrat=,0.117513, actvprof=,6.447124, id=,S08, PRDE,actvstrat=,-0.794094, actvprof=,1.424206, id=,S09, PRDE,actvstrat=,-0.736029, actvprof=,2.049779, best_B_id=,B05, best_B_prof=,2.483402, best_B_strat=,-0.922443, best_S_id=,S04, best_S_prof=,8.273563, best_S_strat=,0.442472, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.169580, actvprof=,1.119321, id=,B01, PRDE,actvstrat=,0.384029, actvprof=,1.656412, id=,B02, PRDE,actvstrat=,0.549780, actvprof=,1.689607, id=,B03, PRDE,actvstrat=,-0.168650, actvprof=,1.078348, id=,B04, PRDE,actvstrat=,-0.019153, actvprof=,1.200989, id=,B05, PRDE,actvstrat=,-0.922443, actvprof=,2.456423, id=,B06, PRDE,actvstrat=,0.747546, actvprof=,1.941138, id=,B07, PRDE,actvstrat=,-0.443608, actvprof=,1.059320, id=,B08, PRDE,actvstrat=,-0.166452, actvprof=,1.188628, id=,B09, PRDE,actvstrat=,-0.723236, actvprof=,1.489326, id=,S00, PRDE,actvstrat=,-0.463277, actvprof=,2.956847, id=,S01, PRDE,actvstrat=,0.357920, actvprof=,7.512049, id=,S02, PRDE,actvstrat=,-0.138264, actvprof=,4.018389, id=,S03, PRDE,actvstrat=,-0.500759, actvprof=,3.158099, id=,S04, PRDE,actvstrat=,0.442472, actvprof=,8.256226, id=,S05, PRDE,actvstrat=,-0.075015, actvprof=,4.556591, id=,S06, PRDE,actvstrat=,-0.050871, actvprof=,5.122710, id=,S07, PRDE,actvstrat=,0.117513, actvprof=,6.233281, id=,S08, PRDE,actvstrat=,-0.794094, actvprof=,1.377936, id=,S09, PRDE,actvstrat=,-0.736029, actvprof=,2.118085, best_B_id=,B05, best_B_prof=,2.456423, best_B_strat=,-0.922443, best_S_id=,S04, best_S_prof=,8.256226, best_S_strat=,0.442472, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.870118, actvprof=,1.282536, id=,B01, PRDE,actvstrat=,-0.307729, actvprof=,0.823078, id=,B02, PRDE,actvstrat=,0.569539, actvprof=,1.548376, id=,B03, PRDE,actvstrat=,-0.889205, actvprof=,1.508653, id=,B04, PRDE,actvstrat=,-0.879578, actvprof=,1.470319, id=,B05, PRDE,actvstrat=,-0.200375, actvprof=,0.685297, id=,B06, PRDE,actvstrat=,0.015143, actvprof=,0.975583, id=,B07, PRDE,actvstrat=,0.072382, actvprof=,0.897247, id=,B08, PRDE,actvstrat=,-0.827137, actvprof=,1.060307, id=,B09, PRDE,actvstrat=,0.964901, actvprof=,1.008084, id=,S00, PRDE,actvstrat=,-0.963368, actvprof=,0.702797, id=,S01, PRDE,actvstrat=,-0.056080, actvprof=,5.453485, id=,S02, PRDE,actvstrat=,-0.640614, actvprof=,3.236479, id=,S03, PRDE,actvstrat=,-0.043495, actvprof=,5.656546, id=,S04, PRDE,actvstrat=,-0.154002, actvprof=,3.957610, id=,S05, PRDE,actvstrat=,0.570412, actvprof=,9.612489, id=,S06, PRDE,actvstrat=,-0.963152, actvprof=,0.909747, id=,S07, PRDE,actvstrat=,0.500819, actvprof=,8.566627, id=,S08, PRDE,actvstrat=,-0.793215, actvprof=,1.713381, id=,S09, PRDE,actvstrat=,-0.736029, actvprof=,2.310620, best_B_id=,B02, best_B_prof=,1.548376, best_B_strat=,0.569539, best_S_id=,S05, best_S_prof=,9.612489, best_S_strat=,0.570412, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.870118, actvprof=,1.346834, id=,B01, PRDE,actvstrat=,-0.307729, actvprof=,0.814600, id=,B02, PRDE,actvstrat=,0.569539, actvprof=,1.520726, id=,B03, PRDE,actvstrat=,-0.889205, actvprof=,1.603228, id=,B04, PRDE,actvstrat=,-0.879578, actvprof=,1.486698, id=,B05, PRDE,actvstrat=,-0.200375, actvprof=,0.710015, id=,B06, PRDE,actvstrat=,0.015143, actvprof=,0.987937, id=,B07, PRDE,actvstrat=,0.072382, actvprof=,0.958909, id=,B08, PRDE,actvstrat=,-0.827137, actvprof=,1.101829, id=,B09, PRDE,actvstrat=,0.964901, actvprof=,0.990993, id=,S00, PRDE,actvstrat=,-0.963368, actvprof=,0.985993, id=,S01, PRDE,actvstrat=,-0.056080, actvprof=,5.691091, id=,S02, PRDE,actvstrat=,-0.640614, actvprof=,3.299235, id=,S03, PRDE,actvstrat=,-0.043495, actvprof=,5.487059, id=,S04, PRDE,actvstrat=,-0.154002, actvprof=,4.134392, id=,S05, PRDE,actvstrat=,0.570412, actvprof=,9.527976, id=,S06, PRDE,actvstrat=,-0.963152, actvprof=,0.904324, id=,S07, PRDE,actvstrat=,0.500819, actvprof=,8.524622, id=,S08, PRDE,actvstrat=,-0.793215, actvprof=,1.752675, id=,S09, PRDE,actvstrat=,-0.736029, actvprof=,2.405328, best_B_id=,B03, best_B_prof=,1.603228, best_B_strat=,-0.889205, best_S_id=,S05, best_S_prof=,9.527976, best_S_strat=,0.570412, 
