t=,1, id=,B00, PRDE,actvstrat=,-0.759362, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.734439, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.626531, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.944844, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.722005, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.143755, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.332148, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.535451, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.085307, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.786880, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.874850, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.482532, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.075737, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.455938, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.756277, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.020044, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.223119, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.565470, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.991322, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.679288, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.759362, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.874850, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.759362, actvprof=,2.339379, id=,B01, PRDE,actvstrat=,0.734439, actvprof=,2.756035, id=,B02, PRDE,actvstrat=,0.626531, actvprof=,2.509375, id=,B03, PRDE,actvstrat=,-0.944844, actvprof=,3.286575, id=,B04, PRDE,actvstrat=,-0.722005, actvprof=,2.436321, id=,B05, PRDE,actvstrat=,-0.143755, actvprof=,2.078553, id=,B06, PRDE,actvstrat=,0.332148, actvprof=,2.440766, id=,B07, PRDE,actvstrat=,0.535451, actvprof=,2.333824, id=,B08, PRDE,actvstrat=,-0.085307, actvprof=,1.799950, id=,B09, PRDE,actvstrat=,-0.786880, actvprof=,2.371045, id=,S00, PRDE,actvstrat=,0.874850, actvprof=,9.894447, id=,S01, PRDE,actvstrat=,-0.482532, actvprof=,3.284353, id=,S02, PRDE,actvstrat=,-0.075737, actvprof=,4.937363, id=,S03, PRDE,actvstrat=,-0.455938, actvprof=,3.556846, id=,S04, PRDE,actvstrat=,0.756277, actvprof=,9.221966, id=,S05, PRDE,actvstrat=,0.020044, actvprof=,5.784284, id=,S06, PRDE,actvstrat=,-0.223119, actvprof=,3.796561, id=,S07, PRDE,actvstrat=,-0.565470, actvprof=,3.164912, id=,S08, PRDE,actvstrat=,-0.991322, actvprof=,3.206022, id=,S09, PRDE,actvstrat=,0.679288, actvprof=,9.154746, best_B_id=,B03, best_B_prof=,3.286575, best_B_strat=,-0.944844, best_S_id=,S00, best_S_prof=,9.894447, best_S_strat=,0.874850, 
t=,7200, id=,B00, PRDE,actvstrat=,0.035285, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.006959, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.631692, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.245468, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.928748, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.877690, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.070720, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.873015, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.506528, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.007115, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.283841, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.451207, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.705008, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.243505, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.417457, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.547126, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.434534, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.323201, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.816185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.317086, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.035285, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.283841, 
t=,10800, id=,B00, PRDE,actvstrat=,0.035285, actvprof=,1.499979, id=,B01, PRDE,actvstrat=,-0.006959, actvprof=,1.463035, id=,B02, PRDE,actvstrat=,0.631692, actvprof=,2.064971, id=,B03, PRDE,actvstrat=,-0.245468, actvprof=,1.476091, id=,B04, PRDE,actvstrat=,-0.928748, actvprof=,2.691352, id=,B05, PRDE,actvstrat=,0.877690, actvprof=,1.855252, id=,B06, PRDE,actvstrat=,-0.070720, actvprof=,1.343870, id=,B07, PRDE,actvstrat=,0.873015, actvprof=,1.574978, id=,B08, PRDE,actvstrat=,0.506528, actvprof=,1.966084, id=,B09, PRDE,actvstrat=,0.007115, actvprof=,1.389703, id=,S00, PRDE,actvstrat=,0.283841, actvprof=,7.743504, id=,S01, PRDE,actvstrat=,-0.451207, actvprof=,3.364953, id=,S02, PRDE,actvstrat=,-0.705008, actvprof=,2.574686, id=,S03, PRDE,actvstrat=,0.243505, actvprof=,7.448785, id=,S04, PRDE,actvstrat=,0.417457, actvprof=,8.134054, id=,S05, PRDE,actvstrat=,-0.547126, actvprof=,3.171900, id=,S06, PRDE,actvstrat=,0.434534, actvprof=,8.181831, id=,S07, PRDE,actvstrat=,-0.323201, actvprof=,3.415508, id=,S08, PRDE,actvstrat=,0.816185, actvprof=,10.873738, id=,S09, PRDE,actvstrat=,0.317086, actvprof=,7.964612, best_B_id=,B04, best_B_prof=,2.691352, best_B_strat=,-0.928748, best_S_id=,S08, best_S_prof=,10.873738, best_S_strat=,0.816185, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.071089, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.057573, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.419312, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.382313, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.928748, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.728364, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.642154, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.606388, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.101891, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.007115, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.116145, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.013401, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.705008, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.847892, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.771775, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.520228, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.717728, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.844262, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.761907, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.612827, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.071089, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.116145, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.071089, actvprof=,1.546111, id=,B01, PRDE,actvstrat=,0.057573, actvprof=,1.842500, id=,B02, PRDE,actvstrat=,0.419312, actvprof=,2.087222, id=,B03, PRDE,actvstrat=,-0.382313, actvprof=,1.390278, id=,B04, PRDE,actvstrat=,-0.928748, actvprof=,2.889167, id=,B05, PRDE,actvstrat=,0.728364, actvprof=,2.270556, id=,B06, PRDE,actvstrat=,-0.642154, actvprof=,1.921944, id=,B07, PRDE,actvstrat=,0.606388, actvprof=,2.404444, id=,B08, PRDE,actvstrat=,-0.101891, actvprof=,1.662222, id=,B09, PRDE,actvstrat=,0.007115, actvprof=,1.430556, id=,S00, PRDE,actvstrat=,0.116145, actvprof=,5.812222, id=,S01, PRDE,actvstrat=,0.013401, actvprof=,5.538333, id=,S02, PRDE,actvstrat=,-0.705008, actvprof=,2.406944, id=,S03, PRDE,actvstrat=,0.847892, actvprof=,10.424722, id=,S04, PRDE,actvstrat=,-0.771775, actvprof=,1.647222, id=,S05, PRDE,actvstrat=,-0.520228, actvprof=,2.886389, id=,S06, PRDE,actvstrat=,0.717728, actvprof=,9.511389, id=,S07, PRDE,actvstrat=,0.844262, actvprof=,10.273611, id=,S08, PRDE,actvstrat=,-0.761907, actvprof=,1.929722, id=,S09, PRDE,actvstrat=,-0.612827, actvprof=,2.391111, best_B_id=,B04, best_B_prof=,2.889167, best_B_strat=,-0.928748, best_S_id=,S03, best_S_prof=,10.424722, best_S_strat=,0.847892, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.071089, actvprof=,1.584444, id=,B01, PRDE,actvstrat=,0.057573, actvprof=,1.705417, id=,B02, PRDE,actvstrat=,0.419312, actvprof=,2.060139, id=,B03, PRDE,actvstrat=,-0.382313, actvprof=,1.543611, id=,B04, PRDE,actvstrat=,-0.928748, actvprof=,2.900000, id=,B05, PRDE,actvstrat=,0.728364, actvprof=,2.189028, id=,B06, PRDE,actvstrat=,-0.642154, actvprof=,1.985278, id=,B07, PRDE,actvstrat=,0.606388, actvprof=,2.370417, id=,B08, PRDE,actvstrat=,-0.101891, actvprof=,1.610833, id=,B09, PRDE,actvstrat=,0.007115, actvprof=,1.542639, id=,S00, PRDE,actvstrat=,0.116145, actvprof=,5.933611, id=,S01, PRDE,actvstrat=,0.013401, actvprof=,5.784444, id=,S02, PRDE,actvstrat=,-0.705008, actvprof=,2.166806, id=,S03, PRDE,actvstrat=,0.847892, actvprof=,10.487639, id=,S04, PRDE,actvstrat=,-0.771775, actvprof=,1.586667, id=,S05, PRDE,actvstrat=,-0.520228, actvprof=,2.627500, id=,S06, PRDE,actvstrat=,0.717728, actvprof=,9.621250, id=,S07, PRDE,actvstrat=,0.844262, actvprof=,10.171250, id=,S08, PRDE,actvstrat=,-0.761907, actvprof=,1.922778, id=,S09, PRDE,actvstrat=,-0.612827, actvprof=,2.561806, best_B_id=,B04, best_B_prof=,2.900000, best_B_strat=,-0.928748, best_S_id=,S03, best_S_prof=,10.487639, best_S_strat=,0.847892, 
t=,25200, id=,B00, PRDE,actvstrat=,0.478045, actvprof=,2.263643, id=,B01, PRDE,actvstrat=,-0.512885, actvprof=,1.716135, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,2.890873, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.115015, id=,B04, PRDE,actvstrat=,0.261795, actvprof=,1.905582, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.813650, id=,B06, PRDE,actvstrat=,0.366806, actvprof=,1.888360, id=,B07, PRDE,actvstrat=,-0.902118, actvprof=,2.103640, id=,B08, PRDE,actvstrat=,-0.180815, actvprof=,1.738635, id=,B09, PRDE,actvstrat=,-0.663399, actvprof=,1.716968, id=,S00, PRDE,actvstrat=,-0.446641, actvprof=,3.200322, id=,S01, PRDE,actvstrat=,-0.515869, actvprof=,2.603925, id=,S02, PRDE,actvstrat=,0.546270, actvprof=,8.233448, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.183128, id=,S04, PRDE,actvstrat=,-0.272491, actvprof=,3.121432, id=,S05, PRDE,actvstrat=,0.923827, actvprof=,10.780983, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.707371, id=,S07, PRDE,actvstrat=,0.477179, actvprof=,8.389839, id=,S08, PRDE,actvstrat=,-0.226242, actvprof=,3.573661, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.032292, best_B_id=,B02, best_B_prof=,2.890873, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,10.780983, best_S_strat=,0.923827, 
t=,28800, id=,B00, PRDE,actvstrat=,0.354776, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.371596, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.631692, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.944844, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.136344, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.842319, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.899061, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.902118, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.382685, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.651626, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.636825, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.013401, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.084193, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.243505, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.015254, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.957749, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.434534, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.323201, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.960482, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.236567, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.354776, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.636825, 
t=,32400, id=,B00, PRDE,actvstrat=,0.354776, actvprof=,1.363927, id=,B01, PRDE,actvstrat=,0.371596, actvprof=,1.186977, id=,B02, PRDE,actvstrat=,0.631692, actvprof=,1.486986, id=,B03, PRDE,actvstrat=,-0.944844, actvprof=,2.262563, id=,B04, PRDE,actvstrat=,0.136344, actvprof=,0.977527, id=,B05, PRDE,actvstrat=,0.842319, actvprof=,1.606156, id=,B06, PRDE,actvstrat=,-0.899061, actvprof=,1.892553, id=,B07, PRDE,actvstrat=,-0.902118, actvprof=,1.880608, id=,B08, PRDE,actvstrat=,-0.382685, actvprof=,0.847801, id=,B09, PRDE,actvstrat=,0.651626, actvprof=,1.471985, id=,S00, PRDE,actvstrat=,-0.636825, actvprof=,2.846746, id=,S01, PRDE,actvstrat=,0.013401, actvprof=,6.687964, id=,S02, PRDE,actvstrat=,0.084193, actvprof=,6.999083, id=,S03, PRDE,actvstrat=,0.243505, actvprof=,7.378261, id=,S04, PRDE,actvstrat=,0.015254, actvprof=,6.525459, id=,S05, PRDE,actvstrat=,0.957749, actvprof=,11.953388, id=,S06, PRDE,actvstrat=,0.434534, actvprof=,8.906081, id=,S07, PRDE,actvstrat=,-0.323201, actvprof=,4.069835, id=,S08, PRDE,actvstrat=,-0.960482, actvprof=,0.547793, id=,S09, PRDE,actvstrat=,-0.236567, actvprof=,4.065946, best_B_id=,B03, best_B_prof=,2.262563, best_B_strat=,-0.944844, best_S_id=,S05, best_S_prof=,11.953388, best_S_strat=,0.957749, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.959739, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365723, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.205166, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.343553, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.164626, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.996166, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.343697, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.643967, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.664132, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.311493, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.463648, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.959739, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.996166, 
