t=,1, id=,B00, PRDE,actvstrat=,0.084529, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.775835, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.648757, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.003681, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.433527, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.502590, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.980619, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.691348, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.005112, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.656182, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.638105, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.705454, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.461215, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.410550, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.804184, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.939015, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.742015, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.988866, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.355538, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.116313, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.084529, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.638105, 
t=,3600, id=,B00, PRDE,actvstrat=,0.084529, actvprof=,1.930502, id=,B01, PRDE,actvstrat=,-0.775835, actvprof=,2.972140, id=,B02, PRDE,actvstrat=,0.648757, actvprof=,2.493264, id=,B03, PRDE,actvstrat=,0.003681, actvprof=,1.891336, id=,B04, PRDE,actvstrat=,-0.433527, actvprof=,1.829116, id=,B05, PRDE,actvstrat=,-0.502590, actvprof=,1.945224, id=,B06, PRDE,actvstrat=,0.980619, actvprof=,1.133857, id=,B07, PRDE,actvstrat=,0.691348, actvprof=,2.538818, id=,B08, PRDE,actvstrat=,-0.005112, actvprof=,1.867726, id=,B09, PRDE,actvstrat=,-0.656182, actvprof=,2.242160, id=,S00, PRDE,actvstrat=,-0.638105, actvprof=,3.384628, id=,S01, PRDE,actvstrat=,-0.705454, actvprof=,3.166856, id=,S02, PRDE,actvstrat=,-0.461215, actvprof=,4.009611, id=,S03, PRDE,actvstrat=,0.410550, actvprof=,8.153385, id=,S04, PRDE,actvstrat=,-0.804184, actvprof=,2.112997, id=,S05, PRDE,actvstrat=,0.939015, actvprof=,10.591372, id=,S06, PRDE,actvstrat=,0.742015, actvprof=,9.963057, id=,S07, PRDE,actvstrat=,-0.988866, actvprof=,2.809089, id=,S08, PRDE,actvstrat=,0.355538, actvprof=,8.149774, id=,S09, PRDE,actvstrat=,-0.116313, actvprof=,5.612900, best_B_id=,B01, best_B_prof=,2.972140, best_B_strat=,-0.775835, best_S_id=,S05, best_S_prof=,10.591372, best_S_strat=,0.939015, 
t=,7200, id=,B00, PRDE,actvstrat=,0.636674, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.321311, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.623930, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.571502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.554868, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.664462, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.335581, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.632531, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.623226, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.815721, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.785349, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.522247, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.788097, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.552999, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.463377, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.390240, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.781727, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.015271, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.642048, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.622346, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.636674, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.785349, 
t=,10800, id=,B00, PRDE,actvstrat=,0.636674, actvprof=,1.105494, id=,B01, PRDE,actvstrat=,-0.321311, actvprof=,0.502194, id=,B02, PRDE,actvstrat=,0.623930, actvprof=,1.249653, id=,B03, PRDE,actvstrat=,0.571502, actvprof=,1.011888, id=,B04, PRDE,actvstrat=,-0.554868, actvprof=,0.489973, id=,B05, PRDE,actvstrat=,0.664462, actvprof=,1.150214, id=,B06, PRDE,actvstrat=,0.335581, actvprof=,0.909672, id=,B07, PRDE,actvstrat=,-0.632531, actvprof=,0.647464, id=,B08, PRDE,actvstrat=,0.623226, actvprof=,1.164658, id=,B09, PRDE,actvstrat=,0.815721, actvprof=,1.274374, id=,S00, PRDE,actvstrat=,-0.785349, actvprof=,1.980723, id=,S01, PRDE,actvstrat=,0.522247, actvprof=,9.905005, id=,S02, PRDE,actvstrat=,-0.788097, actvprof=,2.091550, id=,S03, PRDE,actvstrat=,-0.552999, actvprof=,4.691128, id=,S04, PRDE,actvstrat=,-0.463377, actvprof=,4.190878, id=,S05, PRDE,actvstrat=,-0.390240, actvprof=,4.261430, id=,S06, PRDE,actvstrat=,-0.781727, actvprof=,2.017388, id=,S07, PRDE,actvstrat=,-0.015271, actvprof=,6.751569, id=,S08, PRDE,actvstrat=,0.642048, actvprof=,10.816066, id=,S09, PRDE,actvstrat=,-0.622346, actvprof=,3.852008, best_B_id=,B09, best_B_prof=,1.274374, best_B_strat=,0.815721, best_S_id=,S08, best_S_prof=,10.816066, best_S_strat=,0.642048, 
t=,14400, id=,B00, PRDE,actvstrat=,0.105280, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.775835, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.427170, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.571502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.168043, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.498343, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.335581, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.173627, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.143407, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.497481, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.399623, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.580369, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.210558, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.576843, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.665200, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.991914, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.742015, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.868399, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.099405, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.094724, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.105280, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.399623, 
t=,18000, id=,B00, PRDE,actvstrat=,0.105280, actvprof=,3.422500, id=,B01, PRDE,actvstrat=,-0.775835, actvprof=,4.833889, id=,B02, PRDE,actvstrat=,0.427170, actvprof=,3.847778, id=,B03, PRDE,actvstrat=,0.571502, actvprof=,3.786667, id=,B04, PRDE,actvstrat=,0.168043, actvprof=,3.584167, id=,B05, PRDE,actvstrat=,-0.498343, actvprof=,3.853611, id=,B06, PRDE,actvstrat=,0.335581, actvprof=,4.008889, id=,B07, PRDE,actvstrat=,0.173627, actvprof=,3.555833, id=,B08, PRDE,actvstrat=,0.143407, actvprof=,3.499444, id=,B09, PRDE,actvstrat=,0.497481, actvprof=,3.986944, id=,S00, PRDE,actvstrat=,0.399623, actvprof=,6.211111, id=,S01, PRDE,actvstrat=,0.580369, actvprof=,7.373333, id=,S02, PRDE,actvstrat=,-0.210558, actvprof=,3.511667, id=,S03, PRDE,actvstrat=,0.576843, actvprof=,7.550278, id=,S04, PRDE,actvstrat=,0.665200, actvprof=,8.093333, id=,S05, PRDE,actvstrat=,0.991914, actvprof=,8.190278, id=,S06, PRDE,actvstrat=,0.742015, actvprof=,8.466944, id=,S07, PRDE,actvstrat=,0.868399, actvprof=,8.612222, id=,S08, PRDE,actvstrat=,-0.099405, actvprof=,4.021389, id=,S09, PRDE,actvstrat=,-0.094724, actvprof=,3.945278, best_B_id=,B01, best_B_prof=,4.833889, best_B_strat=,-0.775835, best_S_id=,S07, best_S_prof=,8.612222, best_S_strat=,0.868399, 
t=,21600, id=,B00, PRDE,actvstrat=,0.105280, actvprof=,3.487361, id=,B01, PRDE,actvstrat=,-0.775835, actvprof=,4.872639, id=,B02, PRDE,actvstrat=,0.427170, actvprof=,3.822500, id=,B03, PRDE,actvstrat=,0.571502, actvprof=,3.852083, id=,B04, PRDE,actvstrat=,0.168043, actvprof=,3.657500, id=,B05, PRDE,actvstrat=,-0.498343, actvprof=,3.829167, id=,B06, PRDE,actvstrat=,0.335581, actvprof=,4.000694, id=,B07, PRDE,actvstrat=,0.173627, actvprof=,3.511528, id=,B08, PRDE,actvstrat=,0.143407, actvprof=,3.525556, id=,B09, PRDE,actvstrat=,0.497481, actvprof=,3.918889, id=,S00, PRDE,actvstrat=,0.399623, actvprof=,6.327083, id=,S01, PRDE,actvstrat=,0.580369, actvprof=,7.278333, id=,S02, PRDE,actvstrat=,-0.210558, actvprof=,3.393056, id=,S03, PRDE,actvstrat=,0.576843, actvprof=,7.535139, id=,S04, PRDE,actvstrat=,0.665200, actvprof=,8.084583, id=,S05, PRDE,actvstrat=,0.991914, actvprof=,8.266111, id=,S06, PRDE,actvstrat=,0.742015, actvprof=,8.365000, id=,S07, PRDE,actvstrat=,0.868399, actvprof=,8.669028, id=,S08, PRDE,actvstrat=,-0.099405, actvprof=,4.129583, id=,S09, PRDE,actvstrat=,-0.094724, actvprof=,4.018611, best_B_id=,B01, best_B_prof=,4.872639, best_B_strat=,-0.775835, best_S_id=,S07, best_S_prof=,8.669028, best_S_strat=,0.868399, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.815000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.688333, id=,B02, PRDE,actvstrat=,0.762653, actvprof=,1.304722, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.814444, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.725556, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.687778, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.565556, id=,B07, PRDE,actvstrat=,-0.517962, actvprof=,1.356944, id=,B08, PRDE,actvstrat=,-0.637418, actvprof=,1.500556, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.635833, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.369444, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,13.385278, id=,S02, PRDE,actvstrat=,0.058862, actvprof=,8.162500, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.950000, id=,S04, PRDE,actvstrat=,-0.261180, actvprof=,5.005556, id=,S05, PRDE,actvstrat=,0.920983, actvprof=,13.440556, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,13.367778, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.618611, id=,S08, PRDE,actvstrat=,-0.547291, actvprof=,4.422222, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,13.427778, best_B_id=,B08, best_B_prof=,1.500556, best_B_strat=,-0.637418, best_S_id=,S05, best_S_prof=,13.440556, best_S_strat=,0.920983, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.868056, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.657500, id=,B02, PRDE,actvstrat=,0.762653, actvprof=,1.394861, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.748611, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.835278, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.682917, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.592222, id=,B07, PRDE,actvstrat=,-0.517962, actvprof=,1.284861, id=,B08, PRDE,actvstrat=,-0.637418, actvprof=,1.305278, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.651250, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.372361, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,13.386667, id=,S02, PRDE,actvstrat=,0.058862, actvprof=,8.328472, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,5.040556, id=,S04, PRDE,actvstrat=,-0.261180, actvprof=,5.131528, id=,S05, PRDE,actvstrat=,0.920983, actvprof=,13.617778, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,13.347083, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,5.301944, id=,S08, PRDE,actvstrat=,-0.547291, actvprof=,4.567222, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,13.396667, best_B_id=,B02, best_B_prof=,1.394861, best_B_strat=,0.762653, best_S_id=,S05, best_S_prof=,13.617778, best_S_strat=,0.920983, 
t=,32400, id=,B00, PRDE,actvstrat=,0.105280, actvprof=,1.431171, id=,B01, PRDE,actvstrat=,0.269897, actvprof=,1.815076, id=,B02, PRDE,actvstrat=,0.798727, actvprof=,2.136756, id=,B03, PRDE,actvstrat=,0.441941, actvprof=,1.937859, id=,B04, PRDE,actvstrat=,0.836811, actvprof=,2.003695, id=,B05, PRDE,actvstrat=,-0.628746, actvprof=,1.871745, id=,B06, PRDE,actvstrat=,-0.171965, actvprof=,1.379224, id=,B07, PRDE,actvstrat=,0.460112, actvprof=,1.933414, id=,B08, PRDE,actvstrat=,0.657046, actvprof=,2.023140, id=,B09, PRDE,actvstrat=,-0.411126, actvprof=,1.395891, id=,S00, PRDE,actvstrat=,-0.265449, actvprof=,4.010167, id=,S01, PRDE,actvstrat=,-0.989245, actvprof=,2.027029, id=,S02, PRDE,actvstrat=,-0.825408, actvprof=,1.480339, id=,S03, PRDE,actvstrat=,-0.941065, actvprof=,0.733086, id=,S04, PRDE,actvstrat=,0.599778, actvprof=,9.405114, id=,S05, PRDE,actvstrat=,0.590822, actvprof=,9.350390, id=,S06, PRDE,actvstrat=,-0.028737, actvprof=,5.912191, id=,S07, PRDE,actvstrat=,0.778184, actvprof=,10.635443, id=,S08, PRDE,actvstrat=,0.109838, actvprof=,6.456936, id=,S09, PRDE,actvstrat=,0.851821, actvprof=,11.109074, best_B_id=,B02, best_B_prof=,2.136756, best_B_strat=,0.798727, best_S_id=,S09, best_S_prof=,11.109074, best_S_strat=,0.851821, 
t=,36000, id=,B00, PRDE,actvstrat=,0.105280, actvprof=,1.539199, id=,B01, PRDE,actvstrat=,0.269897, actvprof=,1.818232, id=,B02, PRDE,actvstrat=,0.798727, actvprof=,2.157545, id=,B03, PRDE,actvstrat=,0.441941, actvprof=,1.993236, id=,B04, PRDE,actvstrat=,0.836811, actvprof=,2.030459, id=,B05, PRDE,actvstrat=,-0.628746, actvprof=,1.894345, id=,B06, PRDE,actvstrat=,-0.171965, actvprof=,1.348917, id=,B07, PRDE,actvstrat=,0.460112, actvprof=,1.911845, id=,B08, PRDE,actvstrat=,0.657046, actvprof=,2.039487, id=,B09, PRDE,actvstrat=,-0.411126, actvprof=,1.413779, id=,S00, PRDE,actvstrat=,-0.265449, actvprof=,3.875636, id=,S01, PRDE,actvstrat=,-0.989245, actvprof=,2.006708, id=,S02, PRDE,actvstrat=,-0.825408, actvprof=,1.487114, id=,S03, PRDE,actvstrat=,-0.941065, actvprof=,0.638486, id=,S04, PRDE,actvstrat=,0.599778, actvprof=,9.249220, id=,S05, PRDE,actvstrat=,0.590822, actvprof=,9.445891, id=,S06, PRDE,actvstrat=,-0.028737, actvprof=,5.982625, id=,S07, PRDE,actvstrat=,0.778184, actvprof=,10.537164, id=,S08, PRDE,actvstrat=,0.109838, actvprof=,6.517636, id=,S09, PRDE,actvstrat=,0.851821, actvprof=,11.025230, best_B_id=,B02, best_B_prof=,2.157545, best_B_strat=,0.798727, best_S_id=,S09, best_S_prof=,11.025230, best_S_strat=,0.851821, 
