t=,1, id=,B00, PRDE,actvstrat=,0.959446, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.823055, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.864370, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.559119, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.053266, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.811036, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.480724, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.309431, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.765623, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.540744, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.651818, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.406771, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.807395, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.093370, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.113969, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.972316, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.421144, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.576681, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.848100, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.216312, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.959446, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.651818, 
t=,3600, id=,B00, PRDE,actvstrat=,0.959446, actvprof=,1.665278, id=,B01, PRDE,actvstrat=,0.823055, actvprof=,2.674722, id=,B02, PRDE,actvstrat=,-0.864370, actvprof=,3.661389, id=,B03, PRDE,actvstrat=,-0.559119, actvprof=,2.788333, id=,B04, PRDE,actvstrat=,-0.053266, actvprof=,2.406389, id=,B05, PRDE,actvstrat=,0.811036, actvprof=,2.661667, id=,B06, PRDE,actvstrat=,0.480724, actvprof=,2.902500, id=,B07, PRDE,actvstrat=,-0.309431, actvprof=,2.455556, id=,B08, PRDE,actvstrat=,-0.765623, actvprof=,3.648056, id=,B09, PRDE,actvstrat=,0.540744, actvprof=,2.948056, id=,S00, PRDE,actvstrat=,0.651818, actvprof=,8.844722, id=,S01, PRDE,actvstrat=,0.406771, actvprof=,7.980000, id=,S02, PRDE,actvstrat=,-0.807395, actvprof=,1.533611, id=,S03, PRDE,actvstrat=,0.093370, actvprof=,6.457778, id=,S04, PRDE,actvstrat=,0.113969, actvprof=,6.469722, id=,S05, PRDE,actvstrat=,0.972316, actvprof=,10.072778, id=,S06, PRDE,actvstrat=,-0.421144, actvprof=,3.198889, id=,S07, PRDE,actvstrat=,0.576681, actvprof=,8.977222, id=,S08, PRDE,actvstrat=,0.848100, actvprof=,10.321111, id=,S09, PRDE,actvstrat=,0.216312, actvprof=,7.154444, best_B_id=,B02, best_B_prof=,3.661389, best_B_strat=,-0.864370, best_S_id=,S08, best_S_prof=,10.321111, best_S_strat=,0.848100, 
t=,7200, id=,B00, PRDE,actvstrat=,0.296874, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.238689, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.080984, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.133990, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.582682, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.182466, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.636599, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.934709, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.352779, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.836559, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.749578, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.782231, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.041289, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.074441, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.050652, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.742686, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.203149, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.786311, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.279528, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.896760, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.296874, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.749578, 
t=,10800, id=,B00, PRDE,actvstrat=,0.296874, actvprof=,1.739976, id=,B01, PRDE,actvstrat=,-0.238689, actvprof=,1.607478, id=,B02, PRDE,actvstrat=,0.080984, actvprof=,1.510812, id=,B03, PRDE,actvstrat=,-0.133990, actvprof=,1.453869, id=,B04, PRDE,actvstrat=,0.582682, actvprof=,2.193581, id=,B05, PRDE,actvstrat=,-0.182466, actvprof=,1.509423, id=,B06, PRDE,actvstrat=,0.636599, actvprof=,2.136081, id=,B07, PRDE,actvstrat=,-0.934709, actvprof=,2.493299, id=,B08, PRDE,actvstrat=,0.352779, actvprof=,1.931640, id=,B09, PRDE,actvstrat=,0.836559, actvprof=,1.909418, id=,S00, PRDE,actvstrat=,-0.749578, actvprof=,2.070527, id=,S01, PRDE,actvstrat=,-0.782231, actvprof=,1.343870, id=,S02, PRDE,actvstrat=,0.041289, actvprof=,6.011305, id=,S03, PRDE,actvstrat=,-0.074441, actvprof=,5.082985, id=,S04, PRDE,actvstrat=,-0.050652, actvprof=,5.359926, id=,S05, PRDE,actvstrat=,0.742686, actvprof=,10.021805, id=,S06, PRDE,actvstrat=,-0.203149, actvprof=,3.534395, id=,S07, PRDE,actvstrat=,0.786311, actvprof=,10.465688, id=,S08, PRDE,actvstrat=,-0.279528, actvprof=,3.728004, id=,S09, PRDE,actvstrat=,0.896760, actvprof=,10.917071, best_B_id=,B07, best_B_prof=,2.493299, best_B_strat=,-0.934709, best_S_id=,S09, best_S_prof=,10.917071, best_S_strat=,0.896760, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.581059, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.255789, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.766074, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.141700, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.913499, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.630067, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.534197, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.506594, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.369153, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.702484, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.811020, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.410477, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.346848, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.570661, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.172663, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.389915, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.207707, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.518126, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.963197, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.896760, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.581059, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.811020, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.581059, actvprof=,1.468056, id=,B01, PRDE,actvstrat=,-0.255789, actvprof=,1.365278, id=,B02, PRDE,actvstrat=,0.766074, actvprof=,2.129167, id=,B03, PRDE,actvstrat=,0.141700, actvprof=,1.421111, id=,B04, PRDE,actvstrat=,-0.913499, actvprof=,2.848056, id=,B05, PRDE,actvstrat=,-0.630067, actvprof=,1.714444, id=,B06, PRDE,actvstrat=,0.534197, actvprof=,2.057222, id=,B07, PRDE,actvstrat=,0.506594, actvprof=,1.941667, id=,B08, PRDE,actvstrat=,0.369153, actvprof=,1.835833, id=,B09, PRDE,actvstrat=,-0.702484, actvprof=,1.872778, id=,S00, PRDE,actvstrat=,-0.811020, actvprof=,1.212222, id=,S01, PRDE,actvstrat=,0.410477, actvprof=,7.940000, id=,S02, PRDE,actvstrat=,-0.346848, actvprof=,3.148611, id=,S03, PRDE,actvstrat=,-0.570661, actvprof=,2.845556, id=,S04, PRDE,actvstrat=,0.172663, actvprof=,6.442778, id=,S05, PRDE,actvstrat=,-0.389915, actvprof=,3.204167, id=,S06, PRDE,actvstrat=,-0.207707, actvprof=,3.941111, id=,S07, PRDE,actvstrat=,-0.518126, actvprof=,2.745833, id=,S08, PRDE,actvstrat=,0.963197, actvprof=,10.710278, id=,S09, PRDE,actvstrat=,0.896760, actvprof=,10.666944, best_B_id=,B04, best_B_prof=,2.848056, best_B_strat=,-0.913499, best_S_id=,S08, best_S_prof=,10.710278, best_S_strat=,0.963197, 
t=,21600, id=,B00, PRDE,actvstrat=,0.076874, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.468964, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.998024, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.630341, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.214941, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.448078, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.656225, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.918049, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.942517, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.577872, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.607079, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.960970, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.962497, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.076874, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,0.076874, actvprof=,3.578939, id=,B01, PRDE,actvstrat=,-0.468964, actvprof=,3.660884, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,2.006695, id=,B03, PRDE,actvstrat=,-0.998024, actvprof=,3.087265, id=,B04, PRDE,actvstrat=,0.630341, actvprof=,3.866443, id=,B05, PRDE,actvstrat=,0.214941, actvprof=,3.769219, id=,B06, PRDE,actvstrat=,-0.448078, actvprof=,3.877554, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.938082, id=,B08, PRDE,actvstrat=,0.656225, actvprof=,3.798942, id=,B09, PRDE,actvstrat=,-0.918049, actvprof=,3.620050, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.031250, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.040973, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.160419, id=,S03, PRDE,actvstrat=,-0.942517, actvprof=,1.104460, id=,S04, PRDE,actvstrat=,0.577872, actvprof=,8.277059, id=,S05, PRDE,actvstrat=,0.607079, actvprof=,8.837901, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,10.213475, id=,S07, PRDE,actvstrat=,-0.960970, actvprof=,0.843067, id=,S08, PRDE,actvstrat=,0.962497, actvprof=,10.172364, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,2.071973, best_B_id=,B06, best_B_prof=,3.877554, best_B_strat=,-0.448078, best_S_id=,S06, best_S_prof=,10.213475, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.076874, actvprof=,3.712222, id=,B01, PRDE,actvstrat=,-0.468964, actvprof=,4.011667, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,2.277500, id=,B03, PRDE,actvstrat=,-0.998024, actvprof=,3.267500, id=,B04, PRDE,actvstrat=,0.630341, actvprof=,4.126667, id=,B05, PRDE,actvstrat=,0.214941, actvprof=,4.024444, id=,B06, PRDE,actvstrat=,-0.448078, actvprof=,4.152778, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.085139, id=,B08, PRDE,actvstrat=,0.656225, actvprof=,4.191806, id=,B09, PRDE,actvstrat=,-0.918049, actvprof=,3.834583, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.769444, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.593056, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,9.760417, id=,S03, PRDE,actvstrat=,-0.942517, actvprof=,1.111806, id=,S04, PRDE,actvstrat=,0.577872, actvprof=,8.423056, id=,S05, PRDE,actvstrat=,0.607079, actvprof=,8.597083, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,9.778333, id=,S07, PRDE,actvstrat=,-0.960970, actvprof=,0.936806, id=,S08, PRDE,actvstrat=,0.962497, actvprof=,9.855694, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,2.223333, best_B_id=,B08, best_B_prof=,4.191806, best_B_strat=,0.656225, best_S_id=,S08, best_S_prof=,9.855694, best_S_strat=,0.962497, 
t=,32400, id=,B00, PRDE,actvstrat=,0.360546, actvprof=,2.909803, id=,B01, PRDE,actvstrat=,-0.171963, actvprof=,2.598961, id=,B02, PRDE,actvstrat=,-0.145336, actvprof=,2.609239, id=,B03, PRDE,actvstrat=,-0.145038, actvprof=,2.499792, id=,B04, PRDE,actvstrat=,-0.265915, actvprof=,2.636184, id=,B05, PRDE,actvstrat=,0.214941, actvprof=,2.737576, id=,B06, PRDE,actvstrat=,-0.608680, actvprof=,3.211200, id=,B07, PRDE,actvstrat=,0.001232, actvprof=,2.512848, id=,B08, PRDE,actvstrat=,-0.384897, actvprof=,2.480902, id=,B09, PRDE,actvstrat=,0.836559, actvprof=,2.828412, id=,S00, PRDE,actvstrat=,-0.622636, actvprof=,2.298675, id=,S01, PRDE,actvstrat=,0.285376, actvprof=,6.343232, id=,S02, PRDE,actvstrat=,0.921427, actvprof=,9.372205, id=,S03, PRDE,actvstrat=,0.340841, actvprof=,6.464068, id=,S04, PRDE,actvstrat=,-0.893740, actvprof=,0.677797, id=,S05, PRDE,actvstrat=,0.742686, actvprof=,8.677185, id=,S06, PRDE,actvstrat=,-0.763247, actvprof=,1.611434, id=,S07, PRDE,actvstrat=,0.554287, actvprof=,7.847718, id=,S08, PRDE,actvstrat=,0.619187, actvprof=,7.826884, id=,S09, PRDE,actvstrat=,-0.207972, actvprof=,3.058141, best_B_id=,B06, best_B_prof=,3.211200, best_B_strat=,-0.608680, best_S_id=,S02, best_S_prof=,9.372205, best_S_strat=,0.921427, 
t=,36000, id=,B00, PRDE,actvstrat=,0.360546, actvprof=,2.950458, id=,B01, PRDE,actvstrat=,-0.171963, actvprof=,2.603231, id=,B02, PRDE,actvstrat=,-0.145336, actvprof=,2.495312, id=,B03, PRDE,actvstrat=,-0.145038, actvprof=,2.597397, id=,B04, PRDE,actvstrat=,-0.265915, actvprof=,2.516285, id=,B05, PRDE,actvstrat=,0.214941, actvprof=,2.691010, id=,B06, PRDE,actvstrat=,-0.608680, actvprof=,3.137266, id=,B07, PRDE,actvstrat=,0.001232, actvprof=,2.571008, id=,B08, PRDE,actvstrat=,-0.384897, actvprof=,2.556563, id=,B09, PRDE,actvstrat=,0.836559, actvprof=,2.833789, id=,S00, PRDE,actvstrat=,-0.622636, actvprof=,2.313921, id=,S01, PRDE,actvstrat=,0.285376, actvprof=,6.093418, id=,S02, PRDE,actvstrat=,0.921427, actvprof=,9.298324, id=,S03, PRDE,actvstrat=,0.340841, actvprof=,6.479673, id=,S04, PRDE,actvstrat=,-0.893740, actvprof=,0.600286, id=,S05, PRDE,actvstrat=,0.742686, actvprof=,8.691648, id=,S06, PRDE,actvstrat=,-0.763247, actvprof=,1.653634, id=,S07, PRDE,actvstrat=,0.554287, actvprof=,7.765386, id=,S08, PRDE,actvstrat=,0.619187, actvprof=,7.868026, id=,S09, PRDE,actvstrat=,-0.207972, actvprof=,3.051153, best_B_id=,B06, best_B_prof=,3.137266, best_B_strat=,-0.608680, best_S_id=,S02, best_S_prof=,9.298324, best_S_strat=,0.921427, 
