t=,3600, id=,B00, PRDE,actvstrat=,-0.998151, actvprof=,4.918543, id=,B01, PRDE,actvstrat=,-0.169157, actvprof=,3.973834, id=,B02, PRDE,actvstrat=,0.391626, actvprof=,4.447994, id=,B03, PRDE,actvstrat=,-0.773386, actvprof=,4.966598, id=,B04, PRDE,actvstrat=,0.645752, actvprof=,4.392995, id=,B05, PRDE,actvstrat=,-0.680975, actvprof=,4.496882, id=,B06, PRDE,actvstrat=,-0.376114, actvprof=,4.018000, id=,B07, PRDE,actvstrat=,0.039947, actvprof=,3.867724, id=,B08, PRDE,actvstrat=,-0.197127, actvprof=,3.897168, id=,B09, PRDE,actvstrat=,0.266208, actvprof=,4.422994, id=,S00, PRDE,actvstrat=,0.945483, actvprof=,7.875446, id=,S01, PRDE,actvstrat=,-0.675263, actvprof=,1.915251, id=,S02, PRDE,actvstrat=,-0.112397, actvprof=,3.215511, id=,S03, PRDE,actvstrat=,-0.985155, actvprof=,3.054124, id=,S04, PRDE,actvstrat=,0.972499, actvprof=,7.656283, id=,S05, PRDE,actvstrat=,0.827016, actvprof=,7.707393, id=,S06, PRDE,actvstrat=,0.430192, actvprof=,5.809086, id=,S07, PRDE,actvstrat=,0.781152, actvprof=,7.807669, id=,S08, PRDE,actvstrat=,0.701542, actvprof=,7.251288, id=,S09, PRDE,actvstrat=,0.322991, actvprof=,5.370481, best_B_id=,B03, best_B_prof=,4.966598, best_B_strat=,-0.773386, best_S_id=,S00, best_S_prof=,7.875446, best_S_strat=,0.945483, 
t=,7200, id=,B00, PRDE,actvstrat=,0.255503, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.815642, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.926234, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.440874, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.881012, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.210940, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.508168, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.626322, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.767250, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.751894, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.436800, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.498142, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.366615, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.265235, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.457716, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.556006, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.481195, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.614631, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.699329, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.023322, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.255503, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.436800, 
t=,10800, id=,B00, PRDE,actvstrat=,0.255503, actvprof=,1.346426, id=,B01, PRDE,actvstrat=,-0.815642, actvprof=,2.098392, id=,B02, PRDE,actvstrat=,0.926234, actvprof=,1.241146, id=,B03, PRDE,actvstrat=,-0.440874, actvprof=,1.209756, id=,B04, PRDE,actvstrat=,0.881012, actvprof=,1.586433, id=,B05, PRDE,actvstrat=,0.210940, actvprof=,1.610045, id=,B06, PRDE,actvstrat=,0.508168, actvprof=,1.580599, id=,B07, PRDE,actvstrat=,-0.626322, actvprof=,1.463096, id=,B08, PRDE,actvstrat=,0.767250, actvprof=,1.890330, id=,B09, PRDE,actvstrat=,0.751894, actvprof=,1.976999, id=,S00, PRDE,actvstrat=,0.436800, actvprof=,8.794411, id=,S01, PRDE,actvstrat=,0.498142, actvprof=,8.989972, id=,S02, PRDE,actvstrat=,-0.366615, actvprof=,4.025667, id=,S03, PRDE,actvstrat=,-0.265235, actvprof=,4.294008, id=,S04, PRDE,actvstrat=,0.457716, actvprof=,9.088030, id=,S05, PRDE,actvstrat=,0.556006, actvprof=,9.747215, id=,S06, PRDE,actvstrat=,-0.481195, actvprof=,3.448707, id=,S07, PRDE,actvstrat=,0.614631, actvprof=,10.141393, id=,S08, PRDE,actvstrat=,-0.699329, actvprof=,2.648962, id=,S09, PRDE,actvstrat=,-0.023322, actvprof=,6.487402, best_B_id=,B01, best_B_prof=,2.098392, best_B_strat=,-0.815642, best_S_id=,S07, best_S_prof=,10.141393, best_S_strat=,0.614631, 
t=,14400, id=,B00, PRDE,actvstrat=,0.255503, actvprof=,1.410168, id=,B01, PRDE,actvstrat=,-0.815642, actvprof=,2.008653, id=,B02, PRDE,actvstrat=,0.926234, actvprof=,1.235026, id=,B03, PRDE,actvstrat=,-0.440874, actvprof=,1.177108, id=,B04, PRDE,actvstrat=,0.881012, actvprof=,1.570449, id=,B05, PRDE,actvstrat=,0.210940, actvprof=,1.478920, id=,B06, PRDE,actvstrat=,0.508168, actvprof=,1.668646, id=,B07, PRDE,actvstrat=,-0.626322, actvprof=,1.383640, id=,B08, PRDE,actvstrat=,0.767250, actvprof=,1.887817, id=,B09, PRDE,actvstrat=,0.751894, actvprof=,1.969902, id=,S00, PRDE,actvstrat=,0.436800, actvprof=,8.775183, id=,S01, PRDE,actvstrat=,0.498142, actvprof=,8.838379, id=,S02, PRDE,actvstrat=,-0.366615, actvprof=,3.979944, id=,S03, PRDE,actvstrat=,-0.265235, actvprof=,4.145920, id=,S04, PRDE,actvstrat=,0.457716, actvprof=,9.002271, id=,S05, PRDE,actvstrat=,0.556006, actvprof=,9.730064, id=,S06, PRDE,actvstrat=,-0.481195, actvprof=,3.538963, id=,S07, PRDE,actvstrat=,0.614631, actvprof=,9.879928, id=,S08, PRDE,actvstrat=,-0.699329, actvprof=,2.593943, id=,S09, PRDE,actvstrat=,-0.023322, actvprof=,6.282353, best_B_id=,B01, best_B_prof=,2.008653, best_B_strat=,-0.815642, best_S_id=,S07, best_S_prof=,9.879928, best_S_strat=,0.614631, 
t=,18000, id=,B00, PRDE,actvstrat=,0.987616, actvprof=,0.750629, id=,B01, PRDE,actvstrat=,-0.363497, actvprof=,1.458475, id=,B02, PRDE,actvstrat=,0.643646, actvprof=,2.176601, id=,B03, PRDE,actvstrat=,-0.562093, actvprof=,1.556262, id=,B04, PRDE,actvstrat=,-0.676779, actvprof=,1.978248, id=,B05, PRDE,actvstrat=,-0.633576, actvprof=,1.804064, id=,B06, PRDE,actvstrat=,-0.474784, actvprof=,1.775173, id=,B07, PRDE,actvstrat=,-0.305453, actvprof=,1.499590, id=,B08, PRDE,actvstrat=,-0.080467, actvprof=,1.703777, id=,B09, PRDE,actvstrat=,-0.692119, actvprof=,2.109927, id=,S00, PRDE,actvstrat=,0.075283, actvprof=,5.817510, id=,S01, PRDE,actvstrat=,-0.828114, actvprof=,0.968427, id=,S02, PRDE,actvstrat=,0.100887, actvprof=,6.537302, id=,S03, PRDE,actvstrat=,-0.330028, actvprof=,3.333102, id=,S04, PRDE,actvstrat=,-0.050716, actvprof=,4.794355, id=,S05, PRDE,actvstrat=,-0.479756, actvprof=,3.031406, id=,S06, PRDE,actvstrat=,-0.745765, actvprof=,1.562930, id=,S07, PRDE,actvstrat=,0.368267, actvprof=,7.240426, id=,S08, PRDE,actvstrat=,-0.654397, actvprof=,2.131874, id=,S09, PRDE,actvstrat=,0.950738, actvprof=,10.331560, best_B_id=,B02, best_B_prof=,2.176601, best_B_strat=,0.643646, best_S_id=,S09, best_S_prof=,10.331560, best_S_strat=,0.950738, 
t=,21600, id=,B00, PRDE,actvstrat=,0.987616, actvprof=,0.755731, id=,B01, PRDE,actvstrat=,-0.363497, actvprof=,1.462710, id=,B02, PRDE,actvstrat=,0.643646, actvprof=,2.327058, id=,B03, PRDE,actvstrat=,-0.562093, actvprof=,1.679804, id=,B04, PRDE,actvstrat=,-0.676779, actvprof=,1.840645, id=,B05, PRDE,actvstrat=,-0.633576, actvprof=,1.822727, id=,B06, PRDE,actvstrat=,-0.474784, actvprof=,1.676887, id=,B07, PRDE,actvstrat=,-0.305453, actvprof=,1.647302, id=,B08, PRDE,actvstrat=,-0.080467, actvprof=,1.572576, id=,B09, PRDE,actvstrat=,-0.692119, actvprof=,2.104130, id=,S00, PRDE,actvstrat=,0.075283, actvprof=,5.883064, id=,S01, PRDE,actvstrat=,-0.828114, actvprof=,0.948935, id=,S02, PRDE,actvstrat=,0.100887, actvprof=,6.268638, id=,S03, PRDE,actvstrat=,-0.330028, actvprof=,3.139736, id=,S04, PRDE,actvstrat=,-0.050716, actvprof=,4.608974, id=,S05, PRDE,actvstrat=,-0.479756, actvprof=,3.038620, id=,S06, PRDE,actvstrat=,-0.745765, actvprof=,1.809810, id=,S07, PRDE,actvstrat=,0.368267, actvprof=,7.103956, id=,S08, PRDE,actvstrat=,-0.654397, actvprof=,2.454425, id=,S09, PRDE,actvstrat=,0.950738, actvprof=,10.301751, best_B_id=,B02, best_B_prof=,2.327058, best_B_strat=,0.643646, best_S_id=,S09, best_S_prof=,10.301751, best_S_strat=,0.950738, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.684721, actvprof=,1.660740, id=,B01, PRDE,actvstrat=,-0.192430, actvprof=,1.596011, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.770752, id=,B03, PRDE,actvstrat=,-0.592619, actvprof=,1.628792, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.816313, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.294977, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.336649, id=,B07, PRDE,actvstrat=,-0.851233, actvprof=,1.924658, id=,B08, PRDE,actvstrat=,-0.301219, actvprof=,1.530726, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.899656, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.007334, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.907045, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.799644, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.370986, id=,S04, PRDE,actvstrat=,-0.207910, actvprof=,3.628737, id=,S05, PRDE,actvstrat=,-0.224373, actvprof=,3.655128, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.173464, id=,S07, PRDE,actvstrat=,-0.532889, actvprof=,3.254806, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.364596, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,6.254862, best_B_id=,B06, best_B_prof=,2.336649, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.007334, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.684721, actvprof=,1.592022, id=,B01, PRDE,actvstrat=,-0.192430, actvprof=,1.567576, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,1.741196, id=,B03, PRDE,actvstrat=,-0.592619, actvprof=,1.604245, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.745363, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.252054, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.341364, id=,B07, PRDE,actvstrat=,-0.851233, actvprof=,1.955234, id=,B08, PRDE,actvstrat=,-0.301219, actvprof=,1.393540, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.768419, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.016924, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,11.086094, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.548929, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.311001, id=,S04, PRDE,actvstrat=,-0.207910, actvprof=,3.977832, id=,S05, PRDE,actvstrat=,-0.224373, actvprof=,3.626565, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.318085, id=,S07, PRDE,actvstrat=,-0.532889, actvprof=,3.309050, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.297806, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,6.439619, best_B_id=,B06, best_B_prof=,2.341364, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,11.086094, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.684721, actvprof=,2.069674, id=,B01, PRDE,actvstrat=,0.547631, actvprof=,2.166352, id=,B02, PRDE,actvstrat=,-0.703949, actvprof=,2.056062, id=,B03, PRDE,actvstrat=,-0.595214, actvprof=,1.588788, id=,B04, PRDE,actvstrat=,0.964094, actvprof=,1.205967, id=,B05, PRDE,actvstrat=,-0.537750, actvprof=,1.576842, id=,B06, PRDE,actvstrat=,-0.593729, actvprof=,1.769641, id=,B07, PRDE,actvstrat=,0.039947, actvprof=,1.674631, id=,B08, PRDE,actvstrat=,-0.680807, actvprof=,2.115791, id=,B09, PRDE,actvstrat=,0.641707, actvprof=,2.445827, id=,S00, PRDE,actvstrat=,0.380293, actvprof=,7.613624, id=,S01, PRDE,actvstrat=,0.189171, actvprof=,6.318202, id=,S02, PRDE,actvstrat=,0.379846, actvprof=,7.376931, id=,S03, PRDE,actvstrat=,-0.237084, actvprof=,3.410101, id=,S04, PRDE,actvstrat=,-0.469845, actvprof=,3.097011, id=,S05, PRDE,actvstrat=,-0.903230, actvprof=,0.450606, id=,S06, PRDE,actvstrat=,-0.540475, actvprof=,2.995611, id=,S07, PRDE,actvstrat=,0.760325, actvprof=,9.812479, id=,S08, PRDE,actvstrat=,-0.528221, actvprof=,3.108123, id=,S09, PRDE,actvstrat=,0.443586, actvprof=,8.088954, best_B_id=,B09, best_B_prof=,2.445827, best_B_strat=,0.641707, best_S_id=,S07, best_S_prof=,9.812479, best_S_strat=,0.760325, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.684721, actvprof=,2.026238, id=,B01, PRDE,actvstrat=,0.547631, actvprof=,2.186248, id=,B02, PRDE,actvstrat=,-0.703949, actvprof=,2.023043, id=,B03, PRDE,actvstrat=,-0.595214, actvprof=,1.612184, id=,B04, PRDE,actvstrat=,0.964094, actvprof=,1.216326, id=,B05, PRDE,actvstrat=,-0.537750, actvprof=,1.577737, id=,B06, PRDE,actvstrat=,-0.593729, actvprof=,1.688300, id=,B07, PRDE,actvstrat=,0.039947, actvprof=,1.640241, id=,B08, PRDE,actvstrat=,-0.680807, actvprof=,2.176525, id=,B09, PRDE,actvstrat=,0.641707, actvprof=,2.437097, id=,S00, PRDE,actvstrat=,0.380293, actvprof=,7.425047, id=,S01, PRDE,actvstrat=,0.189171, actvprof=,6.446514, id=,S02, PRDE,actvstrat=,0.379846, actvprof=,7.442965, id=,S03, PRDE,actvstrat=,-0.237084, actvprof=,3.368127, id=,S04, PRDE,actvstrat=,-0.469845, actvprof=,3.091165, id=,S05, PRDE,actvstrat=,-0.903230, actvprof=,0.436138, id=,S06, PRDE,actvstrat=,-0.540475, actvprof=,2.879624, id=,S07, PRDE,actvstrat=,0.760325, actvprof=,9.809363, id=,S08, PRDE,actvstrat=,-0.528221, actvprof=,3.025606, id=,S09, PRDE,actvstrat=,0.443586, actvprof=,7.940357, best_B_id=,B09, best_B_prof=,2.437097, best_B_strat=,0.641707, best_S_id=,S07, best_S_prof=,9.809363, best_S_strat=,0.760325, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.923171, id=,B01, PRDE,actvstrat=,-0.564041, actvprof=,1.270714, id=,B02, PRDE,actvstrat=,0.137832, actvprof=,1.130141, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.513120, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.817324, id=,B05, PRDE,actvstrat=,-0.161489, actvprof=,1.087914, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.782042, id=,B07, PRDE,actvstrat=,0.047067, actvprof=,0.909003, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.476448, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.423108, id=,S00, PRDE,actvstrat=,-0.291770, actvprof=,5.460127, id=,S01, PRDE,actvstrat=,-0.638991, actvprof=,4.118848, id=,S02, PRDE,actvstrat=,0.274182, actvprof=,9.398397, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,13.422789, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,13.601978, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,13.256379, id=,S06, PRDE,actvstrat=,-0.208630, actvprof=,5.250379, id=,S07, PRDE,actvstrat=,-0.178033, actvprof=,5.549860, id=,S08, PRDE,actvstrat=,-0.462115, actvprof=,4.724202, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,2.628106, best_B_id=,B01, best_B_prof=,1.270714, best_B_strat=,-0.564041, best_S_id=,S04, best_S_prof=,13.601978, best_S_strat=,1.000000, 
