t=,1, id=,B00, PRDE,actvstrat=,-0.384286, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.288365, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.520614, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.856098, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.234410, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.897361, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.042668, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.334160, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.002779, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.950178, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.783750, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.423492, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.973387, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.011017, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.001486, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.704847, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.174190, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.071363, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.163545, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.482802, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.384286, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.783750, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.384286, actvprof=,1.546389, id=,B01, PRDE,actvstrat=,0.288365, actvprof=,1.945556, id=,B02, PRDE,actvstrat=,-0.520614, actvprof=,1.683611, id=,B03, PRDE,actvstrat=,-0.856098, actvprof=,2.689167, id=,B04, PRDE,actvstrat=,0.234410, actvprof=,1.871944, id=,B05, PRDE,actvstrat=,0.897361, actvprof=,2.038056, id=,B06, PRDE,actvstrat=,0.042668, actvprof=,1.839722, id=,B07, PRDE,actvstrat=,-0.334160, actvprof=,1.540833, id=,B08, PRDE,actvstrat=,0.002779, actvprof=,1.827500, id=,B09, PRDE,actvstrat=,0.950178, actvprof=,1.450000, id=,S00, PRDE,actvstrat=,0.783750, actvprof=,10.476667, id=,S01, PRDE,actvstrat=,-0.423492, actvprof=,3.743611, id=,S02, PRDE,actvstrat=,-0.973387, actvprof=,1.979444, id=,S03, PRDE,actvstrat=,-0.011017, actvprof=,6.137778, id=,S04, PRDE,actvstrat=,0.001486, actvprof=,6.752778, id=,S05, PRDE,actvstrat=,-0.704847, actvprof=,3.191389, id=,S06, PRDE,actvstrat=,-0.174190, actvprof=,5.087500, id=,S07, PRDE,actvstrat=,-0.071363, actvprof=,5.677500, id=,S08, PRDE,actvstrat=,-0.163545, actvprof=,4.857500, id=,S09, PRDE,actvstrat=,0.482802, actvprof=,8.329722, best_B_id=,B03, best_B_prof=,2.689167, best_B_strat=,-0.856098, best_S_id=,S00, best_S_prof=,10.476667, best_S_strat=,0.783750, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.588459, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.590627, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.924444, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.981374, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.747096, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.477414, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.031564, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.833341, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.358124, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.143195, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.392840, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.803194, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.057464, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.196322, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.007199, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.869377, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.406240, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.486928, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.405510, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.792593, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.588459, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.392840, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.588459, actvprof=,0.856365, id=,B01, PRDE,actvstrat=,-0.590627, actvprof=,0.714980, id=,B02, PRDE,actvstrat=,-0.924444, actvprof=,1.443015, id=,B03, PRDE,actvstrat=,-0.981374, actvprof=,2.231882, id=,B04, PRDE,actvstrat=,-0.747096, actvprof=,0.793034, id=,B05, PRDE,actvstrat=,-0.477414, actvprof=,0.660537, id=,B06, PRDE,actvstrat=,0.031564, actvprof=,0.857754, id=,B07, PRDE,actvstrat=,-0.833341, actvprof=,1.098025, id=,B08, PRDE,actvstrat=,0.358124, actvprof=,1.054971, id=,B09, PRDE,actvstrat=,-0.143195, actvprof=,0.772479, id=,S00, PRDE,actvstrat=,-0.392840, actvprof=,2.919641, id=,S01, PRDE,actvstrat=,-0.803194, actvprof=,1.288575, id=,S02, PRDE,actvstrat=,0.057464, actvprof=,6.138996, id=,S03, PRDE,actvstrat=,-0.196322, actvprof=,3.579901, id=,S04, PRDE,actvstrat=,0.007199, actvprof=,6.312880, id=,S05, PRDE,actvstrat=,-0.869377, actvprof=,0.337491, id=,S06, PRDE,actvstrat=,-0.406240, actvprof=,2.846588, id=,S07, PRDE,actvstrat=,-0.486928, actvprof=,2.735480, id=,S08, PRDE,actvstrat=,-0.405510, actvprof=,2.985473, id=,S09, PRDE,actvstrat=,-0.792593, actvprof=,1.548568, best_B_id=,B03, best_B_prof=,2.231882, best_B_strat=,-0.981374, best_S_id=,S04, best_S_prof=,6.312880, best_S_strat=,0.007199, 
t=,14400, id=,B00, PRDE,actvstrat=,0.431800, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.904513, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.135425, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.298440, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.937886, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.986812, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.424339, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.565891, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.755796, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.233139, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.995250, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.653344, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.173341, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.325022, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.847439, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.942419, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.592455, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.980682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.652326, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.126489, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.431800, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.995250, 
t=,18000, id=,B00, PRDE,actvstrat=,0.431800, actvprof=,1.372778, id=,B01, PRDE,actvstrat=,0.904513, actvprof=,1.260000, id=,B02, PRDE,actvstrat=,-0.135425, actvprof=,0.777222, id=,B03, PRDE,actvstrat=,0.298440, actvprof=,1.115278, id=,B04, PRDE,actvstrat=,0.937886, actvprof=,0.916111, id=,B05, PRDE,actvstrat=,0.986812, actvprof=,0.431111, id=,B06, PRDE,actvstrat=,-0.424339, actvprof=,1.013333, id=,B07, PRDE,actvstrat=,0.565891, actvprof=,1.453611, id=,B08, PRDE,actvstrat=,-0.755796, actvprof=,1.826111, id=,B09, PRDE,actvstrat=,0.233139, actvprof=,1.140278, id=,S00, PRDE,actvstrat=,0.995250, actvprof=,12.467222, id=,S01, PRDE,actvstrat=,-0.653344, actvprof=,3.781944, id=,S02, PRDE,actvstrat=,0.173341, actvprof=,7.915556, id=,S03, PRDE,actvstrat=,-0.325022, actvprof=,4.483611, id=,S04, PRDE,actvstrat=,-0.847439, actvprof=,1.160833, id=,S05, PRDE,actvstrat=,-0.942419, actvprof=,0.410000, id=,S06, PRDE,actvstrat=,-0.592455, actvprof=,3.842500, id=,S07, PRDE,actvstrat=,0.980682, actvprof=,12.430556, id=,S08, PRDE,actvstrat=,0.652326, actvprof=,10.685833, id=,S09, PRDE,actvstrat=,-0.126489, actvprof=,5.516111, best_B_id=,B08, best_B_prof=,1.826111, best_B_strat=,-0.755796, best_S_id=,S00, best_S_prof=,12.467222, best_S_strat=,0.995250, 
t=,21600, id=,B00, PRDE,actvstrat=,0.431800, actvprof=,1.306806, id=,B01, PRDE,actvstrat=,0.904513, actvprof=,1.258611, id=,B02, PRDE,actvstrat=,-0.135425, actvprof=,0.881528, id=,B03, PRDE,actvstrat=,0.298440, actvprof=,1.082639, id=,B04, PRDE,actvstrat=,0.937886, actvprof=,0.927361, id=,B05, PRDE,actvstrat=,0.986812, actvprof=,0.387500, id=,B06, PRDE,actvstrat=,-0.424339, actvprof=,1.013194, id=,B07, PRDE,actvstrat=,0.565891, actvprof=,1.457361, id=,B08, PRDE,actvstrat=,-0.755796, actvprof=,1.736250, id=,B09, PRDE,actvstrat=,0.233139, actvprof=,1.119861, id=,S00, PRDE,actvstrat=,0.995250, actvprof=,12.375833, id=,S01, PRDE,actvstrat=,-0.653344, actvprof=,3.776111, id=,S02, PRDE,actvstrat=,0.173341, actvprof=,8.095417, id=,S03, PRDE,actvstrat=,-0.325022, actvprof=,4.600694, id=,S04, PRDE,actvstrat=,-0.847439, actvprof=,1.133750, id=,S05, PRDE,actvstrat=,-0.942419, actvprof=,0.405278, id=,S06, PRDE,actvstrat=,-0.592455, actvprof=,3.684583, id=,S07, PRDE,actvstrat=,0.980682, actvprof=,12.372778, id=,S08, PRDE,actvstrat=,0.652326, actvprof=,10.730000, id=,S09, PRDE,actvstrat=,-0.126489, actvprof=,5.387778, best_B_id=,B08, best_B_prof=,1.736250, best_B_strat=,-0.755796, best_S_id=,S00, best_S_prof=,12.375833, best_S_strat=,0.995250, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.158366, id=,B01, PRDE,actvstrat=,0.430819, actvprof=,1.543376, id=,B02, PRDE,actvstrat=,0.921239, actvprof=,1.813106, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.466707, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.201700, id=,B05, PRDE,actvstrat=,-0.403649, actvprof=,1.077808, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.374760, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.256146, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.331981, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.715881, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.465207, id=,S01, PRDE,actvstrat=,-0.610833, actvprof=,3.511486, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.999667, id=,S03, PRDE,actvstrat=,0.780373, actvprof=,11.673380, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,7.770771, id=,S05, PRDE,actvstrat=,0.121092, actvprof=,7.308814, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,7.933831, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.759660, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.905775, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,8.111892, best_B_id=,B02, best_B_prof=,1.813106, best_B_strat=,0.921239, best_S_id=,S03, best_S_prof=,11.673380, best_S_strat=,0.780373, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.406964, id=,B01, PRDE,actvstrat=,0.430819, actvprof=,1.835025, id=,B02, PRDE,actvstrat=,0.921239, actvprof=,2.021834, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,1.511965, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,1.374047, id=,B05, PRDE,actvstrat=,-0.403649, actvprof=,1.168905, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.366547, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.352935, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.455715, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.904054, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.444548, id=,S01, PRDE,actvstrat=,-0.610833, actvprof=,3.318241, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.939416, id=,S03, PRDE,actvstrat=,0.780373, actvprof=,11.429187, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,7.825803, id=,S05, PRDE,actvstrat=,0.121092, actvprof=,7.217739, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,7.896637, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,7.803303, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,7.758580, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,7.936499, best_B_id=,B02, best_B_prof=,2.021834, best_B_strat=,0.921239, best_S_id=,S03, best_S_prof=,11.429187, best_S_strat=,0.780373, 
t=,32400, id=,B00, PRDE,actvstrat=,0.886501, actvprof=,2.270959, id=,B01, PRDE,actvstrat=,0.288365, actvprof=,2.696261, id=,B02, PRDE,actvstrat=,-0.511292, actvprof=,2.304850, id=,B03, PRDE,actvstrat=,-0.605516, actvprof=,2.582921, id=,B04, PRDE,actvstrat=,0.234410, actvprof=,2.542919, id=,B05, PRDE,actvstrat=,0.746156, actvprof=,2.859326, id=,B06, PRDE,actvstrat=,-0.672163, actvprof=,2.982943, id=,B07, PRDE,actvstrat=,0.060308, actvprof=,2.508473, id=,B08, PRDE,actvstrat=,-0.443766, actvprof=,2.339019, id=,B09, PRDE,actvstrat=,-0.398916, actvprof=,2.103450, id=,S00, PRDE,actvstrat=,-0.000398, actvprof=,5.058892, id=,S01, PRDE,actvstrat=,0.934089, actvprof=,9.786377, id=,S02, PRDE,actvstrat=,0.584389, actvprof=,8.075726, id=,S03, PRDE,actvstrat=,0.780373, actvprof=,9.364131, id=,S04, PRDE,actvstrat=,0.458906, actvprof=,7.114840, id=,S05, PRDE,actvstrat=,-0.718472, actvprof=,1.860659, id=,S06, PRDE,actvstrat=,0.319682, actvprof=,6.395911, id=,S07, PRDE,actvstrat=,-0.551037, actvprof=,2.559309, id=,S08, PRDE,actvstrat=,0.154583, actvprof=,5.838935, id=,S09, PRDE,actvstrat=,-0.826414, actvprof=,1.180899, best_B_id=,B06, best_B_prof=,2.982943, best_B_strat=,-0.672163, best_S_id=,S01, best_S_prof=,9.786377, best_S_strat=,0.934089, 
t=,36000, id=,B00, PRDE,actvstrat=,0.886501, actvprof=,2.344510, id=,B01, PRDE,actvstrat=,0.288365, actvprof=,2.647851, id=,B02, PRDE,actvstrat=,-0.511292, actvprof=,2.506736, id=,B03, PRDE,actvstrat=,-0.605516, actvprof=,2.710909, id=,B04, PRDE,actvstrat=,0.234410, actvprof=,2.538126, id=,B05, PRDE,actvstrat=,0.746156, actvprof=,2.791466, id=,B06, PRDE,actvstrat=,-0.672163, actvprof=,3.065918, id=,B07, PRDE,actvstrat=,0.060308, actvprof=,2.473124, id=,B08, PRDE,actvstrat=,-0.443766, actvprof=,2.428679, id=,B09, PRDE,actvstrat=,-0.398916, actvprof=,2.171449, id=,S00, PRDE,actvstrat=,-0.000398, actvprof=,5.102920, id=,S01, PRDE,actvstrat=,0.934089, actvprof=,9.695269, id=,S02, PRDE,actvstrat=,0.584389, actvprof=,8.085363, id=,S03, PRDE,actvstrat=,0.780373, actvprof=,9.322481, id=,S04, PRDE,actvstrat=,0.458906, actvprof=,7.426040, id=,S05, PRDE,actvstrat=,-0.718472, actvprof=,1.991861, id=,S06, PRDE,actvstrat=,0.319682, actvprof=,6.595878, id=,S07, PRDE,actvstrat=,-0.551037, actvprof=,2.644935, id=,S08, PRDE,actvstrat=,0.154583, actvprof=,5.890858, id=,S09, PRDE,actvstrat=,-0.826414, actvprof=,1.090169, best_B_id=,B06, best_B_prof=,3.065918, best_B_strat=,-0.672163, best_S_id=,S01, best_S_prof=,9.695269, best_S_strat=,0.934089, 
