t=,1, id=,B00, PRDE,actvstrat=,0.906350, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.067386, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.394236, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.573454, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.116669, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.788181, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.239031, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.853800, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.009484, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.601123, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.275227, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.416173, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.492567, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.381525, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.992981, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.492893, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.763576, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.073480, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.132361, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.243030, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.906350, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.275227, 
t=,3600, id=,B00, PRDE,actvstrat=,0.906350, actvprof=,2.858056, id=,B01, PRDE,actvstrat=,0.067386, actvprof=,3.246944, id=,B02, PRDE,actvstrat=,0.394236, actvprof=,3.436389, id=,B03, PRDE,actvstrat=,-0.573454, actvprof=,3.281389, id=,B04, PRDE,actvstrat=,-0.116669, actvprof=,2.949167, id=,B05, PRDE,actvstrat=,-0.788181, actvprof=,3.675556, id=,B06, PRDE,actvstrat=,0.239031, actvprof=,3.207778, id=,B07, PRDE,actvstrat=,-0.853800, actvprof=,4.396944, id=,B08, PRDE,actvstrat=,0.009484, actvprof=,3.115833, id=,B09, PRDE,actvstrat=,-0.601123, actvprof=,3.476389, id=,S00, PRDE,actvstrat=,0.275227, actvprof=,5.597500, id=,S01, PRDE,actvstrat=,0.416173, actvprof=,6.501389, id=,S02, PRDE,actvstrat=,0.492567, actvprof=,6.757500, id=,S03, PRDE,actvstrat=,0.381525, actvprof=,6.233611, id=,S04, PRDE,actvstrat=,-0.992981, actvprof=,3.829444, id=,S05, PRDE,actvstrat=,0.492893, actvprof=,6.390556, id=,S06, PRDE,actvstrat=,0.763576, actvprof=,8.204444, id=,S07, PRDE,actvstrat=,0.073480, actvprof=,4.845278, id=,S08, PRDE,actvstrat=,0.132361, actvprof=,5.145833, id=,S09, PRDE,actvstrat=,0.243030, actvprof=,5.694444, best_B_id=,B07, best_B_prof=,4.396944, best_B_strat=,-0.853800, best_S_id=,S06, best_S_prof=,8.204444, best_S_strat=,0.763576, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.172219, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.769811, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.443260, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.833692, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.031008, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.880382, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.445853, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.877482, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.505124, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.075320, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.496467, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.184824, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.630539, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.513076, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.295664, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.994241, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.385590, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.992228, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.375540, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.147635, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.172219, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.496467, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.172219, actvprof=,1.469702, id=,B01, PRDE,actvstrat=,0.769811, actvprof=,2.075249, id=,B02, PRDE,actvstrat=,0.443260, actvprof=,1.779420, id=,B03, PRDE,actvstrat=,0.833692, actvprof=,1.971084, id=,B04, PRDE,actvstrat=,-0.031008, actvprof=,1.407758, id=,B05, PRDE,actvstrat=,-0.880382, actvprof=,2.774406, id=,B06, PRDE,actvstrat=,0.445853, actvprof=,1.900251, id=,B07, PRDE,actvstrat=,-0.877482, actvprof=,2.624686, id=,B08, PRDE,actvstrat=,-0.505124, actvprof=,1.343592, id=,B09, PRDE,actvstrat=,0.075320, actvprof=,1.660532, id=,S00, PRDE,actvstrat=,0.496467, actvprof=,8.749878, id=,S01, PRDE,actvstrat=,-0.184824, actvprof=,3.796614, id=,S02, PRDE,actvstrat=,-0.630539, actvprof=,2.806072, id=,S03, PRDE,actvstrat=,-0.513076, actvprof=,3.189400, id=,S04, PRDE,actvstrat=,0.295664, actvprof=,7.499618, id=,S05, PRDE,actvstrat=,0.994241, actvprof=,10.796794, id=,S06, PRDE,actvstrat=,-0.385590, actvprof=,3.161067, id=,S07, PRDE,actvstrat=,0.992228, actvprof=,10.757073, id=,S08, PRDE,actvstrat=,-0.375540, actvprof=,3.039680, id=,S09, PRDE,actvstrat=,-0.147635, actvprof=,4.351606, best_B_id=,B05, best_B_prof=,2.774406, best_B_strat=,-0.880382, best_S_id=,S05, best_S_prof=,10.796794, best_S_strat=,0.994241, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.959007, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.851146, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.443260, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.220567, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.996564, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.279908, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.859509, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.877482, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.238618, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.012893, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.372891, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.282695, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.377971, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.381525, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.295664, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.157132, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.724702, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.590782, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.375540, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.200378, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.959007, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.372891, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.959007, actvprof=,2.437500, id=,B01, PRDE,actvstrat=,-0.851146, actvprof=,2.033889, id=,B02, PRDE,actvstrat=,0.443260, actvprof=,1.888333, id=,B03, PRDE,actvstrat=,0.220567, actvprof=,1.405833, id=,B04, PRDE,actvstrat=,-0.996564, actvprof=,2.675833, id=,B05, PRDE,actvstrat=,0.279908, actvprof=,1.749722, id=,B06, PRDE,actvstrat=,0.859509, actvprof=,1.984167, id=,B07, PRDE,actvstrat=,-0.877482, actvprof=,2.226389, id=,B08, PRDE,actvstrat=,0.238618, actvprof=,1.838056, id=,B09, PRDE,actvstrat=,-0.012893, actvprof=,1.270556, id=,S00, PRDE,actvstrat=,0.372891, actvprof=,7.480556, id=,S01, PRDE,actvstrat=,0.282695, actvprof=,7.294167, id=,S02, PRDE,actvstrat=,-0.377971, actvprof=,3.316667, id=,S03, PRDE,actvstrat=,0.381525, actvprof=,8.100278, id=,S04, PRDE,actvstrat=,0.295664, actvprof=,7.485556, id=,S05, PRDE,actvstrat=,-0.157132, actvprof=,3.629722, id=,S06, PRDE,actvstrat=,0.724702, actvprof=,10.094167, id=,S07, PRDE,actvstrat=,0.590782, actvprof=,8.973611, id=,S08, PRDE,actvstrat=,-0.375540, actvprof=,3.165000, id=,S09, PRDE,actvstrat=,-0.200378, actvprof=,3.883333, best_B_id=,B04, best_B_prof=,2.675833, best_B_strat=,-0.996564, best_S_id=,S06, best_S_prof=,10.094167, best_S_strat=,0.724702, 
t=,21600, id=,B00, PRDE,actvstrat=,0.906350, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.556085, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.464786, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.704596, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.989473, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.880382, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.727898, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.870601, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.169381, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.601123, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.496467, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.184824, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.651312, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.570411, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.909898, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.994241, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.203807, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.992228, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.079392, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.386397, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.906350, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.496467, 
t=,25200, id=,B00, PRDE,actvstrat=,0.906350, actvprof=,1.592222, id=,B01, PRDE,actvstrat=,0.556085, actvprof=,2.210833, id=,B02, PRDE,actvstrat=,-0.464786, actvprof=,1.791389, id=,B03, PRDE,actvstrat=,-0.704596, actvprof=,2.213611, id=,B04, PRDE,actvstrat=,-0.989473, actvprof=,2.459444, id=,B05, PRDE,actvstrat=,-0.880382, actvprof=,3.005278, id=,B06, PRDE,actvstrat=,0.727898, actvprof=,2.240278, id=,B07, PRDE,actvstrat=,0.870601, actvprof=,1.739444, id=,B08, PRDE,actvstrat=,0.169381, actvprof=,1.729722, id=,B09, PRDE,actvstrat=,-0.601123, actvprof=,1.847222, id=,S00, PRDE,actvstrat=,0.496467, actvprof=,8.864722, id=,S01, PRDE,actvstrat=,-0.184824, actvprof=,4.635833, id=,S02, PRDE,actvstrat=,-0.651312, actvprof=,2.348056, id=,S03, PRDE,actvstrat=,-0.570411, actvprof=,3.054444, id=,S04, PRDE,actvstrat=,0.909898, actvprof=,11.180278, id=,S05, PRDE,actvstrat=,0.994241, actvprof=,11.049722, id=,S06, PRDE,actvstrat=,-0.203807, actvprof=,3.813889, id=,S07, PRDE,actvstrat=,0.992228, actvprof=,11.156111, id=,S08, PRDE,actvstrat=,-0.079392, actvprof=,5.303056, id=,S09, PRDE,actvstrat=,0.386397, actvprof=,7.942222, best_B_id=,B05, best_B_prof=,3.005278, best_B_strat=,-0.880382, best_S_id=,S04, best_S_prof=,11.180278, best_S_strat=,0.909898, 
t=,28800, id=,B00, PRDE,actvstrat=,0.906350, actvprof=,1.632083, id=,B01, PRDE,actvstrat=,0.556085, actvprof=,2.217639, id=,B02, PRDE,actvstrat=,-0.464786, actvprof=,1.699861, id=,B03, PRDE,actvstrat=,-0.704596, actvprof=,2.183194, id=,B04, PRDE,actvstrat=,-0.989473, actvprof=,2.449861, id=,B05, PRDE,actvstrat=,-0.880382, actvprof=,2.996806, id=,B06, PRDE,actvstrat=,0.727898, actvprof=,2.231389, id=,B07, PRDE,actvstrat=,0.870601, actvprof=,1.685694, id=,B08, PRDE,actvstrat=,0.169381, actvprof=,1.744167, id=,B09, PRDE,actvstrat=,-0.601123, actvprof=,1.825278, id=,S00, PRDE,actvstrat=,0.496467, actvprof=,9.148472, id=,S01, PRDE,actvstrat=,-0.184824, actvprof=,4.175278, id=,S02, PRDE,actvstrat=,-0.651312, actvprof=,2.355972, id=,S03, PRDE,actvstrat=,-0.570411, actvprof=,2.876528, id=,S04, PRDE,actvstrat=,0.909898, actvprof=,11.298750, id=,S05, PRDE,actvstrat=,0.994241, actvprof=,10.970417, id=,S06, PRDE,actvstrat=,-0.203807, actvprof=,3.918056, id=,S07, PRDE,actvstrat=,0.992228, actvprof=,11.154028, id=,S08, PRDE,actvstrat=,-0.079392, actvprof=,5.481944, id=,S09, PRDE,actvstrat=,0.386397, actvprof=,8.076806, best_B_id=,B05, best_B_prof=,2.996806, best_B_strat=,-0.880382, best_S_id=,S04, best_S_prof=,11.298750, best_S_strat=,0.909898, 
t=,32400, id=,B00, PRDE,actvstrat=,0.906350, actvprof=,1.512007, id=,B01, PRDE,actvstrat=,0.556085, actvprof=,1.932581, id=,B02, PRDE,actvstrat=,0.606109, actvprof=,1.842299, id=,B03, PRDE,actvstrat=,-0.704596, actvprof=,2.065086, id=,B04, PRDE,actvstrat=,0.128916, actvprof=,1.565621, id=,B05, PRDE,actvstrat=,0.968738, actvprof=,0.890870, id=,B06, PRDE,actvstrat=,0.445853, actvprof=,1.811187, id=,B07, PRDE,actvstrat=,0.870601, actvprof=,1.670070, id=,B08, PRDE,actvstrat=,-0.505124, actvprof=,1.518397, id=,B09, PRDE,actvstrat=,0.304912, actvprof=,1.717294, id=,S00, PRDE,actvstrat=,0.496467, actvprof=,9.214828, id=,S01, PRDE,actvstrat=,-0.184824, actvprof=,4.750476, id=,S02, PRDE,actvstrat=,0.492567, actvprof=,9.380113, id=,S03, PRDE,actvstrat=,-0.570411, actvprof=,3.804325, id=,S04, PRDE,actvstrat=,0.909898, actvprof=,11.866606, id=,S05, PRDE,actvstrat=,-0.589860, actvprof=,3.469867, id=,S06, PRDE,actvstrat=,0.724702, actvprof=,10.997125, id=,S07, PRDE,actvstrat=,0.629311, actvprof=,10.224037, id=,S08, PRDE,actvstrat=,-0.550756, actvprof=,3.266247, id=,S09, PRDE,actvstrat=,-0.147635, actvprof=,4.971318, best_B_id=,B03, best_B_prof=,2.065086, best_B_strat=,-0.704596, best_S_id=,S04, best_S_prof=,11.866606, best_S_strat=,0.909898, 
t=,36000, id=,B00, PRDE,actvstrat=,0.906350, actvprof=,1.428641, id=,B01, PRDE,actvstrat=,0.556085, actvprof=,1.926429, id=,B02, PRDE,actvstrat=,0.606109, actvprof=,1.935457, id=,B03, PRDE,actvstrat=,-0.704596, actvprof=,2.047543, id=,B04, PRDE,actvstrat=,0.128916, actvprof=,1.449058, id=,B05, PRDE,actvstrat=,0.968738, actvprof=,0.874185, id=,B06, PRDE,actvstrat=,0.445853, actvprof=,1.809343, id=,B07, PRDE,actvstrat=,0.870601, actvprof=,1.693091, id=,B08, PRDE,actvstrat=,-0.505124, actvprof=,1.630034, id=,B09, PRDE,actvstrat=,0.304912, actvprof=,1.716980, id=,S00, PRDE,actvstrat=,0.496467, actvprof=,9.180747, id=,S01, PRDE,actvstrat=,-0.184824, actvprof=,4.620235, id=,S02, PRDE,actvstrat=,0.492567, actvprof=,9.627978, id=,S03, PRDE,actvstrat=,-0.570411, actvprof=,3.736606, id=,S04, PRDE,actvstrat=,0.909898, actvprof=,11.864553, id=,S05, PRDE,actvstrat=,-0.589860, actvprof=,3.396460, id=,S06, PRDE,actvstrat=,0.724702, actvprof=,10.897588, id=,S07, PRDE,actvstrat=,0.629311, actvprof=,10.343827, id=,S08, PRDE,actvstrat=,-0.550756, actvprof=,3.461878, id=,S09, PRDE,actvstrat=,-0.147635, actvprof=,5.061217, best_B_id=,B03, best_B_prof=,2.047543, best_B_strat=,-0.704596, best_S_id=,S04, best_S_prof=,11.864553, best_S_strat=,0.909898, 
