t=,3600, id=,B00, PRDE,actvstrat=,0.980460, actvprof=,1.538312, id=,B01, PRDE,actvstrat=,0.990209, actvprof=,1.186928, id=,B02, PRDE,actvstrat=,-0.996068, actvprof=,2.712462, id=,B03, PRDE,actvstrat=,0.792499, actvprof=,2.595797, id=,B04, PRDE,actvstrat=,-0.838099, actvprof=,2.865516, id=,B05, PRDE,actvstrat=,0.986716, actvprof=,1.328593, id=,B06, PRDE,actvstrat=,-0.367679, actvprof=,2.298857, id=,B07, PRDE,actvstrat=,-0.920610, actvprof=,2.671907, id=,B08, PRDE,actvstrat=,0.530194, actvprof=,2.838572, id=,B09, PRDE,actvstrat=,-0.180070, actvprof=,2.297746, id=,S00, PRDE,actvstrat=,-0.163818, actvprof=,5.724643, id=,S01, PRDE,actvstrat=,0.854054, actvprof=,11.034291, id=,S02, PRDE,actvstrat=,0.741589, actvprof=,10.774850, id=,S03, PRDE,actvstrat=,0.758462, actvprof=,10.675407, id=,S04, PRDE,actvstrat=,-0.063406, actvprof=,6.583797, id=,S05, PRDE,actvstrat=,0.921734, actvprof=,11.328732, id=,S06, PRDE,actvstrat=,-0.480344, actvprof=,4.668824, id=,S07, PRDE,actvstrat=,0.140227, actvprof=,8.283218, id=,S08, PRDE,actvstrat=,-0.006119, actvprof=,7.184622, id=,S09, PRDE,actvstrat=,-0.519532, actvprof=,4.561048, best_B_id=,B04, best_B_prof=,2.865516, best_B_strat=,-0.838099, best_S_id=,S05, best_S_prof=,11.328732, best_S_strat=,0.921734, 
t=,7200, id=,B00, PRDE,actvstrat=,0.584466, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.579721, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.776004, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.149534, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.577077, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.982280, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.739198, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.292949, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.844264, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.332036, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.827967, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.109182, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.829989, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.700535, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.637714, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.181712, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.593720, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.265106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.534133, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.145129, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.584466, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.827967, 
t=,10800, id=,B00, PRDE,actvstrat=,0.584466, actvprof=,2.366667, id=,B01, PRDE,actvstrat=,-0.579721, actvprof=,1.674167, id=,B02, PRDE,actvstrat=,-0.776004, actvprof=,2.496111, id=,B03, PRDE,actvstrat=,-0.149534, actvprof=,1.595000, id=,B04, PRDE,actvstrat=,0.577077, actvprof=,2.381667, id=,B05, PRDE,actvstrat=,0.982280, actvprof=,0.996667, id=,B06, PRDE,actvstrat=,0.739198, actvprof=,2.516944, id=,B07, PRDE,actvstrat=,-0.292949, actvprof=,1.423333, id=,B08, PRDE,actvstrat=,-0.844264, actvprof=,2.700556, id=,B09, PRDE,actvstrat=,-0.332036, actvprof=,1.362778, id=,S00, PRDE,actvstrat=,0.827967, actvprof=,10.284722, id=,S01, PRDE,actvstrat=,-0.109182, actvprof=,4.542222, id=,S02, PRDE,actvstrat=,-0.829989, actvprof=,1.095833, id=,S03, PRDE,actvstrat=,-0.700535, actvprof=,2.512222, id=,S04, PRDE,actvstrat=,0.637714, actvprof=,9.531667, id=,S05, PRDE,actvstrat=,-0.181712, actvprof=,4.287500, id=,S06, PRDE,actvstrat=,0.593720, actvprof=,9.058889, id=,S07, PRDE,actvstrat=,-0.265106, actvprof=,4.081944, id=,S08, PRDE,actvstrat=,0.534133, actvprof=,8.688056, id=,S09, PRDE,actvstrat=,-0.145129, actvprof=,4.447500, best_B_id=,B08, best_B_prof=,2.700556, best_B_strat=,-0.844264, best_S_id=,S00, best_S_prof=,10.284722, best_S_strat=,0.827967, 
t=,14400, id=,B00, PRDE,actvstrat=,0.584466, actvprof=,2.337222, id=,B01, PRDE,actvstrat=,-0.579721, actvprof=,1.684722, id=,B02, PRDE,actvstrat=,-0.776004, actvprof=,2.334583, id=,B03, PRDE,actvstrat=,-0.149534, actvprof=,1.549306, id=,B04, PRDE,actvstrat=,0.577077, actvprof=,2.269028, id=,B05, PRDE,actvstrat=,0.982280, actvprof=,0.927778, id=,B06, PRDE,actvstrat=,0.739198, actvprof=,2.419306, id=,B07, PRDE,actvstrat=,-0.292949, actvprof=,1.496250, id=,B08, PRDE,actvstrat=,-0.844264, actvprof=,2.669583, id=,B09, PRDE,actvstrat=,-0.332036, actvprof=,1.321111, id=,S00, PRDE,actvstrat=,0.827967, actvprof=,10.412361, id=,S01, PRDE,actvstrat=,-0.109182, actvprof=,4.654028, id=,S02, PRDE,actvstrat=,-0.829989, actvprof=,1.114583, id=,S03, PRDE,actvstrat=,-0.700535, actvprof=,2.491250, id=,S04, PRDE,actvstrat=,0.637714, actvprof=,9.498472, id=,S05, PRDE,actvstrat=,-0.181712, actvprof=,4.007083, id=,S06, PRDE,actvstrat=,0.593720, actvprof=,9.133889, id=,S07, PRDE,actvstrat=,-0.265106, actvprof=,4.033889, id=,S08, PRDE,actvstrat=,0.534133, actvprof=,8.734028, id=,S09, PRDE,actvstrat=,-0.145129, actvprof=,4.455972, best_B_id=,B08, best_B_prof=,2.669583, best_B_strat=,-0.844264, best_S_id=,S00, best_S_prof=,10.412361, best_S_strat=,0.827967, 
t=,18000, id=,B00, PRDE,actvstrat=,0.158004, actvprof=,2.064444, id=,B01, PRDE,actvstrat=,-0.579721, actvprof=,2.410278, id=,B02, PRDE,actvstrat=,0.775135, actvprof=,2.399167, id=,B03, PRDE,actvstrat=,0.648764, actvprof=,2.680000, id=,B04, PRDE,actvstrat=,0.577077, actvprof=,2.671944, id=,B05, PRDE,actvstrat=,0.290640, actvprof=,2.208333, id=,B06, PRDE,actvstrat=,-0.182926, actvprof=,1.779167, id=,B07, PRDE,actvstrat=,0.055745, actvprof=,1.924444, id=,B08, PRDE,actvstrat=,-0.193801, actvprof=,1.653889, id=,B09, PRDE,actvstrat=,-0.332036, actvprof=,1.842222, id=,S00, PRDE,actvstrat=,0.317868, actvprof=,7.238333, id=,S01, PRDE,actvstrat=,0.854054, actvprof=,9.768056, id=,S02, PRDE,actvstrat=,-0.557356, actvprof=,2.795556, id=,S03, PRDE,actvstrat=,0.529021, actvprof=,8.711111, id=,S04, PRDE,actvstrat=,-0.781333, actvprof=,1.355556, id=,S05, PRDE,actvstrat=,0.813521, actvprof=,9.710833, id=,S06, PRDE,actvstrat=,0.593720, actvprof=,8.607222, id=,S07, PRDE,actvstrat=,-0.558651, actvprof=,2.865556, id=,S08, PRDE,actvstrat=,-0.844865, actvprof=,0.782778, id=,S09, PRDE,actvstrat=,-0.283917, actvprof=,3.108889, best_B_id=,B03, best_B_prof=,2.680000, best_B_strat=,0.648764, best_S_id=,S01, best_S_prof=,9.768056, best_S_strat=,0.854054, 
t=,21600, id=,B00, PRDE,actvstrat=,0.158004, actvprof=,2.037917, id=,B01, PRDE,actvstrat=,-0.579721, actvprof=,2.332639, id=,B02, PRDE,actvstrat=,0.775135, actvprof=,2.518333, id=,B03, PRDE,actvstrat=,0.648764, actvprof=,2.515278, id=,B04, PRDE,actvstrat=,0.577077, actvprof=,2.626667, id=,B05, PRDE,actvstrat=,0.290640, actvprof=,2.255833, id=,B06, PRDE,actvstrat=,-0.182926, actvprof=,1.851667, id=,B07, PRDE,actvstrat=,0.055745, actvprof=,1.881111, id=,B08, PRDE,actvstrat=,-0.193801, actvprof=,1.736111, id=,B09, PRDE,actvstrat=,-0.332036, actvprof=,1.910417, id=,S00, PRDE,actvstrat=,0.317868, actvprof=,7.111806, id=,S01, PRDE,actvstrat=,0.854054, actvprof=,10.011806, id=,S02, PRDE,actvstrat=,-0.557356, actvprof=,2.923333, id=,S03, PRDE,actvstrat=,0.529021, actvprof=,8.498194, id=,S04, PRDE,actvstrat=,-0.781333, actvprof=,1.666250, id=,S05, PRDE,actvstrat=,0.813521, actvprof=,9.763889, id=,S06, PRDE,actvstrat=,0.593720, actvprof=,8.660556, id=,S07, PRDE,actvstrat=,-0.558651, actvprof=,3.040972, id=,S08, PRDE,actvstrat=,-0.844865, actvprof=,0.793889, id=,S09, PRDE,actvstrat=,-0.283917, actvprof=,3.596667, best_B_id=,B04, best_B_prof=,2.626667, best_B_strat=,0.577077, best_S_id=,S01, best_S_prof=,10.011806, best_S_strat=,0.854054, 
t=,25200, id=,B00, PRDE,actvstrat=,0.217350, actvprof=,3.351991, id=,B01, PRDE,actvstrat=,-0.083599, actvprof=,2.940874, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,3.736719, id=,B03, PRDE,actvstrat=,0.427490, actvprof=,3.540883, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.567244, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.583355, id=,B06, PRDE,actvstrat=,-0.180221, actvprof=,3.340880, id=,B07, PRDE,actvstrat=,-0.550286, actvprof=,3.814497, id=,B08, PRDE,actvstrat=,0.032376, actvprof=,3.086710, id=,B09, PRDE,actvstrat=,0.160234, actvprof=,3.281157, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.382839, id=,S01, PRDE,actvstrat=,0.159017, actvprof=,5.980361, id=,S02, PRDE,actvstrat=,0.139200, actvprof=,6.180641, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,9.287073, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.258740, id=,S05, PRDE,actvstrat=,0.602114, actvprof=,8.358172, id=,S06, PRDE,actvstrat=,0.095208, actvprof=,6.117307, id=,S07, PRDE,actvstrat=,0.302656, actvprof=,7.105654, id=,S08, PRDE,actvstrat=,-0.052714, actvprof=,4.790900, id=,S09, PRDE,actvstrat=,0.490215, actvprof=,8.028723, best_B_id=,B07, best_B_prof=,3.814497, best_B_strat=,-0.550286, best_S_id=,S03, best_S_prof=,9.287073, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.217350, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.083599, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.216377, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.045336, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.653834, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.227205, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.180221, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.550286, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.052711, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.361516, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.359079, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.005141, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.741589, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.758462, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.637714, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.921734, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.165027, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.140227, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.534133, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.678293, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.217350, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.359079, 
t=,32400, id=,B00, PRDE,actvstrat=,0.217350, actvprof=,4.079059, id=,B01, PRDE,actvstrat=,-0.083599, actvprof=,3.742656, id=,B02, PRDE,actvstrat=,-0.216377, actvprof=,3.799047, id=,B03, PRDE,actvstrat=,0.045336, actvprof=,3.317916, id=,B04, PRDE,actvstrat=,0.653834, actvprof=,3.944331, id=,B05, PRDE,actvstrat=,0.227205, actvprof=,4.064892, id=,B06, PRDE,actvstrat=,-0.180221, actvprof=,4.163785, id=,B07, PRDE,actvstrat=,-0.550286, actvprof=,4.186841, id=,B08, PRDE,actvstrat=,-0.052711, actvprof=,3.700710, id=,B09, PRDE,actvstrat=,0.361516, actvprof=,4.220176, id=,S00, PRDE,actvstrat=,-0.359079, actvprof=,2.096754, id=,S01, PRDE,actvstrat=,-0.005141, actvprof=,3.839604, id=,S02, PRDE,actvstrat=,0.741589, actvprof=,7.700321, id=,S03, PRDE,actvstrat=,0.758462, actvprof=,7.907552, id=,S04, PRDE,actvstrat=,0.637714, actvprof=,7.209745, id=,S05, PRDE,actvstrat=,0.921734, actvprof=,8.316735, id=,S06, PRDE,actvstrat=,0.165027, actvprof=,4.743253, id=,S07, PRDE,actvstrat=,0.140227, actvprof=,4.526577, id=,S08, PRDE,actvstrat=,0.534133, actvprof=,6.676667, id=,S09, PRDE,actvstrat=,0.678293, actvprof=,7.500868, best_B_id=,B09, best_B_prof=,4.220176, best_B_strat=,0.361516, best_S_id=,S05, best_S_prof=,8.316735, best_S_strat=,0.921734, 
t=,36000, id=,B00, PRDE,actvstrat=,0.217350, actvprof=,4.100531, id=,B01, PRDE,actvstrat=,-0.083599, actvprof=,3.706492, id=,B02, PRDE,actvstrat=,-0.216377, actvprof=,3.793578, id=,B03, PRDE,actvstrat=,0.045336, actvprof=,3.521348, id=,B04, PRDE,actvstrat=,0.653834, actvprof=,3.975805, id=,B05, PRDE,actvstrat=,0.227205, actvprof=,3.969555, id=,B06, PRDE,actvstrat=,-0.180221, actvprof=,4.122337, id=,B07, PRDE,actvstrat=,-0.550286, actvprof=,4.084697, id=,B08, PRDE,actvstrat=,-0.052711, actvprof=,3.724270, id=,B09, PRDE,actvstrat=,0.361516, actvprof=,4.221923, id=,S00, PRDE,actvstrat=,-0.359079, actvprof=,2.030890, id=,S01, PRDE,actvstrat=,-0.005141, actvprof=,4.074002, id=,S02, PRDE,actvstrat=,0.741589, actvprof=,7.787577, id=,S03, PRDE,actvstrat=,0.758462, actvprof=,7.891747, id=,S04, PRDE,actvstrat=,0.637714, actvprof=,7.178116, id=,S05, PRDE,actvstrat=,0.921734, actvprof=,8.319259, id=,S06, PRDE,actvstrat=,0.165027, actvprof=,4.799022, id=,S07, PRDE,actvstrat=,0.140227, actvprof=,4.749854, id=,S08, PRDE,actvstrat=,0.534133, actvprof=,6.665602, id=,S09, PRDE,actvstrat=,0.678293, actvprof=,7.330620, best_B_id=,B09, best_B_prof=,4.221923, best_B_strat=,0.361516, best_S_id=,S05, best_S_prof=,8.319259, best_S_strat=,0.921734, 
t=,39600, id=,B00, PRDE,actvstrat=,0.217350, actvprof=,2.905202, id=,B01, PRDE,actvstrat=,-0.193675, actvprof=,2.857143, id=,B02, PRDE,actvstrat=,0.266562, actvprof=,2.905480, id=,B03, PRDE,actvstrat=,-0.228998, actvprof=,2.586291, id=,B04, PRDE,actvstrat=,-0.362183, actvprof=,2.846309, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.288145, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.158969, id=,B07, PRDE,actvstrat=,-0.550286, actvprof=,3.075214, id=,B08, PRDE,actvstrat=,-0.249311, actvprof=,2.450448, id=,B09, PRDE,actvstrat=,-0.721061, actvprof=,3.927773, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.582263, id=,S01, PRDE,actvstrat=,0.953393, actvprof=,10.038753, id=,S02, PRDE,actvstrat=,-0.342711, actvprof=,3.343566, id=,S03, PRDE,actvstrat=,0.083348, actvprof=,5.769845, id=,S04, PRDE,actvstrat=,-0.603347, actvprof=,2.842420, id=,S05, PRDE,actvstrat=,0.140708, actvprof=,6.216265, id=,S06, PRDE,actvstrat=,0.404643, actvprof=,7.308841, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,9.684561, id=,S08, PRDE,actvstrat=,0.652445, actvprof=,8.871727, id=,S09, PRDE,actvstrat=,-0.418305, actvprof=,3.169109, best_B_id=,B09, best_B_prof=,3.927773, best_B_strat=,-0.721061, best_S_id=,S01, best_S_prof=,10.038753, best_S_strat=,0.953393, 
