t=,3600, id=,B00, PRDE,actvstrat=,0.176263, actvprof=,1.540534, id=,B01, PRDE,actvstrat=,0.021195, actvprof=,1.389703, id=,B02, PRDE,actvstrat=,0.716471, actvprof=,1.959139, id=,B03, PRDE,actvstrat=,-0.281464, actvprof=,1.323315, id=,B04, PRDE,actvstrat=,0.661151, actvprof=,1.871085, id=,B05, PRDE,actvstrat=,0.914035, actvprof=,1.448591, id=,B06, PRDE,actvstrat=,-0.842013, actvprof=,2.704962, id=,B07, PRDE,actvstrat=,0.634333, actvprof=,1.851085, id=,B08, PRDE,actvstrat=,-0.673453, actvprof=,1.941362, id=,B09, PRDE,actvstrat=,0.806234, actvprof=,1.908307, id=,S00, PRDE,actvstrat=,-0.437078, actvprof=,4.397161, id=,S01, PRDE,actvstrat=,0.932564, actvprof=,11.626227, id=,S02, PRDE,actvstrat=,-0.858803, actvprof=,0.902487, id=,S03, PRDE,actvstrat=,0.957872, actvprof=,11.565950, id=,S04, PRDE,actvstrat=,-0.594358, actvprof=,3.973556, id=,S05, PRDE,actvstrat=,0.804140, actvprof=,11.197344, id=,S06, PRDE,actvstrat=,-0.958367, actvprof=,0.789711, id=,S07, PRDE,actvstrat=,-0.689416, actvprof=,3.083291, id=,S08, PRDE,actvstrat=,0.556034, actvprof=,9.737087, id=,S09, PRDE,actvstrat=,0.280698, actvprof=,7.854613, best_B_id=,B06, best_B_prof=,2.704962, best_B_strat=,-0.842013, best_S_id=,S01, best_S_prof=,11.626227, best_S_strat=,0.932564, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.773005, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.600483, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.514294, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.221991, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.265437, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.218819, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.385074, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.596080, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.102720, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.170483, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.905075, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.868892, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.111532, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.643045, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.333519, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.949229, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.421506, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.437412, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.230869, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.252016, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.773005, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.905075, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.773005, actvprof=,3.303611, id=,B01, PRDE,actvstrat=,0.600483, actvprof=,2.933889, id=,B02, PRDE,actvstrat=,0.514294, actvprof=,3.033889, id=,B03, PRDE,actvstrat=,-0.221991, actvprof=,2.393611, id=,B04, PRDE,actvstrat=,0.265437, actvprof=,2.695278, id=,B05, PRDE,actvstrat=,0.218819, actvprof=,2.453889, id=,B06, PRDE,actvstrat=,-0.385074, actvprof=,2.441667, id=,B07, PRDE,actvstrat=,-0.596080, actvprof=,2.861944, id=,B08, PRDE,actvstrat=,0.102720, actvprof=,2.272222, id=,B09, PRDE,actvstrat=,-0.170483, actvprof=,2.153333, id=,S00, PRDE,actvstrat=,-0.905075, actvprof=,0.474167, id=,S01, PRDE,actvstrat=,0.868892, actvprof=,9.454444, id=,S02, PRDE,actvstrat=,-0.111532, actvprof=,3.847778, id=,S03, PRDE,actvstrat=,0.643045, actvprof=,8.288889, id=,S04, PRDE,actvstrat=,0.333519, actvprof=,6.281944, id=,S05, PRDE,actvstrat=,0.949229, actvprof=,9.514167, id=,S06, PRDE,actvstrat=,0.421506, actvprof=,6.883889, id=,S07, PRDE,actvstrat=,-0.437412, actvprof=,2.564444, id=,S08, PRDE,actvstrat=,-0.230869, actvprof=,3.049167, id=,S09, PRDE,actvstrat=,-0.252016, actvprof=,2.964444, best_B_id=,B00, best_B_prof=,3.303611, best_B_strat=,-0.773005, best_S_id=,S05, best_S_prof=,9.514167, best_S_strat=,0.949229, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.773005, actvprof=,3.361968, id=,B01, PRDE,actvstrat=,0.600483, actvprof=,2.866409, id=,B02, PRDE,actvstrat=,0.514294, actvprof=,2.920020, id=,B03, PRDE,actvstrat=,-0.221991, actvprof=,2.280988, id=,B04, PRDE,actvstrat=,0.265437, actvprof=,2.626268, id=,B05, PRDE,actvstrat=,0.218819, actvprof=,2.498906, id=,B06, PRDE,actvstrat=,-0.385074, actvprof=,2.339044, id=,B07, PRDE,actvstrat=,-0.596080, actvprof=,2.882937, id=,B08, PRDE,actvstrat=,0.102720, actvprof=,2.301960, id=,B09, PRDE,actvstrat=,-0.170483, actvprof=,2.120293, id=,S00, PRDE,actvstrat=,-0.905075, actvprof=,0.457781, id=,S01, PRDE,actvstrat=,0.868892, actvprof=,9.463955, id=,S02, PRDE,actvstrat=,-0.111532, actvprof=,3.845443, id=,S03, PRDE,actvstrat=,0.643045, actvprof=,8.387697, id=,S04, PRDE,actvstrat=,0.333519, actvprof=,6.465878, id=,S05, PRDE,actvstrat=,0.949229, actvprof=,9.504788, id=,S06, PRDE,actvstrat=,0.421506, actvprof=,7.059216, id=,S07, PRDE,actvstrat=,-0.437412, actvprof=,2.591129, id=,S08, PRDE,actvstrat=,-0.230869, actvprof=,3.152383, id=,S09, PRDE,actvstrat=,-0.252016, actvprof=,3.206828, best_B_id=,B00, best_B_prof=,3.361968, best_B_strat=,-0.773005, best_S_id=,S05, best_S_prof=,9.504788, best_S_strat=,0.949229, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.995625, actvprof=,2.290865, id=,B01, PRDE,actvstrat=,0.600483, actvprof=,1.953360, id=,B02, PRDE,actvstrat=,0.609913, actvprof=,1.922527, id=,B03, PRDE,actvstrat=,0.163609, actvprof=,1.533077, id=,B04, PRDE,actvstrat=,0.265437, actvprof=,1.521132, id=,B05, PRDE,actvstrat=,-0.870725, actvprof=,2.100863, id=,B06, PRDE,actvstrat=,-0.385074, actvprof=,1.019181, id=,B07, PRDE,actvstrat=,0.807593, actvprof=,1.871137, id=,B08, PRDE,actvstrat=,0.102720, actvprof=,1.354185, id=,B09, PRDE,actvstrat=,-0.097672, actvprof=,1.202517, id=,S00, PRDE,actvstrat=,-0.380762, actvprof=,3.795330, id=,S01, PRDE,actvstrat=,-0.615657, actvprof=,2.993930, id=,S02, PRDE,actvstrat=,-0.111532, actvprof=,5.102571, id=,S03, PRDE,actvstrat=,-0.397183, actvprof=,3.074765, id=,S04, PRDE,actvstrat=,0.781306, actvprof=,10.758205, id=,S05, PRDE,actvstrat=,-0.847474, actvprof=,0.683621, id=,S06, PRDE,actvstrat=,0.294779, actvprof=,7.236489, id=,S07, PRDE,actvstrat=,0.772049, actvprof=,10.603758, id=,S08, PRDE,actvstrat=,0.359918, actvprof=,7.735663, id=,S09, PRDE,actvstrat=,0.280698, actvprof=,7.492326, best_B_id=,B00, best_B_prof=,2.290865, best_B_strat=,-0.995625, best_S_id=,S04, best_S_prof=,10.758205, best_S_strat=,0.781306, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.995625, actvprof=,2.347116, id=,B01, PRDE,actvstrat=,0.600483, actvprof=,1.868359, id=,B02, PRDE,actvstrat=,0.609913, actvprof=,1.862665, id=,B03, PRDE,actvstrat=,0.163609, actvprof=,1.541549, id=,B04, PRDE,actvstrat=,0.265437, actvprof=,1.511271, id=,B05, PRDE,actvstrat=,-0.870725, actvprof=,2.164891, id=,B06, PRDE,actvstrat=,-0.385074, actvprof=,1.123210, id=,B07, PRDE,actvstrat=,0.807593, actvprof=,1.879332, id=,B08, PRDE,actvstrat=,0.102720, actvprof=,1.341269, id=,B09, PRDE,actvstrat=,-0.097672, actvprof=,1.261823, id=,S00, PRDE,actvstrat=,-0.380762, actvprof=,3.657829, id=,S01, PRDE,actvstrat=,-0.615657, actvprof=,2.839623, id=,S02, PRDE,actvstrat=,-0.111532, actvprof=,4.820900, id=,S03, PRDE,actvstrat=,-0.397183, actvprof=,3.197544, id=,S04, PRDE,actvstrat=,0.781306, actvprof=,10.636676, id=,S05, PRDE,actvstrat=,-0.847474, actvprof=,0.747649, id=,S06, PRDE,actvstrat=,0.294779, actvprof=,7.446909, id=,S07, PRDE,actvstrat=,0.772049, actvprof=,10.641120, id=,S08, PRDE,actvstrat=,0.359918, actvprof=,7.790247, id=,S09, PRDE,actvstrat=,0.280698, actvprof=,7.398853, best_B_id=,B00, best_B_prof=,2.347116, best_B_strat=,-0.995625, best_S_id=,S07, best_S_prof=,10.641120, best_S_strat=,0.772049, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.773005, actvprof=,2.723131, id=,B01, PRDE,actvstrat=,0.058202, actvprof=,1.822828, id=,B02, PRDE,actvstrat=,-0.558902, actvprof=,1.703381, id=,B03, PRDE,actvstrat=,-0.221991, actvprof=,1.654768, id=,B04, PRDE,actvstrat=,-0.212296, actvprof=,1.687825, id=,B05, PRDE,actvstrat=,0.868218, actvprof=,1.981444, id=,B06, PRDE,actvstrat=,-0.061222, actvprof=,1.774494, id=,B07, PRDE,actvstrat=,-0.596080, actvprof=,1.877274, id=,B08, PRDE,actvstrat=,0.141583, actvprof=,1.761993, id=,B09, PRDE,actvstrat=,-0.774928, actvprof=,2.842023, id=,S00, PRDE,actvstrat=,-0.632818, actvprof=,2.387011, id=,S01, PRDE,actvstrat=,-0.047742, actvprof=,4.782633, id=,S02, PRDE,actvstrat=,-0.921831, actvprof=,0.478347, id=,S03, PRDE,actvstrat=,0.527310, actvprof=,7.658268, id=,S04, PRDE,actvstrat=,0.973726, actvprof=,9.838329, id=,S05, PRDE,actvstrat=,-0.686703, actvprof=,2.239229, id=,S06, PRDE,actvstrat=,-0.582343, actvprof=,2.375066, id=,S07, PRDE,actvstrat=,-0.008849, actvprof=,5.311814, id=,S08, PRDE,actvstrat=,0.942939, actvprof=,10.080280, id=,S09, PRDE,actvstrat=,-0.876704, actvprof=,0.310564, best_B_id=,B09, best_B_prof=,2.842023, best_B_strat=,-0.774928, best_S_id=,S08, best_S_prof=,10.080280, best_S_strat=,0.942939, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.773005, actvprof=,2.648666, id=,B01, PRDE,actvstrat=,0.058202, actvprof=,1.795454, id=,B02, PRDE,actvstrat=,-0.558902, actvprof=,1.758926, id=,B03, PRDE,actvstrat=,-0.221991, actvprof=,1.685313, id=,B04, PRDE,actvstrat=,-0.212296, actvprof=,1.662951, id=,B05, PRDE,actvstrat=,0.868218, actvprof=,1.944763, id=,B06, PRDE,actvstrat=,-0.061222, actvprof=,1.787954, id=,B07, PRDE,actvstrat=,-0.596080, actvprof=,1.943096, id=,B08, PRDE,actvstrat=,0.141583, actvprof=,1.821705, id=,B09, PRDE,actvstrat=,-0.774928, actvprof=,2.727279, id=,S00, PRDE,actvstrat=,-0.632818, actvprof=,2.524219, id=,S01, PRDE,actvstrat=,-0.047742, actvprof=,4.739543, id=,S02, PRDE,actvstrat=,-0.921831, actvprof=,0.355285, id=,S03, PRDE,actvstrat=,0.527310, actvprof=,7.754467, id=,S04, PRDE,actvstrat=,0.973726, actvprof=,9.959096, id=,S05, PRDE,actvstrat=,-0.686703, actvprof=,2.206435, id=,S06, PRDE,actvstrat=,-0.582343, actvprof=,2.366855, id=,S07, PRDE,actvstrat=,-0.008849, actvprof=,5.331361, id=,S08, PRDE,actvstrat=,0.942939, actvprof=,9.926735, id=,S09, PRDE,actvstrat=,-0.876704, actvprof=,0.372369, best_B_id=,B09, best_B_prof=,2.727279, best_B_strat=,-0.774928, best_S_id=,S04, best_S_prof=,9.959096, best_S_strat=,0.973726, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.136653, actvprof=,1.443711, id=,B01, PRDE,actvstrat=,-0.809292, actvprof=,2.331829, id=,B02, PRDE,actvstrat=,-0.558902, actvprof=,1.737898, id=,B03, PRDE,actvstrat=,-0.221991, actvprof=,1.522606, id=,B04, PRDE,actvstrat=,-0.212296, actvprof=,1.371206, id=,B05, PRDE,actvstrat=,0.868218, actvprof=,2.034030, id=,B06, PRDE,actvstrat=,-0.760167, actvprof=,2.222377, id=,B07, PRDE,actvstrat=,0.570400, actvprof=,2.096257, id=,B08, PRDE,actvstrat=,0.804482, actvprof=,2.251823, id=,B09, PRDE,actvstrat=,-0.154826, actvprof=,1.453434, id=,S00, PRDE,actvstrat=,-0.354291, actvprof=,3.117439, id=,S01, PRDE,actvstrat=,-0.143320, actvprof=,4.490590, id=,S02, PRDE,actvstrat=,0.345337, actvprof=,6.974095, id=,S03, PRDE,actvstrat=,0.643045, actvprof=,9.095909, id=,S04, PRDE,actvstrat=,0.973726, actvprof=,10.510174, id=,S05, PRDE,actvstrat=,-0.046265, actvprof=,5.195083, id=,S06, PRDE,actvstrat=,-0.400709, actvprof=,3.290506, id=,S07, PRDE,actvstrat=,-0.008849, actvprof=,5.726787, id=,S08, PRDE,actvstrat=,-0.664430, actvprof=,2.637128, id=,S09, PRDE,actvstrat=,-0.876704, actvprof=,0.657546, best_B_id=,B01, best_B_prof=,2.331829, best_B_strat=,-0.809292, best_S_id=,S04, best_S_prof=,10.510174, best_S_strat=,0.973726, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.136653, actvprof=,1.416021, id=,B01, PRDE,actvstrat=,-0.809292, actvprof=,2.349665, id=,B02, PRDE,actvstrat=,-0.558902, actvprof=,1.677419, id=,B03, PRDE,actvstrat=,-0.221991, actvprof=,1.459078, id=,B04, PRDE,actvstrat=,-0.212296, actvprof=,1.417688, id=,B05, PRDE,actvstrat=,0.868218, actvprof=,1.948818, id=,B06, PRDE,actvstrat=,-0.760167, actvprof=,2.308691, id=,B07, PRDE,actvstrat=,0.570400, actvprof=,2.171464, id=,B08, PRDE,actvstrat=,0.804482, actvprof=,2.140074, id=,B09, PRDE,actvstrat=,-0.154826, actvprof=,1.451300, id=,S00, PRDE,actvstrat=,-0.354291, actvprof=,3.252057, id=,S01, PRDE,actvstrat=,-0.143320, actvprof=,4.321261, id=,S02, PRDE,actvstrat=,0.345337, actvprof=,6.971909, id=,S03, PRDE,actvstrat=,0.643045, actvprof=,9.087399, id=,S04, PRDE,actvstrat=,0.973726, actvprof=,10.425640, id=,S05, PRDE,actvstrat=,-0.046265, actvprof=,5.133928, id=,S06, PRDE,actvstrat=,-0.400709, actvprof=,3.209278, id=,S07, PRDE,actvstrat=,-0.008849, actvprof=,5.444217, id=,S08, PRDE,actvstrat=,-0.664430, actvprof=,2.482170, id=,S09, PRDE,actvstrat=,-0.876704, actvprof=,0.656551, best_B_id=,B01, best_B_prof=,2.349665, best_B_strat=,-0.809292, best_S_id=,S04, best_S_prof=,10.425640, best_S_strat=,0.973726, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.430261, actvprof=,3.111093, id=,B01, PRDE,actvstrat=,0.400710, actvprof=,3.052477, id=,B02, PRDE,actvstrat=,0.056642, actvprof=,2.634942, id=,B03, PRDE,actvstrat=,0.558521, actvprof=,3.131094, id=,B04, PRDE,actvstrat=,0.056053, actvprof=,2.616885, id=,B05, PRDE,actvstrat=,0.868218, actvprof=,2.320193, id=,B06, PRDE,actvstrat=,-0.061222, actvprof=,2.700781, id=,B07, PRDE,actvstrat=,0.049269, actvprof=,2.462983, id=,B08, PRDE,actvstrat=,-0.310585, actvprof=,3.084702, id=,B09, PRDE,actvstrat=,0.091920, actvprof=,2.808567, id=,S00, PRDE,actvstrat=,0.149254, actvprof=,6.016612, id=,S01, PRDE,actvstrat=,-0.047742, actvprof=,5.017640, id=,S02, PRDE,actvstrat=,0.167297, actvprof=,6.105509, id=,S03, PRDE,actvstrat=,0.845842, actvprof=,9.721366, id=,S04, PRDE,actvstrat=,0.973726, actvprof=,9.785815, id=,S05, PRDE,actvstrat=,-0.686703, actvprof=,2.083507, id=,S06, PRDE,actvstrat=,0.421506, actvprof=,7.351724, id=,S07, PRDE,actvstrat=,-0.437412, actvprof=,3.117482, id=,S08, PRDE,actvstrat=,0.942939, actvprof=,9.750257, id=,S09, PRDE,actvstrat=,-0.299765, actvprof=,3.244993, best_B_id=,B03, best_B_prof=,3.131094, best_B_strat=,0.558521, best_S_id=,S04, best_S_prof=,9.785815, best_S_strat=,0.973726, 
