t=,0, id=,B00, PRDE,actvstrat=,-0.906254, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.449078, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.681014, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.172040, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.821787, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.441126, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.725178, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.106231, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.594138, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.241477, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.430905, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.751455, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.642162, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.454713, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.058694, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.536355, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.109750, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.323603, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.041801, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.671951, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.906254, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.430905, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.906254, actvprof=,3.133611, id=,B01, PRDE,actvstrat=,0.449078, actvprof=,2.324722, id=,B02, PRDE,actvstrat=,0.681014, actvprof=,2.610833, id=,B03, PRDE,actvstrat=,0.172040, actvprof=,1.954444, id=,B04, PRDE,actvstrat=,-0.821787, actvprof=,2.490556, id=,B05, PRDE,actvstrat=,0.441126, actvprof=,2.094722, id=,B06, PRDE,actvstrat=,0.725178, actvprof=,2.296389, id=,B07, PRDE,actvstrat=,-0.106231, actvprof=,1.733889, id=,B08, PRDE,actvstrat=,-0.594138, actvprof=,1.899444, id=,B09, PRDE,actvstrat=,0.241477, actvprof=,1.903889, id=,S00, PRDE,actvstrat=,-0.430905, actvprof=,3.854167, id=,S01, PRDE,actvstrat=,0.751455, actvprof=,10.068889, id=,S02, PRDE,actvstrat=,-0.642162, actvprof=,3.295278, id=,S03, PRDE,actvstrat=,-0.454713, actvprof=,4.175556, id=,S04, PRDE,actvstrat=,-0.058694, actvprof=,5.985278, id=,S05, PRDE,actvstrat=,-0.536355, actvprof=,3.832222, id=,S06, PRDE,actvstrat=,-0.109750, actvprof=,5.476389, id=,S07, PRDE,actvstrat=,0.323603, actvprof=,7.699722, id=,S08, PRDE,actvstrat=,0.041801, actvprof=,6.913333, id=,S09, PRDE,actvstrat=,0.671951, actvprof=,9.367778, best_B_id=,B00, best_B_prof=,3.133611, best_B_strat=,-0.906254, best_S_id=,S01, best_S_prof=,10.068889, best_S_strat=,0.751455, 
t=,7200, id=,B00, PRDE,actvstrat=,0.644524, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.156922, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.242430, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.614004, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.949670, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.432683, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.912403, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.724366, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.636756, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.698938, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.739628, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.985944, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.713882, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.412388, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.002455, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.540759, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.252324, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.977341, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.520862, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.580380, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.644524, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.739628, 
t=,10800, id=,B00, PRDE,actvstrat=,0.644524, actvprof=,1.268333, id=,B01, PRDE,actvstrat=,0.156922, actvprof=,0.809722, id=,B02, PRDE,actvstrat=,-0.242430, actvprof=,0.581389, id=,B03, PRDE,actvstrat=,0.614004, actvprof=,1.314722, id=,B04, PRDE,actvstrat=,-0.949670, actvprof=,1.730278, id=,B05, PRDE,actvstrat=,0.432683, actvprof=,1.130000, id=,B06, PRDE,actvstrat=,0.912403, actvprof=,1.277222, id=,B07, PRDE,actvstrat=,0.724366, actvprof=,1.444722, id=,B08, PRDE,actvstrat=,-0.636756, actvprof=,0.833611, id=,B09, PRDE,actvstrat=,0.698938, actvprof=,1.293056, id=,S00, PRDE,actvstrat=,-0.739628, actvprof=,3.986389, id=,S01, PRDE,actvstrat=,-0.985944, actvprof=,1.958333, id=,S02, PRDE,actvstrat=,-0.713882, actvprof=,4.497222, id=,S03, PRDE,actvstrat=,0.412388, actvprof=,9.861944, id=,S04, PRDE,actvstrat=,0.002455, actvprof=,7.879167, id=,S05, PRDE,actvstrat=,0.540759, actvprof=,10.595556, id=,S06, PRDE,actvstrat=,0.252324, actvprof=,8.974167, id=,S07, PRDE,actvstrat=,-0.977341, actvprof=,1.626667, id=,S08, PRDE,actvstrat=,-0.520862, actvprof=,4.983333, id=,S09, PRDE,actvstrat=,-0.580380, actvprof=,5.287500, best_B_id=,B04, best_B_prof=,1.730278, best_B_strat=,-0.949670, best_S_id=,S05, best_S_prof=,10.595556, best_S_strat=,0.540759, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.906254, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.306070, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.462785, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.537685, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.263137, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.047387, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.747399, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.576152, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.573604, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.890849, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.530654, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.569777, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.703705, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.074363, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.556701, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.292803, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.690806, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.393412, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.432722, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.580380, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.906254, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.530654, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.906254, actvprof=,3.168012, id=,B01, PRDE,actvstrat=,0.306070, actvprof=,2.206636, id=,B02, PRDE,actvstrat=,0.462785, actvprof=,2.329134, id=,B03, PRDE,actvstrat=,0.537685, actvprof=,2.676352, id=,B04, PRDE,actvstrat=,-0.263137, actvprof=,1.769698, id=,B05, PRDE,actvstrat=,-0.047387, actvprof=,2.121637, id=,B06, PRDE,actvstrat=,-0.747399, actvprof=,2.519409, id=,B07, PRDE,actvstrat=,0.576152, actvprof=,2.506910, id=,B08, PRDE,actvstrat=,-0.573604, actvprof=,2.155803, id=,B09, PRDE,actvstrat=,-0.890849, actvprof=,3.075513, id=,S00, PRDE,actvstrat=,-0.530654, actvprof=,3.511340, id=,S01, PRDE,actvstrat=,-0.569777, actvprof=,3.220233, id=,S02, PRDE,actvstrat=,0.703705, actvprof=,8.801822, id=,S03, PRDE,actvstrat=,-0.074363, actvprof=,5.088540, id=,S04, PRDE,actvstrat=,-0.556701, actvprof=,3.578284, id=,S05, PRDE,actvstrat=,-0.292803, actvprof=,4.141331, id=,S06, PRDE,actvstrat=,0.690806, actvprof=,9.145984, id=,S07, PRDE,actvstrat=,0.393412, actvprof=,7.714893, id=,S08, PRDE,actvstrat=,0.432722, actvprof=,8.064332, id=,S09, PRDE,actvstrat=,-0.580380, actvprof=,3.336343, best_B_id=,B00, best_B_prof=,3.168012, best_B_strat=,-0.906254, best_S_id=,S06, best_S_prof=,9.145984, best_S_strat=,0.690806, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.906254, actvprof=,3.088355, id=,B01, PRDE,actvstrat=,0.306070, actvprof=,2.194599, id=,B02, PRDE,actvstrat=,0.462785, actvprof=,2.243766, id=,B03, PRDE,actvstrat=,0.537685, actvprof=,2.445295, id=,B04, PRDE,actvstrat=,-0.263137, actvprof=,1.634734, id=,B05, PRDE,actvstrat=,-0.047387, actvprof=,1.878485, id=,B06, PRDE,actvstrat=,-0.747399, actvprof=,2.342100, id=,B07, PRDE,actvstrat=,0.576152, actvprof=,2.422656, id=,B08, PRDE,actvstrat=,-0.573604, actvprof=,1.851541, id=,B09, PRDE,actvstrat=,-0.890849, actvprof=,2.960715, id=,S00, PRDE,actvstrat=,-0.530654, actvprof=,3.225439, id=,S01, PRDE,actvstrat=,-0.569777, actvprof=,3.136688, id=,S02, PRDE,actvstrat=,0.703705, actvprof=,8.830478, id=,S03, PRDE,actvstrat=,-0.074363, actvprof=,5.101841, id=,S04, PRDE,actvstrat=,-0.556701, actvprof=,3.240717, id=,S05, PRDE,actvstrat=,-0.292803, actvprof=,3.775026, id=,S06, PRDE,actvstrat=,0.690806, actvprof=,9.303537, id=,S07, PRDE,actvstrat=,0.393412, actvprof=,7.736720, id=,S08, PRDE,actvstrat=,0.432722, actvprof=,7.971861, id=,S09, PRDE,actvstrat=,-0.580380, actvprof=,3.204883, best_B_id=,B00, best_B_prof=,3.088355, best_B_strat=,-0.906254, best_S_id=,S06, best_S_prof=,9.303537, best_S_strat=,0.690806, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.398648, actvprof=,3.158187, id=,B01, PRDE,actvstrat=,-0.132750, actvprof=,2.783449, id=,B02, PRDE,actvstrat=,0.066027, actvprof=,3.077350, id=,B03, PRDE,actvstrat=,0.339807, actvprof=,3.149020, id=,B04, PRDE,actvstrat=,-0.090790, actvprof=,2.856786, id=,B05, PRDE,actvstrat=,0.599799, actvprof=,3.321527, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.512563, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.644596, id=,B08, PRDE,actvstrat=,-0.179483, actvprof=,2.782894, id=,B09, PRDE,actvstrat=,0.352547, actvprof=,3.172632, id=,S00, PRDE,actvstrat=,0.492827, actvprof=,7.696710, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.331500, id=,S02, PRDE,actvstrat=,-0.259626, actvprof=,3.949331, id=,S03, PRDE,actvstrat=,0.244196, actvprof=,6.863342, id=,S04, PRDE,actvstrat=,0.805604, actvprof=,9.600678, id=,S05, PRDE,actvstrat=,-0.067679, actvprof=,5.111880, id=,S06, PRDE,actvstrat=,0.484343, actvprof=,7.857827, id=,S07, PRDE,actvstrat=,-0.502066, actvprof=,3.030682, id=,S08, PRDE,actvstrat=,-0.157191, actvprof=,3.658764, id=,S09, PRDE,actvstrat=,0.626955, actvprof=,8.822034, best_B_id=,B07, best_B_prof=,3.644596, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,9.600678, best_S_strat=,0.805604, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.398648, actvprof=,3.082607, id=,B01, PRDE,actvstrat=,-0.132750, actvprof=,2.779124, id=,B02, PRDE,actvstrat=,0.066027, actvprof=,3.072051, id=,B03, PRDE,actvstrat=,0.339807, actvprof=,3.186638, id=,B04, PRDE,actvstrat=,-0.090790, actvprof=,2.948019, id=,B05, PRDE,actvstrat=,0.599799, actvprof=,3.344838, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.419077, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.537067, id=,B08, PRDE,actvstrat=,-0.179483, actvprof=,2.833432, id=,B09, PRDE,actvstrat=,0.352547, actvprof=,3.113858, id=,S00, PRDE,actvstrat=,0.492827, actvprof=,7.757908, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.216431, id=,S02, PRDE,actvstrat=,-0.259626, actvprof=,3.933331, id=,S03, PRDE,actvstrat=,0.244196, actvprof=,6.733289, id=,S04, PRDE,actvstrat=,0.805604, actvprof=,9.708532, id=,S05, PRDE,actvstrat=,-0.067679, actvprof=,5.149207, id=,S06, PRDE,actvstrat=,0.484343, actvprof=,7.886246, id=,S07, PRDE,actvstrat=,-0.502066, actvprof=,3.089968, id=,S08, PRDE,actvstrat=,-0.157191, actvprof=,3.962638, id=,S09, PRDE,actvstrat=,0.626955, actvprof=,8.726831, best_B_id=,B07, best_B_prof=,3.537067, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,9.708532, best_S_strat=,0.805604, 
t=,32400, id=,B00, PRDE,actvstrat=,0.166786, actvprof=,1.525426, id=,B01, PRDE,actvstrat=,0.106302, actvprof=,1.411526, id=,B02, PRDE,actvstrat=,0.178696, actvprof=,1.488478, id=,B03, PRDE,actvstrat=,0.003948, actvprof=,1.340686, id=,B04, PRDE,actvstrat=,0.846847, actvprof=,1.847957, id=,B05, PRDE,actvstrat=,0.549955, actvprof=,1.797397, id=,B06, PRDE,actvstrat=,0.592635, actvprof=,2.037142, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.203825, id=,B08, PRDE,actvstrat=,-0.208871, actvprof=,1.307072, id=,B09, PRDE,actvstrat=,-0.188708, actvprof=,1.207340, id=,S00, PRDE,actvstrat=,-0.487709, actvprof=,3.376995, id=,S01, PRDE,actvstrat=,-0.790800, actvprof=,2.242162, id=,S02, PRDE,actvstrat=,0.640893, actvprof=,9.592321, id=,S03, PRDE,actvstrat=,-0.511397, actvprof=,4.029281, id=,S04, PRDE,actvstrat=,0.805604, actvprof=,10.531579, id=,S05, PRDE,actvstrat=,-0.067679, actvprof=,5.925020, id=,S06, PRDE,actvstrat=,-0.908451, actvprof=,0.530329, id=,S07, PRDE,actvstrat=,0.464827, actvprof=,8.787521, id=,S08, PRDE,actvstrat=,0.389212, actvprof=,8.704180, id=,S09, PRDE,actvstrat=,-0.219724, actvprof=,4.320976, best_B_id=,B07, best_B_prof=,2.203825, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,10.531579, best_S_strat=,0.805604, 
t=,36000, id=,B00, PRDE,actvstrat=,0.166786, actvprof=,1.418392, id=,B01, PRDE,actvstrat=,0.106302, actvprof=,1.318527, id=,B02, PRDE,actvstrat=,0.178696, actvprof=,1.479089, id=,B03, PRDE,actvstrat=,0.003948, actvprof=,1.299082, id=,B04, PRDE,actvstrat=,0.846847, actvprof=,1.837854, id=,B05, PRDE,actvstrat=,0.549955, actvprof=,1.803825, id=,B06, PRDE,actvstrat=,0.592635, actvprof=,1.896051, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.181341, id=,B08, PRDE,actvstrat=,-0.208871, actvprof=,1.286581, id=,B09, PRDE,actvstrat=,-0.188708, actvprof=,1.220606, id=,S00, PRDE,actvstrat=,-0.487709, actvprof=,3.359029, id=,S01, PRDE,actvstrat=,-0.790800, actvprof=,2.229260, id=,S02, PRDE,actvstrat=,0.640893, actvprof=,9.885829, id=,S03, PRDE,actvstrat=,-0.511397, actvprof=,3.738628, id=,S04, PRDE,actvstrat=,0.805604, actvprof=,10.703224, id=,S05, PRDE,actvstrat=,-0.067679, actvprof=,5.706627, id=,S06, PRDE,actvstrat=,-0.908451, actvprof=,0.517660, id=,S07, PRDE,actvstrat=,0.464827, actvprof=,8.771893, id=,S08, PRDE,actvstrat=,0.389212, actvprof=,8.476603, id=,S09, PRDE,actvstrat=,-0.219724, actvprof=,4.239621, best_B_id=,B07, best_B_prof=,2.181341, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,10.703224, best_S_strat=,0.805604, 
