t=,1, id=,B00, PRDE,actvstrat=,-0.729424, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.698694, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.958284, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.294746, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.627963, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.264743, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.852154, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.597548, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.504429, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.462193, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.364373, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.603860, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.717083, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.668882, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.287482, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.529862, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.984223, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.427514, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.765742, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.567140, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.729424, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.364373, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.729424, actvprof=,2.301603, id=,B01, PRDE,actvstrat=,-0.698694, actvprof=,1.877170, id=,B02, PRDE,actvstrat=,0.958284, actvprof=,1.544679, id=,B03, PRDE,actvstrat=,-0.294746, actvprof=,1.709675, id=,B04, PRDE,actvstrat=,0.627963, actvprof=,2.522708, id=,B05, PRDE,actvstrat=,0.264743, actvprof=,2.037999, id=,B06, PRDE,actvstrat=,-0.852154, actvprof=,2.913252, id=,B07, PRDE,actvstrat=,-0.597548, actvprof=,1.682175, id=,B08, PRDE,actvstrat=,0.504429, actvprof=,2.236882, id=,B09, PRDE,actvstrat=,-0.462193, actvprof=,1.715230, id=,S00, PRDE,actvstrat=,-0.364373, actvprof=,3.382128, id=,S01, PRDE,actvstrat=,-0.603860, actvprof=,2.974640, id=,S02, PRDE,actvstrat=,0.717083, actvprof=,9.439738, id=,S03, PRDE,actvstrat=,0.668882, actvprof=,9.040582, id=,S04, PRDE,actvstrat=,0.287482, actvprof=,6.666204, id=,S05, PRDE,actvstrat=,-0.529862, actvprof=,2.949363, id=,S06, PRDE,actvstrat=,-0.984223, actvprof=,2.558262, id=,S07, PRDE,actvstrat=,-0.427514, actvprof=,3.488792, id=,S08, PRDE,actvstrat=,0.765742, actvprof=,9.601678, id=,S09, PRDE,actvstrat=,-0.567140, actvprof=,3.421849, best_B_id=,B06, best_B_prof=,2.913252, best_B_strat=,-0.852154, best_S_id=,S08, best_S_prof=,9.601678, best_S_strat=,0.765742, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.848537, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.815518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.015860, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.187053, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.055928, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.043948, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.321053, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.568486, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.703002, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.007549, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.115788, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.475982, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.260541, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.265639, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.504747, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.545990, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.739351, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.389688, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.865960, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.475765, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.848537, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.115788, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.848537, actvprof=,2.466180, id=,B01, PRDE,actvstrat=,0.815518, actvprof=,2.185894, id=,B02, PRDE,actvstrat=,-0.015860, actvprof=,1.542265, id=,B03, PRDE,actvstrat=,0.187053, actvprof=,1.768938, id=,B04, PRDE,actvstrat=,0.055928, actvprof=,1.337815, id=,B05, PRDE,actvstrat=,0.043948, actvprof=,1.530320, id=,B06, PRDE,actvstrat=,0.321053, actvprof=,1.966721, id=,B07, PRDE,actvstrat=,-0.568486, actvprof=,1.533376, id=,B08, PRDE,actvstrat=,-0.703002, actvprof=,1.901442, id=,B09, PRDE,actvstrat=,-0.007549, actvprof=,1.346426, id=,S00, PRDE,actvstrat=,0.115788, actvprof=,6.235451, id=,S01, PRDE,actvstrat=,-0.475982, actvprof=,2.953971, id=,S02, PRDE,actvstrat=,-0.260541, actvprof=,3.418984, id=,S03, PRDE,actvstrat=,0.265639, actvprof=,6.914637, id=,S04, PRDE,actvstrat=,-0.504747, actvprof=,2.966194, id=,S05, PRDE,actvstrat=,0.545990, actvprof=,8.355232, id=,S06, PRDE,actvstrat=,-0.739351, actvprof=,2.028945, id=,S07, PRDE,actvstrat=,-0.389688, actvprof=,3.074530, id=,S08, PRDE,actvstrat=,0.865960, actvprof=,10.287508, id=,S09, PRDE,actvstrat=,-0.475765, actvprof=,2.764799, best_B_id=,B00, best_B_prof=,2.466180, best_B_strat=,-0.848537, best_S_id=,S08, best_S_prof=,10.287508, best_S_strat=,0.865960, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.848537, actvprof=,2.439617, id=,B01, PRDE,actvstrat=,0.815518, actvprof=,2.091279, id=,B02, PRDE,actvstrat=,-0.015860, actvprof=,1.508354, id=,B03, PRDE,actvstrat=,0.187053, actvprof=,1.671273, id=,B04, PRDE,actvstrat=,0.055928, actvprof=,1.389603, id=,B05, PRDE,actvstrat=,0.043948, actvprof=,1.572661, id=,B06, PRDE,actvstrat=,0.321053, actvprof=,1.831831, id=,B07, PRDE,actvstrat=,-0.568486, actvprof=,1.417103, id=,B08, PRDE,actvstrat=,-0.703002, actvprof=,1.874332, id=,B09, PRDE,actvstrat=,-0.007549, actvprof=,1.401686, id=,S00, PRDE,actvstrat=,0.115788, actvprof=,6.214947, id=,S01, PRDE,actvstrat=,-0.475982, actvprof=,3.089210, id=,S02, PRDE,actvstrat=,-0.260541, actvprof=,3.457687, id=,S03, PRDE,actvstrat=,0.265639, actvprof=,6.835789, id=,S04, PRDE,actvstrat=,-0.504747, actvprof=,3.069487, id=,S05, PRDE,actvstrat=,0.545990, actvprof=,8.300115, id=,S06, PRDE,actvstrat=,-0.739351, actvprof=,2.007806, id=,S07, PRDE,actvstrat=,-0.389688, actvprof=,3.184489, id=,S08, PRDE,actvstrat=,0.865960, actvprof=,10.469590, id=,S09, PRDE,actvstrat=,-0.475765, actvprof=,2.751844, best_B_id=,B00, best_B_prof=,2.439617, best_B_strat=,-0.848537, best_S_id=,S08, best_S_prof=,10.469590, best_S_strat=,0.865960, 
t=,18000, id=,B00, PRDE,actvstrat=,0.430159, actvprof=,1.140325, id=,B01, PRDE,actvstrat=,0.041913, actvprof=,0.929761, id=,B02, PRDE,actvstrat=,0.390155, actvprof=,1.186994, id=,B03, PRDE,actvstrat=,0.931512, actvprof=,1.075878, id=,B04, PRDE,actvstrat=,0.055928, actvprof=,0.946428, id=,B05, PRDE,actvstrat=,-0.696804, actvprof=,1.141714, id=,B06, PRDE,actvstrat=,0.933939, actvprof=,1.018376, id=,B07, PRDE,actvstrat=,-0.568486, actvprof=,1.015042, id=,B08, PRDE,actvstrat=,-0.432544, actvprof=,0.827812, id=,B09, PRDE,actvstrat=,-0.236025, actvprof=,0.804756, id=,S00, PRDE,actvstrat=,-0.753572, actvprof=,2.338153, id=,S01, PRDE,actvstrat=,-0.854135, actvprof=,0.739197, id=,S02, PRDE,actvstrat=,-0.478093, actvprof=,3.702099, id=,S03, PRDE,actvstrat=,-0.682448, actvprof=,2.981791, id=,S04, PRDE,actvstrat=,0.949418, actvprof=,11.865217, id=,S05, PRDE,actvstrat=,-0.432078, actvprof=,3.980444, id=,S06, PRDE,actvstrat=,0.363718, actvprof=,8.404239, id=,S07, PRDE,actvstrat=,-0.737224, actvprof=,2.474270, id=,S08, PRDE,actvstrat=,0.013857, actvprof=,6.690001, id=,S09, PRDE,actvstrat=,-0.475765, actvprof=,3.962110, best_B_id=,B02, best_B_prof=,1.186994, best_B_strat=,0.390155, best_S_id=,S04, best_S_prof=,11.865217, best_S_strat=,0.949418, 
t=,21600, id=,B00, PRDE,actvstrat=,0.430159, actvprof=,1.195858, id=,B01, PRDE,actvstrat=,0.041913, actvprof=,0.959603, id=,B02, PRDE,actvstrat=,0.390155, actvprof=,1.156691, id=,B03, PRDE,actvstrat=,0.931512, actvprof=,1.065578, id=,B04, PRDE,actvstrat=,0.055928, actvprof=,0.815850, id=,B05, PRDE,actvstrat=,-0.696804, actvprof=,1.210164, id=,B06, PRDE,actvstrat=,0.933939, actvprof=,0.997937, id=,B07, PRDE,actvstrat=,-0.568486, actvprof=,0.971131, id=,B08, PRDE,actvstrat=,-0.432544, actvprof=,0.890019, id=,B09, PRDE,actvstrat=,-0.236025, actvprof=,0.810850, id=,S00, PRDE,actvstrat=,-0.753572, actvprof=,2.402967, id=,S01, PRDE,actvstrat=,-0.854135, actvprof=,0.840156, id=,S02, PRDE,actvstrat=,-0.478093, actvprof=,3.622992, id=,S03, PRDE,actvstrat=,-0.682448, actvprof=,3.133260, id=,S04, PRDE,actvstrat=,0.949418, actvprof=,11.855664, id=,S05, PRDE,actvstrat=,-0.432078, actvprof=,4.083280, id=,S06, PRDE,actvstrat=,0.363718, actvprof=,8.480732, id=,S07, PRDE,actvstrat=,-0.737224, actvprof=,2.446023, id=,S08, PRDE,actvstrat=,0.013857, actvprof=,6.839448, id=,S09, PRDE,actvstrat=,-0.475765, actvprof=,3.900776, best_B_id=,B05, best_B_prof=,1.210164, best_B_strat=,-0.696804, best_S_id=,S04, best_S_prof=,11.855664, best_S_strat=,0.949418, 
t=,25200, id=,B00, PRDE,actvstrat=,0.130333, actvprof=,1.982055, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.383410, id=,B02, PRDE,actvstrat=,0.474104, actvprof=,2.057892, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.257570, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.256459, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.171454, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.513140, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.228124, id=,B08, PRDE,actvstrat=,-0.705045, actvprof=,2.010945, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.430079, id=,S00, PRDE,actvstrat=,0.668972, actvprof=,11.085338, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.052225, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.554031, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,12.550975, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.459026, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.292794, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.959998, id=,S07, PRDE,actvstrat=,-0.304564, actvprof=,4.662203, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.260681, id=,S09, PRDE,actvstrat=,-0.315554, actvprof=,4.726096, best_B_id=,B02, best_B_prof=,2.057892, best_B_strat=,0.474104, best_S_id=,S02, best_S_prof=,12.554031, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.130333, actvprof=,2.112961, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,1.455725, id=,B02, PRDE,actvstrat=,0.474104, actvprof=,2.338104, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.446558, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.489753, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.296694, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.474614, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.423919, id=,B08, PRDE,actvstrat=,-0.705045, actvprof=,2.156850, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,1.525448, id=,S00, PRDE,actvstrat=,0.668972, actvprof=,11.078147, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.886491, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,12.304979, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,12.206504, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,12.384286, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.929547, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,4.929408, id=,S07, PRDE,actvstrat=,-0.304564, actvprof=,4.444954, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,12.212477, id=,S09, PRDE,actvstrat=,-0.315554, actvprof=,4.582457, best_B_id=,B02, best_B_prof=,2.338104, best_B_strat=,0.474104, best_S_id=,S04, best_S_prof=,12.384286, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.400084, actvprof=,1.245086, id=,B01, PRDE,actvstrat=,0.876914, actvprof=,1.903188, id=,B02, PRDE,actvstrat=,-0.015860, actvprof=,1.425932, id=,B03, PRDE,actvstrat=,0.320262, actvprof=,1.733176, id=,B04, PRDE,actvstrat=,0.352725, actvprof=,1.851795, id=,B05, PRDE,actvstrat=,0.169576, actvprof=,1.554830, id=,B06, PRDE,actvstrat=,-0.896614, actvprof=,2.420168, id=,B07, PRDE,actvstrat=,-0.078138, actvprof=,1.605111, id=,B08, PRDE,actvstrat=,-0.385801, actvprof=,1.330926, id=,B09, PRDE,actvstrat=,0.242169, actvprof=,1.713730, id=,S00, PRDE,actvstrat=,-0.148188, actvprof=,4.337246, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.932843, id=,S02, PRDE,actvstrat=,0.717083, actvprof=,9.528439, id=,S03, PRDE,actvstrat=,0.265639, actvprof=,7.211056, id=,S04, PRDE,actvstrat=,-0.853601, actvprof=,1.215918, id=,S05, PRDE,actvstrat=,-0.618085, actvprof=,2.639072, id=,S06, PRDE,actvstrat=,-0.992393, actvprof=,2.010417, id=,S07, PRDE,actvstrat=,-0.170324, actvprof=,4.329467, id=,S08, PRDE,actvstrat=,0.961363, actvprof=,10.559344, id=,S09, PRDE,actvstrat=,-0.123345, actvprof=,4.479200, best_B_id=,B06, best_B_prof=,2.420168, best_B_strat=,-0.896614, best_S_id=,S08, best_S_prof=,10.559344, best_S_strat=,0.961363, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.400084, actvprof=,1.321851, id=,B01, PRDE,actvstrat=,0.876914, actvprof=,1.927845, id=,B02, PRDE,actvstrat=,-0.015860, actvprof=,1.420327, id=,B03, PRDE,actvstrat=,0.320262, actvprof=,1.855481, id=,B04, PRDE,actvstrat=,0.352725, actvprof=,1.842008, id=,B05, PRDE,actvstrat=,0.169576, actvprof=,1.530886, id=,B06, PRDE,actvstrat=,-0.896614, actvprof=,2.541060, id=,B07, PRDE,actvstrat=,-0.078138, actvprof=,1.494496, id=,B08, PRDE,actvstrat=,-0.385801, actvprof=,1.436161, id=,B09, PRDE,actvstrat=,0.242169, actvprof=,1.736727, id=,S00, PRDE,actvstrat=,-0.148188, actvprof=,4.288899, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.084482, id=,S02, PRDE,actvstrat=,0.717083, actvprof=,9.518247, id=,S03, PRDE,actvstrat=,0.265639, actvprof=,7.041911, id=,S04, PRDE,actvstrat=,-0.853601, actvprof=,1.104622, id=,S05, PRDE,actvstrat=,-0.618085, actvprof=,2.858571, id=,S06, PRDE,actvstrat=,-0.992393, actvprof=,2.179798, id=,S07, PRDE,actvstrat=,-0.170324, actvprof=,4.220285, id=,S08, PRDE,actvstrat=,0.961363, actvprof=,10.480503, id=,S09, PRDE,actvstrat=,-0.123345, actvprof=,4.240425, best_B_id=,B06, best_B_prof=,2.541060, best_B_strat=,-0.896614, best_S_id=,S08, best_S_prof=,10.480503, best_S_strat=,0.961363, 
