t=,0, id=,B00, PRDE,actvstrat=,0.789776, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.947906, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.539487, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.893435, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.151054, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.317027, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.145918, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.267304, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.036495, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.843736, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.343744, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.483649, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.092633, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.849635, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.258458, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.070169, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.589483, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.730869, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.029080, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.182458, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.789776, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.343744, 
t=,3600, id=,B00, PRDE,actvstrat=,0.789776, actvprof=,2.269444, id=,B01, PRDE,actvstrat=,0.947906, actvprof=,1.425278, id=,B02, PRDE,actvstrat=,-0.539487, actvprof=,1.795556, id=,B03, PRDE,actvstrat=,-0.893435, actvprof=,2.651389, id=,B04, PRDE,actvstrat=,0.151054, actvprof=,1.742222, id=,B05, PRDE,actvstrat=,0.317027, actvprof=,1.815833, id=,B06, PRDE,actvstrat=,-0.145918, actvprof=,1.731111, id=,B07, PRDE,actvstrat=,0.267304, actvprof=,1.684444, id=,B08, PRDE,actvstrat=,-0.036495, actvprof=,1.574167, id=,B09, PRDE,actvstrat=,-0.843736, actvprof=,2.634444, id=,S00, PRDE,actvstrat=,0.343744, actvprof=,7.733611, id=,S01, PRDE,actvstrat=,-0.483649, actvprof=,3.718056, id=,S02, PRDE,actvstrat=,-0.092633, actvprof=,5.766944, id=,S03, PRDE,actvstrat=,-0.849635, actvprof=,1.188333, id=,S04, PRDE,actvstrat=,0.258458, actvprof=,8.087222, id=,S05, PRDE,actvstrat=,0.070169, actvprof=,6.920278, id=,S06, PRDE,actvstrat=,0.589483, actvprof=,9.205000, id=,S07, PRDE,actvstrat=,-0.730869, actvprof=,3.046389, id=,S08, PRDE,actvstrat=,-0.029080, actvprof=,6.036667, id=,S09, PRDE,actvstrat=,0.182458, actvprof=,7.084722, best_B_id=,B03, best_B_prof=,2.651389, best_B_strat=,-0.893435, best_S_id=,S06, best_S_prof=,9.205000, best_S_strat=,0.589483, 
t=,7200, id=,B00, PRDE,actvstrat=,0.758078, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.618469, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.332481, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.450257, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.970385, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.759131, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.185325, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.928320, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.154733, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.201963, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.495877, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.872949, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.433455, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.216000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.165314, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.747701, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.642553, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.721325, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.869294, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.884805, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.758078, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.495877, 
t=,10800, id=,B00, PRDE,actvstrat=,0.758078, actvprof=,3.977222, id=,B01, PRDE,actvstrat=,0.618469, actvprof=,4.024722, id=,B02, PRDE,actvstrat=,-0.332481, actvprof=,3.723056, id=,B03, PRDE,actvstrat=,0.450257, actvprof=,4.025556, id=,B04, PRDE,actvstrat=,0.970385, actvprof=,2.330000, id=,B05, PRDE,actvstrat=,-0.759131, actvprof=,4.690833, id=,B06, PRDE,actvstrat=,-0.185325, actvprof=,3.637222, id=,B07, PRDE,actvstrat=,-0.928320, actvprof=,4.323333, id=,B08, PRDE,actvstrat=,0.154733, actvprof=,4.139722, id=,B09, PRDE,actvstrat=,-0.201963, actvprof=,3.796111, id=,S00, PRDE,actvstrat=,0.495877, actvprof=,7.183056, id=,S01, PRDE,actvstrat=,0.872949, actvprof=,9.214722, id=,S02, PRDE,actvstrat=,0.433455, actvprof=,6.744167, id=,S03, PRDE,actvstrat=,0.216000, actvprof=,5.913333, id=,S04, PRDE,actvstrat=,-0.165314, actvprof=,3.077222, id=,S05, PRDE,actvstrat=,0.747701, actvprof=,8.846667, id=,S06, PRDE,actvstrat=,-0.642553, actvprof=,2.077222, id=,S07, PRDE,actvstrat=,0.721325, actvprof=,8.488333, id=,S08, PRDE,actvstrat=,0.869294, actvprof=,8.929167, id=,S09, PRDE,actvstrat=,0.884805, actvprof=,8.925000, best_B_id=,B05, best_B_prof=,4.690833, best_B_strat=,-0.759131, best_S_id=,S01, best_S_prof=,9.214722, best_S_strat=,0.872949, 
t=,14400, id=,B00, PRDE,actvstrat=,0.241867, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.484062, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.926230, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.450257, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.655242, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.740802, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.023069, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.088098, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.100393, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.593024, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.336613, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.088881, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.205398, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.726264, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.065228, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.103368, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.953447, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.853458, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.869294, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.635546, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.241867, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.336613, 
t=,18000, id=,B00, PRDE,actvstrat=,0.241867, actvprof=,2.143919, id=,B01, PRDE,actvstrat=,0.484062, actvprof=,2.540313, id=,B02, PRDE,actvstrat=,-0.926230, actvprof=,3.125877, id=,B03, PRDE,actvstrat=,0.450257, actvprof=,2.182530, id=,B04, PRDE,actvstrat=,-0.655242, actvprof=,2.433923, id=,B05, PRDE,actvstrat=,0.740802, actvprof=,2.432534, id=,B06, PRDE,actvstrat=,0.023069, actvprof=,1.805581, id=,B07, PRDE,actvstrat=,0.088098, actvprof=,2.038917, id=,B08, PRDE,actvstrat=,0.100393, actvprof=,1.947249, id=,B09, PRDE,actvstrat=,0.593024, actvprof=,2.356422, id=,S00, PRDE,actvstrat=,0.336613, actvprof=,7.708440, id=,S01, PRDE,actvstrat=,0.088881, actvprof=,6.402311, id=,S02, PRDE,actvstrat=,-0.205398, actvprof=,4.150613, id=,S03, PRDE,actvstrat=,-0.726264, actvprof=,2.064195, id=,S04, PRDE,actvstrat=,-0.065228, actvprof=,4.947291, id=,S05, PRDE,actvstrat=,-0.103368, actvprof=,4.640620, id=,S06, PRDE,actvstrat=,0.953447, actvprof=,10.630425, id=,S07, PRDE,actvstrat=,0.853458, actvprof=,10.522924, id=,S08, PRDE,actvstrat=,0.869294, actvprof=,10.694315, id=,S09, PRDE,actvstrat=,-0.635546, actvprof=,2.499479, best_B_id=,B02, best_B_prof=,3.125877, best_B_strat=,-0.926230, best_S_id=,S08, best_S_prof=,10.694315, best_S_strat=,0.869294, 
t=,21600, id=,B00, PRDE,actvstrat=,0.241867, actvprof=,2.057390, id=,B01, PRDE,actvstrat=,0.484062, actvprof=,2.427811, id=,B02, PRDE,actvstrat=,-0.926230, actvprof=,3.157683, id=,B03, PRDE,actvstrat=,0.450257, actvprof=,2.248642, id=,B04, PRDE,actvstrat=,-0.655242, actvprof=,2.416422, id=,B05, PRDE,actvstrat=,0.740802, actvprof=,2.378366, id=,B06, PRDE,actvstrat=,0.023069, actvprof=,1.849470, id=,B07, PRDE,actvstrat=,0.088098, actvprof=,1.960444, id=,B08, PRDE,actvstrat=,0.100393, actvprof=,1.961416, id=,B09, PRDE,actvstrat=,0.593024, actvprof=,2.355588, id=,S00, PRDE,actvstrat=,0.336613, actvprof=,7.597883, id=,S01, PRDE,actvstrat=,0.088881, actvprof=,6.458006, id=,S02, PRDE,actvstrat=,-0.205398, actvprof=,4.014500, id=,S03, PRDE,actvstrat=,-0.726264, actvprof=,2.030167, id=,S04, PRDE,actvstrat=,-0.065228, actvprof=,4.894512, id=,S05, PRDE,actvstrat=,-0.103368, actvprof=,4.948402, id=,S06, PRDE,actvstrat=,0.953447, actvprof=,10.560008, id=,S07, PRDE,actvstrat=,0.853458, actvprof=,10.509452, id=,S08, PRDE,actvstrat=,0.869294, actvprof=,10.557091, id=,S09, PRDE,actvstrat=,-0.635546, actvprof=,2.606842, best_B_id=,B02, best_B_prof=,3.157683, best_B_strat=,-0.926230, best_S_id=,S06, best_S_prof=,10.560008, best_S_strat=,0.953447, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.651438, actvprof=,0.862536, id=,B01, PRDE,actvstrat=,0.309174, actvprof=,0.872536, id=,B02, PRDE,actvstrat=,-0.584502, actvprof=,0.660583, id=,B03, PRDE,actvstrat=,-0.586184, actvprof=,0.781699, id=,B04, PRDE,actvstrat=,0.894165, actvprof=,1.274775, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.660069, id=,B06, PRDE,actvstrat=,0.714856, actvprof=,1.378113, id=,B07, PRDE,actvstrat=,0.419536, actvprof=,1.108657, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.613123, id=,B09, PRDE,actvstrat=,0.647113, actvprof=,1.136436, id=,S00, PRDE,actvstrat=,0.579541, actvprof=,10.013473, id=,S01, PRDE,actvstrat=,-0.916828, actvprof=,0.198342, id=,S02, PRDE,actvstrat=,0.873237, actvprof=,12.173285, id=,S03, PRDE,actvstrat=,-0.900286, actvprof=,0.340570, id=,S04, PRDE,actvstrat=,0.408092, actvprof=,9.635679, id=,S05, PRDE,actvstrat=,0.642750, actvprof=,10.509327, id=,S06, PRDE,actvstrat=,-0.865601, actvprof=,0.838924, id=,S07, PRDE,actvstrat=,-0.535342, actvprof=,3.827937, id=,S08, PRDE,actvstrat=,-0.392633, actvprof=,3.826271, id=,S09, PRDE,actvstrat=,0.205032, actvprof=,7.890607, best_B_id=,B05, best_B_prof=,1.660069, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,12.173285, best_S_strat=,0.873237, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.651438, actvprof=,0.917380, id=,B01, PRDE,actvstrat=,0.309174, actvprof=,0.926130, id=,B02, PRDE,actvstrat=,-0.584502, actvprof=,0.824323, id=,B03, PRDE,actvstrat=,-0.586184, actvprof=,0.865712, id=,B04, PRDE,actvstrat=,0.894165, actvprof=,1.293221, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.637534, id=,B06, PRDE,actvstrat=,0.714856, actvprof=,1.323639, id=,B07, PRDE,actvstrat=,0.419536, actvprof=,1.137524, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.589339, id=,B09, PRDE,actvstrat=,0.647113, actvprof=,1.254609, id=,S00, PRDE,actvstrat=,0.579541, actvprof=,10.062987, id=,S01, PRDE,actvstrat=,-0.916828, actvprof=,0.263339, id=,S02, PRDE,actvstrat=,0.873237, actvprof=,12.142336, id=,S03, PRDE,actvstrat=,-0.900286, actvprof=,0.372369, id=,S04, PRDE,actvstrat=,0.408092, actvprof=,9.430058, id=,S05, PRDE,actvstrat=,0.642750, actvprof=,10.586471, id=,S06, PRDE,actvstrat=,-0.865601, actvprof=,0.777100, id=,S07, PRDE,actvstrat=,-0.535342, actvprof=,3.814385, id=,S08, PRDE,actvstrat=,-0.392633, actvprof=,4.142031, id=,S09, PRDE,actvstrat=,0.205032, actvprof=,7.896553, best_B_id=,B05, best_B_prof=,1.637534, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,12.142336, best_S_strat=,0.873237, 
t=,32400, id=,B00, PRDE,actvstrat=,0.955513, actvprof=,1.564466, id=,B01, PRDE,actvstrat=,-0.103883, actvprof=,2.695593, id=,B02, PRDE,actvstrat=,0.256346, actvprof=,2.908374, id=,B03, PRDE,actvstrat=,-0.494947, actvprof=,2.772539, id=,B04, PRDE,actvstrat=,-0.741829, actvprof=,3.445048, id=,B05, PRDE,actvstrat=,-0.166996, actvprof=,2.532257, id=,B06, PRDE,actvstrat=,0.046361, actvprof=,2.668926, id=,B07, PRDE,actvstrat=,-0.223395, actvprof=,2.462812, id=,B08, PRDE,actvstrat=,0.981407, actvprof=,1.244740, id=,B09, PRDE,actvstrat=,-0.201963, actvprof=,2.511702, id=,S00, PRDE,actvstrat=,0.828460, actvprof=,9.676801, id=,S01, PRDE,actvstrat=,-0.125641, actvprof=,4.243392, id=,S02, PRDE,actvstrat=,0.734596, actvprof=,9.627356, id=,S03, PRDE,actvstrat=,-0.726264, actvprof=,1.915582, id=,S04, PRDE,actvstrat=,0.386196, actvprof=,6.957597, id=,S05, PRDE,actvstrat=,-0.688239, actvprof=,2.445312, id=,S06, PRDE,actvstrat=,0.466522, actvprof=,8.035667, id=,S07, PRDE,actvstrat=,-0.721679, actvprof=,2.105307, id=,S08, PRDE,actvstrat=,0.283346, actvprof=,6.817317, id=,S09, PRDE,actvstrat=,0.884805, actvprof=,10.125974, best_B_id=,B04, best_B_prof=,3.445048, best_B_strat=,-0.741829, best_S_id=,S09, best_S_prof=,10.125974, best_S_strat=,0.884805, 
t=,36000, id=,B00, PRDE,actvstrat=,0.955513, actvprof=,1.595578, id=,B01, PRDE,actvstrat=,-0.103883, actvprof=,2.677259, id=,B02, PRDE,actvstrat=,0.256346, actvprof=,2.905596, id=,B03, PRDE,actvstrat=,-0.494947, actvprof=,2.744621, id=,B04, PRDE,actvstrat=,-0.741829, actvprof=,3.628662, id=,B05, PRDE,actvstrat=,-0.166996, actvprof=,2.481423, id=,B06, PRDE,actvstrat=,0.046361, actvprof=,2.625592, id=,B07, PRDE,actvstrat=,-0.223395, actvprof=,2.499757, id=,B08, PRDE,actvstrat=,0.981407, actvprof=,1.339602, id=,B09, PRDE,actvstrat=,-0.201963, actvprof=,2.693649, id=,S00, PRDE,actvstrat=,0.828460, actvprof=,9.722635, id=,S01, PRDE,actvstrat=,-0.125641, actvprof=,4.292421, id=,S02, PRDE,actvstrat=,0.734596, actvprof=,9.419159, id=,S03, PRDE,actvstrat=,-0.726264, actvprof=,1.974472, id=,S04, PRDE,actvstrat=,0.386196, actvprof=,7.180239, id=,S05, PRDE,actvstrat=,-0.688239, actvprof=,2.281559, id=,S06, PRDE,actvstrat=,0.466522, actvprof=,7.952194, id=,S07, PRDE,actvstrat=,-0.721679, actvprof=,2.135030, id=,S08, PRDE,actvstrat=,0.283346, actvprof=,6.907318, id=,S09, PRDE,actvstrat=,0.884805, actvprof=,10.000000, best_B_id=,B04, best_B_prof=,3.628662, best_B_strat=,-0.741829, best_S_id=,S09, best_S_prof=,10.000000, best_S_strat=,0.884805, 
