t=,3600, id=,B00, PRDE,actvstrat=,-0.691869, actvprof=,4.971389, id=,B01, PRDE,actvstrat=,-0.451532, actvprof=,4.517778, id=,B02, PRDE,actvstrat=,-0.024775, actvprof=,4.306389, id=,B03, PRDE,actvstrat=,-0.974746, actvprof=,4.660556, id=,B04, PRDE,actvstrat=,-0.468069, actvprof=,4.617500, id=,B05, PRDE,actvstrat=,0.948807, actvprof=,2.934722, id=,B06, PRDE,actvstrat=,0.764860, actvprof=,4.068056, id=,B07, PRDE,actvstrat=,0.535782, actvprof=,4.619444, id=,B08, PRDE,actvstrat=,-0.569607, actvprof=,4.196944, id=,B09, PRDE,actvstrat=,-0.855046, actvprof=,5.015833, id=,S00, PRDE,actvstrat=,0.715374, actvprof=,7.703056, id=,S01, PRDE,actvstrat=,0.805363, actvprof=,8.170000, id=,S02, PRDE,actvstrat=,0.123241, actvprof=,4.858333, id=,S03, PRDE,actvstrat=,0.710982, actvprof=,7.985278, id=,S04, PRDE,actvstrat=,0.850477, actvprof=,8.117222, id=,S05, PRDE,actvstrat=,0.214128, actvprof=,5.071389, id=,S06, PRDE,actvstrat=,0.986455, actvprof=,7.690833, id=,S07, PRDE,actvstrat=,0.367348, actvprof=,6.218333, id=,S08, PRDE,actvstrat=,-0.811864, actvprof=,1.236944, id=,S09, PRDE,actvstrat=,0.507099, actvprof=,6.284444, best_B_id=,B09, best_B_prof=,5.015833, best_B_strat=,-0.855046, best_S_id=,S01, best_S_prof=,8.170000, best_S_strat=,0.805363, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.571472, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.471176, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711694, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.497104, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.654854, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.562763, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.520942, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.253035, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.256305, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.471736, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.869356, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.806046, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.036487, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.327850, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.429115, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.581071, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.933380, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.270038, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.905980, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.886157, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.571472, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.869356, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.571472, actvprof=,1.655764, id=,B01, PRDE,actvstrat=,0.471176, actvprof=,2.092413, id=,B02, PRDE,actvstrat=,0.711694, actvprof=,2.228796, id=,B03, PRDE,actvstrat=,-0.497104, actvprof=,1.446329, id=,B04, PRDE,actvstrat=,-0.654854, actvprof=,1.933531, id=,B05, PRDE,actvstrat=,0.562763, actvprof=,2.034082, id=,B06, PRDE,actvstrat=,0.520942, actvprof=,2.162410, id=,B07, PRDE,actvstrat=,-0.253035, actvprof=,1.331611, id=,B08, PRDE,actvstrat=,-0.256305, actvprof=,1.244393, id=,B09, PRDE,actvstrat=,-0.471736, actvprof=,1.390498, id=,S00, PRDE,actvstrat=,-0.869356, actvprof=,0.501368, id=,S01, PRDE,actvstrat=,-0.806046, actvprof=,1.072733, id=,S02, PRDE,actvstrat=,-0.036487, actvprof=,5.433385, id=,S03, PRDE,actvstrat=,-0.327850, actvprof=,3.552908, id=,S04, PRDE,actvstrat=,-0.429115, actvprof=,3.207644, id=,S05, PRDE,actvstrat=,0.581071, actvprof=,8.803244, id=,S06, PRDE,actvstrat=,0.933380, actvprof=,10.693443, id=,S07, PRDE,actvstrat=,-0.270038, actvprof=,3.426802, id=,S08, PRDE,actvstrat=,-0.905980, actvprof=,0.416927, id=,S09, PRDE,actvstrat=,0.886157, actvprof=,10.480119, best_B_id=,B02, best_B_prof=,2.228796, best_B_strat=,0.711694, best_S_id=,S06, best_S_prof=,10.693443, best_S_strat=,0.933380, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.879750, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.692900, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.735776, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.816173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.859893, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.213476, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.267876, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.223579, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.622845, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.318041, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.342852, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.618167, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.032071, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.311258, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.096158, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.971699, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.797086, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.134812, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.355346, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.867064, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.879750, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.342852, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.879750, actvprof=,3.364213, id=,B01, PRDE,actvstrat=,-0.692900, actvprof=,1.970583, id=,B02, PRDE,actvstrat=,0.735776, actvprof=,2.366144, id=,B03, PRDE,actvstrat=,-0.816173, actvprof=,2.585869, id=,B04, PRDE,actvstrat=,0.859893, actvprof=,2.171975, id=,B05, PRDE,actvstrat=,-0.213476, actvprof=,1.690579, id=,B06, PRDE,actvstrat=,0.267876, actvprof=,1.985028, id=,B07, PRDE,actvstrat=,0.223579, actvprof=,2.183086, id=,B08, PRDE,actvstrat=,-0.622845, actvprof=,1.971138, id=,B09, PRDE,actvstrat=,0.318041, actvprof=,2.175586, id=,S00, PRDE,actvstrat=,-0.342852, actvprof=,3.617550, id=,S01, PRDE,actvstrat=,0.618167, actvprof=,8.875123, id=,S02, PRDE,actvstrat=,0.032071, actvprof=,5.982305, id=,S03, PRDE,actvstrat=,-0.311258, actvprof=,3.297824, id=,S04, PRDE,actvstrat=,-0.096158, actvprof=,4.502285, id=,S05, PRDE,actvstrat=,-0.971699, actvprof=,1.499187, id=,S06, PRDE,actvstrat=,0.797086, actvprof=,9.819859, id=,S07, PRDE,actvstrat=,-0.134812, actvprof=,3.861998, id=,S08, PRDE,actvstrat=,0.355346, actvprof=,7.111765, id=,S09, PRDE,actvstrat=,0.867064, actvprof=,9.880137, best_B_id=,B00, best_B_prof=,3.364213, best_B_strat=,-0.879750, best_S_id=,S09, best_S_prof=,9.880137, best_S_strat=,0.867064, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.879750, actvprof=,3.133494, id=,B01, PRDE,actvstrat=,-0.692900, actvprof=,2.060987, id=,B02, PRDE,actvstrat=,0.735776, actvprof=,2.375572, id=,B03, PRDE,actvstrat=,-0.816173, actvprof=,2.605296, id=,B04, PRDE,actvstrat=,0.859893, actvprof=,2.169737, id=,B05, PRDE,actvstrat=,-0.213476, actvprof=,1.666539, id=,B06, PRDE,actvstrat=,0.267876, actvprof=,1.964736, id=,B07, PRDE,actvstrat=,0.223579, actvprof=,2.174460, id=,B08, PRDE,actvstrat=,-0.622845, actvprof=,1.986125, id=,B09, PRDE,actvstrat=,0.318041, actvprof=,2.235293, id=,S00, PRDE,actvstrat=,-0.342852, actvprof=,3.270162, id=,S01, PRDE,actvstrat=,0.618167, actvprof=,8.702560, id=,S02, PRDE,actvstrat=,0.032071, actvprof=,5.793512, id=,S03, PRDE,actvstrat=,-0.311258, actvprof=,3.226689, id=,S04, PRDE,actvstrat=,-0.096158, actvprof=,4.448086, id=,S05, PRDE,actvstrat=,-0.971699, actvprof=,1.582094, id=,S06, PRDE,actvstrat=,0.797086, actvprof=,9.828263, id=,S07, PRDE,actvstrat=,-0.134812, actvprof=,3.953916, id=,S08, PRDE,actvstrat=,0.355346, actvprof=,7.114077, id=,S09, PRDE,actvstrat=,0.867064, actvprof=,9.964514, best_B_id=,B00, best_B_prof=,3.133494, best_B_strat=,-0.879750, best_S_id=,S09, best_S_prof=,9.964514, best_S_strat=,0.867064, 
t=,25200, id=,B00, PRDE,actvstrat=,0.290614, actvprof=,2.243396, id=,B01, PRDE,actvstrat=,0.596604, actvprof=,2.447846, id=,B02, PRDE,actvstrat=,-0.954873, actvprof=,3.400094, id=,B03, PRDE,actvstrat=,-0.847415, actvprof=,2.215339, id=,B04, PRDE,actvstrat=,0.708116, actvprof=,2.619517, id=,B05, PRDE,actvstrat=,-0.902697, actvprof=,2.928970, id=,B06, PRDE,actvstrat=,-0.900608, actvprof=,2.953138, id=,B07, PRDE,actvstrat=,0.535782, actvprof=,2.562849, id=,B08, PRDE,actvstrat=,-0.578925, actvprof=,1.728659, id=,B09, PRDE,actvstrat=,-0.761905, actvprof=,1.991444, id=,S00, PRDE,actvstrat=,0.850187, actvprof=,9.993055, id=,S01, PRDE,actvstrat=,-0.357906, actvprof=,3.037307, id=,S02, PRDE,actvstrat=,-0.015520, actvprof=,4.912914, id=,S03, PRDE,actvstrat=,0.710982, actvprof=,8.809411, id=,S04, PRDE,actvstrat=,-0.991886, actvprof=,2.633406, id=,S05, PRDE,actvstrat=,-0.061972, actvprof=,4.080391, id=,S06, PRDE,actvstrat=,0.643822, actvprof=,8.388011, id=,S07, PRDE,actvstrat=,0.647070, actvprof=,8.380233, id=,S08, PRDE,actvstrat=,-0.811864, actvprof=,1.270313, id=,S09, PRDE,actvstrat=,0.527283, actvprof=,7.961610, best_B_id=,B02, best_B_prof=,3.400094, best_B_strat=,-0.954873, best_S_id=,S00, best_S_prof=,9.993055, best_S_strat=,0.850187, 
t=,28800, id=,B00, PRDE,actvstrat=,0.290614, actvprof=,2.273920, id=,B01, PRDE,actvstrat=,0.596604, actvprof=,2.596008, id=,B02, PRDE,actvstrat=,-0.954873, actvprof=,3.498937, id=,B03, PRDE,actvstrat=,-0.847415, actvprof=,2.414895, id=,B04, PRDE,actvstrat=,0.708116, actvprof=,2.642398, id=,B05, PRDE,actvstrat=,-0.902697, actvprof=,2.823928, id=,B06, PRDE,actvstrat=,-0.900608, actvprof=,2.835039, id=,B07, PRDE,actvstrat=,0.535782, actvprof=,2.546702, id=,B08, PRDE,actvstrat=,-0.578925, actvprof=,1.672801, id=,B09, PRDE,actvstrat=,-0.761905, actvprof=,2.030306, id=,S00, PRDE,actvstrat=,0.850187, actvprof=,9.735274, id=,S01, PRDE,actvstrat=,-0.357906, actvprof=,2.843095, id=,S02, PRDE,actvstrat=,-0.015520, actvprof=,4.959513, id=,S03, PRDE,actvstrat=,0.710982, actvprof=,8.957624, id=,S04, PRDE,actvstrat=,-0.991886, actvprof=,2.701982, id=,S05, PRDE,actvstrat=,-0.061972, actvprof=,4.266587, id=,S06, PRDE,actvstrat=,0.643822, actvprof=,8.434700, id=,S07, PRDE,actvstrat=,0.647070, actvprof=,8.388172, id=,S08, PRDE,actvstrat=,-0.811864, actvprof=,1.053904, id=,S09, PRDE,actvstrat=,0.527283, actvprof=,7.769830, best_B_id=,B02, best_B_prof=,3.498937, best_B_strat=,-0.954873, best_S_id=,S00, best_S_prof=,9.735274, best_S_strat=,0.850187, 
t=,32400, id=,B00, PRDE,actvstrat=,0.505545, actvprof=,3.186143, id=,B01, PRDE,actvstrat=,0.095669, actvprof=,3.000292, id=,B02, PRDE,actvstrat=,-0.525582, actvprof=,2.817774, id=,B03, PRDE,actvstrat=,0.277768, actvprof=,3.219757, id=,B04, PRDE,actvstrat=,0.135862, actvprof=,2.994458, id=,B05, PRDE,actvstrat=,-0.603042, actvprof=,2.961677, id=,B06, PRDE,actvstrat=,-0.900608, actvprof=,4.124012, id=,B07, PRDE,actvstrat=,0.912470, actvprof=,2.429958, id=,B08, PRDE,actvstrat=,-0.136371, actvprof=,2.546914, id=,B09, PRDE,actvstrat=,-0.864473, actvprof=,3.850652, id=,S00, PRDE,actvstrat=,0.850187, actvprof=,8.989763, id=,S01, PRDE,actvstrat=,-0.357906, actvprof=,2.926951, id=,S02, PRDE,actvstrat=,0.440857, actvprof=,6.761213, id=,S03, PRDE,actvstrat=,-0.686859, actvprof=,1.930743, id=,S04, PRDE,actvstrat=,0.476119, actvprof=,7.073465, id=,S05, PRDE,actvstrat=,-0.659051, actvprof=,2.308280, id=,S06, PRDE,actvstrat=,0.643822, actvprof=,7.871876, id=,S07, PRDE,actvstrat=,0.763989, actvprof=,8.693901, id=,S08, PRDE,actvstrat=,0.677225, actvprof=,8.094676, id=,S09, PRDE,actvstrat=,0.484225, actvprof=,6.759824, best_B_id=,B06, best_B_prof=,4.124012, best_B_strat=,-0.900608, best_S_id=,S00, best_S_prof=,8.989763, best_S_strat=,0.850187, 
t=,36000, id=,B00, PRDE,actvstrat=,0.505545, actvprof=,3.133902, id=,B01, PRDE,actvstrat=,0.095669, actvprof=,2.952366, id=,B02, PRDE,actvstrat=,-0.525582, actvprof=,2.838332, id=,B03, PRDE,actvstrat=,0.277768, actvprof=,3.142375, id=,B04, PRDE,actvstrat=,0.135862, actvprof=,2.857500, id=,B05, PRDE,actvstrat=,-0.603042, actvprof=,2.946393, id=,B06, PRDE,actvstrat=,-0.900608, actvprof=,3.995472, id=,B07, PRDE,actvstrat=,0.912470, actvprof=,2.410812, id=,B08, PRDE,actvstrat=,-0.136371, actvprof=,2.605960, id=,B09, PRDE,actvstrat=,-0.864473, actvprof=,3.963943, id=,S00, PRDE,actvstrat=,0.850187, actvprof=,9.153084, id=,S01, PRDE,actvstrat=,-0.357906, actvprof=,3.056815, id=,S02, PRDE,actvstrat=,0.440857, actvprof=,6.705882, id=,S03, PRDE,actvstrat=,-0.686859, actvprof=,1.979818, id=,S04, PRDE,actvstrat=,0.476119, actvprof=,7.062010, id=,S05, PRDE,actvstrat=,-0.659051, actvprof=,2.242470, id=,S06, PRDE,actvstrat=,0.643822, actvprof=,7.835381, id=,S07, PRDE,actvstrat=,0.763989, actvprof=,8.853486, id=,S08, PRDE,actvstrat=,0.677225, actvprof=,8.216927, id=,S09, PRDE,actvstrat=,0.484225, actvprof=,6.851583, best_B_id=,B06, best_B_prof=,3.995472, best_B_strat=,-0.900608, best_S_id=,S00, best_S_prof=,9.153084, best_S_strat=,0.850187, 
t=,39600, id=,B00, PRDE,actvstrat=,0.584074, actvprof=,2.412912, id=,B01, PRDE,actvstrat=,0.920275, actvprof=,1.751764, id=,B02, PRDE,actvstrat=,-0.183394, actvprof=,1.637869, id=,B03, PRDE,actvstrat=,-0.491138, actvprof=,1.727318, id=,B04, PRDE,actvstrat=,0.530945, actvprof=,2.314017, id=,B05, PRDE,actvstrat=,-0.923985, actvprof=,2.978221, id=,B06, PRDE,actvstrat=,-0.453753, actvprof=,1.882605, id=,B07, PRDE,actvstrat=,-0.738479, actvprof=,2.362076, id=,B08, PRDE,actvstrat=,0.294736, actvprof=,2.012890, id=,B09, PRDE,actvstrat=,-0.423659, actvprof=,1.733152, id=,S00, PRDE,actvstrat=,0.893551, actvprof=,10.133619, id=,S01, PRDE,actvstrat=,-0.435557, actvprof=,3.406578, id=,S02, PRDE,actvstrat=,-0.036487, actvprof=,5.335574, id=,S03, PRDE,actvstrat=,-0.337751, actvprof=,3.502417, id=,S04, PRDE,actvstrat=,0.717113, actvprof=,9.559976, id=,S05, PRDE,actvstrat=,0.581071, actvprof=,8.239624, id=,S06, PRDE,actvstrat=,-0.445678, actvprof=,2.547919, id=,S07, PRDE,actvstrat=,0.288685, actvprof=,6.879271, id=,S08, PRDE,actvstrat=,-0.811864, actvprof=,1.030891, id=,S09, PRDE,actvstrat=,-0.079569, actvprof=,4.755542, best_B_id=,B05, best_B_prof=,2.978221, best_B_strat=,-0.923985, best_S_id=,S00, best_S_prof=,10.133619, best_S_strat=,0.893551, 
