t=,1, id=,B00, PRDE,actvstrat=,0.140303, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.802549, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.262100, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.794975, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.901505, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.544869, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.272255, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.761319, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.010141, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.121705, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.082329, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.517197, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.013273, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.178972, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.416566, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.635990, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.014033, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.523554, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.702189, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.402017, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.140303, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.082329, 
t=,3600, id=,B00, PRDE,actvstrat=,0.140303, actvprof=,3.024167, id=,B01, PRDE,actvstrat=,0.802549, actvprof=,3.296944, id=,B02, PRDE,actvstrat=,0.262100, actvprof=,3.099444, id=,B03, PRDE,actvstrat=,0.794975, actvprof=,3.120556, id=,B04, PRDE,actvstrat=,-0.901505, actvprof=,3.748889, id=,B05, PRDE,actvstrat=,-0.544869, actvprof=,2.923889, id=,B06, PRDE,actvstrat=,0.272255, actvprof=,2.832222, id=,B07, PRDE,actvstrat=,-0.761319, actvprof=,3.360833, id=,B08, PRDE,actvstrat=,0.010141, actvprof=,2.568889, id=,B09, PRDE,actvstrat=,-0.121705, actvprof=,2.792500, id=,S00, PRDE,actvstrat=,-0.082329, actvprof=,5.598056, id=,S01, PRDE,actvstrat=,-0.517197, actvprof=,3.803611, id=,S02, PRDE,actvstrat=,-0.013273, actvprof=,5.891667, id=,S03, PRDE,actvstrat=,0.178972, actvprof=,6.697778, id=,S04, PRDE,actvstrat=,0.416566, actvprof=,7.789722, id=,S05, PRDE,actvstrat=,0.635990, actvprof=,8.360556, id=,S06, PRDE,actvstrat=,-0.014033, actvprof=,6.230833, id=,S07, PRDE,actvstrat=,0.523554, actvprof=,7.898611, id=,S08, PRDE,actvstrat=,0.702189, actvprof=,9.040000, id=,S09, PRDE,actvstrat=,-0.402017, actvprof=,3.743056, best_B_id=,B04, best_B_prof=,3.748889, best_B_strat=,-0.901505, best_S_id=,S08, best_S_prof=,9.040000, best_S_strat=,0.702189, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.937290, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.175355, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.433132, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.132026, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.885486, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.288425, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.052669, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.381073, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.952234, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.236325, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.580499, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.661313, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.258542, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.768095, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.410572, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.992032, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.769034, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.696978, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.245352, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.794943, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.937290, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.580499, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.937290, actvprof=,3.557957, id=,B01, PRDE,actvstrat=,-0.175355, actvprof=,2.343268, id=,B02, PRDE,actvstrat=,-0.433132, actvprof=,2.262993, id=,B03, PRDE,actvstrat=,-0.132026, actvprof=,2.452710, id=,B04, PRDE,actvstrat=,0.885486, actvprof=,2.567984, id=,B05, PRDE,actvstrat=,-0.288425, actvprof=,2.133830, id=,B06, PRDE,actvstrat=,-0.052669, actvprof=,2.356879, id=,B07, PRDE,actvstrat=,0.381073, actvprof=,2.928530, id=,B08, PRDE,actvstrat=,-0.952234, actvprof=,3.410461, id=,B09, PRDE,actvstrat=,-0.236325, actvprof=,2.460765, id=,S00, PRDE,actvstrat=,-0.580499, actvprof=,2.513541, id=,S01, PRDE,actvstrat=,-0.661313, actvprof=,2.197717, id=,S02, PRDE,actvstrat=,0.258542, actvprof=,6.038999, id=,S03, PRDE,actvstrat=,0.768095, actvprof=,8.961973, id=,S04, PRDE,actvstrat=,-0.410572, actvprof=,2.577984, id=,S05, PRDE,actvstrat=,-0.992032, actvprof=,2.824366, id=,S06, PRDE,actvstrat=,0.769034, actvprof=,9.023916, id=,S07, PRDE,actvstrat=,0.696978, actvprof=,8.421155, id=,S08, PRDE,actvstrat=,-0.245352, actvprof=,2.750201, id=,S09, PRDE,actvstrat=,0.794943, actvprof=,9.145857, best_B_id=,B00, best_B_prof=,3.557957, best_B_strat=,-0.937290, best_S_id=,S09, best_S_prof=,9.145857, best_S_strat=,0.794943, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.845392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.514616, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.708393, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.702102, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.490134, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.743647, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.604641, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.341510, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.745803, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.442809, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.288899, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.730719, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.977169, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.356433, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.607182, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.140835, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.338267, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.199345, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.574893, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.537932, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.845392, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.288899, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.845392, actvprof=,2.185278, id=,B01, PRDE,actvstrat=,-0.514616, actvprof=,1.435556, id=,B02, PRDE,actvstrat=,0.708393, actvprof=,2.146111, id=,B03, PRDE,actvstrat=,-0.702102, actvprof=,1.651944, id=,B04, PRDE,actvstrat=,0.490134, actvprof=,2.069167, id=,B05, PRDE,actvstrat=,-0.743647, actvprof=,1.794722, id=,B06, PRDE,actvstrat=,0.604641, actvprof=,2.141389, id=,B07, PRDE,actvstrat=,0.341510, actvprof=,1.969167, id=,B08, PRDE,actvstrat=,-0.745803, actvprof=,1.784167, id=,B09, PRDE,actvstrat=,0.442809, actvprof=,1.998889, id=,S00, PRDE,actvstrat=,-0.288899, actvprof=,3.316389, id=,S01, PRDE,actvstrat=,-0.730719, actvprof=,2.134167, id=,S02, PRDE,actvstrat=,-0.977169, actvprof=,1.878889, id=,S03, PRDE,actvstrat=,0.356433, actvprof=,7.262778, id=,S04, PRDE,actvstrat=,0.607182, actvprof=,8.826667, id=,S05, PRDE,actvstrat=,-0.140835, actvprof=,3.711667, id=,S06, PRDE,actvstrat=,0.338267, actvprof=,7.282222, id=,S07, PRDE,actvstrat=,-0.199345, actvprof=,3.473611, id=,S08, PRDE,actvstrat=,0.574893, actvprof=,8.551111, id=,S09, PRDE,actvstrat=,0.537932, actvprof=,7.941667, best_B_id=,B00, best_B_prof=,2.185278, best_B_strat=,-0.845392, best_S_id=,S04, best_S_prof=,8.826667, best_S_strat=,0.607182, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.845392, actvprof=,2.314306, id=,B01, PRDE,actvstrat=,-0.514616, actvprof=,1.441389, id=,B02, PRDE,actvstrat=,0.708393, actvprof=,2.174861, id=,B03, PRDE,actvstrat=,-0.702102, actvprof=,1.714583, id=,B04, PRDE,actvstrat=,0.490134, actvprof=,2.073750, id=,B05, PRDE,actvstrat=,-0.743647, actvprof=,1.869306, id=,B06, PRDE,actvstrat=,0.604641, actvprof=,2.220694, id=,B07, PRDE,actvstrat=,0.341510, actvprof=,1.918750, id=,B08, PRDE,actvstrat=,-0.745803, actvprof=,1.816111, id=,B09, PRDE,actvstrat=,0.442809, actvprof=,2.033333, id=,S00, PRDE,actvstrat=,-0.288899, actvprof=,3.467222, id=,S01, PRDE,actvstrat=,-0.730719, actvprof=,2.240694, id=,S02, PRDE,actvstrat=,-0.977169, actvprof=,1.949444, id=,S03, PRDE,actvstrat=,0.356433, actvprof=,7.133611, id=,S04, PRDE,actvstrat=,0.607182, actvprof=,8.764167, id=,S05, PRDE,actvstrat=,-0.140835, actvprof=,3.941389, id=,S06, PRDE,actvstrat=,0.338267, actvprof=,7.119167, id=,S07, PRDE,actvstrat=,-0.199345, actvprof=,3.547778, id=,S08, PRDE,actvstrat=,0.574893, actvprof=,8.471806, id=,S09, PRDE,actvstrat=,0.537932, actvprof=,8.065417, best_B_id=,B00, best_B_prof=,2.314306, best_B_strat=,-0.845392, best_S_id=,S04, best_S_prof=,8.764167, best_S_strat=,0.607182, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.946809, actvprof=,1.300278, id=,B01, PRDE,actvstrat=,-0.327799, actvprof=,0.963056, id=,B02, PRDE,actvstrat=,0.827446, actvprof=,1.280278, id=,B03, PRDE,actvstrat=,0.181402, actvprof=,1.220556, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.421944, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.171111, id=,B06, PRDE,actvstrat=,0.364620, actvprof=,1.405833, id=,B07, PRDE,actvstrat=,0.976707, actvprof=,0.560556, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.923333, id=,B09, PRDE,actvstrat=,0.930303, actvprof=,0.931111, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.291111, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,13.310000, id=,S02, PRDE,actvstrat=,0.008044, actvprof=,8.079167, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,12.991667, id=,S04, PRDE,actvstrat=,-0.518144, actvprof=,3.952778, id=,S05, PRDE,actvstrat=,-0.590566, actvprof=,3.735000, id=,S06, PRDE,actvstrat=,-0.685163, actvprof=,2.878333, id=,S07, PRDE,actvstrat=,-0.890750, actvprof=,0.484167, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,13.180278, id=,S09, PRDE,actvstrat=,0.457533, actvprof=,10.541667, best_B_id=,B06, best_B_prof=,1.405833, best_B_strat=,0.364620, best_S_id=,S01, best_S_prof=,13.310000, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.946809, actvprof=,1.343482, id=,B01, PRDE,actvstrat=,-0.327799, actvprof=,1.074035, id=,B02, PRDE,actvstrat=,0.827446, actvprof=,1.301259, id=,B03, PRDE,actvstrat=,0.181402, actvprof=,1.284453, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.453198, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.224731, id=,B06, PRDE,actvstrat=,0.364620, actvprof=,1.305704, id=,B07, PRDE,actvstrat=,0.976707, actvprof=,0.563198, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.994729, id=,B09, PRDE,actvstrat=,0.930303, actvprof=,0.870006, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.195369, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,13.188425, id=,S02, PRDE,actvstrat=,0.008044, actvprof=,7.971028, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,13.160091, id=,S04, PRDE,actvstrat=,-0.518144, actvprof=,4.039750, id=,S05, PRDE,actvstrat=,-0.590566, actvprof=,3.682664, id=,S06, PRDE,actvstrat=,-0.685163, actvprof=,3.058771, id=,S07, PRDE,actvstrat=,-0.890750, actvprof=,0.475281, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,13.216897, id=,S09, PRDE,actvstrat=,0.457533, actvprof=,10.430906, best_B_id=,B00, best_B_prof=,1.343482, best_B_strat=,-0.946809, best_S_id=,S08, best_S_prof=,13.216897, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.481518, actvprof=,1.188694, id=,B01, PRDE,actvstrat=,-0.990956, actvprof=,2.714077, id=,B02, PRDE,actvstrat=,-0.717777, actvprof=,1.514272, id=,B03, PRDE,actvstrat=,-0.223951, actvprof=,1.381485, id=,B04, PRDE,actvstrat=,0.126496, actvprof=,1.672061, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,3.114661, id=,B06, PRDE,actvstrat=,0.040361, actvprof=,1.299257, id=,B07, PRDE,actvstrat=,-0.827251, actvprof=,1.913466, id=,B08, PRDE,actvstrat=,0.674866, actvprof=,2.165428, id=,B09, PRDE,actvstrat=,-0.837290, actvprof=,1.986527, id=,S00, PRDE,actvstrat=,0.161590, actvprof=,6.140704, id=,S01, PRDE,actvstrat=,-0.110419, actvprof=,3.776929, id=,S02, PRDE,actvstrat=,-0.889039, actvprof=,0.315855, id=,S03, PRDE,actvstrat=,0.171053, actvprof=,6.503785, id=,S04, PRDE,actvstrat=,-0.457511, actvprof=,2.674908, id=,S05, PRDE,actvstrat=,-0.319636, actvprof=,2.958539, id=,S06, PRDE,actvstrat=,0.902119, actvprof=,10.281270, id=,S07, PRDE,actvstrat=,0.338893, actvprof=,7.249115, id=,S08, PRDE,actvstrat=,0.418408, actvprof=,7.138829, id=,S09, PRDE,actvstrat=,-0.509159, actvprof=,2.726023, best_B_id=,B05, best_B_prof=,3.114661, best_B_strat=,-1.000000, best_S_id=,S06, best_S_prof=,10.281270, best_S_strat=,0.902119, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.481518, actvprof=,1.295027, id=,B01, PRDE,actvstrat=,-0.990956, actvprof=,2.695334, id=,B02, PRDE,actvstrat=,-0.717777, actvprof=,1.523365, id=,B03, PRDE,actvstrat=,-0.223951, actvprof=,1.287249, id=,B04, PRDE,actvstrat=,0.126496, actvprof=,1.598506, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,3.112704, id=,B06, PRDE,actvstrat=,0.040361, actvprof=,1.438086, id=,B07, PRDE,actvstrat=,-0.827251, actvprof=,1.865733, id=,B08, PRDE,actvstrat=,0.674866, actvprof=,2.182268, id=,B09, PRDE,actvstrat=,-0.837290, actvprof=,1.925179, id=,S00, PRDE,actvstrat=,0.161590, actvprof=,5.929151, id=,S01, PRDE,actvstrat=,-0.110419, actvprof=,3.803135, id=,S02, PRDE,actvstrat=,-0.889039, actvprof=,0.391536, id=,S03, PRDE,actvstrat=,0.171053, actvprof=,6.340410, id=,S04, PRDE,actvstrat=,-0.457511, actvprof=,2.799086, id=,S05, PRDE,actvstrat=,-0.319636, actvprof=,3.065758, id=,S06, PRDE,actvstrat=,0.902119, actvprof=,10.367022, id=,S07, PRDE,actvstrat=,0.338893, actvprof=,7.208761, id=,S08, PRDE,actvstrat=,0.418408, actvprof=,7.401543, id=,S09, PRDE,actvstrat=,-0.509159, actvprof=,2.793808, best_B_id=,B05, best_B_prof=,3.112704, best_B_strat=,-1.000000, best_S_id=,S06, best_S_prof=,10.367022, best_S_strat=,0.902119, 
